GENE_ID	locusLine	bin_1_39_0EXR_0229Kronos_MM1S-KB-3hr-1_Input_hs_i82.bam
2_MACS_peak_49_lociStitched	chr1(.):1821079-1829685	0.0928
1_MACS_peak_51_lociStitched	chr1(.):1838370-1841423	0.1221
2_MACS_peak_52_lociStitched	chr1(.):2120474-2127150	0.1081
1_MACS_peak_54_lociStitched	chr1(.):2158438-2159429	0.075
1_MACS_peak_55_lociStitched	chr1(.):2186466-2188043	0.1887
1_MACS_peak_56_lociStitched	chr1(.):2221293-2223332	0.167
1_MACS_peak_57_lociStitched	chr1(.):2231007-2233715	0.1797
1_MACS_peak_58_lociStitched	chr1(.):2265992-2266657	0.0816
1_MACS_peak_59_lociStitched	chr1(.):2322197-2324202	0.158
2_MACS_peak_60_lociStitched	chr1(.):2342934-2347925	0.1574
1_MACS_peak_62_lociStitched	chr1(.):2411462-2412058	0.1139
1_MACS_peak_63_lociStitched	chr1(.):2456747-2458493	0.1657
2_MACS_peak_64_lociStitched	chr1(.):2476819-2489248	0.1214
2_MACS_peak_66_lociStitched	chr1(.):2508693-2518936	0.1284
1_MACS_peak_68_lociStitched	chr1(.):2573644-2575022	0.1291
1_MACS_peak_69_lociStitched	chr1(.):3086907-3088123	0.0931
2_MACS_peak_70_lociStitched	chr1(.):3540365-3547969	0.1156
2_MACS_peak_72_lociStitched	chr1(.):3565762-3570105	0.1094
1_MACS_peak_74_lociStitched	chr1(.):3589197-3590340	0.1934
1_MACS_peak_75_lociStitched	chr1(.):3688409-3689144	0.1516
1_MACS_peak_76_lociStitched	chr1(.):3712210-3713739	0.1351
1_MACS_peak_77_lociStitched	chr1(.):3773179-3774904	0.1738
1_MACS_peak_78_lociStitched	chr1(.):3815801-3818383	0.2308
1_MACS_peak_79_lociStitched	chr1(.):3838073-3839686	0.1828
1_MACS_peak_80_lociStitched	chr1(.):4439017-4440456	0.1582
2_MACS_peak_81_lociStitched	chr1(.):6051253-6055360	0.1978
1_MACS_peak_83_lociStitched	chr1(.):6083964-6087187	0.206
2_MACS_peak_84_lociStitched	chr1(.):6258607-6266808	0.1321
1_MACS_peak_86_lociStitched	chr1(.):6294829-6296854	0.1509
1_MACS_peak_87_lociStitched	chr1(.):6418999-6420542	0.1873
1_MACS_peak_88_lociStitched	chr1(.):6452500-6454705	0.118
1_MACS_peak_89_lociStitched	chr1(.):6474319-6475757	0.1915
1_MACS_peak_90_lociStitched	chr1(.):6549864-6551649	0.1718
1_MACS_peak_91_lociStitched	chr1(.):6613787-6615392	0.1317
1_MACS_peak_92_lociStitched	chr1(.):6639594-6640952	0.2094
1_MACS_peak_93_lociStitched	chr1(.):6660193-6664598	0.1698
1_MACS_peak_94_lociStitched	chr1(.):6672433-6674879	0.1447
1_MACS_peak_95_lociStitched	chr1(.):6684450-6686653	0.1312
1_MACS_peak_96_lociStitched	chr1(.):6760963-6762254	0.1154
2_MACS_peak_97_lociStitched	chr1(.):6843701-6846564	0.1346
1_MACS_peak_99_lociStitched	chr1(.):6977997-6980450	0.1491
1_MACS_peak_100_lociStitched	chr1(.):7830676-7832273	0.203
2_MACS_peak_101_lociStitched	chr1(.):8013668-8022706	0.1222
1_MACS_peak_103_lociStitched	chr1(.):8085782-8086537	0.0907
2_MACS_peak_104_lociStitched	chr1(.):8454974-8457981	0.1581
3_MACS_peak_106_lociStitched	chr1(.):8650329-8664948	0.1347
1_MACS_peak_109_lociStitched	chr1(.):8740452-8741475	0.1422
2_MACS_peak_110_lociStitched	chr1(.):8760752-8773538	0.139
1_MACS_peak_112_lociStitched	chr1(.):8876568-8878826	0.1528
1_MACS_peak_113_lociStitched	chr1(.):8937242-8939909	0.1721
1_MACS_peak_114_lociStitched	chr1(.):9139553-9141567	0.1395
1_MACS_peak_115_lociStitched	chr1(.):9171012-9172763	0.122
1_MACS_peak_116_lociStitched	chr1(.):9222088-9225989	0.1834
1_MACS_peak_117_lociStitched	chr1(.):9241124-9243325	0.1169
1_MACS_peak_118_lociStitched	chr1(.):9294436-9295854	0.1249
1_MACS_peak_119_lociStitched	chr1(.):9335342-9336467	0.1362
1_MACS_peak_120_lociStitched	chr1(.):9473131-9474113	0.0928
2_MACS_peak_121_lociStitched	chr1(.):9485338-9489724	0.1873
1_MACS_peak_123_lociStitched	chr1(.):9599415-9600507	0.0709
1_MACS_peak_124_lociStitched	chr1(.):9614974-9615944	0.1393
1_MACS_peak_125_lociStitched	chr1(.):9648178-9650275	0.1168
1_MACS_peak_126_lociStitched	chr1(.):9748899-9749817	0.0729
1_MACS_peak_127_lociStitched	chr1(.):9776629-9778776	0.1922
1_MACS_peak_128_lociStitched	chr1(.):9846606-9848750	0.1652
1_MACS_peak_129_lociStitched	chr1(.):9882727-9884441	0.0778
1_MACS_peak_130_lociStitched	chr1(.):9895973-9896982	0.1665
1_MACS_peak_131_lociStitched	chr1(.):9969091-9971657	0.2396
1_MACS_peak_132_lociStitched	chr1(.):10002333-10004315	0.2233
1_MACS_peak_133_lociStitched	chr1(.):10020779-10021755	0.1649
1_MACS_peak_134_lociStitched	chr1(.):10050116-10052050	0.1744
1_MACS_peak_135_lociStitched	chr1(.):10078283-10079884	0.1474
1_MACS_peak_136_lociStitched	chr1(.):10092182-10094235	0.2011
1_MACS_peak_137_lociStitched	chr1(.):10228615-10231681	0.1653
1_MACS_peak_138_lociStitched	chr1(.):10249094-10250696	0.1804
1_MACS_peak_139_lociStitched	chr1(.):10260012-10261794	0.194
1_MACS_peak_140_lociStitched	chr1(.):10269493-10271816	0.1873
1_MACS_peak_141_lociStitched	chr1(.):10310579-10314651	0.1779
1_MACS_peak_142_lociStitched	chr1(.):10447637-10448471	0.0794
1_MACS_peak_143_lociStitched	chr1(.):10458237-10460099	0.1752
1_MACS_peak_144_lociStitched	chr1(.):10489879-10491904	0.2027
1_MACS_peak_145_lociStitched	chr1(.):10504336-10505694	0.2536
1_MACS_peak_146_lociStitched	chr1(.):10516495-10518090	0.2049
2_MACS_peak_147_lociStitched	chr1(.):10531867-10535817	0.2011
1_MACS_peak_149_lociStitched	chr1(.):10999316-11001137	0.1785
1_MACS_peak_150_lociStitched	chr1(.):11071408-11073826	0.1773
1_MACS_peak_151_lociStitched	chr1(.):11118951-11121143	0.1707
1_MACS_peak_152_lociStitched	chr1(.):11158874-11160469	0.1679
1_MACS_peak_153_lociStitched	chr1(.):11321844-11323472	0.2
1_MACS_peak_154_lociStitched	chr1(.):11333163-11334526	0.2037
1_MACS_peak_155_lociStitched	chr1(.):11538538-11539898	0.1791
1_MACS_peak_156_lociStitched	chr1(.):11625996-11631336	0.1952
2_MACS_peak_157_lociStitched	chr1(.):11713939-11715626	0.1105
1_MACS_peak_159_lociStitched	chr1(.):11723965-11725204	0.0835
1_MACS_peak_160_lociStitched	chr1(.):11740366-11742353	0.1994
2_MACS_peak_161_lociStitched	chr1(.):11790317-11798160	0.1344
1_MACS_peak_163_lociStitched	chr1(.):11843122-11845604	0.1754
1_MACS_peak_164_lociStitched	chr1(.):11864349-11867412	0.1904
1_MACS_peak_165_lociStitched	chr1(.):11967619-11970661	0.1966
3_MACS_peak_166_lociStitched	chr1(.):11984680-11995492	0.144
1_MACS_peak_169_lociStitched	chr1(.):12039512-12041261	0.1724
1_MACS_peak_170_lociStitched	chr1(.):12078685-12080543	0.1528
3_MACS_peak_171_lociStitched	chr1(.):12099988-12113372	0.1453
1_MACS_peak_174_lociStitched	chr1(.):12138750-12140131	0.1714
3_MACS_peak_175_lociStitched	chr1(.):12220881-12234456	0.1246
1_MACS_peak_178_lociStitched	chr1(.):12269921-12271639	0.1899
1_MACS_peak_179_lociStitched	chr1(.):12289796-12291792	0.1907
1_MACS_peak_180_lociStitched	chr1(.):12348016-12348803	0.0997
1_MACS_peak_181_lociStitched	chr1(.):12495295-12496922	0.2857
1_MACS_peak_182_lociStitched	chr1(.):12508753-12510348	0.2313
1_MACS_peak_183_lociStitched	chr1(.):12678066-12679515	0.156
1_MACS_peak_184_lociStitched	chr1(.):12896694-12897724	0.1753
1_MACS_peak_185_lociStitched	chr1(.):13824524-13825883	0.1074
1_MACS_peak_186_lociStitched	chr1(.):14026070-14027403	0.1533
1_MACS_peak_187_lociStitched	chr1(.):14056553-14058402	0.1697
1_MACS_peak_188_lociStitched	chr1(.):14074847-14077049	0.1252
1_MACS_peak_189_lociStitched	chr1(.):14155238-14156439	0.1912
1_MACS_peak_190_lociStitched	chr1(.):14238322-14239525	0.1682
1_MACS_peak_191_lociStitched	chr1(.):14246832-14249632	0.1451
1_MACS_peak_192_lociStitched	chr1(.):14271872-14273362	0.1183
1_MACS_peak_193_lociStitched	chr1(.):14292222-14295415	0.139
2_MACS_peak_194_lociStitched	chr1(.):14335823-14344986	0.1457
1_MACS_peak_196_lociStitched	chr1(.):14361123-14367595	0.1696
1_MACS_peak_197_lociStitched	chr1(.):14439926-14441196	0.1602
1_MACS_peak_198_lociStitched	chr1(.):14463128-14464857	0.1093
2_MACS_peak_199_lociStitched	chr1(.):14500906-14508958	0.1575
1_MACS_peak_201_lociStitched	chr1(.):14687069-14688550	0.1121
1_MACS_peak_202_lociStitched	chr1(.):14695353-14697333	0.1877
1_MACS_peak_203_lociStitched	chr1(.):15059076-15060470	0.0759
1_MACS_peak_204_lociStitched	chr1(.):15150289-15151852	0.15
1_MACS_peak_205_lociStitched	chr1(.):15160772-15164649	0.1563
2_MACS_peak_206_lociStitched	chr1(.):15202514-15209469	0.1488
1_MACS_peak_208_lociStitched	chr1(.):15251036-15251724	0.0907
2_MACS_peak_209_lociStitched	chr1(.):15479918-15483809	0.1242
3_MACS_peak_211_lociStitched	chr1(.):15500353-15506506	0.1817
1_MACS_peak_214_lociStitched	chr1(.):15545541-15546858	0.1652
1_MACS_peak_215_lociStitched	chr1(.):15557510-15559183	0.1516
1_MACS_peak_216_lociStitched	chr1(.):15574651-15576059	0.1988
2_MACS_peak_217_lociStitched	chr1(.):15583939-15588671	0.1302
1_MACS_peak_219_lociStitched	chr1(.):15623525-15624391	0.1185
1_MACS_peak_220_lociStitched	chr1(.):15688648-15689812	0.1255
1_MACS_peak_221_lociStitched	chr1(.):15710346-15711540	0.1122
1_MACS_peak_222_lociStitched	chr1(.):15735501-15737335	0.1014
2_MACS_peak_223_lociStitched	chr1(.):15850195-15854311	0.1821
3_MACS_peak_225_lociStitched	chr1(.):15897199-15912192	0.156
1_MACS_peak_228_lociStitched	chr1(.):15942755-15945444	0.1904
1_MACS_peak_229_lociStitched	chr1(.):16009836-16011961	0.0793
1_MACS_peak_230_lociStitched	chr1(.):16022988-16024711	0.1885
1_MACS_peak_231_lociStitched	chr1(.):16160045-16163518	0.1969
2_MACS_peak_232_lociStitched	chr1(.):16173165-16178889	0.1347
1_MACS_peak_234_lociStitched	chr1(.):16301729-16303281	0.1502
2_MACS_peak_235_lociStitched	chr1(.):16399881-16406185	0.1271
2_MACS_peak_237_lociStitched	chr1(.):16532449-16534203	0.1064
1_MACS_peak_239_lociStitched	chr1(.):16562484-16564368	0.2197
1_MACS_peak_240_lociStitched	chr1(.):16677609-16679845	0.1852
1_MACS_peak_241_lociStitched	chr1(.):16692779-16695428	0.2361
1_MACS_peak_242_lociStitched	chr1(.):16766619-16771476	0.1907
2_MACS_peak_243_lociStitched	chr1(.):16824942-16833219	0.142
1_MACS_peak_246_lociStitched	chr1(.):16938819-16940972	0.6993
1_MACS_peak_247_lociStitched	chr1(.):16969745-16972558	0.7645
1_MACS_peak_248_lociStitched	chr1(.):16992069-16994738	0.5654
1_MACS_peak_249_lociStitched	chr1(.):17011878-17013099	0.2382
1_MACS_peak_250_lociStitched	chr1(.):17022807-17023871	0.2471
2_MACS_peak_251_lociStitched	chr1(.):17065678-17075470	0.3339
4_MACS_peak_253_lociStitched	chr1(.):17221336-17241677	0.282
1_MACS_peak_257_lociStitched	chr1(.):17286820-17288030	0.193
1_MACS_peak_258_lociStitched	chr1(.):17337491-17338687	0.1159
1_MACS_peak_259_lociStitched	chr1(.):17379492-17381345	0.2367
1_MACS_peak_260_lociStitched	chr1(.):17719639-17720583	0.1727
2_MACS_peak_261_lociStitched	chr1(.):17763448-17768978	0.1265
1_MACS_peak_263_lociStitched	chr1(.):17786830-17788497	0.1722
1_MACS_peak_264_lociStitched	chr1(.):19228216-19230208	0.1635
1_MACS_peak_265_lociStitched	chr1(.):19252315-19255153	0.2346
2_MACS_peak_266_lociStitched	chr1(.):19276624-19283991	0.1384
1_MACS_peak_268_lociStitched	chr1(.):19535457-19538161	0.1516
1_MACS_peak_269_lociStitched	chr1(.):19577366-19579091	0.209
1_MACS_peak_270_lociStitched	chr1(.):19637597-19639683	0.1572
2_MACS_peak_271_lociStitched	chr1(.):19811020-19813348	0.1242
1_MACS_peak_273_lociStitched	chr1(.):19821780-19823001	0.1822
1_MACS_peak_274_lociStitched	chr1(.):19922289-19924492	0.2086
1_MACS_peak_275_lociStitched	chr1(.):20084841-20086384	0.2166
1_MACS_peak_276_lociStitched	chr1(.):20125385-20127520	0.1569
1_MACS_peak_277_lociStitched	chr1(.):20142127-20143262	0.1778
1_MACS_peak_278_lociStitched	chr1(.):20208420-20209858	0.1747
2_MACS_peak_279_lociStitched	chr1(.):20404086-20408544	0.1247
1_MACS_peak_281_lociStitched	chr1(.):20415668-20416762	0.1378
1_MACS_peak_282_lociStitched	chr1(.):20445565-20446918	0.1134
2_MACS_peak_283_lociStitched	chr1(.):20833677-20839292	0.164
1_MACS_peak_285_lociStitched	chr1(.):20959608-20961376	0.1296
1_MACS_peak_286_lociStitched	chr1(.):20986817-20988974	0.194
1_MACS_peak_287_lociStitched	chr1(.):21022822-21023831	0.1736
1_MACS_peak_288_lociStitched	chr1(.):21058703-21060747	0.1759
1_MACS_peak_289_lociStitched	chr1(.):21111755-21114936	0.1733
1_MACS_peak_290_lociStitched	chr1(.):21290595-21292053	0.2074
1_MACS_peak_291_lociStitched	chr1(.):21348017-21350001	0.1795
1_MACS_peak_292_lociStitched	chr1(.):21501888-21504109	0.1229
1_MACS_peak_293_lociStitched	chr1(.):21615476-21622676	0.1886
1_MACS_peak_294_lociStitched	chr1(.):21660044-21661707	0.246
1_MACS_peak_295_lociStitched	chr1(.):21670847-21673002	0.1499
1_MACS_peak_296_lociStitched	chr1(.):21765854-21767471	0.1912
1_MACS_peak_297_lociStitched	chr1(.):22026582-22027630	0.1397
1_MACS_peak_298_lociStitched	chr1(.):22107549-22110727	0.1951
1_MACS_peak_299_lociStitched	chr1(.):22117373-22119383	0.2229
1_MACS_peak_300_lociStitched	chr1(.):22191324-22194983	0.174
1_MACS_peak_301_lociStitched	chr1(.):22263868-22264641	0.1065
2_MACS_peak_302_lociStitched	chr1(.):22345020-22353476	0.174
1_MACS_peak_304_lociStitched	chr1(.):22365701-22367349	0.2709
1_MACS_peak_305_lociStitched	chr1(.):22378386-22380499	0.1638
1_MACS_peak_306_lociStitched	chr1(.):22444635-22446333	0.1861
1_MACS_peak_307_lociStitched	chr1(.):22489100-22490535	0.1332
1_MACS_peak_308_lociStitched	chr1(.):22777566-22779680	0.187
1_MACS_peak_309_lociStitched	chr1(.):22820208-22823866	0.2043
1_MACS_peak_310_lociStitched	chr1(.):22833887-22835892	0.1815
1_MACS_peak_311_lociStitched	chr1(.):23345367-23346870	0.1536
1_MACS_peak_312_lociStitched	chr1(.):23494637-23495497	0.0823
2_MACS_peak_313_lociStitched	chr1(.):23668351-23671970	0.1495
1_MACS_peak_315_lociStitched	chr1(.):23694011-23696589	0.1931
1_MACS_peak_316_lociStitched	chr1(.):23823450-23824394	0.2259
3_MACS_peak_317_lociStitched	chr1(.):23850189-23866831	0.1792
2_MACS_peak_320_lociStitched	chr1(.):23880414-23886860	0.1506
1_MACS_peak_322_lociStitched	chr1(.):23903176-23904639	0.1655
1_MACS_peak_323_lociStitched	chr1(.):23918592-23921322	0.1745
3_MACS_peak_324_lociStitched	chr1(.):23937636-23954623	0.1747
1_MACS_peak_327_lociStitched	chr1(.):24017887-24019389	0.1744
1_MACS_peak_328_lociStitched	chr1(.):24069125-24071724	0.1526
1_MACS_peak_329_lociStitched	chr1(.):24104034-24105766	0.1659
1_MACS_peak_330_lociStitched	chr1(.):24116814-24118512	0.2066
1_MACS_peak_331_lociStitched	chr1(.):24125845-24128142	0.1499
1_MACS_peak_332_lociStitched	chr1(.):24151176-24152995	0.1487
1_MACS_peak_333_lociStitched	chr1(.):24181294-24182581	0.1737
1_MACS_peak_334_lociStitched	chr1(.):24193634-24195003	0.2185
1_MACS_peak_335_lociStitched	chr1(.):24246049-24247393	0.1143
2_MACS_peak_336_lociStitched	chr1(.):24281087-24287794	0.1528
1_MACS_peak_338_lociStitched	chr1(.):24305435-24307840	0.2066
2_MACS_peak_339_lociStitched	chr1(.):24468699-24478974	0.1532
3_MACS_peak_341_lociStitched	chr1(.):24511971-24533891	0.1853
1_MACS_peak_344_lociStitched	chr1(.):24645168-24650541	0.2413
1_MACS_peak_345_lociStitched	chr1(.):24676964-24678418	0.1777
3_MACS_peak_346_lociStitched	chr1(.):24710072-24720490	0.2044
2_MACS_peak_349_lociStitched	chr1(.):24739412-24743796	0.2307
1_MACS_peak_351_lociStitched	chr1(.):24807495-24808807	0.1275
1_MACS_peak_352_lociStitched	chr1(.):24827143-24830347	0.1991
1_MACS_peak_353_lociStitched	chr1(.):24861067-24862369	0.1471
2_MACS_peak_354_lociStitched	chr1(.):24882270-24885242	0.1729
1_MACS_peak_356_lociStitched	chr1(.):24967958-24971287	0.2001
1_MACS_peak_357_lociStitched	chr1(.):25020262-25021745	0.1457
1_MACS_peak_358_lociStitched	chr1(.):25053267-25054998	0.1758
2_MACS_peak_359_lociStitched	chr1(.):25069500-25076336	0.1792
1_MACS_peak_361_lociStitched	chr1(.):25174440-25175663	0.1612
1_MACS_peak_362_lociStitched	chr1(.):25254274-25257650	0.1455
1_MACS_peak_363_lociStitched	chr1(.):25290791-25292905	0.172
3_MACS_peak_364_lociStitched	chr1(.):25347199-25364598	0.1352
4_MACS_peak_367_lociStitched	chr1(.):25558211-25574892	0.1628
1_MACS_peak_371_lociStitched	chr1(.):25592693-25595108	0.1849
1_MACS_peak_372_lociStitched	chr1(.):25663333-25665854	0.1942
1_MACS_peak_373_lociStitched	chr1(.):25755992-25758467	0.1556
1_MACS_peak_374_lociStitched	chr1(.):25798713-25799968	0.1829
2_MACS_peak_375_lociStitched	chr1(.):25869466-25879236	0.1765
1_MACS_peak_377_lociStitched	chr1(.):25887763-25890260	0.1764
1_MACS_peak_378_lociStitched	chr1(.):25926136-25927536	0.174
2_MACS_peak_379_lociStitched	chr1(.):25942066-25949196	0.1455
1_MACS_peak_381_lociStitched	chr1(.):25958188-25959259	0.1779
1_MACS_peak_382_lociStitched	chr1(.):25967308-25970833	0.2115
1_MACS_peak_383_lociStitched	chr1(.):26001197-26003528	0.1709
2_MACS_peak_384_lociStitched	chr1(.):26126079-26127519	0.0736
1_MACS_peak_386_lociStitched	chr1(.):26145597-26148176	0.1796
1_MACS_peak_387_lociStitched	chr1(.):26185089-26186287	0.1446
1_MACS_peak_388_lociStitched	chr1(.):26201372-26202357	0.1089
1_MACS_peak_389_lociStitched	chr1(.):26231145-26233333	0.1708
1_MACS_peak_390_lociStitched	chr1(.):26323030-26325486	0.3288
1_MACS_peak_391_lociStitched	chr1(.):26361364-26362878	0.252
3_MACS_peak_392_lociStitched	chr1(.):26436747-26453974	0.1511
4_MACS_peak_395_lociStitched	chr1(.):26490577-26507015	0.121
2_MACS_peak_399_lociStitched	chr1(.):26559757-26564633	0.195
1_MACS_peak_401_lociStitched	chr1(.):26578480-26580194	0.1464
3_MACS_peak_402_lociStitched	chr1(.):26601885-26614733	0.175
1_MACS_peak_405_lociStitched	chr1(.):26632114-26634808	0.2123
1_MACS_peak_406_lociStitched	chr1(.):26641628-26642816	0.1336
1_MACS_peak_407_lociStitched	chr1(.):26662406-26663832	0.1904
1_MACS_peak_408_lociStitched	chr1(.):26758026-26759624	0.222
1_MACS_peak_409_lociStitched	chr1(.):26797899-26800603	0.1598
1_MACS_peak_410_lociStitched	chr1(.):26826267-26828597	0.2106
1_MACS_peak_411_lociStitched	chr1(.):26855934-26857275	0.1105
2_MACS_peak_412_lociStitched	chr1(.):26866026-26873230	0.1765
1_MACS_peak_414_lociStitched	chr1(.):26946044-26948729	0.1923
1_MACS_peak_415_lociStitched	chr1(.):27018306-27030866	0.1997
3_MACS_peak_416_lociStitched	chr1(.):27061493-27072354	0.1548
1_MACS_peak_419_lociStitched	chr1(.):27112819-27116143	0.2314
1_MACS_peak_420_lociStitched	chr1(.):27126279-27127670	0.137
1_MACS_peak_421_lociStitched	chr1(.):27136479-27137400	0.099
5_MACS_peak_422_lociStitched	chr1(.):27147142-27167135	0.1501
1_MACS_peak_427_lociStitched	chr1(.):27188478-27193335	0.2277
1_MACS_peak_428_lociStitched	chr1(.):27215830-27217411	0.2887
1_MACS_peak_429_lociStitched	chr1(.):27225939-27227735	0.214
1_MACS_peak_430_lociStitched	chr1(.):27247536-27249115	0.2115
1_MACS_peak_431_lociStitched	chr1(.):27286154-27287659	0.1976
1_MACS_peak_432_lociStitched	chr1(.):27396388-27397997	0.1205
1_MACS_peak_433_lociStitched	chr1(.):27462980-27464300	0.1089
1_MACS_peak_434_lociStitched	chr1(.):27480960-27482568	0.1973
1_MACS_peak_435_lociStitched	chr1(.):27560180-27562577	0.1914
1_MACS_peak_436_lociStitched	chr1(.):27648106-27649776	0.1492
2_MACS_peak_437_lociStitched	chr1(.):27667513-27676821	0.1262
1_MACS_peak_439_lociStitched	chr1(.):27692728-27693870	0.1502
1_MACS_peak_440_lociStitched	chr1(.):27717949-27719887	0.1866
1_MACS_peak_441_lociStitched	chr1(.):27744233-27745805	0.1429
2_MACS_peak_442_lociStitched	chr1(.):27761403-27766053	0.1602
2_MACS_peak_444_lociStitched	chr1(.):27815010-27819224	0.1805
1_MACS_peak_446_lociStitched	chr1(.):27826408-27827261	0.1057
1_MACS_peak_447_lociStitched	chr1(.):27883238-27884225	0.1715
1_MACS_peak_448_lociStitched	chr1(.):27929686-27931071	0.0814
1_MACS_peak_449_lociStitched	chr1(.):27960225-27961420	0.0917
2_MACS_peak_450_lociStitched	chr1(.):27985211-27990111	0.1137
1_MACS_peak_452_lociStitched	chr1(.):28051493-28053648	0.2122
1_MACS_peak_453_lociStitched	chr1(.):28098719-28100635	0.2299
1_MACS_peak_454_lociStitched	chr1(.):28156317-28158214	0.1699
1_MACS_peak_455_lociStitched	chr1(.):28239932-28242015	0.2106
1_MACS_peak_456_lociStitched	chr1(.):28285567-28287393	0.1541
2_MACS_peak_457_lociStitched	chr1(.):28353336-28362924	0.1518
1_MACS_peak_459_lociStitched	chr1(.):28396012-28397373	0.1356
1_MACS_peak_460_lociStitched	chr1(.):28414004-28416163	0.2376
1_MACS_peak_461_lociStitched	chr1(.):28474005-28475445	0.2111
2_MACS_peak_462_lociStitched	chr1(.):28495300-28499995	0.1739
2_MACS_peak_464_lociStitched	chr1(.):28558617-28563734	0.2196
1_MACS_peak_466_lociStitched	chr1(.):28570255-28577112	0.1871
1_MACS_peak_467_lociStitched	chr1(.):28584981-28587207	0.1362
1_MACS_peak_468_lociStitched	chr1(.):28654681-28656685	0.2455
1_MACS_peak_469_lociStitched	chr1(.):28695468-28697322	0.2314
1_MACS_peak_470_lociStitched	chr1(.):28763922-28765338	0.1932
1_MACS_peak_471_lociStitched	chr1(.):28831454-28836439	0.198
1_MACS_peak_472_lociStitched	chr1(.):28843691-28846188	0.1913
1_MACS_peak_473_lociStitched	chr1(.):28878425-28880991	0.2246
2_MACS_peak_474_lociStitched	chr1(.):28906301-28914377	0.182
1_MACS_peak_476_lociStitched	chr1(.):28924788-28929456	0.1974
1_MACS_peak_477_lociStitched	chr1(.):28957880-28959097	0.0991
2_MACS_peak_478_lociStitched	chr1(.):28968498-28976200	0.1868
2_MACS_peak_480_lociStitched	chr1(.):28994521-28996919	0.2199
1_MACS_peak_482_lociStitched	chr1(.):29062304-29064988	0.2296
1_MACS_peak_483_lociStitched	chr1(.):29101490-29102476	0.2019
2_MACS_peak_484_lociStitched	chr1(.):29210579-29215027	0.1745
1_MACS_peak_486_lociStitched	chr1(.):29240107-29242629	0.1771
1_MACS_peak_487_lociStitched	chr1(.):29252708-29255400	0.1946
1_MACS_peak_488_lociStitched	chr1(.):29506403-29509695	0.2116
1_MACS_peak_489_lociStitched	chr1(.):29528554-29529798	0.2342
1_MACS_peak_490_lociStitched	chr1(.):29556728-29558160	0.2306
1_MACS_peak_491_lociStitched	chr1(.):29675949-29676995	0.1541
1_MACS_peak_492_lociStitched	chr1(.):30337171-30338295	0.1286
2_MACS_peak_493_lociStitched	chr1(.):30347477-30350527	0.0948
1_MACS_peak_495_lociStitched	chr1(.):30995697-30997215	0.1673
1_MACS_peak_496_lociStitched	chr1(.):31073050-31074051	0.1499
1_MACS_peak_497_lociStitched	chr1(.):31191483-31193036	0.2692
1_MACS_peak_498_lociStitched	chr1(.):31214210-31233610	0.1998
2_MACS_peak_499_lociStitched	chr1(.):31251579-31256250	0.1885
