GENE_ID	locusLine	bin_1_42_0EXU_0229Kronos_MM1S-KB-6hr-2_Input_hs_i86.bam
1_MACS_peak_38_lociStitched	chr1(.):1754940-1756274	0.1222
1_MACS_peak_39_lociStitched	chr1(.):1772365-1775153	0.2057
2_MACS_peak_40_lociStitched	chr1(.):1821101-1829488	0.1127
1_MACS_peak_42_lociStitched	chr1(.):1837651-1841403	0.1777
2_MACS_peak_43_lociStitched	chr1(.):2120368-2127303	0.0827
1_MACS_peak_45_lociStitched	chr1(.):2158385-2159426	0.0432
1_MACS_peak_46_lociStitched	chr1(.):2221422-2223138	0.1345
1_MACS_peak_47_lociStitched	chr1(.):2231142-2233409	0.1868
1_MACS_peak_48_lociStitched	chr1(.):2322110-2324397	0.1455
2_MACS_peak_49_lociStitched	chr1(.):2342949-2347825	0.1617
1_MACS_peak_51_lociStitched	chr1(.):2456677-2458515	0.1274
2_MACS_peak_52_lociStitched	chr1(.):2476952-2489269	0.154
1_MACS_peak_54_lociStitched	chr1(.):2508725-2510277	0.1453
1_MACS_peak_55_lociStitched	chr1(.):2516469-2518905	0.153
1_MACS_peak_56_lociStitched	chr1(.):2573680-2575143	0.155
1_MACS_peak_57_lociStitched	chr1(.):3447040-3447628	0.0469
2_MACS_peak_58_lociStitched	chr1(.):3540279-3548190	0.123
2_MACS_peak_60_lociStitched	chr1(.):3565682-3569919	0.1063
1_MACS_peak_62_lociStitched	chr1(.):3589248-3590445	0.1232
1_MACS_peak_63_lociStitched	chr1(.):3711990-3713781	0.189
1_MACS_peak_64_lociStitched	chr1(.):3772909-3775094	0.116
1_MACS_peak_65_lociStitched	chr1(.):3815770-3818631	0.1704
1_MACS_peak_66_lociStitched	chr1(.):3838165-3839712	0.2234
1_MACS_peak_67_lociStitched	chr1(.):4997682-4998771	0.0726
1_MACS_peak_68_lociStitched	chr1(.):6051156-6055695	0.186
1_MACS_peak_69_lociStitched	chr1(.):6083959-6087331	0.1525
2_MACS_peak_70_lociStitched	chr1(.):6258527-6266876	0.1204
1_MACS_peak_72_lociStitched	chr1(.):6294565-6296763	0.1434
1_MACS_peak_73_lociStitched	chr1(.):6419186-6420728	0.2229
1_MACS_peak_74_lociStitched	chr1(.):6452256-6454706	0.2074
1_MACS_peak_75_lociStitched	chr1(.):6474270-6475414	0.2403
1_MACS_peak_76_lociStitched	chr1(.):6549710-6551779	0.1846
1_MACS_peak_77_lociStitched	chr1(.):6613529-6615500	0.1331
1_MACS_peak_78_lociStitched	chr1(.):6639279-6641123	0.2115
1_MACS_peak_79_lociStitched	chr1(.):6659317-6664898	0.2017
1_MACS_peak_80_lociStitched	chr1(.):6672321-6675022	0.1142
1_MACS_peak_81_lociStitched	chr1(.):6684347-6686780	0.2172
1_MACS_peak_82_lociStitched	chr1(.):6733376-6734854	0.1486
1_MACS_peak_83_lociStitched	chr1(.):6760800-6762309	0.1076
1_MACS_peak_84_lociStitched	chr1(.):6843714-6846712	0.117
1_MACS_peak_85_lociStitched	chr1(.):6880448-6881705	0.1938
1_MACS_peak_86_lociStitched	chr1(.):6892253-6893471	0.1158
2_MACS_peak_87_lociStitched	chr1(.):6977894-6983013	0.1518
1_MACS_peak_89_lociStitched	chr1(.):7831014-7832488	0.1655
1_MACS_peak_90_lociStitched	chr1(.):8013848-8014906	0.1059
1_MACS_peak_91_lociStitched	chr1(.):8020703-8022627	0.1946
2_MACS_peak_92_lociStitched	chr1(.):8455011-8458185	0.1511
3_MACS_peak_94_lociStitched	chr1(.):8650258-8665230	0.1441
1_MACS_peak_97_lociStitched	chr1(.):8740400-8741904	0.1481
2_MACS_peak_98_lociStitched	chr1(.):8760781-8765617	0.1751
1_MACS_peak_100_lociStitched	chr1(.):8771658-8773716	0.1554
1_MACS_peak_101_lociStitched	chr1(.):8876137-8879070	0.1909
1_MACS_peak_102_lociStitched	chr1(.):8937130-8940017	0.1266
1_MACS_peak_103_lociStitched	chr1(.):9222235-9226052	0.1827
1_MACS_peak_104_lociStitched	chr1(.):9241144-9243104	0.1351
1_MACS_peak_105_lociStitched	chr1(.):9294452-9295867	0.084
1_MACS_peak_106_lociStitched	chr1(.):9473212-9474087	0.0949
2_MACS_peak_107_lociStitched	chr1(.):9485754-9489728	0.1706
1_MACS_peak_109_lociStitched	chr1(.):9599231-9600618	0.0735
1_MACS_peak_110_lociStitched	chr1(.):9614861-9616048	0.1537
1_MACS_peak_111_lociStitched	chr1(.):9648042-9650319	0.122
1_MACS_peak_112_lociStitched	chr1(.):9776732-9778735	0.1939
1_MACS_peak_113_lociStitched	chr1(.):9846446-9848729	0.125
1_MACS_peak_114_lociStitched	chr1(.):9882637-9884472	0.182
1_MACS_peak_115_lociStitched	chr1(.):9896015-9896856	0.108
2_MACS_peak_116_lociStitched	chr1(.):9969144-9971805	0.2095
1_MACS_peak_118_lociStitched	chr1(.):10002256-10004325	0.2229
1_MACS_peak_119_lociStitched	chr1(.):10009884-10011521	0.1932
1_MACS_peak_120_lociStitched	chr1(.):10050231-10051906	0.1477
1_MACS_peak_121_lociStitched	chr1(.):10078356-10079886	0.1295
1_MACS_peak_122_lociStitched	chr1(.):10092301-10094820	0.2613
1_MACS_peak_123_lociStitched	chr1(.):10228585-10231350	0.168
1_MACS_peak_124_lociStitched	chr1(.):10248932-10251006	0.1477
1_MACS_peak_125_lociStitched	chr1(.):10260073-10261777	0.1678
1_MACS_peak_126_lociStitched	chr1(.):10269621-10271617	0.1388
2_MACS_peak_127_lociStitched	chr1(.):10310673-10314782	0.1797
1_MACS_peak_129_lociStitched	chr1(.):10447495-10448586	0.1452
1_MACS_peak_130_lociStitched	chr1(.):10458150-10460181	0.1962
1_MACS_peak_131_lociStitched	chr1(.):10489806-10491999	0.1869
1_MACS_peak_132_lociStitched	chr1(.):10504337-10505782	0.2093
1_MACS_peak_133_lociStitched	chr1(.):10516215-10518181	0.2518
2_MACS_peak_134_lociStitched	chr1(.):10531629-10536136	0.1626
1_MACS_peak_136_lociStitched	chr1(.):10554581-10556117	0.2667
1_MACS_peak_137_lociStitched	chr1(.):11071554-11073810	0.2104
1_MACS_peak_138_lociStitched	chr1(.):11118575-11121479	0.1375
1_MACS_peak_139_lociStitched	chr1(.):11158832-11160661	0.2595
1_MACS_peak_140_lociStitched	chr1(.):11286729-11288320	0.1291
1_MACS_peak_141_lociStitched	chr1(.):11321671-11323482	0.1927
1_MACS_peak_142_lociStitched	chr1(.):11332820-11334582	0.1697
1_MACS_peak_143_lociStitched	chr1(.):11538463-11539884	0.1579
2_MACS_peak_144_lociStitched	chr1(.):11623203-11631823	0.172
1_MACS_peak_146_lociStitched	chr1(.):11713892-11715182	0.0943
1_MACS_peak_147_lociStitched	chr1(.):11723738-11725433	0.1719
1_MACS_peak_148_lociStitched	chr1(.):11740301-11742306	0.1538
2_MACS_peak_149_lociStitched	chr1(.):11790195-11798124	0.1484
1_MACS_peak_151_lociStitched	chr1(.):11843191-11845902	0.1309
1_MACS_peak_152_lociStitched	chr1(.):11862963-11867577	0.1898
1_MACS_peak_153_lociStitched	chr1(.):11967506-11970652	0.2606
1_MACS_peak_154_lociStitched	chr1(.):11984198-11987491	0.1528
1_MACS_peak_155_lociStitched	chr1(.):11993746-11995595	0.1414
1_MACS_peak_156_lociStitched	chr1(.):12039597-12041383	0.1461
1_MACS_peak_157_lociStitched	chr1(.):12078686-12080619	0.2259
2_MACS_peak_158_lociStitched	chr1(.):12106789-12113110	0.1971
1_MACS_peak_160_lociStitched	chr1(.):12139026-12140052	0.1381
2_MACS_peak_161_lociStitched	chr1(.):12221168-12227871	0.1304
1_MACS_peak_163_lociStitched	chr1(.):12289673-12291618	0.1171
1_MACS_peak_164_lociStitched	chr1(.):12403915-12406083	0.1576
2_MACS_peak_165_lociStitched	chr1(.):12494046-12496664	0.2002
1_MACS_peak_167_lociStitched	chr1(.):12508938-12510242	0.1513
1_MACS_peak_168_lociStitched	chr1(.):12677977-12679686	0.1867
1_MACS_peak_169_lociStitched	chr1(.):13824518-13825958	0.0806
1_MACS_peak_170_lociStitched	chr1(.):14026047-14027150	0.1226
1_MACS_peak_171_lociStitched	chr1(.):14056599-14058288	0.2398
1_MACS_peak_172_lociStitched	chr1(.):14074935-14076997	0.1186
1_MACS_peak_173_lociStitched	chr1(.):14155278-14156346	0.1656
1_MACS_peak_174_lociStitched	chr1(.):14237723-14239519	0.1482
2_MACS_peak_175_lociStitched	chr1(.):14246889-14254711	0.126
1_MACS_peak_177_lociStitched	chr1(.):14271955-14273449	0.0925
1_MACS_peak_178_lociStitched	chr1(.):14293270-14295443	0.184
3_MACS_peak_179_lociStitched	chr1(.):14329456-14344790	0.1293
1_MACS_peak_182_lociStitched	chr1(.):14361719-14367649	0.2006
1_MACS_peak_183_lociStitched	chr1(.):14463353-14464807	0.1037
2_MACS_peak_184_lociStitched	chr1(.):14501004-14508806	0.1792
1_MACS_peak_186_lociStitched	chr1(.):14660958-14661833	0.0678
1_MACS_peak_187_lociStitched	chr1(.):14686912-14688506	0.1707
1_MACS_peak_188_lociStitched	chr1(.):14695389-14697183	0.1342
1_MACS_peak_189_lociStitched	chr1(.):15058946-15060539	0.126
1_MACS_peak_190_lociStitched	chr1(.):15160892-15164475	0.1498
2_MACS_peak_191_lociStitched	chr1(.):15202736-15209304	0.1392
3_MACS_peak_193_lociStitched	chr1(.):15499945-15506707	0.1759
1_MACS_peak_196_lociStitched	chr1(.):15557536-15559120	0.2455
1_MACS_peak_197_lociStitched	chr1(.):15584113-15585485	0.1793
1_MACS_peak_198_lociStitched	chr1(.):15735533-15737623	0.1085
1_MACS_peak_199_lociStitched	chr1(.):15849789-15854414	0.1636
1_MACS_peak_200_lociStitched	chr1(.):15897392-15899456	0.204
2_MACS_peak_201_lociStitched	chr1(.):15904970-15912266	0.1687
1_MACS_peak_203_lociStitched	chr1(.):15942368-15945802	0.1986
1_MACS_peak_204_lociStitched	chr1(.):16009843-16012107	0.0907
1_MACS_peak_205_lociStitched	chr1(.):16022784-16025078	0.2343
1_MACS_peak_206_lociStitched	chr1(.):16160017-16163514	0.2256
2_MACS_peak_207_lociStitched	chr1(.):16172966-16178977	0.1696
1_MACS_peak_209_lociStitched	chr1(.):16212324-16213332	0.084
1_MACS_peak_210_lociStitched	chr1(.):16301673-16303277	0.1807
1_MACS_peak_211_lociStitched	chr1(.):16399832-16400975	0.081
1_MACS_peak_212_lociStitched	chr1(.):16532738-16534272	0.103
1_MACS_peak_213_lociStitched	chr1(.):16562406-16564489	0.1764
1_MACS_peak_214_lociStitched	chr1(.):16677513-16679897	0.1997
1_MACS_peak_215_lociStitched	chr1(.):16692832-16695378	0.2801
1_MACS_peak_216_lociStitched	chr1(.):16766617-16771436	0.1975
1_MACS_peak_217_lociStitched	chr1(.):16824897-16826604	0.0792
1_MACS_peak_218_lociStitched	chr1(.):16832414-16833349	0.1686
1_MACS_peak_220_lociStitched	chr1(.):16938779-16941057	0.7043
1_MACS_peak_221_lociStitched	chr1(.):16969054-16972766	0.677
2_MACS_peak_222_lociStitched	chr1(.):16984862-16994554	0.3052
1_MACS_peak_224_lociStitched	chr1(.):17065706-17068722	0.567
1_MACS_peak_225_lociStitched	chr1(.):17074573-17075632	0.3333
2_MACS_peak_226_lociStitched	chr1(.):17221334-17233130	0.3464
1_MACS_peak_228_lociStitched	chr1(.):17239938-17241664	0.2058
1_MACS_peak_229_lociStitched	chr1(.):17286612-17288249	0.1577
1_MACS_peak_230_lociStitched	chr1(.):17337542-17338651	0.1025
1_MACS_peak_231_lociStitched	chr1(.):17371841-17373035	0.2368
1_MACS_peak_232_lociStitched	chr1(.):17379470-17381232	0.2247
2_MACS_peak_233_lociStitched	chr1(.):17763477-17768769	0.1113
1_MACS_peak_235_lociStitched	chr1(.):17787132-17788181	0.1064
1_MACS_peak_236_lociStitched	chr1(.):19228362-19230244	0.2339
1_MACS_peak_237_lociStitched	chr1(.):19252305-19255384	0.225
2_MACS_peak_238_lociStitched	chr1(.):19276518-19283943	0.1324
1_MACS_peak_240_lociStitched	chr1(.):19535287-19538230	0.1548
1_MACS_peak_241_lociStitched	chr1(.):19577217-19579298	0.1996
1_MACS_peak_242_lociStitched	chr1(.):19637543-19639763	0.158
1_MACS_peak_243_lociStitched	chr1(.):19810525-19813366	0.1349
1_MACS_peak_244_lociStitched	chr1(.):19821882-19823166	0.1755
1_MACS_peak_245_lociStitched	chr1(.):19922255-19924604	0.2605
2_MACS_peak_246_lociStitched	chr1(.):20085015-20092061	0.1465
1_MACS_peak_248_lociStitched	chr1(.):20125498-20127637	0.151
1_MACS_peak_249_lociStitched	chr1(.):20141930-20142978	0.1054
1_MACS_peak_250_lociStitched	chr1(.):20208367-20209797	0.2054
1_MACS_peak_251_lociStitched	chr1(.):20404336-20405601	0.1826
1_MACS_peak_252_lociStitched	chr1(.):20415621-20416857	0.1879
2_MACS_peak_253_lociStitched	chr1(.):20833532-20838987	0.1573
1_MACS_peak_255_lociStitched	chr1(.):20959696-20961201	0.1257
1_MACS_peak_256_lociStitched	chr1(.):20986837-20989098	0.1932
1_MACS_peak_257_lociStitched	chr1(.):21059046-21060600	0.1593
1_MACS_peak_258_lociStitched	chr1(.):21111821-21114919	0.1588
1_MACS_peak_259_lociStitched	chr1(.):21193377-21194076	0.1197
1_MACS_peak_260_lociStitched	chr1(.):21290507-21292212	0.2837
1_MACS_peak_261_lociStitched	chr1(.):21348155-21349856	0.1659
2_MACS_peak_262_lociStitched	chr1(.):21501640-21503947	0.1287
1_MACS_peak_264_lociStitched	chr1(.):21615658-21622713	0.1988
1_MACS_peak_265_lociStitched	chr1(.):21659991-21661818	0.213
1_MACS_peak_266_lociStitched	chr1(.):21670972-21673098	0.1444
1_MACS_peak_267_lociStitched	chr1(.):21765837-21767284	0.1683
2_MACS_peak_268_lociStitched	chr1(.):22026422-22031516	0.1537
1_MACS_peak_270_lociStitched	chr1(.):22107386-22110742	0.2077
1_MACS_peak_271_lociStitched	chr1(.):22117424-22119320	0.2541
1_MACS_peak_272_lociStitched	chr1(.):22191522-22193959	0.1464
1_MACS_peak_273_lociStitched	chr1(.):22263886-22264598	0.1721
2_MACS_peak_274_lociStitched	chr1(.):22345089-22353547	0.176
1_MACS_peak_276_lociStitched	chr1(.):22365630-22367564	0.206
1_MACS_peak_277_lociStitched	chr1(.):22378303-22380685	0.1207
1_MACS_peak_278_lociStitched	chr1(.):22489177-22490501	0.1237
1_MACS_peak_279_lociStitched	chr1(.):22777678-22779680	0.2153
2_MACS_peak_280_lociStitched	chr1(.):22820147-22823924	0.2064
1_MACS_peak_282_lociStitched	chr1(.):22834031-22835774	0.1958
1_MACS_peak_283_lociStitched	chr1(.):23345274-23347105	0.123
1_MACS_peak_284_lociStitched	chr1(.):23493771-23495719	0.091
1_MACS_peak_285_lociStitched	chr1(.):23668189-23672055	0.1749
1_MACS_peak_286_lociStitched	chr1(.):23693912-23696644	0.2383
1_MACS_peak_287_lociStitched	chr1(.):23849067-23858980	0.248
1_MACS_peak_288_lociStitched	chr1(.):23865694-23867108	0.1932
2_MACS_peak_289_lociStitched	chr1(.):23880457-23886808	0.1656
1_MACS_peak_291_lociStitched	chr1(.):23903629-23904688	0.178
1_MACS_peak_292_lociStitched	chr1(.):23918618-23920872	0.2491
4_MACS_peak_293_lociStitched	chr1(.):23937824-23954593	0.1852
1_MACS_peak_297_lociStitched	chr1(.):24017864-24019554	0.2204
1_MACS_peak_298_lociStitched	chr1(.):24069028-24072088	0.1657
1_MACS_peak_299_lociStitched	chr1(.):24104046-24106138	0.1411
1_MACS_peak_300_lociStitched	chr1(.):24116824-24118903	0.1597
1_MACS_peak_301_lociStitched	chr1(.):24125732-24128188	0.2038
1_MACS_peak_302_lociStitched	chr1(.):24151102-24152949	0.1594
1_MACS_peak_303_lociStitched	chr1(.):24180799-24182760	0.1827
2_MACS_peak_304_lociStitched	chr1(.):24191740-24195242	0.2267
1_MACS_peak_306_lociStitched	chr1(.):24246074-24247457	0.1381
3_MACS_peak_307_lociStitched	chr1(.):24281224-24292365	0.1618
1_MACS_peak_310_lociStitched	chr1(.):24305035-24307920	0.1807
1_MACS_peak_311_lociStitched	chr1(.):24357654-24358177	0.1038
1_MACS_peak_312_lociStitched	chr1(.):24468605-24470064	0.1808
1_MACS_peak_313_lociStitched	chr1(.):24476431-24479075	0.2114
3_MACS_peak_314_lociStitched	chr1(.):24511947-24533815	0.1838
1_MACS_peak_317_lociStitched	chr1(.):24645402-24650404	0.2241
1_MACS_peak_318_lociStitched	chr1(.):24676741-24678384	0.1035
2_MACS_peak_319_lociStitched	chr1(.):24710220-24720706	0.1874
2_MACS_peak_321_lociStitched	chr1(.):24739417-24744137	0.212
1_MACS_peak_323_lociStitched	chr1(.):24791864-24792957	0.1054
1_MACS_peak_324_lociStitched	chr1(.):24807161-24808978	0.178
1_MACS_peak_325_lociStitched	chr1(.):24827473-24830542	0.1465
1_MACS_peak_326_lociStitched	chr1(.):24861229-24862332	0.1484
1_MACS_peak_327_lociStitched	chr1(.):24967979-24971319	0.1661
2_MACS_peak_328_lociStitched	chr1(.):25048415-25054934	0.1468
1_MACS_peak_330_lociStitched	chr1(.):25069531-25076686	0.1706
1_MACS_peak_331_lociStitched	chr1(.):25174197-25175547	0.15
1_MACS_peak_332_lociStitched	chr1(.):25254354-25257686	0.1585
1_MACS_peak_333_lociStitched	chr1(.):25290887-25292919	0.1743
1_MACS_peak_334_lociStitched	chr1(.):25347798-25350771	0.2056
1_MACS_peak_335_lociStitched	chr1(.):25357952-25359577	0.1479
4_MACS_peak_336_lociStitched	chr1(.):25557977-25575056	0.1662
1_MACS_peak_340_lociStitched	chr1(.):25592579-25595223	0.2591
1_MACS_peak_341_lociStitched	chr1(.):25663114-25666216	0.2066
1_MACS_peak_342_lociStitched	chr1(.):25756121-25758459	0.1475
2_MACS_peak_343_lociStitched	chr1(.):25793202-25799583	0.1041
2_MACS_peak_345_lociStitched	chr1(.):25869393-25877968	0.1773
1_MACS_peak_347_lociStitched	chr1(.):25886590-25890589	0.1639
2_MACS_peak_348_lociStitched	chr1(.):25942084-25947682	0.1516
1_MACS_peak_350_lociStitched	chr1(.):25967883-25970081	0.2917
1_MACS_peak_351_lociStitched	chr1(.):26002021-26003118	0.1853
1_MACS_peak_352_lociStitched	chr1(.):26125902-26126661	0.1329
1_MACS_peak_353_lociStitched	chr1(.):26145401-26148330	0.2024
1_MACS_peak_354_lociStitched	chr1(.):26185087-26186340	0.2251
1_MACS_peak_355_lociStitched	chr1(.):26230986-26233305	0.1653
1_MACS_peak_356_lociStitched	chr1(.):26259937-26260883	0.0945
1_MACS_peak_357_lociStitched	chr1(.):26323113-26325398	0.2289
1_MACS_peak_358_lociStitched	chr1(.):26361359-26362947	0.2223
3_MACS_peak_359_lociStitched	chr1(.):26436703-26453880	0.1453
1_MACS_peak_362_lociStitched	chr1(.):26495940-26497295	0.1724
1_MACS_peak_363_lociStitched	chr1(.):26503314-26504521	0.169
2_MACS_peak_364_lociStitched	chr1(.):26559646-26564695	0.2052
1_MACS_peak_366_lociStitched	chr1(.):26578319-26580059	0.1483
3_MACS_peak_367_lociStitched	chr1(.):26601899-26615574	0.1724
1_MACS_peak_370_lociStitched	chr1(.):26632293-26635021	0.1969
1_MACS_peak_371_lociStitched	chr1(.):26641605-26642799	0.1104
1_MACS_peak_372_lociStitched	chr1(.):26662363-26663577	0.1815
1_MACS_peak_373_lociStitched	chr1(.):26758108-26759673	0.2351
1_MACS_peak_374_lociStitched	chr1(.):26797853-26800721	0.1617
1_MACS_peak_375_lociStitched	chr1(.):26826217-26828804	0.1867
1_MACS_peak_376_lociStitched	chr1(.):26855627-26857265	0.1687
2_MACS_peak_377_lociStitched	chr1(.):26866014-26873363	0.2063
1_MACS_peak_379_lociStitched	chr1(.):26945933-26948633	0.2602
1_MACS_peak_380_lociStitched	chr1(.):27003520-27004800	0.168
1_MACS_peak_381_lociStitched	chr1(.):27018170-27031221	0.192
2_MACS_peak_382_lociStitched	chr1(.):27060025-27072677	0.1731
1_MACS_peak_384_lociStitched	chr1(.):27112131-27116233	0.2067
1_MACS_peak_385_lociStitched	chr1(.):27126162-27127425	0.1968
5_MACS_peak_386_lociStitched	chr1(.):27146920-27167374	0.1431
2_MACS_peak_391_lociStitched	chr1(.):27188707-27193187	0.1906
1_MACS_peak_393_lociStitched	chr1(.):27215546-27217599	0.1617
1_MACS_peak_394_lociStitched	chr1(.):27225826-27227787	0.2434
1_MACS_peak_395_lociStitched	chr1(.):27247415-27249081	0.2219
1_MACS_peak_396_lociStitched	chr1(.):27285910-27287653	0.2111
1_MACS_peak_397_lociStitched	chr1(.):27463173-27464499	0.1445
1_MACS_peak_398_lociStitched	chr1(.):27480799-27482572	0.1869
1_MACS_peak_399_lociStitched	chr1(.):27560104-27562870	0.1862
1_MACS_peak_400_lociStitched	chr1(.):27647977-27649941	0.1578
1_MACS_peak_401_lociStitched	chr1(.):27667733-27669276	0.2032
1_MACS_peak_402_lociStitched	chr1(.):27675202-27676866	0.1573
1_MACS_peak_403_lociStitched	chr1(.):27692118-27693863	0.1044
1_MACS_peak_404_lociStitched	chr1(.):27718356-27719895	0.1489
1_MACS_peak_405_lociStitched	chr1(.):27744241-27745807	0.1834
3_MACS_peak_406_lociStitched	chr1(.):27757197-27766286	0.1623
1_MACS_peak_409_lociStitched	chr1(.):27815376-27819414	0.1599
1_MACS_peak_410_lociStitched	chr1(.):27826104-27827133	0.2163
1_MACS_peak_411_lociStitched	chr1(.):27883234-27884569	0.1694
1_MACS_peak_412_lociStitched	chr1(.):27929671-27931046	0.1347
1_MACS_peak_413_lociStitched	chr1(.):27985557-27987425	0.1754
1_MACS_peak_414_lociStitched	chr1(.):27998128-27999627	0.2741
1_MACS_peak_415_lociStitched	chr1(.):28051637-28053771	0.2036
1_MACS_peak_416_lociStitched	chr1(.):28098790-28100864	0.176
1_MACS_peak_417_lociStitched	chr1(.):28156259-28158369	0.1931
1_MACS_peak_418_lociStitched	chr1(.):28198943-28199818	0.1087
1_MACS_peak_419_lociStitched	chr1(.):28217763-28218970	0.1181
1_MACS_peak_420_lociStitched	chr1(.):28240150-28242035	0.1814
1_MACS_peak_421_lociStitched	chr1(.):28285542-28287435	0.2137
2_MACS_peak_422_lociStitched	chr1(.):28352539-28362955	0.1656
2_MACS_peak_424_lociStitched	chr1(.):28390157-28397215	0.1179
1_MACS_peak_426_lociStitched	chr1(.):28413514-28416109	0.2347
1_MACS_peak_427_lociStitched	chr1(.):28473881-28475503	0.2251
1_MACS_peak_428_lociStitched	chr1(.):28498424-28500024	0.1775
2_MACS_peak_429_lociStitched	chr1(.):28558512-28564066	0.1813
1_MACS_peak_431_lociStitched	chr1(.):28570231-28577214	0.1986
1_MACS_peak_432_lociStitched	chr1(.):28585127-28587202	0.1121
1_MACS_peak_433_lociStitched	chr1(.):28654676-28656599	0.14
1_MACS_peak_434_lociStitched	chr1(.):28695434-28697623	0.2337
1_MACS_peak_435_lociStitched	chr1(.):28763890-28765312	0.1493
2_MACS_peak_436_lociStitched	chr1(.):28827097-28837381	0.2101
1_MACS_peak_438_lociStitched	chr1(.):28842944-28846228	0.1908
1_MACS_peak_439_lociStitched	chr1(.):28878424-28881216	0.2384
3_MACS_peak_440_lociStitched	chr1(.):28902774-28914515	0.179
2_MACS_peak_443_lociStitched	chr1(.):28924604-28929804	0.2117
1_MACS_peak_445_lociStitched	chr1(.):28957960-28959120	0.1894
2_MACS_peak_446_lociStitched	chr1(.):28968319-28976383	0.1996
1_MACS_peak_448_lociStitched	chr1(.):28994383-28996910	0.1659
1_MACS_peak_449_lociStitched	chr1(.):29062261-29065061	0.1996
1_MACS_peak_450_lociStitched	chr1(.):29101198-29102521	0.2193
2_MACS_peak_451_lociStitched	chr1(.):29210753-29214778	0.1946
1_MACS_peak_453_lociStitched	chr1(.):29240149-29242557	0.1537
1_MACS_peak_454_lociStitched	chr1(.):29252348-29255579	0.1597
1_MACS_peak_455_lociStitched	chr1(.):29312631-29313770	0.1895
1_MACS_peak_456_lociStitched	chr1(.):29506294-29509823	0.2122
1_MACS_peak_457_lociStitched	chr1(.):29528604-29529952	0.2062
1_MACS_peak_458_lociStitched	chr1(.):29556671-29558160	0.2505
1_MACS_peak_459_lociStitched	chr1(.):30347456-30351177	0.0946
1_MACS_peak_460_lociStitched	chr1(.):30373794-30375228	0.0734
1_MACS_peak_461_lociStitched	chr1(.):30901600-30903157	0.143
1_MACS_peak_462_lociStitched	chr1(.):30995801-30996886	0.0755
1_MACS_peak_463_lociStitched	chr1(.):31073105-31074102	0.0981
1_MACS_peak_464_lociStitched	chr1(.):31190388-31192678	0.1543
1_MACS_peak_465_lociStitched	chr1(.):31213139-31233461	0.2221
1_MACS_peak_466_lociStitched	chr1(.):31254931-31256257	0.1902
1_MACS_peak_467_lociStitched	chr1(.):31536543-31539283	0.1898
1_MACS_peak_468_lociStitched	chr1(.):31628031-31628761	0.1185
1_MACS_peak_469_lociStitched	chr1(.):31635143-31636075	0.1333
1_MACS_peak_470_lociStitched	chr1(.):31768478-31770772	0.2282
1_MACS_peak_471_lociStitched	chr1(.):31867159-31868339	0.1837
1_MACS_peak_472_lociStitched	chr1(.):31885645-31887083	0.1408
1_MACS_peak_473_lociStitched	chr1(.):31895565-31897131	0.2288
1_MACS_peak_474_lociStitched	chr1(.):31913794-31915871	0.212
1_MACS_peak_475_lociStitched	chr1(.):31933009-31934449	0.1073
2_MACS_peak_476_lociStitched	chr1(.):31943708-31951357	0.1429
