GENE_ID	locusLine	bin_1_38_0EXQ_0229Kronos_MM1S-KB-1hr-2_Input_hs_i81.bam
1_MACS_peak_162_lociStitched	chr1(.):14336336-14338904	0.2646
1_MACS_peak_163_lociStitched	chr1(.):14362298-14367462	0.178
1_MACS_peak_164_lociStitched	chr1(.):14463412-14464425	0.1219
2_MACS_peak_165_lociStitched	chr1(.):14500949-14508725	0.1486
1_MACS_peak_167_lociStitched	chr1(.):14687091-14688341	0.1253
1_MACS_peak_168_lociStitched	chr1(.):14695574-14697152	0.1804
1_MACS_peak_169_lociStitched	chr1(.):15160976-15164340	0.1914
2_MACS_peak_170_lociStitched	chr1(.):15202831-15209149	0.1524
3_MACS_peak_172_lociStitched	chr1(.):15500072-15506554	0.1584
1_MACS_peak_175_lociStitched	chr1(.):15557780-15559053	0.1737
1_MACS_peak_176_lociStitched	chr1(.):15584242-15585428	0.1986
1_MACS_peak_177_lociStitched	chr1(.):15688405-15689679	0.1081
1_MACS_peak_178_lociStitched	chr1(.):15735710-15737567	0.1213
2_MACS_peak_179_lociStitched	chr1(.):15850202-15854439	0.1883
3_MACS_peak_181_lociStitched	chr1(.):15897318-15912146	0.1383
1_MACS_peak_184_lociStitched	chr1(.):15942470-15945681	0.224
1_MACS_peak_185_lociStitched	chr1(.):16009905-16012267	0.0824
1_MACS_peak_186_lociStitched	chr1(.):16022788-16024990	0.2347
1_MACS_peak_187_lociStitched	chr1(.):16160172-16163537	0.2062
2_MACS_peak_188_lociStitched	chr1(.):16172998-16178971	0.1627
1_MACS_peak_190_lociStitched	chr1(.):16301462-16303110	0.1426
1_MACS_peak_191_lociStitched	chr1(.):16399831-16400998	0.1567
1_MACS_peak_192_lociStitched	chr1(.):16532403-16534193	0.1608
1_MACS_peak_193_lociStitched	chr1(.):16562383-16564431	0.3007
1_MACS_peak_194_lociStitched	chr1(.):16677426-16679901	0.1838
1_MACS_peak_195_lociStitched	chr1(.):16692940-16695656	0.243
1_MACS_peak_196_lociStitched	chr1(.):16766683-16771342	0.2238
2_MACS_peak_197_lociStitched	chr1(.):16825048-16833270	0.1449
1_MACS_peak_200_lociStitched	chr1(.):16938858-16940972	0.7861
1_MACS_peak_201_lociStitched	chr1(.):16969259-16972545	0.7859
1_MACS_peak_202_lociStitched	chr1(.):16991287-16994678	0.5577
2_MACS_peak_203_lociStitched	chr1(.):17065686-17075620	0.3296
3_MACS_peak_205_lociStitched	chr1(.):17221287-17241638	0.2722
1_MACS_peak_208_lociStitched	chr1(.):17286686-17287945	0.1732
1_MACS_peak_209_lociStitched	chr1(.):17379474-17381014	0.2337
2_MACS_peak_210_lociStitched	chr1(.):17763376-17769016	0.1355
1_MACS_peak_212_lociStitched	chr1(.):17787077-17788391	0.2029
1_MACS_peak_213_lociStitched	chr1(.):17803763-17804592	0.0933
1_MACS_peak_214_lociStitched	chr1(.):19228241-19230153	0.1876
1_MACS_peak_215_lociStitched	chr1(.):19252332-19255263	0.3016
2_MACS_peak_216_lociStitched	chr1(.):19276619-19284018	0.1298
1_MACS_peak_218_lociStitched	chr1(.):19535435-19538471	0.1939
1_MACS_peak_219_lociStitched	chr1(.):19577201-19579403	0.2292
1_MACS_peak_220_lociStitched	chr1(.):19637515-19639775	0.1985
1_MACS_peak_221_lociStitched	chr1(.):19810394-19813532	0.1571
1_MACS_peak_222_lociStitched	chr1(.):19821815-19823045	0.1545
1_MACS_peak_223_lociStitched	chr1(.):19922301-19924931	0.2047
1_MACS_peak_224_lociStitched	chr1(.):20125419-20127576	0.1627
1_MACS_peak_225_lociStitched	chr1(.):20141880-20142941	0.1197
1_MACS_peak_226_lociStitched	chr1(.):20208426-20209948	0.2236
1_MACS_peak_227_lociStitched	chr1(.):20833470-20835380	0.22
1_MACS_peak_228_lociStitched	chr1(.):20959656-20960906	0.1501
2_MACS_peak_229_lociStitched	chr1(.):20984670-20988925	0.1775
1_MACS_peak_231_lociStitched	chr1(.):21004861-21005651	0.1737
1_MACS_peak_232_lociStitched	chr1(.):21022728-21023859	0.2486
1_MACS_peak_233_lociStitched	chr1(.):21111847-21114934	0.1938
1_MACS_peak_234_lociStitched	chr1(.):21290697-21292177	0.1998
1_MACS_peak_235_lociStitched	chr1(.):21348247-21349736	0.1805
2_MACS_peak_236_lociStitched	chr1(.):21501836-21503890	0.1409
1_MACS_peak_238_lociStitched	chr1(.):21615787-21622612	0.1939
1_MACS_peak_239_lociStitched	chr1(.):21660156-21661709	0.2633
1_MACS_peak_240_lociStitched	chr1(.):21670894-21672765	0.1024
1_MACS_peak_241_lociStitched	chr1(.):21754709-21755605	0.1147
1_MACS_peak_242_lociStitched	chr1(.):21765862-21767328	0.1322
1_MACS_peak_243_lociStitched	chr1(.):22026462-22027548	0.1233
3_MACS_peak_244_lociStitched	chr1(.):22099672-22119319	0.1485
1_MACS_peak_247_lociStitched	chr1(.):22191432-22194432	0.2193
1_MACS_peak_248_lociStitched	chr1(.):22263834-22264659	0.0932
1_MACS_peak_249_lociStitched	chr1(.):22350334-22353505	0.2562
1_MACS_peak_250_lociStitched	chr1(.):22365718-22367403	0.2274
1_MACS_peak_251_lociStitched	chr1(.):22378396-22380777	0.142
1_MACS_peak_252_lociStitched	chr1(.):22489320-22490379	0.1177
1_MACS_peak_253_lociStitched	chr1(.):22777893-22779654	0.1874
2_MACS_peak_254_lociStitched	chr1(.):22820173-22823877	0.2047
1_MACS_peak_256_lociStitched	chr1(.):22834256-22835684	0.1702
1_MACS_peak_257_lociStitched	chr1(.):23345468-23347153	0.1604
2_MACS_peak_258_lociStitched	chr1(.):23494079-23495637	0.0743
1_MACS_peak_260_lociStitched	chr1(.):23668454-23672122	0.173
1_MACS_peak_261_lociStitched	chr1(.):23694005-23696603	0.1872
1_MACS_peak_262_lociStitched	chr1(.):23850425-23858951	0.2051
2_MACS_peak_263_lociStitched	chr1(.):23880564-23886731	0.219
3_MACS_peak_265_lociStitched	chr1(.):23937829-23954540	0.1657
1_MACS_peak_268_lociStitched	chr1(.):24017691-24019687	0.2964
1_MACS_peak_269_lociStitched	chr1(.):24069003-24072044	0.1803
1_MACS_peak_270_lociStitched	chr1(.):24104038-24105979	0.1607
1_MACS_peak_271_lociStitched	chr1(.):24116871-24118711	0.2624
1_MACS_peak_272_lociStitched	chr1(.):24125886-24128028	0.1577
1_MACS_peak_273_lociStitched	chr1(.):24151022-24152726	0.1704
1_MACS_peak_274_lociStitched	chr1(.):24180865-24182831	0.1742
1_MACS_peak_275_lociStitched	chr1(.):24193751-24195230	0.1765
1_MACS_peak_276_lociStitched	chr1(.):24246154-24247344	0.1636
3_MACS_peak_277_lociStitched	chr1(.):24281320-24291908	0.1522
1_MACS_peak_280_lociStitched	chr1(.):24305295-24307974	0.207
1_MACS_peak_281_lociStitched	chr1(.):24357458-24358370	0.0857
2_MACS_peak_282_lociStitched	chr1(.):24468770-24478794	0.1561
1_MACS_peak_284_lociStitched	chr1(.):24512159-24519336	0.2346
2_MACS_peak_285_lociStitched	chr1(.):24528097-24533752	0.1678
1_MACS_peak_287_lociStitched	chr1(.):24645446-24650099	0.2436
1_MACS_peak_288_lociStitched	chr1(.):24676811-24678345	0.1538
3_MACS_peak_289_lociStitched	chr1(.):24710204-24720460	0.2342
2_MACS_peak_292_lociStitched	chr1(.):24739455-24743819	0.192
1_MACS_peak_294_lociStitched	chr1(.):24827656-24830336	0.1829
1_MACS_peak_295_lociStitched	chr1(.):24861289-24862354	0.1584
1_MACS_peak_296_lociStitched	chr1(.):24883820-24885167	0.2229
1_MACS_peak_297_lociStitched	chr1(.):24967914-24971246	0.2464
1_MACS_peak_298_lociStitched	chr1(.):25020366-25021539	0.2039
2_MACS_peak_299_lociStitched	chr1(.):25048505-25054847	0.1508
1_MACS_peak_301_lociStitched	chr1(.):25069531-25076419	0.1599
1_MACS_peak_302_lociStitched	chr1(.):25174262-25175560	0.1188
1_MACS_peak_303_lociStitched	chr1(.):25254335-25257768	0.1615
1_MACS_peak_304_lociStitched	chr1(.):25290793-25292769	0.1731
1_MACS_peak_305_lociStitched	chr1(.):25347897-25350553	0.2236
1_MACS_peak_306_lociStitched	chr1(.):25358098-25359662	0.1241
4_MACS_peak_307_lociStitched	chr1(.):25558129-25575077	0.1697
1_MACS_peak_311_lociStitched	chr1(.):25592611-25595077	0.2671
1_MACS_peak_312_lociStitched	chr1(.):25663089-25666264	0.2024
1_MACS_peak_313_lociStitched	chr1(.):25755998-25758655	0.1424
1_MACS_peak_314_lociStitched	chr1(.):25798606-25799774	0.1545
3_MACS_peak_315_lociStitched	chr1(.):25869696-25879185	0.1804
1_MACS_peak_318_lociStitched	chr1(.):25886830-25890647	0.1816
2_MACS_peak_319_lociStitched	chr1(.):25942096-25947792	0.1838
1_MACS_peak_321_lociStitched	chr1(.):25967862-25970428	0.2076
1_MACS_peak_322_lociStitched	chr1(.):26001661-26003574	0.2495
1_MACS_peak_323_lociStitched	chr1(.):26126008-26126684	0.0989
1_MACS_peak_324_lociStitched	chr1(.):26145701-26148236	0.2559
1_MACS_peak_325_lociStitched	chr1(.):26185080-26186335	0.2776
1_MACS_peak_326_lociStitched	chr1(.):26231135-26233321	0.1964
1_MACS_peak_327_lociStitched	chr1(.):26323152-26325479	0.2263
1_MACS_peak_328_lociStitched	chr1(.):26361549-26362989	0.1706
2_MACS_peak_329_lociStitched	chr1(.):26436868-26447295	0.1489
2_MACS_peak_331_lociStitched	chr1(.):26495937-26504598	0.123
1_MACS_peak_333_lociStitched	chr1(.):26559808-26562206	0.2967
1_MACS_peak_334_lociStitched	chr1(.):26578397-26579818	0.2829
2_MACS_peak_335_lociStitched	chr1(.):26605236-26614949	0.1904
1_MACS_peak_337_lociStitched	chr1(.):26632152-26634675	0.2326
1_MACS_peak_338_lociStitched	chr1(.):26662406-26663693	0.1932
1_MACS_peak_339_lociStitched	chr1(.):26758230-26759597	0.239
1_MACS_peak_340_lociStitched	chr1(.):26797938-26800608	0.1209
1_MACS_peak_341_lociStitched	chr1(.):26826303-26828707	0.1632
1_MACS_peak_342_lociStitched	chr1(.):26855948-26857225	0.1184
3_MACS_peak_343_lociStitched	chr1(.):26865865-26873249	0.2144
1_MACS_peak_346_lociStitched	chr1(.):26945971-26948649	0.2067
1_MACS_peak_347_lociStitched	chr1(.):27018319-27030613	0.1636
2_MACS_peak_348_lociStitched	chr1(.):27065005-27072418	0.1842
1_MACS_peak_350_lociStitched	chr1(.):27112172-27116175	0.2097
5_MACS_peak_351_lociStitched	chr1(.):27147097-27167587	0.1517
1_MACS_peak_356_lociStitched	chr1(.):27190148-27193175	0.1623
1_MACS_peak_357_lociStitched	chr1(.):27215614-27217622	0.2376
1_MACS_peak_358_lociStitched	chr1(.):27225777-27227910	0.198
1_MACS_peak_359_lociStitched	chr1(.):27247470-27249231	0.3278
1_MACS_peak_360_lociStitched	chr1(.):27285998-27287519	0.2079
1_MACS_peak_361_lociStitched	chr1(.):27463143-27464237	0.1553
1_MACS_peak_362_lociStitched	chr1(.):27480793-27482438	0.2331
1_MACS_peak_363_lociStitched	chr1(.):27560189-27562609	0.1856
1_MACS_peak_364_lociStitched	chr1(.):27648056-27650064	0.1725
2_MACS_peak_365_lociStitched	chr1(.):27667738-27676674	0.1275
1_MACS_peak_367_lociStitched	chr1(.):27691816-27693858	0.1403
1_MACS_peak_368_lociStitched	chr1(.):27718672-27719931	0.1791
1_MACS_peak_369_lociStitched	chr1(.):27744156-27745723	0.238
3_MACS_peak_370_lociStitched	chr1(.):27757235-27766232	0.1594
3_MACS_peak_373_lociStitched	chr1(.):27814777-27827250	0.1233
1_MACS_peak_376_lociStitched	chr1(.):27985556-27986921	0.2279
1_MACS_peak_377_lociStitched	chr1(.):28051547-28053771	0.1813
1_MACS_peak_378_lociStitched	chr1(.):28098865-28100963	0.2237
1_MACS_peak_379_lociStitched	chr1(.):28156215-28158241	0.1406
1_MACS_peak_380_lociStitched	chr1(.):28217826-28218980	0.1057
1_MACS_peak_381_lociStitched	chr1(.):28240046-28242023	0.2341
1_MACS_peak_382_lociStitched	chr1(.):28285541-28287220	0.149
2_MACS_peak_383_lociStitched	chr1(.):28352811-28362946	0.1569
2_MACS_peak_385_lociStitched	chr1(.):28390602-28397433	0.1083
1_MACS_peak_387_lociStitched	chr1(.):28413881-28416115	0.2435
1_MACS_peak_388_lociStitched	chr1(.):28473690-28475393	0.2074
2_MACS_peak_389_lociStitched	chr1(.):28495297-28500093	0.1751
3_MACS_peak_391_lociStitched	chr1(.):28558711-28577106	0.1847
1_MACS_peak_394_lociStitched	chr1(.):28584921-28587288	0.1676
1_MACS_peak_395_lociStitched	chr1(.):28654751-28656648	0.1792
1_MACS_peak_396_lociStitched	chr1(.):28695520-28697444	0.207
1_MACS_peak_397_lociStitched	chr1(.):28763929-28765382	0.1281
2_MACS_peak_398_lociStitched	chr1(.):28831469-28846365	0.1664
1_MACS_peak_400_lociStitched	chr1(.):28878347-28881303	0.2012
3_MACS_peak_401_lociStitched	chr1(.):28903142-28914490	0.1734
1_MACS_peak_404_lociStitched	chr1(.):28924298-28929684	0.2599
1_MACS_peak_405_lociStitched	chr1(.):28958317-28959249	0.0815
2_MACS_peak_406_lociStitched	chr1(.):28968273-28976229	0.1851
1_MACS_peak_408_lociStitched	chr1(.):28994447-28997024	0.1703
1_MACS_peak_409_lociStitched	chr1(.):29062477-29065188	0.2091
1_MACS_peak_410_lociStitched	chr1(.):29101242-29102521	0.1731
2_MACS_peak_411_lociStitched	chr1(.):29210768-29214780	0.2224
1_MACS_peak_413_lociStitched	chr1(.):29240014-29242554	0.1366
1_MACS_peak_414_lociStitched	chr1(.):29252606-29255130	0.1533
1_MACS_peak_415_lociStitched	chr1(.):29506637-29509785	0.1953
1_MACS_peak_416_lociStitched	chr1(.):29556666-29557918	0.1621
1_MACS_peak_417_lociStitched	chr1(.):30349197-30350664	0.1698
1_MACS_peak_418_lociStitched	chr1(.):30901656-30903036	0.1195
1_MACS_peak_419_lociStitched	chr1(.):31190507-31192787	0.1995
1_MACS_peak_420_lociStitched	chr1(.):31213786-31233392	0.22
1_MACS_peak_421_lociStitched	chr1(.):31254966-31256211	0.1603
1_MACS_peak_422_lociStitched	chr1(.):31536203-31539381	0.2132
1_MACS_peak_423_lociStitched	chr1(.):31628006-31628846	0.0508
1_MACS_peak_424_lociStitched	chr1(.):31768605-31770841	0.2297
1_MACS_peak_425_lociStitched	chr1(.):31867044-31868518	0.1974
1_MACS_peak_426_lociStitched	chr1(.):31885790-31887030	0.1311
1_MACS_peak_427_lociStitched	chr1(.):31913902-31915567	0.2751
2_MACS_peak_428_lociStitched	chr1(.):31944247-31951337	0.1719
1_MACS_peak_430_lociStitched	chr1(.):31971227-31972217	0.1995
1_MACS_peak_431_lociStitched	chr1(.):32070741-32072323	0.2375
1_MACS_peak_432_lociStitched	chr1(.):32109357-32111592	0.2171
1_MACS_peak_433_lociStitched	chr1(.):32135211-32136227	0.1384
1_MACS_peak_434_lociStitched	chr1(.):32209553-32211742	0.3009
1_MACS_peak_435_lociStitched	chr1(.):32228922-32229674	0.1124
1_MACS_peak_436_lociStitched	chr1(.):32253246-32255259	0.2803
1_MACS_peak_437_lociStitched	chr1(.):32402055-32404692	0.2138
1_MACS_peak_438_lociStitched	chr1(.):32421268-32422463	0.2096
2_MACS_peak_439_lociStitched	chr1(.):32446095-32451991	0.1693
2_MACS_peak_441_lociStitched	chr1(.):32471697-32481037	0.1516
1_MACS_peak_443_lociStitched	chr1(.):32537640-32539489	0.2426
1_MACS_peak_444_lociStitched	chr1(.):32572727-32575441	0.2141
1_MACS_peak_445_lociStitched	chr1(.):32644472-32646694	0.1807
1_MACS_peak_446_lociStitched	chr1(.):32670796-32672286	0.1389
1_MACS_peak_447_lociStitched	chr1(.):32687160-32689111	0.2506
1_MACS_peak_448_lociStitched	chr1(.):32713582-32716877	0.2221
1_MACS_peak_449_lociStitched	chr1(.):32756732-32758763	0.1971
2_MACS_peak_450_lociStitched	chr1(.):32798093-32802127	0.1489
1_MACS_peak_452_lociStitched	chr1(.):32816391-32818149	0.1544
1_MACS_peak_453_lociStitched	chr1(.):32859124-32861084	0.2485
1_MACS_peak_454_lociStitched	chr1(.):32965553-32966788	0.1556
1_MACS_peak_455_lociStitched	chr1(.):32985869-32987020	0.1829
1_MACS_peak_456_lociStitched	chr1(.):33004639-33006274	0.1453
2_MACS_peak_457_lociStitched	chr1(.):33088038-33095377	0.172
1_MACS_peak_459_lociStitched	chr1(.):33114702-33118251	0.263
2_MACS_peak_460_lociStitched	chr1(.):33206687-33208480	0.1057
1_MACS_peak_462_lociStitched	chr1(.):33281563-33285554	0.2085
1_MACS_peak_463_lociStitched	chr1(.):33429070-33431254	0.1498
1_MACS_peak_464_lociStitched	chr1(.):33445765-33448342	0.1972
1_MACS_peak_465_lociStitched	chr1(.):33457118-33459427	0.2665
1_MACS_peak_466_lociStitched	chr1(.):33501437-33502925	0.195
1_MACS_peak_467_lociStitched	chr1(.):33546058-33547387	0.188
1_MACS_peak_468_lociStitched	chr1(.):33564146-33566366	0.2895
1_MACS_peak_469_lociStitched	chr1(.):33591980-33594633	0.2239
1_MACS_peak_470_lociStitched	chr1(.):33646602-33647782	0.1923
2_MACS_peak_471_lociStitched	chr1(.):33720723-33723361	0.0959
2_MACS_peak_473_lociStitched	chr1(.):33814072-33816441	0.1675
1_MACS_peak_475_lociStitched	chr1(.):33895647-33896873	0.0786
1_MACS_peak_476_lociStitched	chr1(.):33925287-33927723	0.1784
1_MACS_peak_477_lociStitched	chr1(.):33937624-33938998	0.167
2_MACS_peak_478_lociStitched	chr1(.):34514514-34516937	0.2073
1_MACS_peak_480_lociStitched	chr1(.):34628481-34629703	0.1704
1_MACS_peak_481_lociStitched	chr1(.):34826375-34828215	0.1514
2_MACS_peak_482_lociStitched	chr1(.):35324008-35332891	0.1597
1_MACS_peak_484_lociStitched	chr1(.):35449796-35451479	0.1813
1_MACS_peak_485_lociStitched	chr1(.):35496090-35498052	0.2169
1_MACS_peak_486_lociStitched	chr1(.):35544362-35546162	0.233
