GENE_ID	locusLine	bin_1_04_0EWQ_0229Kronos_MM1S-KB-1hr-2_H3K18Ac_hs-dm_i06.bam
NM_001005464	chr1(.):149819180-149829687	1.2759
NM_001034077	chr1(.):149827329-149837725	0.7695
NM_016274	chr1(.):150117169-150136825	0.7517
NM_019032	chr1(.):150516897-150538412	1.3958
NM_207046	chr1(.):150589598-150606609	0.5588
NR_036211	chr1(.):150519404-150529490	0.1912
NM_001197320	chr1(.):150542026-150557214	0.7537
NM_005620	chr1(.):151999981-152014511	1.1096
NM_002966	chr1(.):151950385-151971714	0.2446
NM_001008536	chr1(.):152051619-152066540	0.1074
NM_023015	chr1(.):153695566-153751555	0.2166
NM_024330	chr1(.):153742767-153757633	0.5454
NM_014437	chr1(.):153926587-153945188	0.7213
NM_130898	chr1(.):153935396-153951832	0.8259
NM_181715	chr1(.):153915151-153936043	0.7672
NM_006694	chr1(.):153941744-153955451	0.3679
NM_002870	chr1(.):153949127-153963806	0.6256
NM_014856	chr1(.):153896976-153924154	0.441
NM_001030	chr1(.):153958238-153969631	0.4811
NM_006556	chr1(.):154892207-154914484	1.744
NM_001130041	chr1(.):154929773-154951959	1.1395
NM_001130040	chr1(.):154929773-154948223	1.2874
NM_201398	chr1(.):154950769-154970587	0.2579
NM_015872	chr1(.):154970111-154995999	0.6481
NM_001184892	chr1(.):154950769-154966488	0.2783
NM_018655	chr1(.):154961061-154971791	0.179
NM_001143687	chr1(.):155001281-155028406	0.341
NR_024163	chr1(.):154942117-154956725	1.1183
NM_144622	chr1(.):154986002-155011257	0.2785
NM_138300	chr1(.):154924501-154939258	1.4105
NR_036212	chr1(.):154943168-154953259	1.2371
NM_001018017	chr1(.):155153299-155167700	0.2622
NM_198883	chr1(.):155173489-155188624	0.6852
NM_007112	chr1(.):155160378-155182690	0.5432
NR_030281	chr1(.):155159967-155170063	0.1947
NM_001005742	chr1(.):155199238-155219653	0.3712
NM_003993	chr1(.):155227658-155248281	0.47
NM_181871	chr1(.):155254083-155275792	0.1399
NM_198264	chr1(.):155211995-155230274	0.4843
NM_052837	chr1(.):155220771-155237195	0.3334
NM_020897	chr1(.):155242373-155264638	0.3316
NM_001171812	chr1(.):155199238-155216066	0.4283
NM_000157	chr1(.):155199238-155216069	0.4286
NM_001135821	chr1(.):155273704-155295457	0.5759
NM_002004	chr1(.):155273538-155295457	0.5717
NM_005698	chr1(.):155220769-155237195	0.3334
NM_000298	chr1(.):155254083-155276225	0.1422
NM_006912	chr1(.):155862600-155886177	0.1318
NM_001162384	chr1(.):155911629-155953336	0.8651
NM_181885	chr1(.):155906479-155917625	0.8895
NM_004723	chr1(.):155911629-155952966	0.867
NM_014949	chr1(.):155877835-155909188	0.3518
NR_002974	chr1(.):155884699-155894833	0.1048
NR_003005	chr1(.):155890748-155900877	0.1016
NM_020131	chr1(.):156000091-156028516	0.2637
NM_001093725	chr1(.):156036803-156056789	0.1596
NM_020387	chr1(.):156025965-156045295	0.1162
NM_001145264	chr1(.):156019516-156033301	0.397
NM_003145	chr1(.):155973838-155995758	0.3361
NM_014655	chr1(.):156158729-156187587	0.4942
NM_007221	chr1(.):156177783-156214833	0.6662
NM_022367	chr1(.):156118321-156152542	2.2132
NM_001193302	chr1(.):156118368-156152542	2.2152
NM_001193301	chr1(.):156114734-156152542	2.1165
NM_005920	chr1(.):156428518-156475529	0.9326
NM_004494	chr1(.):156706898-156726543	0.9084
NM_001126051	chr1(.):156706898-156727024	0.8871
NM_001126050	chr1(.):156706898-156727240	0.8777
NM_030980	chr1(.):156687412-156702705	0.3978
NM_001878	chr1(.):156664407-156680375	0.1366
NM_001142560	chr1(.):156693262-156711752	0.6581
NM_145729	chr1(.):156702093-156715923	0.5565
NR_001560	chr1(.):157093153-157103463	0.1306
NM_005240	chr1(.):157097975-157113177	1.0574
NM_001145312	chr1(.):157089458-157113383	0.7071
NM_001778	chr1(.):160643535-160686585	0.5005
NM_021181	chr1(.):160704076-160729601	0.4452
NM_001077470	chr1(.):161194455-161213000	0.3239
NM_001039711	chr1(.):161085768-161107478	0.6289
NM_016406	chr1(.):161118533-161133646	0.9626
NM_004550	chr1(.):161164104-161189184	0.5533
NM_000309	chr1(.):161131180-161146010	0.4323
NM_001643	chr1(.):161187082-161198418	0.7566
NM_001185094	chr1(.):161082907-161095984	0.389
NM_003779	chr1(.):161136100-161152314	0.8163
NM_012475	chr1(.):161124253-161140516	0.6031
NM_001039712	chr1(.):161085768-161107256	0.6339
NM_005600	chr1(.):161082861-161095984	0.3878
NM_001185093	chr1(.):161082906-161095984	0.389
NM_032174	chr1(.):161190832-161205407	0.4148
NM_001166159	chr1(.):161166936-161189184	0.5808
NM_005099	chr1(.):161154537-161173845	0.788
NM_004106	chr1(.):161180086-161194038	0.4963
NM_001102566	chr1(.):161223516-161260240	0.1365
NM_016545	chr1(.):181052637-181064979	0.4613
NM_002927	chr1(.):192600281-192634389	0.108
NM_002922	chr1(.):192539856-192554159	1.0987
NM_001195216	chr1(.):197698138-197749623	0.3857
NM_005298	chr1(.):200837165-200848251	0.2157
NM_018265	chr1(.):200855638-200889864	0.8881
NM_001142569	chr1(.):200858998-200889864	0.8629
NM_017596	chr1(.):200933519-200997828	0.3277
NR_034150	chr1(.):203262885-203279453	2.1987
NM_003465	chr1(.):203180206-203203860	0.1973
NM_006763	chr1(.):203269663-203283729	1.2749
NM_002023	chr1(.):203304751-203325289	0.1861
NR_003019	chr1(.):203693708-203703833	0.1637
NM_001136190	chr1(.):203729283-203750480	0.7617
NM_001174108	chr1(.):203761650-203774590	0.3355
NM_002646	chr1(.):204386757-204464474	0.1761
NM_002393	chr1(.):204480510-204532248	0.6293
NM_014858	chr1(.):205192037-205247471	0.3401
NM_030952	chr1(.):205266190-205295883	0.3491
NM_000707	chr1(.):206219282-206236482	0.1873
NM_001007544	chr1(.):206233871-206293647	1.0375
NM_148964	chr1(.):206312458-206337104	0.1613
NM_006893	chr1(.):206759973-206790904	0.1733
NM_182665	chr1(.):206725491-206767616	0.6351
NM_000572	chr1(.):206935947-206950839	0.4936
NM_013371	chr1(.):206997221-207021325	0.3017
NM_001185157	chr1(.):207065787-207082484	0.1496
NM_153758	chr1(.):206967214-207021324	0.4847
NM_002644	chr1(.):207096866-207124811	0.3445
NM_001170631	chr1(.):207126311-207148970	0.1788
NR_026817	chr1(.):207986723-208000941	0.7487
NR_029832	chr1(.):207970196-207980284	0.3132
NR_029518	chr1(.):207970787-207980868	0.4881
NM_152485	chr1(.):209950661-209962890	0.3882
NM_005525	chr1(.):209873190-209913295	0.1452
NM_025228	chr1(.):209924393-209960668	0.586
NM_183059	chr1(.):211644863-211671259	0.1435
NM_021194	chr1(.):211743380-211757099	0.8271
NM_001748	chr1(.):223895118-223968720	0.3076
NM_001146068	chr1(.):223884294-223968720	0.2885
NM_001136018	chr1(.):225992796-226038262	0.2027
NM_000120	chr1(.):226008001-226038262	0.2204
NM_020997	chr1(.):226068981-226081836	0.5982
NM_014698	chr1(.):226028232-226075420	0.5384
NM_013328	chr1(.):226102579-226116965	0.6132
NR_002315	chr1(.):226245427-226264703	0.6146
NM_002107	chr1(.):226245420-226264703	0.6144
NM_181441	chr1(.):228289379-228302013	0.8139
NR_037415	chr1(.):228279963-228290042	0.174
NM_001024227	chr1(.):228265850-228291913	0.9521
NM_001024226	chr1(.):228265360-228291913	0.9358
NM_024319	chr1(.):228283427-228296022	0.5367
NM_001159390	chr1(.):228322928-228341655	0.3648
NM_182972	chr1(.):234735014-234750271	3.7594
NR_033927	chr1(.):234760056-234775526	0.1483
NM_030645	chr1(.):249099650-249125154	0.6778
NM_024836	chr1(.):249127529-249148714	0.633
NM_001136036	chr1(.):249139202-249158125	0.4731
NM_001193328	chr1(.):249139202-249158315	0.4718
NR_036070	chr1(.):249115575-249125642	1.1974
NM_001017434	chr1(.):249195441-249218345	0.2908
NM_015535	chr2(.):201165603-201351986	0.2692
NM_001100422	chr2(.):201165984-201351986	0.2695
NM_001100423	chr2(.):201166355-201351986	0.27
NM_134421	chr2(.):10438825-10572743	0.2928
NM_002149	chr2(.):10438039-10572743	0.2927
NM_014600	chr2(.):31451879-31496260	0.1371
NM_001083590	chr2(.):27250773-27269565	0.2173
NM_020458	chr2(.):47163312-47308275	0.3983
NR_033872	chr2(.):70184394-70319147	0.4825
NR_015395	chr2(.):112119590-112257692	0.5425
NR_024373	chr2(.):112181885-112257692	0.8882
NM_001099289	chr2(.):109740996-110267207	0.1921
NM_015488	chr2(.):219130114-219216516	0.2588
NM_022152	chr2(.):219133916-219162280	0.5948
NM_001012514	chr2(.):231724620-231748963	0.7788
NM_145693	chr2(.):11881739-11972533	0.7002
NM_183360	chr2(.):25595111-25901503	0.2177
NM_170672	chr2(.):33656415-33794798	0.335
NM_005813	chr2(.):37472645-37549222	0.4912
NM_019063	chr2(.):42391489-42564688	0.0981
NM_012249	chr2(.):46764866-46816827	0.3795
NM_178313	chr2(.):54780530-54894445	0.2043
NM_003128	chr2(.):54678453-54903583	0.1783
NM_014755	chr2(.):64853754-64886046	0.5717
NR_036586	chr2(.):65123973-65164581	0.7719
NM_002398	chr2(.):66657531-66804891	0.1239
NM_017880	chr2(.):70372016-70423151	0.1857
NR_027749	chr2(.):74705199-74726691	0.2852
NM_001080824	chr2(.):85043795-85113252	0.2164
NM_003896	chr2(.):86061270-86121157	0.3167
NR_024204	chr2(.):87749973-87826030	0.6145
NM_004836	chr2(.):88851258-88932094	0.2478
NM_144563	chr2(.):88986175-89055452	0.4268
NM_004027	chr2(.):99056320-99212496	0.7914
NM_001566	chr2(.):99056320-99203284	0.8369
NM_001193483	chr2(.):109145856-109308702	0.2056
NM_001142807	chr2(.):111485149-111880799	0.255
NM_022662	chr2(.):112521639-112646741	0.1035
NM_006343	chr2(.):112651190-112791945	0.2233
NM_002410	chr2(.):135006829-135211468	0.1567
NM_001077269	chr2(.):175419301-175552627	0.2432
NM_004226	chr2(.):196993306-197041336	0.3207
NM_153697	chr2(.):197959194-198180521	0.1678
NM_001195144	chr2(.):197846385-198180521	0.1368
NM_001228	chr2(.):202093165-202157434	0.547
NM_003879	chr2(.):201975889-202034003	0.7621
NM_001127184	chr2(.):201975815-202011323	1.1626
NM_173822	chr2(.):201833440-201941392	0.1101
NM_033358	chr2(.):202093165-202151638	0.5934
NM_001037631	chr2(.):204727508-204743683	0.3297
NM_003709	chr2(.):207940528-208035614	0.2642
NM_022730	chr2(.):232646161-232678434	0.093
NM_005737	chr2(.):235396685-235410693	0.2749
NM_001137551	chr2(.):238595806-238695290	0.1557
NM_001137550	chr2(.):238531223-238695290	0.1278
NM_017844	chr2(.):241413838-241502405	0.0955
NM_001195381	chr2(.):241539824-241575676	0.042
NM_002539	chr2(.):10575507-10593453	0.5889
NR_028374	chr2(.):10581839-10591975	0.9374
NM_002997	chr2(.):20395557-20429927	1.4467
NM_001006946	chr2(.):20395557-20430194	1.4359
NM_004040	chr2(.):20641834-20654201	0.6217
NM_178553	chr2(.):27354714-27367332	0.3803
NM_007046	chr2(.):27296434-27314265	0.5841
NM_001166239	chr2(.):27318461-27346773	0.121
NM_001166240	chr2(.):27317220-27346995	0.1283
NM_013388	chr2(.):27348624-27362542	0.3646
NM_006488	chr2(.):27304610-27328619	0.3094
NM_001035507	chr2(.):27269490-27287403	0.2354
NM_021831	chr2(.):27269490-27298490	0.3069
NM_001166241	chr2(.):27317220-27338970	0.1102
NM_032604	chr2(.):27341656-27358680	0.3588
NM_175769	chr2(.):27366944-27380819	0.3381
NM_001134693	chr2(.):27288341-27299567	0.4308
NM_080592	chr2(.):27429898-27445046	0.8984
NM_001170795	chr2(.):27430218-27445046	0.9151
NM_021095	chr2(.):27417454-27440175	0.4055
NM_001145122	chr2(.):31390921-31445411	0.2438
NM_015376	chr2(.):33733941-33794798	0.1482
NM_001139488	chr2(.):33696320-33794798	0.4368
NM_012413	chr2(.):37566752-37605465	1.4769
NM_138370	chr2(.):42270160-42290668	0.1031
NM_006887	chr2(.):43444540-43458745	1.7968
NR_027251	chr2(.):43449349-43460994	1.4325
NM_080653	chr2(.):46733985-46752096	0.0691
NM_173074	chr2(.):46803412-46849251	0.1198
NM_014171	chr2(.):46839324-46857881	0.1643
NM_001171507	chr2(.):47124008-47148251	0.173
NM_001171506	chr2(.):47124008-47148007	0.1744
NM_001171508	chr2(.):47124008-47173994	0.3049
NM_002354	chr2(.):47591286-47619167	0.0743
NR_002229	chr2(.):54751358-54761978	0.4554
NR_033837	chr2(.):64407212-64437619	0.2443
NR_034023	chr2(.):64829445-64848616	0.2036
NM_001193493	chr2(.):65210578-65256000	0.5011
NM_003038	chr2(.):65211494-65256000	0.5094
NM_181784	chr2(.):65532984-65664656	0.2322
NM_001128210	chr2(.):65532984-65598931	0.1147
NM_014882	chr2(.):68996932-69058957	0.1431
NM_001166277	chr2(.):68956912-69058957	0.2101
NM_006196	chr2(.):70309584-70321334	4.526
NR_024444	chr2(.):70346167-70357448	0.9067
NM_053050	chr2(.):74694108-74704927	0.2883
NM_032779	chr2(.):74694958-74715357	0.3918
NM_001146158	chr2(.):74683183-74697537	0.4982
NM_001015056	chr2(.):74647987-74672710	0.1739
NM_012477	chr2(.):74680576-74693010	0.6191
NM_001145054	chr2(.):74636302-74649844	0.2612
NM_001015055	chr2(.):74647987-74674060	0.1697
NM_031288	chr2(.):74677198-74690087	0.3846
NM_032118	chr2(.):74643884-74657882	0.2268
NM_016170	chr2(.):74736595-74749275	0.1039
NM_001009812	chr2(.):74719643-74735443	0.5495
NM_032673	chr2(.):74727169-74739821	0.6509
NM_133637	chr2(.):74740257-74758408	0.3829
NM_013247	chr2(.):74751531-74765683	0.46
NM_181575	chr2(.):74748774-74761974	0.4864
NR_024606	chr2(.):74724743-74737192	0.6832
NM_021103	chr2(.):85127762-85138799	0.6203
NM_020122	chr2(.):85193230-85291595	0.1447
NM_001042437	chr2(.):86061271-86099793	0.256
NM_015425	chr2(.):86248450-86338278	0.5899
NM_017952	chr2(.):86328304-86374280	0.2418
NR_026984	chr2(.):86242338-86255991	0.1643
NR_015424	chr2(.):89060418-89111109	0.1199
NR_026875	chr2(.):97158382-97178846	0.2153
NM_212481	chr2(.):97197463-97223371	1.4633
NM_001193484	chr2(.):109232701-109308702	0.1488
NM_001193485	chr2(.):109266266-109308702	0.1471
NM_001193482	chr2(.):109218616-109308702	0.2214
NM_001193488	chr2(.):109199921-109308702	0.2412
NM_004987	chr2(.):109199766-109308702	0.2411
NR_037627	chr2(.):110700266-110731149	0.0808
NR_027244	chr2(.):111127685-111147113	0.9802
NR_037627	chr2(.):111155495-111186393	0.0772
NM_002101	chr2(.):127408683-127459246	0.2666
NM_033416	chr2(.):131095488-131109197	0.3449
NM_014369	chr2(.):131108579-131137982	0.3773
NM_032357	chr2(.):131090815-131104922	0.3337
NR_024275	chr2(.):135201959-135217192	0.0744
NM_006186	chr2(.):157175943-157194287	0.804
NM_004288	chr2(.):158266130-158305604	0.4992
NM_003387	chr2(.):175419301-175504307	0.3255
NM_002491	chr2(.):201931461-201955473	0.2327
NM_001127183	chr2(.):201978386-202033841	0.7942
NM_032974	chr2(.):202042620-202099110	0.3707
NM_001230	chr2(.):202042620-202091383	0.3256
NM_033356	chr2(.):202120222-202157434	0.6236
NM_001080125	chr2(.):202117753-202157434	0.6224
NM_006139	chr2(.):204566197-204607557	0.6022
NR_036227	chr2(.):207969710-207979797	0.0711
NM_152862	chr2(.):219076873-219124071	0.2522
NM_000634	chr2(.):219022567-219036716	0.0969
NM_001077194	chr2(.):219120737-219133582	0.1478
NM_005731	chr2(.):219077119-219124071	0.2531
NM_001087	chr2(.):219123851-219139893	0.2378
NM_022572	chr2(.):219182901-219216516	0.0926
NM_017431	chr2(.):219682105-219701512	0.0849
NM_025216	chr2(.):219740254-219763651	1.1615
NM_006522	chr2(.):219719545-219743954	0.1346
NM_001099285	chr2(.):232568234-232583250	1.156
NM_002601	chr2(.):232592146-232650974	0.0754
NR_036052	chr2(.):232573023-232583105	0.449
NR_031717	chr2(.):232751951-232762008	0.0408
NM_004735	chr2(.):238595806-238679558	0.1794
NM_022817	chr2(.):239147678-239202207	0.1786
NR_026923	chr2(.):239135326-239147985	0.0727
NM_001142853	chr2(.):239141907-239153681	0.171
NR_026926	chr2(.):239128753-239145318	0.0566
NM_023083	chr2(.):241521132-241543526	0.3458
NM_001033575	chr2(.):241494470-241508431	0.8905
NM_018226	chr2(.):241503103-241523143	0.485
NM_003549	chr3(.):50325261-50341899	0.4703
NM_015303	chr3(.):184524930-184775402	0.1574
NM_014674	chr3(.):5224358-5266650	0.6858
NM_001683	chr3(.):10360706-10552268	0.1766
NM_001195099	chr3(.):15703743-15803058	0.0769
NM_001195098	chr3(.):15703743-15844691	0.1275
NM_015199	chr3(.):15703743-15906053	0.1447
NM_003571	chr3(.):133113789-133199056	0.6316
NM_207015	chr3(.):174572110-175528428	0.1756
NM_001135095	chr3(.):171753343-172123492	0.2371
NM_022763	chr3(.):171752417-172123492	0.2374
NM_181361	chr3(.):178249223-178567217	0.1606
NM_001570	chr3(.):10201562-10290427	0.2783
NM_001134382	chr3(.):12933718-13119617	0.371
NM_024923	chr3(.):13352736-13466809	0.3745
NM_014869	chr3(.):12933718-13013960	0.085
NM_144636	chr3(.):14148576-14171371	0.9569
NM_001184958	chr3(.):14711605-14819543	0.1969
NM_003884	chr3(.):20076523-20200896	0.1591
NM_001024847	chr3(.):30642993-30740633	0.2826
NM_004206	chr3(.):42584472-42628428	0.195
NM_032970	chr3(.):42589391-42628428	0.2048
NM_001123396	chr3(.):46390234-46405868	0.6316
NM_001174051	chr3(.):50395230-50545892	0.1187
NM_025222	chr3(.):52283437-52317659	0.3945
NM_006254	chr3(.):53190222-53231733	0.3533
NM_181042	chr3(.):52574367-52718739	0.0677
NM_018313	chr3(.):52574367-52724866	0.0975
NM_015541	chr3(.):66424220-66555845	0.1574
NM_007114	chr3(.):69063977-69106484	0.1238
NM_002213	chr3(.):124476794-124611144	0.4998
NM_032343	chr3(.):126418117-126684244	0.1442
NM_001001487	chr3(.):130608433-130740555	0.0934
NM_001199181	chr3(.):130564368-130727046	0.1245
NM_001199180	chr3(.):130564368-130740555	0.12
NM_001199179	chr3(.):130607834-130727046	0.0964
NM_001001485	chr3(.):130607858-130740555	0.0933
NM_001199184	chr3(.):130607904-130727046	0.0964
NM_014382	chr3(.):130608291-130727046	0.0963
NM_001134422	chr3(.):133287433-133314118	0.6209
NM_001134423	chr3(.):133288300-133314118	0.6366
NM_006506	chr3(.):141200925-141336197	0.1506
NM_001080412	chr3(.):141038054-141173632	1.6935
NM_016275	chr3(.):150316065-150353234	0.3177
NM_001190242	chr3(.):159969773-160106554	0.0937
NM_001190241	chr3(.):159969773-160122320	0.2159
NM_024665	chr3(.):176733541-176920048	0.2563
NM_005832	chr3(.):178271617-178567217	0.1497
NM_130446	chr3(.):183200318-183278499	0.9273
NM_173216	chr3(.):186643314-186801341	0.5151
NM_003032	chr3(.):186734664-186801341	0.5978
NM_005524	chr3(.):193848933-193861396	2.1367
NM_152531	chr3(.):194784012-194996895	0.1974
NM_003670	chr3(.):5016096-5031865	0.9063
NM_015931	chr3(.):8656319-8698737	0.157
NM_014760	chr3(.):10285176-10327906	0.145
NR_030614	chr3(.):10431172-10441246	0.9693
NM_024334	chr3(.):14161439-14190180	0.782
NM_016474	chr3(.):14688252-14719166	0.1976
NR_027694	chr3(.):20016452-20058765	0.0645
NM_194293	chr3(.):39219706-39239077	0.2452
NM_001198621	chr3(.):39219705-39239085	0.2451
NM_005385	chr3(.):42637146-42695233	0.1326
NM_016305	chr3(.):42627297-42641490	0.2862
NM_014240	chr3(.):45631322-45727755	0.2896
NM_001295	chr3(.):46238199-46254832	1.2546
NM_001837	chr3(.):46278871-46313197	0.1396
NM_003965	chr3(.):46443720-46456014	0.2364
NM_001199149	chr3(.):46472495-46510161	0.2222
NM_002343	chr3(.):46472495-46511598	0.2242
NM_001100168	chr3(.):46406632-46422697	0.3092
NM_001130910	chr3(.):46444048-46456014	0.2409
NM_003212	chr3(.):46614075-46628952	0.063
NM_001174136	chr3(.):46611044-46628952	0.065
NM_024512	chr3(.):46551877-46613011	1.0472
NM_031440	chr3(.):46534484-46547439	0.4772
NM_001166425	chr3(.):50279325-50301786	0.2311
NM_006841	chr3(.):50237691-50263406	0.1211
NM_153215	chr3(.):50311517-50330545	0.2726
NM_006764	chr3(.):50320162-50335026	0.3321
NM_002070	chr3(.):50268646-50301786	0.2734
