REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	H929_jia.bam	enhancerRank	isSuper	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isSuper
2_MACS_peak_14953_lociStitched	chr18	42283361	42314470	2	30705	91787.1045	68	1	SETBP1		SETBP1	SETBP1	0.8908	68	1
3_MACS_peak_6476_lociStitched	chr11	115078653	115102373	3	18833	90762.208	69	1	CADM1		CADM1	CADM1	0.5115	69	1
7_MACS_peak_26511_lociStitched	chr5	118642399	118693729	7	33341	89042.151	70	1	TNFAIP8		TNFAIP8	TNFAIP8	0.8277	70	1
2_MACS_peak_21063_lociStitched	chr22	23265911	23286220	2	20154	87675.9839	71	1		IGLL5	IGLL5	IGLL5	5.5443	71	1
6_MACS_peak_2004_lociStitched	chr1	154820564	154864610	6	28283	87136.2018	72	1	KCNN3	PMVK	KCNN3	PMVK	2.7181	72	1
2_MACS_peak_10368_lociStitched	chr15	23657951	23685038	2	22772	86486.0823	73	1			MKRN3	MKRN3	NONE	73	1
5_MACS_peak_10259_lociStitched	chr14	106023104	106057873	5	31561	86199.3048	74	1		TMEM121	TMEM121	TMEM121	0.1183	74	1
2_MACS_peak_7311_lociStitched	chr12	48195680	48215131	2	18628	86162.0947	75	1	HDAC7	SLC48A1,RAPGEF3	HDAC7	HDAC7	1.8898	75	1
3_MACS_peak_16397_lociStitched	chr19	42035589	42062857	3	24737	85613.3396	76	1		CEACAM21	CEACAM21	CEACAM21	0.0849	76	1
3_MACS_peak_8694_lociStitched	chr13	41537963	41594703	3	53499	85234.828	77	1	ELF1	WBP4,SUGT1P3	ELF1	ELF1	0.507	77	1
8_MACS_peak_30584_lociStitched	chr7	101920960	101954800	8	26282	84951.936	78	1	CUX1,SH2B2,MIR4285	SPDYE6	MIR4285	MIR4285	1.3872	78	1
5_MACS_peak_32619_lociStitched	chr8	120906918	120950402	5	35561	84676.3932	79	1	DEPDC6	DSCC1	DEPDC6	DEPDC6	0.7129	79	1
3_MACS_peak_5822_lociStitched	chr11	65335760	65357917	3	17481	83897.4805	80	1	SSSCA1,FAM89B,EHBP1L1	SCYL1,PCNXL3,SIPA1,LTBP3,KCNK7,MAP3K11	EHBP1L1	EHBP1L1	2.8532	80	1
2_MACS_peak_30350_lociStitched	chr7	83926607	83969447	2	42782	82882.548	81	1			SEMA3A	SEMA3A	NONE	81	1
10_MACS_peak_2825_lociStitched	chr1	206849029	206916787	10	45891	82285.3152	82	1	MAPKAPK2	DYRK3,IL10	MAPKAPK2	MAPKAPK2	1.2309	82	1
3_MACS_peak_10588_lociStitched	chr15	40385733	40409301	3	22518	82268.8176	83	1	BMF	BUB1B	BMF	BMF	2.6031	83	1
1_MACS_peak_7544_lociStitched	chr12	57105148	57120281	1	15134	82184.2964	84	1	NACA	HSD17B6,PTGES3,PRIM1	NACA	NACA	3.6427	84	1
1_MACS_peak_20135_lociStitched	chr20	43269222	43282603	1	13382	80841.3115	85	1	ADA	LOC79015	ADA	ADA	2.0158	85	1
2_MACS_peak_18861_lociStitched	chr2	182165054	182186081	2	20548	80394.6318	86	1			ITGA4	ITGA4	0.4407	86	1
4_MACS_peak_27237_lociStitched	chr5	173309853	173356880	4	42493	79701.3596	87	1	CPEB4		CPEB4	CPEB4	1.0092	87	1
1_MACS_peak_19070_lociStitched	chr2	201979249	201994849	1	15601	79020.24	88	1	CFLAR	NDUFB3,FAM126B	CFLAR	CFLAR	1.4405	88	1
5_MACS_peak_17961_lociStitched	chr2	87753892	87800895	5	32470	78429.2058	89	1	NCRNA00152		NCRNA00152	NCRNA00152	1.3932	89	1
4_MACS_peak_11004_lociStitched	chr15	68478516	68503955	4	22003	77876.4107	90	1	PIAS1,CALML4,CLN6		CALML4	CALML4	3.0548	90	1
1_MACS_peak_26261_lociStitched	chr5	88162855	88187150	1	24296	77090.4645	91	1	MEF2C	MEF2C	MEF2C	MEF2C	0.7378	91	1
2_MACS_peak_20494_lociStitched	chr20	62357407	62372457	2	14836	76931.085	92	1	ZGPAT,LIME1,SLC2A4RG	TNFRSF6B,ARFRP1	LIME1	LIME1	3.4404	92	1
2_MACS_peak_1986_lociStitched	chr1	154296395	154308364	2	9607	76042.6477	93	1	AQP10,ATP8B2		ATP8B2	ATP8B2	3.4864	93	1
3_MACS_peak_17379_lociStitched	chr2	38808301	38840229	3	26300	75937.5552	94	1	HNRPLL		HNRPLL	HNRPLL	1.3893	94	1
2_MACS_peak_25729_lociStitched	chr5	32568504	32598537	2	29299	75914.4141	95	1	SUB1		SUB1	SUB1	2.3433	95	1
7_MACS_peak_27729_lociStitched	chr6	26330627	26371037	7	29075	74863.566	96	1	BTN3A2	BTN2A2,BTN3A1,HIST1H4H	BTN3A2	BTN3A2	1.6863	96	1
1_MACS_peak_18990_lociStitched	chr2	197021758	197044811	1	23054	74714.773	97	1	STK17B		STK17B	STK17B	1.3919	97	1
2_MACS_peak_23504_lociStitched	chr3	171800213	171827163	2	26660	74489.8	98	1	FNDC3B		FNDC3B	FNDC3B	0.3754	98	1
2_MACS_peak_2704_lociStitched	chr1	200976905	200996905	2	19543	74288	99	1	KIF21B		KIF21B	KIF21B	1.2366	99	1
5_MACS_peak_31671_lociStitched	chr8	33400561	33428406	5	24248	73594.335	100	1	RNF122	C8orf41,DUSP26	RNF122	RNF122	2.5125	100	1
4_MACS_peak_1973_lociStitched	chr1	153928228	153951884	4	15592	73357.256	101	1	CREB3L4,CRTC2,SLC39A1,JTB	RPS27,GATAD2B,DENND4B,RAB13	SLC39A1	SLC39A1	2.9633	101	1
1_MACS_peak_13835_lociStitched	chr17	43296399	43309147	1	12749	73038.3912	102	1	FMNL1	LOC100133991,C17orf46	FMNL1	FMNL1	2.2775	102	1
6_MACS_peak_20054_lociStitched	chr20	37498038	37523844	6	20035	72889.047	103	1	PPP1R16B	FAM83D	FAM83D	FAM83D	0.1839	103	1
9_MACS_peak_11462_lociStitched	chr15	93341832	93389285	9	24155	71858.0779	104	1		ASB9P1,LOC100507217	ASB9P1	LOC100507217	1.595	104	1
1_MACS_peak_6614_lociStitched	chr11	122925752	122942607	1	16856	71638.8065	105	1	HSPA8	LOC341056	HSPA8	HSPA8	3.7542	105	1
3_MACS_peak_15413_lociStitched	chr19	2081586	2097874	3	15022	71444.0544	106	1	IZUMO4,MOBKL2A	MKNK2	MOBKL2A	MOBKL2A	2.0809	106	1
6_MACS_peak_4152_lociStitched	chr10	74003801	74037852	6	22269	71398.1368	107	1	DDIT4	ANAPC16,ASCC1	DDIT4	DDIT4	2.4813	107	1
5_MACS_peak_6917_lociStitched	chr12	7045703	7081219	5	25429	70620.0144	108	1	ATN1,C12orf57,PTPN6,MIR200C,MIR141,EMG1,PHB2,SCARNA12	LRRC23,ENO2,LPCAT3	PTPN6	PTPN6	2.5528	108	1
1_MACS_peak_2316_lociStitched	chr1	167595854	167603740	1	7887	69380.2394	109	1	RCSD1		RCSD1	RCSD1	1.0065	109	1
6_MACS_peak_23106_lociStitched	chr3	133180365	133211752	6	18460	68954.1003	110	1	BFSP2		BFSP2	BFSP2	0.681	110	1
4_MACS_peak_8294_lociStitched	chr12	122227049	122251740	4	18207	67878.0281	111	1	SETD1B,RHOF,LOC338799	HPD	LOC338799	LOC338799	3.358	111	1
3_MACS_peak_29722_lociStitched	chr7	29694572	29726535	3	30336	67796.7193	112	1	DPY19L2P3,LOC646762,LOC100271874		LOC646762	LOC646762	1.4528	112	1
2_MACS_peak_6570_lociStitched	chr11	120195212	120218978	2	18980	67752.1128	113	1	TMEM136,ARHGEF12		ARHGEF12	ARHGEF12	0.5042	113	1
9_MACS_peak_24166_lociStitched	chr4	24162029	24209389	9	29627	67568.512	114	1			PPARGC1A	PPARGC1A	NONE	114	1
1_MACS_peak_33444_lociStitched	chr9	66454555	66460565	1	6011	67446.624	115	1		LOC442421	LOC442421	LOC442421	1.0771	115	1
3_MACS_peak_22798_lociStitched	chr3	112002667	112025827	3	19248	67270.536	116	1	SLC9A10	CD200	SLC9A10	SLC9A10	0.3579	116	1
3_MACS_peak_16609_lociStitched	chr19	48876813	48902135	3	19983	66956.4324	117	1	SYNGR4,GRIN2D,KDELR1	EMP3,GRWD1,TMEM143	KDELR1	KDELR1	3.1967	117	1
1_MACS_peak_4265_lociStitched	chr10	81000776	81011208	1	10433	66884.768	118	1	ZMIZ1		PPIF	PPIF	NONE	118	1
3_MACS_peak_30597_lociStitched	chr7	102063868	102087243	3	16205	66733.2875	119	1	PRKRIP1,ORAI2	LRWD1,ALKBH4,POLR2J	ORAI2	ORAI2	1.3369	119	1
2_MACS_peak_28460_lociStitched	chr6	79773936	79794871	2	19825	66512.5885	120	1	PHIP		PHIP	PHIP	0.5097	120	1
3_MACS_peak_16321_lociStitched	chr19	39880515	39904540	3	18802	66472.37	121	1	MED29,ZFP36,PLEKHG2,PAF1	SAMD4B,SUPT5H,RPS16	ZFP36	ZFP36	4.1046	121	1
1_MACS_peak_12903_lociStitched	chr16	89032202	89046263	1	14062	66422.7579	122	1	CBFA2T3	CBFA2T3	CBFA2T3	CBFA2T3	0.6489	122	1
5_MACS_peak_10265_lociStitched	chr14	106143450	106176313	5	29726	66278.0984	123	1			TMEM121	TMEM121	0.1183	123	1
2_MACS_peak_22568_lociStitched	chr3	79561600	79601183	2	39545	66087.7768	124	1	ROBO1		ROBO1	ROBO1	0.1038	124	1
2_MACS_peak_2052_lociStitched	chr1	155899779	155920480	2	18259	65988.5777	125	1	RXFP4,KIAA0907,ARHGEF2	RIT1,SNORA42,SCARNA4	RXFP4	RXFP4	4.0816	125	1
5_MACS_peak_22803_lociStitched	chr3	112155054	112187762	5	26897	65317.876	126	1	BTLA		BTLA	BTLA	0.9455	126	1
6_MACS_peak_787_lociStitched	chr1	40029678	40072921	6	26039	64782.3383	127	1	PABPC4,SNORA55	PPIEL,HEYL	PABPC4	PABPC4	1.4893	127	1
4_MACS_peak_2866_lociStitched	chr1	209275728	209308767	4	22337	64753.1361	128	1			LOC642587	LOC642587	NONE	128	1
3_MACS_peak_16403_lociStitched	chr19	42363029	42389599	3	20363	64644.81	129	1	RPS19,CD79A,ARHGEF1	DMRTC2,LYPD4	CD79A	CD79A	1.334	129	1
1_MACS_peak_3690_lociStitched	chr10	22595371	22617010	1	21640	64629.2013	130	1	COMMD3,BMI1	SPAG6	COMMD3	COMMD3	3.4541	130	1
3_MACS_peak_19343_lociStitched	chr2	227635282	227667052	3	21341	64467.684	131	1	IRS1	RHBDD1	IRS1	IRS1	0.8963	131	1
11_MACS_peak_34125_lociStitched	chr9	126074046	126117184	11	26504	64077.1852	132	1		CRB2,STRBP,MIR601	CRB2	STRBP	0.255	132	1
2_MACS_peak_9939_lociStitched	chr14	81930542	81957700	2	24629	63910.9214	133	1	SEL1L		SEL1L	SEL1L	1.1439	133	1
5_MACS_peak_8372_lociStitched	chr12	125382708	125413699	5	19764	63878.6492	134	1	UBC	SCARB1	UBC	UBC	3.0711	134	1
2_MACS_peak_3526_lociStitched	chr10	11203886	11224830	2	16183	63841.5008	135	1	CELF2		CELF2	CELF2	0.2934	135	1
3_MACS_peak_33973_lociStitched	chr9	112902821	112925228	3	21903	62533.4556	136	1	PALM2-AKAP2,AKAP2	C9orf152	AKAP2	AKAP2	0.8713	136	1
1_MACS_peak_7823_lociStitched	chr12	89737514	89749223	1	11710	62476.8822	137	1	DUSP6		DUSP6	DUSP6	4.3426	137	1
4_MACS_peak_10484_lociStitched	chr15	31635208	31661230	4	22552	62416.3692	138	1	KLF13		KLF13	KLF13	1.6524	138	1
1_MACS_peak_21108_lociStitched	chr22	24819312	24833582	1	14271	61572.196	139	1	ADORA2A,C22orf45		ADORA2A	ADORA2A	2.5384	139	1
6_MACS_peak_30965_lociStitched	chr7	137659798	137694362	6	25400	61465.1612	140	1	CREB3L2		CREB3L2	CREB3L2	0.5341	140	1
2_MACS_peak_31784_lociStitched	chr8	42738786	42757604	2	18574	61164.1454	141	1	HOOK3,RNF170	THAP1	RNF170	RNF170	1.484	141	1
6_MACS_peak_11546_lociStitched	chr15	101660621	101692323	6	19726	61143.6474	142	1			CHSY1	CHSY1	0.988	142	1
8_MACS_peak_15788_lociStitched	chr19	12885698	12918444	8	18671	61002.5234	143	1	JUNB,RNASEH2A,HOOK2,PRDX2	ASNA1,BEST2,MAST1,C19orf43,RTBDN	JUNB	JUNB	3.4158	143	1
8_MACS_peak_16406_lociStitched	chr19	42431690	42464189	8	21076	60964.8741	144	1	RABAC1	ARHGEF1,ATP1A3	RABAC1	RABAC1	0.7455	144	1
6_MACS_peak_14442_lociStitched	chr17	76108278	76141392	6	22144	60933.0714	145	1	TMC8,TMC6	C17orf99,SYNGR2,AFMID,TK1	TMC6	SYNGR2	1.9293	145	1
5_MACS_peak_15694_lociStitched	chr19	10511720	10547505	5	24355	60591.162	146	1	PDE4A,CDC37,MIR1181	PDE4A,TYK2	PDE4A	PDE4A	0.6728	146	1
2_MACS_peak_6666_lociStitched	chr11	126172954	126189685	2	14495	60449.103	147	1	DCPS	FOXRED1,TIRAP,ST3GAL4,SRPR,FLJ39051	DCPS	DCPS	1.2804	147	1
2_MACS_peak_12879_lociStitched	chr16	87883451	87905893	2	21943	60301.654	148	1	SLC7A5		SLC7A5	SLC7A5	1.2838	148	1
6_MACS_peak_4657_lociStitched	chr10	111640287	111683989	6	25765	60243.207	149	1	XPNPEP1		XPNPEP1	XPNPEP1	0.8987	149	1
4_MACS_peak_5776_lociStitched	chr11	64611732	64635228	4	19076	59529.4656	150	1	CDC42BPG,EHD1	MAP4K2,MEN1,MIR192,MIR194-2,ATG2A	CDC42BPG	MEN1	0.3728	150	1
4_MACS_peak_27765_lociStitched	chr6	27088242	27116344	4	21379	59500.3646	151	1	HIST1H2AG,HIST1H4I,HIST1H2AH,MIR3143,HIST1H2BJ,HIST1H2BK		HIST1H2AG	HIST1H2AG	2.487	151	1
3_MACS_peak_1555_lociStitched	chr1	111170742	111191081	3	13312	59436.6597	152	1		KCNA2,KCNA3	KCNA2	KCNA3	1.1361	152	1
3_MACS_peak_4161_lociStitched	chr10	74075271	74097689	3	17962	59253.0158	153	1	DNAJB12	DDIT4	DNAJB12	DDIT4	2.4813	153	1
3_MACS_peak_1885_lociStitched	chr1	150580797	150603482	3	15501	59033.1755	154	1	ENSA	MCL1	ENSA	MCL1	3.7485	154	1
3_MACS_peak_27376_lociStitched	chr6	388004	412809	3	18028	58874.6675	155	1	IRF4		IRF4	IRF4	2.0095	155	1
4_MACS_peak_2062_lociStitched	chr1	156066059	156100802	4	22220	58739.9901	156	1	LMNA	ROBLD3,RAB25,SEMA4A,UBQLN4,MEX3A	LMNA	SEMA4A	2.6506	156	1
1_MACS_peak_25728_lociStitched	chr5	32529864	32544536	1	14673	58707.0736	157	1		SUB1	SUB1	SUB1	2.3433	157	1
5_MACS_peak_19907_lociStitched	chr20	32423888	32452651	5	27117	58561.468	158	1	CHMP4B		CHMP4B	CHMP4B	1.1045	158	1
4_MACS_peak_14398_lociStitched	chr17	74474563	74503258	4	18144	58351.2825	159	1	RHBDF2	AANAT,PRCD,UBE2O,CYGB	RHBDF2	RHBDF2	1.5052	159	1
2_MACS_peak_3251_lociStitched	chr1	234729412	234749134	2	16537	58349.5092	160	1	IRF2BP2	NCRNA00184	IRF2BP2	IRF2BP2	3.6389	160	1
5_MACS_peak_23915_lociStitched	chr4	2786931	2815094	5	22482	57196.2367	161	1	SH3BP2	SH3BP2,ADD1,TNIP2	SH3BP2	SH3BP2	1.0677	161	1
3_MACS_peak_33270_lociStitched	chr9	33444437	33462874	3	14885	56822.834	162	1	AQP3,NOL6	AQP7,SUGT1P1	AQP3	AQP3	0.825	162	1
2_MACS_peak_9323_lociStitched	chr14	23018151	23040230	2	20573	56683.4167	163	1	DAD1	ABHD4	DAD1	DAD1	1.1024	163	1
8_MACS_peak_29832_lociStitched	chr7	38370492	38410286	8	27921	56547.274	164	1			TARP	TARP	NONE	164	1
2_MACS_peak_3682_lociStitched	chr10	22257572	22295169	2	31688	56478.2134	165	1	DNAJC1		DNAJC1	DNAJC1	0.3474	165	1
2_MACS_peak_34296_lociStitched	chr9	132244341	132261098	2	13015	56300.1686	166	1			C9orf50	C9orf50	NONE	166	1
