REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	H929_jia.bam	enhancerRank	isStretch	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isStretch
2_MACS_peak_24478_lociStitched	chr4	71513338	71558576	2	43456	151212.5388	12	1	UTP3,IGJ	ENAM,RUFY3	IGJ	IGJ	3.9781	12	1
9_MACS_peak_2751_lociStitched	chr1	203236322	203298469	9	43431	184899.7544	13	1	BTG2,LOC730227	CHIT1,FMOD	LOC730227	LOC730227	4.0499	13	1
1_MACS_peak_27479_lociStitched	chr6	7878325	7921702	1	43378	278632.1595	14	1	BMP6,MUTED-TXNDC5,TXNDC5		TXNDC5	TXNDC5	6.1727	14	1
6_MACS_peak_4852_lociStitched	chr10	125812510	125868074	6	42787	131847.8156	15	1	CHST15		CHST15	CHST15	1.1686	15	1
2_MACS_peak_30350_lociStitched	chr7	83926607	83969447	2	42782	82882.548	16	1			SEMA3A	SEMA3A	NONE	16	1
4_MACS_peak_27237_lociStitched	chr5	173309853	173356880	4	42493	79701.3596	17	1	CPEB4		CPEB4	CPEB4	1.0092	17	1
1_MACS_peak_17987_lociStitched	chr2	89129615	89171449	1	41835	227426.3576	18	1			ANKRD36BP2	ANKRD36BP2	0.091	18	1
6_MACS_peak_14322_lociStitched	chr17	72732198	72782200	6	41178	122044.8816	19	1	RAB37,SLC9A3R1,MIR3615,TMEM104,NAT9	CD300LF	SLC9A3R1	SLC9A3R1	2.6105	19	1
7_MACS_peak_16291_lociStitched	chr19	39137374	39186991	7	40920	134199.0999	20	1	ACTN4	EIF3K,MAP4K1,CAPN12	ACTN4	ACTN4	1.6203	20	1
6_MACS_peak_26644_lociStitched	chr5	131789423	131842687	6	40514	131913.6224	21	1	C5orf56,IRF1	RAD50,IL5	IRF1	IRF1	1.5064	21	1
2_MACS_peak_22568_lociStitched	chr3	79561600	79601183	2	39545	66087.7768	22	1	ROBO1		ROBO1	ROBO1	0.1038	22	1
5_MACS_peak_32349_lociStitched	chr8	98634581	98675116	5	39382	143611.4515	23	1	MTDH		MTDH	MTDH	0.9998	23	1
4_MACS_peak_21161_lociStitched	chr22	29183513	29227412	4	39303	130634.6442	24	1	CCDC117,XBP1	HSCB,CHEK2	XBP1	XBP1	4.5992	24	1
2_MACS_peak_17979_lociStitched	chr2	88889862	88928714	2	38837	150434.944	25	1	EIF2AK3		EIF2AK3	EIF2AK3	1.9552	25	1
5_MACS_peak_27371_lociStitched	chr6	290981	337956	5	38688	173906.1475	26	1	DUSP22		DUSP22	DUSP22	2.5563	26	1
6_MACS_peak_32152_lociStitched	chr8	81032226	81084673	6	38567	117906.1007	27	1	TPD52	TPD52	TPD52	TPD52	1.1102	27	1
7_MACS_peak_2010_lociStitched	chr1	154907463	154957603	7	37000	203829.128	28	1	CKS1B,MIR4258,FLAD1,PMVK,PBXIP1,PYGO2,SHC1	LENEP,ZBTB7B,DCST1,DCST2	PYGO2	ZBTB7B	4.1013	28	1
4_MACS_peak_28752_lociStitched	chr6	109186250	109228564	4	36532	142881.6838	29	1	ARMC2		ARMC2	ARMC2	1.2227	29	1
4_MACS_peak_7434_lociStitched	chr12	53573067	53616734	4	35808	118992.575	30	1	ZNF740,CSAD,ITGB7,RARG	MFSD5,ESPL1	ITGB7	ITGB7	3.518	30	1
7_MACS_peak_11855_lociStitched	chr16	11794059	11838081	7	35617	106863.405	31	1	TXNDC11	SNN	TXNDC11	TXNDC11	1.6269	31	1
5_MACS_peak_32619_lociStitched	chr8	120906918	120950402	5	35561	84676.3932	32	1	DEPDC6	DSCC1	DEPDC6	DEPDC6	0.7129	32	1
4_MACS_peak_8329_lociStitched	chr12	123344730	123387339	4	35516	142071.1887	33	1	HIP1R,VPS37B		VPS37B	VPS37B	3.3443	33	1
6_MACS_peak_25681_lociStitched	chr5	26859132	26906694	6	35115	93630.5532	34	1	CDH9		CDH9	CDH9	0.4443	34	1
4_MACS_peak_2081_lociStitched	chr1	156441145	156480251	4	35006	275204.5644	35	1	MEF2D	C1orf61	MEF2D	MEF2D	5.6848	35	1
4_MACS_peak_2179_lociStitched	chr1	160673361	160719132	4	34905	156944.1819	36	1	SLAMF7,CD48	LY9	SLAMF7	SLAMF7	2.2353	36	1
3_MACS_peak_2957_lociStitched	chr1	215712931	215750246	3	34762	102004.284	37	1	KCTD3		KCTD3	KCTD3	0.6798	37	1
5_MACS_peak_28564_lociStitched	chr6	90048565	90086102	5	34719	138725.4909	38	1	UBE2J1,RRAGD	GABRR2	UBE2J1	UBE2J1	2.7238	38	1
5_MACS_peak_32698_lociStitched	chr8	126285522	126328488	5	33979	98374.9536	39	1	NSMCE2		TRIB1	TRIB1	2.0954	39	1
7_MACS_peak_26511_lociStitched	chr5	118642399	118693729	7	33341	89042.151	40	1	TNFAIP8		TNFAIP8	TNFAIP8	0.8277	40	1
5_MACS_peak_34021_lociStitched	chr9	117124692	117161523	5	33339	97966.7769	41	1	AKNA	ORM1,ORM2	AKNA	AKNA	1.4731	41	1
7_MACS_peak_15017_lociStitched	chr18	46439206	46480207	7	33314	124356.033	42	1	SMAD7		SMAD7	SMAD7	2.9711	42	1
6_MACS_peak_2198_lociStitched	chr1	161122617	161164068	6	32727	186376.1313	43	1	UFC1,USP21,PPOX,B4GALT3,ADAMTS4	NIT1,NDUFS2,FCER1G,TOMM40L,PFDN2,DEDD,APOA2,NR1I3	B4GALT3	B4GALT3	3.9018	43	1
12_MACS_peak_4682_lociStitched	chr10	112146713	112189340	12	32719	118413.5433	44	1			DUSP5	DUSP5	1.6681	44	1
5_MACS_peak_17961_lociStitched	chr2	87753892	87800895	5	32470	78429.2058	45	1	NCRNA00152		NCRNA00152	NCRNA00152	1.3932	45	1
2_MACS_peak_3682_lociStitched	chr10	22257572	22295169	2	31688	56478.2134	46	1	DNAJC1		DNAJC1	DNAJC1	0.3474	46	1
5_MACS_peak_10259_lociStitched	chr14	106023104	106057873	5	31561	86199.3048	47	1		TMEM121	TMEM121	TMEM121	0.1183	47	1
7_MACS_peak_27287_lociStitched	chr5	176829437	176883742	7	31558	125949.5865	48	1	GRK6,PRR7,F12,DBN1	RGS14,SLC34A1,PFN3,PDLIM7	GRK6	GRK6	3.4237	48	1
3_MACS_peak_1860_lociStitched	chr1	149801037	149835801	3	31407	181436.7924	49	1	HIST2H4B,HIST2H2AA4,HIST2H3A,HIST2H2BC	FCGR1A,HIST2H2AC,BOLA1,HIST2H2BF,HIST2H3D,HIST2H2BE,HIST2H2AB	HIST2H2BC	HIST2H2BC	5.677	49	1
6_MACS_peak_21355_lociStitched	chr22	38634809	38673649	6	31161	96497.98	50	1	TMEM184B	MAFF,CSNK1E	TMEM184B	TMEM184B	1.8282	50	1
2_MACS_peak_14953_lociStitched	chr18	42283361	42314470	2	30705	91787.1045	51	1	SETBP1		SETBP1	SETBP1	0.8908	51	1
12_MACS_peak_26617_lociStitched	chr5	131400399	131453714	12	30393	55751.4955	52	1	CSF2	IL3	CSF2	CSF2	0.641	52	1
3_MACS_peak_29722_lociStitched	chr7	29694572	29726535	3	30336	67796.7193	53	1	DPY19L2P3,LOC646762,LOC100271874		LOC646762	LOC646762	1.4528	53	1
3_MACS_peak_31582_lociStitched	chr8	27218260	27255143	3	30078	112246.0339	54	1	PTK2B	TRIM35	PTK2B	PTK2B	0.9776	54	1
5_MACS_peak_2105_lociStitched	chr1	157132958	157169896	5	29729	165711.2556	55	1		CYCSP52,ETV3	ETV3	ETV3	2.3722	55	1
5_MACS_peak_10265_lociStitched	chr14	106143450	106176313	5	29726	66278.0984	56	1			TMEM121	TMEM121	0.1183	56	1
9_MACS_peak_24166_lociStitched	chr4	24162029	24209389	9	29627	67568.512	57	1			PPARGC1A	PPARGC1A	NONE	57	1
2_MACS_peak_25729_lociStitched	chr5	32568504	32598537	2	29299	75914.4141	58	1	SUB1		SUB1	SUB1	2.3433	58	1
2_MACS_peak_28694_lociStitched	chr6	106530977	106560378	2	29135	137088.0427	59	1	PRDM1		PRDM1	PRDM1	4.0965	59	1
7_MACS_peak_27729_lociStitched	chr6	26330627	26371037	7	29075	74863.566	60	1	BTN3A2	BTN2A2,BTN3A1,HIST1H4H	BTN3A2	BTN3A2	1.6863	60	1
2_MACS_peak_25693_lociStitched	chr5	27446155	27477269	2	29058	110532.485	61	1			CDH9	CDH9	0.4443	61	1
1_MACS_peak_18864_lociStitched	chr2	182235837	182264523	1	28687	35570.64	62	1			ITGA4	ITGA4	0.4407	62	1
4_MACS_peak_21810_lociStitched	chr3	15828346	15861008	4	28457	54672.9218	63	1	ANKRD28	ANKRD28	ANKRD28	ANKRD28	0.3282	63	1
6_MACS_peak_2004_lociStitched	chr1	154820564	154864610	6	28283	87136.2018	64	1	KCNN3	PMVK	KCNN3	PMVK	2.7181	64	1
2_MACS_peak_21060_lociStitched	chr22	23219750	23249185	2	27996	110604.956	65	1	IGLL5		IGLL5	IGLL5	5.5443	65	1
8_MACS_peak_29832_lociStitched	chr7	38370492	38410286	8	27921	56547.274	66	1			TARP	TARP	NONE	66	1
3_MACS_peak_34829_lociStitched	chrX	45608859	45641991	3	27485	44764.6452	67	1		MIR221,MIR222	MIR222	MIR222	0.2816	67	1
2_MACS_peak_20312_lociStitched	chr20	52188014	52215876	2	27483	92635.5776	68	1	ZNF217		ZNF217	ZNF217	1.9378	68	1
4_MACS_peak_1989_lociStitched	chr1	154370039	154400837	4	27375	167482.6038	69	1	IL6R		IL6R	IL6R	2.4953	69	1
5_MACS_peak_19907_lociStitched	chr20	32423888	32452651	5	27117	58561.468	70	1	CHMP4B		CHMP4B	CHMP4B	1.1045	70	1
5_MACS_peak_22803_lociStitched	chr3	112155054	112187762	5	26897	65317.876	71	1	BTLA		BTLA	BTLA	0.9455	71	1
4_MACS_peak_5808_lociStitched	chr11	65183158	65225559	4	26810	131616.9441	72	1	NEAT1,MIR612	FRMD8,MALAT1,SLC25A45	MIR612	MALAT1	2.6177	72	1
7_MACS_peak_28876_lociStitched	chr6	119762712	119798646	7	26686	36329.274	73	1			MAN1A1	MAN1A1	0.23	73	1
2_MACS_peak_23504_lociStitched	chr3	171800213	171827163	2	26660	74489.8	74	1	FNDC3B		FNDC3B	FNDC3B	0.3754	74	1
2_MACS_peak_32070_lociStitched	chr8	71498585	71530574	2	26603	124635.5418	75	1	TRAM1		TRAM1	TRAM1	2.7425	75	1
11_MACS_peak_34125_lociStitched	chr9	126074046	126117184	11	26504	64077.1852	76	1		CRB2,STRBP,MIR601	CRB2	STRBP	0.255	76	1
3_MACS_peak_17379_lociStitched	chr2	38808301	38840229	3	26300	75937.5552	77	1	HNRPLL		HNRPLL	HNRPLL	1.3893	77	1
8_MACS_peak_30584_lociStitched	chr7	101920960	101954800	8	26282	84951.936	78	1	CUX1,SH2B2,MIR4285	SPDYE6	MIR4285	MIR4285	1.3872	78	1
6_MACS_peak_787_lociStitched	chr1	40029678	40072921	6	26039	64782.3383	79	1	PABPC4,SNORA55	PPIEL,HEYL	PABPC4	PABPC4	1.4893	79	1
6_MACS_peak_4657_lociStitched	chr10	111640287	111683989	6	25765	60243.207	80	1	XPNPEP1		XPNPEP1	XPNPEP1	0.8987	80	1
3_MACS_peak_2054_lociStitched	chr1	155929545	155960053	3	25628	166613.3404	81	1	ARHGEF2	RXFP4,RIT1,SNORA42,SCARNA4,KIAA0907,SSR2	ARHGEF2	ARHGEF2	4.8132	81	1
5_MACS_peak_6917_lociStitched	chr12	7045703	7081219	5	25429	70620.0144	82	1	ATN1,C12orf57,PTPN6,MIR200C,MIR141,EMG1,PHB2,SCARNA12	LRRC23,ENO2,LPCAT3	PTPN6	PTPN6	2.5528	82	1
6_MACS_peak_30965_lociStitched	chr7	137659798	137694362	6	25400	61465.1612	83	1	CREB3L2		CREB3L2	CREB3L2	0.5341	83	1
2_MACS_peak_24665_lociStitched	chr4	90205066	90230214	2	25101	100466.26	84	1	GPRIN3		GPRIN3	GPRIN3	1.4515	84	1
2_MACS_peak_23894_lociStitched	chr4	1901158	1928142	2	24979	28959.2288	85	1	WHSC1	SCARNA22,LETM1	WHSC1	WHSC1	0.3625	85	1
3_MACS_peak_16397_lociStitched	chr19	42035589	42062857	3	24737	85613.3396	86	1		CEACAM21	CEACAM21	CEACAM21	0.0849	86	1
2_MACS_peak_9939_lociStitched	chr14	81930542	81957700	2	24629	63910.9214	87	1	SEL1L		SEL1L	SEL1L	1.1439	87	1
6_MACS_peak_26638_lociStitched	chr5	131744212	131774794	6	24592	96119.226	88	1	C5orf56	SLC22A5,MIR3936	C5orf56	C5orf56	2.7825	88	1
1_MACS_peak_2091_lociStitched	chr1	156624248	156648750	1	24503	201325.5834	89	1	BCAN,NES	HAPLN2,BCAN,C1orf66,CRABP2,ISG20L2	NES	NES	5.3923	89	1
5_MACS_peak_15694_lociStitched	chr19	10511720	10547505	5	24355	60591.162	90	1	PDE4A,CDC37,MIR1181	PDE4A,TYK2	PDE4A	PDE4A	0.6728	90	1
1_MACS_peak_26261_lociStitched	chr5	88162855	88187150	1	24296	77090.4645	91	1	MEF2C	MEF2C	MEF2C	MEF2C	0.7378	91	1
5_MACS_peak_31671_lociStitched	chr8	33400561	33428406	5	24248	73594.335	92	1	RNF122	C8orf41,DUSP26	RNF122	RNF122	2.5125	92	1
5_MACS_peak_25558_lociStitched	chr5	6708218	6739056	5	24193	52202.5664	93	1	PAPD7	PAPD7	PAPD7	PAPD7	0.9914	93	1
5_MACS_peak_5267_lociStitched	chr11	17161834	17192630	5	24170	53545.0052	94	1	PIK3C2A		PIK3C2A	PIK3C2A	0.6365	94	1
9_MACS_peak_11462_lociStitched	chr15	93341832	93389285	9	24155	71858.0779	95	1		ASB9P1,LOC100507217	ASB9P1	LOC100507217	1.595	95	1
6_MACS_peak_27789_lociStitched	chr6	27773254	27808644	6	24087	51064.231	96	1	HIST1H2AI,HIST1H3H,HIST1H2BM,HIST1H4J,HIST1H2BN,HIST1H2BL,HIST1H2AJ,HIST1H4K,HIST1H2AK	HIST1H2AL,HIST1H1B,HIST1H3I,HIST1H4L,HIST1H3J	HIST1H4J	HIST1H3J	2.1041	96	1
6_MACS_peak_2492_lociStitched	chr1	182568033	182602700	6	23806	52693.84	97	1	LOC284648,RGS16	RNASEL,RGS8	LOC284648	LOC284648	1.6569	97	1
4_MACS_peak_6961_lociStitched	chr12	9872107	9897378	4	23175	51413.8495	98	1	CLECL1	CLEC2D,CD69	CLECL1	CLECL1	1.9972	98	1
2_MACS_peak_20569_lociStitched	chr21	19151675	19176353	2	23138	104264.55	99	1	C21orf91		C21orf91	C21orf91	2.9221	99	1
2_MACS_peak_987_lociStitched	chr1	51423645	51451459	2	23103	94378.4648	100	1	CDKN2C,FAF1		CDKN2C	CDKN2C	4.6972	100	1
1_MACS_peak_18990_lociStitched	chr2	197021758	197044811	1	23054	74714.773	101	1	STK17B		STK17B	STK17B	1.3919	101	1
4_MACS_peak_26257_lociStitched	chr5	88100545	88127380	4	22982	40595.988	102	1	MEF2C		MEF2C	MEF2C	0.7378	102	1
2_MACS_peak_1883_lociStitched	chr1	150531292	150554189	2	22844	189088.0054	103	1	ADAMTSL4,MCL1	MIR4257,ENSA	MCL1	MCL1	3.7485	103	1
2_MACS_peak_10368_lociStitched	chr15	23657951	23685038	2	22772	86486.0823	104	1			MKRN3	MKRN3	NONE	104	1
1_MACS_peak_17153_lociStitched	chr2	20403114	20425865	1	22752	166926.3621	105	1	SDC1		SDC1	SDC1	4.8967	105	1
4_MACS_peak_10484_lociStitched	chr15	31635208	31661230	4	22552	62416.3692	106	1	KLF13		KLF13	KLF13	1.6524	106	1
3_MACS_peak_10588_lociStitched	chr15	40385733	40409301	3	22518	82268.8176	107	1	BMF	BUB1B	BMF	BMF	2.6031	107	1
5_MACS_peak_23915_lociStitched	chr4	2786931	2815094	5	22482	57196.2367	108	1	SH3BP2	SH3BP2,ADD1,TNIP2	SH3BP2	SH3BP2	1.0677	108	1
2_MACS_peak_6703_lociStitched	chr11	128584776	128607466	2	22459	92380.066	109	1	FLI1		FLI1	FLI1	1.0658	109	1
5_MACS_peak_2211_lociStitched	chr1	161409357	161442030	5	22386	41265.999	110	1		FCGR2A	FCGR2A	FCGR2A	0.3069	110	1
4_MACS_peak_2866_lociStitched	chr1	209275728	209308767	4	22337	64753.1361	111	1			LOC642587	LOC642587	NONE	111	1
6_MACS_peak_4152_lociStitched	chr10	74003801	74037852	6	22269	71398.1368	112	1	DDIT4	ANAPC16,ASCC1	DDIT4	DDIT4	2.4813	112	1
4_MACS_peak_2062_lociStitched	chr1	156066059	156100802	4	22220	58739.9901	113	1	LMNA	ROBLD3,RAB25,SEMA4A,UBQLN4,MEX3A	LMNA	SEMA4A	2.6506	113	1
2_MACS_peak_8645_lociStitched	chr13	35730664	35754947	2	22187	43243.1664	114	1	NBEA		NBEA	NBEA	0.1335	114	1
6_MACS_peak_14442_lociStitched	chr17	76108278	76141392	6	22144	60933.0714	115	1	TMC8,TMC6	C17orf99,SYNGR2,AFMID,TK1	TMC6	SYNGR2	1.9293	115	1
3_MACS_peak_6403_lociStitched	chr11	111229413	111251951	3	22043	99827.5634	116	1	POU2AF1		POU2AF1	POU2AF1	2.7501	116	1
9_MACS_peak_28211_lociStitched	chr6	45506022	45530435	9	22025	27689.2246	117	1	RUNX2		RUNX2	RUNX2	1.0923	117	1
4_MACS_peak_11004_lociStitched	chr15	68478516	68503955	4	22003	77876.4107	118	1	PIAS1,CALML4,CLN6		CALML4	CALML4	3.0548	118	1
2_MACS_peak_12879_lociStitched	chr16	87883451	87905893	2	21943	60301.654	119	1	SLC7A5		SLC7A5	SLC7A5	1.2838	119	1
3_MACS_peak_33973_lociStitched	chr9	112902821	112925228	3	21903	62533.4556	120	1	PALM2-AKAP2,AKAP2	C9orf152	AKAP2	AKAP2	0.8713	120	1
3_MACS_peak_21942_lociStitched	chr3	31473437	31504054	3	21882	27451.2022	121	1			STT3B	STT3B	NONE	121	1
2_MACS_peak_2551_lociStitched	chr1	184703830	184725893	2	21716	129004.5673	122	1	EDEM3		EDEM3	EDEM3	1.982	122	1
3_MACS_peak_13265_lociStitched	chr17	16872254	16896035	3	21700	95923.0416	123	1	TNFRSF13B		TNFRSF13B	TNFRSF13B	0.6555	123	1
7_MACS_peak_25460_lociStitched	chr4	190991213	191014057	7	21694	43047.2336	124	1	DUX4L6,DUX4L5,DUX2,DUX4L4,DUX4	DUX4L2,FRG2	DUX4L4	DUX4L4	1.8193	124	1
7_MACS_peak_18747_lociStitched	chr2	173443423	173473095	7	21656	37184.9504	125	1	PDK1		PDK1	PDK1	1.2378	125	1
1_MACS_peak_3690_lociStitched	chr10	22595371	22617010	1	21640	64629.2013	126	1	COMMD3,BMI1	SPAG6	COMMD3	COMMD3	3.4541	126	1
7_MACS_peak_14915_lociStitched	chr18	34998665	35031415	7	21621	41923.275	127	1	CELF4		CELF4	CELF4	0.225	127	1
4_MACS_peak_27765_lociStitched	chr6	27088242	27116344	4	21379	59500.3646	128	1	HIST1H2AG,HIST1H4I,HIST1H2AH,MIR3143,HIST1H2BJ,HIST1H2BK		HIST1H2AG	HIST1H2AG	2.487	128	1
3_MACS_peak_19343_lociStitched	chr2	227635282	227667052	3	21341	64467.684	129	1	IRS1	RHBDD1	IRS1	IRS1	0.8963	129	1
8_MACS_peak_16406_lociStitched	chr19	42431690	42464189	8	21076	60964.8741	130	1	RABAC1	ARHGEF1,ATP1A3	RABAC1	RABAC1	0.7455	130	1
4_MACS_peak_6220_lociStitched	chr11	93253551	93277491	4	21047	41224.68	131	1	C11orf75		C11orf75	C11orf75	0.6098	131	1
6_MACS_peak_22121_lociStitched	chr3	46317590	46341863	6	21036	28399.41	132	1		CCR3	CCR3	CCR3	0.0599	132	1
2_MACS_peak_35168_lociStitched	chrX	81333360	81359550	2	20918	27358.074	133	1			HMGN5	HMGN5	NONE	133	1
3_MACS_peak_5814_lociStitched	chr11	65254110	65278935	3	20709	51807.2925	134	1	MALAT1	MIR612,SCYL1,LTBP3	MALAT1	MALAT1	2.6177	134	1
2_MACS_peak_9323_lociStitched	chr14	23018151	23040230	2	20573	56683.4167	135	1	DAD1	ABHD4	DAD1	DAD1	1.1024	135	1
2_MACS_peak_18861_lociStitched	chr2	182165054	182186081	2	20548	80394.6318	136	1			ITGA4	ITGA4	0.4407	136	1
5_MACS_peak_19794_lociStitched	chr20	25261452	25293004	5	20548	50663.0464	137	1	PYGB,ABHD12		PYGB	PYGB	0.7605	137	1
3_MACS_peak_10070_lociStitched	chr14	94421496	94447142	3	20541	41233.6388	138	1	ASB2	FAM181A,C14orf48,OTUB2,C14orf86	ASB2	C14orf48	0.5975	138	1
7_MACS_peak_2111_lociStitched	chr1	157455878	157496280	7	20420	47484.4706	139	1	FCRL5		FCRL5	FCRL5	0.8561	139	1
3_MACS_peak_16403_lociStitched	chr19	42363029	42389599	3	20363	64644.81	140	1	RPS19,CD79A,ARHGEF1	DMRTC2,LYPD4	CD79A	CD79A	1.334	140	1
7_MACS_peak_29761_lociStitched	chr7	32766500	32798525	7	20342	27522.285	141	1	LOC441208,MIR550A2,LOC401321	DPY19L1P1	MIR550A2	MIR550A2	1.5157	141	1
2_MACS_peak_21063_lociStitched	chr22	23265911	23286220	2	20154	87675.9839	142	1		IGLL5	IGLL5	IGLL5	5.5443	142	1
6_MACS_peak_13549_lociStitched	chr17	32688752	32719097	6	20105	27155.7405	143	1	CCL1	CCL8,CCL13	CCL1	CCL1	0.2434	143	1
3_MACS_peak_15816_lociStitched	chr19	13260004	13284701	3	20036	104974.5985	144	1	IER2,STX10	NACC1,LYL1,TRMT1	IER2	IER2	3.4933	144	1
6_MACS_peak_20054_lociStitched	chr20	37498038	37523844	6	20035	72889.047	145	1	PPP1R16B	FAM83D	FAM83D	FAM83D	0.1839	145	1
3_MACS_peak_16609_lociStitched	chr19	48876813	48902135	3	19983	66956.4324	146	1	SYNGR4,GRIN2D,KDELR1	EMP3,GRWD1,TMEM143	KDELR1	KDELR1	3.1967	146	1
6_MACS_peak_13843_lociStitched	chr17	43504778	43531949	6	19851	54211.5792	147	1	SH3D20,PLEKHM1	ARHGAP27,MIR4315-1	SH3D20	SH3D20	1.7865	147	1
2_MACS_peak_28460_lociStitched	chr6	79773936	79794871	2	19825	66512.5885	148	1	PHIP		PHIP	PHIP	0.5097	148	1
5_MACS_peak_8372_lociStitched	chr12	125382708	125413699	5	19764	63878.6492	149	1	UBC	SCARB1	UBC	UBC	3.0711	149	1
2_MACS_peak_6573_lociStitched	chr11	120364419	120385248	2	19757	102374.535	150	1			GRIK4	GRIK4	0.193	150	1
5_MACS_peak_5855_lociStitched	chr11	65902145	65936958	5	19731	43140.2696	151	1	PACS1		PACS1	PACS1	0.4611	151	1
6_MACS_peak_11546_lociStitched	chr15	101660621	101692323	6	19726	61143.6474	152	1			CHSY1	CHSY1	0.988	152	1
6_MACS_peak_16661_lociStitched	chr19	49945554	49978433	6	19683	51495.0898	153	1	ALDH16A1,FLT3LG,PIH1D1	LOC645971,RPL13AP5,SNORD32A,SNORD33,SNORD34,SNORD35A,RPS11,SNORD35B,FCGRT,PTH2,SLC17A7,MIR150	ALDH16A1	ALDH16A1	1.7248	153	1
2_MACS_peak_2704_lociStitched	chr1	200976905	200996905	2	19543	74288	154	1	KIF21B		KIF21B	KIF21B	1.2366	154	1
1_MACS_peak_25680_lociStitched	chr5	26750146	26769589	1	19444	24214.3122	155	1			CDH9	CDH9	0.4443	155	1
3_MACS_peak_22798_lociStitched	chr3	112002667	112025827	3	19248	67270.536	156	1	SLC9A10	CD200	SLC9A10	SLC9A10	0.3579	156	1
5_MACS_peak_35028_lociStitched	chrX	64905295	64927044	5	19182	26794.768	157	1	MSN		MSN	MSN	0.5671	157	1
4_MACS_peak_5776_lociStitched	chr11	64611732	64635228	4	19076	59529.4656	158	1	CDC42BPG,EHD1	MAP4K2,MEN1,MIR192,MIR194-2,ATG2A	CDC42BPG	MEN1	0.3728	158	1
2_MACS_peak_21679_lociStitched	chr3	5222741	5242392	2	19053	45926.3521	159	1	EDEM1		EDEM1	EDEM1	1.0684	159	1
6_MACS_peak_27915_lociStitched	chr6	31773395	31806616	6	19050	38403.476	160	1	HSPA1A,HSPA1B,C6orf48,SNORD48,SNORD52,LSM2,HSPA1L	C6orf26,C6orf27,VARS,NEU1,SLC44A4	HSPA1B	VARS	1.5205	160	1
6_MACS_peak_34894_lociStitched	chrX	48790623	48816964	6	19029	34419.7847	161	1	OTUD5	PQBP1,TIMM17B,SLC35A2,PIM2,KCND1,GRIPAP1	OTUD5	PIM2	1.7787	161	1
6_MACS_peak_34079_lociStitched	chr9	123630121	123667134	6	19018	51644.2389	162	1	PHF19,TRAF1	LOC253039,PSMD5	PHF19	PHF19	0.9667	162	1
5_MACS_peak_22112_lociStitched	chr3	46129539	46153831	5	18988	39073.682	163	1			XCR1	XCR1	NONE	163	1
2_MACS_peak_6570_lociStitched	chr11	120195212	120218978	2	18980	67752.1128	164	1	TMEM136,ARHGEF12		ARHGEF12	ARHGEF12	0.5042	164	1
3_MACS_peak_10313_lociStitched	chr15	21975928	22002064	3	18977	32894.7696	165	1		LOC646214,CXADRP2	CXADRP2	LOC646214	0.2715	165	1
5_MACS_peak_27874_lociStitched	chr6	30683392	30712962	5	18943	46389.416	166	1	TUBB,MDC1,FLOT1,IER3	DHX16,KIAA1949,NRM	TUBB	NRM	2.4181	166	1
1_MACS_peak_24292_lociStitched	chr4	40191734	40210642	1	18909	48837.4732	167	1	RHOH		RHOH	RHOH	0.8911	167	1
3_MACS_peak_6476_lociStitched	chr11	115078653	115102373	3	18833	90762.208	168	1	CADM1		CADM1	CADM1	0.5115	168	1
