REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	H929_jia.bam
5_MACS_peak_5855_lociStitched	chr11	65902145	65936958	5	19731	43140.2696
5_MACS_peak_10259_lociStitched	chr14	106023104	106057873	5	31561	86199.3048
3_MACS_peak_1860_lociStitched	chr1	149801037	149835801	3	31407	181436.7924
4_MACS_peak_2062_lociStitched	chr1	156066059	156100802	4	22220	58739.9901
6_MACS_peak_2492_lociStitched	chr1	182568033	182602700	6	23806	52693.840000000004
7_MACS_peak_3136_lociStitched	chr1	228659384	228693958	7	16474	54364.1576
6_MACS_peak_30965_lociStitched	chr7	137659798	137694362	6	25400	61465.1612
6_MACS_peak_13745_lociStitched	chr17	40705928	40740290	6	15539	36337.815
6_MACS_peak_4152_lociStitched	chr10	74003801	74037852	6	22269	71398.1368
8_MACS_peak_30584_lociStitched	chr7	101920960	101954800	8	26282	84951.936
6_MACS_peak_22707_lociStitched	chr3	101393699	101427079	6	18194	32128.25
6_MACS_peak_27915_lociStitched	chr6	31773395	31806616	6	19050	38403.475999999995
3_MACS_peak_34829_lociStitched	chrX	45608859	45641991	3	27485	44764.6452
6_MACS_peak_14442_lociStitched	chr17	76108278	76141392	6	22144	60933.0714
4_MACS_peak_2866_lociStitched	chr1	209275728	209308767	4	22337	64753.136099999996
6_MACS_peak_16661_lociStitched	chr19	49945554	49978433	6	19683	51495.0898
5_MACS_peak_10265_lociStitched	chr14	106143450	106176313	5	29726	66278.0984
7_MACS_peak_14915_lociStitched	chr18	34998665	35031415	7	21621	41923.275
8_MACS_peak_15788_lociStitched	chr19	12885698	12918444	8	18671	61002.5234
5_MACS_peak_22803_lociStitched	chr3	112155054	112187762	5	26897	65317.876000000004
5_MACS_peak_2211_lociStitched	chr1	161409357	161442030	5	22386	41265.998999999996
4_MACS_peak_21810_lociStitched	chr3	15828346	15861008	4	28457	54672.9218
8_MACS_peak_16406_lociStitched	chr19	42431690	42464189	8	21076	60964.87409999999
6_MACS_peak_13008_lociStitched	chr17	2140071	2172158	6	17879	49407.562600000005
7_MACS_peak_29761_lociStitched	chr7	32766500	32798525	7	20342	27522.285000000003
2_MACS_peak_32070_lociStitched	chr8	71498585	71530574	2	26603	124635.54179999999
3_MACS_peak_29722_lociStitched	chr7	29694572	29726535	3	30336	67796.71930000001
3_MACS_peak_17379_lociStitched	chr2	38808301	38840229	3	26300	75937.5552
6_MACS_peak_23845_lociStitched	chr3	197863333	197895129	6	16573	23316.0068
3_MACS_peak_19343_lociStitched	chr2	227635282	227667052	3	21341	64467.683999999994
6_MACS_peak_11546_lociStitched	chr15	101660621	101692323	6	19726	61143.6474
5_MACS_peak_19794_lociStitched	chr20	25261452	25293004	5	20548	50663.0464
5_MACS_peak_22902_lociStitched	chr3	121526461	121557997	5	15893	33361.934400000006
5_MACS_peak_34494_lociStitched	chr9	141090494	141121955	5	18165	27647.9268
6_MACS_peak_23106_lociStitched	chr3	133180365	133211752	6	18460	68954.10029999999
2_MACS_peak_25693_lociStitched	chr5	27446155	27477269	2	29058	110532.485
2_MACS_peak_14953_lociStitched	chr18	42283361	42314470	2	30705	91787.1045
7_MACS_peak_20735_lociStitched	chr21	36577795	36608850	7	18184	27949.5
6_MACS_peak_15407_lociStitched	chr19	2031843	2062880	6	15011	43262.474299999994
5_MACS_peak_8372_lociStitched	chr12	125382708	125413699	5	19764	63878.6492
5_MACS_peak_25558_lociStitched	chr5	6708218	6739056	5	24193	52202.5664
5_MACS_peak_2385_lociStitched	chr1	174165627	174196455	5	18624	36876.4536
4_MACS_peak_1989_lociStitched	chr1	154370039	154400837	4	27375	167482.6038
5_MACS_peak_5267_lociStitched	chr11	17161834	17192630	5	24170	53545.0052
3_MACS_peak_21942_lociStitched	chr3	31473437	31504054	3	21882	27451.2022
6_MACS_peak_26638_lociStitched	chr5	131744212	131774794	6	24592	96119.226
3_MACS_peak_2054_lociStitched	chr1	155929545	155960053	3	25628	166613.3404
6_MACS_peak_13549_lociStitched	chr17	32688752	32719097	6	20105	27155.7405
3_MACS_peak_30430_lociStitched	chr7	92436890	92466931	3	18293	46677.7058
2_MACS_peak_25729_lociStitched	chr5	32568504	32598537	2	29299	75914.4141
6_MACS_peak_12573_lociStitched	chr16	67998507	68028402	6	16790	29377.8165
5_MACS_peak_4482_lociStitched	chr10	99159348	99189033	5	11221	14521.902
7_MACS_peak_18747_lociStitched	chr2	173443423	173473095	7	21656	37184.9504
5_MACS_peak_27874_lociStitched	chr6	30683392	30712962	5	18943	46389.416
2_MACS_peak_21060_lociStitched	chr22	23219750	23249185	2	27996	110604.956
2_MACS_peak_28694_lociStitched	chr6	106530977	106560378	2	29135	137088.0427
5_MACS_peak_12581_lociStitched	chr16	68270682	68300035	5	12532	23993.142200000002
6_MACS_peak_10979_lociStitched	chr15	67366182	67395385	6	14221	16578.5431
6_MACS_peak_10606_lociStitched	chr15	40834078	40863005	6	15111	20208.4022
5_MACS_peak_19907_lociStitched	chr20	32423888	32452651	5	27117	58561.468
4_MACS_peak_14398_lociStitched	chr17	74474563	74503258	4	18144	58351.2825
1_MACS_peak_18864_lociStitched	chr2	182235837	182264523	1	28687	35570.64
5_MACS_peak_2129_lociStitched	chr1	157798740	157827270	5	12751	14732.892
6_MACS_peak_10362_lociStitched	chr15	23603456	23631966	6	16421	46585.34
5_MACS_peak_23915_lociStitched	chr4	2786931	2815094	5	22482	57196.2367
7_MACS_peak_27063_lociStitched	chr5	156333603	156361722	7	15756	27475.0749
4_MACS_peak_27765_lociStitched	chr6	27088242	27116344	4	21379	59500.36460000001
6_MACS_peak_5752_lociStitched	chr11	63992473	64020494	6	16261	38666.177899999995
5_MACS_peak_8789_lociStitched	chr13	49134130	49162084	5	13531	23484.1554
2_MACS_peak_20312_lociStitched	chr20	52188014	52215876	2	27483	92635.5776
5_MACS_peak_31671_lociStitched	chr8	33400561	33428406	5	24248	73594.33499999999
2_MACS_peak_987_lociStitched	chr1	51423645	51451459	2	23103	94378.4648
5_MACS_peak_5894_lociStitched	chr11	66862129	66889924	5	14419	41028.1995
4_MACS_peak_5849_lociStitched	chr11	65811966	65839746	4	16359	43411.806
5_MACS_peak_27969_lociStitched	chr6	33537838	33565546	5	11068	23590.591200000003
6_MACS_peak_31349_lociStitched	chr8	11271222	11298658	6	11251	23981.8076
5_MACS_peak_22301_lociStitched	chr3	52718440	52745771	5	18740	44052.1058
5_MACS_peak_7848_lociStitched	chr12	92578092	92605412	5	12254	29970.04
6_MACS_peak_12448_lociStitched	chr16	57823826	57851095	6	13975	29074.2078
3_MACS_peak_16397_lociStitched	chr19	42035589	42062857	3	24737	85613.33959999999
6_MACS_peak_13843_lociStitched	chr17	43504778	43531949	6	19851	54211.5792
2_MACS_peak_9939_lociStitched	chr14	81930542	81957700	2	24629	63910.9214
4_MACS_peak_24033_lociStitched	chr4	10093088	10120228	4	18109	52838.866
2_MACS_peak_10368_lociStitched	chr15	23657951	23685038	2	22772	86486.0823
2_MACS_peak_23894_lociStitched	chr4	1901158	1928142	2	24979	28959.228799999997
3_MACS_peak_34574_lociStitched	chrX	10064966	10091932	3	16781	37226.563
2_MACS_peak_23504_lociStitched	chr3	171800213	171827163	2	26660	74489.79999999999
4_MACS_peak_26257_lociStitched	chr5	88100545	88127380	4	22982	40595.988
6_MACS_peak_34154_lociStitched	chr9	126959468	126986257	6	13845	26004.082300000002
3_MACS_peak_11362_lociStitched	chr15	89158368	89185049	3	16558	35144.2132
3_MACS_peak_16403_lociStitched	chr19	42363029	42389599	3	20363	64644.81
6_MACS_peak_34894_lociStitched	chrX	48790623	48816964	6	19029	34419.7847
3_MACS_peak_13144_lociStitched	chr17	7736622	7762869	3	17662	47360.0868
5_MACS_peak_10088_lociStitched	chr14	95965655	95991866	5	17091	33094.0086
2_MACS_peak_35168_lociStitched	chrX	81333360	81359550	2	20918	27358.074
5_MACS_peak_14774_lociStitched	chr18	14924550	14950725	5	15896	20133.81
3_MACS_peak_10313_lociStitched	chr15	21975928	22002064	3	18977	32894.7696
4_MACS_peak_10484_lociStitched	chr15	31635208	31661230	4	22552	62416.3692
5_MACS_peak_18118_lociStitched	chr2	106404220	106430230	5	14203	37891.368
5_MACS_peak_23623_lociStitched	chr3	183220774	183246743	5	13001	25026.3253
5_MACS_peak_17384_lociStitched	chr2	38870718	38896551	5	18340	44784.0888
4_MACS_peak_13983_lociStitched	chr17	48223371	48249184	4	15261	49367.3625
6_MACS_peak_20054_lociStitched	chr20	37498038	37523844	6	20035	72889.047
4_MACS_peak_15429_lociStitched	chr19	2454762	2480523	4	12551	46547.5509
5_MACS_peak_17392_lociStitched	chr2	38927809	38953565	5	11857	21220.3684
5_MACS_peak_21534_lociStitched	chr22	45622006	45647749	5	17432	40089.573899999996
3_MACS_peak_10305_lociStitched	chr15	20969690	20995406	3	18440	31216.6524
6_MACS_peak_13107_lociStitched	chr17	6914645	6940338	6	10836	23388.3379
5_MACS_peak_5007_lociStitched	chr11	554014	579698	5	10564	18389.744
5_MACS_peak_11696_lociStitched	chr16	3199177	3224851	5	10092	15704.7858
8_MACS_peak_20867_lociStitched	chr21	45552272	45577944	8	15966	27918.3
3_MACS_peak_10070_lociStitched	chr14	94421496	94447142	3	20541	41233.6388
4_MACS_peak_6540_lociStitched	chr11	118954903	118980525	4	15033	55194.912399999994
4_MACS_peak_18776_lociStitched	chr2	175442756	175468323	4	16918	40516.0249
4_MACS_peak_5912_lociStitched	chr11	67187482	67212956	4	11364	30887.225
4_MACS_peak_11004_lociStitched	chr15	68478516	68503955	4	22003	77876.41070000001
3_MACS_peak_14080_lociStitched	chr17	56405617	56430964	3	18017	92100.85919999999
3_MACS_peak_16609_lociStitched	chr19	48876813	48902135	3	19983	66956.4324
4_MACS_peak_6961_lociStitched	chr12	9872107	9897378	4	23175	51413.8495
4_MACS_peak_4694_lociStitched	chr10	112201541	112226806	4	14420	41816.1015
2_MACS_peak_24665_lociStitched	chr4	90205066	90230214	2	25101	100466.26000000001
5_MACS_peak_19834_lociStitched	chr20	30272260	30297295	5	9781	14202.355500000001
3_MACS_peak_5814_lociStitched	chr11	65254110	65278935	3	20709	51807.292499999996
3_MACS_peak_27376_lociStitched	chr6	388004	412809	3	18028	58874.667499999996
4_MACS_peak_27242_lociStitched	chr5	173483980	173508784	4	16808	38533.014
4_MACS_peak_16846_lociStitched	chr19	56145639	56170418	4	13456	19647.2691
5_MACS_peak_3500_lociStitched	chr10	7510926	7535653	5	17961	34622.7454
3_MACS_peak_15816_lociStitched	chr19	13260004	13284701	3	20036	104974.5985
4_MACS_peak_8294_lociStitched	chr12	122227049	122251740	4	18207	67878.0281
2_MACS_peak_20569_lociStitched	chr21	19151675	19176353	2	23138	104264.54999999999
6_MACS_peak_12030_lociStitched	chr16	22195001	22219614	6	15119	27630.5538
1_MACS_peak_2091_lociStitched	chr1	156624248	156648750	1	24503	201325.58339999997
5_MACS_peak_23367_lociStitched	chr3	156381000	156405461	5	17170	26072.979900000002
5_MACS_peak_21414_lociStitched	chr22	39823152	39847600	5	15753	38398.0288
9_MACS_peak_28211_lociStitched	chr6	45506022	45530435	9	22025	27689.2246
4_MACS_peak_17511_lociStitched	chr2	47713004	47737410	4	14950	26168.1132
1_MACS_peak_26261_lociStitched	chr5	88162855	88187150	1	24296	77090.4645
5_MACS_peak_22112_lociStitched	chr3	46129539	46153831	5	18988	39073.682
2_MACS_peak_8645_lociStitched	chr13	35730664	35754947	2	22187	43243.1664
6_MACS_peak_22121_lociStitched	chr3	46317590	46341863	6	21036	28399.41
4_MACS_peak_12548_lociStitched	chr16	67259883	67283999	4	14705	35858.080400000006
5_MACS_peak_33326_lociStitched	chr9	35825923	35849959	5	11234	18267.36
3_MACS_peak_16321_lociStitched	chr19	39880515	39904540	3	18802	66472.37
4_MACS_peak_17572_lociStitched	chr2	54784422	54808368	4	14814	30286.9008
4_MACS_peak_6220_lociStitched	chr11	93253551	93277491	4	21047	41224.68
5_MACS_peak_16353_lociStitched	chr19	40916840	40940630	5	10665	24173.019
3_MACS_peak_13265_lociStitched	chr17	16872254	16896035	3	21700	95923.0416
5_MACS_peak_7539_lociStitched	chr12	57071245	57095015	5	13649	48875.874
2_MACS_peak_6570_lociStitched	chr11	120195212	120218978	2	18980	67752.1128
3_MACS_peak_6476_lociStitched	chr11	115078653	115102373	3	18833	90762.208
4_MACS_peak_1973_lociStitched	chr1	153928228	153951884	4	15592	73357.256
4_MACS_peak_3029_lociStitched	chr1	223899545	223923154	4	13488	35045.1996
3_MACS_peak_10588_lociStitched	chr15	40385733	40409301	3	22518	82268.8176
4_MACS_peak_5776_lociStitched	chr11	64611732	64635228	4	19076	59529.465599999996
4_MACS_peak_27713_lociStitched	chr6	26183983	26207457	4	14503	39269.6546
3_MACS_peak_30597_lociStitched	chr7	102063868	102087243	3	16205	66733.2875
4_MACS_peak_1016_lociStitched	chr1	52561516	52584834	4	12026	14119.049
4_MACS_peak_12197_lociStitched	chr16	30344764	30368073	4	13099	31814.4541
6_MACS_peak_7173_lociStitched	chr12	33037344	33060642	6	13673	16611.474
4_MACS_peak_5021_lociStitched	chr11	788976	812222	4	12739	30324.407
3_MACS_peak_23364_lociStitched	chr3	156263952	156287168	3	12623	17398.0704
5_MACS_peak_1521_lociStitched	chr1	110176362	110199570	5	9013	12581.0568
3_MACS_peak_22798_lociStitched	chr3	112002667	112025827	3	19248	67270.536
4_MACS_peak_8873_lociStitched	chr13	53424015	53447112	4	11978	29166.8916
5_MACS_peak_32947_lociStitched	chr8	145732057	145755146	5	12157	25455.6225
5_MACS_peak_18195_lociStitched	chr2	112219215	112242290	5	17776	28421.4775
1_MACS_peak_18990_lociStitched	chr2	197021758	197044811	1	23054	74714.773
5_MACS_peak_2032_lociStitched	chr1	155210097	155233089	5	11367	31717.464
4_MACS_peak_1961_lociStitched	chr1	153747480	153770455	4	12869	47932.7425
5_MACS_peak_11850_lociStitched	chr16	11761616	11784548	5	15418	14389.829999999998
2_MACS_peak_1883_lociStitched	chr1	150531292	150554189	2	22844	189088.00540000002
3_MACS_peak_2176_lociStitched	chr1	160633864	160656721	3	18063	36194.059499999996
7_MACS_peak_25460_lociStitched	chr4	190991213	191014057	7	21694	43047.2336
4_MACS_peak_31374_lociStitched	chr8	11717569	11740331	4	12384	27680.8682
1_MACS_peak_17153_lociStitched	chr2	20403114	20425865	1	22752	166926.3621
2_MACS_peak_6703_lociStitched	chr11	128584776	128607466	2	22459	92380.06599999999
3_MACS_peak_1885_lociStitched	chr1	150580797	150603482	3	15501	59033.175500000005
4_MACS_peak_14619_lociStitched	chr18	791131	813808	4	10896	19894.5321
4_MACS_peak_12172_lociStitched	chr16	29815039	29837710	4	16784	47683.9143
6_MACS_peak_13585_lociStitched	chr17	34409157	34431729	6	12364	26467.927200000002
3_MACS_peak_6403_lociStitched	chr11	111229413	111251951	3	22043	99827.56339999998
3_MACS_peak_31554_lociStitched	chr8	26148180	26170682	3	11656	27510.9452
4_MACS_peak_21631_lociStitched	chr22	50962220	50984713	4	15217	48827.80439999999
3_MACS_peak_13293_lociStitched	chr17	17722338	17744801	3	15240	32171.508599999997
2_MACS_peak_12879_lociStitched	chr16	87883451	87905893	2	21943	60301.653999999995
3_MACS_peak_4161_lociStitched	chr10	74075271	74097689	3	17962	59253.0158
3_MACS_peak_33973_lociStitched	chr9	112902821	112925228	3	21903	62533.4556
5_MACS_peak_12292_lociStitched	chr16	46645373	46667776	5	10422	20270.2344
3_MACS_peak_2072_lociStitched	chr1	156209060	156231437	3	12845	38401.1697
3_MACS_peak_34168_lociStitched	chr9	127615015	127637384	3	12413	42261.7517
4_MACS_peak_5736_lociStitched	chr11	63618232	63640576	4	6762	6560.1984
4_MACS_peak_25710_lociStitched	chr5	32153587	32175873	4	16434	41556.7042
3_MACS_peak_5822_lociStitched	chr11	65335760	65357917	3	17481	83897.4805
2_MACS_peak_9323_lociStitched	chr14	23018151	23040230	2	20573	56683.4167
4_MACS_peak_31596_lociStitched	chr8	27929718	27951783	4	14014	45297.23850000001
2_MACS_peak_2551_lociStitched	chr1	184703830	184725893	2	21716	129004.56730000001
4_MACS_peak_11887_lociStitched	chr16	14486442	14508493	4	13484	31199.9599
5_MACS_peak_14382_lociStitched	chr17	74168719	74190676	5	13993	19734.9516
4_MACS_peak_23055_lociStitched	chr3	129026692	129048580	4	14334	25762.176
4_MACS_peak_26249_lociStitched	chr5	87954832	87976718	4	12033	22288.7024
4_MACS_peak_917_lociStitched	chr1	45264717	45286598	4	11347	19423.7637
3_MACS_peak_32149_lociStitched	chr8	80996341	81018137	3	11962	31828.6988
5_MACS_peak_35028_lociStitched	chrX	64905295	64927044	5	19182	26794.768
3_MACS_peak_20142_lociStitched	chr20	43586908	43608642	3	13064	40746.9032
4_MACS_peak_13951_lociStitched	chr17	47433854	47455523	4	11861	22592.0994
3_MACS_peak_25372_lociStitched	chr4	185328378	185350020	3	15070	35001.6066
1_MACS_peak_3690_lociStitched	chr10	22595371	22617010	1	21640	64629.2013
4_MACS_peak_29316_lociStitched	chr6	160389236	160410827	4	16285	22739.6412
4_MACS_peak_2793_lociStitched	chr1	205242649	205264237	4	9228	27632.64
4_MACS_peak_3716_lociStitched	chr10	24735154	24756561	4	18303	35963.76
5_MACS_peak_27229_lociStitched	chr5	173205015	173226394	5	14118	30366.731600000003
4_MACS_peak_7683_lociStitched	chr12	69195273	69216459	4	17773	37092.4488
4_MACS_peak_29015_lociStitched	chr6	135322552	135343663	4	10713	16443.3579
5_MACS_peak_5176_lociStitched	chr11	10323879	10344968	5	13073	21202.8806
5_MACS_peak_3794_lociStitched	chr10	29916011	29937071	5	10042	11010.168000000001
3_MACS_peak_11785_lociStitched	chr16	9037733	9058784	3	9782	19110.0978
4_MACS_peak_20332_lociStitched	chr20	52545735	52566781	4	11352	16184.374
5_MACS_peak_5839_lociStitched	chr11	65676092	65697131	5	9258	21529.208700000003
2_MACS_peak_18861_lociStitched	chr2	182165054	182186081	2	20548	80394.6318
2_MACS_peak_3526_lociStitched	chr10	11203886	11224830	2	16183	63841.5008
2_MACS_peak_28460_lociStitched	chr6	79773936	79794871	2	19825	66512.5885
3_MACS_peak_35672_lociStitched	chrX	153232131	153253061	3	13707	53053.364
5_MACS_peak_14589_lociStitched	chr17	80654835	80675757	5	11469	21202.3548
2_MACS_peak_19072_lociStitched	chr2	202040755	202061639	2	15562	41928.8068
5_MACS_peak_20892_lociStitched	chr21	46512549	46533384	5	11830	23676.894
2_MACS_peak_6573_lociStitched	chr11	120364419	120385248	2	19757	102374.535
2_MACS_peak_2052_lociStitched	chr1	155899779	155920480	2	18259	65988.5777
4_MACS_peak_8962_lociStitched	chr13	74630947	74651627	4	10361	14504.952000000001
4_MACS_peak_11118_lociStitched	chr15	75063110	75083753	4	15808	49124.1471
5_MACS_peak_15419_lociStitched	chr19	2253865	2274444	5	11568	37182.1372
4_MACS_peak_6485_lociStitched	chr11	115629877	115650409	4	12638	20353.3716
3_MACS_peak_3474_lociStitched	chr10	5929705	5950179	3	16828	46635.6772
4_MACS_peak_27282_lociStitched	chr5	176776736	176797166	4	10341	21175.695
4_MACS_peak_13315_lociStitched	chr17	18216680	18237067	4	9000	12558.392
5_MACS_peak_9894_lociStitched	chr14	77487130	77507508	5	12025	16575.4652
4_MACS_peak_32061_lociStitched	chr8	71053166	71073529	4	8585	14665.432599999998
4_MACS_peak_10017_lociStitched	chr14	91782037	91802384	4	16062	29271.1942
3_MACS_peak_1555_lociStitched	chr1	111170742	111191081	3	13312	59436.6597
2_MACS_peak_21063_lociStitched	chr22	23265911	23286220	2	20154	87675.98389999999
3_MACS_peak_20180_lociStitched	chr20	45171951	45192246	3	18439	39209.94
4_MACS_peak_491_lociStitched	chr1	25869408	25889701	4	15246	39729.6354
4_MACS_peak_12874_lociStitched	chr16	87795063	87815338	4	13609	35742.7975
5_MACS_peak_12413_lociStitched	chr16	56885566	56905804	5	12882	34694.0034
5_MACS_peak_32954_lociStitched	chr8	146010652	146030890	5	8957	12401.8464
4_MACS_peak_27869_lociStitched	chr6	30639901	30660127	4	14039	44559.9006
5_MACS_peak_14457_lociStitched	chr17	76337092	76357311	5	11894	23239.7186
5_MACS_peak_24899_lociStitched	chr4	122058288	122078450	5	8570	11653.635999999999
2_MACS_peak_4698_lociStitched	chr10	112252651	112272801	2	14185	39115.18
4_MACS_peak_10477_lociStitched	chr15	31518178	31538240	4	10678	26112.699200000003
3_MACS_peak_1396_lociStitched	chr1	93408722	93428770	3	18130	30657.401599999997
3_MACS_peak_11335_lociStitched	chr15	86231598	86251644	3	12598	26755.3962
2_MACS_peak_2704_lociStitched	chr1	200976905	200996905	2	19543	74288.0
4_MACS_peak_4734_lociStitched	chr10	115707055	115727039	4	9794	14528.368
4_MACS_peak_6805_lociStitched	chr12	1097713	1117661	4	15031	38172.4928
3_MACS_peak_444_lociStitched	chr1	24511870	24531650	3	14320	39229.674
2_MACS_peak_3251_lociStitched	chr1	234729412	234749134	2	16537	58349.5092
4_MACS_peak_5818_lociStitched	chr11	65306846	65326550	4	8114	14959.2768
2_MACS_peak_21679_lociStitched	chr3	5222741	5242392	2	19053	45926.3521
3_MACS_peak_12191_lociStitched	chr16	30193186	30212734	3	12238	45853.7436
3_MACS_peak_27710_lociStitched	chr6	26155173	26174669	3	11712	28781.944799999997
3_MACS_peak_4283_lociStitched	chr10	81946801	81966261	3	8397	13536.376
2_MACS_peak_7311_lociStitched	chr12	48195680	48215131	2	18628	86162.0947
1_MACS_peak_25680_lociStitched	chr5	26750146	26769589	1	19444	24214.3122
4_MACS_peak_27011_lociStitched	chr5	151119667	151139084	4	8680	13022.981899999999
3_MACS_peak_27965_lociStitched	chr6	33377167	33396547	3	11024	21951.726000000002
5_MACS_peak_722_lociStitched	chr1	36848691	36868070	5	10878	27558.8759
4_MACS_peak_30283_lociStitched	chr7	76008237	76027607	4	9180	19356.441
