#H929_H3K27ac_peaks Enhancers
#Created from /data/projects/IRF4_mm_trn_data/myeloma_public_data/rose/H929_H3K27ac_ROSE/H929_H3K27ac_peaks_6KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by H929_jia.bam
#Using cutoff of 17919.36 for Super-Enhancers
#Created on Jul 16 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	H929_jia.bam	enhancerRank	isSuper
3_MACS_peak_15816_lociStitched	chr19	13260004	13284701	3	20036	104974.5985	49	1
2_MACS_peak_20569_lociStitched	chr21	19151675	19176353	2	23138	104264.55	50	1
2_MACS_peak_6573_lociStitched	chr11	120364419	120385248	2	19757	102374.535	51	1
3_MACS_peak_2957_lociStitched	chr1	215712931	215750246	3	34762	102004.284	52	1
1_MACS_peak_2017_lociStitched	chr1	154969641	154980094	1	10454	101842.5337	53	1
2_MACS_peak_24665_lociStitched	chr4	90205066	90230214	2	25101	100466.26	54	1
3_MACS_peak_6403_lociStitched	chr11	111229413	111251951	3	22043	99827.5634	55	1
5_MACS_peak_32698_lociStitched	chr8	126285522	126328488	5	33979	98374.9536	56	1
5_MACS_peak_34021_lociStitched	chr9	117124692	117161523	5	33339	97966.7769	57	1
1_MACS_peak_2093_lociStitched	chr1	156708900	156723451	1	14552	97183.2188	58	1
6_MACS_peak_21355_lociStitched	chr22	38634809	38673649	6	31161	96497.98	59	1
6_MACS_peak_26638_lociStitched	chr5	131744212	131774794	6	24592	96119.226	60	1
3_MACS_peak_13265_lociStitched	chr17	16872254	16896035	3	21700	95923.0416	61	1
1_MACS_peak_2066_lociStitched	chr1	156114184	156130530	1	16347	95861.117	62	1
2_MACS_peak_987_lociStitched	chr1	51423645	51451459	2	23103	94378.4648	63	1
6_MACS_peak_25681_lociStitched	chr5	26859132	26906694	6	35115	93630.5532	64	1
2_MACS_peak_20312_lociStitched	chr20	52188014	52215876	2	27483	92635.5776	65	1
2_MACS_peak_6703_lociStitched	chr11	128584776	128607466	2	22459	92380.066	66	1
3_MACS_peak_14080_lociStitched	chr17	56405617	56430964	3	18017	92100.8592	67	1
2_MACS_peak_14953_lociStitched	chr18	42283361	42314470	2	30705	91787.1045	68	1
3_MACS_peak_6476_lociStitched	chr11	115078653	115102373	3	18833	90762.208	69	1
7_MACS_peak_26511_lociStitched	chr5	118642399	118693729	7	33341	89042.151	70	1
2_MACS_peak_21063_lociStitched	chr22	23265911	23286220	2	20154	87675.9839	71	1
6_MACS_peak_2004_lociStitched	chr1	154820564	154864610	6	28283	87136.2018	72	1
2_MACS_peak_10368_lociStitched	chr15	23657951	23685038	2	22772	86486.0823	73	1
5_MACS_peak_10259_lociStitched	chr14	106023104	106057873	5	31561	86199.3048	74	1
2_MACS_peak_7311_lociStitched	chr12	48195680	48215131	2	18628	86162.0947	75	1
3_MACS_peak_16397_lociStitched	chr19	42035589	42062857	3	24737	85613.3396	76	1
3_MACS_peak_8694_lociStitched	chr13	41537963	41594703	3	53499	85234.828	77	1
8_MACS_peak_30584_lociStitched	chr7	101920960	101954800	8	26282	84951.936	78	1
5_MACS_peak_32619_lociStitched	chr8	120906918	120950402	5	35561	84676.3932	79	1
3_MACS_peak_5822_lociStitched	chr11	65335760	65357917	3	17481	83897.4805	80	1
2_MACS_peak_30350_lociStitched	chr7	83926607	83969447	2	42782	82882.548	81	1
10_MACS_peak_2825_lociStitched	chr1	206849029	206916787	10	45891	82285.3152	82	1
3_MACS_peak_10588_lociStitched	chr15	40385733	40409301	3	22518	82268.8176	83	1
1_MACS_peak_7544_lociStitched	chr12	57105148	57120281	1	15134	82184.2964	84	1
1_MACS_peak_20135_lociStitched	chr20	43269222	43282603	1	13382	80841.3115	85	1
2_MACS_peak_18861_lociStitched	chr2	182165054	182186081	2	20548	80394.6318	86	1
4_MACS_peak_27237_lociStitched	chr5	173309853	173356880	4	42493	79701.3596	87	1
1_MACS_peak_19070_lociStitched	chr2	201979249	201994849	1	15601	79020.24	88	1
5_MACS_peak_17961_lociStitched	chr2	87753892	87800895	5	32470	78429.2058	89	1
4_MACS_peak_11004_lociStitched	chr15	68478516	68503955	4	22003	77876.4107	90	1
1_MACS_peak_26261_lociStitched	chr5	88162855	88187150	1	24296	77090.4645	91	1
2_MACS_peak_20494_lociStitched	chr20	62357407	62372457	2	14836	76931.085	92	1
2_MACS_peak_1986_lociStitched	chr1	154296395	154308364	2	9607	76042.6477	93	1
3_MACS_peak_17379_lociStitched	chr2	38808301	38840229	3	26300	75937.5552	94	1
2_MACS_peak_25729_lociStitched	chr5	32568504	32598537	2	29299	75914.4141	95	1
7_MACS_peak_27729_lociStitched	chr6	26330627	26371037	7	29075	74863.566	96	1
1_MACS_peak_18990_lociStitched	chr2	197021758	197044811	1	23054	74714.773	97	1
2_MACS_peak_23504_lociStitched	chr3	171800213	171827163	2	26660	74489.8	98	1
2_MACS_peak_2704_lociStitched	chr1	200976905	200996905	2	19543	74288	99	1
5_MACS_peak_31671_lociStitched	chr8	33400561	33428406	5	24248	73594.335	100	1
4_MACS_peak_1973_lociStitched	chr1	153928228	153951884	4	15592	73357.256	101	1
1_MACS_peak_13835_lociStitched	chr17	43296399	43309147	1	12749	73038.3912	102	1
6_MACS_peak_20054_lociStitched	chr20	37498038	37523844	6	20035	72889.047	103	1
9_MACS_peak_11462_lociStitched	chr15	93341832	93389285	9	24155	71858.0779	104	1
1_MACS_peak_6614_lociStitched	chr11	122925752	122942607	1	16856	71638.8065	105	1
3_MACS_peak_15413_lociStitched	chr19	2081586	2097874	3	15022	71444.0544	106	1
6_MACS_peak_4152_lociStitched	chr10	74003801	74037852	6	22269	71398.1368	107	1
5_MACS_peak_6917_lociStitched	chr12	7045703	7081219	5	25429	70620.0144	108	1
1_MACS_peak_2316_lociStitched	chr1	167595854	167603740	1	7887	69380.2394	109	1
6_MACS_peak_23106_lociStitched	chr3	133180365	133211752	6	18460	68954.1003	110	1
4_MACS_peak_8294_lociStitched	chr12	122227049	122251740	4	18207	67878.0281	111	1
3_MACS_peak_29722_lociStitched	chr7	29694572	29726535	3	30336	67796.7193	112	1
2_MACS_peak_6570_lociStitched	chr11	120195212	120218978	2	18980	67752.1128	113	1
9_MACS_peak_24166_lociStitched	chr4	24162029	24209389	9	29627	67568.512	114	1
1_MACS_peak_33444_lociStitched	chr9	66454555	66460565	1	6011	67446.624	115	1
3_MACS_peak_22798_lociStitched	chr3	112002667	112025827	3	19248	67270.536	116	1
3_MACS_peak_16609_lociStitched	chr19	48876813	48902135	3	19983	66956.4324	117	1
1_MACS_peak_4265_lociStitched	chr10	81000776	81011208	1	10433	66884.768	118	1
3_MACS_peak_30597_lociStitched	chr7	102063868	102087243	3	16205	66733.2875	119	1
2_MACS_peak_28460_lociStitched	chr6	79773936	79794871	2	19825	66512.5885	120	1
3_MACS_peak_16321_lociStitched	chr19	39880515	39904540	3	18802	66472.37	121	1
1_MACS_peak_12903_lociStitched	chr16	89032202	89046263	1	14062	66422.7579	122	1
5_MACS_peak_10265_lociStitched	chr14	106143450	106176313	5	29726	66278.0984	123	1
2_MACS_peak_22568_lociStitched	chr3	79561600	79601183	2	39545	66087.7768	124	1
2_MACS_peak_2052_lociStitched	chr1	155899779	155920480	2	18259	65988.5777	125	1
5_MACS_peak_22803_lociStitched	chr3	112155054	112187762	5	26897	65317.876	126	1
6_MACS_peak_787_lociStitched	chr1	40029678	40072921	6	26039	64782.3383	127	1
4_MACS_peak_2866_lociStitched	chr1	209275728	209308767	4	22337	64753.1361	128	1
3_MACS_peak_16403_lociStitched	chr19	42363029	42389599	3	20363	64644.81	129	1
1_MACS_peak_3690_lociStitched	chr10	22595371	22617010	1	21640	64629.2013	130	1
3_MACS_peak_19343_lociStitched	chr2	227635282	227667052	3	21341	64467.684	131	1
11_MACS_peak_34125_lociStitched	chr9	126074046	126117184	11	26504	64077.1852	132	1
2_MACS_peak_9939_lociStitched	chr14	81930542	81957700	2	24629	63910.9214	133	1
5_MACS_peak_8372_lociStitched	chr12	125382708	125413699	5	19764	63878.6492	134	1
2_MACS_peak_3526_lociStitched	chr10	11203886	11224830	2	16183	63841.5008	135	1
3_MACS_peak_33973_lociStitched	chr9	112902821	112925228	3	21903	62533.4556	136	1
1_MACS_peak_7823_lociStitched	chr12	89737514	89749223	1	11710	62476.8822	137	1
4_MACS_peak_10484_lociStitched	chr15	31635208	31661230	4	22552	62416.3692	138	1
1_MACS_peak_21108_lociStitched	chr22	24819312	24833582	1	14271	61572.196	139	1
6_MACS_peak_30965_lociStitched	chr7	137659798	137694362	6	25400	61465.1612	140	1
2_MACS_peak_31784_lociStitched	chr8	42738786	42757604	2	18574	61164.1454	141	1
6_MACS_peak_11546_lociStitched	chr15	101660621	101692323	6	19726	61143.6474	142	1
8_MACS_peak_15788_lociStitched	chr19	12885698	12918444	8	18671	61002.5234	143	1
8_MACS_peak_16406_lociStitched	chr19	42431690	42464189	8	21076	60964.8741	144	1
6_MACS_peak_14442_lociStitched	chr17	76108278	76141392	6	22144	60933.0714	145	1
5_MACS_peak_15694_lociStitched	chr19	10511720	10547505	5	24355	60591.162	146	1
2_MACS_peak_6666_lociStitched	chr11	126172954	126189685	2	14495	60449.103	147	1
2_MACS_peak_12879_lociStitched	chr16	87883451	87905893	2	21943	60301.654	148	1
6_MACS_peak_4657_lociStitched	chr10	111640287	111683989	6	25765	60243.207	149	1
4_MACS_peak_5776_lociStitched	chr11	64611732	64635228	4	19076	59529.4656	150	1
4_MACS_peak_27765_lociStitched	chr6	27088242	27116344	4	21379	59500.3646	151	1
3_MACS_peak_1555_lociStitched	chr1	111170742	111191081	3	13312	59436.6597	152	1
3_MACS_peak_4161_lociStitched	chr10	74075271	74097689	3	17962	59253.0158	153	1
3_MACS_peak_1885_lociStitched	chr1	150580797	150603482	3	15501	59033.1755	154	1
3_MACS_peak_27376_lociStitched	chr6	388004	412809	3	18028	58874.6675	155	1
4_MACS_peak_2062_lociStitched	chr1	156066059	156100802	4	22220	58739.9901	156	1
1_MACS_peak_25728_lociStitched	chr5	32529864	32544536	1	14673	58707.0736	157	1
5_MACS_peak_19907_lociStitched	chr20	32423888	32452651	5	27117	58561.468	158	1
4_MACS_peak_14398_lociStitched	chr17	74474563	74503258	4	18144	58351.2825	159	1
2_MACS_peak_3251_lociStitched	chr1	234729412	234749134	2	16537	58349.5092	160	1
5_MACS_peak_23915_lociStitched	chr4	2786931	2815094	5	22482	57196.2367	161	1
3_MACS_peak_33270_lociStitched	chr9	33444437	33462874	3	14885	56822.834	162	1
2_MACS_peak_9323_lociStitched	chr14	23018151	23040230	2	20573	56683.4167	163	1
8_MACS_peak_29832_lociStitched	chr7	38370492	38410286	8	27921	56547.274	164	1
2_MACS_peak_3682_lociStitched	chr10	22257572	22295169	2	31688	56478.2134	165	1
2_MACS_peak_34296_lociStitched	chr9	132244341	132261098	2	13015	56300.1686	166	1
12_MACS_peak_26617_lociStitched	chr5	131400399	131453714	12	30393	55751.4955	167	1
2_MACS_peak_11884_lociStitched	chr16	14394763	14408710	2	11940	55398.8787	168	1
1_MACS_peak_13756_lociStitched	chr17	40824961	40834781	1	9821	55245.356	169	1
4_MACS_peak_6540_lociStitched	chr11	118954903	118980525	4	15033	55194.9124	170	1
1_MACS_peak_29630_lociStitched	chr7	23502361	23518688	1	16328	55062.8075	171	1
2_MACS_peak_27194_lociStitched	chr5	171599905	171616308	2	15095	55035.3456	172	1
3_MACS_peak_2069_lociStitched	chr1	156181841	156198984	3	9477	54974.1724	173	1
2_MACS_peak_31493_lociStitched	chr8	22296702	22315412	2	13255	54825.913	174	1
1_MACS_peak_1864_lociStitched	chr1	149855039	149861719	1	6681	54725.9	175	1
2_MACS_peak_20687_lociStitched	chr21	34599509	34617303	2	16398	54693.4178	176	1
4_MACS_peak_21810_lociStitched	chr3	15828346	15861008	4	28457	54672.9218	177	1
1_MACS_peak_535_lociStitched	chr1	27018306	27033704	1	15399	54487.3628	178	1
2_MACS_peak_2286_lociStitched	chr1	165720960	165740266	2	13318	54452.573	179	1
7_MACS_peak_3136_lociStitched	chr1	228659384	228693958	7	16474	54364.1576	180	1
6_MACS_peak_13843_lociStitched	chr17	43504778	43531949	6	19851	54211.5792	181	1
2_MACS_peak_11867_lociStitched	chr16	12055510	12072507	2	14166	54206.8324	182	1
1_MACS_peak_26379_lociStitched	chr5	100223360	100241612	1	18253	53567.7948	183	1
5_MACS_peak_5267_lociStitched	chr11	17161834	17192630	5	24170	53545.0052	184	1
1_MACS_peak_14391_lociStitched	chr17	74257428	74269412	1	11985	53516.9488	185	1
1_MACS_peak_32460_lociStitched	chr8	103817563	103828978	1	11416	53478.1335	186	1
3_MACS_peak_35672_lociStitched	chrX	153232131	153253061	3	13707	53053.364	187	1
4_MACS_peak_24033_lociStitched	chr4	10093088	10120228	4	18109	52838.866	188	1
6_MACS_peak_2492_lociStitched	chr1	182568033	182602700	6	23806	52693.84	189	1
1_MACS_peak_28700_lociStitched	chr6	106609830	106619320	1	9491	52656.214	190	1
1_MACS_peak_27949_lociStitched	chr6	32934343	32944528	1	10186	52655.4315	191	1
5_MACS_peak_25558_lociStitched	chr5	6708218	6739056	5	24193	52202.5664	192	1
3_MACS_peak_20195_lociStitched	chr20	45976853	45990285	3	12712	52199.4384	193	1
1_MACS_peak_25494_lociStitched	chr5	1310909	1320417	1	9509	51911.7784	194	1
3_MACS_peak_5814_lociStitched	chr11	65254110	65278935	3	20709	51807.2925	195	1
2_MACS_peak_21092_lociStitched	chr22	24176492	24192289	2	14549	51780.9863	196	1
6_MACS_peak_34079_lociStitched	chr9	123630121	123667134	6	19018	51644.2389	197	1
6_MACS_peak_16661_lociStitched	chr19	49945554	49978433	6	19683	51495.0898	198	1
4_MACS_peak_6961_lociStitched	chr12	9872107	9897378	4	23175	51413.8495	199	1
1_MACS_peak_16558_lociStitched	chr19	47215270	47223592	1	8323	51129.5358	200	1
6_MACS_peak_27789_lociStitched	chr6	27773254	27808644	6	24087	51064.231	201	1
2_MACS_peak_19521_lociStitched	chr2	241498215	241510712	2	12057	50892.7828	202	1
2_MACS_peak_20386_lociStitched	chr20	56047343	56058462	2	10652	50888.3273	203	1
2_MACS_peak_6749_lociStitched	chr11	132214548	132232622	2	14247	50795.1696	204	1
5_MACS_peak_19794_lociStitched	chr20	25261452	25293004	5	20548	50663.0464	205	1
2_MACS_peak_15040_lociStitched	chr18	47832786	47849222	2	14310	50611.3748	206	1
1_MACS_peak_9255_lociStitched	chr13	114827878	114836242	1	8365	50332.8792	207	1
1_MACS_peak_2143_lociStitched	chr1	158977966	158987395	1	9430	50287.6857	208	1
4_MACS_peak_1530_lociStitched	chr1	110331260	110350602	4	15605	50153.806	209	1
1_MACS_peak_17936_lociStitched	chr2	86220182	86229246	1	9065	49815.744	210	1
2_MACS_peak_11554_lociStitched	chr15	101735300	101751191	2	11631	49800.8049	211	1
8_MACS_peak_10580_lociStitched	chr15	40328095	40362984	8	18410	49800.5586	212	1
6_MACS_peak_13008_lociStitched	chr17	2140071	2172158	6	17879	49407.5626	213	1
1_MACS_peak_15389_lociStitched	chr19	1646622	1653976	1	7355	49377.6976	214	1
4_MACS_peak_13983_lociStitched	chr17	48223371	48249184	4	15261	49367.3625	215	1
2_MACS_peak_20314_lociStitched	chr20	52224973	52241571	2	11307	49301.0394	216	1
2_MACS_peak_799_lociStitched	chr1	40239261	40257023	2	12998	49246.9212	217	1
3_MACS_peak_13072_lociStitched	chr17	4836965	4855625	3	13834	49217.616	218	1
4_MACS_peak_11118_lociStitched	chr15	75063110	75083753	4	15808	49124.1471	219	1
5_MACS_peak_7539_lociStitched	chr12	57071245	57095015	5	13649	48875.874	220	1
1_MACS_peak_24292_lociStitched	chr4	40191734	40210642	1	18909	48837.4732	221	1
4_MACS_peak_21631_lociStitched	chr22	50962220	50984713	4	15217	48827.8044	222	1
6_MACS_peak_28036_lociStitched	chr6	36081143	36116280	6	15691	48035.7927	223	1
4_MACS_peak_1961_lociStitched	chr1	153747480	153770455	4	12869	47932.7425	224	1
1_MACS_peak_20381_lociStitched	chr20	55963937	55975750	1	11814	47871.0012	225	1
4_MACS_peak_12172_lociStitched	chr16	29815039	29837710	4	16784	47683.9143	226	1
2_MACS_peak_20462_lociStitched	chr20	61272674	61291033	2	16122	47610.3947	227	1
1_MACS_peak_7396_lociStitched	chr12	51711781	51724503	1	12723	47595.5464	228	1
7_MACS_peak_2111_lociStitched	chr1	157455878	157496280	7	20420	47484.4706	229	1
2_MACS_peak_8333_lociStitched	chr12	123409247	123423417	2	13936	47425.573	230	1
3_MACS_peak_13144_lociStitched	chr17	7736622	7762869	3	17662	47360.0868	231	1
3_MACS_peak_30430_lociStitched	chr7	92436890	92466931	3	18293	46677.7058	232	1
3_MACS_peak_3474_lociStitched	chr10	5929705	5950179	3	16828	46635.6772	233	1
2_MACS_peak_6021_lociStitched	chr11	72850484	72869475	2	13029	46598.2167	234	1
6_MACS_peak_10362_lociStitched	chr15	23603456	23631966	6	16421	46585.34	235	1
3_MACS_peak_14245_lociStitched	chr17	66448705	66459744	3	10798	46559.1903	236	1
4_MACS_peak_15429_lociStitched	chr19	2454762	2480523	4	12551	46547.5509	237	1
1_MACS_peak_17444_lociStitched	chr2	43444405	43456937	1	12533	46451.1112	238	1
5_MACS_peak_27874_lociStitched	chr6	30683392	30712962	5	18943	46389.416	239	1
3_MACS_peak_22406_lociStitched	chr3	61545604	61563159	3	15754	46325.8895	240	1
1_MACS_peak_8046_lociStitched	chr12	109020354	109031867	1	11514	46002.4941	241	1
2_MACS_peak_21679_lociStitched	chr3	5222741	5242392	2	19053	45926.3521	242	1
3_MACS_peak_12191_lociStitched	chr16	30193186	30212734	3	12238	45853.7436	243	1
1_MACS_peak_4583_lociStitched	chr10	104401072	104411633	1	10562	45831.5717	244	1
2_MACS_peak_415_lociStitched	chr1	23849062	23866764	2	13290	45711.8746	245	1
1_MACS_peak_16017_lociStitched	chr19	19049227	19062774	1	13548	45615.4584	246	1
2_MACS_peak_12520_lociStitched	chr16	66549120	66561479	2	11647	45410.6737	247	1
2_MACS_peak_32512_lociStitched	chr8	107668561	107683286	2	14335	45385.395	248	1
1_MACS_peak_13678_lociStitched	chr17	38015854	38025212	1	9359	45320.794	249	1
2_MACS_peak_16641_lociStitched	chr19	49457349	49472288	2	10053	45299.5297	250	1
4_MACS_peak_31596_lociStitched	chr8	27929718	27951783	4	14014	45297.2385	251	1
1_MACS_peak_20034_lociStitched	chr20	36906753	36917912	1	11160	44832.3984	252	1
5_MACS_peak_17384_lociStitched	chr2	38870718	38896551	5	18340	44784.0888	253	1
3_MACS_peak_34829_lociStitched	chrX	45608859	45641991	3	27485	44764.6452	254	1
4_MACS_peak_27869_lociStitched	chr6	30639901	30660127	4	14039	44559.9006	255	1
1_MACS_peak_20317_lociStitched	chr20	52267562	52278985	1	11424	44532.5655	256	1
1_MACS_peak_6993_lociStitched	chr12	12865963	12880702	1	14740	44441.0328	257	1
1_MACS_peak_26763_lociStitched	chr5	138720237	138730669	1	10433	44341.216	258	1
3_MACS_peak_1892_lociStitched	chr1	150846491	150863914	3	14126	44317.1428	259	1
1_MACS_peak_32603_lociStitched	chr8	119572819	119582196	1	9378	44242.5614	260	1
5_MACS_peak_22301_lociStitched	chr3	52718440	52745771	5	18740	44052.1058	261	1
2_MACS_peak_13697_lociStitched	chr17	38466936	38484604	2	17614	43558.6872	262	1
4_MACS_peak_5849_lociStitched	chr11	65811966	65839746	4	16359	43411.806	263	1
1_MACS_peak_13498_lociStitched	chr17	29634456	29649500	1	15045	43319.198	264	1
6_MACS_peak_15407_lociStitched	chr19	2031843	2062880	6	15011	43262.4743	265	1
2_MACS_peak_8645_lociStitched	chr13	35730664	35754947	2	22187	43243.1664	266	1
3_MACS_peak_34227_lociStitched	chr9	130531969	130551314	3	12994	43201.254	267	1
5_MACS_peak_5855_lociStitched	chr11	65902145	65936958	5	19731	43140.2696	268	1
7_MACS_peak_25460_lociStitched	chr4	190991213	191014057	7	21694	43047.2336	269	1
2_MACS_peak_10813_lociStitched	chr15	55567938	55583472	2	15397	42699.8592	270	1
1_MACS_peak_28060_lociStitched	chr6	36718343	36727318	1	8976	42334.1775	271	1
1_MACS_peak_11142_lociStitched	chr15	75334006	75341410	1	7405	42301.2732	272	1
1_MACS_peak_2820_lociStitched	chr1	206729585	206739669	1	10085	42267.086	273	1
3_MACS_peak_34168_lociStitched	chr9	127615015	127637384	3	12413	42261.7517	274	1
2_MACS_peak_25715_lociStitched	chr5	32205235	32219731	2	11858	42077.5392	275	1
2_MACS_peak_19072_lociStitched	chr2	202040755	202061639	2	15562	41928.8068	276	1
7_MACS_peak_14915_lociStitched	chr18	34998665	35031415	7	21621	41923.275	277	1
1_MACS_peak_34309_lociStitched	chr9	132646065	132655819	1	9755	41817.3488	278	1
4_MACS_peak_4694_lociStitched	chr10	112201541	112226806	4	14420	41816.1015	279	1
3_MACS_peak_16604_lociStitched	chr19	48822905	48838328	3	14520	41762.3994	280	1
1_MACS_peak_16343_lociStitched	chr19	40645274	40655381	1	10108	41700.4713	281	1
4_MACS_peak_25710_lociStitched	chr5	32153587	32175873	4	16434	41556.7042	282	1
4_MACS_peak_28696_lociStitched	chr6	106576971	106595943	4	11429	41431.0536	283	1
1_MACS_peak_6475_lociStitched	chr11	115057591	115066709	1	9119	41349.2182	284	1
5_MACS_peak_2211_lociStitched	chr1	161409357	161442030	5	22386	41265.999	285	1
3_MACS_peak_10070_lociStitched	chr14	94421496	94447142	3	20541	41233.6388	286	1
4_MACS_peak_6220_lociStitched	chr11	93253551	93277491	4	21047	41224.68	287	1
2_MACS_peak_19244_lociStitched	chr2	219080861	219096867	2	13203	41167.432	288	1
3_MACS_peak_8428_lociStitched	chr12	131576296	131590216	3	10114	41150.304	289	1
5_MACS_peak_5894_lociStitched	chr11	66862129	66889924	5	14419	41028.1995	290	1
1_MACS_peak_10943_lociStitched	chr15	65182584	65190267	1	7684	41001.0978	291	1
1_MACS_peak_19685_lociStitched	chr20	9486447	9500537	1	14091	40949.767	292	1
3_MACS_peak_7557_lociStitched	chr12	57621753	57638273	3	11025	40787.88	293	1
4_MACS_peak_9256_lociStitched	chr13	114863781	114877933	4	12594	40750.684	294	1
3_MACS_peak_20142_lociStitched	chr20	43586908	43608642	3	13064	40746.9032	295	1
2_MACS_peak_20291_lociStitched	chr20	50015832	50033864	2	12556	40665.7664	296	1
4_MACS_peak_26257_lociStitched	chr5	88100545	88127380	4	22982	40595.988	297	1
4_MACS_peak_18776_lociStitched	chr2	175442756	175468323	4	16918	40516.0249	298	1
3_MACS_peak_19408_lociStitched	chr2	232569587	232583011	3	10893	40501.5504	299	1
2_MACS_peak_27910_lociStitched	chr6	31696457	31709330	2	10821	40117.4172	300	1
5_MACS_peak_21534_lociStitched	chr22	45622006	45647749	5	17432	40089.5739	301	1
1_MACS_peak_1878_lociStitched	chr1	150335249	150340362	1	5114	39909.0102	302	1
1_MACS_peak_16562_lociStitched	chr19	47285221	47292626	1	7406	39778.179	303	1
