GENE_ID	locusLine	bin_1_44_0EXW_0229Kronos_MM1S-KB-24hr-2_Input_hs_i90.bam
3_MACS_peak_121_lociStitched	chr1(.):10249044-10261945	0.1554
1_MACS_peak_124_lociStitched	chr1(.):10269481-10271723	0.2239
1_MACS_peak_125_lociStitched	chr1(.):10311278-10315100	0.2115
1_MACS_peak_126_lociStitched	chr1(.):10458789-10460123	0.232
1_MACS_peak_127_lociStitched	chr1(.):10489845-10491771	0.2248
1_MACS_peak_128_lociStitched	chr1(.):10504394-10505749	0.1469
1_MACS_peak_129_lociStitched	chr1(.):10516217-10518090	0.2546
2_MACS_peak_130_lociStitched	chr1(.):10531685-10536056	0.2056
1_MACS_peak_132_lociStitched	chr1(.):10554526-10555981	0.2674
1_MACS_peak_133_lociStitched	chr1(.):10753606-10754438	0.0982
1_MACS_peak_134_lociStitched	chr1(.):10999496-11001060	0.2236
1_MACS_peak_135_lociStitched	chr1(.):11071318-11073754	0.2707
2_MACS_peak_136_lociStitched	chr1(.):11119172-11121462	0.1838
1_MACS_peak_138_lociStitched	chr1(.):11158941-11160594	0.2049
1_MACS_peak_139_lociStitched	chr1(.):11286987-11287924	0.2182
1_MACS_peak_140_lociStitched	chr1(.):11322004-11323454	0.1809
1_MACS_peak_141_lociStitched	chr1(.):11332842-11334365	0.1885
1_MACS_peak_142_lociStitched	chr1(.):11538589-11539764	0.1582
1_MACS_peak_143_lociStitched	chr1(.):11622813-11632174	0.164
1_MACS_peak_144_lociStitched	chr1(.):11714007-11715214	0.1199
1_MACS_peak_145_lociStitched	chr1(.):11724133-11725319	0.1456
1_MACS_peak_146_lociStitched	chr1(.):11740476-11741925	0.2714
2_MACS_peak_147_lociStitched	chr1(.):11790172-11797947	0.1463
1_MACS_peak_149_lociStitched	chr1(.):11843052-11845951	0.2067
2_MACS_peak_150_lociStitched	chr1(.):11863127-11867497	0.2451
1_MACS_peak_152_lociStitched	chr1(.):11967572-11970624	0.3438
1_MACS_peak_153_lociStitched	chr1(.):11984537-11987468	0.1618
1_MACS_peak_154_lociStitched	chr1(.):11993816-11995465	0.1556
1_MACS_peak_155_lociStitched	chr1(.):12039757-12041264	0.2021
1_MACS_peak_156_lociStitched	chr1(.):12078733-12080325	0.2758
2_MACS_peak_157_lociStitched	chr1(.):12106625-12113353	0.1737
1_MACS_peak_159_lociStitched	chr1(.):12138838-12140091	0.1852
2_MACS_peak_160_lociStitched	chr1(.):12220925-12227697	0.1603
1_MACS_peak_162_lociStitched	chr1(.):12289756-12291592	0.1678
1_MACS_peak_163_lociStitched	chr1(.):12404063-12405975	0.1801
1_MACS_peak_164_lociStitched	chr1(.):12494537-12496940	0.2308
1_MACS_peak_165_lociStitched	chr1(.):12508682-12510499	0.2016
1_MACS_peak_166_lociStitched	chr1(.):12677803-12679246	0.1543
1_MACS_peak_167_lociStitched	chr1(.):13824960-13825952	0.1623
1_MACS_peak_168_lociStitched	chr1(.):14025864-14027519	0.1315
1_MACS_peak_169_lociStitched	chr1(.):14056617-14058178	0.2911
1_MACS_peak_170_lociStitched	chr1(.):14074921-14076895	0.2019
1_MACS_peak_171_lociStitched	chr1(.):14155163-14156470	0.1985
1_MACS_peak_172_lociStitched	chr1(.):14237394-14239624	0.0883
2_MACS_peak_173_lociStitched	chr1(.):14246690-14254403	0.1315
1_MACS_peak_175_lociStitched	chr1(.):14292230-14295802	0.1716
5_MACS_peak_176_lociStitched	chr1(.):14329417-14345205	0.143
1_MACS_peak_181_lociStitched	chr1(.):14361256-14367842	0.1957
2_MACS_peak_182_lociStitched	chr1(.):14437238-14441228	0.1712
1_MACS_peak_184_lociStitched	chr1(.):14463426-14464215	0.0917
2_MACS_peak_185_lociStitched	chr1(.):14500836-14509437	0.1596
1_MACS_peak_187_lociStitched	chr1(.):14687119-14688496	0.1321
1_MACS_peak_188_lociStitched	chr1(.):14695615-14697216	0.1381
1_MACS_peak_189_lociStitched	chr1(.):15161186-15164427	0.2221
1_MACS_peak_190_lociStitched	chr1(.):15207966-15209098	0.2063
1_MACS_peak_191_lociStitched	chr1(.):15416397-15417786	0.2021
1_MACS_peak_192_lociStitched	chr1(.):15482247-15483913	0.1506
2_MACS_peak_193_lociStitched	chr1(.):15501904-15506410	0.1642
1_MACS_peak_195_lociStitched	chr1(.):15587328-15588637	0.2352
1_MACS_peak_196_lociStitched	chr1(.):15735571-15737566	0.1416
1_MACS_peak_197_lociStitched	chr1(.):15850977-15854327	0.2448
3_MACS_peak_198_lociStitched	chr1(.):15897146-15912213	0.186
1_MACS_peak_201_lociStitched	chr1(.):15942453-15945866	0.2318
1_MACS_peak_202_lociStitched	chr1(.):16009749-16012131	0.116
1_MACS_peak_203_lociStitched	chr1(.):16022765-16024929	0.269
1_MACS_peak_204_lociStitched	chr1(.):16149692-16151015	0.0805
1_MACS_peak_205_lociStitched	chr1(.):16160084-16163566	0.2557
2_MACS_peak_206_lociStitched	chr1(.):16173063-16178876	0.2014
1_MACS_peak_208_lociStitched	chr1(.):16212203-16213348	0.1873
1_MACS_peak_209_lociStitched	chr1(.):16301793-16303318	0.2789
1_MACS_peak_210_lociStitched	chr1(.):16532783-16534209	0.1648
1_MACS_peak_211_lociStitched	chr1(.):16543378-16544756	0.2271
1_MACS_peak_212_lociStitched	chr1(.):16562525-16564345	0.3181
1_MACS_peak_213_lociStitched	chr1(.):16677506-16679846	0.2372
1_MACS_peak_214_lociStitched	chr1(.):16692694-16695420	0.2885
1_MACS_peak_215_lociStitched	chr1(.):16766643-16771403	0.2586
2_MACS_peak_216_lociStitched	chr1(.):16824799-16833113	0.1275
1_MACS_peak_219_lociStitched	chr1(.):16938861-16941005	0.7474
1_MACS_peak_220_lociStitched	chr1(.):16969616-16972609	0.7753
1_MACS_peak_221_lociStitched	chr1(.):16985109-16985883	0.2405
1_MACS_peak_222_lociStitched	chr1(.):16991931-16994753	0.6701
1_MACS_peak_223_lociStitched	chr1(.):17065686-17068410	0.7631
1_MACS_peak_224_lociStitched	chr1(.):17074590-17075357	0.3884
2_MACS_peak_225_lociStitched	chr1(.):17221196-17233669	0.3726
1_MACS_peak_227_lociStitched	chr1(.):17239822-17241639	0.2098
1_MACS_peak_228_lociStitched	chr1(.):17286559-17288415	0.2361
1_MACS_peak_229_lociStitched	chr1(.):17337648-17338642	0.121
1_MACS_peak_230_lociStitched	chr1(.):17379565-17381347	0.2522
1_MACS_peak_231_lociStitched	chr1(.):17763447-17766627	0.1083
1_MACS_peak_232_lociStitched	chr1(.):19228350-19230006	0.2249
2_MACS_peak_233_lociStitched	chr1(.):19252104-19257131	0.2207
2_MACS_peak_235_lociStitched	chr1(.):19276390-19284051	0.1705
1_MACS_peak_237_lociStitched	chr1(.):19535619-19537970	0.2368
1_MACS_peak_238_lociStitched	chr1(.):19577463-19579221	0.2671
1_MACS_peak_239_lociStitched	chr1(.):19637634-19639787	0.2371
1_MACS_peak_240_lociStitched	chr1(.):19810936-19813460	0.2094
1_MACS_peak_241_lociStitched	chr1(.):19922319-19924529	0.3014
1_MACS_peak_242_lociStitched	chr1(.):20084783-20086583	0.2174
1_MACS_peak_243_lociStitched	chr1(.):20125232-20127678	0.1703
1_MACS_peak_244_lociStitched	chr1(.):20141739-20143183	0.1811
1_MACS_peak_245_lociStitched	chr1(.):20208387-20209869	0.2483
2_MACS_peak_246_lociStitched	chr1(.):20404251-20408378	0.1557
1_MACS_peak_248_lociStitched	chr1(.):20415795-20417118	0.1067
1_MACS_peak_249_lociStitched	chr1(.):20445377-20447121	0.1089
1_MACS_peak_250_lociStitched	chr1(.):20833990-20835229	0.2787
1_MACS_peak_251_lociStitched	chr1(.):20959670-20960859	0.2484
2_MACS_peak_252_lociStitched	chr1(.):20984559-20989058	0.2038
1_MACS_peak_254_lociStitched	chr1(.):21022833-21023746	0.1722
1_MACS_peak_255_lociStitched	chr1(.):21059081-21060468	0.18
1_MACS_peak_256_lociStitched	chr1(.):21112108-21114898	0.2137
1_MACS_peak_257_lociStitched	chr1(.):21290547-21292905	0.2322
1_MACS_peak_258_lociStitched	chr1(.):21348155-21349796	0.2257
2_MACS_peak_259_lociStitched	chr1(.):21501723-21504044	0.1894
1_MACS_peak_261_lociStitched	chr1(.):21615310-21622313	0.2723
1_MACS_peak_262_lociStitched	chr1(.):21659910-21662017	0.2964
1_MACS_peak_263_lociStitched	chr1(.):21671084-21672820	0.1705
1_MACS_peak_264_lociStitched	chr1(.):21765911-21767276	0.2304
1_MACS_peak_265_lociStitched	chr1(.):22107595-22110750	0.282
1_MACS_peak_266_lociStitched	chr1(.):22117272-22119411	0.2917
1_MACS_peak_267_lociStitched	chr1(.):22191251-22194935	0.1748
1_MACS_peak_268_lociStitched	chr1(.):22263869-22264665	0.1031
2_MACS_peak_269_lociStitched	chr1(.):22344824-22353492	0.1864
1_MACS_peak_271_lociStitched	chr1(.):22365496-22367502	0.2263
1_MACS_peak_272_lociStitched	chr1(.):22378318-22380483	0.1704
1_MACS_peak_273_lociStitched	chr1(.):22489299-22490651	0.2189
1_MACS_peak_274_lociStitched	chr1(.):22777600-22779675	0.2001
1_MACS_peak_275_lociStitched	chr1(.):22820472-22821973	0.2545
1_MACS_peak_276_lociStitched	chr1(.):23345367-23347041	0.1728
1_MACS_peak_277_lociStitched	chr1(.):23668242-23672085	0.2668
1_MACS_peak_278_lociStitched	chr1(.):23693884-23696697	0.2562
1_MACS_peak_279_lociStitched	chr1(.):23823455-23824428	0.2738
1_MACS_peak_280_lociStitched	chr1(.):23849793-23858797	0.2415
1_MACS_peak_281_lociStitched	chr1(.):23865596-23866864	0.2601
2_MACS_peak_282_lociStitched	chr1(.):23879586-23890063	0.1866
1_MACS_peak_284_lociStitched	chr1(.):23902964-23905091	0.2285
2_MACS_peak_285_lociStitched	chr1(.):23917217-23929851	0.1306
4_MACS_peak_287_lociStitched	chr1(.):23936721-23963118	0.1604
1_MACS_peak_291_lociStitched	chr1(.):24017768-24019605	0.3214
1_MACS_peak_292_lociStitched	chr1(.):24068997-24071696	0.2432
1_MACS_peak_293_lociStitched	chr1(.):24104141-24105659	0.208
1_MACS_peak_294_lociStitched	chr1(.):24116979-24118724	0.2236
1_MACS_peak_295_lociStitched	chr1(.):24125906-24128146	0.1668
1_MACS_peak_296_lociStitched	chr1(.):24150990-24153124	0.2094
1_MACS_peak_297_lociStitched	chr1(.):24181007-24182866	0.2903
1_MACS_peak_298_lociStitched	chr1(.):24191227-24195246	0.2402
1_MACS_peak_299_lociStitched	chr1(.):24236858-24237893	0.1729
1_MACS_peak_300_lociStitched	chr1(.):24245973-24247664	0.2098
3_MACS_peak_301_lociStitched	chr1(.):24281037-24291960	0.1796
1_MACS_peak_304_lociStitched	chr1(.):24305369-24307689	0.2706
1_MACS_peak_305_lociStitched	chr1(.):24357672-24358011	0.1013
1_MACS_peak_306_lociStitched	chr1(.):24468530-24470007	0.2155
1_MACS_peak_307_lociStitched	chr1(.):24476286-24479599	0.2043
2_MACS_peak_308_lociStitched	chr1(.):24511736-24534778	0.204
1_MACS_peak_310_lociStitched	chr1(.):24644488-24652352	0.2354
1_MACS_peak_311_lociStitched	chr1(.):24676793-24679368	0.1352
1_MACS_peak_312_lociStitched	chr1(.):24709919-24720946	0.2316
2_MACS_peak_313_lociStitched	chr1(.):24739353-24743750	0.2702
1_MACS_peak_315_lociStitched	chr1(.):24807182-24808872	0.1861
1_MACS_peak_316_lociStitched	chr1(.):24827073-24830549	0.2015
1_MACS_peak_317_lociStitched	chr1(.):24861254-24862422	0.2174
2_MACS_peak_318_lociStitched	chr1(.):24882243-24885298	0.1373
1_MACS_peak_320_lociStitched	chr1(.):24967766-24971128	0.2233
1_MACS_peak_321_lociStitched	chr1(.):25020246-25021561	0.173
2_MACS_peak_322_lociStitched	chr1(.):25048564-25054884	0.1465
2_MACS_peak_324_lociStitched	chr1(.):25069709-25076639	0.2111
1_MACS_peak_326_lociStitched	chr1(.):25174349-25175666	0.2062
1_MACS_peak_327_lociStitched	chr1(.):25254388-25257656	0.1412
1_MACS_peak_328_lociStitched	chr1(.):25290872-25292804	0.1775
3_MACS_peak_329_lociStitched	chr1(.):25347068-25364610	0.1374
3_MACS_peak_332_lociStitched	chr1(.):25558208-25575069	0.1775
1_MACS_peak_335_lociStitched	chr1(.):25592765-25595237	0.2906
1_MACS_peak_336_lociStitched	chr1(.):25663346-25665853	0.2546
1_MACS_peak_337_lociStitched	chr1(.):25756166-25758160	0.2147
1_MACS_peak_338_lociStitched	chr1(.):25798153-25800019	0.2119
2_MACS_peak_339_lociStitched	chr1(.):25869414-25878277	0.2131
1_MACS_peak_341_lociStitched	chr1(.):25886899-25890580	0.2049
2_MACS_peak_342_lociStitched	chr1(.):25942073-25947977	0.1786
1_MACS_peak_344_lociStitched	chr1(.):25958155-25959293	0.1838
1_MACS_peak_345_lociStitched	chr1(.):25967764-25970140	0.2486
1_MACS_peak_346_lociStitched	chr1(.):26001868-26003453	0.2204
2_MACS_peak_347_lociStitched	chr1(.):26125916-26127593	0.119
1_MACS_peak_349_lociStitched	chr1(.):26145608-26148143	0.2133
1_MACS_peak_350_lociStitched	chr1(.):26201325-26202530	0.1621
1_MACS_peak_351_lociStitched	chr1(.):26230823-26233227	0.2206
1_MACS_peak_352_lociStitched	chr1(.):26323101-26325642	0.2666
1_MACS_peak_353_lociStitched	chr1(.):26361736-26362886	0.2613
1_MACS_peak_354_lociStitched	chr1(.):26436730-26439527	0.2358
2_MACS_peak_355_lociStitched	chr1(.):26445832-26454075	0.1695
1_MACS_peak_357_lociStitched	chr1(.):26496046-26497331	0.2106
1_MACS_peak_358_lociStitched	chr1(.):26503456-26504596	0.1649
1_MACS_peak_359_lociStitched	chr1(.):26559712-26562156	0.2596
2_MACS_peak_360_lociStitched	chr1(.):26605326-26614556	0.155
1_MACS_peak_362_lociStitched	chr1(.):26632378-26634754	0.204
1_MACS_peak_363_lociStitched	chr1(.):26758050-26759708	0.2792
1_MACS_peak_364_lociStitched	chr1(.):26797850-26800411	0.2221
1_MACS_peak_365_lociStitched	chr1(.):26826191-26828737	0.1626
1_MACS_peak_366_lociStitched	chr1(.):26855918-26857205	0.1587
2_MACS_peak_367_lociStitched	chr1(.):26864445-26873429	0.2027
1_MACS_peak_369_lociStitched	chr1(.):26946035-26948731	0.2195
2_MACS_peak_370_lociStitched	chr1(.):27018262-27030823	0.2339
4_MACS_peak_372_lociStitched	chr1(.):27059967-27073109	0.1947
1_MACS_peak_376_lociStitched	chr1(.):27112213-27116162	0.2772
1_MACS_peak_377_lociStitched	chr1(.):27126364-27127374	0.1576
4_MACS_peak_378_lociStitched	chr1(.):27152388-27167278	0.1658
2_MACS_peak_382_lociStitched	chr1(.):27188771-27193223	0.2026
1_MACS_peak_384_lociStitched	chr1(.):27215629-27217556	0.1689
1_MACS_peak_385_lociStitched	chr1(.):27226018-27227856	0.2005
1_MACS_peak_386_lociStitched	chr1(.):27247469-27249163	0.2884
1_MACS_peak_387_lociStitched	chr1(.):27285969-27287733	0.2105
1_MACS_peak_388_lociStitched	chr1(.):27396618-27397756	0.2135
1_MACS_peak_389_lociStitched	chr1(.):27463036-27464495	0.1355
1_MACS_peak_390_lociStitched	chr1(.):27480783-27482485	0.1719
1_MACS_peak_391_lociStitched	chr1(.):27560099-27562348	0.22
1_MACS_peak_392_lociStitched	chr1(.):27648309-27649698	0.2354
2_MACS_peak_393_lociStitched	chr1(.):27667750-27676716	0.1389
1_MACS_peak_395_lociStitched	chr1(.):27683719-27684379	0.1169
1_MACS_peak_396_lociStitched	chr1(.):27692780-27693831	0.1818
1_MACS_peak_397_lociStitched	chr1(.):27744188-27745803	0.1344
1_MACS_peak_398_lociStitched	chr1(.):27761234-27766247	0.2154
2_MACS_peak_399_lociStitched	chr1(.):27815241-27819202	0.2544
1_MACS_peak_401_lociStitched	chr1(.):27883168-27884644	0.1809
1_MACS_peak_402_lociStitched	chr1(.):27929670-27930943	0.1058
1_MACS_peak_403_lociStitched	chr1(.):27985525-27986913	0.1496
1_MACS_peak_404_lociStitched	chr1(.):27997974-27999690	0.2661
1_MACS_peak_405_lociStitched	chr1(.):28051359-28053637	0.2307
1_MACS_peak_406_lociStitched	chr1(.):28098685-28100885	0.2314
1_MACS_peak_407_lociStitched	chr1(.):28156292-28158298	0.1968
2_MACS_peak_408_lociStitched	chr1(.):28195264-28199800	0.1344
1_MACS_peak_410_lociStitched	chr1(.):28240276-28241894	0.3188
1_MACS_peak_411_lociStitched	chr1(.):28285527-28287567	0.1746
2_MACS_peak_412_lociStitched	chr1(.):28352200-28364282	0.1605
2_MACS_peak_414_lociStitched	chr1(.):28389919-28397418	0.1121
1_MACS_peak_416_lociStitched	chr1(.):28413647-28416136	0.3076
1_MACS_peak_417_lociStitched	chr1(.):28473872-28475350	0.249
2_MACS_peak_418_lociStitched	chr1(.):28495023-28500273	0.1936
2_MACS_peak_420_lociStitched	chr1(.):28558691-28563888	0.1968
1_MACS_peak_422_lociStitched	chr1(.):28569968-28577047	0.2484
1_MACS_peak_423_lociStitched	chr1(.):28585127-28587280	0.2328
1_MACS_peak_424_lociStitched	chr1(.):28654684-28656590	0.2349
1_MACS_peak_425_lociStitched	chr1(.):28695406-28697404	0.2207
1_MACS_peak_426_lociStitched	chr1(.):28743827-28744757	0.1143
1_MACS_peak_427_lociStitched	chr1(.):28831411-28837659	0.2018
1_MACS_peak_428_lociStitched	chr1(.):28844341-28846174	0.2285
1_MACS_peak_429_lociStitched	chr1(.):28878289-28881181	0.2546
2_MACS_peak_430_lociStitched	chr1(.):28906007-28914496	0.2023
1_MACS_peak_432_lociStitched	chr1(.):28924091-28929495	0.2
2_MACS_peak_433_lociStitched	chr1(.):28968292-28976315	0.2319
2_MACS_peak_435_lociStitched	chr1(.):28994471-28996895	0.2569
1_MACS_peak_437_lociStitched	chr1(.):29062278-29064886	0.2369
1_MACS_peak_438_lociStitched	chr1(.):29101377-29102527	0.1664
2_MACS_peak_439_lociStitched	chr1(.):29210636-29215013	0.228
1_MACS_peak_441_lociStitched	chr1(.):29240219-29242488	0.2211
1_MACS_peak_442_lociStitched	chr1(.):29251684-29255812	0.2281
1_MACS_peak_443_lociStitched	chr1(.):29312623-29313798	0.2175
1_MACS_peak_444_lociStitched	chr1(.):29506788-29509761	0.2692
1_MACS_peak_445_lociStitched	chr1(.):29556687-29558157	0.2104
1_MACS_peak_446_lociStitched	chr1(.):30337163-30337747	0.0672
1_MACS_peak_447_lociStitched	chr1(.):30347143-30351721	0.1173
2_MACS_peak_448_lociStitched	chr1(.):30369815-30375490	0.0913
1_MACS_peak_450_lociStitched	chr1(.):30893108-30893966	0.1606
1_MACS_peak_451_lociStitched	chr1(.):31191450-31193096	0.1866
2_MACS_peak_452_lociStitched	chr1(.):31213470-31236577	0.2327
3_MACS_peak_454_lociStitched	chr1(.):31246316-31255928	0.1495
1_MACS_peak_457_lociStitched	chr1(.):31536464-31539444	0.2448
1_MACS_peak_458_lociStitched	chr1(.):31628133-31628716	0.0877
1_MACS_peak_459_lociStitched	chr1(.):31634976-31636000	0.2151
1_MACS_peak_460_lociStitched	chr1(.):31768829-31770766	0.2192
1_MACS_peak_461_lociStitched	chr1(.):31886028-31887083	0.1377
1_MACS_peak_462_lociStitched	chr1(.):31895730-31897366	0.2602
1_MACS_peak_463_lociStitched	chr1(.):31913316-31916172	0.2063
1_MACS_peak_464_lociStitched	chr1(.):31932944-31934427	0.1777
2_MACS_peak_465_lociStitched	chr1(.):31943449-31951423	0.1553
1_MACS_peak_467_lociStitched	chr1(.):31959414-31961045	0.1856
2_MACS_peak_468_lociStitched	chr1(.):31971416-31975686	0.141
1_MACS_peak_470_lociStitched	chr1(.):32109367-32111410	0.3566
1_MACS_peak_471_lociStitched	chr1(.):32135260-32136343	0.1725
1_MACS_peak_472_lociStitched	chr1(.):32180076-32181631	0.2508
1_MACS_peak_473_lociStitched	chr1(.):32209326-32211901	0.2432
1_MACS_peak_474_lociStitched	chr1(.):32253250-32255190	0.2197
1_MACS_peak_475_lociStitched	chr1(.):32402327-32404885	0.1738
1_MACS_peak_476_lociStitched	chr1(.):32420437-32422727	0.1673
2_MACS_peak_477_lociStitched	chr1(.):32445805-32453099	0.1586
2_MACS_peak_479_lociStitched	chr1(.):32470944-32480779	0.1584
2_MACS_peak_481_lociStitched	chr1(.):32531761-32539608	0.1355
1_MACS_peak_483_lociStitched	chr1(.):32572825-32575404	0.2282
1_MACS_peak_484_lociStitched	chr1(.):32644625-32646640	0.2371
2_MACS_peak_485_lociStitched	chr1(.):32665824-32672001	0.1317
1_MACS_peak_487_lociStitched	chr1(.):32687065-32689066	0.2072
1_MACS_peak_488_lociStitched	chr1(.):32705719-32706980	0.1784
1_MACS_peak_489_lociStitched	chr1(.):32713184-32717609	0.2084
1_MACS_peak_490_lociStitched	chr1(.):32756622-32758900	0.173
2_MACS_peak_491_lociStitched	chr1(.):32800668-32804549	0.1671
