GENE_ID	locusLine	bin_1_34_0EXA_0229Kronos_MM1S-No-Treatment-2_p300_hs_i50.bam
2_MACS_peak_93_lociStitched	chr1(.):15905486-15911659	0.3318
1_MACS_peak_95_lociStitched	chr1(.):16160450-16162165	0.8595
1_MACS_peak_96_lociStitched	chr1(.):16692898-16694828	0.8423
1_MACS_peak_97_lociStitched	chr1(.):16766658-16767755	0.6138
1_MACS_peak_99_lociStitched	chr1(.):16990774-16995051	1.4761
1_MACS_peak_100_lociStitched	chr1(.):17065411-17069146	1.6794
2_MACS_peak_101_lociStitched	chr1(.):17221165-17233188	1.0014
2_MACS_peak_103_lociStitched	chr1(.):17765635-17768686	0.4517
1_MACS_peak_105_lociStitched	chr1(.):19252669-19254760	0.7671
1_MACS_peak_106_lociStitched	chr1(.):19278063-19279225	0.7993
1_MACS_peak_107_lociStitched	chr1(.):19536080-19537886	0.6275
1_MACS_peak_108_lociStitched	chr1(.):19922673-19924469	0.8806
1_MACS_peak_109_lociStitched	chr1(.):20085193-20086195	0.8547
1_MACS_peak_110_lociStitched	chr1(.):20116684-20117740	0.8219
1_MACS_peak_111_lociStitched	chr1(.):20141902-20142884	1.145
1_MACS_peak_112_lociStitched	chr1(.):20984720-20985780	0.7715
1_MACS_peak_113_lociStitched	chr1(.):21004795-21006017	1.0431
1_MACS_peak_114_lociStitched	chr1(.):21290757-21292120	0.7738
1_MACS_peak_115_lociStitched	chr1(.):21348375-21349680	1.136
1_MACS_peak_116_lociStitched	chr1(.):21510524-21511456	0.55
2_MACS_peak_117_lociStitched	chr1(.):21616805-21622231	0.9335
1_MACS_peak_119_lociStitched	chr1(.):21660339-21661447	0.7565
1_MACS_peak_120_lociStitched	chr1(.):22026447-22027370	0.6314
1_MACS_peak_121_lociStitched	chr1(.):22099872-22100886	0.7019
1_MACS_peak_122_lociStitched	chr1(.):22108370-22110555	0.819
1_MACS_peak_123_lociStitched	chr1(.):22117667-22119135	1.2734
1_MACS_peak_124_lociStitched	chr1(.):22191664-22193714	1.4353
1_MACS_peak_125_lociStitched	chr1(.):22350672-22353053	0.7981
1_MACS_peak_126_lociStitched	chr1(.):22445118-22446134	0.7446
1_MACS_peak_127_lociStitched	chr1(.):22820565-22822040	0.6426
1_MACS_peak_128_lociStitched	chr1(.):22834425-22835472	0.8461
1_MACS_peak_129_lociStitched	chr1(.):23345418-23346329	0.6228
2_MACS_peak_130_lociStitched	chr1(.):23850852-23855861	0.9997
1_MACS_peak_132_lociStitched	chr1(.):23866033-23867063	0.5542
2_MACS_peak_133_lociStitched	chr1(.):23937859-23947057	0.5029
1_MACS_peak_135_lociStitched	chr1(.):24017768-24019082	0.7349
1_MACS_peak_136_lociStitched	chr1(.):24151691-24152606	0.5138
1_MACS_peak_137_lociStitched	chr1(.):24191540-24192478	0.8892
2_MACS_peak_138_lociStitched	chr1(.):24285085-24291750	0.3728
1_MACS_peak_140_lociStitched	chr1(.):24306046-24307601	0.5627
1_MACS_peak_141_lociStitched	chr1(.):24514903-24518288	1.2499
1_MACS_peak_142_lociStitched	chr1(.):24529428-24530770	1.1314
2_MACS_peak_143_lociStitched	chr1(.):24645453-24649835	0.8433
1_MACS_peak_145_lociStitched	chr1(.):24717518-24719879	0.8776
1_MACS_peak_146_lociStitched	chr1(.):24883867-24885093	0.9177
1_MACS_peak_147_lociStitched	chr1(.):24968815-24969897	0.7777
2_MACS_peak_148_lociStitched	chr1(.):25071196-25076001	0.576
1_MACS_peak_150_lociStitched	chr1(.):25348546-25350002	1.3715
1_MACS_peak_151_lociStitched	chr1(.):25875105-25877178	1.2209
1_MACS_peak_152_lociStitched	chr1(.):25888618-25889890	0.6954
1_MACS_peak_153_lociStitched	chr1(.):25946274-25947431	1.0227
1_MACS_peak_154_lociStitched	chr1(.):25968159-25970078	1.9402
1_MACS_peak_155_lociStitched	chr1(.):26002135-26003193	1.2281
1_MACS_peak_156_lociStitched	chr1(.):26437119-26439055	0.5545
1_MACS_peak_157_lociStitched	chr1(.):26452607-26453553	0.6065
1_MACS_peak_158_lociStitched	chr1(.):26605997-26607003	0.5104
1_MACS_peak_159_lociStitched	chr1(.):26798587-26800242	0.5122
1_MACS_peak_160_lociStitched	chr1(.):26826313-26827842	0.7391
1_MACS_peak_161_lociStitched	chr1(.):26946461-26948389	1.015
3_MACS_peak_162_lociStitched	chr1(.):27018376-27030179	0.6674
1_MACS_peak_165_lociStitched	chr1(.):27069886-27071311	1.4665
2_MACS_peak_166_lociStitched	chr1(.):27159658-27166128	0.4732
1_MACS_peak_168_lociStitched	chr1(.):27481289-27482538	0.7256
1_MACS_peak_169_lociStitched	chr1(.):27648179-27649291	0.7484
1_MACS_peak_170_lociStitched	chr1(.):27667780-27668748	0.5379
1_MACS_peak_171_lociStitched	chr1(.):27744646-27745429	0.5004
1_MACS_peak_172_lociStitched	chr1(.):27764619-27765892	0.6604
1_MACS_peak_173_lociStitched	chr1(.):27816462-27818159	0.5732
1_MACS_peak_174_lociStitched	chr1(.):27826220-27827189	0.7441
1_MACS_peak_175_lociStitched	chr1(.):27985938-27987162	0.457
1_MACS_peak_176_lociStitched	chr1(.):28156608-28158006	0.6423
2_MACS_peak_177_lociStitched	chr1(.):28353693-28356615	0.8269
1_MACS_peak_179_lociStitched	chr1(.):28396283-28397228	0.4916
1_MACS_peak_180_lociStitched	chr1(.):28437573-28438236	0.3911
1_MACS_peak_181_lociStitched	chr1(.):28495382-28496620	0.729
2_MACS_peak_182_lociStitched	chr1(.):28570871-28577080	0.7674
1_MACS_peak_184_lociStitched	chr1(.):28655154-28656176	0.6639
1_MACS_peak_185_lociStitched	chr1(.):28743633-28744621	0.8896
1_MACS_peak_186_lociStitched	chr1(.):28878520-28880332	0.8697
2_MACS_peak_187_lociStitched	chr1(.):28906740-28914313	0.4398
2_MACS_peak_189_lociStitched	chr1(.):28925040-28928953	1.0965
2_MACS_peak_191_lociStitched	chr1(.):28969016-28976007	0.6483
1_MACS_peak_193_lociStitched	chr1(.):29062592-29064012	0.7935
1_MACS_peak_194_lociStitched	chr1(.):29211038-29212115	0.6804
1_MACS_peak_195_lociStitched	chr1(.):29241358-29242405	0.4795
1_MACS_peak_196_lociStitched	chr1(.):29507320-29509261	0.6335
1_MACS_peak_197_lociStitched	chr1(.):30901926-30902899	0.6091
1_MACS_peak_198_lociStitched	chr1(.):31191293-31192276	0.6141
5_MACS_peak_199_lociStitched	chr1(.):31216023-31231098	0.7109
1_MACS_peak_204_lociStitched	chr1(.):31537824-31539240	0.7863
1_MACS_peak_205_lociStitched	chr1(.):31895416-31896956	1.0272
1_MACS_peak_206_lociStitched	chr1(.):31913929-31915518	1.0825
2_MACS_peak_207_lociStitched	chr1(.):31944078-31950982	0.4226
1_MACS_peak_209_lociStitched	chr1(.):31971319-31972358	0.9726
1_MACS_peak_210_lociStitched	chr1(.):32071092-32072173	1.3758
1_MACS_peak_211_lociStitched	chr1(.):32403816-32404694	0.4792
1_MACS_peak_212_lociStitched	chr1(.):32421330-32422474	0.7579
1_MACS_peak_213_lociStitched	chr1(.):32450427-32451757	0.6472
2_MACS_peak_214_lociStitched	chr1(.):32470668-32473210	0.6112
1_MACS_peak_216_lociStitched	chr1(.):32537943-32539072	0.5922
1_MACS_peak_217_lociStitched	chr1(.):32644853-32646063	0.6178
2_MACS_peak_218_lociStitched	chr1(.):32713570-32716453	1.0162
1_MACS_peak_220_lociStitched	chr1(.):32756889-32758517	0.5719
1_MACS_peak_221_lociStitched	chr1(.):32802911-32804004	0.7038
1_MACS_peak_222_lociStitched	chr1(.):33092742-33094507	1.8421
1_MACS_peak_223_lociStitched	chr1(.):33115618-33117974	0.984
1_MACS_peak_224_lociStitched	chr1(.):33282173-33285103	0.8049
1_MACS_peak_225_lociStitched	chr1(.):33446310-33447621	0.9971
1_MACS_peak_226_lociStitched	chr1(.):33457784-33458856	1.3194
1_MACS_peak_227_lociStitched	chr1(.):33501665-33503156	0.8103
1_MACS_peak_228_lociStitched	chr1(.):33564061-33566007	1.8143
1_MACS_peak_229_lociStitched	chr1(.):33592300-33593816	0.7885
1_MACS_peak_230_lociStitched	chr1(.):34432033-34432869	0.5777
1_MACS_peak_231_lociStitched	chr1(.):34825978-34826833	0.5891
2_MACS_peak_232_lociStitched	chr1(.):35324851-35332445	0.2643
1_MACS_peak_234_lociStitched	chr1(.):35544597-35545882	0.6505
1_MACS_peak_235_lociStitched	chr1(.):36003742-36004654	0.5617
1_MACS_peak_236_lociStitched	chr1(.):36022448-36024264	1.5994
1_MACS_peak_237_lociStitched	chr1(.):36106540-36107815	0.6297
1_MACS_peak_238_lociStitched	chr1(.):36396023-36397331	0.5815
1_MACS_peak_239_lociStitched	chr1(.):36488612-36489679	0.7571
1_MACS_peak_240_lociStitched	chr1(.):36553913-36555513	0.5864
2_MACS_peak_241_lociStitched	chr1(.):36614491-36622852	0.4942
1_MACS_peak_243_lociStitched	chr1(.):36640589-36641517	0.5879
1_MACS_peak_244_lociStitched	chr1(.):36851267-36852919	1.1471
1_MACS_peak_245_lociStitched	chr1(.):36929453-36930852	1.0431
1_MACS_peak_246_lociStitched	chr1(.):37108992-37110189	0.9148
1_MACS_peak_247_lociStitched	chr1(.):37129151-37130079	0.535
1_MACS_peak_248_lociStitched	chr1(.):37754033-37755384	1.1174
1_MACS_peak_249_lociStitched	chr1(.):37942415-37943651	0.8228
1_MACS_peak_250_lociStitched	chr1(.):38141216-38142661	0.8354
1_MACS_peak_251_lociStitched	chr1(.):38204514-38205724	0.7326
2_MACS_peak_252_lociStitched	chr1(.):38493410-38496509	0.6507
1_MACS_peak_254_lociStitched	chr1(.):38939984-38941948	1.1363
1_MACS_peak_255_lociStitched	chr1(.):38992446-38993729	1.0441
1_MACS_peak_256_lociStitched	chr1(.):39662120-39663255	0.6114
1_MACS_peak_257_lociStitched	chr1(.):39859897-39860955	0.9131
1_MACS_peak_258_lociStitched	chr1(.):39872919-39873975	0.7737
1_MACS_peak_259_lociStitched	chr1(.):39956513-39957746	0.6776
1_MACS_peak_260_lociStitched	chr1(.):39974542-39976483	1.2005
1_MACS_peak_261_lociStitched	chr1(.):40031348-40033293	0.9457
2_MACS_peak_262_lociStitched	chr1(.):40042032-40047887	0.3626
1_MACS_peak_264_lociStitched	chr1(.):40062962-40065514	1.0136
1_MACS_peak_265_lociStitched	chr1(.):40203876-40204975	0.6122
1_MACS_peak_266_lociStitched	chr1(.):40241332-40242711	1.01
1_MACS_peak_267_lociStitched	chr1(.):40264434-40265894	0.8684
1_MACS_peak_268_lociStitched	chr1(.):40282310-40283813	1.1509
1_MACS_peak_269_lociStitched	chr1(.):40310619-40312509	1.4975
1_MACS_peak_270_lociStitched	chr1(.):40425974-40427091	0.7001
1_MACS_peak_271_lociStitched	chr1(.):40468297-40469828	0.6054
1_MACS_peak_272_lociStitched	chr1(.):40504815-40506749	0.6058
1_MACS_peak_273_lociStitched	chr1(.):40524582-40525884	1.0177
1_MACS_peak_274_lociStitched	chr1(.):40562346-40563246	0.7099
1_MACS_peak_275_lociStitched	chr1(.):40618611-40619721	0.5571
1_MACS_peak_276_lociStitched	chr1(.):40626077-40628011	0.5869
1_MACS_peak_277_lociStitched	chr1(.):40697695-40698599	0.7036
1_MACS_peak_278_lociStitched	chr1(.):40839316-40840971	0.789
3_MACS_peak_279_lociStitched	chr1(.):40846780-40858198	0.6745
1_MACS_peak_282_lociStitched	chr1(.):41134186-41134997	0.651
1_MACS_peak_283_lociStitched	chr1(.):41229404-41230498	0.866
1_MACS_peak_284_lociStitched	chr1(.):41969495-41970503	0.7961
1_MACS_peak_285_lociStitched	chr1(.):42164119-42165395	1.4769
2_MACS_peak_286_lociStitched	chr1(.):42191970-42195337	1.1807
1_MACS_peak_288_lociStitched	chr1(.):42216178-42218334	1.3558
1_MACS_peak_289_lociStitched	chr1(.):42268240-42269505	0.7998
1_MACS_peak_290_lociStitched	chr1(.):42347429-42348386	0.9794
1_MACS_peak_291_lociStitched	chr1(.):42356821-42358466	0.7252
1_MACS_peak_292_lociStitched	chr1(.):42416375-42417222	0.5228
2_MACS_peak_293_lociStitched	chr1(.):42921214-42929509	0.3438
1_MACS_peak_295_lociStitched	chr1(.):43123325-43124658	0.7665
1_MACS_peak_296_lociStitched	chr1(.):43400745-43401662	0.7405
1_MACS_peak_297_lociStitched	chr1(.):43424122-43425005	0.4801
1_MACS_peak_298_lociStitched	chr1(.):43432485-43433510	0.7694
1_MACS_peak_299_lociStitched	chr1(.):43637437-43638868	0.5298
2_MACS_peak_300_lociStitched	chr1(.):44297556-44302898	0.4573
1_MACS_peak_302_lociStitched	chr1(.):44678625-44679510	0.5855
1_MACS_peak_303_lociStitched	chr1(.):45096839-45098081	0.765
1_MACS_peak_304_lociStitched	chr1(.):45186394-45188128	0.6401
1_MACS_peak_305_lociStitched	chr1(.):45195582-45197516	1.003
1_MACS_peak_306_lociStitched	chr1(.):45240493-45242071	0.7161
1_MACS_peak_307_lociStitched	chr1(.):45265083-45266247	0.6347
1_MACS_peak_308_lociStitched	chr1(.):45284785-45286141	0.7336
1_MACS_peak_309_lociStitched	chr1(.):45986920-45988170	0.6114
1_MACS_peak_310_lociStitched	chr1(.):46009050-46010180	0.8244
1_MACS_peak_311_lociStitched	chr1(.):46015688-46017233	0.6999
1_MACS_peak_312_lociStitched	chr1(.):46151722-46154735	0.7619
2_MACS_peak_313_lociStitched	chr1(.):46506731-46509815	0.8865
2_MACS_peak_315_lociStitched	chr1(.):46597548-46601249	0.6579
1_MACS_peak_317_lociStitched	chr1(.):46624790-46625949	0.7791
1_MACS_peak_318_lociStitched	chr1(.):46768702-46769920	0.8119
2_MACS_peak_319_lociStitched	chr1(.):46796416-46798536	0.5597
1_MACS_peak_321_lociStitched	chr1(.):46805472-46807009	0.7917
1_MACS_peak_322_lociStitched	chr1(.):47154730-47155890	0.9928
1_MACS_peak_323_lociStitched	chr1(.):47323022-47324012	0.5142
1_MACS_peak_324_lociStitched	chr1(.):47573138-47574145	0.6708
1_MACS_peak_325_lociStitched	chr1(.):47779559-47780754	0.7279
2_MACS_peak_326_lociStitched	chr1(.):49253222-49256635	0.4875
1_MACS_peak_328_lociStitched	chr1(.):49413192-49414456	1.0714
1_MACS_peak_329_lociStitched	chr1(.):49445375-49446405	0.5952
1_MACS_peak_330_lociStitched	chr1(.):49648922-49649842	0.6537
1_MACS_peak_331_lociStitched	chr1(.):49862611-49863503	0.6194
1_MACS_peak_332_lociStitched	chr1(.):51668920-51670040	0.774
1_MACS_peak_333_lociStitched	chr1(.):51699889-51702411	0.6592
1_MACS_peak_334_lociStitched	chr1(.):52034301-52036215	0.914
1_MACS_peak_335_lociStitched	chr1(.):52144790-52145751	0.5378
1_MACS_peak_336_lociStitched	chr1(.):52328626-52329843	0.8347
1_MACS_peak_337_lociStitched	chr1(.):52343824-52345570	0.9774
1_MACS_peak_338_lociStitched	chr1(.):52372450-52373282	0.5233
2_MACS_peak_339_lociStitched	chr1(.):52417913-52422221	0.4306
1_MACS_peak_341_lociStitched	chr1(.):53017210-53018416	0.6465
1_MACS_peak_342_lociStitched	chr1(.):53102147-53103982	1.2614
2_MACS_peak_343_lociStitched	chr1(.):53163074-53169710	0.5027
1_MACS_peak_345_lociStitched	chr1(.):53685567-53686570	0.5802
1_MACS_peak_346_lociStitched	chr1(.):53711705-53712603	0.5404
1_MACS_peak_347_lociStitched	chr1(.):54065816-54067182	1.3116
1_MACS_peak_348_lociStitched	chr1(.):54200339-54201765	0.9015
1_MACS_peak_349_lociStitched	chr1(.):54512832-54513895	0.7585
1_MACS_peak_350_lociStitched	chr1(.):54841798-54843613	0.9001
1_MACS_peak_351_lociStitched	chr1(.):54953625-54954564	0.5996
1_MACS_peak_352_lociStitched	chr1(.):55266494-55267740	0.5468
1_MACS_peak_353_lociStitched	chr1(.):55753665-55754679	0.8916
1_MACS_peak_354_lociStitched	chr1(.):55828670-55829592	0.5603
1_MACS_peak_355_lociStitched	chr1(.):56281616-56282794	0.6988
1_MACS_peak_356_lociStitched	chr1(.):56981813-56982870	0.5801
1_MACS_peak_357_lociStitched	chr1(.):56990870-56991969	0.8799
1_MACS_peak_358_lociStitched	chr1(.):57811575-57812206	0.544
1_MACS_peak_359_lociStitched	chr1(.):58037395-58038323	0.4715
1_MACS_peak_360_lociStitched	chr1(.):59039152-59040072	0.5448
1_MACS_peak_361_lociStitched	chr1(.):59249101-59252056	0.9795
1_MACS_peak_362_lociStitched	chr1(.):59270929-59272582	0.7893
1_MACS_peak_363_lociStitched	chr1(.):59280863-59282645	0.7199
1_MACS_peak_364_lociStitched	chr1(.):59322898-59324168	0.7922
1_MACS_peak_365_lociStitched	chr1(.):59348712-59350202	0.8597
1_MACS_peak_366_lociStitched	chr1(.):59368513-59370288	0.8555
1_MACS_peak_367_lociStitched	chr1(.):59433779-59434989	0.8803
4_MACS_peak_368_lociStitched	chr1(.):59473292-59486547	0.3362
1_MACS_peak_372_lociStitched	chr1(.):59997465-59998340	0.5485
1_MACS_peak_373_lociStitched	chr1(.):60035707-60036853	0.8365
1_MACS_peak_374_lociStitched	chr1(.):60043047-60044147	1.2564
1_MACS_peak_375_lociStitched	chr1(.):61428624-61429630	0.456
1_MACS_peak_376_lociStitched	chr1(.):61542069-61544084	1.1316
1_MACS_peak_377_lociStitched	chr1(.):61749489-61750549	0.7238
1_MACS_peak_378_lociStitched	chr1(.):61783893-61785185	1.4038
1_MACS_peak_379_lociStitched	chr1(.):61928710-61929498	0.5847
1_MACS_peak_380_lociStitched	chr1(.):62901468-62902991	0.6517
1_MACS_peak_381_lociStitched	chr1(.):62993572-62994146	0.4972
1_MACS_peak_382_lociStitched	chr1(.):63265772-63267095	0.7413
1_MACS_peak_383_lociStitched	chr1(.):63275517-63277224	0.7135
1_MACS_peak_384_lociStitched	chr1(.):63988544-63989743	0.7754
1_MACS_peak_385_lociStitched	chr1(.):64058844-64060216	0.4998
1_MACS_peak_386_lociStitched	chr1(.):65329331-65330568	1.1696
1_MACS_peak_387_lociStitched	chr1(.):65348102-65349302	0.873
2_MACS_peak_388_lociStitched	chr1(.):65360755-65365005	0.763
1_MACS_peak_390_lociStitched	chr1(.):65414564-65415497	0.5253
1_MACS_peak_391_lociStitched	chr1(.):65431644-65433889	0.6845
1_MACS_peak_392_lociStitched	chr1(.):65452882-65454063	0.978
1_MACS_peak_393_lociStitched	chr1(.):65467988-65469083	0.6471
1_MACS_peak_394_lociStitched	chr1(.):65509753-65510985	1.2347
1_MACS_peak_395_lociStitched	chr1(.):65720102-65721255	0.4168
1_MACS_peak_396_lociStitched	chr1(.):65788847-65789498	0.5707
1_MACS_peak_397_lociStitched	chr1(.):66277379-66278519	0.861
1_MACS_peak_398_lociStitched	chr1(.):66469095-66470067	0.5877
3_MACS_peak_399_lociStitched	chr1(.):66736494-66750084	0.7006
1_MACS_peak_402_lociStitched	chr1(.):66771425-66772327	0.503
1_MACS_peak_403_lociStitched	chr1(.):66799618-66802768	1.0638
1_MACS_peak_404_lociStitched	chr1(.):66815278-66816446	1.0545
2_MACS_peak_405_lociStitched	chr1(.):66839521-66846936	0.5343
1_MACS_peak_407_lociStitched	chr1(.):66910883-66912575	0.7849
1_MACS_peak_408_lociStitched	chr1(.):67198165-67199890	0.6443
2_MACS_peak_409_lociStitched	chr1(.):67223300-67226730	0.5966
1_MACS_peak_411_lociStitched	chr1(.):67244507-67245842	0.5614
2_MACS_peak_412_lociStitched	chr1(.):67389943-67396750	0.3373
1_MACS_peak_414_lociStitched	chr1(.):67478126-67479626	0.606
1_MACS_peak_415_lociStitched	chr1(.):67895558-67897426	0.9146
1_MACS_peak_416_lociStitched	chr1(.):68029508-68030603	0.7348
1_MACS_peak_417_lociStitched	chr1(.):68215072-68216352	0.7466
1_MACS_peak_418_lociStitched	chr1(.):68225117-68226346	1.0713
1_MACS_peak_419_lociStitched	chr1(.):68626240-68627262	0.8098
1_MACS_peak_420_lociStitched	chr1(.):68643904-68645269	0.9476
1_MACS_peak_421_lociStitched	chr1(.):68812808-68813642	0.7612
1_MACS_peak_422_lociStitched	chr1(.):69438886-69439791	0.4752
1_MACS_peak_423_lociStitched	chr1(.):70670855-70672010	0.7415
2_MACS_peak_424_lociStitched	chr1(.):70818874-70825593	0.5348
1_MACS_peak_426_lociStitched	chr1(.):70875767-70877512	0.8464
1_MACS_peak_427_lociStitched	chr1(.):70982851-70984078	0.7183
1_MACS_peak_428_lociStitched	chr1(.):72110256-72111392	0.879
1_MACS_peak_429_lociStitched	chr1(.):72171399-72172432	0.8268
1_MACS_peak_430_lociStitched	chr1(.):72316293-72317305	0.7252
1_MACS_peak_431_lociStitched	chr1(.):72346925-72347935	0.853
1_MACS_peak_432_lociStitched	chr1(.):72475489-72476369	0.6252
1_MACS_peak_433_lociStitched	chr1(.):72749926-72750937	0.7831
1_MACS_peak_434_lociStitched	chr1(.):72831976-72832803	0.3842
1_MACS_peak_435_lociStitched	chr1(.):73033411-73034575	1.4086
1_MACS_peak_436_lociStitched	chr1(.):75048833-75049619	0.6971
1_MACS_peak_437_lociStitched	chr1(.):75276853-75278467	0.8015
1_MACS_peak_438_lociStitched	chr1(.):75437264-75438887	1.061
1_MACS_peak_439_lociStitched	chr1(.):75540286-75541241	0.5218
1_MACS_peak_440_lociStitched	chr1(.):75599147-75600421	0.5493
1_MACS_peak_441_lociStitched	chr1(.):76189457-76190920	0.4242
1_MACS_peak_442_lociStitched	chr1(.):76250013-76252532	0.6399
1_MACS_peak_443_lociStitched	chr1(.):76735761-76736744	0.5141
1_MACS_peak_444_lociStitched	chr1(.):78148073-78149757	0.6485
