GENE_ID	locusLine	bin_1_35_0EXN_0229Kronos_MM1S-No-Treatment-1_Input_hs_i77.bam
10_MACS_peak_101_lociStitched	chr1(.):1213496-1227385	0.0929
1_MACS_peak_111_lociStitched	chr1(.):1286754-1290399	0.0856
1_MACS_peak_112_lociStitched	chr1(.):1292064-1300248	0.0915
5_MACS_peak_113_lociStitched	chr1(.):1356072-1374766	0.0843
7_MACS_peak_118_lociStitched	chr1(.):1376875-1396334	0.0993
4_MACS_peak_125_lociStitched	chr1(.):1420204-1422619	0.0669
1_MACS_peak_129_lociStitched	chr1(.):1459284-1460069	0.0605
1_MACS_peak_130_lociStitched	chr1(.):1462018-1462559	0.0692
9_MACS_peak_131_lociStitched	chr1(.):1512302-1539001	0.1126
3_MACS_peak_140_lociStitched	chr1(.):1566109-1569156	0.0799
1_MACS_peak_143_lociStitched	chr1(.):1630950-1632492	0.0675
1_MACS_peak_144_lociStitched	chr1(.):1682464-1682766	0.082
1_MACS_peak_145_lociStitched	chr1(.):1832883-1833265	0.0397
2_MACS_peak_146_lociStitched	chr1(.):1841004-1843782	0.0782
5_MACS_peak_148_lociStitched	chr1(.):1845280-1862072	0.1058
2_MACS_peak_153_lociStitched	chr1(.):1863767-1865188	0.0986
14_MACS_peak_155_lociStitched	chr1(.):1867097-1910954	0.0916
1_MACS_peak_169_lociStitched	chr1(.):1913672-1914005	0.0491
2_MACS_peak_170_lociStitched	chr1(.):1915444-1921569	0.0754
9_MACS_peak_172_lociStitched	chr1(.):1922718-1933718	0.0868
22_MACS_peak_181_lociStitched	chr1(.):1934764-2010198	0.0745
3_MACS_peak_203_lociStitched	chr1(.):2013218-2025567	0.0691
9_MACS_peak_206_lociStitched	chr1(.):2027722-2043881	0.0802
2_MACS_peak_215_lociStitched	chr1(.):2046326-2048855	0.0868
13_MACS_peak_217_lociStitched	chr1(.):2057044-2077902	0.0842
5_MACS_peak_230_lociStitched	chr1(.):2080444-2085922	0.0838
11_MACS_peak_235_lociStitched	chr1(.):2087255-2115914	0.0748
7_MACS_peak_246_lociStitched	chr1(.):2129708-2158667	0.0914
6_MACS_peak_253_lociStitched	chr1(.):2243980-2293967	0.075
2_MACS_peak_259_lociStitched	chr1(.):2298843-2300822	0.1029
2_MACS_peak_261_lociStitched	chr1(.):2301974-2316377	0.1116
12_MACS_peak_263_lociStitched	chr1(.):2347832-2412421	0.0781
6_MACS_peak_275_lociStitched	chr1(.):2414447-2436785	0.0697
4_MACS_peak_281_lociStitched	chr1(.):2458156-2475302	0.0848
3_MACS_peak_285_lociStitched	chr1(.):2483322-2485380	0.0617
11_MACS_peak_288_lociStitched	chr1(.):2497381-2515978	0.1019
11_MACS_peak_299_lociStitched	chr1(.):2518677-2545118	0.0749
1_MACS_peak_310_lociStitched	chr1(.):2548304-2548598	0.0
13_MACS_peak_311_lociStitched	chr1(.):2551506-2567345	0.0823
2_MACS_peak_324_lociStitched	chr1(.):2569218-2570869	0.1014
1_MACS_peak_326_lociStitched	chr1(.):2574881-2577599	0.0863
3_MACS_peak_335_lociStitched	chr1(.):2685484-2691896	0.2608
1_MACS_peak_338_lociStitched	chr1(.):2693281-2693936	0.1101
4_MACS_peak_339_lociStitched	chr1(.):2701386-2703674	0.0645
2_MACS_peak_343_lociStitched	chr1(.):2705544-2707210	0.0345
8_MACS_peak_345_lociStitched	chr1(.):2715517-2737042	0.0638
2_MACS_peak_353_lociStitched	chr1(.):2738801-2741102	0.0826
2_MACS_peak_355_lociStitched	chr1(.):2744087-2745182	0.0671
1_MACS_peak_357_lociStitched	chr1(.):2746202-2746974	0.0568
4_MACS_peak_358_lociStitched	chr1(.):2748085-2755908	0.0869
1_MACS_peak_362_lociStitched	chr1(.):2758432-2758740	0.0276
2_MACS_peak_363_lociStitched	chr1(.):2761372-2766793	0.0798
4_MACS_peak_365_lociStitched	chr1(.):2770137-2775203	0.0414
23_MACS_peak_369_lociStitched	chr1(.):2776283-2811872	0.0576
11_MACS_peak_392_lociStitched	chr1(.):2815755-2830516	0.0551
11_MACS_peak_403_lociStitched	chr1(.):2832274-2854774	0.0784
1_MACS_peak_414_lociStitched	chr1(.):2860347-2860848	0.062
6_MACS_peak_415_lociStitched	chr1(.):2862589-2869923	0.0574
4_MACS_peak_421_lociStitched	chr1(.):2875755-2879943	0.0475
5_MACS_peak_425_lociStitched	chr1(.):2883514-2890246	0.076
2_MACS_peak_430_lociStitched	chr1(.):2895772-2902181	0.0735
5_MACS_peak_432_lociStitched	chr1(.):2904333-2907679	0.0676
5_MACS_peak_437_lociStitched	chr1(.):2915427-2921228	0.0467
6_MACS_peak_442_lociStitched	chr1(.):2926007-2941356	0.0602
8_MACS_peak_448_lociStitched	chr1(.):2944030-2957333	0.0526
5_MACS_peak_456_lociStitched	chr1(.):2958592-2961339	0.0696
2_MACS_peak_461_lociStitched	chr1(.):2970236-2971360	0.0726
1_MACS_peak_463_lociStitched	chr1(.):2973239-2973705	0.0452
1_MACS_peak_464_lociStitched	chr1(.):2974909-2975243	0.1086
1_MACS_peak_465_lociStitched	chr1(.):2977059-2977506	0.0625
10_MACS_peak_466_lociStitched	chr1(.):2978638-3003729	0.0451
9_MACS_peak_476_lociStitched	chr1(.):3005569-3028009	0.0581
12_MACS_peak_485_lociStitched	chr1(.):3029043-3066150	0.0634
9_MACS_peak_497_lociStitched	chr1(.):3067789-3092899	0.0592
4_MACS_peak_506_lociStitched	chr1(.):3093992-3097189	0.0819
17_MACS_peak_510_lociStitched	chr1(.):3099579-3169137	0.07
14_MACS_peak_527_lociStitched	chr1(.):3172037-3218627	0.0657
5_MACS_peak_541_lociStitched	chr1(.):3220654-3234547	0.0715
11_MACS_peak_546_lociStitched	chr1(.):3237416-3252921	0.0571
3_MACS_peak_557_lociStitched	chr1(.):3255082-3259168	0.067
3_MACS_peak_560_lociStitched	chr1(.):3263143-3285355	0.0684
6_MACS_peak_563_lociStitched	chr1(.):3286847-3293657	0.0701
1_MACS_peak_569_lociStitched	chr1(.):3294747-3295298	0.1016
9_MACS_peak_570_lociStitched	chr1(.):3296979-3324424	0.0772
10_MACS_peak_579_lociStitched	chr1(.):3325820-3361220	0.0683
1_MACS_peak_589_lociStitched	chr1(.):3362641-3363023	0.0566
7_MACS_peak_590_lociStitched	chr1(.):3365563-3392459	0.0597
23_MACS_peak_597_lociStitched	chr1(.):3394195-3537281	0.0708
1_MACS_peak_620_lociStitched	chr1(.):3567816-3568422	0.1259
1_MACS_peak_621_lociStitched	chr1(.):3665188-3665484	0.0444
5_MACS_peak_622_lociStitched	chr1(.):3666747-3688274	0.1046
2_MACS_peak_627_lociStitched	chr1(.):3689946-3691163	0.0668
1_MACS_peak_629_lociStitched	chr1(.):3716223-3718043	0.1006
1_MACS_peak_630_lociStitched	chr1(.):3721327-3722249	0.1331
2_MACS_peak_631_lociStitched	chr1(.):3834457-3836506	0.0687
2_MACS_peak_633_lociStitched	chr1(.):3839651-3843252	0.0984
1_MACS_peak_635_lociStitched	chr1(.):3995412-3995934	0.0611
7_MACS_peak_636_lociStitched	chr1(.):3997587-4009576	0.0924
5_MACS_peak_643_lociStitched	chr1(.):4012915-4020440	0.0863
1_MACS_peak_648_lociStitched	chr1(.):4023387-4023782	0.0882
6_MACS_peak_649_lociStitched	chr1(.):4035537-4044572	0.081
1_MACS_peak_655_lociStitched	chr1(.):4046400-4046671	0.0129
3_MACS_peak_656_lociStitched	chr1(.):4054031-4057099	0.0501
3_MACS_peak_659_lociStitched	chr1(.):4058703-4062724	0.0734
3_MACS_peak_662_lociStitched	chr1(.):4063833-4065639	0.0853
1_MACS_peak_665_lociStitched	chr1(.):4070423-4070792	0.0218
6_MACS_peak_666_lociStitched	chr1(.):4076143-4083134	0.0788
1_MACS_peak_672_lociStitched	chr1(.):4093237-4093701	0.0043
1_MACS_peak_673_lociStitched	chr1(.):4107976-4108287	0.0263
11_MACS_peak_674_lociStitched	chr1(.):4111064-4122922	0.0647
1_MACS_peak_685_lociStitched	chr1(.):4137514-4138167	0.2578
10_MACS_peak_686_lociStitched	chr1(.):4143344-4152661	0.0642
6_MACS_peak_696_lociStitched	chr1(.):4165681-4171376	0.0678
1_MACS_peak_702_lociStitched	chr1(.):4175634-4175998	0.1705
5_MACS_peak_703_lociStitched	chr1(.):4177003-4182618	0.0603
2_MACS_peak_708_lociStitched	chr1(.):4183935-4185253	0.0725
7_MACS_peak_710_lociStitched	chr1(.):4186705-4195478	0.0657
5_MACS_peak_717_lociStitched	chr1(.):4198169-4202410	0.0559
7_MACS_peak_722_lociStitched	chr1(.):4207890-4214361	0.0713
4_MACS_peak_729_lociStitched	chr1(.):4216266-4219416	0.0729
3_MACS_peak_733_lociStitched	chr1(.):4224126-4227815	0.0802
5_MACS_peak_736_lociStitched	chr1(.):4230749-4234092	0.068
1_MACS_peak_741_lociStitched	chr1(.):4239823-4240162	0.0654
3_MACS_peak_742_lociStitched	chr1(.):4272491-4276030	0.0489
5_MACS_peak_745_lociStitched	chr1(.):4277725-4283052	0.0769
1_MACS_peak_750_lociStitched	chr1(.):4284629-4285393	0.0973
2_MACS_peak_751_lociStitched	chr1(.):4289922-4290738	0.0747
1_MACS_peak_753_lociStitched	chr1(.):4292419-4292841	0.1299
2_MACS_peak_754_lociStitched	chr1(.):4359773-4361404	0.0518
1_MACS_peak_756_lociStitched	chr1(.):4370246-4370697	0.0447
1_MACS_peak_757_lociStitched	chr1(.):4383082-4383714	0.0392
1_MACS_peak_758_lociStitched	chr1(.):4391133-4391493	0.0906
1_MACS_peak_759_lociStitched	chr1(.):4401664-4402294	0.0827
3_MACS_peak_760_lociStitched	chr1(.):4411840-4414221	0.0714
2_MACS_peak_763_lociStitched	chr1(.):4417192-4419324	0.072
3_MACS_peak_765_lociStitched	chr1(.):4420854-4423207	0.0562
3_MACS_peak_768_lociStitched	chr1(.):4425780-4427435	0.0464
1_MACS_peak_771_lociStitched	chr1(.):4456652-4457002	0.0
1_MACS_peak_772_lociStitched	chr1(.):4468381-4468710	0.0095
1_MACS_peak_773_lociStitched	chr1(.):4476614-4476954	0.0746
1_MACS_peak_774_lociStitched	chr1(.):4484267-4484619	0.0065
1_MACS_peak_775_lociStitched	chr1(.):4494287-4494635	0.0457
1_MACS_peak_776_lociStitched	chr1(.):4504592-4504927	0.0
1_MACS_peak_777_lociStitched	chr1(.):4509378-4509921	0.1687
1_MACS_peak_778_lociStitched	chr1(.):4511689-4512151	0.0323
2_MACS_peak_779_lociStitched	chr1(.):4519995-4521480	0.0598
2_MACS_peak_781_lociStitched	chr1(.):4546865-4547990	0.0465
1_MACS_peak_783_lociStitched	chr1(.):4557685-4558020	0.0615
1_MACS_peak_784_lociStitched	chr1(.):4560429-4560887	0.1057
1_MACS_peak_785_lociStitched	chr1(.):4569924-4570311	0.0213
1_MACS_peak_786_lociStitched	chr1(.):4571400-4571811	0.005
1_MACS_peak_787_lociStitched	chr1(.):4573304-4573709	0.0061
1_MACS_peak_788_lociStitched	chr1(.):4575131-4575831	0.0865
1_MACS_peak_789_lociStitched	chr1(.):4588476-4588889	0.0059
1_MACS_peak_790_lociStitched	chr1(.):4624092-4624416	0.0263
3_MACS_peak_791_lociStitched	chr1(.):4651467-4653014	0.0587
2_MACS_peak_794_lociStitched	chr1(.):4655238-4656667	0.0886
3_MACS_peak_796_lociStitched	chr1(.):4659526-4662587	0.0593
6_MACS_peak_799_lociStitched	chr1(.):4671669-4677806	0.0861
1_MACS_peak_805_lociStitched	chr1(.):4683589-4684024	0.046
3_MACS_peak_806_lociStitched	chr1(.):4685100-4687940	0.0377
6_MACS_peak_809_lociStitched	chr1(.):4693264-4699293	0.0838
2_MACS_peak_815_lociStitched	chr1(.):4712933-4714257	0.0614
1_MACS_peak_817_lociStitched	chr1(.):4716004-4717117	0.0074
1_MACS_peak_818_lociStitched	chr1(.):4719667-4720130	0.1394
2_MACS_peak_819_lociStitched	chr1(.):4722614-4724579	0.0581
3_MACS_peak_821_lociStitched	chr1(.):4725921-4727896	0.0492
2_MACS_peak_824_lociStitched	chr1(.):4734649-4736181	0.097
3_MACS_peak_826_lociStitched	chr1(.):4745391-4748375	0.0727
1_MACS_peak_829_lociStitched	chr1(.):4749787-4750190	0.0
1_MACS_peak_830_lociStitched	chr1(.):4751803-4752326	0.0437
2_MACS_peak_831_lociStitched	chr1(.):4756675-4758692	0.0765
2_MACS_peak_833_lociStitched	chr1(.):4770092-4773595	0.0573
10_MACS_peak_835_lociStitched	chr1(.):4785984-4796282	0.0626
1_MACS_peak_845_lociStitched	chr1(.):4806707-4807293	0.0454
2_MACS_peak_846_lociStitched	chr1(.):4819886-4821057	0.1023
2_MACS_peak_848_lociStitched	chr1(.):4829931-4831145	0.0303
5_MACS_peak_850_lociStitched	chr1(.):4832576-4836889	0.0731
1_MACS_peak_855_lociStitched	chr1(.):4840164-4840471	0.0325
1_MACS_peak_856_lociStitched	chr1(.):4841495-4842232	0.0112
2_MACS_peak_857_lociStitched	chr1(.):4846126-4847031	0.0533
1_MACS_peak_859_lociStitched	chr1(.):4860156-4860927	0.0938
1_MACS_peak_860_lociStitched	chr1(.):4968564-4968900	0.0552
1_MACS_peak_861_lociStitched	chr1(.):5036463-5037072	0.0131
2_MACS_peak_862_lociStitched	chr1(.):5045276-5046789	0.0908
1_MACS_peak_864_lociStitched	chr1(.):5172673-5173014	0.0813
1_MACS_peak_865_lociStitched	chr1(.):5191313-5191607	0.0688
1_MACS_peak_866_lociStitched	chr1(.):5203039-5203367	0.0381
1_MACS_peak_867_lociStitched	chr1(.):5287093-5287616	0.108
1_MACS_peak_868_lociStitched	chr1(.):5326445-5326867	0.0331
2_MACS_peak_869_lociStitched	chr1(.):5328387-5329797	0.0602
1_MACS_peak_871_lociStitched	chr1(.):5333428-5333824	0.0779
2_MACS_peak_872_lociStitched	chr1(.):5336038-5337573	0.0621
1_MACS_peak_874_lociStitched	chr1(.):5367078-5367727	0.0181
1_MACS_peak_875_lociStitched	chr1(.):5369816-5371282	0.0544
1_MACS_peak_876_lociStitched	chr1(.):5372914-5373255	0.1042
1_MACS_peak_877_lociStitched	chr1(.):5440385-5440704	0.0522
1_MACS_peak_878_lociStitched	chr1(.):5443006-5443707	0.0716
1_MACS_peak_879_lociStitched	chr1(.):5447965-5448409	0.0577
1_MACS_peak_880_lociStitched	chr1(.):5449800-5450470	0.0878
1_MACS_peak_881_lociStitched	chr1(.):5463293-5463743	0.038
3_MACS_peak_882_lociStitched	chr1(.):5474649-5475971	0.0386
2_MACS_peak_885_lociStitched	chr1(.):5481599-5483347	0.0954
1_MACS_peak_887_lociStitched	chr1(.):5485620-5485949	0.043
8_MACS_peak_888_lociStitched	chr1(.):5486988-5493335	0.0583
1_MACS_peak_896_lociStitched	chr1(.):5494379-5494903	0.0487
1_MACS_peak_897_lociStitched	chr1(.):5502285-5502620	0.0582
2_MACS_peak_898_lociStitched	chr1(.):5507801-5508689	0.0311
2_MACS_peak_900_lociStitched	chr1(.):5511245-5512928	0.0353
1_MACS_peak_902_lociStitched	chr1(.):5516313-5516831	0.0478
1_MACS_peak_903_lociStitched	chr1(.):5519673-5520013	0.0
2_MACS_peak_904_lociStitched	chr1(.):5523488-5525523	0.0433
1_MACS_peak_906_lociStitched	chr1(.):5529180-5529619	0.0939
3_MACS_peak_907_lociStitched	chr1(.):5531980-5533861	0.0606
11_MACS_peak_910_lociStitched	chr1(.):5535316-5547933	0.076
4_MACS_peak_921_lociStitched	chr1(.):5550761-5553974	0.0859
1_MACS_peak_925_lociStitched	chr1(.):5555582-5556865	0.0817
10_MACS_peak_926_lociStitched	chr1(.):5561400-5574421	0.0887
1_MACS_peak_936_lociStitched	chr1(.):5575449-5576104	0.1079
3_MACS_peak_937_lociStitched	chr1(.):5583630-5588642	0.0695
2_MACS_peak_940_lociStitched	chr1(.):5632153-5633342	0.0444
2_MACS_peak_942_lociStitched	chr1(.):5643188-5644798	0.075
1_MACS_peak_944_lociStitched	chr1(.):5645951-5646342	0.0505
4_MACS_peak_945_lociStitched	chr1(.):5655837-5658556	0.0557
1_MACS_peak_949_lociStitched	chr1(.):5660168-5661719	0.1024
5_MACS_peak_950_lociStitched	chr1(.):5674293-5678891	0.0917
2_MACS_peak_955_lociStitched	chr1(.):5680985-5682127	0.1114
1_MACS_peak_957_lociStitched	chr1(.):5684298-5684637	0.0224
1_MACS_peak_958_lociStitched	chr1(.):5691979-5692457	0.0939
1_MACS_peak_959_lociStitched	chr1(.):5693584-5693942	0.1075
1_MACS_peak_960_lociStitched	chr1(.):5703877-5705339	0.0648
1_MACS_peak_961_lociStitched	chr1(.):5706914-5707295	0.0529
3_MACS_peak_962_lociStitched	chr1(.):5709124-5712987	0.0944
1_MACS_peak_965_lociStitched	chr1(.):5719737-5720042	0.0607
2_MACS_peak_966_lociStitched	chr1(.):5721350-5722784	0.0538
2_MACS_peak_973_lociStitched	chr1(.):5744031-5745246	0.0428
1_MACS_peak_975_lociStitched	chr1(.):5749011-5749699	0.039
2_MACS_peak_976_lociStitched	chr1(.):5750724-5753400	0.0611
2_MACS_peak_978_lociStitched	chr1(.):5757648-5759261	0.0545
3_MACS_peak_980_lociStitched	chr1(.):5762990-5765812	0.0675
5_MACS_peak_983_lociStitched	chr1(.):5766897-5773754	0.0698
3_MACS_peak_988_lociStitched	chr1(.):5776625-5782325	0.0652
7_MACS_peak_991_lociStitched	chr1(.):5784161-5790790	0.0748
1_MACS_peak_998_lociStitched	chr1(.):5793791-5794383	0.0404
9_MACS_peak_999_lociStitched	chr1(.):5799124-5819183	0.0812
5_MACS_peak_1008_lociStitched	chr1(.):5824114-5836618	0.0601
1_MACS_peak_1013_lociStitched	chr1(.):5845320-5845829	0.086
1_MACS_peak_1014_lociStitched	chr1(.):5847127-5847522	0.082
1_MACS_peak_1015_lociStitched	chr1(.):5849008-5849314	0.0467
1_MACS_peak_1016_lociStitched	chr1(.):5856602-5859119	0.0774
1_MACS_peak_1017_lociStitched	chr1(.):5866834-5867161	0.0918
8_MACS_peak_1018_lociStitched	chr1(.):5868166-5875762	0.0681
2_MACS_peak_1026_lociStitched	chr1(.):5878644-5880895	0.0811
1_MACS_peak_1028_lociStitched	chr1(.):5881962-5883928	0.0991
3_MACS_peak_1029_lociStitched	chr1(.):5886456-5889750	0.0975
10_MACS_peak_1032_lociStitched	chr1(.):5892616-5913140	0.0758
4_MACS_peak_1042_lociStitched	chr1(.):6160501-6166322	0.0838
3_MACS_peak_1046_lociStitched	chr1(.):6168700-6175637	0.0766
1_MACS_peak_1049_lociStitched	chr1(.):6177624-6178339	0.1616
10_MACS_peak_1050_lociStitched	chr1(.):6180544-6234075	0.0856
3_MACS_peak_1060_lociStitched	chr1(.):6236035-6242110	0.0939
5_MACS_peak_1063_lociStitched	chr1(.):6265560-6271198	0.0924
1_MACS_peak_1068_lociStitched	chr1(.):6273612-6274116	0.0852
1_MACS_peak_1069_lociStitched	chr1(.):6275384-6276700	0.0861
6_MACS_peak_1070_lociStitched	chr1(.):6299151-6322800	0.0913
3_MACS_peak_1076_lociStitched	chr1(.):6461067-6463307	0.0931
2_MACS_peak_1079_lociStitched	chr1(.):6465107-6466553	0.0927
1_MACS_peak_1081_lociStitched	chr1(.):6467676-6468456	0.0878
2_MACS_peak_1082_lociStitched	chr1(.):6470718-6471790	0.1103
7_MACS_peak_1084_lociStitched	chr1(.):6473523-6530221	0.1016
1_MACS_peak_1091_lociStitched	chr1(.):6532667-6534744	0.0671
4_MACS_peak_1092_lociStitched	chr1(.):6536132-6548728	0.101
3_MACS_peak_1096_lociStitched	chr1(.):6554376-6573963	0.1034
5_MACS_peak_1099_lociStitched	chr1(.):6621828-6629011	0.0956
1_MACS_peak_1104_lociStitched	chr1(.):6630394-6631425	0.1427
1_MACS_peak_1105_lociStitched	chr1(.):6632746-6633133	0.071
1_MACS_peak_1106_lociStitched	chr1(.):6766831-6769668	0.1347
2_MACS_peak_1107_lociStitched	chr1(.):6771494-6774546	0.0837
3_MACS_peak_1109_lociStitched	chr1(.):6775612-6779923	0.0853
3_MACS_peak_1112_lociStitched	chr1(.):6782350-6787009	0.0864
6_MACS_peak_1115_lociStitched	chr1(.):6790577-6797035	0.103
2_MACS_peak_1121_lociStitched	chr1(.):6798066-6798814	0.0508
1_MACS_peak_1123_lociStitched	chr1(.):6800030-6800613	0.0266
2_MACS_peak_1124_lociStitched	chr1(.):6809255-6810249	0.0758
1_MACS_peak_1126_lociStitched	chr1(.):6813223-6813539	0.0913
1_MACS_peak_1127_lociStitched	chr1(.):6816092-6816400	0.0
1_MACS_peak_1128_lociStitched	chr1(.):6817679-6818448	0.0967
1_MACS_peak_1129_lociStitched	chr1(.):6819585-6819914	0.0909
2_MACS_peak_1130_lociStitched	chr1(.):6821440-6822848	0.095
1_MACS_peak_1132_lociStitched	chr1(.):7015344-7015645	0.0366
2_MACS_peak_1133_lociStitched	chr1(.):7019649-7020774	0.1062
2_MACS_peak_1135_lociStitched	chr1(.):7024106-7025670	0.0863
1_MACS_peak_1137_lociStitched	chr1(.):7033627-7033976	0.0178
1_MACS_peak_1138_lociStitched	chr1(.):7035669-7036806	0.1259
1_MACS_peak_1139_lociStitched	chr1(.):7042122-7042426	0.029
2_MACS_peak_1140_lociStitched	chr1(.):7047853-7049445	0.0387
1_MACS_peak_1142_lociStitched	chr1(.):7060636-7060936	0.0665
3_MACS_peak_1143_lociStitched	chr1(.):7066908-7072526	0.1023
1_MACS_peak_1146_lociStitched	chr1(.):7078287-7078579	0.0327
3_MACS_peak_1147_lociStitched	chr1(.):7079853-7082874	0.0817
1_MACS_peak_1150_lociStitched	chr1(.):7086764-7087211	0.0899
8_MACS_peak_1151_lociStitched	chr1(.):7101707-7115215	0.0739
6_MACS_peak_1159_lociStitched	chr1(.):7116826-7124215	0.0772
4_MACS_peak_1165_lociStitched	chr1(.):7126851-7132169	0.0824
11_MACS_peak_1169_lociStitched	chr1(.):7144263-7161799	0.0791
1_MACS_peak_1180_lociStitched	chr1(.):7165564-7166829	0.0765
2_MACS_peak_1181_lociStitched	chr1(.):7169729-7170885	0.0708
1_MACS_peak_1183_lociStitched	chr1(.):7172484-7172838	0.0924
1_MACS_peak_1184_lociStitched	chr1(.):7174559-7175619	0.0665
2_MACS_peak_1185_lociStitched	chr1(.):7177345-7178501	0.0752
1_MACS_peak_1187_lociStitched	chr1(.):7180426-7180776	0.1101
3_MACS_peak_1188_lociStitched	chr1(.):7182400-7185158	0.0734
2_MACS_peak_1191_lociStitched	chr1(.):7186491-7188450	0.059
1_MACS_peak_1193_lociStitched	chr1(.):7196259-7196547	0.0926
1_MACS_peak_1194_lociStitched	chr1(.):7201899-7202296	0.0593
2_MACS_peak_1195_lociStitched	chr1(.):7204580-7205304	0.0685
4_MACS_peak_1197_lociStitched	chr1(.):7209469-7215297	0.1015
1_MACS_peak_1201_lociStitched	chr1(.):7218168-7218547	0.0387
1_MACS_peak_1202_lociStitched	chr1(.):7223404-7223858	0.0435
4_MACS_peak_1203_lociStitched	chr1(.):7231612-7236543	0.0744
1_MACS_peak_1207_lociStitched	chr1(.):7252121-7253210	0.0602
2_MACS_peak_1208_lociStitched	chr1(.):7257517-7259484	0.0646
2_MACS_peak_1210_lociStitched	chr1(.):7275507-7276528	0.0828
8_MACS_peak_1212_lociStitched	chr1(.):7279612-7298896	0.0774
4_MACS_peak_1220_lociStitched	chr1(.):7306021-7309223	0.0547
5_MACS_peak_1224_lociStitched	chr1(.):7310238-7315314	0.0651
4_MACS_peak_1229_lociStitched	chr1(.):7321583-7325263	0.1004
1_MACS_peak_1233_lociStitched	chr1(.):7339862-7340318	0.0308
5_MACS_peak_1234_lociStitched	chr1(.):7349830-7355111	0.0785
1_MACS_peak_1239_lociStitched	chr1(.):7356837-7357178	0.1132
4_MACS_peak_1240_lociStitched	chr1(.):7359544-7362420	0.0617
1_MACS_peak_1244_lociStitched	chr1(.):7386313-7386817	0.1245
1_MACS_peak_1245_lociStitched	chr1(.):7390671-7391616	0.0322
5_MACS_peak_1246_lociStitched	chr1(.):7392751-7396858	0.0959
1_MACS_peak_1251_lociStitched	chr1(.):7404279-7404600	0.0371
5_MACS_peak_1252_lociStitched	chr1(.):7405940-7414392	0.078
1_MACS_peak_1257_lociStitched	chr1(.):7415984-7416517	0.0365
1_MACS_peak_1258_lociStitched	chr1(.):7417803-7418112	0.027
1_MACS_peak_1259_lociStitched	chr1(.):7426294-7426651	0.0304
7_MACS_peak_1260_lociStitched	chr1(.):7432291-7440252	0.064
1_MACS_peak_1267_lociStitched	chr1(.):7441946-7442494	0.0225
3_MACS_peak_1268_lociStitched	chr1(.):7444236-7446893	0.0597
1_MACS_peak_1271_lociStitched	chr1(.):7447938-7449204	0.0645
1_MACS_peak_1272_lociStitched	chr1(.):7450248-7450591	0.0685
1_MACS_peak_1273_lociStitched	chr1(.):7464313-7464663	0.078
2_MACS_peak_1274_lociStitched	chr1(.):7465846-7466999	0.0839
1_MACS_peak_1276_lociStitched	chr1(.):7468508-7468804	0.0252
2_MACS_peak_1277_lociStitched	chr1(.):7478494-7480527	0.0455
1_MACS_peak_1279_lociStitched	chr1(.):7481703-7482109	0.023
3_MACS_peak_1280_lociStitched	chr1(.):7483808-7486304	0.0699
1_MACS_peak_1283_lociStitched	chr1(.):7488651-7489033	0.1125
3_MACS_peak_1284_lociStitched	chr1(.):7491602-7493682	0.0962
3_MACS_peak_1287_lociStitched	chr1(.):7495247-7502534	0.075
1_MACS_peak_1290_lociStitched	chr1(.):7505431-7506046	0.1131
