GENE_ID	locusLine	bin_1_05_0EWR_0229Kronos_MM1S-KB-3hr-1_H3K18Ac_hs-dm_i07.bam
2_MACS_peak_199_lociStitched	chr1(.):14500906-14508958	0.8855
1_MACS_peak_201_lociStitched	chr1(.):14687069-14688550	0.6462
1_MACS_peak_202_lociStitched	chr1(.):14695353-14697333	1.0084
1_MACS_peak_203_lociStitched	chr1(.):15059076-15060470	0.6197
1_MACS_peak_204_lociStitched	chr1(.):15150289-15151852	0.6006
1_MACS_peak_205_lociStitched	chr1(.):15160772-15164649	4.1789
2_MACS_peak_206_lociStitched	chr1(.):15202514-15209469	0.5757
1_MACS_peak_208_lociStitched	chr1(.):15251036-15251724	0.4432
2_MACS_peak_209_lociStitched	chr1(.):15479918-15483809	0.4492
3_MACS_peak_211_lociStitched	chr1(.):15500353-15506506	0.764
1_MACS_peak_214_lociStitched	chr1(.):15545541-15546858	0.5647
1_MACS_peak_215_lociStitched	chr1(.):15557510-15559183	0.5733
1_MACS_peak_216_lociStitched	chr1(.):15574651-15576059	0.7072
2_MACS_peak_217_lociStitched	chr1(.):15583939-15588671	0.5141
1_MACS_peak_219_lociStitched	chr1(.):15623525-15624391	0.5385
1_MACS_peak_220_lociStitched	chr1(.):15688648-15689812	0.5906
1_MACS_peak_221_lociStitched	chr1(.):15710346-15711540	0.5124
1_MACS_peak_222_lociStitched	chr1(.):15735501-15737335	1.0823
2_MACS_peak_223_lociStitched	chr1(.):15850195-15854311	0.8169
3_MACS_peak_225_lociStitched	chr1(.):15897199-15912192	0.8221
1_MACS_peak_228_lociStitched	chr1(.):15942755-15945444	1.3197
1_MACS_peak_229_lociStitched	chr1(.):16009836-16011961	1.6477
1_MACS_peak_230_lociStitched	chr1(.):16022988-16024711	1.1178
1_MACS_peak_231_lociStitched	chr1(.):16160045-16163518	5.4455
2_MACS_peak_232_lociStitched	chr1(.):16173165-16178889	1.466
1_MACS_peak_234_lociStitched	chr1(.):16301729-16303281	1.0263
2_MACS_peak_235_lociStitched	chr1(.):16399881-16406185	0.2871
2_MACS_peak_237_lociStitched	chr1(.):16532449-16534203	0.7954
1_MACS_peak_239_lociStitched	chr1(.):16562484-16564368	1.2313
1_MACS_peak_240_lociStitched	chr1(.):16677609-16679845	1.5146
1_MACS_peak_241_lociStitched	chr1(.):16692779-16695428	2.1926
1_MACS_peak_242_lociStitched	chr1(.):16766619-16771476	1.3391
2_MACS_peak_243_lociStitched	chr1(.):16824942-16833219	0.3632
1_MACS_peak_246_lociStitched	chr1(.):16938819-16940972	2.1605
1_MACS_peak_247_lociStitched	chr1(.):16969745-16972558	6.0346
1_MACS_peak_248_lociStitched	chr1(.):16992069-16994738	14.689
1_MACS_peak_249_lociStitched	chr1(.):17011878-17013099	0.6044
1_MACS_peak_250_lociStitched	chr1(.):17022807-17023871	0.7411
2_MACS_peak_251_lociStitched	chr1(.):17065678-17075470	4.1537
4_MACS_peak_253_lociStitched	chr1(.):17221336-17241677	3.2222
1_MACS_peak_257_lociStitched	chr1(.):17286820-17288030	1.0034
1_MACS_peak_258_lociStitched	chr1(.):17337491-17338687	0.5871
1_MACS_peak_259_lociStitched	chr1(.):17379492-17381345	1.004
1_MACS_peak_260_lociStitched	chr1(.):17719639-17720583	0.5138
2_MACS_peak_261_lociStitched	chr1(.):17763448-17768978	1.0788
1_MACS_peak_263_lociStitched	chr1(.):17786830-17788497	0.8879
1_MACS_peak_264_lociStitched	chr1(.):19228216-19230208	2.1181
1_MACS_peak_265_lociStitched	chr1(.):19252315-19255153	3.3236
2_MACS_peak_266_lociStitched	chr1(.):19276624-19283991	0.6157
1_MACS_peak_268_lociStitched	chr1(.):19535457-19538161	1.5714
1_MACS_peak_269_lociStitched	chr1(.):19577366-19579091	3.2152
1_MACS_peak_270_lociStitched	chr1(.):19637597-19639683	2.4582
2_MACS_peak_271_lociStitched	chr1(.):19811020-19813348	1.429
1_MACS_peak_273_lociStitched	chr1(.):19821780-19823001	0.7098
1_MACS_peak_274_lociStitched	chr1(.):19922289-19924492	2.389
1_MACS_peak_275_lociStitched	chr1(.):20084841-20086384	0.7234
1_MACS_peak_276_lociStitched	chr1(.):20125385-20127520	2.006
1_MACS_peak_277_lociStitched	chr1(.):20142127-20143262	0.5534
1_MACS_peak_278_lociStitched	chr1(.):20208420-20209858	1.2891
2_MACS_peak_279_lociStitched	chr1(.):20404086-20408544	0.604
1_MACS_peak_281_lociStitched	chr1(.):20415668-20416762	0.78
1_MACS_peak_282_lociStitched	chr1(.):20445565-20446918	0.5134
2_MACS_peak_283_lociStitched	chr1(.):20833677-20839292	0.5219
1_MACS_peak_285_lociStitched	chr1(.):20959608-20961376	0.7574
1_MACS_peak_286_lociStitched	chr1(.):20986817-20988974	1.6441
1_MACS_peak_287_lociStitched	chr1(.):21022822-21023831	0.5832
1_MACS_peak_288_lociStitched	chr1(.):21058703-21060747	0.9602
1_MACS_peak_289_lociStitched	chr1(.):21111755-21114936	2.2685
1_MACS_peak_290_lociStitched	chr1(.):21290595-21292053	0.7446
1_MACS_peak_291_lociStitched	chr1(.):21348017-21350001	1.5841
1_MACS_peak_292_lociStitched	chr1(.):21501888-21504109	1.1453
1_MACS_peak_293_lociStitched	chr1(.):21615476-21622676	3.3168
1_MACS_peak_294_lociStitched	chr1(.):21660044-21661707	1.5685
1_MACS_peak_295_lociStitched	chr1(.):21670847-21673002	1.1119
1_MACS_peak_296_lociStitched	chr1(.):21765854-21767471	0.8747
1_MACS_peak_297_lociStitched	chr1(.):22026582-22027630	0.5417
1_MACS_peak_298_lociStitched	chr1(.):22107549-22110727	4.1644
1_MACS_peak_299_lociStitched	chr1(.):22117373-22119383	1.5615
1_MACS_peak_300_lociStitched	chr1(.):22191324-22194983	1.67
1_MACS_peak_301_lociStitched	chr1(.):22263868-22264641	1.0106
2_MACS_peak_302_lociStitched	chr1(.):22345020-22353476	1.4076
1_MACS_peak_304_lociStitched	chr1(.):22365701-22367349	1.1092
1_MACS_peak_305_lociStitched	chr1(.):22378386-22380499	1.6591
1_MACS_peak_306_lociStitched	chr1(.):22444635-22446333	0.5717
1_MACS_peak_307_lociStitched	chr1(.):22489100-22490535	0.9217
1_MACS_peak_308_lociStitched	chr1(.):22777566-22779680	1.348
1_MACS_peak_309_lociStitched	chr1(.):22820208-22823866	1.1478
1_MACS_peak_310_lociStitched	chr1(.):22833887-22835892	0.7222
1_MACS_peak_311_lociStitched	chr1(.):23345367-23346870	0.9084
1_MACS_peak_312_lociStitched	chr1(.):23494637-23495497	0.5994
2_MACS_peak_313_lociStitched	chr1(.):23668351-23671970	2.3109
1_MACS_peak_315_lociStitched	chr1(.):23694011-23696589	1.7052
1_MACS_peak_316_lociStitched	chr1(.):23823450-23824394	0.6769
3_MACS_peak_317_lociStitched	chr1(.):23850189-23866831	2.6935
2_MACS_peak_320_lociStitched	chr1(.):23880414-23886860	0.8675
1_MACS_peak_322_lociStitched	chr1(.):23903176-23904639	0.4548
1_MACS_peak_323_lociStitched	chr1(.):23918592-23921322	0.8642
3_MACS_peak_324_lociStitched	chr1(.):23937636-23954623	0.8041
1_MACS_peak_327_lociStitched	chr1(.):24017887-24019389	2.1443
1_MACS_peak_328_lociStitched	chr1(.):24069125-24071724	1.4565
1_MACS_peak_329_lociStitched	chr1(.):24104034-24105766	1.1762
1_MACS_peak_330_lociStitched	chr1(.):24116814-24118512	0.9582
1_MACS_peak_331_lociStitched	chr1(.):24125845-24128142	1.2822
1_MACS_peak_332_lociStitched	chr1(.):24151176-24152995	1.553
1_MACS_peak_333_lociStitched	chr1(.):24181294-24182581	0.8553
1_MACS_peak_334_lociStitched	chr1(.):24193634-24195003	0.7725
1_MACS_peak_335_lociStitched	chr1(.):24246049-24247393	0.8366
2_MACS_peak_336_lociStitched	chr1(.):24281087-24287794	1.8836
1_MACS_peak_338_lociStitched	chr1(.):24305435-24307840	3.8845
2_MACS_peak_339_lociStitched	chr1(.):24468699-24478974	0.5082
3_MACS_peak_341_lociStitched	chr1(.):24511971-24533891	2.575
1_MACS_peak_344_lociStitched	chr1(.):24645168-24650541	2.2165
1_MACS_peak_345_lociStitched	chr1(.):24676964-24678418	0.5097
3_MACS_peak_346_lociStitched	chr1(.):24710072-24720490	1.1428
2_MACS_peak_349_lociStitched	chr1(.):24739412-24743796	0.8878
1_MACS_peak_351_lociStitched	chr1(.):24807495-24808807	0.5583
1_MACS_peak_352_lociStitched	chr1(.):24827143-24830347	1.4138
1_MACS_peak_353_lociStitched	chr1(.):24861067-24862369	0.9201
2_MACS_peak_354_lociStitched	chr1(.):24882270-24885242	0.6203
1_MACS_peak_356_lociStitched	chr1(.):24967958-24971287	2.7344
1_MACS_peak_357_lociStitched	chr1(.):25020262-25021745	0.5957
1_MACS_peak_358_lociStitched	chr1(.):25053267-25054998	0.8629
2_MACS_peak_359_lociStitched	chr1(.):25069500-25076336	1.6168
1_MACS_peak_361_lociStitched	chr1(.):25174440-25175663	0.8591
1_MACS_peak_362_lociStitched	chr1(.):25254274-25257650	2.1306
1_MACS_peak_363_lociStitched	chr1(.):25290791-25292905	1.6992
3_MACS_peak_364_lociStitched	chr1(.):25347199-25364598	1.2046
4_MACS_peak_367_lociStitched	chr1(.):25558211-25574892	0.7309
1_MACS_peak_371_lociStitched	chr1(.):25592693-25595108	2.1756
1_MACS_peak_372_lociStitched	chr1(.):25663333-25665854	2.6081
1_MACS_peak_373_lociStitched	chr1(.):25755992-25758467	1.2453
1_MACS_peak_374_lociStitched	chr1(.):25798713-25799968	0.4974
2_MACS_peak_375_lociStitched	chr1(.):25869466-25879236	1.6997
1_MACS_peak_377_lociStitched	chr1(.):25887763-25890260	1.5059
1_MACS_peak_378_lociStitched	chr1(.):25926136-25927536	0.5134
2_MACS_peak_379_lociStitched	chr1(.):25942066-25949196	1.2221
1_MACS_peak_381_lociStitched	chr1(.):25958188-25959259	0.7312
1_MACS_peak_382_lociStitched	chr1(.):25967308-25970833	2.4096
1_MACS_peak_383_lociStitched	chr1(.):26001197-26003528	1.0829
2_MACS_peak_384_lociStitched	chr1(.):26126079-26127519	0.6211
1_MACS_peak_386_lociStitched	chr1(.):26145597-26148176	1.6308
1_MACS_peak_387_lociStitched	chr1(.):26185089-26186287	0.8548
1_MACS_peak_388_lociStitched	chr1(.):26201372-26202357	0.5289
1_MACS_peak_389_lociStitched	chr1(.):26231145-26233333	1.8429
1_MACS_peak_390_lociStitched	chr1(.):26323030-26325486	1.2961
1_MACS_peak_391_lociStitched	chr1(.):26361364-26362878	0.606
3_MACS_peak_392_lociStitched	chr1(.):26436747-26453974	0.6677
4_MACS_peak_395_lociStitched	chr1(.):26490577-26507015	0.2381
2_MACS_peak_399_lociStitched	chr1(.):26559757-26564633	0.8649
1_MACS_peak_401_lociStitched	chr1(.):26578480-26580194	0.6313
3_MACS_peak_402_lociStitched	chr1(.):26601885-26614733	0.5483
1_MACS_peak_405_lociStitched	chr1(.):26632114-26634808	2.0497
1_MACS_peak_406_lociStitched	chr1(.):26641628-26642816	0.5108
1_MACS_peak_407_lociStitched	chr1(.):26662406-26663832	0.6495
1_MACS_peak_408_lociStitched	chr1(.):26758026-26759624	0.8789
1_MACS_peak_409_lociStitched	chr1(.):26797899-26800603	3.5624
1_MACS_peak_410_lociStitched	chr1(.):26826267-26828597	4.2561
1_MACS_peak_411_lociStitched	chr1(.):26855934-26857275	0.8707
2_MACS_peak_412_lociStitched	chr1(.):26866026-26873230	0.9795
1_MACS_peak_414_lociStitched	chr1(.):26946044-26948729	5.4437
1_MACS_peak_415_lociStitched	chr1(.):27018306-27030866	2.594
3_MACS_peak_416_lociStitched	chr1(.):27061493-27072354	0.9429
1_MACS_peak_419_lociStitched	chr1(.):27112819-27116143	5.0893
1_MACS_peak_420_lociStitched	chr1(.):27126279-27127670	0.731
1_MACS_peak_421_lociStitched	chr1(.):27136479-27137400	0.5288
5_MACS_peak_422_lociStitched	chr1(.):27147142-27167135	0.6711
1_MACS_peak_427_lociStitched	chr1(.):27188478-27193335	2.9631
1_MACS_peak_428_lociStitched	chr1(.):27215830-27217411	1.511
1_MACS_peak_429_lociStitched	chr1(.):27225939-27227735	1.5008
1_MACS_peak_430_lociStitched	chr1(.):27247536-27249115	1.148
1_MACS_peak_431_lociStitched	chr1(.):27286154-27287659	1.1623
1_MACS_peak_432_lociStitched	chr1(.):27396388-27397997	0.6305
1_MACS_peak_433_lociStitched	chr1(.):27462980-27464300	0.6577
1_MACS_peak_434_lociStitched	chr1(.):27480960-27482568	1.2784
1_MACS_peak_435_lociStitched	chr1(.):27560180-27562577	0.7862
1_MACS_peak_436_lociStitched	chr1(.):27648106-27649776	1.3475
2_MACS_peak_437_lociStitched	chr1(.):27667513-27676821	0.3207
1_MACS_peak_439_lociStitched	chr1(.):27692728-27693870	0.9256
1_MACS_peak_440_lociStitched	chr1(.):27717949-27719887	0.8237
1_MACS_peak_441_lociStitched	chr1(.):27744233-27745805	0.8964
2_MACS_peak_442_lociStitched	chr1(.):27761403-27766053	0.7202
2_MACS_peak_444_lociStitched	chr1(.):27815010-27819224	1.9927
1_MACS_peak_446_lociStitched	chr1(.):27826408-27827261	0.5045
1_MACS_peak_447_lociStitched	chr1(.):27883238-27884225	0.6087
1_MACS_peak_448_lociStitched	chr1(.):27929686-27931071	0.6071
1_MACS_peak_449_lociStitched	chr1(.):27960225-27961420	0.6352
2_MACS_peak_450_lociStitched	chr1(.):27985211-27990111	0.6749
1_MACS_peak_452_lociStitched	chr1(.):28051493-28053648	0.8639
1_MACS_peak_453_lociStitched	chr1(.):28098719-28100635	0.7831
1_MACS_peak_454_lociStitched	chr1(.):28156317-28158214	1.7475
1_MACS_peak_455_lociStitched	chr1(.):28239932-28242015	1.958
1_MACS_peak_456_lociStitched	chr1(.):28285567-28287393	1.1275
2_MACS_peak_457_lociStitched	chr1(.):28353336-28362924	0.4695
1_MACS_peak_459_lociStitched	chr1(.):28396012-28397373	0.448
1_MACS_peak_460_lociStitched	chr1(.):28414004-28416163	1.099
1_MACS_peak_461_lociStitched	chr1(.):28474005-28475445	0.6805
2_MACS_peak_462_lociStitched	chr1(.):28495300-28499995	0.4404
2_MACS_peak_464_lociStitched	chr1(.):28558617-28563734	1.1209
1_MACS_peak_466_lociStitched	chr1(.):28570255-28577112	1.5496
1_MACS_peak_467_lociStitched	chr1(.):28584981-28587207	0.9578
1_MACS_peak_468_lociStitched	chr1(.):28654681-28656685	2.4297
1_MACS_peak_469_lociStitched	chr1(.):28695468-28697322	2.6589
1_MACS_peak_470_lociStitched	chr1(.):28763922-28765338	0.6237
1_MACS_peak_471_lociStitched	chr1(.):28831454-28836439	2.839
1_MACS_peak_472_lociStitched	chr1(.):28843691-28846188	1.909
1_MACS_peak_473_lociStitched	chr1(.):28878425-28880991	2.2782
2_MACS_peak_474_lociStitched	chr1(.):28906301-28914377	1.1812
1_MACS_peak_476_lociStitched	chr1(.):28924788-28929456	1.3302
1_MACS_peak_477_lociStitched	chr1(.):28957880-28959097	0.5482
2_MACS_peak_478_lociStitched	chr1(.):28968498-28976200	1.4347
2_MACS_peak_480_lociStitched	chr1(.):28994521-28996919	2.9152
1_MACS_peak_482_lociStitched	chr1(.):29062304-29064988	2.1279
1_MACS_peak_483_lociStitched	chr1(.):29101490-29102476	0.5236
2_MACS_peak_484_lociStitched	chr1(.):29210579-29215027	1.4756
1_MACS_peak_486_lociStitched	chr1(.):29240107-29242629	0.9103
1_MACS_peak_487_lociStitched	chr1(.):29252708-29255400	0.9291
1_MACS_peak_488_lociStitched	chr1(.):29506403-29509695	3.495
1_MACS_peak_489_lociStitched	chr1(.):29528554-29529798	0.7567
1_MACS_peak_490_lociStitched	chr1(.):29556728-29558160	0.7955
1_MACS_peak_491_lociStitched	chr1(.):29675949-29676995	0.6544
1_MACS_peak_492_lociStitched	chr1(.):30337171-30338295	0.4702
2_MACS_peak_493_lociStitched	chr1(.):30347477-30350527	0.5547
1_MACS_peak_495_lociStitched	chr1(.):30995697-30997215	0.6374
1_MACS_peak_496_lociStitched	chr1(.):31073050-31074051	0.4445
1_MACS_peak_497_lociStitched	chr1(.):31191483-31193036	1.2846
1_MACS_peak_498_lociStitched	chr1(.):31214210-31233610	3.1422
