GENE_ID	locusLine	bin_1_29_0F2F_0229Kronos_MM1S-KB-24hr-1_H3K27me3_hs-dm_i17.bam
NR_015434	chr1(.):1329909-1342426	0.0978
NM_001145210	chr1(.):1348799-1361650	0.5717
NM_001146685	chr1(.):1356507-1368167	0.9742
NM_017971	chr1(.):1332275-1347693	0.1314
NM_001039211	chr1(.):1380068-1410538	0.6795
NM_080875	chr1(.):1545794-1570990	0.2641
NM_006983	chr1(.):1562559-1575030	0.3814
NM_014188	chr1(.):1472052-1515262	0.1713
NR_002946	chr1(.):1563158-1575027	0.3939
NM_001114748	chr1(.):1465157-1480740	0.0676
NM_001170689	chr1(.):1546244-1570990	0.2663
NR_002946	chr1(.):1626377-1638247	0.2538
NM_002074	chr1(.):1711728-1827495	0.0659
NM_138705	chr1(.):1841265-1853733	0.7976
NM_178545	chr1(.):1844028-1855740	0.8675
NM_000815	chr1(.):1945767-1967192	1.5909
NM_001080484	chr1(.):1879751-1940276	1.1806
NM_001146310	chr1(.):2110898-2144172	0.8396
NM_182533	chr1(.):2115987-2131214	0.3898
NR_024445	chr1(.):2115481-2130024	0.3447
NM_007033	chr1(.):2318213-2341885	0.0742
NM_002617	chr1(.):2331240-2349010	0.1969
NR_024489	chr1(.):2276852-2289100	1.703
NM_024848	chr1(.):2247695-2327993	1.3998
NM_014638	chr1(.):2402753-2441964	1.032
NM_001010926	chr1(.):2455183-2466684	1.3739
NR_026927	chr1(.):2476358-2489284	0.2642
NM_018216	chr1(.):2434974-2463035	0.4176
NM_001195741	chr1(.):2513188-2527908	0.944
NR_036638	chr1(.):2512898-2527908	0.9538
NR_024371	chr1(.):2975635-2989289	0.9367
NR_015440	chr1(.):2971180-2989289	0.8734
NM_080431	chr1(.):2933045-2944467	0.9446
NR_036215	chr1(.):3039538-3049599	1.1821
NM_014448	chr1(.):3366146-3402677	1.2259
NR_030277	chr1(.):3472259-3482354	1.6009
NM_182752	chr1(.):3536555-3551694	0.1186
NR_033712	chr1(.):3647547-3668335	0.3279
NR_033708	chr1(.):3647547-3668937	0.3451
NM_005427	chr1(.):3564128-3655467	0.0846
NM_017818	chr1(.):3542330-3571671	0.1051
NM_020710	chr1(.):3691783-3718068	0.1685
NM_001163724	chr1(.):3684351-3697546	0.6507
NM_015557	chr1(.):6156846-6245194	1.2076
NM_207396	chr1(.):6261188-6286359	0.4677
NM_000983	chr1(.):6240079-6264679	0.1954
NM_181865	chr1(.):6319331-6425764	0.0971
NM_207370	chr1(.):6302405-6326035	1.2073
NM_001024598	chr1(.):6299251-6310638	1.4937
NM_020631	chr1(.):6521151-6556760	1.0486
NM_003790	chr1(.):6516213-6531255	1.5229
NM_001039664	chr1(.):6519170-6531255	1.4539
NM_019089	chr1(.):6470293-6484979	1.4379
NM_031475	chr1(.):6479847-6526004	1.7929
NM_001042665	chr1(.):6521151-6551014	1.0885
NM_001042664	chr1(.):6521151-6555640	1.0319
NR_036218	chr1(.):6484893-6494956	1.9004
NM_177540	chr1(.):6610337-6644817	0.4399
NM_024654	chr1(.):6576406-6619658	0.0901
NM_001010866	chr1(.):9643931-9670020	0.0902
NM_005026	chr1(.):9706789-9794172	0.6395
NR_027045	chr1(.):9707667-9719644	1.1528
NM_013319	chr1(.):11328254-11353491	0.0717
NM_020780	chr1(.):11534294-11602640	0.6383
NM_001127325	chr1(.):11729536-11756678	0.6621
NM_006341	chr1(.):11729536-11746271	0.2171
NM_018438	chr1(.):11719149-11739409	0.0982
NM_183412	chr1(.):11709431-11728384	0.2379
NM_012168	chr1(.):11703447-11719739	0.4245
NM_033182	chr1(.):11709913-11728384	0.2197
NM_198545	chr1(.):11746780-11785336	1.2703
NM_021736	chr1(.):11861206-11894360	0.0694
NM_005957	chr1(.):11840786-11871160	0.0975
NM_006172	chr1(.):11900766-11912840	0.173
NM_002521	chr1(.):11912520-11923992	1.0076
NM_000302	chr1(.):11989745-12040594	0.0708
NM_138346	chr1(.):11975122-11991480	0.0838
NM_003443	chr1(.):16263363-16307627	0.0794
NM_001165945	chr1(.):16370283-16388803	1.6119
NM_001042704	chr1(.):16343485-16365545	1.5874
NM_178840	chr1(.):16325730-16338184	0.6824
NM_000085	chr1(.):16365246-16388803	1.6623
NM_014424	chr1(.):16335522-16350285	1.2941
NM_182623	chr1(.):16379263-16405127	1.171
NM_004431	chr1(.):16445831-16487582	1.335
NM_030907	chr1(.):16553181-16568659	0.1255
NM_153213	chr1(.):16519598-16544104	0.254
NR_037446	chr1(.):16870408-16880482	0.8349
NR_023386	chr1(.):16788930-16824196	0.1694
NR_037446	chr1(.):17002749-17012823	0.8463
NR_027504	chr1(.):16967068-16981915	0.7692
NR_002729	chr1(.):17076400-17095975	1.3011
NR_037446	chr1(.):17180443-17190516	0.7137
NM_014675	chr1(.):17243444-17304474	0.1209
NM_003000	chr1(.):17340224-17385665	0.1778
NM_012387	chr1(.):17629689-17695495	1.0148
NM_016233	chr1(.):17570592-17615727	1.1023
NM_207421	chr1(.):17693740-17733195	0.8878
NM_001136204	chr1(.):17728250-17770057	0.0944
NM_018715	chr1(.):17728250-17771220	0.0944
NM_001161504	chr1(.):19192923-19222385	0.2787
NM_170726	chr1(.):19192923-19234293	0.2259
NM_152232	chr1(.):19161092-19191155	1.0006
NM_152376	chr1(.):20507577-20524942	0.8321
NM_001105572	chr1(.):20485483-20506687	0.6716
NM_001039500	chr1(.):20612411-20686387	0.8627
NM_018584	chr1(.):20803883-20817728	1.2602
NM_024544	chr1(.):20820940-20839674	0.1239
NM_001785	chr1(.):20910443-20950400	0.4536
NM_207334	chr1(.):20873931-20886513	1.0564
NM_001122819	chr1(.):20985506-21049317	1.0782
NM_005216	chr1(.):20973259-20993037	0.1314
NM_001103161	chr1(.):21041224-21064133	1.3243
NM_002885	chr1(.):21917707-22000856	1.0078
NM_001145658	chr1(.):21917707-21983348	1.1108
NM_020526	chr1(.):22885003-22935087	1.2303
NM_001006943	chr1(.):22885003-22921112	1.2389
NM_001114101	chr1(.):22965117-22979603	0.9162
NM_015991	chr1(.):22958117-22971175	0.8338
NM_000491	chr1(.):22974681-22993029	0.978
NR_036214	chr1(.):23184651-23194719	0.9939
NM_001024732	chr1(.):29514384-29562454	0.1313
NM_006762	chr1(.):31200314-31235683	0.1129
NM_001525	chr1(.):32078300-32097919	0.1666
NR_033688	chr1(.):32090462-32115218	0.0666
NM_012392	chr1(.):32090462-32115838	0.0686
NM_001856	chr1(.):32112847-32174768	0.916
NM_005227	chr1(.):155031212-155047029	0.258
NM_207196	chr1(.):155018761-155040252	0.1494
NM_001143687	chr1(.):155001281-155028406	0.3074
NM_144622	chr1(.):154986002-155011257	0.3395
NM_018973	chr1(.):155107366-155117883	0.8306
NM_153741	chr1(.):155107366-155117996	0.8393
NM_173852	chr1(.):155136883-155150804	0.6018
NM_004428	chr1(.):155095348-155112386	1.4363
NM_001122837	chr1(.):155103287-155116334	0.7077
NM_025058	chr1(.):155141359-155162445	0.8145
NR_026549	chr1(.):156334002-156360011	0.9071
NM_006365	chr1(.):156369054-156404184	1.3971
NR_029691	chr1(.):156385132-156395221	1.3593
NM_198427	chr1(.):156606739-156628264	0.1831
NM_001105669	chr1(.):156544518-156561562	0.2755
NM_144772	chr1(.):156556557-156569091	0.1383
NM_015590	chr1(.):156559279-156576270	0.1778
NM_021817	chr1(.):156584085-156600517	1.5247
NM_004494	chr1(.):156706898-156726543	0.1476
NM_001126051	chr1(.):156706898-156727024	0.1476
NM_001126050	chr1(.):156706898-156727240	0.1492
NM_030980	chr1(.):156687412-156702705	0.1181
NM_001878	chr1(.):156664407-156680375	1.5959
NM_001142560	chr1(.):156693262-156711752	0.1137
NM_145729	chr1(.):156702093-156715923	0.1144
NM_006617	chr1(.):156633555-156652189	1.1911
NM_001012331	chr1(.):156825670-156856642	1.5609
NM_003975	chr1(.):156771034-156791640	0.254
NM_001080471	chr1(.):156858522-156891226	1.6628
NM_014215	chr1(.):156805664-156833666	1.4743
NM_001161443	chr1(.):156771034-156790939	0.2585
NM_001007792	chr1(.):156780541-156856642	1.087
NR_030527	chr1(.):156900922-156911036	0.1182
NM_001766	chr1(.):158144736-158161216	1.1669
NR_033946	chr1(.):158096833-158115430	0.4129
NM_000299	chr1(.):201247579-201307121	0.8512
NM_001001432	chr1(.):201323141-201351805	1.4858
NM_003281	chr1(.):201367894-201395874	0.9903
NM_005558	chr1(.):201344965-201373669	1.2731
NM_080588	chr1(.):202111142-202134119	0.1259
NR_002930	chr1(.):202132178-202163577	0.8358
NM_002832	chr1(.):202111142-202134751	0.1256
NM_001160331	chr1(.):204908353-204996950	0.7956
NM_203376	chr1(.):205047256-205058588	0.0822
NM_005076	chr1(.):205007339-205052138	0.7594
NR_002834	chr1(.):228775656-228793159	0.6151
NM_194248	chr2(.):26675070-26786566	0.645
NM_005876	chr2(.):220294699-220363354	1.3231
NM_001029881	chr2(.):26799072-26869211	0.9793
NM_001105519	chr2(.):26780480-26807395	1.5507
NR_015390	chr2(.):219836005-219847644	0.773
NM_002181	chr2(.):219914141-219930238	0.8486
NM_057093	chr2(.):219849911-219863127	1.5056
NR_029867	chr2(.):219861366-219871430	1.4678
NM_152389	chr2(.):219893413-219911245	0.9564
NM_194302	chr2(.):219862575-219911245	1.0542
NM_003936	chr2(.):219819397-219831877	0.7618
NM_005209	chr2(.):219849911-219863121	1.5058
NM_017521	chr2(.):219840808-219855379	1.4477
NR_036081	chr2(.):219918409-219928472	1.0729
NM_012100	chr2(.):220233179-220257662	0.0887
NM_001173476	chr2(.):220320533-220336584	0.9607
NM_001927	chr2(.):220278098-220296461	0.5339
NM_013335	chr2(.):220358586-220376718	0.6596
NM_001005209	chr2(.):220403744-220420317	0.2652
NM_018674	chr2(.):220373891-220408494	1.1881
NM_015311	chr2(.):220410449-220441268	0.8938
NM_205847	chr2(.):220358616-220376718	0.6565
NM_024536	chr2(.):220398668-220413487	0.2338
NM_002191	chr2(.):220431953-220445427	0.7148
NR_036082	chr2(.):220408794-220418869	0.239
NM_001195731	chr2(.):220398668-220412819	0.244
NM_003549	chr3(.):50325261-50341899	0.0765
NM_001165035	chr3(.):13605239-13684922	0.8777
NM_001998	chr3(.):13585624-13684922	0.8741
NR_027103	chr3(.):13687220-13793132	0.4813
NM_000094	chr3(.):48596505-48637593	0.9622
NM_004186	chr3(.):50187847-50231508	1.1765
NM_001174051	chr3(.):50395230-50545892	0.9896
NM_001134231	chr3(.):52553384-52572793	0.2228
NM_022908	chr3(.):52553384-52574093	0.2133
NM_004443	chr3(.):184274586-184305196	1.7756
NR_002582	chr3(.):12876810-12886949	0.117
NM_001007073	chr3(.):12871443-12888081	0.0943
NM_004567	chr3(.):48550116-48599227	0.2101
NR_031756	chr3(.):48611334-48621410	1.0816
NM_033199	chr3(.):48594150-48606201	0.5421
NM_001008269	chr3(.):48653274-48664189	0.1676
NM_022911	chr3(.):48658155-48677926	0.1584
NM_001040454	chr3(.):48658155-48676279	0.0962
NM_003365	chr3(.):48631431-48652098	0.2245
NM_001166425	chr3(.):50279325-50301786	0.1245
NM_006841	chr3(.):50237691-50263406	1.4162
NM_153215	chr3(.):50311517-50330545	0.5703
NM_006764	chr3(.):50320162-50335026	0.0928
NM_002070	chr3(.):50268646-50301786	0.1104
NM_004636	chr3(.):50300039-50319572	1.2846
NM_000172	chr3(.):50224042-50240129	1.3526
NM_153282	chr3(.):50332319-50346004	0.078
NM_153281	chr3(.):50332319-50354812	0.076
NM_007275	chr3(.):50357340-50370668	0.0785
NM_012191	chr3(.):50328832-50341712	0.0786
NM_003773	chr3(.):50350220-50365281	0.076
NM_006545	chr3(.):50379918-50393486	0.1323
NM_007182	chr3(.):50362216-50383367	0.1901
NM_007022	chr3(.):50383296-50396496	0.099
NM_007024	chr3(.):50387179-50401939	0.1299
NM_015896	chr3(.):50373536-50388156	0.2665
NM_170712	chr3(.):50362216-50380664	0.1934
NM_170713	chr3(.):50362216-50379895	0.1852
NM_016173	chr3(.):50601908-50627421	0.1694
NM_001171743	chr3(.):50590455-50610223	0.5319
NM_001171741	chr3(.):50590455-50613458	0.4637
NM_007184	chr3(.):52484523-52532088	0.1092
NM_015136	chr3(.):52524355-52563511	0.7537
NM_003280	chr3(.):52480106-52493057	0.1682
NM_001124767	chr3(.):52565620-52579586	0.1429
NM_153330	chr3(.):128176281-128191091	1.3441
NR_026954	chr3(.):128221677-128234429	0.232
NM_032638	chr3(.):128193264-128217030	1.9881
NM_001145662	chr3(.):128193264-128211764	2.0161
NM_001145661	chr3(.):128193264-128212373	2.0103
NM_004532	chr3(.):195468637-195544148	0.8404
NM_020777	chr4(.):7189373-7749564	0.8147
NM_006527	chr4(.):1689526-1719030	0.07
NM_012318	chr4(.):1808205-1862974	0.0885
NM_020416	chr4(.):6317304-6479326	0.8491
NM_001163213	chr4(.):1790038-1815599	1.0867
NM_001127266	chr4(.):1712678-1728084	0.099
NM_006342	chr4(.):1718265-1751897	0.1483
NM_001528	chr4(.):3438725-3456213	1.073
NM_173660	chr4(.):3460032-3501209	1.8063
NM_002337	chr4(.):3509289-3539224	0.1849
NM_000683	chr4(.):3763295-3775253	0.7618
NR_034136	chr4(.):3670319-3684582	1.1643
NM_181876	chr4(.):6317304-6388597	0.9958
NR_027441	chr4(.):7094150-7110103	0.8931
NM_001085382	chr4(.):7427020-7441700	1.1617
NR_036238	chr4(.):7456754-7466845	0.9368
NR_026892	chr4(.):7750816-7785654	0.5597
NM_053044	chr4(.):8266488-8313838	0.915
NM_001014448	chr4(.):8589386-8626488	1.3304
NM_080819	chr4(.):8577290-8594520	0.884
NM_018942	chr4(.):8863772-8878543	0.7942
NM_001040071	chr4(.):8946476-8957127	0.359
NM_001105662	chr4(.):9240604-9252197	4.1605
NM_001105662	chr4(.):9254849-9266442	3.4867
NM_001105662	chr4(.):9264344-9275937	3.0504
NM_001105662	chr4(.):9212130-9223723	3.4835
NM_001105662	chr4(.):9359854-9371447	3.4938
NR_027279	chr4(.):9364599-9375796	2.1361
NM_001105662	chr4(.):9326636-9338229	3.4816
NM_001105662	chr4(.):9336128-9347721	3.4752
NM_001105662	chr4(.):9350363-9361956	3.4118
NM_001105662	chr4(.):9355108-9366701	3.4865
NM_133369	chr5(.):176232559-176312899	1.3123
NM_001006616	chr5(.):176069387-176091059	0.2338
NM_002115	chr5(.):176302869-176331333	0.9739
NM_002082	chr5(.):176848686-176874850	0.1016
NM_203352	chr5(.):176905394-176929602	0.3918
NM_030567	chr5(.):176868795-176888287	0.4341
NM_000505	chr5(.):176824138-176841577	0.5184
NM_080881	chr5(.):176878613-176904871	0.948
NM_024872	chr5(.):176925750-176941858	0.3212
NM_016222	chr5(.):176933577-176948967	0.0955
NM_004395	chr5(.):176878613-176905694	0.9266
NM_001174102	chr5(.):176870325-176888283	0.4661
NM_001144876	chr5(.):176923905-176942427	0.3732
NM_004197	chr6(.):31976517-31986961	1.6767
NM_000841	chr6(.):33984627-34106443	1.1409
NM_005516	chr6(.):30452182-30466982	0.1456
NR_001284	chr6(.):31971196-31985800	2.0412
NR_026717	chr6(.):31933951-31954223	0.3233
NM_005510	chr6(.):31932587-31945032	0.0769
NM_001002029	chr6(.):31944833-31975458	1.4716
NM_032470	chr6(.):31971196-31986050	2.011
NM_006929	chr6(.):31921580-31942532	0.082
NM_000500	chr6(.):31968347-31981684	2.4629
NM_007293	chr6(.):31944833-31975457	1.4716
NM_002904	chr6(.):31914863-31931864	0.2157
NM_004197	chr6(.):31934645-31954223	0.3342
NR_031601	chr6(.):31919615-31929717	0.1139
NM_001710	chr6(.):31908720-31924861	0.4353
NM_001002029	chr6(.):31977571-32008195	1.7341
NM_001136153	chr6(.):32078044-32101017	0.1597
NM_000500	chr6(.):32001081-32014419	2.6055
NM_022110	chr6(.):32091483-32103067	0.2722
NM_019105	chr6(.):32003931-32082151	1.4507
NM_032470	chr6(.):32003931-32018905	2.4166
NM_007293	chr6(.):31977571-32008194	1.7341
NM_138717	chr6(.):32116300-32136452	0.4901
NM_030651	chr6(.):32111139-32124720	1.0018
NM_005155	chr6(.):32116621-32136452	0.4733
NR_037169	chr6(.):32115578-32127142	0.8132
NM_032340	chr6(.):33660345-33684504	0.1022
NM_054111	chr6(.):33684442-33719762	0.7544
NM_001184698	chr6(.):33757448-33776793	1.1455
NM_001143944	chr6(.):33733989-33759719	0.2544
NM_181336	chr6(.):33733989-33761906	0.3231
NR_031681	chr6(.):33962748-33972828	0.6611
NM_005586	chr6(.):41601194-41626982	1.4347
NM_001134395	chr7(.):1031622-1182893	0.0715
NM_130843	chr7(.):157326749-158385482	0.6232
NM_015949	chr7(.):911190-941071	0.083
NM_001100390	chr7(.):2593631-2659368	0.1461
NM_133463	chr7(.):2714162-2760069	0.725
NM_172084	chr7(.):44251748-44370230	0.6061
NM_004444	chr7(.):100395186-100430143	1.1427
NM_006076	chr7(.):100131833-100170843	0.1888
NM_133457	chr7(.):101001121-101207304	0.735
NM_001099220	chr7(.):149530508-149569568	0.1713
NM_001098834	chr7(.):150840675-150869867	0.5251
NM_001103176	chr7(.):155288952-155331539	0.7776
NM_006869	chr7(.):932536-999289	0.6536
NM_017781	chr7(.):1017834-1034276	0.9889
NM_001031617	chr7(.):999485-1020235	0.3946
NM_182491	chr7(.):1187542-1204855	0.054
NM_001080461	chr7(.):1267653-1281613	0.6421
NM_182924	chr7(.):1468994-1504109	0.5251
NM_002304	chr7(.):2552496-2573063	1.2907
NM_152743	chr7(.):2572443-2600392	0.1667
NM_001166355	chr7(.):2547162-2573063	1.2279
NM_001040168	chr7(.):2554478-2573810	1.2805
NM_001040167	chr7(.):2554478-2573063	1.3259
NM_025250	chr7(.):2666602-2709436	1.1651
NM_006555	chr7(.):44235577-44258893	0.1678
NM_000162	chr7(.):44178869-44234022	0.1911
NM_152755	chr7(.):99712264-99728128	0.1083
NM_203397	chr7(.):99719319-99731121	0.1441
NM_005641	chr7(.):99699692-99721995	0.0545
NM_001190415	chr7(.):99699692-99722481	0.0541
NM_139315	chr7(.):99699692-99722021	0.0544
NM_018275	chr7(.):99747042-99761302	0.3065
NM_024070	chr7(.):99811870-99824111	0.1714
NM_012447	chr7(.):99770537-99817010	0.4622
NM_152742	chr7(.):99762228-99779990	1.4739
NM_001008395	chr7(.):99741529-99756833	0.1133
NM_024637	chr7(.):99751864-99771373	1.1459
NM_002319	chr7(.):100166633-100188776	0.4045
NM_016188	chr7(.):100235725-100259084	1.1135
NM_003227	chr7(.):100213038-100244173	1.2414
NM_001040097	chr7(.):100204724-100218000	1.0078
NM_001040098	chr7(.):100205052-100218000	0.9817
NM_002593	chr7(.):100194881-100210798	1.1887
NM_033506	chr7(.):100178955-100203740	0.8833
NM_001163499	chr7(.):100182195-100203740	1.0002
NM_001040099	chr7(.):100205113-100218000	0.9761
NM_001168682	chr7(.):100164852-100176270	0.3719
NM_005837	chr7(.):100298675-100310123	0.2687
NM_000799	chr7(.):100313422-100326323	1.3693
NM_003386	chr7(.):100326248-100400419	1.0884
NM_022574	chr7(.):100272129-100291870	0.0749
NM_005273	chr7(.):100266362-100281792	0.3354
NM_020246	chr7(.):100445357-100469634	0.1235
NM_003302	chr7(.):100459949-100476076	0.1494
NM_015908	chr7(.):100467700-100491285	0.3919
NM_001164462	chr7(.):100607903-100667230	1.4131
NM_001165413	chr7(.):100765378-100787547	1.2653
NM_001040105	chr7(.):100658363-100707140	0.6664
NM_030961	chr7(.):100723785-100738889	0.2013
NM_001185080	chr7(.):100870372-100887101	0.0595
NM_016068	chr7(.):100877892-100893371	0.0751
NM_014343	chr7(.):100870372-100886227	0.0588
NM_006349	chr7(.):100855984-100872471	0.0788
NM_198571	chr7(.):100808773-100828557	1.3604
NM_001084	chr7(.):100844257-100866011	0.3027
NM_003378	chr7(.):100800789-100813852	0.8073
NM_178176	chr7(.):100834012-100849302	1.0937
NM_001283	chr7(.):100792685-100809557	0.6694
NM_001130820	chr7(.):100951647-100970093	0.2502
NM_001458	chr7(.):128465482-128504328	1.1843
NM_001195150	chr7(.):128501463-128517101	0.2082
NM_001198909	chr7(.):128497856-128510903	0.2269
NM_198455	chr7(.):149468130-149536053	1.9096
NM_207336	chr7(.):149456452-149475295	0.9389
NR_027040	chr7(.):149559782-149575951	0.1276
NM_001100592	chr7(.):149565056-149582738	0.125
NM_001142459	chr7(.):150867784-150889478	1.4758
NM_080871	chr7(.):150867784-150889919	1.4956
NM_019015	chr7(.):150924584-150940905	0.1995
NM_003078	chr7(.):150931058-150979231	1.5326
NM_001003802	chr7(.):150931058-150978820	1.5395
NM_005692	chr7(.):150899922-150929317	0.494
NM_001003801	chr7(.):150931058-150950749	1.5006
NR_030407	chr7(.):150930506-150940624	0.1793
NM_198285	chr7(.):151073206-151112124	1.2028
NM_016118	chr7(.):151033857-151080532	0.2249
NR_034012	chr7(.):151101321-151115132	0.7595
NM_144727	chr7(.):151122055-151142099	0.479
NR_037468	chr7(.):151125574-151135725	0.5373
NM_000193	chr7(.):155590557-155609967	1.3409
NM_001172357	chr8(.):22014183-22026991	1.0897
NM_014629	chr8(.):1767148-1911807	0.8331
NM_207414	chr8(.):142438928-142522330	0.7573
NM_005607	chr8(.):141663501-142016332	0.2089
NM_145003	chr8(.):143288440-143489543	0.2318
NM_014867	chr8(.):1917043-1960109	0.7494
NM_001164452	chr8(.):7132291-7145302	0.639
NM_001164452	chr8(.):7109425-7122436	0.6511
NM_001136572	chr8(.):7416309-7445175	0.9775
NM_001136572	chr8(.):7408659-7422234	0.6424
NM_001164452	chr8(.):7567964-7580975	0.6109
NM_001164449	chr8(.):7575612-7588623	0.5972
NM_001164450	chr8(.):7590908-7603918	0.637
NM_001164448	chr8(.):7613851-7626862	0.7465
NM_001164447	chr8(.):7621498-7634510	0.6299
NM_001164451	chr8(.):7606203-7619214	0.6048
NM_025232	chr8(.):21990532-22004448	0.4666
NM_024815	chr8(.):21959382-21971932	0.136
NM_018411	chr8(.):21966931-21993565	0.9256
NM_139278	chr8(.):21999342-22019344	1.2146
NM_006129	chr8(.):22017652-22074840	0.1943
NM_014957	chr8(.):142133719-142210900	0.078
NM_032611	chr8(.):142427006-142446620	0.5452
NM_005293	chr8(.):142361586-142382365	1.534
NR_024441	chr8(.):142345647-142359720	1.1275
NM_001702	chr8(.):143540376-143631368	0.8797
NM_001160354	chr8(.):143776528-143790584	0.5702
NM_015193	chr8(.):143687409-143700833	1.0319
NM_001077527	chr8(.):143733873-143756401	0.2061
NR_033343	chr8(.):143746725-143769145	0.6898
NM_177477	chr8(.):143847614-143863744	0.7806
NM_177458	chr8(.):143840755-143856246	0.9997
NM_023946	chr8(.):143840755-143864639	0.8395
NM_016647	chr8(.):143803620-143823350	0.2412
NM_003695	chr8(.):143861297-143873008	0.8819
NM_020427	chr8(.):143817361-143828829	0.3697
NM_177476	chr8(.):143847614-143863437	0.7834
NM_177457	chr8(.):143847614-143864640	0.7711
NM_205545	chr8(.):143826627-143838952	0.9254
NM_001130478	chr8(.):144234330-144247053	0.6917
NM_002347	chr8(.):144234330-144246457	0.7071
NM_001135655	chr8(.):144234330-144246755	0.7022
NM_052963	chr8(.):144386527-144422050	0.1631
NR_026785	chr8(.):144443792-144455805	0.4415
NM_052924	chr8(.):144446024-144471390	0.58
NM_201589	chr8(.):144505229-144517602	1.3179
NM_182706	chr8(.):144868089-144902549	0.1032
NM_031308	chr8(.):144934911-144952434	1.0759
NM_001136033	chr8(.):144893552-144916196	0.1242
NM_178564	chr8(.):144910754-144928146	0.2668
NM_078480	chr8(.):144893546-144916537	0.1289
NR_030633	chr8(.):144890126-144900212	0.0951
NM_201381	chr8(.):144984320-145023905	0.0909
NM_201382	chr8(.):144984320-145023110	0.0927
NM_201383	chr8(.):144984320-145021692	0.0912
NM_201384	chr8(.):144984320-145018758	0.0923
NR_030383	chr8(.):145014358-145024447	0.0746
NM_139025	chr9(.):136282119-136329508	1.2096
NR_024514	chr9(.):136274458-136329508	1.0475
NM_007344	chr9(.):135245936-135287221	0.1191
NM_004878	chr9(.):132495614-132520344	1.446
NM_199350	chr9(.):132369503-132388055	0.9751
NM_006059	chr9(.):133879503-133973446	1.3867
NM_007313	chr9(.):133584267-133768062	0.0783
