REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X19_0EX5_0229Kronos_MM1S.KB.24hr.1_H3K27Ac_hs.dm_i39.bam	X43_0EXV_0229Kronos_MM1S.KB.24hr.1_Input_hs_i87.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isStretch
7_MACS_peak_5064_lociStitched	chr12	7045436	7085640	7	25685	94953.8072	7502.0664	49	ATN1,C12orf57,PTPN6,MIR200C,MIR141,EMG1,PHB2,SCARNA12,LPCAT3	LRRC23,ENO2	PTPN6	49	1
5_MACS_peak_14406_lociStitched	chr2	232687192	232714439	5	25361	24383.3403	3452.1949	50		COPS7B,PDE6D,MIR1471	COPS7B	50	1
4_MACS_peak_7636_lociStitched	chr14	106143797	106173264	4	25282	185450.5645	3871.9638	51			TMEM121	51	1
5_MACS_peak_8287_lociStitched	chr15	75063209	75093273	5	25205	107544.9408	5973.7168	52	CSK	CYP1A2,LMAN1L,CPLX3,CYP1A1,ULK3	CSK	52	1
7_MACS_peak_16573_lociStitched	chr3	46317833	46347638	7	24808	108156.384	5993.7855	53		CCR3,CCR2	CCR3	53	1
4_MACS_peak_6274_lociStitched	chr12	123354935	123387441	4	24673	76580.8854	3461.889	54	VPS37B	HIP1R	VPS37B	54	1
3_MACS_peak_20026_lociStitched	chr5	131744619	131774527	3	24626	193764.9596	6690.4196	55	C5orf56	SLC22A5,MIR3936	C5orf56	55	1
7_MACS_peak_7546_lociStitched	chr14	95945672	95986076	7	24572	51131.262	3462.6228	56		GLRX5,C14orf49,SCARNA13,SNHG10	C14orf49	56	1
5_MACS_peak_14754_lociStitched	chr20	25261137	25303012	5	24423	133811.5625	6586.9375	57	PYGB,ABHD12		PYGB	57	1
5_MACS_peak_2088_lociStitched	chr1	206271968	206311041	5	24384	221344.6377	10838.8502	58	C1orf186	AVPR1B,CTSE	C1orf186	58	1
7_MACS_peak_13475_lociStitched	chr2	112186541	112224502	7	24038	73682.301	5952.2848	59	LOC541471		LOC541471	59	1
2_MACS_peak_3931_lociStitched	chr11	22676707	22704600	2	23887	201638.497	4973.3219	60	GAS2	FANCF	GAS2	60	1
4_MACS_peak_21467_lociStitched	chr6	90053970	90086121	4	23743	107323.2531	6102.2598	61	UBE2J1,RRAGD	GABRR2	UBE2J1	61	1
5_MACS_peak_3529_lociStitched	chr10	112600035	112633392	5	23078	213631.5708	6688.0785	62	PDCD4,LOC282997	SHOC2,NCRNA00081	LOC282997	62	1
4_MACS_peak_6078_lociStitched	chr12	109009379	109036401	4	23015	207223.6114	6258.2952	63	SELPLG	TMEM119	SELPLG	63	1
2_MACS_peak_12571_lociStitched	chr2	20397478	20426470	2	22665	132470.2464	5375.1168	64	SDC1		SDC1	64	1
4_MACS_peak_14054_lociStitched	chr2	197023866	197049025	4	22264	108681.8482	5301.0013	65	STK17B		STK17B	65	1
7_MACS_peak_9303_lociStitched	chr16	67554806	67601645	7	22181	82071.2958	7484.8722	66	FAM65A,CTCF	ATP6V0D1,AGRP	FAM65A	66	1
2_MACS_peak_15111_lociStitched	chr20	52193756	52216281	2	22172	114625.22	4318.0425	67	ZNF217		ZNF217	67	1
4_MACS_peak_3820_lociStitched	chr11	10314479	10345128	4	22172	163359.17	6687.6118	68	ADM,SBF2		ADM	68	1
1_MACS_peak_5549_lociStitched	chr12	53582467	53604464	1	21998	159339.6689	5371.6674	69	ZNF740,ITGB7,RARG	MFSD5,CSAD	ITGB7	69	1
4_MACS_peak_22863_lociStitched	chr7	90329828	90367856	4	21949	119617.074	7240.5312	70	CDK14		CDK14	70	1
4_MACS_peak_19052_lociStitched	chr4	185317483	185350328	4	21733	137876.741	5810.2805	71	IRF2		IRF2	71	1
1_MACS_peak_2633_lociStitched	chr10	11202397	11224043	1	21647	231157.634	6398.5576	72	CELF2		CELF2	72	1
2_MACS_peak_17553_lociStitched	chr3	171801697	171827278	2	21646	180036.5199	7369.8861	73	FNDC3B		FNDC3B	73	1
2_MACS_peak_25286_lociStitched	chr9	112903311	112925394	2	21612	70707.5577	4878.1347	74	PALM2-AKAP2,AKAP2	C9orf152	AKAP2	74	1
4_MACS_peak_11812_lociStitched	chr19	16243489	16272511	4	21291	80832.0744	5485.158	75	RAB8A,HSH2D,CIB3	FAM32A,AP1M1	HSH2D	75	1
3_MACS_peak_9219_lociStitched	chr16	56963199	56986159	3	21240	86414.552	5140.744	76	HERPUD1	CETP,NLRC5	HERPUD1	76	1
2_MACS_peak_10151_lociStitched	chr17	38459047	38484344	2	21203	182722.7607	5284.5433	77	CDC6,RARA	RARA,GJD3	RARA	77	1
5_MACS_peak_7426_lociStitched	chr14	81930568	81956825	5	21199	100511.796	2602.0687	78	SEL1L		SEL1L	78	1
3_MACS_peak_14593_lociStitched	chr20	5567123	5592251	3	20764	56178.6696	5018.0616	79	GPCPD1		GPCPD1	79	1
3_MACS_peak_1318_lociStitched	chr1	145427057	145458011	3	20639	148582.2954	8911.6566	80	TXNIP,POLR3GL	HFE2,ANKRD34A,LIX1L,RBM8A	TXNIP	80	1
4_MACS_peak_20981_lociStitched	chr6	31773542	31805529	4	20503	51668.6011	5172.2979	81	HSPA1A,HSPA1B,C6orf48,SNORD48,SNORD52,LSM2,HSPA1L	C6orf26,C6orf27,VARS,NEU1,SLC44A4	HSPA1B	81	1
1_MACS_peak_19723_lociStitched	chr5	88110330	88130795	1	20466	71566.105	4704.9035	82	MEF2C		MEF2C	82	1
2_MACS_peak_1563_lociStitched	chr1	156115471	156137026	2	20425	118427.481	6250.95	83	SEMA4A	LMNA,SLC25A44,PMF1	SEMA4A	83	1
2_MACS_peak_16821_lociStitched	chr3	69128287	69155119	2	20387	77031.9888	4684.8672	84	ARL6IP5,UBA3	MIR3136,TMF1,LMOD3	ARL6IP5	84	1
4_MACS_peak_22046_lociStitched	chr6	157976074	158007229	4	19981	127526.7615	3025.1505	85	ZDHHC14	MIR3692	MIR3692	85	1
1_MACS_peak_15478_lociStitched	chr21	41324428	41344368	1	19941	175370.306	6691.864	86			PCP4	86	1
3_MACS_peak_1574_lociStitched	chr1	156450347	156476054	3	19873	70789.3659	6838.062	87	MEF2D		MEF2D	87	1
5_MACS_peak_13277_lociStitched	chr2	88891738	88928516	5	19632	45983.5334	6859.097	88	EIF2AK3		EIF2AK3	88	1
2_MACS_peak_16938_lociStitched	chr3	98476711	98497254	2	19504	114143.0709	4490.6998	89	ST3GAL6		ST3GAL6	89	1
5_MACS_peak_17479_lociStitched	chr3	160116024	160140920	5	19444	64107.2	6072.1344	90	SMC4,MIR15B,MIR16-2,IFT80	IFT80,TRIM59	MIR16-2	90	1
4_MACS_peak_10951_lociStitched	chr18	9054643	9085266	4	19227	219695.5266	6372.6463	91		NDUFV2	NDUFV2	91	1
2_MACS_peak_421_lociStitched	chr1	31213892	31233399	2	19223	164389.3904	5021.1018	92	LAPTM5	LOC100129196,MATN1	LAPTM5	92	1
5_MACS_peak_10055_lociStitched	chr17	34408835	34432682	5	19198	74595.8007	5091.3345	93	CCL4,CCL3	CCL18	CCL3	93	1
3_MACS_peak_10456_lociStitched	chr17	56405010	56431003	3	19080	162063.7557	6266.9123	94	BZRAP1,MIR142,SUPT4H1	MPO	MIR142	94	1
5_MACS_peak_13011_lociStitched	chr2	64862611	64896045	5	18963	73437.781	6185.29	95	SERTAD2	LOC339807	SERTAD2	95	1
5_MACS_peak_10636_lociStitched	chr17	72733353	72756911	5	18944	55457.8878	4400.6344	96	RAB37,SLC9A3R1,MIR3615	TMEM104,CD300LF,NAT9	SLC9A3R1	96	1
1_MACS_peak_18153_lociStitched	chr4	40191010	40209894	1	18885	167008.2076	4968.3804	97	RHOH		RHOH	97	1
3_MACS_peak_20813_lociStitched	chr6	25365943	25390452	3	18787	76122.5031	5313.5512	98	LRRC16A		LRRC16A	98	1
6_MACS_peak_15132_lociStitched	chr20	52530721	52566871	6	18722	76066.83	5798.46	99	BCAS1	SUMO1P1	SUMO1P1	99	1
5_MACS_peak_13324_lociStitched	chr2	97190536	97220555	5	18660	91524.9291	5907.7392	100	ARID5A	NEURL3	ARID5A	100	1
3_MACS_peak_12068_lociStitched	chr19	39880468	39903982	3	18649	101867.3508	4636.9608	101	MED29,ZFP36,PLEKHG2,PAF1	SAMD4B,SUPT5H,RPS16	ZFP36	101	1
6_MACS_peak_8608_lociStitched	chr15	101661389	101692432	6	18611	87882.733	5680.869	102			CHSY1	102	1
4_MACS_peak_2059_lociStitched	chr1	204474556	204501089	4	18603	164706.2508	7506.1857	103	MDM4	PIK3C2B	MDM4	103	1
4_MACS_peak_11497_lociStitched	chr19	2594883	2628808	4	18569	168977.0325	8437.1475	104	GNG7		GNG7	104	1
3_MACS_peak_23511_lociStitched	chr8	2027199	2050874	3	18230	114305.2675	4744.47	105	MYOM2		MYOM2	105	1
4_MACS_peak_6911_lociStitched	chr13	115023317	115048805	4	18176	79453.7424	4536.864	106	CDC16,UPF3A	ZNF828	UPF3A	106	1
5_MACS_peak_7393_lociStitched	chr14	77487948	77510576	5	18174	72647.194	2172.288	107	C14orf4		C14orf4	107	1
3_MACS_peak_17261_lociStitched	chr3	133178967	133201183	3	18125	192601.612	5329.6184	108	BFSP2		BFSP2	108	1
4_MACS_peak_15538_lociStitched	chr21	45552529	45580787	4	18112	131659.6736	7491.1958	109	C21orf33	PWP2	C21orf33	109	1
5_MACS_peak_22494_lociStitched	chr7	38383783	38408588	5	18024	39521.8065	5402.529	110			TARP	110	1
4_MACS_peak_16278_lociStitched	chr3	13035585	13061703	4	17960	128124.4608	5696.3358	111	IQSEC1	IQSEC1	IQSEC1	111	1
5_MACS_peak_14124_lociStitched	chr2	202072799	202102140	5	17823	51346.75	5692.154	112	CASP10,CASP8	CASP8	CASP8	112	1
4_MACS_peak_1393_lociStitched	chr1	149802913	149834081	4	17703	108558.144	8437.1776	113	HIST2H4B,HIST2H2AA4,HIST2H3A,HIST2H2BC	FCGR1A,HIST2H2AC,BOLA1,HIST2H2BF,HIST2H3D,HIST2H2BE,HIST2H2AB	HIST2H2BC	113	1
2_MACS_peak_1418_lociStitched	chr1	150532224	150553309	2	17630	171878.5945	7270.108	114	ADAMTSL4,MCL1	MIR4257,ENSA	MCL1	114	1
3_MACS_peak_16408_lociStitched	chr3	30682803	30703435	3	17578	45883.5048	3975.7864	115	TGFBR2		TGFBR2	115	1
3_MACS_peak_11473_lociStitched	chr19	2073477	2098356	3	17568	168527.8581	7155.2004	116	IZUMO4,MOBKL2A	MKNK2	MOBKL2A	116	1
2_MACS_peak_7848_lociStitched	chr15	40386543	40408980	2	17487	142890.0345	5207.6277	117	BMF	BUB1B	BMF	117	1
3_MACS_peak_5464_lociStitched	chr12	48196318	48218914	3	17384	119948.6064	4164.4428	118	HDAC7	SLC48A1,RAPGEF3	HDAC7	118	1
5_MACS_peak_8954_lociStitched	chr16	22194935	22219362	5	17370	48680.5683	5332.4141	119	EEF2K		EEF2K	119	1
1_MACS_peak_22639_lociStitched	chr7	55569172	55586521	1	17350	78363.6981	3448.9812	120	VOPP1		VOPP1	120	1
4_MACS_peak_1037_lociStitched	chr1	93408780	93428773	4	17340	39282.2464	2081.2713	121	FAM69A		FAM69A	121	1
2_MACS_peak_19301_lociStitched	chr5	32570727	32593357	2	17040	105924.241	4283.859	122	SUB1		SUB1	122	1
7_MACS_peak_24390_lociStitched	chr8	126285190	126316037	7	16934	40801.3269	5379.7168	123	NSMCE2		TRIB1	123	1
5_MACS_peak_8486_lociStitched	chr15	89646577	89675159	5	16909	91836.8242	5281.9536	124	ABHD2		ABHD2	124	1
4_MACS_peak_11422_lociStitched	chr19	1015214	1041760	4	16813	52991.1252	6028.5966	125	CNN2,ABCA7,C19orf6	WDR18,GRIN3B,HMHA1	CNN2	125	1
1_MACS_peak_4274_lociStitched	chr11	65183305	65200047	1	16743	199889.4348	4726.2666	126	NEAT1	FRMD8,MIR612,SLC25A45	NEAT1	126	1
4_MACS_peak_2615_lociStitched	chr10	7511277	7535982	4	16738	140195.934	4125.735	127			SFMBT2	127	1
6_MACS_peak_7841_lociStitched	chr15	40329818	40358692	6	16738	80971.3582	5012.5264	128	SRP14	BMF	SRP14	128	1
2_MACS_peak_25474_lociStitched	chr9	130828864	130846618	2	16663	60182.5092	3685.7304	129	SLC25A25,NAIF1	SLC25A25,LOC389791,LOC100289019,PTGES2	SLC25A25	129	1
3_MACS_peak_19449_lociStitched	chr5	55436890	55453730	3	16654	81148.592	3357.896	130	ANKRD55		ANKRD55	130	1
3_MACS_peak_14285_lociStitched	chr2	219742937	219763407	3	16598	78318.22	3764.433	131	WNT10A	WNT6,PRKAG3	WNT10A	131	1
5_MACS_peak_5630_lociStitched	chr12	57093713	57120308	5	16596	30876.795	4313.709	132	NACA	HSD17B6,PTGES3,PRIM1	NACA	132	1
5_MACS_peak_7671_lociStitched	chr15	21976574	22002723	5	16594	38295.2105	4126.3122	133		LOC646214,CXADRP2	CXADRP2	133	1
2_MACS_peak_1499_lociStitched	chr1	154374796	154394633	2	16593	114183.7557	5947.1326	134	IL6R		IL6R	134	1
3_MACS_peak_15719_lociStitched	chr22	24176697	24200900	3	16574	228212.5073	4859.9624	135	SMARCB1,SLC2A11,DERL3	MIF	DERL3	135	1
2_MACS_peak_902_lociStitched	chr1	75595719	75612811	2	16504	61681.6096	2594.5656	136	LHX8		LHX8	136	1
3_MACS_peak_282_lociStitched	chr1	24512099	24533983	3	16496	176901.5024	4788.2192	137	LOC284632,IL28RA	IL22RA1	LOC284632	137	1
4_MACS_peak_1873_lociStitched	chr1	183856334	183885880	4	16316	117596.0346	6963.9922	138	RGL1		GLT25D2	138	1
5_MACS_peak_7860_lociStitched	chr15	40834166	40862701	5	16264	37728.977	4825.2685	139	RPUSD2,C15orf57	CASC5,MRPL42P5	C15orf57	139	1
4_MACS_peak_20261_lociStitched	chr5	150513056	150537863	4	16238	50765.0448	4998.6105	140	ANXA6		ANXA6	140	1
1_MACS_peak_19724_lociStitched	chr5	88170831	88187059	1	16229	126580.0228	4290.6832	141	MEF2C		MEF2C	141	1
5_MACS_peak_7663_lociStitched	chr15	20969796	20996055	5	16223	41350.0473	3972.9867	142		BCL8	BCL8	142	1
2_MACS_peak_15698_lociStitched	chr22	23269400	23286071	2	16188	238988.7876	4189.4223	143		IGLL5	IGLL5	143	1
5_MACS_peak_13261_lociStitched	chr2	87794919	87821485	5	16181	45560.69	4407.2994	144	NCRNA00152		NCRNA00152	144	1
2_MACS_peak_24109_lociStitched	chr8	81046393	81062875	2	16163	77315.4138	3416.7186	145	TPD52		TPD52	145	1
3_MACS_peak_22555_lociStitched	chr7	44656623	44680161	3	16084	46303.9536	4361.5914	146	OGDH	DDX56,TMED4	OGDH	146	1
2_MACS_peak_15280_lociStitched	chr21	19151751	19169545	2	16039	87615.8766	3747.4164	147	C21orf91		C21orf91	147	1
1_MACS_peak_5161_lociStitched	chr12	12866113	12882138	1	16026	188989.235	3733.825	148	CDKN1B,APOLD1	MIR613,GPR19	CDKN1B	148	1
4_MACS_peak_19728_lociStitched	chr5	88595650	88617568	4	15878	154324.638	4767.165	149			MEF2C	149	1
6_MACS_peak_10279_lociStitched	chr17	43502664	43531691	6	15864	27590.1635	4354.05	150	ARHGAP27,SH3D20,PLEKHM1	ARHGAP27,MIR4315-1	SH3D20	150	1
5_MACS_peak_25711_lociStitched	chrX	10064867	10091049	5	15846	61446.5358	2437.5442	151	WWC3	CLCN4	CLCN4	151	1
3_MACS_peak_16567_lociStitched	chr3	46130315	46153674	3	15839	89485.9931	4456.8972	152			XCR1	152	1
5_MACS_peak_5905_lociStitched	chr12	92930595	92951282	5	15770	81097.1774	4464.2546	153			CLLU1OS	153	1
4_MACS_peak_19437_lociStitched	chr5	55272873	55292103	4	15756	34717.842	3999.84	154	IL6ST		IL6ST	154	1
1_MACS_peak_5197_lociStitched	chr12	15100865	15116577	1	15713	59441.6384	3565.0528	155	ARHGDIB	PDE6H,ERP27	ARHGDIB	155	1
5_MACS_peak_25540_lociStitched	chr9	134127059	134153374	5	15643	69074.2435	4884.064	156	FAM78A	PPAPDC3	FAM78A	156	1
2_MACS_peak_9994_lociStitched	chr17	29634890	29651089	2	15583	100456.4786	3325.6547	157	NF1,EVI2B,EVI2A	OMG	EVI2B	157	1
3_MACS_peak_8843_lociStitched	chr16	12052284	12072665	3	15519	181861.7011	4312.6196	158	TNFRSF17,RUNDC2A	GSPT1	TNFRSF17	158	1
4_MACS_peak_2899_lociStitched	chr10	45913488	45934445	4	15510	146164.5965	4122.2419	159	ALOX5		ALOX5	159	1
2_MACS_peak_1552_lociStitched	chr1	155931001	155952170	2	15505	93010.2353	5300.7176	160	ARHGEF2	RXFP4,RIT1,SNORA42,SCARNA4,KIAA0907,SSR2	ARHGEF2	160	1
4_MACS_peak_14995_lociStitched	chr20	43672187	43693644	4	15448	85160.6873	4085.4128	161	STK4	KCNS1	KCNS1	161	1
1_MACS_peak_4282_lociStitched	chr11	65263416	65278834	1	15419	80170.5164	4024.098	162	MALAT1	SCYL1,LTBP3	MALAT1	162	1
4_MACS_peak_14989_lociStitched	chr20	43583227	43609440	4	15418	52703.8578	5064.3516	163	STK4,TOMM34	PABPC1L	STK4	163	1
3_MACS_peak_13025_lociStitched	chr2	65156905	65178675	3	15394	168192.843	5370.659	164	LOC400958	SLC1A4	LOC400958	164	1
5_MACS_peak_14165_lociStitched	chr2	204548204	204574195	5	15379	91516.9101	5328.155	165	CD28		CD28	165	1
3_MACS_peak_8477_lociStitched	chr15	89163980	89185490	3	15282	39236.391	3863.196	166	AEN,ISG20	MIR1179,MIR7-2	ISG20	166	1
3_MACS_peak_20521_lociStitched	chr5	180228169	180249328	3	15241	80347.0707	3903.8355	167	MGAT1	LOC729678,ZFP62	MGAT1	167	1
1_MACS_peak_15952_lociStitched	chr22	38782121	38797313	1	15193	51988.5432	2922.9408	168	LOC400927	KCNJ4	LOC400927	168	1
1_MACS_peak_14119_lociStitched	chr2	201979961	201995040	1	15080	163760.9558	3707.9261	169	CFLAR	NDUFB3,FAM126B	CFLAR	169	1
5_MACS_peak_26406_lociStitched	chrX	128902273	128921528	5	15069	57485.8025	2131.5285	170	XPNPEP2,SASH3		SASH3	170	1
2_MACS_peak_26009_lociStitched	chrX	48790023	48805954	2	14978	94529.7747	1704.617	171	OTUD5	PQBP1,TIMM17B,SLC35A2,PIM2,KCND1	OTUD5	171	1
2_MACS_peak_580_lociStitched	chr1	40838998	40858502	2	14959	63415.3056	4050.9808	172	SMAP2	SMAP2	SMAP2	172	1
4_MACS_peak_2889_lociStitched	chr10	45453748	45475305	4	14946	49098.2232	4257.5075	173	RASSF4,LOC220980,C10orf10	TMEM72,ZNF22,C10orf25	RASSF4	173	1
4_MACS_peak_1632_lociStitched	chr1	160633667	160655970	4	14900	142578.6184	5734.1013	174	CD48	SLAMF1	SLAMF1	174	1
2_MACS_peak_6076_lociStitched	chr12	108952775	108970705	2	14896	66366.102	4197.413	175	ISCU,SART3	FICD,TMEM119	ISCU	175	1
3_MACS_peak_21608_lociStitched	chr6	109214006	109229015	3	14873	101821.056	3169.9008	176	ARMC2		ARMC2	176	1
3_MACS_peak_12869_lociStitched	chr2	47526762	47550759	3	14847	103851.8169	4672.2159	177		EPCAM	EPCAM	177	1
2_MACS_peak_4443_lociStitched	chr11	72850493	72870202	2	14808	194378.0416	4247.2895	178	FCHSD2		FCHSD2	178	1
3_MACS_peak_10728_lociStitched	chr17	75131258	75147023	3	14790	131446.9935	3556.584	179	SEC14L1	C17orf86,SCARNA16,SEC14L1	SEC14L1	179	1
1_MACS_peak_22816_lociStitched	chr7	78113596	78128339	1	14744	127352.9826	3582.549	180	MAGI2		RPL13AP17	180	1
1_MACS_peak_12530_lociStitched	chr2	11883573	11898271	1	14699	98304.6334	3568.6744	181	LPIN1		LPIN1	181	1
3_MACS_peak_8070_lociStitched	chr15	56644857	56667117	3	14635	124023.816	4260.564	182	TEX9		TEX9	182	1
2_MACS_peak_18379_lociStitched	chr4	77608412	77624763	2	14619	36693.2791	3021.6648	183	SHROOM3		ANKRD56	183	1
