REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X19_0EX5_0229Kronos_MM1S.KB.24hr.1_H3K27Ac_hs.dm_i39.bam	X43_0EXV_0229Kronos_MM1S.KB.24hr.1_Input_hs_i87.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isSuperStretch
7_MACS_peak_5064_lociStitched	chr12	7045436	7085640	7	25685	94953.8072	7502.0664	67	ATN1,C12orf57,PTPN6,MIR200C,MIR141,EMG1,PHB2,SCARNA12,LPCAT3	LRRC23,ENO2	PTPN6	PTPN6	3.0206	67	1
6_MACS_peak_10333_lociStitched	chr17	46528044	46571109	6	26304	76289.6475	7605.279	68		SKAP1,HOXB1	SKAP1	NONE	NONE	68	1
7_MACS_peak_16573_lociStitched	chr3	46317833	46347638	7	24808	108156.384	5993.7855	69		CCR3,CCR2	CCR3	CCR2	2.9095	69	1
2_MACS_peak_12571_lociStitched	chr2	20397478	20426470	2	22665	132470.2464	5375.1168	70	SDC1		SDC1	SDC1	3.6879999999999997	70	1
1_MACS_peak_5161_lociStitched	chr12	12866113	12882138	1	16026	188989.235	3733.825	71	CDKN1B,APOLD1	MIR613,GPR19	CDKN1B	CDKN1B	12.2698	71	1
2_MACS_peak_421_lociStitched	chr1	31213892	31233399	2	19223	164389.3904	5021.1018	72	LAPTM5	LOC100129196,MATN1	LAPTM5	LAPTM5	4.5232	72	1
4_MACS_peak_19052_lociStitched	chr4	185317483	185350328	4	21733	137876.741	5810.2805	73	IRF2		IRF2	IRF2	3.3585	73	1
1_MACS_peak_18153_lociStitched	chr4	40191010	40209894	1	18885	167008.2076	4968.3804	74	RHOH		RHOH	RHOH	2.6321	74	1
4_MACS_peak_21467_lociStitched	chr6	90053970	90086121	4	23743	107323.2531	6102.2598	75	UBE2J1,RRAGD	GABRR2	UBE2J1	UBE2J1	1.9178999999999997	75	1
2_MACS_peak_4443_lociStitched	chr11	72850493	72870202	2	14808	194378.0416	4247.2895	76	FCHSD2		FCHSD2	FCHSD2	0.1674	76	1
4_MACS_peak_11497_lociStitched	chr19	2594883	2628808	4	18569	168977.0325	8437.1475	77	GNG7		GNG7	GNG7	0.8427	77	1
3_MACS_peak_10456_lociStitched	chr17	56405010	56431003	3	19080	162063.7557	6266.9123	78	BZRAP1,MIR142,SUPT4H1	MPO	MIR142	MIR142	6.093500000000001	78	1
3_MACS_peak_1318_lociStitched	chr1	145427057	145458011	3	20639	148582.2954	8911.6566	79	TXNIP,POLR3GL	HFE2,ANKRD34A,LIX1L,RBM8A	TXNIP	TXNIP	4.4499	79	1
4_MACS_peak_6274_lociStitched	chr12	123354935	123387441	4	24673	76580.8854	3461.889	80	VPS37B	HIP1R	VPS37B	VPS37B	1.6155000000000002	80	1
4_MACS_peak_2059_lociStitched	chr1	204474556	204501089	4	18603	164706.2508	7506.1857	81	MDM4	PIK3C2B	MDM4	MDM4	2.6624	81	1
3_MACS_peak_14927_lociStitched	chr20	37486601	37506394	3	14484	190947.0296	4053.6064	82	PPP1R16B	FAM83D	FAM83D	FAM83D	0.018699999999999994	82	1
2_MACS_peak_1418_lociStitched	chr1	150532224	150553309	2	17630	171878.5945	7270.108	83	ADAMTSL4,MCL1	MIR4257,ENSA	MCL1	MCL1	1.3768	83	1
3_MACS_peak_282_lociStitched	chr1	24512099	24533983	3	16496	176901.5024	4788.2192	84	LOC284632,IL28RA	IL22RA1	LOC284632	LOC284632	2.3446	84	1
3_MACS_peak_8843_lociStitched	chr16	12052284	12072665	3	15519	181861.7011	4312.6196	85	TNFRSF17,RUNDC2A	GSPT1	TNFRSF17	TNFRSF17	13.1184	85	1
1_MACS_peak_13948_lociStitched	chr2	182168182	182180648	1	12467	197930.1616	3026.7448	86			ITGA4	ITGA4	NONE	86	1
2_MACS_peak_15111_lociStitched	chr20	52193756	52216281	2	22172	114625.22	4318.0425	87	ZNF217		ZNF217	ZNF217	1.7121	87	1
3_MACS_peak_11473_lociStitched	chr19	2073477	2098356	3	17568	168527.8581	7155.2004	89	IZUMO4,MOBKL2A	MKNK2	MOBKL2A	MOBKL2A	4.5758	89	1
4_MACS_peak_22863_lociStitched	chr7	90329828	90367856	4	21949	119617.074	7240.5312	90	CDK14		CDK14	CDK14	0.2274	90	1
7_MACS_peak_13475_lociStitched	chr2	112186541	112224502	7	24038	73682.301	5952.2848	91	LOC541471		LOC541471	LOC541471	0.8320000000000001	91	1
4_MACS_peak_14054_lociStitched	chr2	197023866	197049025	4	22264	108681.8482	5301.0013	92	STK17B		STK17B	STK17B	1.1056	92	1
7_MACS_peak_7546_lociStitched	chr14	95945672	95986076	7	24572	51131.262	3462.6228	93		GLRX5,C14orf49,SCARNA13,SNHG10	C14orf49	C14orf49	0.4365	93	1
4_MACS_peak_22046_lociStitched	chr6	157976074	158007229	4	19981	127526.7615	3025.1505	94	ZDHHC14	MIR3692	MIR3692	NONE	NONE	94	1
3_MACS_peak_13025_lociStitched	chr2	65156905	65178675	3	15394	168192.843	5370.659	95	LOC400958	SLC1A4	LOC400958	LOC400958	3.0311000000000003	95	1
2_MACS_peak_1563_lociStitched	chr1	156115471	156137026	2	20425	118427.481	6250.95	96	SEMA4A	LMNA,SLC25A44,PMF1	SEMA4A	SEMA4A	2.976	96	1
2_MACS_peak_9274_lociStitched	chr16	66548991	66560966	2	11784	186384.8875	3094.34	97	TK2	CKLF,CMTM1	TK2	TK2	3.9696	97	1
5_MACS_peak_7426_lociStitched	chr14	81930568	81956825	5	21199	100511.796	2602.0687	98	SEL1L		SEL1L	SEL1L	1.4185	98	1
1_MACS_peak_20816_lociStitched	chr6	25402633	25415553	1	12921	179197.816	3824.32	99	LRRC16A		LRRC16A	LRRC16A	0.7093	99	1
7_MACS_peak_9303_lociStitched	chr16	67554806	67601645	7	22181	82071.2958	7484.8722	100	FAM65A,CTCF	ATP6V0D1,AGRP	FAM65A	FAM65A	1.2813999999999999	100	1
1_MACS_peak_14119_lociStitched	chr2	201979961	201995040	1	15080	163760.9558	3707.9261	101	CFLAR	NDUFB3,FAM126B	CFLAR	CFLAR	2.8693999999999997	101	1
2_MACS_peak_7848_lociStitched	chr15	40386543	40408980	2	17487	142890.0345	5207.6277	102	BMF	BUB1B	BMF	BMF	4.8102	102	1
4_MACS_peak_19728_lociStitched	chr5	88595650	88617568	4	15878	154324.638	4767.165	103			MEF2C	MEF2C	1.0005	103	1
3_MACS_peak_9219_lociStitched	chr16	56963199	56986159	3	21240	86414.552	5140.744	104	HERPUD1	CETP,NLRC5	HERPUD1	HERPUD1	3.5946	104	1
2_MACS_peak_16938_lociStitched	chr3	98476711	98497254	2	19504	114143.0709	4490.6998	105	ST3GAL6		ST3GAL6	ST3GAL6	1.9593999999999998	105	1
4_MACS_peak_15538_lociStitched	chr21	45552529	45580787	4	18112	131659.6736	7491.1958	106	C21orf33	PWP2	C21orf33	C21orf33	1.5597	106	1
4_MACS_peak_11812_lociStitched	chr19	16243489	16272511	4	21291	80832.0744	5485.158	107	RAB8A,HSH2D,CIB3	FAM32A,AP1M1	HSH2D	HSH2D	2.1858	107	1
2_MACS_peak_3913_lociStitched	chr11	19449794	19466107	2	14590	159453.0498	4285.4251	108	NAV2		NAV2	NAV2	0.1622	108	1
2_MACS_peak_25286_lociStitched	chr9	112903311	112925394	2	21612	70707.5577	4878.1347	109	PALM2-AKAP2,AKAP2	C9orf152	AKAP2	AKAP2	0.6141	109	1
4_MACS_peak_2615_lociStitched	chr10	7511277	7535982	4	16738	140195.934	4125.735	110			SFMBT2	SFMBT2	NONE	110	1
4_MACS_peak_16278_lociStitched	chr3	13035585	13061703	4	17960	128124.4608	5696.3358	111	IQSEC1	IQSEC1	IQSEC1	IQSEC1	0.6433	111	1
4_MACS_peak_2899_lociStitched	chr10	45913488	45934445	4	15510	146164.5965	4122.2419	112	ALOX5		ALOX5	ALOX5	1.7200000000000002	112	1
3_MACS_peak_8970_lociStitched	chr16	23343191	23363483	3	12677	163628.6004	4161.8892	113	SCNN1B		SCNN1B	SCNN1B	2.3315	113	1
3_MACS_peak_23511_lociStitched	chr8	2027199	2050874	3	18230	114305.2675	4744.47	114	MYOM2		MYOM2	MYOM2	1.3360999999999998	114	1
2_MACS_peak_16821_lociStitched	chr3	69128287	69155119	2	20387	77031.9888	4684.8672	115	ARL6IP5,UBA3	MIR3136,TMF1,LMOD3	ARL6IP5	ARL6IP5	2.2919	115	1
1_MACS_peak_19723_lociStitched	chr5	88110330	88130795	1	20466	71566.105	4704.9035	116	MEF2C		MEF2C	MEF2C	1.0005	116	1
3_MACS_peak_5464_lociStitched	chr12	48196318	48218914	3	17384	119948.6064	4164.4428	117	HDAC7	SLC48A1,RAPGEF3	HDAC7	HDAC7	2.4506	117	1
1_MACS_peak_19044_lociStitched	chr4	185200807	185211504	1	10698	169702.5565	3083.9451	118			ENPP6	ENPP6	NONE	118	1
3_MACS_peak_12068_lociStitched	chr19	39880468	39903982	3	18649	101867.3508	4636.9608	119	MED29,ZFP36,PLEKHG2,PAF1	SAMD4B,SUPT5H,RPS16	ZFP36	ZFP36	6.1482	119	1
4_MACS_peak_1632_lociStitched	chr1	160633667	160655970	4	14900	142578.6184	5734.1013	120	CD48	SLAMF1	SLAMF1	SLAMF1	0.07730000000000001	120	1
3_MACS_peak_14593_lociStitched	chr20	5567123	5592251	3	20764	56178.6696	5018.0616	121	GPCPD1		GPCPD1	GPCPD1	0.6548999999999999	121	1
1_MACS_peak_19724_lociStitched	chr5	88170831	88187059	1	16229	126580.0228	4290.6832	122	MEF2C		MEF2C	MEF2C	1.0005	122	1
4_MACS_peak_20981_lociStitched	chr6	31773542	31805529	4	20503	51668.6011	5172.2979	123	HSPA1A,HSPA1B,C6orf48,SNORD48,SNORD52,LSM2,HSPA1L	C6orf26,C6orf27,VARS,NEU1,SLC44A4	HSPA1B	HSPA1B	2.0989	123	1
3_MACS_peak_1574_lociStitched	chr1	156450347	156476054	3	19873	70789.3659	6838.062	124	MEF2D		MEF2D	MEF2D	1.3296000000000001	124	1
4_MACS_peak_1393_lociStitched	chr1	149802913	149834081	4	17703	108558.144	8437.1776	125	HIST2H4B,HIST2H2AA4,HIST2H3A,HIST2H2BC	FCGR1A,HIST2H2AC,BOLA1,HIST2H2BF,HIST2H3D,HIST2H2BE,HIST2H2AB	HIST2H2BC	HIST2H2AC	5.3883	125	1
5_MACS_peak_13324_lociStitched	chr2	97190536	97220555	5	18660	91524.9291	5907.7392	126	ARID5A	NEURL3	ARID5A	ARID5A	1.9982000000000002	126	1
6_MACS_peak_8608_lociStitched	chr15	101661389	101692432	6	18611	87882.733	5680.869	127			CHSY1	CHSY1	0.6617999999999999	127	1
3_MACS_peak_10728_lociStitched	chr17	75131258	75147023	3	14790	131446.9935	3556.584	128	SEC14L1	C17orf86,SCARNA16,SEC14L1	SEC14L1	SCARNA16	3.4876	128	1
5_MACS_peak_10055_lociStitched	chr17	34408835	34432682	5	19198	74595.8007	5091.3345	129	CCL4,CCL3	CCL18	CCL3	CCL3	3.2183	129	1
2_MACS_peak_1499_lociStitched	chr1	154374796	154394633	2	16593	114183.7557	5947.1326	130	IL6R		IL6R	IL6R	1.4818	130	1
4_MACS_peak_1873_lociStitched	chr1	183856334	183885880	4	16316	117596.0346	6963.9922	131	RGL1		GLT25D2	GLT25D2	NONE	131	1
2_MACS_peak_19301_lociStitched	chr5	32570727	32593357	2	17040	105924.241	4283.859	132	SUB1		SUB1	SUB1	2.4319	132	1
5_MACS_peak_17479_lociStitched	chr3	160116024	160140920	5	19444	64107.2	6072.1344	133	SMC4,MIR15B,MIR16-2,IFT80	IFT80,TRIM59	MIR16-2	MIR16-2	4.6174	133	1
5_MACS_peak_13011_lociStitched	chr2	64862611	64896045	5	18963	73437.781	6185.29	134	SERTAD2	LOC339807	SERTAD2	SERTAD2	1.6935	134	1
3_MACS_peak_20813_lociStitched	chr6	25365943	25390452	3	18787	76122.5031	5313.5512	135	LRRC16A		LRRC16A	LRRC16A	0.7093	135	1
1_MACS_peak_22816_lociStitched	chr7	78113596	78128339	1	14744	127352.9826	3582.549	136	MAGI2		RPL13AP17	RPL13AP17	NONE	136	1
6_MACS_peak_15132_lociStitched	chr20	52530721	52566871	6	18722	76066.83	5798.46	137	BCAS1	SUMO1P1	SUMO1P1	SUMO1P1	3.3182	137	1
2_MACS_peak_16571_lociStitched	chr3	46245378	46257468	2	11223	151481.655	3604.029	138	CCR1	CCR3	CCR1	CCR1	6.7475	138	1
4_MACS_peak_15992_lociStitched	chr22	39823009	39846185	4	14132	129966.3728	4320.0064	140	TAB1	MGAT3	MGAT3	MGAT3	0.7604000000000001	140	1
5_MACS_peak_13277_lociStitched	chr2	88891738	88928516	5	19632	45983.5334	6859.097	141	EIF2AK3		EIF2AK3	EIF2AK3	0.4719	141	1
4_MACS_peak_6911_lociStitched	chr13	115023317	115048805	4	18176	79453.7424	4536.864	142	CDC16,UPF3A	ZNF828	UPF3A	UPF3A	1.1865	142	1
3_MACS_peak_8070_lociStitched	chr15	56644857	56667117	3	14635	124023.816	4260.564	143	TEX9		TEX9	TEX9	1.2568	143	1
5_MACS_peak_7393_lociStitched	chr14	77487948	77510576	5	18174	72647.194	2172.288	144	C14orf4		C14orf4	C14orf4	2.9139000000000004	144	1
5_MACS_peak_10636_lociStitched	chr17	72733353	72756911	5	18944	55457.8878	4400.6344	145	RAB37,SLC9A3R1,MIR3615	TMEM104,CD300LF,NAT9	SLC9A3R1	SLC9A3R1	1.0287000000000002	145	1
5_MACS_peak_8486_lociStitched	chr15	89646577	89675159	5	16909	91836.8242	5281.9536	146	ABHD2		ABHD2	ABHD2	0.7293000000000001	146	1
1_MACS_peak_22639_lociStitched	chr7	55569172	55586521	1	17350	78363.6981	3448.9812	147	VOPP1		VOPP1	VOPP1	2.5744	147	1
2_MACS_peak_3511_lociStitched	chr10	112112577	112122550	2	8237	155292.5749	2820.3644	148		SMNDC1	SMNDC1	SMNDC1	0.17789999999999997	148	1
2_MACS_peak_9994_lociStitched	chr17	29634890	29651089	2	15583	100456.4786	3325.6547	150	NF1,EVI2B,EVI2A	OMG	EVI2B	EVI2B	3.3891	150	1
3_MACS_peak_19449_lociStitched	chr5	55436890	55453730	3	16654	81148.592	3357.896	151	ANKRD55		ANKRD55	ANKRD55	0.5502	151	1
6_MACS_peak_7841_lociStitched	chr15	40329818	40358692	6	16738	80971.3582	5012.5264	152	SRP14	BMF	SRP14	BMF	4.8102	152	1
4_MACS_peak_7813_lociStitched	chr15	38360773	38380748	4	12224	129058.475	3731.33	153			TMCO5A	TMCO5A	NONE	153	1
1_MACS_peak_11305_lociStitched	chr18	60821853	60831638	1	9786	143384.4975	2798.51	154	BCL2		BCL2	BCL2	0.9983	154	1
2_MACS_peak_15280_lociStitched	chr21	19151751	19169545	2	16039	87615.8766	3747.4164	155	C21orf91		C21orf91	C21orf91	1.6888999999999998	155	1
3_MACS_peak_12869_lociStitched	chr2	47526762	47550759	3	14847	103851.8169	4672.2159	156		EPCAM	EPCAM	NONE	NONE	156	1
3_MACS_peak_21608_lociStitched	chr6	109214006	109229015	3	14873	101821.056	3169.9008	157	ARMC2		ARMC2	ARMC2	1.0042	157	1
3_MACS_peak_14285_lociStitched	chr2	219742937	219763407	3	16598	78318.22	3764.433	158	WNT10A	WNT6,PRKAG3	WNT10A	WNT10A	3.1946999999999997	158	1
3_MACS_peak_16567_lociStitched	chr3	46130315	46153674	3	15839	89485.9931	4456.8972	159			XCR1	XCR1	NONE	159	1
5_MACS_peak_14124_lociStitched	chr2	202072799	202102140	5	17823	51346.75	5692.154	160	CASP10,CASP8	CASP8	CASP8	CASP8	2.0625	160	1
2_MACS_peak_22640_lociStitched	chr7	55595455	55606035	2	9661	140521.444	2711.654	161	VOPP1		VOPP1	VOPP1	2.5744	161	1
2_MACS_peak_1552_lociStitched	chr1	155931001	155952170	2	15505	93010.2353	5300.7176	162	ARHGEF2	RXFP4,RIT1,SNORA42,SCARNA4,KIAA0907,SSR2	ARHGEF2	ARHGEF2	2.6827	162	1
5_MACS_peak_22494_lociStitched	chr7	38383783	38408588	5	18024	39521.8065	5402.529	163			TARP	TARP	NONE	163	1
