REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X19_0EX5_0229Kronos_MM1S.KB.24hr.1_H3K27Ac_hs.dm_i39.bam	X43_0EXV_0229Kronos_MM1S.KB.24hr.1_Input_hs_i87.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isSuper
3_MACS_peak_11473_lociStitched	chr19	2073477	2098356	3	17568	168527.8581	7155.2004	56	IZUMO4,MOBKL2A	MKNK2	MOBKL2A	MOBKL2A	4.5758	56	1
4_MACS_peak_11497_lociStitched	chr19	2594883	2628808	4	18569	168977.0325	8437.1475	57	GNG7		GNG7	GNG7	0.8427	57	1
1_MACS_peak_14119_lociStitched	chr2	201979961	201995040	1	15080	163760.9558	3707.9261	58	CFLAR	NDUFB3,FAM126B	CFLAR	CFLAR	2.8693999999999997	58	1
3_MACS_peak_8970_lociStitched	chr16	23343191	23363483	3	12677	163628.6004	4161.8892	59	SCNN1B		SCNN1B	SCNN1B	2.3315	59	1
2_MACS_peak_421_lociStitched	chr1	31213892	31233399	2	19223	164389.3904	5021.1018	60	LAPTM5	LOC100129196,MATN1	LAPTM5	LAPTM5	4.5232	60	1
4_MACS_peak_2059_lociStitched	chr1	204474556	204501089	4	18603	164706.2508	7506.1857	61	MDM4	PIK3C2B	MDM4	MDM4	2.6624	61	1
4_MACS_peak_3612_lociStitched	chr10	125821729	125854974	4	30973	163409.1485	6353.1195	62	CHST15		CHST15	CHST15	1.7263	62	1
1_MACS_peak_19051_lociStitched	chr4	185301666	185308417	1	6752	159061.6612	2290.6143	63			IRF2	IRF2	3.3585	63	1
4_MACS_peak_3820_lociStitched	chr11	10314479	10345128	4	22172	163359.17	6687.6118	64	ADM,SBF2		ADM	ADM	7.7604	64	1
3_MACS_peak_10456_lociStitched	chr17	56405010	56431003	3	19080	162063.7557	6266.9123	65	BZRAP1,MIR142,SUPT4H1	MPO	MIR142	MIR142	6.093500000000001	65	1
2_MACS_peak_3913_lociStitched	chr11	19449794	19466107	2	14590	159453.0498	4285.4251	66	NAV2		NAV2	NAV2	0.1622	66	1
1_MACS_peak_5549_lociStitched	chr12	53582467	53604464	1	21998	159339.6689	5371.6674	67	ZNF740,ITGB7,RARG	MFSD5,CSAD	ITGB7	ITGB7	5.9629	67	1
4_MACS_peak_23427_lociStitched	chr7	150053119	150084950	4	25937	161367.2545	8387.4685	68	REPIN1,ZNF775	LRRC61,C7orf29,LOC728743,LOC285972,ACTR3C,RARRES2	REPIN1	REPIN1	6.4479999999999995	68	1
2_MACS_peak_3511_lociStitched	chr10	112112577	112122550	2	8237	155292.5749	2820.3644	69		SMNDC1	SMNDC1	SMNDC1	0.17789999999999997	69	1
4_MACS_peak_19728_lociStitched	chr5	88595650	88617568	4	15878	154324.638	4767.165	70			MEF2C	MEF2C	1.0005	70	1
2_MACS_peak_16571_lociStitched	chr3	46245378	46257468	2	11223	151481.655	3604.029	71	CCR1	CCR3	CCR1	CCR1	6.7475	71	1
4_MACS_peak_2899_lociStitched	chr10	45913488	45934445	4	15510	146164.5965	4122.2419	72	ALOX5		ALOX5	ALOX5	1.7200000000000002	72	1
3_MACS_peak_10533_lociStitched	chr17	62149775	62187297	3	37409	148744.7124	7767.054	73	ERN1	SNORD104,SNORA76	ERN1	ERN1	2.1203	73	1
1_MACS_peak_11305_lociStitched	chr18	60821853	60831638	1	9786	143384.4975	2798.51	74	BCL2		BCL2	BCL2	0.9983	74	1
2_MACS_peak_4923_lociStitched	chr11	128584997	128618663	2	27875	146928.5238	7137.192	75	FLI1		FLI1	FLI1	1.2703	75	1
3_MACS_peak_1318_lociStitched	chr1	145427057	145458011	3	20639	148582.2954	8911.6566	76	TXNIP,POLR3GL	HFE2,ANKRD34A,LIX1L,RBM8A	TXNIP	TXNIP	4.4499	76	1
2_MACS_peak_22640_lociStitched	chr7	55595455	55606035	2	9661	140521.444	2711.654	77	VOPP1		VOPP1	VOPP1	2.5744	77	1
2_MACS_peak_7848_lociStitched	chr15	40386543	40408980	2	17487	142890.0345	5207.6277	78	BMF	BUB1B	BMF	BMF	4.8102	78	1
4_MACS_peak_1632_lociStitched	chr1	160633667	160655970	4	14900	142578.6184	5734.1013	79	CD48	SLAMF1	SLAMF1	SLAMF1	0.07730000000000001	79	1
4_MACS_peak_2615_lociStitched	chr10	7511277	7535982	4	16738	140195.934	4125.735	80			SFMBT2	SFMBT2	NONE	80	1
9_MACS_peak_21879_lociStitched	chr6	138246661	138297737	9	27808	144187.548	8601.1984	81			TNFAIP3	TNFAIP3	2.5065	81	1
4_MACS_peak_19052_lociStitched	chr4	185317483	185350328	4	21733	137876.741	5810.2805	82	IRF2		IRF2	IRF2	3.3585	82	1
7_MACS_peak_9328_lociStitched	chr16	68269996	68320800	7	33841	141616.15	9601.956	83	PLA2G15,SLC7A6,ESRP2	PRMT7,SLC7A6OS	SLC7A6	SLC7A6	1.6594	83	1
3_MACS_peak_15915_lociStitched	chr22	37610885	37642475	3	28705	137536.542	6491.745	84	RAC2	CYTH4,C1QTNF6,SSTR3	RAC2	RAC2	2.3855	84	1
2_MACS_peak_22383_lociStitched	chr7	26002229	26011888	2	9566	133221.7575	2375.1481	85		MIR148A	MIR148A	MIR148A	2.833	85	1
6_MACS_peak_21237_lociStitched	chr6	52392511	52443091	6	38711	140384.79	9933.912	86	TRAM2		TRAM2	TRAM2	1.9436	86	1
3_MACS_peak_10728_lociStitched	chr17	75131258	75147023	3	14790	131446.9935	3556.584	87	SEC14L1	C17orf86,SCARNA16,SEC14L1	SEC14L1	SCARNA16	3.4876	87	1
1_MACS_peak_13493_lociStitched	chr2	112455509	112465893	1	10385	130529.9952	2913.7504	88			ANAPC1	ANAPC1	NONE	88	1
5_MACS_peak_14754_lociStitched	chr20	25261137	25303012	5	24423	133811.5625	6586.9375	89	PYGB,ABHD12		PYGB	PYGB	1.1881	89	1
2_MACS_peak_12571_lociStitched	chr2	20397478	20426470	2	22665	132470.2464	5375.1168	90	SDC1		SDC1	SDC1	3.6879999999999997	90	1
4_MACS_peak_15992_lociStitched	chr22	39823009	39846185	4	14132	129966.3728	4320.0064	91	TAB1	MGAT3	MGAT3	MGAT3	0.7604000000000001	91	1
4_MACS_peak_7813_lociStitched	chr15	38360773	38380748	4	12224	129058.475	3731.33	92			TMCO5A	TMCO5A	NONE	92	1
8_MACS_peak_12124_lociStitched	chr19	42022449	42070578	8	28703	134520.555	9688.3677	93		CEACAM21	CEACAM21	NONE	NONE	93	1
4_MACS_peak_22046_lociStitched	chr6	157976074	158007229	4	19981	127526.7615	3025.1505	94	ZDHHC14	MIR3692	MIR3692	NONE	NONE	94	1
4_MACS_peak_15538_lociStitched	chr21	45552529	45580787	4	18112	131659.6736	7491.1958	95	C21orf33	PWP2	C21orf33	C21orf33	1.5597	95	1
1_MACS_peak_22816_lociStitched	chr7	78113596	78128339	1	14744	127352.9826	3582.549	96	MAGI2		RPL13AP17	RPL13AP17	NONE	96	1
3_MACS_peak_2610_lociStitched	chr10	6953963	6973260	3	9538	127539.6621	3874.8376	97			LOC439949	LOC439949	NONE	97	1
4_MACS_peak_16278_lociStitched	chr3	13035585	13061703	4	17960	128124.4608	5696.3358	98	IQSEC1	IQSEC1	IQSEC1	IQSEC1	0.6433	98	1
1_MACS_peak_19724_lociStitched	chr5	88170831	88187059	1	16229	126580.0228	4290.6832	99	MEF2C		MEF2C	MEF2C	1.0005	99	1
2_MACS_peak_3518_lociStitched	chr10	112215886	112226255	2	9896	124483.9926	2527.9622	100		DUSP5	DUSP5	DUSP5	2.1774999999999998	100	1
1_MACS_peak_6894_lociStitched	chr13	114555983	114568057	1	12075	124973.1444	3363.8164	101	GAS6	FLJ44054,GAS6	GAS6	GAS6	2.3467	101	1
2_MACS_peak_19732_lociStitched	chr5	88634755	88651621	2	10396	124998.9858	3562.0992	102			MEF2C	MEF2C	1.0005	102	1
5_MACS_peak_7750_lociStitched	chr15	31616728	31660660	5	32278	128619.7164	7855.0416	103	KLF13		KLF13	KLF13	1.9747	103	1
1_MACS_peak_6902_lociStitched	chr13	114828808	114835206	1	6399	121707.2346	1648.1248	104	RASA3		RASA3	RASA3	1.2798	104	1
3_MACS_peak_8070_lociStitched	chr15	56644857	56667117	3	14635	124023.816	4260.564	105	TEX9		TEX9	TEX9	1.2568	105	1
1_MACS_peak_17574_lociStitched	chr3	174865657	174871502	1	5846	121833.18	2302.3455	106	NAALADL2		NAALADL2	NAALADL2	0.14650000000000002	106	1
1_MACS_peak_2136_lociStitched	chr1	209275158	209284390	1	9233	121499.5824	2932.0832	107			LOC642587	LOC642587	NONE	107	1
3_MACS_peak_5891_lociStitched	chr12	92753964	92770172	3	9973	119999.1696	3392.3344	108		CLLU1	CLLU1	CLLU1	0.18769999999999998	108	1
1_MACS_peak_13227_lociStitched	chr2	86219938	86229203	1	9266	118596.6325	2105.008	109		LOC90784	LOC90784	NONE	NONE	109	1
3_MACS_peak_5464_lociStitched	chr12	48196318	48218914	3	17384	119948.6064	4164.4428	110	HDAC7	SLC48A1,RAPGEF3	HDAC7	HDAC7	2.4506	110	1
3_MACS_peak_16594_lociStitched	chr3	46578011	46591887	3	11353	117571.348	2610.0756	111	LRRC2	RTP3,TDGF1	LRRC2	LRRC2	1.9061	111	1
1_MACS_peak_12804_lociStitched	chr2	43444121	43456980	1	12860	117879.7389	3177.4589	112	LOC100129726,ZFP36L2		ZFP36L2	ZFP36L2	8.0541	112	1
5_MACS_peak_11173_lociStitched	chr18	46440275	46482995	5	37472	122691.84	8360.304	113	SMAD7		SMAD7	SMAD7	2.7462	113	1
3_MACS_peak_8209_lociStitched	chr15	68568564	68599480	3	29422	120417.82	6418.1616	114	FEM1B,ITGA11	CLN6	FEM1B	FEM1B	3.0989	114	1
2_MACS_peak_14129_lociStitched	chr2	202115939	202129594	2	12409	116235.4565	3204.8285	115	CASP8		CASP8	CASP8	2.0625	115	1
4_MACS_peak_22863_lociStitched	chr7	90329828	90367856	4	21949	119617.074	7240.5312	116	CDK14		CDK14	CDK14	0.2274	116	1
2_MACS_peak_1563_lociStitched	chr1	156115471	156137026	2	20425	118427.481	6250.95	117	SEMA4A	LMNA,SLC25A44,PMF1	SEMA4A	SEMA4A	2.976	117	1
4_MACS_peak_1873_lociStitched	chr1	183856334	183885880	4	16316	117596.0346	6963.9922	118	RGL1		GLT25D2	GLT25D2	NONE	118	1
1_MACS_peak_17618_lociStitched	chr3	178230013	178241559	1	11547	113877.0434	3395.6786	119		KCNMB2	KCNMB2	KCNMB2	0.011899999999999994	119	1
2_MACS_peak_15111_lociStitched	chr20	52193756	52216281	2	22172	114625.22	4318.0425	120	ZNF217		ZNF217	ZNF217	1.7121	120	1
2_MACS_peak_5899_lociStitched	chr12	92853915	92866388	2	11905	112955.488	2957.3483	121		CLLU1,CLLU1OS	CLLU1OS	CLLU1	0.18769999999999998	121	1
2_MACS_peak_16938_lociStitched	chr3	98476711	98497254	2	19504	114143.0709	4490.6998	122	ST3GAL6		ST3GAL6	ST3GAL6	1.9593999999999998	122	1
2_MACS_peak_12740_lociStitched	chr2	37598586	37606878	2	7526	111679.1436	2071.3416	123	QPCT		QPCT	QPCT	7.4785	123	1
3_MACS_peak_23511_lociStitched	chr8	2027199	2050874	3	18230	114305.2675	4744.47	124	MYOM2		MYOM2	MYOM2	1.3360999999999998	124	1
1_MACS_peak_20684_lociStitched	chr6	11827542	11836945	1	9404	111229.9676	2331.944	125		C6orf105	C6orf105	C6orf105	0.5307	125	1
2_MACS_peak_1499_lociStitched	chr1	154374796	154394633	2	16593	114183.7557	5947.1326	126	IL6R		IL6R	IL6R	1.4818	126	1
1_MACS_peak_12791_lociStitched	chr2	42322986	42334853	1	11868	110520.9311	3289.5324	127		PKDCC	PKDCC	NONE	NONE	127	1
1_MACS_peak_13228_lociStitched	chr2	86261274	86267533	1	6260	108462.8369	1740.002	128	POLR1A	LOC90784	LOC90784	NONE	NONE	128	1
1_MACS_peak_15117_lociStitched	chr20	52267588	52279683	1	12096	109361.7805	2672.995	129			ZNF217	ZNF217	1.7121	129	1
2_MACS_peak_7748_lociStitched	chr15	31546373	31561148	2	10748	109301.0175	3058.425	130			KLF13	KLF13	1.9747	130	1
2_MACS_peak_18440_lociStitched	chr4	84132237	84144686	2	10474	107839.4625	2756.2086	131			COQ2	COQ2	NONE	131	1
1_MACS_peak_1871_lociStitched	chr1	183808915	183815939	1	7025	107052.784	2358.6592	132	RGL1		APOBEC4	APOBEC4	NONE	132	1
4_MACS_peak_14054_lociStitched	chr2	197023866	197049025	4	22264	108681.8482	5301.0013	133	STK17B		STK17B	STK17B	1.1056	133	1
2_MACS_peak_17524_lociStitched	chr3	169656512	169668467	2	10897	106025.3085	3557.808	134	SAMD7,LOC100128164	SEC62	LOC100128164	LOC100128164	3.5671	134	1
2_MACS_peak_11997_lociStitched	chr19	35695224	35706386	2	9405	105179.526	2876.4474	135		FXYD5,LSR,FAM187B	FAM187B	LSR	0.8084	135	1
7_MACS_peak_16573_lociStitched	chr3	46317833	46347638	7	24808	108156.384	5993.7855	136		CCR3,CCR2	CCR3	CCR2	2.9095	136	1
5_MACS_peak_16215_lociStitched	chr3	5222098	5256348	5	28819	108260.825	6514.35	137	ARL8B,EDEM1		EDEM1	EDEM1	2.0724	137	1
2_MACS_peak_19301_lociStitched	chr5	32570727	32593357	2	17040	105924.241	4283.859	138	SUB1		SUB1	SUB1	2.4319	138	1
5_MACS_peak_8287_lociStitched	chr15	75063209	75093273	5	25205	107544.9408	5973.7168	139	CSK	CYP1A2,LMAN1L,CPLX3,CYP1A1,ULK3	CSK	CSK	2.9508	139	1
4_MACS_peak_21467_lociStitched	chr6	90053970	90086121	4	23743	107323.2531	6102.2598	140	UBE2J1,RRAGD	GABRR2	UBE2J1	UBE2J1	1.9178999999999997	140	1
3_MACS_peak_17755_lociStitched	chr3	186703101	186720138	3	13062	106232.5098	5358.1365	141	ST6GAL1	ST6GAL1	ST6GAL1	ST6GAL1	1.2357	141	1
4_MACS_peak_1393_lociStitched	chr1	149802913	149834081	4	17703	108558.144	8437.1776	142	HIST2H4B,HIST2H2AA4,HIST2H3A,HIST2H2BC	FCGR1A,HIST2H2AC,BOLA1,HIST2H2BF,HIST2H3D,HIST2H2BE,HIST2H2AB	HIST2H2BC	HIST2H2AC	5.3883	142	1
2_MACS_peak_13093_lociStitched	chr2	70309986	70323519	2	9653	102406.9176	2893.3554	143	PCBP1,LOC400960	LOC100133985	PCBP1	PCBP1	8.0594	143	1
6_MACS_peak_23714_lociStitched	chr8	27208530	27253044	6	27916	108115.6032	8698.0356	144	PTK2B	TRIM35	PTK2B	PTK2B	0.9118	144	1
2_MACS_peak_13745_lociStitched	chr2	158323615	158337705	2	7832	102506.159	3285.788	145		CYTIP	CYTIP	CYTIP	1.9215	145	1
3_MACS_peak_12869_lociStitched	chr2	47526762	47550759	3	14847	103851.8169	4672.2159	146		EPCAM	EPCAM	NONE	NONE	146	1
2_MACS_peak_18292_lociStitched	chr4	69431880	69443780	2	11090	101505.81	2357.39	147	UGT2B15,UGT2B17		UGT2B17	UGT2B17	0.7575	147	1
3_MACS_peak_21608_lociStitched	chr6	109214006	109229015	3	14873	101821.056	3169.9008	148	ARMC2		ARMC2	ARMC2	1.0042	148	1
1_MACS_peak_17599_lociStitched	chr3	176911382	176920779	1	9398	100868.3377	2837.894	149	TBL1XR1		TBL1XR1	TBL1XR1	0.6291	149	1
5_MACS_peak_7426_lociStitched	chr14	81930568	81956825	5	21199	100511.796	2602.0687	150	SEL1L		SEL1L	SEL1L	1.4185	150	1
4_MACS_peak_11057_lociStitched	chr18	23746073	23772102	4	12978	102236.7062	4466.5764	151	PSMA8	TAF4B	PSMA8	PSMA8	1.3756	151	1
3_MACS_peak_12068_lociStitched	chr19	39880468	39903982	3	18649	101867.3508	4636.9608	152	MED29,ZFP36,PLEKHG2,PAF1	SAMD4B,SUPT5H,RPS16	ZFP36	ZFP36	6.1482	152	1
2_MACS_peak_9994_lociStitched	chr17	29634890	29651089	2	15583	100456.4786	3325.6547	153	NF1,EVI2B,EVI2A	OMG	EVI2B	EVI2B	3.3891	153	1
1_MACS_peak_2814_lociStitched	chr10	30989001	30997029	1	8029	98927.4384	1836.8064	154			LYZL2	LYZL2	NONE	154	1
1_MACS_peak_2075_lociStitched	chr1	205251814	205258800	1	6987	99757.2856	2944.599	155		NUAK2	NUAK2	NUAK2	0.5972999999999999	155	1
2_MACS_peak_14827_lociStitched	chr20	32461691	32473798	2	9125	98957.7752	2829.4059	156			CHMP4B	CHMP4B	2.6654	156	1
2_MACS_peak_23774_lociStitched	chr8	29622343	29634481	2	6517	98217.0546	2283.1578	157		C8orf75	C8orf75	C8orf75	0.5615	157	1
2_MACS_peak_4756_lociStitched	chr11	115090140	115102598	2	10554	98211.3972	2704.6318	158	CADM1		CADM1	CADM1	0.3957	158	1
1_MACS_peak_12530_lociStitched	chr2	11883573	11898271	1	14699	98304.6334	3568.6744	159	LPIN1		LPIN1	LPIN1	1.0416999999999998	159	1
3_MACS_peak_25274_lociStitched	chr9	112668636	112683371	3	9878	97728.414	3095.8235	160	PALM2,PALM2-AKAP2		PALM2	PALM2	0.47850000000000004	160	1
1_MACS_peak_20121_lociStitched	chr5	139046167	139052268	1	6102	95979.7118	1671.674	161	CXXC5		CXXC5	CXXC5	2.1635	161	1
3_MACS_peak_11832_lociStitched	chr19	16693870	16711778	3	12452	97747.2364	3891.4084	162	MED26	CHERP,SLC35E1	SLC35E1	CHERP	0.1261	162	1
2_MACS_peak_18131_lociStitched	chr4	38307000	38322417	2	13230	96262.2063	3419.4906	163			KLF3	KLF3	NONE	163	1
2_MACS_peak_26009_lociStitched	chrX	48790023	48805954	2	14978	94529.7747	1704.617	164	OTUD5	PQBP1,TIMM17B,SLC35A2,PIM2,KCND1	OTUD5	OTUD5	2.8667000000000002	164	1
