REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	21_0F27_0229Kronos_MM1S-No-Treatment-1_H3K27me3_hs-dm_i02.bam	35_0EXN_0229Kronos_MM1S-No-Treatment-1_Input_hs_i77.bam
9_MACS_peak_16385_lociStitched	chr19	4544665	4624097	9	76456	154908.28639999998	12653.5176
19_MACS_peak_22837_lociStitched	chr20	62790848	62866298	19	69046	105984.615	6918.765
22_MACS_peak_181_lociStitched	chr1	1934764	2010198	22	69556	98184.8944	5619.833
33_MACS_peak_2257_lociStitched	chr1	17906570	17981016	33	68169	85292.7822	5553.6716
12_MACS_peak_14273_lociStitched	chr17	48633289	48707009	12	71353	125316.628	8123.944
14_MACS_peak_23312_lociStitched	chr21	46404171	46477830	14	70669	146154.18779999999	9030.5934
18_MACS_peak_17961_lociStitched	chr19	18059504	18132672	18	70348	109810.53439999999	7163.1472
26_MACS_peak_27288_lociStitched	chr4	8586257	8659370	26	67521	86287.9626	4818.1467
13_MACS_peak_12713_lociStitched	chr17	1828550	1900870	13	69455	109991.488	6501.567999999999
8_MACS_peak_22599_lociStitched	chr20	61141406	61213401	8	71070	137107.27800000002	6090.777
23_MACS_peak_33893_lociStitched	chr9	138571910	138643510	23	67917	92557.31999999999	4424.88
9_MACS_peak_15957_lociStitched	chr19	1281722	1352955	9	68376	177605.2389	9573.715199999999
18_MACS_peak_31395_lociStitched	chr8	141991264	142061211	18	64884	106536.2757	8386.6453
17_MACS_peak_510_lociStitched	chr1	3099579	3169137	17	66046	90411.4884	4869.06
12_MACS_peak_15974_lociStitched	chr19	1483966	1549684	12	62807	134715.32820000002	9851.128200000001
12_MACS_peak_6526_lociStitched	chr11	2161440	2226589	12	62630	100316.4302	5003.4432
7_MACS_peak_12654_lociStitched	chr17	1041701	1106316	7	63325	117411.91649999999	7379.032999999999
12_MACS_peak_263_lociStitched	chr1	2347832	2412421	12	62556	106339.32960000001	5044.400900000001
15_MACS_peak_27416_lociStitched	chr4	9211662	9274633	15	61966	190468.3837	18721.2783
20_MACS_peak_16625_lociStitched	chr19	5828027	5890739	20	59277	86975.2728	8535.1032
19_MACS_peak_15347_lociStitched	chr17	77704159	77766700	19	56801	89633.76120000001	6028.9524
8_MACS_peak_23393_lociStitched	chr21	46858189	46920229	8	60186	116932.992	7451.004
23_MACS_peak_15406_lociStitched	chr17	77934048	77995349	23	56169	84282.7449	5645.8221
10_MACS_peak_16357_lociStitched	chr19	4183102	4242098	10	57714	96411.2632	9191.576799999999
10_MACS_peak_32822_lociStitched	chr9	133770338	133829287	10	55983	97831.7604	5287.7253
10_MACS_peak_22733_lociStitched	chr20	62064400	62123091	10	55685	93641.4905	4707.0181999999995
14_MACS_peak_10856_lociStitched	chr16	1144065	1202535	14	56557	97463.643	3964.266
5_MACS_peak_23601_lociStitched	chr22	19705812	19763973	5	56527	98867.8839	4705.2249
10_MACS_peak_6900_lociStitched	chr11	61441976	61500113	10	56515	89391.45120000001	5586.965700000001
14_MACS_peak_6847_lociStitched	chr11	61271527	61329471	14	53177	82048.704	5736.456
16_MACS_peak_33228_lociStitched	chr9	136369316	136426894	16	54103	82123.5014	4352.8968
2_MACS_peak_23310_lociStitched	chr21	46300646	46357652	2	56639	155101.9248	8317.1754
9_MACS_peak_24314_lociStitched	chr22	37456901	37513839	9	55216	91391.1838	5853.2264000000005
7_MACS_peak_1084_lociStitched	chr1	6473523	6530221	7	55660	114881.4876	5760.516799999999
16_MACS_peak_10840_lociStitched	chr16	1085006	1141488	16	52268	80176.199	3473.643
25_MACS_peak_12571_lociStitched	chr17	724919	781328	25	52984	66444.1611	5522.4411
8_MACS_peak_26425_lociStitched	chr4	1751796	1808101	8	53999	114929.76599999999	4763.402999999999
7_MACS_peak_22612_lociStitched	chr20	61315822	61371858	7	54615	101352.3132	5368.248799999999
8_MACS_peak_23385_lociStitched	chr21	46800323	46856354	8	53914	112902.46500000001	6208.2348
14_MACS_peak_32628_lociStitched	chr9	132423081	132479105	14	53072	80607.3312	5406.316
9_MACS_peak_22646_lociStitched	chr20	61584687	61640685	9	55593	99458.0478	5403.807
25_MACS_peak_2123_lociStitched	chr1	17534274	17589542	25	49903	64580.658	5106.763199999999
4_MACS_peak_2029_lociStitched	chr1	17011435	17066313	4	54735	165962.0476	14701.816200000001
24_MACS_peak_17446_lociStitched	chr19	14269456	14324207	24	49951	66287.03570000001	5327.2723
9_MACS_peak_19712_lociStitched	chr19	49520810	49575167	9	52456	84769.7415	5196.5292
7_MACS_peak_32677_lociStitched	chr9	132929141	132983016	7	51957	82272.5125	4557.825
9_MACS_peak_1635_lociStitched	chr1	10699932	10753471	9	52906	97489.1651	4657.893
10_MACS_peak_1050_lociStitched	chr1	6180544	6234075	10	52013	89386.0638	4582.2536
9_MACS_peak_33934_lociStitched	chr9	138864719	138918247	9	51075	78777.1576	3698.7848
22_MACS_peak_3299_lociStitched	chr1	23161055	23214140	22	47673	59853.337499999994	5090.8515
20_MACS_peak_14678_lociStitched	chr17	72333577	72386045	20	48136	62310.9968	4160.712399999999
16_MACS_peak_6482_lociStitched	chr11	1916145	1967812	16	46558	78523.50660000001	4706.8637
6_MACS_peak_31434_lociStitched	chr8	142358475	142409781	6	49677	73680.5466	4427.7078
25_MACS_peak_15429_lociStitched	chr17	77998927	78049995	25	45930	59402.2976	4652.2948
2_MACS_peak_22703_lociStitched	chr20	61850341	61901379	2	50963	100907.2298	4624.0428
16_MACS_peak_11008_lociStitched	chr16	3075037	3126011	16	46299	74146.78039999999	5785.549
3_MACS_peak_17100_lociStitched	chr19	8851007	8901849	3	49937	181429.677	21516.3344
13_MACS_peak_22656_lociStitched	chr20	61652108	61702656	13	47513	71692.22839999999	4994.1424
12_MACS_peak_22619_lociStitched	chr20	61374401	61424838	12	47225	91694.466	4488.893
6_MACS_peak_253_lociStitched	chr1	2243980	2293967	6	49360	95590.1401	3749.0249999999996
21_MACS_peak_15683_lociStitched	chr17	81039214	81088862	21	42140	58515.13280000001	4602.3696
2_MACS_peak_19860_lociStitched	chr19	50594104	50643112	2	48996	97570.0272	15123.8688
9_MACS_peak_14925_lociStitched	chr17	74872072	74921062	9	46215	73127.37299999999	5011.677
19_MACS_peak_7624_lociStitched	chr11	69968935	70017758	19	45474	56253.86059999999	3686.1365
21_MACS_peak_10345_lociStitched	chr15	74587335	74636102	21	43744	58559.41360000001	4866.9466
7_MACS_peak_16252_lociStitched	chr19	3386531	3434986	7	48097	74136.15	5790.3724999999995
14_MACS_peak_3093_lociStitched	chr1	22558548	22606375	14	45254	59324.610799999995	4610.5228
20_MACS_peak_32998_lociStitched	chr9	135346985	135394588	20	42318	52896.4536	4393.756899999999
17_MACS_peak_6577_lociStitched	chr11	2371708	2418575	17	41704	56385.6877	4246.1502
3_MACS_peak_32442_lociStitched	chr9	129371089	129417801	3	45961	86683.45839999999	4297.504
14_MACS_peak_527_lociStitched	chr1	3172037	3218627	14	42188	56746.619999999995	3060.9629999999997
10_MACS_peak_27431_lociStitched	chr4	9324617	9370912	10	45750	134598.083	13476.474500000002
14_MACS_peak_32086_lociStitched	chr8	144927776	144974016	14	40256	66002.976	4610.128
27_MACS_peak_27382_lociStitched	chr4	8877541	8923746	27	39549	52073.035	3506.9595
9_MACS_peak_32642_lociStitched	chr9	132480129	132526244	9	44681	71837.947	5363.1745
11_MACS_peak_7113_lociStitched	chr11	64474620	64520461	11	43148	78433.951	4639.1092
9_MACS_peak_20521_lociStitched	chr2	26776406	26822144	9	43267	71076.852	4948.8516
9_MACS_peak_23236_lociStitched	chr21	45907844	45953432	9	44549	73273.5924	5739.529200000001
13_MACS_peak_6863_lociStitched	chr11	61335840	61381344	13	39661	54682.1568	4136.3135999999995
15_MACS_peak_33916_lociStitched	chr9	138644944	138690433	15	41227	66159.2016	2706.5955
13_MACS_peak_32833_lociStitched	chr9	133834761	133880233	13	43703	64888.544	4097.0271999999995
13_MACS_peak_25979_lociStitched	chr3	50218765	50263597	13	42501	70305.5424	4909.104
12_MACS_peak_2075_lociStitched	chr1	17409490	17453919	12	41214	59992.4787	4340.713299999999
10_MACS_peak_19016_lociStitched	chr19	42466774	42510827	10	42577	65890.0721	4361.247
9_MACS_peak_14811_lociStitched	chr17	72909109	72953129	9	41794	67421.032	4732.15
22_MACS_peak_26038_lociStitched	chr3	50518447	50562400	22	37931	50031.69990000001	4263.441
14_MACS_peak_155_lociStitched	chr1	1867097	1910954	14	39965	56185.202699999994	4017.3012
13_MACS_peak_6910_lociStitched	chr11	61501536	61545346	13	41238	66880.346	4718.337
10_MACS_peak_34050_lociStitched	chr9	139845038	139888569	10	41030	77794.25009999999	3800.2563
7_MACS_peak_29985_lociStitched	chr7	150862156	150905519	7	42519	72806.477	6721.265
20_MACS_peak_2677_lociStitched	chr1	19023858	19067067	20	37660	47020.033800000005	3512.8916999999997
18_MACS_peak_26007_lociStitched	chr3	50444576	50487703	18	38970	47107.6221	3816.7394999999997
15_MACS_peak_1771_lociStitched	chr1	11486647	11529694	15	38304	52547.47289999999	3654.6903
18_MACS_peak_13324_lociStitched	chr17	19097424	19140318	18	39702	42224.8536	5078.649600000001
9_MACS_peak_29104_lociStitched	chr7	2526831	2569437	9	39513	67321.7406	3485.1708
10_MACS_peak_28337_lociStitched	chr6	30408807	30451389	10	39439	64907.7426	6144.582600000001
18_MACS_peak_19562_lociStitched	chr19	48772399	48814766	18	34572	47124.8141	4541.7424
3_MACS_peak_1947_lociStitched	chr1	16338836	16381060	3	41318	84110.208	4011.28
8_MACS_peak_10747_lociStitched	chr16	792064	834275	8	39861	68415.5888	3647.0304
10_MACS_peak_8647_lociStitched	chr12	3367088	3409181	10	39788	55415.4345	3464.2538999999997
23_MACS_peak_16489_lociStitched	chr19	5304884	5346948	23	37670	49458.8512	4690.136
12_MACS_peak_16898_lociStitched	chr19	7830583	7872434	12	39052	53238.657100000004	6189.7629
9_MACS_peak_3940_lociStitched	chr1	32123480	32165285	9	40123	55374.903	4598.55
11_MACS_peak_21942_lociStitched	chr20	56126455	56168127	11	38788	53573.5232	4604.756
20_MACS_peak_6413_lociStitched	chr11	1725531	1767183	20	35570	43584.6528	3852.81
6_MACS_peak_22727_lociStitched	chr20	62021219	62062756	6	40295	67173.6364	2670.8291
17_MACS_peak_12684_lociStitched	chr17	1192881	1234389	17	38212	50191.473600000005	4549.276800000001
18_MACS_peak_12617_lociStitched	chr17	814759	856199	18	37155	47556.544	3596.992
4_MACS_peak_23040_lociStitched	chr21	43763097	43804182	4	40769	75871.6695	6561.2745
16_MACS_peak_1871_lociStitched	chr1	11912717	11953775	16	38167	53531.4204	4130.4348
8_MACS_peak_33973_lociStitched	chr9	139013577	139054527	8	40149	70286.58	3669.12
2_MACS_peak_28399_lociStitched	chr6	31991375	32032311	2	40494	96142.28959999999	4859.1032
10_MACS_peak_34070_lociStitched	chr9	139913377	139954221	10	38690	73547.7908	4027.2183999999997
10_MACS_peak_16333_lociStitched	chr19	3912298	3953067	10	39088	61989.2645	5128.7402
4_MACS_peak_23621_lociStitched	chr22	20151853	20192576	4	39819	77019.4099	3265.9846
3_MACS_peak_23625_lociStitched	chr22	20197558	20238047	3	40142	69021.5983	3554.9342
8_MACS_peak_23196_lociStitched	chr21	45760589	45800981	8	38166	65939.94	5291.352
5_MACS_peak_26471_lociStitched	chr4	3458708	3499029	5	38365	78609.8216	3350.6751
11_MACS_peak_4969_lociStitched	chr1	228744067	228784377	11	38951	44824.72	17954.074
10_MACS_peak_12661_lociStitched	chr17	1108480	1148739	10	38514	53568.6254	4194.9878
10_MACS_peak_24582_lociStitched	chr22	42917226	42957450	10	37258	69688.08	8306.256
8_MACS_peak_1654_lociStitched	chr1	10853155	10893255	8	38516	54652.29	3412.5099999999998
9_MACS_peak_24491_lociStitched	chr22	40068078	40108158	9	38429	56745.263999999996	3386.76
10_MACS_peak_24549_lociStitched	chr22	42792684	42832745	10	38023	54058.3134	3777.7522999999997
11_MACS_peak_33981_lociStitched	chr9	139056564	139096589	11	37121	64015.985	2917.8225
10_MACS_peak_23054_lociStitched	chr21	43830343	43870341	10	36626	59333.033200000005	6835.6582
13_MACS_peak_14184_lociStitched	chr17	47512897	47552816	13	37642	52788.8856	4175.5274
4_MACS_peak_4533_lociStitched	chr1	156639145	156679032	4	38448	81708.51950000001	6968.2589
10_MACS_peak_64_lociStitched	chr1	977372	1016839	10	36159	65613.8875	3133.6798
11_MACS_peak_24365_lociStitched	chr22	37884726	37924128	11	37490	56817.684	3908.6784
22_MACS_peak_1291_lociStitched	chr1	7507915	7547303	22	32381	40597.211599999995	3273.1427999999996
11_MACS_peak_16285_lociStitched	chr19	3707708	3746977	11	37102	64326.548899999994	6039.5722
9_MACS_peak_15937_lociStitched	chr19	817348	856288	9	35835	68366.958	5101.14
12_MACS_peak_29682_lociStitched	chr7	100743247	100781839	12	36967	51354.3744	4025.1456000000003
9_MACS_peak_1669_lociStitched	chr1	10914054	10952612	9	36574	51097.0616	3466.3642
12_MACS_peak_10301_lociStitched	chr15	74465104	74503637	12	35856	45168.3826	3699.168
10_MACS_peak_5586_lociStitched	chr10	102482757	102521210	10	33606	63612.797900000005	3995.2667
17_MACS_peak_32735_lociStitched	chr9	133249538	133287804	17	34293	47048.047	3317.6621999999998
19_MACS_peak_24675_lociStitched	chr22	43801134	43839343	19	33509	42946.916000000005	3026.1528000000003
16_MACS_peak_19790_lociStitched	chr19	50011556	50049727	16	34325	45805.2	4565.2516
13_MACS_peak_10827_lociStitched	chr16	1044960	1082861	13	36875	62180.380600000004	2622.7491999999997
12_MACS_peak_6551_lociStitched	chr11	2305800	2343685	12	35546	51705.448000000004	3280.841
8_MACS_peak_9354_lociStitched	chr13	113627658	113665535	8	36291	56936.7064	3230.9081
13_MACS_peak_15325_lociStitched	chr17	77636813	77674414	13	35581	46519.957200000004	3030.6406
3_MACS_peak_14236_lociStitched	chr17	48038228	48075807	3	37429	69021.3493	3998.4055999999996
7_MACS_peak_6271_lociStitched	chr11	1026209	1063617	7	35905	66193.456	3733.3184
12_MACS_peak_33273_lociStitched	chr9	136495758	136532950	12	34516	45854.016800000005	2651.7896
12_MACS_peak_485_lociStitched	chr1	3029043	3066150	12	34265	46168.5294	2352.5838
27_MACS_peak_33460_lociStitched	chr9	137508624	137545703	27	29954	37661.1403	2369.3481
7_MACS_peak_14197_lociStitched	chr17	47554938	47591966	7	36507	57130.5012	4028.6463999999996
11_MACS_peak_14088_lociStitched	chr17	45922647	45959566	11	33269	51993.027700000006	4371.2096
2_MACS_peak_16646_lociStitched	chr19	5991020	6027909	2	36617	58365.7758	5426.3719
14_MACS_peak_32385_lociStitched	chr9	127232768	127269636	14	33350	49779.1736	3107.9724
11_MACS_peak_24714_lociStitched	chr22	44214029	44250895	11	34637	43771.0018	2680.1582
10_MACS_peak_13470_lociStitched	chr17	26831259	26867995	10	35306	54990.1184	4213.6192
13_MACS_peak_8535_lociStitched	chr12	1919675	1956388	13	31302	43156.1315	3388.6099
15_MACS_peak_1375_lociStitched	chr1	7715724	7752339	15	32829	42356.232	2823.0165
15_MACS_peak_6305_lociStitched	chr11	1236060	1272445	15	33314	45062.822499999995	2634.2740000000003
9_MACS_peak_24817_lociStitched	chr22	44732182	44768224	9	34730	45052.5	2818.4844000000003
12_MACS_peak_19649_lociStitched	chr19	49173842	49209858	12	33813	47789.6304	3612.4048
3_MACS_peak_33993_lociStitched	chr9	139216963	139252969	3	35829	84520.4844	3204.5339999999997
8_MACS_peak_33100_lociStitched	chr9	135848488	135884464	8	34671	52470.996	3460.8911999999996
18_MACS_peak_15281_lociStitched	chr17	77510397	77546333	18	29974	37387.8144	1962.1056
10_MACS_peak_33962_lociStitched	chr9	138962605	138998540	10	34078	59339.4655	2501.076
23_MACS_peak_369_lociStitched	chr1	2776283	2811872	23	31171	40898.8788	2049.9264
6_MACS_peak_16367_lociStitched	chr19	4275228	4310786	6	34656	58741.816	4316.7411999999995
9_MACS_peak_22693_lociStitched	chr20	61779555	61815027	9	32983	44265.5088	2656.8527999999997
20_MACS_peak_25195_lociStitched	chr22	45895325	45930755	20	32310	38175.825	2597.0190000000002
10_MACS_peak_579_lociStitched	chr1	3325820	3361220	10	33677	43665.9	2417.82
8_MACS_peak_6450_lociStitched	chr11	1823977	1859223	8	33426	56111.632000000005	3721.9776
4_MACS_peak_16000_lociStitched	chr19	1754548	1789675	4	34608	80071.99650000001	4331.1591
11_MACS_peak_15111_lociStitched	chr17	76477245	76512269	11	32561	45881.44	3089.1168000000002
15_MACS_peak_7091_lociStitched	chr11	64421065	64456001	15	32019	41231.4672	3521.5488
9_MACS_peak_13138_lociStitched	chr17	7946446	7981380	9	32124	53550.3286	4240.9875999999995
9_MACS_peak_33531_lociStitched	chr9	137682410	137717339	9	33077	47224.008	2434.5513
18_MACS_peak_26580_lociStitched	chr4	3853533	3888426	18	31527	44205.941699999996	3070.584
10_MACS_peak_17979_lociStitched	chr19	18134480	18169275	10	32625	41945.3725	4046.6585
13_MACS_peak_13295_lociStitched	chr17	18970464	19005231	13	31503	36578.360700000005	4050.3555
8_MACS_peak_16397_lociStitched	chr19	4732856	4767598	8	33129	53850.1	5517.0296
13_MACS_peak_26650_lociStitched	chr4	6324976	6359691	13	29732	40887.327	3315.2825000000003
14_MACS_peak_21797_lociStitched	chr20	48881506	48916142	14	31678	40486.0204	3072.2132
6_MACS_peak_19419_lociStitched	chr19	47901577	47936014	6	32437	56521.4481	3946.4802
12_MACS_peak_13310_lociStitched	chr17	19053270	19087615	12	31499	34241.965	4193.5245
3_MACS_peak_21002_lociStitched	chr2	220328583	220362851	3	33832	62093.616	3457.6412
4_MACS_peak_9152_lociStitched	chr12	57585868	57620130	4	33903	71604.1538	4176.5378
20_MACS_peak_26926_lociStitched	chr4	7478424	7512599	20	27991	33723.89	2282.89
5_MACS_peak_32847_lociStitched	chr9	133883128	133917233	5	33045	55151.1955	2895.5145
9_MACS_peak_17997_lociStitched	chr19	18345357	18379373	9	32065	46350.2016	3615.9008000000003
11_MACS_peak_46_lociStitched	chr1	913468	947400	11	32712	62180.39	3416.9524
5_MACS_peak_15401_lociStitched	chr17	77898992	77932879	5	33242	55696.6732	3168.4345
9_MACS_peak_32206_lociStitched	chr9	34547811	34581645	9	32269	45198.8406	3694.6728000000003
11_MACS_peak_20206_lociStitched	chr19	55629828	55663587	11	31885	45021.0024	3271.2471
10_MACS_peak_18395_lociStitched	chr19	35977365	36011116	10	32584	47609.1606	3618.1072
2_MACS_peak_40_lociStitched	chr1	845363	879050	2	32977	94694.15699999999	3516.9228000000003
6_MACS_peak_15171_lociStitched	chr17	77015534	77048925	6	32147	58334.077000000005	4020.2763999999997
2_MACS_peak_29957_lociStitched	chr7	149498279	149531646	2	33188	80945.0053	4264.3026
5_MACS_peak_16352_lociStitched	chr19	4140714	4173717	5	32556	66009.3003	4960.3508999999995
5_MACS_peak_4543_lociStitched	chr1	156825963	156858744	5	32084	56865.200699999994	5163.0075
10_MACS_peak_23437_lociStitched	chr21	47347686	47380334	10	28842	43114.9488	3911.2304
9_MACS_peak_14801_lociStitched	chr17	72873039	72905584	9	30872	42809.693	3449.77
12_MACS_peak_19622_lociStitched	chr19	49078770	49111283	12	29499	42956.175599999995	3644.7073
4_MACS_peak_84_lociStitched	chr1	1089994	1122391	4	31661	70735.60979999999	2640.3555
6_MACS_peak_19379_lociStitched	chr19	47114947	47147313	6	31000	51384.2616	4434.142000000001
12_MACS_peak_17211_lociStitched	chr19	11357336	11389648	12	28810	40490.1672	3434.7656
4_MACS_peak_16381_lociStitched	chr19	4510138	4542431	4	31851	66594.6246	5315.4277999999995
16_MACS_peak_15061_lociStitched	chr17	76290921	76323160	16	29123	40405.1387	3462.4685999999997
10_MACS_peak_15491_lociStitched	chr17	78395349	78427583	10	30891	46449.194	2872.0494
12_MACS_peak_20217_lociStitched	chr19	55668154	55700350	12	29694	41304.2484	3309.7488000000003
5_MACS_peak_13615_lociStitched	chr17	36715847	36747904	5	30612	59690.134000000005	3654.498
9_MACS_peak_3175_lociStitched	chr1	22871395	22903407	9	30854	41794.8672	2676.2032
8_MACS_peak_31828_lociStitched	chr8	143675513	143707512	8	29620	39550.764	1964.7386000000001
9_MACS_peak_25968_lociStitched	chr3	50182320	50214077	9	28583	44494.7327	3261.4439
3_MACS_peak_26241_lociStitched	chr3	184274376	184306077	3	31652	62381.2278	4786.851
5_MACS_peak_28057_lociStitched	chr5	176266102	176297799	5	31176	50791.2728	2830.5421
13_MACS_peak_15511_lociStitched	chr17	78478546	78510135	13	28881	38658.6182	2880.9168
5_MACS_peak_15501_lociStitched	chr17	78430423	78461959	5	30825	50861.260800000004	2822.4719999999998
14_MACS_peak_25684_lociStitched	chr3	12902163	12933662	14	28350	39225.7047	3445.9906
5_MACS_peak_24519_lociStitched	chr22	42685729	42717169	5	29974	42154.752	2933.352
17_MACS_peak_32788_lociStitched	chr9	133392455	133423807	17	27325	33875.836	2536.3768
7_MACS_peak_33358_lociStitched	chr9	137103811	137135042	7	30236	43976.3711	2654.635
12_MACS_peak_14987_lociStitched	chr17	75774231	75805378	12	27000	36030.8496	3124.0441
13_MACS_peak_3866_lociStitched	chr1	31154750	31185838	13	28145	33686.9568	3130.5616
21_MACS_peak_12596_lociStitched	chr17	782501	813557	21	27139	32580.849599999998	2562.1200000000003
10_MACS_peak_34031_lociStitched	chr9	139627793	139658833	10	29731	60357.28	3045.0240000000003
8_MACS_peak_22717_lociStitched	chr20	61985349	62016345	8	28664	44838.8136	2008.5408
16_MACS_peak_1841_lociStitched	chr1	11673547	11704495	16	25713	32981.2836	3432.1331999999998
13_MACS_peak_29607_lociStitched	chr7	100381965	100412670	13	28089	35323.032	3009.09
13_MACS_peak_29556_lociStitched	chr7	100210198	100240834	13	28546	39676.6836	3388.3416
16_MACS_peak_13072_lociStitched	chr17	7656200	7686801	16	26610	35013.66420000001	2922.3955
8_MACS_peak_24794_lociStitched	chr22	44659603	44690021	8	28338	38308.4292	2056.2567999999997
8_MACS_peak_6509_lociStitched	chr11	2103926	2134115	8	27449	36740.013	2460.4035
8_MACS_peak_29114_lociStitched	chr7	2656073	2686242	8	27925	47434.7187	2579.4495
16_MACS_peak_28011_lociStitched	chr5	176146924	176176856	16	26650	34329.010800000004	2478.3696
14_MACS_peak_25550_lociStitched	chr22	50497047	50526931	14	26131	33981.0964	2411.6387999999997
9_MACS_peak_22815_lociStitched	chr20	62726699	62756457	9	27756	52757.9582	3097.8078
12_MACS_peak_1715_lociStitched	chr1	11366049	11395803	12	26028	33312.5784	2630.2536
5_MACS_peak_19785_lociStitched	chr19	49916329	49946057	5	29015	46128.937600000005	2922.2624
5_MACS_peak_1859_lociStitched	chr1	11747878	11777551	5	28690	47669.6745	3145.3379999999997
10_MACS_peak_31818_lociStitched	chr8	143644177	143673844	10	28383	37561.3887	2041.0896
8_MACS_peak_15565_lociStitched	chr17	79271884	79301368	8	28215	53938.029599999994	2591.6436000000003
8_MACS_peak_9108_lociStitched	chr12	54583968	54613426	8	26625	40018.693	3808.9193999999998
11_MACS_peak_33428_lociStitched	chr9	137423219	137452572	11	27507	34704.0519	2310.0811000000003
13_MACS_peak_12445_lociStitched	chr17	19	29309	13	24430	29158.195	2700.538
18_MACS_peak_19246_lociStitched	chr19	46458808	46488014	18	25181	31346.799799999997	2590.5722
4_MACS_peak_24443_lociStitched	chr22	39220495	39249678	4	27950	44460.300500000005	3145.9274
15_MACS_peak_23809_lociStitched	chr22	23852727	23881881	15	24869	33984.8178	2932.8923999999997
16_MACS_peak_16876_lociStitched	chr19	7780087	7809135	16	22932	28443.8016	3886.6224
1_MACS_peak_33992_lociStitched	chr9	139138029	139167013	1	28985	67141.436	2576.6776
12_MACS_peak_17004_lociStitched	chr19	8264201	8293183	12	25509	32967.025	3741.5762
7_MACS_peak_246_lociStitched	chr1	2129708	2158667	7	27169	41619.8748	2646.8525999999997
4_MACS_peak_1968_lociStitched	chr1	16433583	16462527	4	28570	45633.1104	2758.3632
5_MACS_peak_24486_lociStitched	chr22	40036504	40065395	5	27167	38063.892499999994	2585.7445
14_MACS_peak_15471_lociStitched	chr17	78140629	78169517	14	23571	33313.6416	2926.3544
6_MACS_peak_29721_lociStitched	chr7	100915913	100944748	6	27401	36441.673	2995.9565000000002
5_MACS_peak_20951_lociStitched	chr2	219845324	219874122	5	27695	54819.8728	3124.583
21_MACS_peak_11805_lociStitched	chr16	85280876	85309664	21	20845	25016.772	1220.6112
9_MACS_peak_33373_lociStitched	chr9	137161612	137190287	9	26241	37896.880000000005	2213.71
11_MACS_peak_235_lociStitched	chr1	2087255	2115914	11	25527	34038.2943	2143.6932
9_MACS_peak_33505_lociStitched	chr9	137607576	137636088	9	25651	32113.0656	2012.9471999999998
7_MACS_peak_23029_lociStitched	chr21	43717241	43745729	7	26077	48386.867999999995	4444.128
13_MACS_peak_19901_lociStitched	chr19	50930448	50958862	13	24390	32070.881800000003	2767.5236
14_MACS_peak_33405_lociStitched	chr9	137369783	137398193	14	24229	31341.912	1880.742
26_MACS_peak_31063_lociStitched	chr8	7578651	7607015	26	19689	17327.5676	1897.5516
5_MACS_peak_12726_lociStitched	chr17	1904440	1932795	5	27264	47883.088500000005	2710.7380000000003
6_MACS_peak_14889_lociStitched	chr17	74514148	74542449	6	26117	43832.5888	3217.8237
6_MACS_peak_32451_lociStitched	chr9	129441915	129470103	6	27274	49021.7508	3300.8148
