#21_0F27_0229Kronos_MM1S-No-Treatment-1_H3K27me3_hs-dm_i02_peaks Enhancers
#Created from /data/projects/IRF4_mm_trn_data/p300_internal_ChIP/rose/21_0F27_0229Kronos_MM1S-No-Treatment-1_H3K27me3_hs-dm_i02_ROSE/21_0F27_0229Kronos_MM1S-No-Treatment-1_H3K27me3_hs-dm_i02_peaks_1KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by X21_0F27_0229Kronos_MM1S.No.Treatment.1_H3K27me3_hs.dm_i02.bam
#Using cutoff of 18823.2984 for Super-Enhancers
#Created on Jul 18 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X21_0F27_0229Kronos_MM1S.No.Treatment.1_H3K27me3_hs.dm_i02.bam	X35_0EXN_0229Kronos_MM1S.No.Treatment.1_Input_hs_i77.bam	enhancerRank	isSuperStretch
12_MACS_peak_263_lociStitched	chr1	2347832	2412421	12	62556	106339.3296	5044.4009	40	1
10_MACS_peak_27431_lociStitched	chr4	9324617	9370912	10	45750	134598.083	13476.4745	41	1
7_MACS_peak_1084_lociStitched	chr1	6473523	6530221	7	55660	114881.4876	5760.5168	42	1
23_MACS_peak_33893_lociStitched	chr9	138571910	138643510	23	67917	92557.32	4424.88	43	1
8_MACS_peak_26425_lociStitched	chr4	1751796	1808101	8	53999	114929.766	4763.403	44	1
12_MACS_peak_6526_lociStitched	chr11	2161440	2226589	12	62630	100316.4302	5003.4432	45	1
8_MACS_peak_23385_lociStitched	chr21	46800323	46856354	8	53914	112902.465	6208.2348	46	1
17_MACS_peak_510_lociStitched	chr1	3099579	3169137	17	66046	90411.4884	4869.06	47	1
26_MACS_peak_27288_lociStitched	chr4	8586257	8659370	26	67521	86287.9626	4818.1467	48	1
33_MACS_peak_2257_lociStitched	chr1	17906570	17981016	33	68169	85292.7822	5553.6716	49	1
5_MACS_peak_23601_lociStitched	chr22	19705812	19763973	5	56527	98867.8839	4705.2249	50	1
14_MACS_peak_10856_lociStitched	chr16	1144065	1202535	14	56557	97463.643	3964.266	51	1
7_MACS_peak_22612_lociStitched	chr20	61315822	61371858	7	54615	101352.3132	5368.2488	52	1
9_MACS_peak_22646_lociStitched	chr20	61584687	61640685	9	55593	99458.0478	5403.807	53	1
10_MACS_peak_32822_lociStitched	chr9	133770338	133829287	10	55983	97831.7604	5287.7253	54	1
10_MACS_peak_16357_lociStitched	chr19	4183102	4242098	10	57714	96411.2632	9191.5768	55	1
2_MACS_peak_22703_lociStitched	chr20	61850341	61901379	2	50963	100907.2298	4624.0428	56	1
10_MACS_peak_22733_lociStitched	chr20	62064400	62123091	10	55685	93641.4905	4707.0182	57	1
9_MACS_peak_1635_lociStitched	chr1	10699932	10753471	9	52906	97489.1651	4657.893	58	1
19_MACS_peak_15347_lociStitched	chr17	77704159	77766700	19	56801	89633.7612	6028.9524	59	1
10_MACS_peak_6900_lociStitched	chr11	61441976	61500113	10	56515	89391.4512	5586.9657	60	1
20_MACS_peak_16625_lociStitched	chr19	5828027	5890739	20	59277	86975.2728	8535.1032	61	1
9_MACS_peak_24314_lociStitched	chr22	37456901	37513839	9	55216	91391.1838	5853.2264	62	1
6_MACS_peak_253_lociStitched	chr1	2243980	2293967	6	49360	95590.1401	3749.025	63	1
23_MACS_peak_15406_lociStitched	chr17	77934048	77995349	23	56169	84282.7449	5645.8221	64	1
10_MACS_peak_1050_lociStitched	chr1	6180544	6234075	10	52013	89386.0638	4582.2536	65	1
16_MACS_peak_33228_lociStitched	chr9	136369316	136426894	16	54103	82123.5014	4352.8968	66	1
9_MACS_peak_19712_lociStitched	chr19	49520810	49575167	9	52456	84769.7415	5196.5292	67	1
12_MACS_peak_22619_lociStitched	chr20	61374401	61424838	12	47225	91694.466	4488.893	68	1
14_MACS_peak_6847_lociStitched	chr11	61271527	61329471	14	53177	82048.704	5736.456	69	1
7_MACS_peak_32677_lociStitched	chr9	132929141	132983016	7	51957	82272.5125	4557.825	70	1
2_MACS_peak_19860_lociStitched	chr19	50594104	50643112	2	48996	97570.0272	15123.8688	71	1
16_MACS_peak_10840_lociStitched	chr16	1085006	1141488	16	52268	80176.199	3473.643	72	1
14_MACS_peak_32628_lociStitched	chr9	132423081	132479105	14	53072	80607.3312	5406.316	73	1
2_MACS_peak_28399_lociStitched	chr6	31991375	32032311	2	40494	96142.2896	4859.1032	74	1
9_MACS_peak_33934_lociStitched	chr9	138864719	138918247	9	51075	78777.1576	3698.7848	75	1
3_MACS_peak_32442_lociStitched	chr9	129371089	129417801	3	45961	86683.4584	4297.504	76	1
6_MACS_peak_31434_lociStitched	chr8	142358475	142409781	6	49677	73680.5466	4427.7078	77	1
2_MACS_peak_40_lociStitched	chr1	845363	879050	2	32977	94694.157	3516.9228	78	1
16_MACS_peak_6482_lociStitched	chr11	1916145	1967812	16	46558	78523.5066	4706.8637	79	1
25_MACS_peak_12571_lociStitched	chr17	724919	781328	25	52984	66444.1611	5522.4411	80	1
3_MACS_peak_1947_lociStitched	chr1	16338836	16381060	3	41318	84110.208	4011.28	81	1
7_MACS_peak_16252_lociStitched	chr19	3386531	3434986	7	48097	74136.15	5790.3725	82	1
13_MACS_peak_22656_lociStitched	chr20	61652108	61702656	13	47513	71692.2284	4994.1424	83	1
11_MACS_peak_7113_lociStitched	chr11	64474620	64520461	11	43148	78433.951	4639.1092	84	1
16_MACS_peak_11008_lociStitched	chr16	3075037	3126011	16	46299	74146.7804	5785.549	85	1
24_MACS_peak_17446_lociStitched	chr19	14269456	14324207	24	49951	66287.0357	5327.2723	86	1
9_MACS_peak_14925_lociStitched	chr17	74872072	74921062	9	46215	73127.373	5011.677	87	1
25_MACS_peak_2123_lociStitched	chr1	17534274	17589542	25	49903	64580.658	5106.7632	88	1
3_MACS_peak_33993_lociStitched	chr9	139216963	139252969	3	35829	84520.4844	3204.534	89	1
10_MACS_peak_34050_lociStitched	chr9	139845038	139888569	10	41030	77794.2501	3800.2563	90	1
9_MACS_peak_23236_lociStitched	chr21	45907844	45953432	9	44549	73273.5924	5739.5292	91	1
9_MACS_peak_32642_lociStitched	chr9	132480129	132526244	9	44681	71837.947	5363.1745	92	1
4_MACS_peak_23621_lociStitched	chr22	20151853	20192576	4	39819	77019.4099	3265.9846	93	1
5_MACS_peak_26471_lociStitched	chr4	3458708	3499029	5	38365	78609.8216	3350.6751	94	1
4_MACS_peak_4533_lociStitched	chr1	156639145	156679032	4	38448	81708.5195	6968.2589	95	1
20_MACS_peak_14678_lociStitched	chr17	72333577	72386045	20	48136	62310.9968	4160.7124	96	1
9_MACS_peak_20521_lociStitched	chr2	26776406	26822144	9	43267	71076.852	4948.8516	97	1
4_MACS_peak_23040_lociStitched	chr21	43763097	43804182	4	40769	75871.6695	6561.2745	98	1
7_MACS_peak_29985_lociStitched	chr7	150862156	150905519	7	42519	72806.477	6721.265	99	1
13_MACS_peak_25979_lociStitched	chr3	50218765	50263597	13	42501	70305.5424	4909.104	100	1
22_MACS_peak_3299_lociStitched	chr1	23161055	23214140	22	47673	59853.3375	5090.8515	101	1
4_MACS_peak_16000_lociStitched	chr19	1754548	1789675	4	34608	80071.9965	4331.1591	102	1
2_MACS_peak_29957_lociStitched	chr7	149498279	149531646	2	33188	80945.0053	4264.3026	103	1
10_MACS_peak_34070_lociStitched	chr9	139913377	139954221	10	38690	73547.7908	4027.2184	104	1
13_MACS_peak_32833_lociStitched	chr9	133834761	133880233	13	43703	64888.544	4097.0272	105	1
8_MACS_peak_33973_lociStitched	chr9	139013577	139054527	8	40149	70286.58	3669.12	106	1
10_MACS_peak_19016_lociStitched	chr19	42466774	42510827	10	42577	65890.0721	4361.247	107	1
25_MACS_peak_15429_lociStitched	chr17	77998927	78049995	25	45930	59402.2976	4652.2948	108	1
3_MACS_peak_23625_lociStitched	chr22	20197558	20238047	3	40142	69021.5983	3554.9342	109	1
9_MACS_peak_14811_lociStitched	chr17	72909109	72953129	9	41794	67421.032	4732.15	110	1
15_MACS_peak_33916_lociStitched	chr9	138644944	138690433	15	41227	66159.2016	2706.5955	111	1
6_MACS_peak_22727_lociStitched	chr20	62021219	62062756	6	40295	67173.6364	2670.8291	112	1
8_MACS_peak_10747_lociStitched	chr16	792064	834275	8	39861	68415.5888	3647.0304	113	1
14_MACS_peak_3093_lociStitched	chr1	22558548	22606375	14	45254	59324.6108	4610.5228	114	1
13_MACS_peak_6910_lociStitched	chr11	61501536	61545346	13	41238	66880.346	4718.337	115	1
19_MACS_peak_7624_lociStitched	chr11	69968935	70017758	19	45474	56253.8606	3686.1365	116	1
9_MACS_peak_29104_lociStitched	chr7	2526831	2569437	9	39513	67321.7406	3485.1708	117	1
14_MACS_peak_32086_lociStitched	chr8	144927776	144974016	14	40256	66002.976	4610.128	118	1
3_MACS_peak_14236_lociStitched	chr17	48038228	48075807	3	37429	69021.3493	3998.4056	119	1
21_MACS_peak_10345_lociStitched	chr15	74587335	74636102	21	43744	58559.4136	4866.9466	120	1
4_MACS_peak_9152_lociStitched	chr12	57585868	57620130	4	33903	71604.1538	4176.5378	121	1
21_MACS_peak_15683_lociStitched	chr17	81039214	81088862	21	42140	58515.1328	4602.3696	122	1
12_MACS_peak_2075_lociStitched	chr1	17409490	17453919	12	41214	59992.4787	4340.7133	123	1
14_MACS_peak_527_lociStitched	chr1	3172037	3218627	14	42188	56746.62	3060.963	124	1
10_MACS_peak_28337_lociStitched	chr6	30408807	30451389	10	39439	64907.7426	6144.5826	125	1
8_MACS_peak_23196_lociStitched	chr21	45760589	45800981	8	38166	65939.94	5291.352	126	1
10_MACS_peak_24582_lociStitched	chr22	42917226	42957450	10	37258	69688.08	8306.256	127	1
9_MACS_peak_15937_lociStitched	chr19	817348	856288	9	35835	68366.958	5101.14	128	1
11_MACS_peak_33981_lociStitched	chr9	139056564	139096589	11	37121	64015.985	2917.8225	129	1
10_MACS_peak_64_lociStitched	chr1	977372	1016839	10	36159	65613.8875	3133.6798	130	1
7_MACS_peak_6271_lociStitched	chr11	1026209	1063617	7	35905	66193.456	3733.3184	131	1
4_MACS_peak_84_lociStitched	chr1	1089994	1122391	4	31661	70735.6098	2640.3555	132	1
17_MACS_peak_6577_lociStitched	chr11	2371708	2418575	17	41704	56385.6877	4246.1502	133	1
10_MACS_peak_16333_lociStitched	chr19	3912298	3953067	10	39088	61989.2645	5128.7402	134	1
13_MACS_peak_10827_lociStitched	chr16	1044960	1082861	13	36875	62180.3806	2622.7492	135	1
20_MACS_peak_32998_lociStitched	chr9	135346985	135394588	20	42318	52896.4536	4393.7569	136	1
11_MACS_peak_16285_lociStitched	chr19	3707708	3746977	11	37102	64326.5489	6039.5722	137	1
14_MACS_peak_155_lociStitched	chr1	1867097	1910954	14	39965	56185.2027	4017.3012	138	1
10_MACS_peak_8647_lociStitched	chr12	3367088	3409181	10	39788	55415.4345	3464.2539	139	1
9_MACS_peak_3940_lociStitched	chr1	32123480	32165285	9	40123	55374.903	4598.55	140	1
9_MACS_peak_24491_lociStitched	chr22	40068078	40108158	9	38429	56745.264	3386.76	141	1
13_MACS_peak_6863_lociStitched	chr11	61335840	61381344	13	39661	54682.1568	4136.3136	142	1
10_MACS_peak_5586_lociStitched	chr10	102482757	102521210	10	33606	63612.7979	3995.2667	143	1
5_MACS_peak_16352_lociStitched	chr19	4140714	4173717	5	32556	66009.3003	4960.3509	144	1
8_MACS_peak_1654_lociStitched	chr1	10853155	10893255	8	38516	54652.29	3412.51	145	1
11_MACS_peak_24365_lociStitched	chr22	37884726	37924128	11	37490	56817.684	3908.6784	146	1
27_MACS_peak_27382_lociStitched	chr4	8877541	8923746	27	39549	52073.035	3506.9595	147	1
3_MACS_peak_21002_lociStitched	chr2	220328583	220362851	3	33832	62093.616	3457.6412	148	1
4_MACS_peak_16381_lociStitched	chr19	4510138	4542431	4	31851	66594.6246	5315.4278	149	1
1_MACS_peak_33992_lociStitched	chr9	139138029	139167013	1	28985	67141.436	2576.6776	150	1
11_MACS_peak_21942_lociStitched	chr20	56126455	56168127	11	38788	53573.5232	4604.756	151	1
8_MACS_peak_9354_lociStitched	chr13	113627658	113665535	8	36291	56936.7064	3230.9081	152	1
10_MACS_peak_12661_lociStitched	chr17	1108480	1148739	10	38514	53568.6254	4194.9878	153	1
2_MACS_peak_16646_lociStitched	chr19	5991020	6027909	2	36617	58365.7758	5426.3719	154	1
10_MACS_peak_24549_lociStitched	chr22	42792684	42832745	10	38023	54058.3134	3777.7523	155	1
7_MACS_peak_14197_lociStitched	chr17	47554938	47591966	7	36507	57130.5012	4028.6464	156	1
10_MACS_peak_33962_lociStitched	chr9	138962605	138998540	10	34078	59339.4655	2501.076	157	1
10_MACS_peak_23054_lociStitched	chr21	43830343	43870341	10	36626	59333.0332	6835.6582	158	1
11_MACS_peak_46_lociStitched	chr1	913468	947400	11	32712	62180.39	3416.9524	159	1
16_MACS_peak_1871_lociStitched	chr1	11912717	11953775	16	38167	53531.4204	4130.4348	160	1
15_MACS_peak_1771_lociStitched	chr1	11486647	11529694	15	38304	52547.4729	3654.6903	161	1
12_MACS_peak_16898_lociStitched	chr19	7830583	7872434	12	39052	53238.6571	6189.7629	162	1
2_MACS_peak_28397_lociStitched	chr6	31958443	31985291	2	26817	68368.432	3382.848	163	1
6_MACS_peak_16367_lociStitched	chr19	4275228	4310786	6	34656	58741.816	4316.7412	164	1
13_MACS_peak_14184_lociStitched	chr17	47512897	47552816	13	37642	52788.8856	4175.5274	165	1
3_MACS_peak_26241_lociStitched	chr3	184274376	184306077	3	31652	62381.2278	4786.851	166	1
17_MACS_peak_12684_lociStitched	chr17	1192881	1234389	17	38212	50191.4736	4549.2768	167	1
22_MACS_peak_26038_lociStitched	chr3	50518447	50562400	22	37931	50031.6999	4263.441	168	1
18_MACS_peak_26007_lociStitched	chr3	50444576	50487703	18	38970	47107.6221	3816.7395	169	1
10_MACS_peak_13470_lociStitched	chr17	26831259	26867995	10	35306	54990.1184	4213.6192	170	1
12_MACS_peak_29682_lociStitched	chr7	100743247	100781839	12	36967	51354.3744	4025.1456	171	1
9_MACS_peak_1669_lociStitched	chr1	10914054	10952612	9	36574	51097.0616	3466.3642	172	1
23_MACS_peak_16489_lociStitched	chr19	5304884	5346948	23	37670	49458.8512	4690.136	173	1
8_MACS_peak_6450_lociStitched	chr11	1823977	1859223	8	33426	56111.632	3721.9776	174	1
6_MACS_peak_15171_lociStitched	chr17	77015534	77048925	6	32147	58334.077	4020.2764	175	1
5_MACS_peak_15401_lociStitched	chr17	77898992	77932879	5	33242	55696.6732	3168.4345	176	1
12_MACS_peak_6551_lociStitched	chr11	2305800	2343685	12	35546	51705.448	3280.841	177	1
10_MACS_peak_34031_lociStitched	chr9	139627793	139658833	10	29731	60357.28	3045.024	178	1
20_MACS_peak_2677_lociStitched	chr1	19023858	19067067	20	37660	47020.0338	3512.8917	179	1
5_MACS_peak_13615_lociStitched	chr17	36715847	36747904	5	30612	59690.134	3654.498	180	1
5_MACS_peak_32847_lociStitched	chr9	133883128	133917233	5	33045	55151.1955	2895.5145	181	1
4_MACS_peak_29992_lociStitched	chr7	150940710	150967740	4	26256	65372.055	4224.789	182	1
8_MACS_peak_33100_lociStitched	chr9	135848488	135884464	8	34671	52470.996	3460.8912	183	1
18_MACS_peak_12617_lociStitched	chr17	814759	856199	18	37155	47556.544	3596.992	184	1
1_MACS_peak_29956_lociStitched	chr7	149470053	149495871	1	25819	65247.2496	3717.792	185	1
6_MACS_peak_19419_lociStitched	chr19	47901577	47936014	6	32437	56521.4481	3946.4802	186	1
18_MACS_peak_13324_lociStitched	chr17	19097424	19140318	18	39702	42224.8536	5078.6496	187	1
5_MACS_peak_4543_lociStitched	chr1	156825963	156858744	5	32084	56865.2007	5163.0075	188	1
8_MACS_peak_16397_lociStitched	chr19	4732856	4767598	8	33129	53850.1	5517.0296	189	1
13_MACS_peak_15325_lociStitched	chr17	77636813	77674414	13	35581	46519.9572	3030.6406	190	1
11_MACS_peak_14088_lociStitched	chr17	45922647	45959566	11	33269	51993.0277	4371.2096	191	1
9_MACS_peak_13138_lociStitched	chr17	7946446	7981380	9	32124	53550.3286	4240.9876	192	1
14_MACS_peak_32385_lociStitched	chr9	127232768	127269636	14	33350	49779.1736	3107.9724	193	1
12_MACS_peak_10301_lociStitched	chr15	74465104	74503637	12	35856	45168.3826	3699.168	194	1
12_MACS_peak_485_lociStitched	chr1	3029043	3066150	12	34265	46168.5294	2352.5838	195	1
17_MACS_peak_32735_lociStitched	chr9	133249538	133287804	17	34293	47048.047	3317.6622	196	1
12_MACS_peak_33273_lociStitched	chr9	136495758	136532950	12	34516	45854.0168	2651.7896	197	1
12_MACS_peak_19649_lociStitched	chr19	49173842	49209858	12	33813	47789.6304	3612.4048	198	1
18_MACS_peak_19562_lociStitched	chr19	48772399	48814766	18	34572	47124.8141	4541.7424	199	1
9_MACS_peak_24817_lociStitched	chr22	44732182	44768224	9	34730	45052.5	2818.4844	200	1
20_MACS_peak_6413_lociStitched	chr11	1725531	1767183	20	35570	43584.6528	3852.81	201	1
9_MACS_peak_33531_lociStitched	chr9	137682410	137717339	9	33077	47224.008	2434.5513	202	1
5_MACS_peak_28057_lociStitched	chr5	176266102	176297799	5	31176	50791.2728	2830.5421	203	1
11_MACS_peak_24714_lociStitched	chr22	44214029	44250895	11	34637	43771.0018	2680.1582	204	1
5_MACS_peak_15501_lociStitched	chr17	78430423	78461959	5	30825	50861.2608	2822.472	205	1
16_MACS_peak_19790_lociStitched	chr19	50011556	50049727	16	34325	45805.2	4565.2516	206	1
8_MACS_peak_15565_lociStitched	chr17	79271884	79301368	8	28215	53938.0296	2591.6436	207	1
6_MACS_peak_19379_lociStitched	chr19	47114947	47147313	6	31000	51384.2616	4434.142	208	1
10_MACS_peak_18395_lociStitched	chr19	35977365	36011116	10	32584	47609.1606	3618.1072	209	1
15_MACS_peak_6305_lociStitched	chr11	1236060	1272445	15	33314	45062.8225	2634.274	210	1
5_MACS_peak_20951_lociStitched	chr2	219845324	219874122	5	27695	54819.8728	3124.583	211	1
11_MACS_peak_4969_lociStitched	chr1	228744067	228784377	11	38951	44824.72	17954.074	212	1
10_MACS_peak_579_lociStitched	chr1	3325820	3361220	10	33677	43665.9	2417.82	213	1
11_MACS_peak_15111_lociStitched	chr17	76477245	76512269	11	32561	45881.44	3089.1168	214	1
9_MACS_peak_22693_lociStitched	chr20	61779555	61815027	9	32983	44265.5088	2656.8528	215	1
19_MACS_peak_24675_lociStitched	chr22	43801134	43839343	19	33509	42946.916	3026.1528	216	1
9_MACS_peak_17997_lociStitched	chr19	18345357	18379373	9	32065	46350.2016	3615.9008	217	1
9_MACS_peak_22815_lociStitched	chr20	62726699	62756457	9	27756	52757.9582	3097.8078	218	1
9_MACS_peak_32206_lociStitched	chr9	34547811	34581645	9	32269	45198.8406	3694.6728	219	1
2_MACS_peak_6594_lociStitched	chr11	2426588	2449432	2	22734	57674.2468	2346.0788	220	1
11_MACS_peak_20206_lociStitched	chr19	55629828	55663587	11	31885	45021.0024	3271.2471	221	1
10_MACS_peak_15491_lociStitched	chr17	78395349	78427583	10	30891	46449.194	2872.0494	222	1
15_MACS_peak_1375_lociStitched	chr1	7715724	7752339	15	32829	42356.232	2823.0165	223	1
18_MACS_peak_26580_lociStitched	chr4	3853533	3888426	18	31527	44205.9417	3070.584	224	1
4_MACS_peak_4521_lociStitched	chr1	156389299	156414812	4	25492	54942.2455	4765.8284	225	1
10_MACS_peak_17979_lociStitched	chr19	18134480	18169275	10	32625	41945.3725	4046.6585	226	1
13_MACS_peak_8535_lociStitched	chr12	1919675	1956388	13	31302	43156.1315	3388.6099	227	1
5_MACS_peak_1859_lociStitched	chr1	11747878	11777551	5	28690	47669.6745	3145.338	228	1
22_MACS_peak_1291_lociStitched	chr1	7507915	7547303	22	32381	40597.2116	3273.1428	229	1
15_MACS_peak_7091_lociStitched	chr11	64421065	64456001	15	32019	41231.4672	3521.5488	230	1
7_MACS_peak_33358_lociStitched	chr9	137103811	137135042	7	30236	43976.3711	2654.635	231	1
5_MACS_peak_19785_lociStitched	chr19	49916329	49946057	5	29015	46128.9376	2922.2624	233	1
8_MACS_peak_29114_lociStitched	chr7	2656073	2686242	8	27925	47434.7187	2579.4495	234	1
23_MACS_peak_369_lociStitched	chr1	2776283	2811872	23	31171	40898.8788	2049.9264	235	1
9_MACS_peak_14801_lociStitched	chr17	72873039	72905584	9	30872	42809.693	3449.77	236	1
6_MACS_peak_32451_lociStitched	chr9	129441915	129470103	6	27274	49021.7508	3300.8148	237	1
14_MACS_peak_21797_lociStitched	chr20	48881506	48916142	14	31678	40486.0204	3072.2132	238	1
9_MACS_peak_3175_lociStitched	chr1	22871395	22903407	9	30854	41794.8672	2676.2032	239	1
20_MACS_peak_25195_lociStitched	chr22	45895325	45930755	20	32310	38175.825	2597.019	240	1
5_MACS_peak_12726_lociStitched	chr17	1904440	1932795	5	27264	47883.0885	2710.738	241	1
8_MACS_peak_22717_lociStitched	chr20	61985349	62016345	8	28664	44838.8136	2008.5408	242	1
4_MACS_peak_1968_lociStitched	chr1	16433583	16462527	4	28570	45633.1104	2758.3632	243	1
2_MACS_peak_4548_lociStitched	chr1	156860686	156885141	2	23704	54001.531	4044.857	244	1
3_MACS_peak_33218_lociStitched	chr9	136296549	136324373	3	27598	46780.4912	2623.8032	245	1
4_MACS_peak_3037_lociStitched	chr1	21906654	21933902	4	26167	48733.048	2901.912	246	1
5_MACS_peak_24519_lociStitched	chr22	42685729	42717169	5	29974	42154.752	2933.352	247	1
9_MACS_peak_25968_lociStitched	chr3	50182320	50214077	9	28583	44494.7327	3261.4439	248	1
6_MACS_peak_17309_lociStitched	chr19	13102321	13128865	6	25222	49289.5536	2795.0832	249	1
12_MACS_peak_19622_lociStitched	chr19	49078770	49111283	12	29499	42956.1756	3644.7073	250	1
6_MACS_peak_18044_lociStitched	chr19	18705797	18732579	6	24294	49375.2952	2287.1828	251	1
4_MACS_peak_24443_lociStitched	chr22	39220495	39249678	4	27950	44460.3005	3145.9274	252	1
12_MACS_peak_20217_lociStitched	chr19	55668154	55700350	12	29694	41304.2484	3309.7488	253	1
13_MACS_peak_26650_lociStitched	chr4	6324976	6359691	13	29732	40887.327	3315.2825	254	1
10_MACS_peak_23437_lociStitched	chr21	47347686	47380334	10	28842	43114.9488	3911.2304	255	1
7_MACS_peak_23029_lociStitched	chr21	43717241	43745729	7	26077	48386.868	4444.128	256	1
8_MACS_peak_31828_lociStitched	chr8	143675513	143707512	8	29620	39550.764	1964.7386	257	1
1_MACS_peak_21005_lociStitched	chr2	220374341	220399349	1	25009	47947.8384	2545.8144	258	1
5_MACS_peak_12833_lociStitched	chr17	4478886	4505259	5	25870	46408.5681	2463.2382	259	1
13_MACS_peak_13295_lociStitched	chr17	18970464	19005231	13	31503	36578.3607	4050.3555	260	1
9_MACS_peak_13038_lociStitched	chr17	7308198	7336210	9	26503	44925.6456	2837.6156	261	1
