REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X21_0F27_0229Kronos_MM1S.No.Treatment.1_H3K27me3_hs.dm_i02.bam	X35_0EXN_0229Kronos_MM1S.No.Treatment.1_Input_hs_i77.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isSuperStretch
13_MACS_peak_9079_lociStitched	chr12	54337371	54434656	13	95152	173760.7385	10847.2775	13	HOXC13,HOXC12,HOXC11,HOXC10,MIR196A2,HOXC9,HOXC8,HOXC6,HOXC5,HOXC4,MIR615,HOTAIR	HOXC4,FLJ12825,LOC100240735	MIR196A2	MIR196A2	1.6577	13	1
10_MACS_peak_15990_lociStitched	chr19	1672327	1753540	10	79442	190233.3312	12011.4027	14		ONECUT3,TCF3	ONECUT3	ONECUT3	2.1109	14	1
12_MACS_peak_14224_lociStitched	chr17	47938078	48037214	12	97085	162900.2752	10548.0704	15		DLX4,TAC4,DLX3	DLX4	DLX4	1.8090000000000002	15	1
10_MACS_peak_23374_lociStitched	chr21	46708347	46795433	10	85706	179458.1202	10929.293	16	LOC642852	COL18A1,POFUT2,NCRNA00175	LOC642852	NCRNA00175	2.259	16	1
10_MACS_peak_1644_lociStitched	chr1	10755048	10851837	10	95847	160534.2354	8691.6522	17	CASZ1		CASZ1	CASZ1	1.5252999999999999	17	1
6_MACS_peak_6498_lociStitched	chr11	1981209	2063554	6	81692	173097.4245	7262.829	18	LOC100133545,H19,MIR675	TNNT3,MRPL23	H19	H19	2.3352999999999997	18	1
19_MACS_peak_32934_lociStitched	chr9	135020699	135116494	19	93730	143079.412	9081.366	19	NTNG2		NTNG2	NTNG2	1.3637000000000001	19	1
9_MACS_peak_15957_lociStitched	chr19	1281722	1352955	9	68376	177605.2389	9573.7152	20	EFNA2	ATP5D,MIDN,CIRBP,C19orf24,MUM1,NDUFS7,C19orf26,C19orf23,GAMT	EFNA2	EFNA2	3.0482	20	1
15_MACS_peak_27416_lociStitched	chr4	9211662	9274633	15	61966	190468.3837	18721.2783	21	USP17		USP17	USP17	2.606	21	1
14_MACS_peak_23100_lociStitched	chr21	44147631	44231154	14	80599	160731.6612	10682.5917	22	PDE9A		WDR4	WDR4	NONE	22	1
9_MACS_peak_16385_lociStitched	chr19	4544665	4624097	9	76456	154908.2864	12653.5176	23	SEMA6B	TNFAIP8L1,PLIN4,PLIN5,LRG1,C19orf10	SEMA6B	PLIN5	2.1055	23	1
10_MACS_peak_23086_lociStitched	chr21	44049881	44131733	10	80240	144788.0028	11017.2792	24	PDE9A		PDE9A	PDE9A	1.7172	24	1
3_MACS_peak_17100_lociStitched	chr19	8851007	8901849	3	49937	181429.677	21516.3344	25		OR2Z1,ACTL9,ZNF558	OR2Z1	ACTL9	0.22750000000000004	25	1
14_MACS_peak_23312_lociStitched	chr21	46404171	46477830	14	70669	146154.1878	9030.5934	26	NCRNA00163,NCRNA00162	C21orf70,ADARB1,C21orf67,C21orf122	NCRNA00162	NCRNA00162	2.1460000000000004	26	1
13_MACS_peak_25259_lociStitched	chr22	46290168	46374685	13	82087	126082.4606	6659.9396	27	WNT7B	LOC730668	WNT7B	WNT7B	1.3939000000000001	27	1
4_MACS_peak_2029_lociStitched	chr1	17011435	17066313	4	54735	165962.0476	14701.8162	28	ESPNP	MST1P2,MST1P9	ESPNP	ESPNP	3.1317	28	1
8_MACS_peak_22599_lociStitched	chr20	61141406	61213401	8	71070	137107.278	6090.777	29	C20orf166,MIR1-1,MIR133A2,C20orf200		MIR133A2	MIR133A2	2.0252000000000003	29	1
2_MACS_peak_23310_lociStitched	chr21	46300646	46357652	2	56639	155101.9248	8317.1754	30	ITGB2,C21orf67	C21orf70,PTTG1IP	ITGB2	ITGB2	2.551	30	1
12_MACS_peak_14273_lociStitched	chr17	48633289	48707009	12	71353	125316.628	8123.944	31	CACNA1G	MYCBPAP,EPN3,SPATA20,ABCC3	CACNA1G	CACNA1G	1.5594999999999999	31	1
12_MACS_peak_15974_lociStitched	chr19	1483966	1549684	12	62807	134715.3282	9851.1282	32	REEP6,PLK5P,PCSK4,ADAMTSL5	RPS15,APC2,C19orf25,MEX3D,MBD3	ADAMTSL5	ADAMTSL5	1.5302000000000002	32	1
18_MACS_peak_17961_lociStitched	chr19	18059504	18132672	18	70348	109810.5344	7163.1472	33	KCNN1,ARRDC2	CCDC124	ARRDC2	ARRDC2	1.216	33	1
13_MACS_peak_12713_lociStitched	chr17	1828550	1900870	13	69455	109991.488	6501.568	34	RTN4RL1	DPH1,OVCA2	RTN4RL1	RTN4RL1	1.4385	34	1
7_MACS_peak_12654_lociStitched	chr17	1041701	1106316	7	63325	117411.9165	7379.033	35	ABR	ABR	ABR	ABR	0.5456	35	1
19_MACS_peak_22837_lociStitched	chr20	62790848	62866298	19	69046	105984.615	6918.765	36	MYT1	PCMTD2	MYT1	MYT1	1.2692	36	1
8_MACS_peak_23393_lociStitched	chr21	46858189	46920229	8	60186	116932.992	7451.004	37	COL18A1	NCRNA00175,SLC19A1	COL18A1	NCRNA00175	2.259	37	1
22_MACS_peak_181_lociStitched	chr1	1934764	2010198	22	69556	98184.8944	5619.833	38	GABRD,PRKCZ,KIAA1751	PRKCZ	PRKCZ	PRKCZ	0.9177	38	1
18_MACS_peak_31395_lociStitched	chr8	141991264	142061211	18	64884	106536.2757	8386.6453	39	PTK2		PTK2	PTK2	0.07369999999999999	39	1
12_MACS_peak_263_lociStitched	chr1	2347832	2412421	12	62556	106339.3296	5044.4009	40	PLCH2	RER1,MORN1,PEX10,PANK4,HES5	PLCH2	HES5	1.5648	40	1
10_MACS_peak_27431_lociStitched	chr4	9324617	9370912	10	45750	134598.083	13476.4745	41	USP17,USP17L6P		USP17L6P	USP17L6P	1.5918	41	1
7_MACS_peak_1084_lociStitched	chr1	6473523	6530221	7	55660	114881.4876	5760.5168	42	ESPN,HES2,MIR4252,TNFRSF25,PLEKHG5	ACOT7	MIR4252	MIR4252	2.1189	42	1
23_MACS_peak_33893_lociStitched	chr9	138571910	138643510	23	67917	92557.32	4424.88	43	KCNT1,SOHLH1	LCN9,GLT6D1	KCNT1	KCNT1	1.276	43	1
8_MACS_peak_26425_lociStitched	chr4	1751796	1808101	8	53999	114929.766	4763.403	44	FGFR3	TACC3,SLBP,TMEM129,LETM1	FGFR3	FGFR3	1.156	44	1
12_MACS_peak_6526_lociStitched	chr11	2161440	2226589	12	62630	100316.4302	5003.4432	45	IGF2AS,IGF2,INS-IGF2,INS,TH	MIR483,IGF2	TH	MIR483	1.4645000000000001	45	1
8_MACS_peak_23385_lociStitched	chr21	46800323	46856354	8	53914	112902.465	6208.2348	46	COL18A1,NCRNA00175	COL18A1	COL18A1	COL18A1	1.586	46	1
17_MACS_peak_510_lociStitched	chr1	3099579	3169137	17	66046	90411.4884	4869.06	47	PRDM16		MIR4251	MIR4251	1.2256	47	1
26_MACS_peak_27288_lociStitched	chr4	8586257	8659370	26	67521	86287.9626	4818.1467	48	GPR78,CPZ		CPZ	CPZ	1.2785	48	1
33_MACS_peak_2257_lociStitched	chr1	17906570	17981016	33	68169	85292.7822	5553.6716	49	ARHGEF10L		ARHGEF10L	ARHGEF10L	0.9784999999999999	49	1
5_MACS_peak_23601_lociStitched	chr22	19705812	19763973	5	56527	98867.8839	4705.2249	50	SEPT5-GP1BB,SEPT5,GP1BB,TBX1		TBX1	TBX1	1.2874999999999999	50	1
14_MACS_peak_10856_lociStitched	chr16	1144065	1202535	14	56557	97463.643	3964.266	51	C1QTNF8	SSTR5,CACNA1H,LOC146336	C1QTNF8	CACNA1H	1.6363999999999999	51	1
7_MACS_peak_22612_lociStitched	chr20	61315822	61371858	7	54615	101352.3132	5368.2488	52	NTSR1	SLCO4A1,LOC100127888	NTSR1	NTSR1	1.6082999999999998	52	1
9_MACS_peak_22646_lociStitched	chr20	61584687	61640685	9	55593	99458.0478	5403.807	53	SLC17A9,BHLHE23	C20orf11,LOC63930,LOC100144597,DIDO1,NCRNA00029	BHLHE23	BHLHE23	1.4830999999999999	53	1
10_MACS_peak_32822_lociStitched	chr9	133770338	133829287	10	55983	97831.7604	5287.7253	54	FIBCD1	QRFP	FIBCD1	FIBCD1	1.7685	54	1
10_MACS_peak_16357_lociStitched	chr19	4183102	4242098	10	57714	96411.2632	9191.5768	55	ANKRD24,EBI3	CREB3L3,CCDC94,SHD,SIRT6	EBI3	CREB3L3	1.6674	55	1
2_MACS_peak_22703_lociStitched	chr20	61850341	61901379	2	50963	100907.2298	4624.0428	56	BIRC7,MIR3196,FLJ16779,NKAIN4	MIR124-3,ARFGAP1,MIR4326,COL20A1,YTHDF1	MIR3196	MIR3196	1.8217	56	1
10_MACS_peak_22733_lociStitched	chr20	62064400	62123091	10	55685	93641.4905	4707.0182	57	KCNQ2,EEF1A2	PPDPF,PTK6	KCNQ2	KCNQ2	1.5499999999999998	57	1
9_MACS_peak_1635_lociStitched	chr1	10699932	10753471	9	52906	97489.1651	4657.893	58	CASZ1		CASZ1	CASZ1	1.5252999999999999	58	1
19_MACS_peak_15347_lociStitched	chr17	77704159	77766700	19	56801	89633.7612	6028.9524	59	ENPP7,CBX2	CBX8,CBX4	CBX2	CBX8	1.6972	59	1
10_MACS_peak_6900_lociStitched	chr11	61441976	61500113	10	56515	89391.4512	5586.9657	60	DAGLA	C11orf9,DKFZP434K028	DAGLA	DAGLA	1.4630999999999998	60	1
20_MACS_peak_16625_lociStitched	chr19	5828027	5890739	20	59277	86975.2728	8535.1032	61	NRTN,FUT6,FUT3,FUT5	VMAC,CAPS,PRR22,DUS3L,NDUFA11	FUT3	FUT3	1.2024	61	1
9_MACS_peak_24314_lociStitched	chr22	37456901	37513839	9	55216	91391.1838	5853.2264	62	KCTD17,TMPRSS6	MPST,TST,IL2RB	TMPRSS6	TMPRSS6	1.5117	62	1
6_MACS_peak_253_lociStitched	chr1	2243980	2293967	6	49360	95590.1401	3749.025	63	MORN1,LOC100129534	RER1	LOC100129534	LOC100129534	1.8385	63	1
23_MACS_peak_15406_lociStitched	chr17	77934048	77995349	23	56169	84282.7449	5645.8221	64	TBC1D16	CCDC40	TBC1D16	TBC1D16	1.2987	64	1
10_MACS_peak_1050_lociStitched	chr1	6180544	6234075	10	52013	89386.0638	4582.2536	65	CHD5	RNF207,RPL22	CHD5	CHD5	1.2623	65	1
16_MACS_peak_33228_lociStitched	chr9	136369316	136426894	16	54103	82123.5014	4352.8968	66	ADAMTSL2,TMEM8C	C9orf7,SLC2A6,FAM163B	ADAMTSL2	FAM163B	1.5116999999999998	66	1
9_MACS_peak_19712_lociStitched	chr19	49520810	49575167	9	52456	84769.7415	5196.5292	67	CGB2,SNAR-G1,CGB5,CGB,SNAR-G2,CGB1,CGB8,CGB7,NTF4,KCNA7	RUVBL2,SNRNP70,LIN7B,PPFIA3,GYS1,LHB,C19orf73	CGB5	CGB5	1.5601	67	1
12_MACS_peak_22619_lociStitched	chr20	61374401	61424838	12	47225	91694.466	4488.893	68	NTSR1	C20orf20,OGFR,COL9A3	C20orf20	COL9A3	1.1018999999999999	68	1
14_MACS_peak_6847_lociStitched	chr11	61271527	61329471	14	53177	82048.704	5736.456	69	LRRC10B,SYT7	C11orf66	LRRC10B	LRRC10B	1.0347	69	1
7_MACS_peak_32677_lociStitched	chr9	132929141	132983016	7	51957	82272.5125	4557.825	70	NCS1		NCS1	NCS1	1.2481	70	1
2_MACS_peak_19860_lociStitched	chr19	50594104	50643112	2	48996	97570.0272	15123.8688	71	SNAR-A6,SNAR-A4,SNAR-A8,SNAR-A11,SNAR-A14,SNAR-B1,SNAR-B2	FLJ26850,SNAR-D,IZUMO2	SNAR-B1	SNAR-B1	1.8563999999999998	71	1
16_MACS_peak_10840_lociStitched	chr16	1085006	1141488	16	52268	80176.199	3473.643	72	SSTR5,LOC146336,C1QTNF8		SSTR5	SSTR5	1.1922	72	1
14_MACS_peak_32628_lociStitched	chr9	132423081	132479105	14	53072	80607.3312	5406.316	73	PRRX2	METTL11A,C9orf50,ASB6,PTGES	PRRX2	PTGES	1.4836999999999998	73	1
2_MACS_peak_28399_lociStitched	chr6	31991375	32032311	2	40494	96142.2896	4859.1032	74	C4B,C4A,CYP21A2,TNXB	STK19,TNXA	STK19	TNXA	2.3557	74	1
9_MACS_peak_33934_lociStitched	chr9	138864719	138918247	9	51075	78777.1576	3698.7848	75	NACC2	UBAC1	UBAC1	UBAC1	0.14250000000000002	75	1
3_MACS_peak_32442_lociStitched	chr9	129371089	129417801	3	45961	86683.4584	4297.504	76	LMX1B		LMX1B	LMX1B	1.5169000000000001	76	1
6_MACS_peak_31434_lociStitched	chr8	142358475	142409781	6	49677	73680.5466	4427.7078	77	GPR20	LOC731779,PTP4A3	GPR20	GPR20	1.5395	77	1
2_MACS_peak_40_lociStitched	chr1	845363	879050	2	32977	94694.157	3516.9228	78	SAMD11,FLJ39609	KLHL17,PLEKHN1,FAM41C,NOC2L,C1orf170	SAMD11	SAMD11	2.2191	78	1
16_MACS_peak_6482_lociStitched	chr11	1916145	1967812	16	46558	78523.5066	4706.8637	79	TNNT3	LSP1,MRPL23,MIR4298,LOC100133545	TNNT3	LOC100133545	2.3743000000000003	79	1
25_MACS_peak_12571_lociStitched	chr17	724919	781328	25	52984	66444.1611	5522.4411	80	NXN	RNMTL1,GLOD4	GLOD4	RNMTL1	0.026499999999999996	80	1
3_MACS_peak_1947_lociStitched	chr1	16338836	16381060	3	41318	84110.208	4011.28	81	CLCNKA,CLCNKB,HSPB7	C1orf64,ZBTB17,FAM131C	CLCNKB	CLCNKB	1.9193	81	1
7_MACS_peak_16252_lociStitched	chr19	3386531	3434986	7	48097	74136.15	5790.3725	82	NFIC	C19orf77	NFIC	NFIC	1.3787	82	1
13_MACS_peak_22656_lociStitched	chr20	61652108	61702656	13	47513	71692.2284	4994.1424	83	LOC63930,LOC100144597,NCRNA00029	HAR1A,BHLHE23,HAR1B	LOC100144597	BHLHE23	1.4830999999999999	83	1
11_MACS_peak_7113_lociStitched	chr11	64474620	64520461	11	43148	78433.951	4639.1092	84	NRXN2,RASGRP2,PYGM	SF1	NRXN2	NRXN2	1.0895	84	1
16_MACS_peak_11008_lociStitched	chr16	3075037	3126011	16	46299	74146.7804	5785.549	85	THOC6,MMP25,IL32,CCDC64B	LOC283875,CLDN9,TNFRSF12A,ZNF205,PKMYT1,CLDN6,HCFC1R1,ZSCAN10,MGC3771	MMP25	LOC283875	2.3122	85	1
24_MACS_peak_17446_lociStitched	chr19	14269456	14324207	24	49951	66287.0357	5327.2723	86	LPHN1	PRKACA,ASF1B	LPHN1	LPHN1	0.8751	86	1
9_MACS_peak_14925_lociStitched	chr17	74872072	74921062	9	46215	73127.373	5011.677	87	MGAT5B		MGAT5B	MGAT5B	1.1735	87	1
25_MACS_peak_2123_lociStitched	chr1	17534274	17589542	25	49903	64580.658	5106.7632	88	PADI1,PADI3	PADI4	PADI3	PADI3	0.9012	88	1
3_MACS_peak_33993_lociStitched	chr9	139216963	139252969	3	35829	84520.4844	3204.534	89	GPSM1,LOC26102	DNLZ,CARD9,SNAPC4	GPSM1	GPSM1	1.9523000000000001	89	1
10_MACS_peak_34050_lociStitched	chr9	139845038	139888569	10	41030	77794.2501	3800.2563	90	LCN12,PTGDS,LCNL1,C9orf142	C8G,C9orf139,FBXW5,CLIC3,ABCA2,FUT7	PTGDS	PTGDS	1.9304999999999999	90	1
9_MACS_peak_23236_lociStitched	chr21	45907844	45953432	9	44549	73273.5924	5739.5292	91	C21orf90,C21orf29	LRRC3,KRTAP10-4,KRTAP10-1,KRTAP10-2,KRTAP10-3,KRTAP10-5	C21orf90	C21orf90	1.2918	91	1
9_MACS_peak_32642_lociStitched	chr9	132480129	132526244	9	44681	71837.947	5363.1745	92	PRRX2,PTGES	TOR1B	PTGES	PTGES	1.4836999999999998	92	1
4_MACS_peak_23621_lociStitched	chr22	20151853	20192576	4	39819	77019.4099	3265.9846	93		RANBP1,ZDHHC8,LOC150197,TRMT2A,MIR1286	LOC150197	LOC150197	1.2196	93	1
5_MACS_peak_26471_lociStitched	chr4	3458708	3499029	5	38365	78609.8216	3350.6751	94	DOK7	HGFAC,LRPAP1	DOK7	DOK7	1.8175000000000001	94	1
4_MACS_peak_4533_lociStitched	chr1	156639145	156679032	4	38448	81708.5195	6968.2589	95	NES,CRABP2	BCAN,C1orf66,ISG20L2,MRPL24,HDGF	NES	NES	1.2012	95	1
20_MACS_peak_14678_lociStitched	chr17	72333577	72386045	20	48136	62310.9968	4160.7124	96	KIF19,GPR142,BTBD17	GPRC5C	BTBD17	BTBD17	1.1507999999999998	96	1
9_MACS_peak_20521_lociStitched	chr2	26776406	26822144	9	43267	71076.852	4948.8516	97	C2orf70,OTOF,CIB4		C2orf70	C2orf70	1.5455	97	1
4_MACS_peak_23040_lociStitched	chr21	43763097	43804182	4	40769	75871.6695	6561.2745	98	TFF2,TFF1,TMPRSS3	UBASH3A,TFF3	TFF1	TFF3	2.0089	98	1
7_MACS_peak_29985_lociStitched	chr7	150862156	150905519	7	42519	72806.477	6721.265	99	GBX1,ASB10,ABCF2	CHPF2,MIR671,SMARCD3	ASB10	SMARCD3	1.5863	99	1
13_MACS_peak_25979_lociStitched	chr3	50218765	50263597	13	42501	70305.5424	4909.104	100	SEMA3F,GNAT1,SLC38A3	GNAI2,SEMA3B	SLC38A3	SLC38A3	1.5913	100	1
22_MACS_peak_3299_lociStitched	chr1	23161055	23214140	22	47673	59853.3375	5090.8515	101	EPHB2,MIR4253		MIR4253	MIR4253	0.9521999999999999	101	1
4_MACS_peak_16000_lociStitched	chr19	1754548	1789675	4	34608	80071.9965	4331.1591	102	ONECUT3,ATP8B3	LOC100288123,MIR1909	ONECUT3	ONECUT3	2.1109	102	1
2_MACS_peak_29957_lociStitched	chr7	149498279	149531646	2	33188	80945.0053	4264.3026	103	SSPO	ZNF862,ATP6V0E2,ZNF467,LOC401431	ZNF862	ZNF467	0.9314	103	1
10_MACS_peak_34070_lociStitched	chr9	139913377	139954221	10	38690	73547.7908	4027.2184	104	C9orf139,ABCA2,FUT7,NPDC1,ENTPD2	PTGDS,LCNL1,C9orf142,UAP1L1,MAN1B1,CLIC3,C9orf140,LOC100289341	FUT7	PTGDS	1.9304999999999999	104	1
13_MACS_peak_32833_lociStitched	chr9	133834761	133880233	13	43703	64888.544	4097.0272	105		LAMC3,FIBCD1	LAMC3	FIBCD1	1.7685	105	1
8_MACS_peak_33973_lociStitched	chr9	139013577	139054527	8	40149	70286.58	3669.12	106		NACC2,C9orf69,LHX3	C9orf69	LHX3	1.3688	106	1
10_MACS_peak_19016_lociStitched	chr19	42466774	42510827	10	42577	65890.0721	4361.247	107	ATP1A3,GRIK5	RABAC1	ATP1A3	ATP1A3	1.3489	107	1
25_MACS_peak_15429_lociStitched	chr17	77998927	78049995	25	45930	59402.2976	4652.2948	108	CCDC40,TBC1D16	GAA	CCDC40	GAA	1.2137	108	1
3_MACS_peak_23625_lociStitched	chr22	20197558	20238047	3	40142	69021.5983	3554.9342	109	RTN4R,MIR1286	LOC150197	MIR1286	LOC150197	1.2196	109	1
9_MACS_peak_14811_lociStitched	chr17	72909109	72953129	9	41794	67421.032	4732.15	110	OTOP2,OTOP3,USH1G,C17orf28	CDR2L,FDXR,FADS6	OTOP3	OTOP3	1.356	110	1
15_MACS_peak_33916_lociStitched	chr9	138644944	138690433	15	41227	66159.2016	2706.5955	111	KCNT1		KCNT1	KCNT1	1.276	111	1
6_MACS_peak_22727_lociStitched	chr20	62021219	62062756	6	40295	67173.6364	2670.8291	112	KCNQ2	CHRNA4,KCNQ2	CHRNA4	KCNQ2	1.5499999999999998	112	1
8_MACS_peak_10747_lociStitched	chr16	792064	834275	8	39861	68415.5888	3647.0304	113	MSLN,MIR662,MSLNL	METRN,FAM173A,HAGHL,CHTF18,PRR25,FBXL16,CCDC78,NARFL,RPUSD1,GNG13	MSLN	FBXL16	1.461	113	1
14_MACS_peak_3093_lociStitched	chr1	22558548	22606375	14	45254	59324.6108	4610.5228	114			WNT4	WNT4	NONE	114	1
13_MACS_peak_6910_lociStitched	chr11	61501536	61545346	13	41238	66880.346	4718.337	115	DAGLA,C11orf9,DKFZP434K028	FEN1,MIR611,C11orf10,MIR1908,FADS1	C11orf9	C11orf9	0.866	115	1
19_MACS_peak_7624_lociStitched	chr11	69968935	70017758	19	45474	56253.8606	3686.1365	116	ANO1	FADD	FADD	FADD	0.18029999999999996	116	1
9_MACS_peak_29104_lociStitched	chr7	2526831	2569437	9	39513	67321.7406	3485.1708	117	LFNG	IQCE,C7orf27	LFNG	LFNG	1.3924999999999998	117	1
14_MACS_peak_32086_lociStitched	chr8	144927776	144974016	14	40256	66002.976	4610.128	118	EPPK1	MIR937,SCRIB,PUF60,NRBP2,PLEC,MIR661	EPPK1	EPPK1	1.0993000000000002	118	1
3_MACS_peak_14236_lociStitched	chr17	48038228	48075807	3	37429	69021.3493	3998.4056	119	DLX4,DLX3		DLX4	DLX4	1.8090000000000002	119	1
21_MACS_peak_10345_lociStitched	chr15	74587335	74636102	21	43744	58559.4136	4866.9466	120	CCDC33,CYP11A1		CCDC33	CCDC33	0.9664999999999999	120	1
4_MACS_peak_9152_lociStitched	chr12	57585868	57620130	4	33903	71604.1538	4176.5378	121	LRP1,MIR1228,NXPH4	SHMT2,NDUFA4L2,STAC3	NXPH4	NXPH4	1.5544	121	1
21_MACS_peak_15683_lociStitched	chr17	81039214	81088862	21	42140	58515.1328	4602.3696	122	METRNL	B3GNTL1	METRNL	METRNL	0.9652	122	1
12_MACS_peak_2075_lociStitched	chr1	17409490	17453919	12	41214	59992.4787	4340.7133	123	PADI2	SDHB	PADI2	PADI2	1.1081	123	1
14_MACS_peak_527_lociStitched	chr1	3172037	3218627	14	42188	56746.62	3060.963	124	PRDM16		MIR4251	MIR4251	1.2256	124	1
10_MACS_peak_28337_lociStitched	chr6	30408807	30451389	10	39439	64907.7426	6144.5826	125		HLA-E	HLA-E	HLA-E	0.045999999999999985	125	1
8_MACS_peak_23196_lociStitched	chr21	45760589	45800981	8	38166	65939.94	5291.352	126	TRPM2	PFKL,C21orf2	TRPM2	TRPM2	0.9961	126	1
10_MACS_peak_24582_lociStitched	chr22	42917226	42957450	10	37258	69688.08	8306.256	127	SERHL2	SERHL,RRP7A,RRP7B	SERHL2	SERHL2	0.829	127	1
9_MACS_peak_15937_lociStitched	chr19	817348	856288	9	35835	68366.958	5101.14	128	AZU1,PRTN3,ELANE,LPPR3	PTBP1,MIR3187,CFD,MED16	PRTN3	PRTN3	1.8883999999999999	128	1
11_MACS_peak_33981_lociStitched	chr9	139056564	139096589	11	37121	64015.985	2917.8225	129	LHX3	C9orf69,QSOX2	LHX3	LHX3	1.3688	129	1
10_MACS_peak_64_lociStitched	chr1	977372	1016839	10	36159	65613.8875	3133.6798	130	AGRN	ISG15,HES4,C1orf159	AGRN	HES4	1.8065	130	1
7_MACS_peak_6271_lociStitched	chr11	1026209	1063617	7	35905	66193.456	3733.3184	131	MUC6	MUC2	MUC6	MUC2	1.1309	131	1
4_MACS_peak_84_lociStitched	chr1	1089994	1122391	4	31661	70735.6098	2640.3555	132	MIR200B,MIR200A,MIR429,TTLL10	B3GALT6,C1orf159,TNFRSF18,TNFRSF4,SDF4	MIR429	MIR429	2.1863	132	1
17_MACS_peak_6577_lociStitched	chr11	2371708	2418575	17	41704	56385.6877	4246.1502	133	CD81	TSPAN32,TSSC4,KCNQ1,C11orf21,TRPM5	CD81	TRPM5	1.9620999999999997	133	1
10_MACS_peak_16333_lociStitched	chr19	3912298	3953067	10	39088	61989.2645	5128.7402	134	ATCAY,ITGB1BP3	ZFR2,MIR637,DAPK3,SNORD37,EEF2	ITGB1BP3	ZFR2	1.6484999999999999	134	1
13_MACS_peak_10827_lociStitched	chr16	1044960	1082861	13	36875	62180.3806	2622.7492	135		SOX8,SSTR5,LMF1,LOC146336	SOX8	SOX8	1.4174	135	1
20_MACS_peak_32998_lociStitched	chr9	135346985	135394588	20	42318	52896.4536	4393.7569	136	C9orf171		C9orf171	C9orf171	0.7699	136	1
11_MACS_peak_16285_lociStitched	chr19	3707708	3746977	11	37102	64326.5489	6039.5722	137	TJP3	MRPL54,PIP5K1C,APBA3,RAX2,MATK	TJP3	MATK	1.1819	137	1
14_MACS_peak_155_lociStitched	chr1	1867097	1910954	14	39965	56185.2027	4017.3012	138	KIAA1751	CALML6,GABRD,GNB1,TMEM52	TMEM52	GABRD	1.5076	138	1
