#21_0F27_0229Kronos_MM1S-No-Treatment-1_H3K27me3_hs-dm_i02_peaks Enhancers
#Created from /data/projects/IRF4_mm_trn_data/p300_internal_ChIP/rose/21_0F27_0229Kronos_MM1S-No-Treatment-1_H3K27me3_hs-dm_i02_ROSE/21_0F27_0229Kronos_MM1S-No-Treatment-1_H3K27me3_hs-dm_i02_peaks_1KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by X21_0F27_0229Kronos_MM1S.No.Treatment.1_H3K27me3_hs.dm_i02.bam
#Using cutoff of 18823.2984 for Super-Enhancers
#Created on Jul 18 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X21_0F27_0229Kronos_MM1S.No.Treatment.1_H3K27me3_hs.dm_i02.bam	X35_0EXN_0229Kronos_MM1S.No.Treatment.1_Input_hs_i77.bam	enhancerRank	isSuper
14_MACS_peak_3093_lociStitched	chr1	22558548	22606375	14	45254	59324.6108	4610.5228	147	1
6_MACS_peak_16367_lociStitched	chr19	4275228	4310786	6	34656	58741.816	4316.7412	148	1
6_MACS_peak_15171_lociStitched	chr17	77015534	77048925	6	32147	58334.077	4020.2764	149	1
21_MACS_peak_15683_lociStitched	chr17	81039214	81088862	21	42140	58515.1328	4602.3696	150	1
8_MACS_peak_9354_lociStitched	chr13	113627658	113665535	8	36291	56936.7064	3230.9081	151	1
21_MACS_peak_10345_lociStitched	chr15	74587335	74636102	21	43744	58559.4136	4866.9466	152	1
14_MACS_peak_527_lociStitched	chr1	3172037	3218627	14	42188	56746.62	3060.963	153	1
9_MACS_peak_24491_lociStitched	chr22	40068078	40108158	9	38429	56745.264	3386.76	154	1
7_MACS_peak_14197_lociStitched	chr17	47554938	47591966	7	36507	57130.5012	4028.6464	155	1
2_MACS_peak_16646_lociStitched	chr19	5991020	6027909	2	36617	58365.7758	5426.3719	156	1
11_MACS_peak_24365_lociStitched	chr22	37884726	37924128	11	37490	56817.684	3908.6784	157	1
6_MACS_peak_19419_lociStitched	chr19	47901577	47936014	6	32437	56521.4481	3946.4802	158	1
19_MACS_peak_7624_lociStitched	chr11	69968935	70017758	19	45474	56253.8606	3686.1365	159	1
5_MACS_peak_15401_lociStitched	chr17	77898992	77932879	5	33242	55696.6732	3168.4345	160	1
10_MACS_peak_23054_lociStitched	chr21	43830343	43870341	10	36626	59333.0332	6835.6582	161	1
8_MACS_peak_6450_lociStitched	chr11	1823977	1859223	8	33426	56111.632	3721.9776	162	1
5_MACS_peak_32847_lociStitched	chr9	133883128	133917233	5	33045	55151.1955	2895.5145	163	1
14_MACS_peak_155_lociStitched	chr1	1867097	1910954	14	39965	56185.2027	4017.3012	164	1
17_MACS_peak_6577_lociStitched	chr11	2371708	2418575	17	41704	56385.6877	4246.1502	165	1
10_MACS_peak_8647_lociStitched	chr12	3367088	3409181	10	39788	55415.4345	3464.2539	166	1
5_MACS_peak_4543_lociStitched	chr1	156825963	156858744	5	32084	56865.2007	5163.0075	167	1
5_MACS_peak_20951_lociStitched	chr2	219845324	219874122	5	27695	54819.8728	3124.583	168	1
8_MACS_peak_15565_lociStitched	chr17	79271884	79301368	8	28215	53938.0296	2591.6436	169	1
8_MACS_peak_1654_lociStitched	chr1	10853155	10893255	8	38516	54652.29	3412.51	170	1
10_MACS_peak_13470_lociStitched	chr17	26831259	26867995	10	35306	54990.1184	4213.6192	171	1
9_MACS_peak_3940_lociStitched	chr1	32123480	32165285	9	40123	55374.903	4598.55	172	1
13_MACS_peak_6863_lociStitched	chr11	61335840	61381344	13	39661	54682.1568	4136.3136	173	1
10_MACS_peak_24549_lociStitched	chr22	42792684	42832745	10	38023	54058.3134	3777.7523	174	1
4_MACS_peak_4521_lociStitched	chr1	156389299	156414812	4	25492	54942.2455	4765.8284	175	1
2_MACS_peak_4548_lociStitched	chr1	156860686	156885141	2	23704	54001.531	4044.857	176	1
9_MACS_peak_22815_lociStitched	chr20	62726699	62756457	9	27756	52757.9582	3097.8078	177	1
16_MACS_peak_1871_lociStitched	chr1	11912717	11953775	16	38167	53531.4204	4130.4348	178	1
10_MACS_peak_12661_lociStitched	chr17	1108480	1148739	10	38514	53568.6254	4194.9878	179	1
9_MACS_peak_13138_lociStitched	chr17	7946446	7981380	9	32124	53550.3286	4240.9876	180	1
8_MACS_peak_33100_lociStitched	chr9	135848488	135884464	8	34671	52470.996	3460.8912	181	1
11_MACS_peak_21942_lociStitched	chr20	56126455	56168127	11	38788	53573.5232	4604.756	182	1
15_MACS_peak_1771_lociStitched	chr1	11486647	11529694	15	38304	52547.4729	3654.6903	183	1
13_MACS_peak_14184_lociStitched	chr17	47512897	47552816	13	37642	52788.8856	4175.5274	184	1
27_MACS_peak_27382_lociStitched	chr4	8877541	8923746	27	39549	52073.035	3506.9595	185	1
20_MACS_peak_32998_lociStitched	chr9	135346985	135394588	20	42318	52896.4536	4393.7569	186	1
12_MACS_peak_6551_lociStitched	chr11	2305800	2343685	12	35546	51705.448	3280.841	187	1
8_MACS_peak_16397_lociStitched	chr19	4732856	4767598	8	33129	53850.1	5517.0296	188	1
5_MACS_peak_15501_lociStitched	chr17	78430423	78461959	5	30825	50861.2608	2822.472	189	1
5_MACS_peak_28057_lociStitched	chr5	176266102	176297799	5	31176	50791.2728	2830.5421	190	1
9_MACS_peak_1669_lociStitched	chr1	10914054	10952612	9	36574	51097.0616	3466.3642	191	1
11_MACS_peak_14088_lociStitched	chr17	45922647	45959566	11	33269	51993.0277	4371.2096	192	1
12_MACS_peak_29682_lociStitched	chr7	100743247	100781839	12	36967	51354.3744	4025.1456	193	1
6_MACS_peak_18044_lociStitched	chr19	18705797	18732579	6	24294	49375.2952	2287.1828	194	1
12_MACS_peak_16898_lociStitched	chr19	7830583	7872434	12	39052	53238.6571	6189.7629	195	1
6_MACS_peak_19379_lociStitched	chr19	47114947	47147313	6	31000	51384.2616	4434.142	196	1
14_MACS_peak_32385_lociStitched	chr9	127232768	127269636	14	33350	49779.1736	3107.9724	197	1
6_MACS_peak_17309_lociStitched	chr19	13102321	13128865	6	25222	49289.5536	2795.0832	198	1
4_MACS_peak_3037_lociStitched	chr1	21906654	21933902	4	26167	48733.048	2901.912	199	1
22_MACS_peak_26038_lociStitched	chr3	50518447	50562400	22	37931	50031.6999	4263.441	200	1
6_MACS_peak_32451_lociStitched	chr9	129441915	129470103	6	27274	49021.7508	3300.8148	201	1
17_MACS_peak_12684_lociStitched	chr17	1192881	1234389	17	38212	50191.4736	4549.2768	202	1
1_MACS_peak_21005_lociStitched	chr2	220374341	220399349	1	25009	47947.8384	2545.8144	203	1
5_MACS_peak_12726_lociStitched	chr17	1904440	1932795	5	27264	47883.0885	2710.738	204	1
8_MACS_peak_29114_lociStitched	chr7	2656073	2686242	8	27925	47434.7187	2579.4495	205	1
9_MACS_peak_33531_lociStitched	chr9	137682410	137717339	9	33077	47224.008	2434.5513	206	1
23_MACS_peak_16489_lociStitched	chr19	5304884	5346948	23	37670	49458.8512	4690.136	207	1
5_MACS_peak_1859_lociStitched	chr1	11747878	11777551	5	28690	47669.6745	3145.338	208	1
2_MACS_peak_29654_lociStitched	chr7	100634069	100649502	2	15373	47172.5078	2740.9008	209	1
3_MACS_peak_23193_lociStitched	chr21	45699101	45717364	3	18225	46550.5607	2319.401	210	1
12_MACS_peak_19649_lociStitched	chr19	49173842	49209858	12	33813	47789.6304	3612.4048	211	1
3_MACS_peak_33218_lociStitched	chr9	136296549	136324373	3	27598	46780.4912	2623.8032	212	1
10_MACS_peak_18395_lociStitched	chr19	35977365	36011116	10	32584	47609.1606	3618.1072	213	1
18_MACS_peak_12617_lociStitched	chr17	814759	856199	18	37155	47556.544	3596.992	214	1
5_MACS_peak_12833_lociStitched	chr17	4478886	4505259	5	25870	46408.5681	2463.2382	215	1
7_MACS_peak_23029_lociStitched	chr21	43717241	43745729	7	26077	48386.868	4444.128	216	1
12_MACS_peak_485_lociStitched	chr1	3029043	3066150	12	34265	46168.5294	2352.5838	217	1
17_MACS_peak_32735_lociStitched	chr9	133249538	133287804	17	34293	47048.047	3317.6622	218	1
10_MACS_peak_15491_lociStitched	chr17	78395349	78427583	10	30891	46449.194	2872.0494	219	1
20_MACS_peak_2677_lociStitched	chr1	19023858	19067067	20	37660	47020.0338	3512.8917	220	1
13_MACS_peak_15325_lociStitched	chr17	77636813	77674414	13	35581	46519.9572	3030.6406	221	1
18_MACS_peak_26007_lociStitched	chr3	50444576	50487703	18	38970	47107.6221	3816.7395	222	1
5_MACS_peak_19785_lociStitched	chr19	49916329	49946057	5	29015	46128.9376	2922.2624	223	1
12_MACS_peak_33273_lociStitched	chr9	136495758	136532950	12	34516	45854.0168	2651.7896	224	1
4_MACS_peak_1968_lociStitched	chr1	16433583	16462527	4	28570	45633.1104	2758.3632	225	1
8_MACS_peak_22717_lociStitched	chr20	61985349	62016345	8	28664	44838.8136	2008.5408	226	1
11_MACS_peak_15111_lociStitched	chr17	76477245	76512269	11	32561	45881.44	3089.1168	227	1
9_MACS_peak_17997_lociStitched	chr19	18345357	18379373	9	32065	46350.2016	3615.9008	228	1
18_MACS_peak_19562_lociStitched	chr19	48772399	48814766	18	34572	47124.8141	4541.7424	229	1
15_MACS_peak_6305_lociStitched	chr11	1236060	1272445	15	33314	45062.8225	2634.274	230	1
3_MACS_peak_26162_lociStitched	chr3	128196132	128217590	3	20980	44671.2644	2291.7144	231	1
9_MACS_peak_24817_lociStitched	chr22	44732182	44768224	9	34730	45052.5	2818.4844	232	1
9_MACS_peak_13038_lociStitched	chr17	7308198	7336210	9	26503	44925.6456	2837.6156	233	1
11_MACS_peak_20206_lociStitched	chr19	55629828	55663587	11	31885	45021.0024	3271.2471	234	1
9_MACS_peak_22693_lociStitched	chr20	61779555	61815027	9	32983	44265.5088	2656.8528	235	1
9_MACS_peak_32206_lociStitched	chr9	34547811	34581645	9	32269	45198.8406	3694.6728	236	1
12_MACS_peak_10301_lociStitched	chr15	74465104	74503637	12	35856	45168.3826	3699.168	237	1
5_MACS_peak_29315_lociStitched	chr7	44257084	44280902	5	22500	43579.7946	2210.3104	238	1
7_MACS_peak_33358_lociStitched	chr9	137103811	137135042	7	30236	43976.3711	2654.635	239	1
4_MACS_peak_24443_lociStitched	chr22	39220495	39249678	4	27950	44460.3005	3145.9274	240	1
1_MACS_peak_11004_lociStitched	chr16	3033881	3052573	1	18693	43309.364	2050.5124	241	1
10_MACS_peak_579_lociStitched	chr1	3325820	3361220	10	33677	43665.9	2417.82	242	1
16_MACS_peak_19790_lociStitched	chr19	50011556	50049727	16	34325	45805.2	4565.2516	243	1
9_MACS_peak_25968_lociStitched	chr3	50182320	50214077	9	28583	44494.7327	3261.4439	244	1
18_MACS_peak_26580_lociStitched	chr4	3853533	3888426	18	31527	44205.9417	3070.584	245	1
11_MACS_peak_24714_lociStitched	chr22	44214029	44250895	11	34637	43771.0018	2680.1582	246	1
7_MACS_peak_28401_lociStitched	chr6	32034413	32060899	7	25051	43974.7058	2902.8656	247	1
3_MACS_peak_21380_lociStitched	chr20	30434744	30461310	3	25854	44197.8542	3227.769	248	1
6_MACS_peak_14889_lociStitched	chr17	74514148	74542449	6	26117	43832.5888	3217.8237	249	1
2_MACS_peak_62_lociStitched	chr1	955453	976287	2	20801	42440.9414	1931.3118	250	1
4_MACS_peak_16004_lociStitched	chr19	1790684	1813108	4	21794	43724.5576	3318.752	251	1
5_MACS_peak_7360_lociStitched	chr11	68758375	68783516	5	24178	42324.8735	2136.985	252	1
19_MACS_peak_24675_lociStitched	chr22	43801134	43839343	19	33509	42946.916	3026.1528	253	1
6_MACS_peak_15677_lociStitched	chr17	81010934	81037375	6	25044	42342.6174	2464.3012	254	1
13_MACS_peak_8535_lociStitched	chr12	1919675	1956388	13	31302	43156.1315	3388.6099	255	1
20_MACS_peak_6413_lociStitched	chr11	1725531	1767183	20	35570	43584.6528	3852.81	256	1
3_MACS_peak_1096_lociStitched	chr1	6554376	6573963	3	18022	41712.4752	2025.2958	257	1
15_MACS_peak_1375_lociStitched	chr1	7715724	7752339	15	32829	42356.232	2823.0165	258	1
3_MACS_peak_74_lociStitched	chr1	1052557	1072645	3	20026	41535.9576	2040.9408	259	1
9_MACS_peak_14801_lociStitched	chr17	72873039	72905584	9	30872	42809.693	3449.77	260	1
