GENE_ID	locusLine	bin_1_KMS-12-BM.jin.bam
NM_020829	chr9(.):5651582-5781556	0.0851
NM_001497	chr9(.):33105638-33172356	1.0823
NM_006648	chr9(.):95942211-96087854	0.5426
NM_007203	chr9(.):112537576-112939791	0.3139
NM_001004065	chr9(.):112805877-112939791	0.5109
NM_175039	chr9(.):130665164-130684305	5.287
NM_198679	chr9(.):134447156-134590229	0.6074
NM_005312	chr9(.):134447156-134617925	0.842
NR_024496	chr9(.):66489268-66508030	1.0671
NM_032310	chr9(.):95853449-95880565	0.9283
NM_145006	chr9(.):95815988-95852415	1.4086
NM_001136562	chr9(.):112882780-112939791	0.7761
NM_005658	chr9(.):123659670-123694173	1.2482
NM_015651	chr9(.):123612930-123644606	0.7472
NM_001190945	chr9(.):123659670-123696451	1.2506
NM_001190947	chr9(.):123659670-123681850	1.4752
NM_000118	chr9(.):130572290-130622047	0.1166
NM_013443	chr9(.):130642600-130666871	0.6754
NM_000476	chr9(.):130623758-130645022	0.2198
NM_003863	chr9(.):130692373-130705763	0.495
NM_203305	chr9(.):130697860-130717993	0.3599
NM_001135219	chr9(.):130678807-130698076	0.977
NM_173492	chr9(.):130678807-130694770	1.1534
NM_032728	chr9(.):134160080-134189649	0.1108
NM_033387	chr9(.):134128464-134156906	2.5622
NM_001123384	chrX(.):39905498-40041582	0.4015
NM_144495	chrX(.):48750194-48765420	0.6091
NM_001167990	chrX(.):48750212-48765420	0.6096
NM_001032384	chrX(.):48750538-48765420	0.6183
NM_001167992	chrX(.):48750774-48765420	0.6265
NM_017745	chrX(.):39905498-39961719	0.3462
NM_001167947	chrX(.):48745729-48760426	0.6977
NM_001042498	chrX(.):48755888-48774235	0.4286
NM_001136158	chrX(.):48774302-48819893	1.9861
NM_001136159	chrX(.):48774302-48820648	1.9591
NM_006875	chrX(.):48765458-48781413	1.5306
NM_004979	chrX(.):48813638-48833251	0.6441
NM_005660	chrX(.):48755458-48773917	0.4791
NM_001032289	chrX(.):48755889-48773933	0.405
NM_001098637	chr10(.):134205701-134236358	1.8184
NM_015892	chr10(.):125762181-125856930	0.608
NM_014863	chr10(.):125774168-125856930	0.6914
NM_007373	chr10(.):112674300-112778425	0.1619
NR_003251	chr10(.):121480608-121556720	0.214
NM_001105521	chr10(.):133913312-134003313	0.1979
NM_005539	chr10(.):134346352-134601984	0.4652
NM_005871	chr10(.):112047797-112069707	0.301
NM_145341	chr10(.):112626595-112664764	0.9664
NM_001195307	chr10(.):112653487-112684124	0.4187
NM_001195306	chr10(.):112653487-112683694	0.4173
NR_026932	chr10(.):112623647-112635662	3.9268
NM_173541	chr10(.):134253713-134266825	2.0916
NM_001098517	chr11(.):115039344-115380241	0.367
NM_001144059	chr11(.):131775711-132189961	0.1495
NM_001048209	chr11(.):131235370-132211716	0.0989
NM_001144058	chr11(.):131775711-132211716	0.1474
NM_004811	chr11(.):58289343-58348390	0.7685
NM_001143995	chr11(.):58289343-58350639	0.7475
NM_001012662	chr11(.):62618483-62661355	0.9682
NM_001013251	chr11(.):62643343-62661355	1.0382
NM_001012661	chr11(.):62618517-62661353	0.969
NR_037193	chr11(.):62644170-62661355	1.0775
NM_005438	chr11(.):65654691-65672997	1.388
NM_001077241	chr11(.):65137662-65155142	2.0668
NR_002819	chr11(.):65260232-65278939	3.4333
NM_053056	chr11(.):69450872-69474242	1.8063
NM_014824	chr11(.):72542789-72858143	0.204
NM_000051	chr11(.):108088558-108244826	0.3055
NM_032531	chr11(.):126288395-126875766	0.1649
NM_001161707	chr11(.):126295836-126875766	0.1635
NM_002017	chr11(.):128558812-128688162	0.8711
NM_001167681	chr11(.):128557388-128688162	0.8624
NM_001143820	chr11(.):128323655-128462453	0.6576
NM_012239	chr11(.):210029-241362	0.4826
NM_002817	chr11(.):231807-257984	0.5236
NM_138329	chr11(.):273569-290304	0.7546
NM_006435	chr11(.):303106-314410	1.4615
NM_025092	chr11(.):284137-300688	0.7631
NM_003641	chr11(.):308990-320272	1.8694
NM_178537	chr11(.):364794-387117	0.1446
NM_001025295	chr11(.):293202-304526	0.3577
NM_021034	chr11(.):314672-325914	0.9274
NM_000614	chr11(.):58385145-58398205	0.0602
NR_024091	chr11(.):58341586-58398205	0.6321
NM_053023	chr11(.):58341586-58394023	0.6772
NR_002565	chr11(.):62618036-62628103	2.0171
NM_003164	chr11(.):62569368-62604560	0.6154
NM_018093	chr11(.):62595382-62612628	2.3708
NR_003098	chr11(.):62614459-62628360	1.5093
NR_002561	chr11(.):62616134-62626204	2.0162
NR_002560	chr11(.):62615797-62625865	2.0147
NR_002559	chr11(.):62616375-62626440	2.0183
NR_000008	chr11(.):62615381-62625507	1.9949
NR_002564	chr11(.):62617763-62627838	2.0246
NR_002563	chr11(.):62617483-62627555	2.0201
NR_002562	chr11(.):62617092-62627167	2.022
NM_001081491	chr11(.):62554597-62577964	0.8387
NM_001080501	chr11(.):62552786-62564486	1.2471
NM_000244	chr11(.):64565985-64583188	0.569
NM_130803	chr11(.):64565985-64583766	0.5551
NM_004579	chr11(.):64551608-64575713	0.2864
NM_017525	chr11(.):64586661-64617041	0.4405
NM_130800	chr11(.):64565985-64583035	0.572
NM_130802	chr11(.):64565985-64583213	0.5681
NR_029829	chr11(.):64653826-64663911	0.8117
NM_006795	chr11(.):64615207-64651191	3.935
NR_029578	chr11(.):64653608-64663718	0.8129
NM_006268	chr11(.):65096345-65125451	0.4833
NM_145719	chr11(.):65117281-65130082	0.5414
NR_028272	chr11(.):65185268-65199003	10.5464
NR_030343	chr11(.):65206928-65217028	0.9434
NM_031904	chr11(.):65149040-65185995	1.7003
NM_032223	chr11(.):65378782-65409910	1.1708
NM_001098785	chr11(.):65334819-65346669	3.1
NM_021070	chr11(.):65301029-65330699	1.3023
NM_033455	chr11(.):65355325-65368467	3.1474
NM_001099409	chr11(.):65338508-65365116	2.7305
NM_002419	chr11(.):65360225-65386720	1.2825
NM_001048218	chr11(.):65287547-65311182	1.0145
NM_006396	chr11(.):65332942-65344239	3.0828
NM_153253	chr11(.):65402591-65423391	0.7642
NM_006747	chr11(.):65400577-65423391	0.7137
NM_001145138	chr11(.):65416066-65435443	1.2431
NM_004561	chr11(.):65549528-65569685	2.1767
NM_198897	chr11(.):65646210-65661010	1.4206
NM_001335	chr11(.):65642283-65656212	0.4492
NM_138368	chr11(.):65538377-65552822	1.6635
NM_025128	chr11(.):65622871-65638914	1.8241
NM_005507	chr11(.):65617284-65630804	2.1592
NM_152760	chr11(.):65596409-65626172	0.5174
NM_016938	chr11(.):65628911-65645340	0.3556
NM_006848	chr11(.):65652874-65664106	1.9482
NM_153451	chr11(.):69475331-69495165	0.3845
NM_002519	chr11(.):108023118-108098365	0.5864
NM_006235	chr11(.):111217980-111255157	2.2723
NR_026691	chr11(.):117852105-117877199	0.5173
NM_015645	chr11(.):119204651-119222383	0.5738
NM_032015	chr11(.):119200236-119213022	0.805
NM_171997	chr11(.):119220924-119239892	0.1676
NM_006500	chr11(.):119174233-119192840	1.8559
NM_005238	chr11(.):128323655-128397205	1.0403
NM_021978	chr11(.):130024681-130085257	1.0614
NM_001173982	chr12(.):104845691-105160792	0.5758
NM_001987	chr12(.):11797787-12053325	0.7467
NM_006143	chr12(.):12808994-12854121	0.3149
NM_001077484	chr12(.):46571840-46668208	0.5657
NM_005761	chr12(.):94537498-94704225	0.575
NM_003299	chr12(.):104319188-104346703	1.6726
NM_004416	chr12(.):113490661-113540833	1.2765
NM_032814	chr12(.):117171095-117296436	0.5378
NM_001082959	chr12(.):125257173-125353519	0.2782
NR_036052	chr12(.):9387065-9397147	0.0411
NR_036052	chr12(.):12259885-12269967	0.0874
NM_004064	chr12(.):12865301-12880305	4.828
NR_030344	chr12(.):12912582-12922677	0.0712
NM_001130415	chr12(.):12873850-12949399	0.6265
NM_030762	chr12(.):26267958-26283003	3.6637
NM_005086	chr12(.):26343505-26392708	0.238
NM_001135823	chr12(.):26343268-26392708	0.2377
NM_001098532	chr12(.):48123452-48157181	0.3348
NM_017842	chr12(.):48161966-48181536	0.3177
NM_006105	chr12(.):48123452-48157244	0.3342
NM_001098531	chr12(.):48123452-48157889	0.3327
NM_001098416	chr12(.):48171506-48218763	1.3542
NR_027249	chr12(.):104232526-104328989	1.044
NR_037425	chr12(.):104319202-104329333	4.3321
NM_003211	chr12(.):104354592-104387656	0.3639
NM_001135570	chr12(.):104338980-104355993	0.457
NR_037487	chr12(.):104980410-104990494	0.1928
NM_001145199	chr12(.):105719413-105770296	1.501
NM_181724	chr12(.):108978621-108996894	0.1268
NM_003006	chr12(.):109010679-109032670	2.6256
NM_006861	chr12(.):120527898-120559643	1.2316
NM_019034	chr12(.):122210659-122236594	1.8371
NR_002809	chr12(.):122228172-122246390	3.8171
NM_015048	chr12(.):122237637-122275562	1.3452
NM_021009	chr12(.):125391191-125404587	2.8366
NM_003291	chr13(.):103244285-103336523	0.5604
NM_032436	chr13(.):115074964-115097803	0.9365
NM_007368	chr13(.):114742193-114903095	0.5985
NM_023011	chr13(.):115042077-115076283	1.0384
NM_003903	chr13(.):114995361-115043150	1.39
NM_001012706	chr14(.):50443429-50479238	0.8957
NM_004296	chr14(.):72394785-73038238	0.1904
NM_001043318	chr14(.):74176824-74258896	0.9212
NM_194278	chr14(.):74176824-74232001	0.7578
NM_000369	chr14(.):81416868-81617646	0.4173
NM_001018036	chr14(.):81416868-81580294	0.4909
NM_152446	chr14(.):80957820-81410884	0.2787
NM_001080414	chr14(.):91732666-91889133	0.7953
NM_006035	chr14(.):103393715-103528742	0.1723
NM_003300	chr14(.):103238815-103382837	0.7055
NM_024558	chr14(.):50570349-50588297	0.481
NM_001014830	chr14(.):50545368-50564361	1.1958
NM_001123329	chr14(.):64966291-64996669	1.074
NM_006977	chr14(.):64948554-64975554	1.2022
NM_004857	chr14(.):64927216-64946221	0.2397
NM_014950	chr14(.):64966291-65005408	0.8409
NM_021979	chr14(.):65002185-65014954	0.1762
NM_172365	chr14(.):65011619-65061096	0.0615
NM_006029	chr14(.):74173485-74186128	0.4801
NM_006399	chr14(.):75983783-76018334	0.4262
NM_030943	chr14(.):103383992-103402179	0.23
NM_006291	chr14(.):103587663-103608776	0.1651
NM_001077594	chr14(.):103561480-103581894	2.4151
NM_025268	chr14(.):105987952-106001539	1.2826
NR_026800	chr14(.):106378837-106403502	0.01
NM_002420	chr15(.):31288550-31398924	0.5528
NM_005254	chr15(.):50564388-50652605	0.4608
NM_016655	chr15(.):50573076-50652605	0.5037
NM_025201	chr15(.):65129081-65165201	0.3079
NM_145160	chr15(.):67830020-68104452	0.2173
NM_007011	chr15(.):89626380-89750591	0.6766
NR_029624	chr15(.):31352234-31362344	0.141
NM_003134	chr15(.):40322890-40336389	0.7009
NR_024490	chr15(.):50641370-50655503	2.487
NR_026891	chr15(.):50636134-50652076	2.2403
NM_182703	chr15(.):65199100-65256041	0.2386
NM_001031807	chr15(.):68112940-68131174	0.1509
NM_015477	chr15(.):75656719-75748926	0.5164
NM_001145358	chr15(.):75656719-75749087	0.5161
NM_001145357	chr15(.):75656719-75753124	0.5008
NM_001134477	chr16(.):14524557-14729120	0.5452
