GENE_ID	locusLine	bin_1_43_0EXV_0229Kronos_MM1S-KB-24hr-1_Input_hs_i87.bam
NR_036212	chr1(.):154943168-154953259	0.2841
NM_006912	chr1(.):155862600-155886177	0.1597
NM_001162384	chr1(.):155911629-155953336	0.2195
NM_181885	chr1(.):155906479-155917625	0.221
NM_004723	chr1(.):155911629-155952966	0.2194
NM_014949	chr1(.):155877835-155909188	0.1979
NR_002974	chr1(.):155884699-155894833	0.1625
NR_003005	chr1(.):155890748-155900877	0.1548
NM_020131	chr1(.):156000091-156028516	0.1771
NM_001093725	chr1(.):156036803-156056789	0.1478
NM_020387	chr1(.):156025965-156045295	0.1437
NM_001145264	chr1(.):156019516-156033301	0.2058
NM_003145	chr1(.):155973838-155995758	0.1838
NM_014655	chr1(.):156158729-156187587	0.261
NM_007221	chr1(.):156177783-156214833	0.2291
NM_022367	chr1(.):156118321-156152542	0.2251
NM_001193302	chr1(.):156118368-156152542	0.225
NM_001193301	chr1(.):156114734-156152542	0.2238
NM_005920	chr1(.):156428518-156475529	0.2164
NM_198427	chr1(.):156606739-156628264	0.1545
NM_021817	chr1(.):156584085-156600517	0.1644
NM_021948	chr1(.):156606739-156634320	0.1951
NM_004494	chr1(.):156706898-156726543	0.2426
NM_001126051	chr1(.):156706898-156727024	0.2411
NM_001126050	chr1(.):156706898-156727240	0.2399
NM_030980	chr1(.):156687412-156702705	0.2041
NM_001878	chr1(.):156664407-156680375	0.1314
NM_001142560	chr1(.):156693262-156711752	0.2283
NM_145729	chr1(.):156702093-156715923	0.1989
NM_006617	chr1(.):156633555-156652189	0.1633
NM_004833	chr1(.):159027274-159051647	0.2304
NM_001778	chr1(.):160643535-160686585	0.2697
NM_003037	chr1(.):160574890-160622081	0.1907
NM_021181	chr1(.):160704076-160729601	0.2413
NM_152366	chr1(.):161063180-161075138	0.2066
NM_030916	chr1(.):161035780-161064385	0.1899
NM_007122	chr1(.):161004040-161020757	0.2637
NM_001113205	chr1(.):161002421-161013774	0.2155
NR_033385	chr1(.):161063150-161075138	0.2067
NM_181720	chr1(.):161011731-161044760	0.2347
NM_016946	chr1(.):160960000-160996133	0.2004
NM_001077470	chr1(.):161194455-161213000	0.1921
NM_001039711	chr1(.):161085768-161107478	0.2083
NM_016406	chr1(.):161118533-161133646	0.2206
NM_004550	chr1(.):161164104-161189184	0.2135
NM_000309	chr1(.):161131180-161146010	0.2105
NM_001643	chr1(.):161187082-161198418	0.2395
NM_001185094	chr1(.):161082907-161095984	0.1866
NM_003779	chr1(.):161136100-161152314	0.2343
NM_012475	chr1(.):161124253-161140516	0.2262
NM_001039712	chr1(.):161085768-161107256	0.2102
NM_005600	chr1(.):161082861-161095984	0.1869
NM_001185093	chr1(.):161082906-161095984	0.1866
NM_032174	chr1(.):161190832-161205407	0.2063
NM_001166159	chr1(.):161166936-161189184	0.22
NM_005099	chr1(.):161154537-161173845	0.2392
NM_004106	chr1(.):161180086-161194038	0.1987
NM_007240	chr1(.):161714580-161731952	0.1672
NR_033186	chr1(.):178506930-178523024	0.1815
NM_022371	chr1(.):179046111-179070129	0.2112
NM_015602	chr1(.):179846419-179894211	0.1819
NM_016545	chr1(.):181052637-181064979	0.2268
NM_002927	chr1(.):192600281-192634389	0.1365
NM_002922	chr1(.):192539856-192554159	0.269
NM_001195216	chr1(.):197698138-197749623	0.1983
NM_080923	chr1(.):198603136-198667334	0.1714
NR_034150	chr1(.):203262885-203279453	0.3491
NM_003465	chr1(.):203180206-203203860	0.1495
NM_006763	chr1(.):203269663-203283729	0.3205
NM_002023	chr1(.):203304751-203325289	0.1764
NR_003019	chr1(.):203693708-203703833	0.1422
NM_001136190	chr1(.):203729283-203750480	0.2095
NM_001174108	chr1(.):203761650-203774590	0.1916
NM_002646	chr1(.):204386757-204464474	0.1626
NM_002393	chr1(.):204480510-204532248	0.2161
NM_014858	chr1(.):205192037-205247471	0.2077
NM_018203	chr1(.):205300647-205331039	0.1679
NM_030952	chr1(.):205266190-205295883	0.2021
NM_000707	chr1(.):206219282-206236482	0.1691
NM_001007544	chr1(.):206233871-206293647	0.2077
NM_148964	chr1(.):206312458-206337104	0.1132
NM_006893	chr1(.):206759973-206790904	0.1684
NM_182665	chr1(.):206725491-206767616	0.2178
NM_001185157	chr1(.):207065787-207082484	0.1444
NM_018724	chr1(.):207034153-207047568	0.1629
NM_002644	chr1(.):207096866-207124811	0.1908
NM_001170631	chr1(.):207126311-207148970	0.1449
NM_152485	chr1(.):209950661-209962890	0.195
NM_025228	chr1(.):209924393-209960668	0.2306
NM_183059	chr1(.):211644863-211671259	0.1552
NM_021194	chr1(.):211743380-211757099	0.2961
NM_000120	chr1(.):226008001-226038262	0.1582
NM_020997	chr1(.):226068981-226081836	0.1643
NM_014698	chr1(.):226028232-226075420	0.2103
NM_001172425	chr1(.):226119297-226134083	0.2198
NM_013328	chr1(.):226102579-226116965	0.1353
NR_002315	chr1(.):226245427-226264703	0.2051
NM_002107	chr1(.):226245420-226264703	0.2051
NM_182972	chr1(.):234735014-234750271	0.2984
NR_033927	chr1(.):234760056-234775526	0.1448
NR_002956	chr1(.):235286117-235296252	0.1879
NM_031844	chr1(.):245008601-245032827	0.2107
NM_198076	chr1(.):244993638-245013359	0.233
NR_026778	chr1(.):244998939-245015243	0.2117
NM_020458	chr2(.):47163312-47308275	0.126
NR_033872	chr2(.):70184394-70319147	0.1102
NM_032827	chr2(.):85975908-86023506	0.1073
NR_015395	chr2(.):112119590-112257692	0.1363
NR_024373	chr2(.):112181885-112257692	0.1612
NM_001099289	chr2(.):109740996-110267207	0.0926
NM_020760	chr2(.):197058976-197462335	0.1149
NM_001012514	chr2(.):231724620-231748963	0.076
NM_145693	chr2(.):11881739-11972533	0.1386
NM_183360	chr2(.):25595111-25901503	0.1153
NM_170672	chr2(.):33656415-33794798	0.1262
NM_005813	chr2(.):37472645-37549222	0.173
NM_019063	chr2(.):42391489-42564688	0.1183
NM_014755	chr2(.):64853754-64886046	0.1692
NR_036586	chr2(.):65123973-65164581	0.1853
NM_002398	chr2(.):66657531-66804891	0.104
NR_024204	chr2(.):87749973-87826030	0.148
NM_004836	chr2(.):88851258-88932094	0.1502
NM_144563	chr2(.):88986175-89055452	0.1213
NM_020151	chr2(.):96845602-96879573	0.1255
NM_004027	chr2(.):99056320-99212496	0.1585
NM_001566	chr2(.):99056320-99203284	0.1602
NM_003581	chr2(.):106356519-106515730	0.122
NR_027020	chr2(.):132900163-133020542	0.1829
NM_002410	chr2(.):135006829-135211468	0.125
NM_024770	chr2(.):172168912-172296312	0.1237
NM_001077269	chr2(.):175419301-175552627	0.1292
NR_024415	chr2(.):192537797-192558248	0.1797
NM_001031716	chr2(.):192537860-192558248	0.1802
NM_004226	chr2(.):196993306-197041336	0.1627
NM_153697	chr2(.):197959194-198180521	0.1271
NM_001195144	chr2(.):197846385-198180521	0.121
NM_006226	chr2(.):198664425-199019608	0.1108
NM_001228	chr2(.):202093165-202157434	0.1556
NM_003879	chr2(.):201975889-202034003	0.1501
NM_001127184	chr2(.):201975815-202011323	0.1651
NM_173822	chr2(.):201833440-201941392	0.1121
NM_033358	chr2(.):202093165-202151638	0.1611
NM_001037631	chr2(.):204727508-204743683	0.1148
NM_003709	chr2(.):207940528-208035614	0.1272
NM_001167608	chr2(.):227695670-227868923	0.1177
NM_001137551	chr2(.):238595806-238695290	0.0632
NM_001137550	chr2(.):238531223-238695290	0.058
NM_002997	chr2(.):20395557-20429927	0.1756
NM_001006946	chr2(.):20395557-20430194	0.1747
NM_004040	chr2(.):20641834-20654201	0.1357
NM_178553	chr2(.):27354714-27367332	0.1268
NM_001166239	chr2(.):27318461-27346773	0.1071
NM_001166240	chr2(.):27317220-27346995	0.1096
NM_013388	chr2(.):27348624-27362542	0.1417
NM_001166241	chr2(.):27317220-27338970	0.1053
NM_032604	chr2(.):27341656-27358680	0.1558
NM_175769	chr2(.):27366944-27380819	0.1498
NM_080592	chr2(.):27429898-27445046	0.1415
NM_001170795	chr2(.):27430218-27445046	0.1423
NM_004341	chr2(.):27435257-27471654	0.107
NM_021095	chr2(.):27417454-27440175	0.1323
NM_015376	chr2(.):33733941-33794798	0.1201
NM_001139488	chr2(.):33696320-33794798	0.1374
NM_012413	chr2(.):37566752-37605465	0.2245
NM_138370	chr2(.):42270160-42290668	0.0899
NM_006887	chr2(.):43444540-43458745	0.2377
NR_027251	chr2(.):43449349-43460994	0.1902
NM_001171508	chr2(.):47124008-47173994	0.1341
NM_002354	chr2(.):47591286-47619167	0.0903
NR_033837	chr2(.):64407212-64437619	0.1411
NR_034023	chr2(.):64829445-64848616	0.1094
NM_001193493	chr2(.):65210578-65256000	0.1347
NM_003038	chr2(.):65211494-65256000	0.1338
NM_015147	chr2(.):65278494-65319142	0.1381
NM_014882	chr2(.):68996932-69058957	0.1103
NM_001166277	chr2(.):68956912-69058957	0.1234
NM_006196	chr2(.):70309584-70321334	0.2021
NR_024444	chr2(.):70346167-70357448	0.1817
NM_006433	chr2(.):85916413-85930875	0.1194
NM_198843	chr2(.):85879439-85900864	0.0952
NM_015425	chr2(.):86248450-86338278	0.1421
NM_017952	chr2(.):86328304-86374280	0.1196
NR_026984	chr2(.):86242338-86255991	0.1075
NR_015424	chr2(.):89060418-89111109	0.1526
NM_001193304	chr2(.):96910945-96936751	0.1639
NM_001037228	chr2(.):96900976-96912701	0.1802
NM_004804	chr2(.):96926883-96944900	0.1514
NR_026875	chr2(.):97158382-97178846	0.1231
NM_212481	chr2(.):97197463-97223371	0.186
NR_031608	chr2(.):133009538-133019653	0.5191
NR_024275	chr2(.):135201959-135217192	0.1046
NM_004288	chr2(.):158266130-158305604	0.1763
NM_003387	chr2(.):175419301-175504307	0.1414
NM_000885	chr2(.):182316618-182407468	0.1324
NM_002491	chr2(.):201931461-201955473	0.1343
NM_001127183	chr2(.):201978386-202033841	0.1528
NM_032974	chr2(.):202042620-202099110	0.1683
NM_001230	chr2(.):202042620-202091383	0.1632
NM_033356	chr2(.):202120222-202157434	0.1468
NM_001080125	chr2(.):202117753-202157434	0.1465
NM_006139	chr2(.):204566197-204607557	0.1607
NR_036227	chr2(.):207969710-207979797	0.1035
NM_018000	chr2(.):216802313-216883346	0.115
NM_017431	chr2(.):219682105-219701512	0.0879
NM_025216	chr2(.):219740254-219763651	0.1823
NM_006522	chr2(.):219719545-219743954	0.1143
NM_005683	chr2(.):231767042-231794941	0.0676
NM_018218	chr2(.):234379164-234479236	0.0606
NM_004735	chr2(.):238595806-238679558	0.0644
NM_014674	chr3(.):5224358-5266650	0.1678
NM_001195099	chr3(.):15703743-15803058	0.1109
NM_001195098	chr3(.):15703743-15844691	0.1189
NM_015199	chr3(.):15703743-15906053	0.1239
NM_003571	chr3(.):133113789-133199056	0.146
NM_207015	chr3(.):174572110-175528428	0.1478
NM_001135095	chr3(.):171753343-172123492	0.1864
NM_022763	chr3(.):171752417-172123492	0.1866
NM_181361	chr3(.):178249223-178567217	0.1464
NR_004053	chr3(.):181323150-181464005	0.15
NM_001134382	chr3(.):12933718-13119617	0.1145
NM_024923	chr3(.):13352736-13466809	0.1144
NM_014869	chr3(.):12933718-13013960	0.093
NM_001184958	chr3(.):14711605-14819543	0.1191
NM_001024847	chr3(.):30642993-30740633	0.1317
NM_001123396	chr3(.):46390234-46405868	0.1618
NM_001123041	chr3(.):46390234-46407413	0.1628
NM_181042	chr3(.):52574367-52718739	0.1022
NM_018313	chr3(.):52574367-52724866	0.1048
NM_001128615	chr3(.):56756445-57118336	0.1094
NM_015541	chr3(.):66424220-66555845	0.1094
NM_007114	chr3(.):69063977-69106484	0.1199
NM_024548	chr3(.):101438493-101491181	0.121
NM_199420	chr3(.):121145272-121269853	0.1068
NM_002213	chr3(.):124476794-124611144	0.12
NM_001134422	chr3(.):133287433-133314118	0.1788
NM_001134423	chr3(.):133288300-133314118	0.18
NM_006506	chr3(.):141200925-141336197	0.119
NM_001080412	chr3(.):141038054-141173632	0.1825
NM_016275	chr3(.):150316065-150353234	0.1548
NM_001193283	chr3(.):156539147-156648045	0.1451
NM_001004316	chr3(.):156539095-156768918	0.1487
NM_001190242	chr3(.):159969773-160106554	0.1469
NM_001190241	chr3(.):159969773-160122320	0.156
NM_024665	chr3(.):176733541-176920048	0.1964
NM_005832	chr3(.):178271617-178567217	0.144
NM_130446	chr3(.):183200318-183278499	0.2576
NM_173216	chr3(.):186643314-186801341	0.2085
NM_003032	chr3(.):186734664-186801341	0.2126
NM_005524	chr3(.):193848933-193861396	0.2042
NM_018184	chr3(.):5158929-5227601	0.1217
NM_015931	chr3(.):8656319-8698737	0.1058
NM_016474	chr3(.):14688252-14719166	0.1337
NM_194293	chr3(.):39219706-39239077	0.1135
NM_001198621	chr3(.):39219705-39239085	0.1136
NM_001295	chr3(.):46238199-46254832	0.227
NM_001837	chr3(.):46278871-46313197	0.1055
NM_003965	chr3(.):46443720-46456014	0.1234
NM_001100168	chr3(.):46406632-46422697	0.1682
NM_001130910	chr3(.):46444048-46456014	0.1253
NM_003212	chr3(.):46614075-46628952	0.0928
NM_001174136	chr3(.):46611044-46628952	0.093
NM_024512	chr3(.):46551877-46613011	0.1343
NM_031440	chr3(.):46534484-46547439	0.1184
NM_001010983	chr3(.):52723503-52745048	0.1711
NM_206825	chr3(.):52714935-52733510	0.1476
NR_003687	chr3(.):52719753-52729846	0.1585
NM_014041	chr3(.):52734856-52747197	0.1932
NR_003057	chr3(.):52721751-52731828	0.1512
NM_152932	chr3(.):52723503-52742622	0.165
NR_003047	chr3(.):52718255-52728331	0.1548
NM_001193533	chr3(.):52739795-52809965	0.1281
NM_198195	chr3(.):69098880-69134524	0.1477
NM_006407	chr3(.):69129089-69160239	0.1629
NM_198271	chr3(.):69151038-69176746	0.1225
NR_036087	chr3(.):69093108-69103186	0.1701
NM_006100	chr3(.):98446571-98518236	0.1729
NM_145037	chr3(.):101493028-101552075	0.1489
NM_001134456	chr3(.):101493285-101552075	0.1493
NM_001005474	chr3(.):101541833-101584869	0.1252
NM_022135	chr3(.):119355907-119384404	0.1305
NM_005694	chr3(.):119383371-119401243	0.1386
NM_015900	chr3(.):119311721-119353658	0.0948
NM_001012659	chr3(.):121281777-121314469	0.1154
NM_016298	chr3(.):121307169-121354139	0.1028
NM_175862	chr3(.):121769220-121844983	0.1169
NM_006889	chr3(.):121791749-121844983	0.1234
NR_033434	chr3(.):124444212-124473119	0.1027
NR_031687	chr3(.):125504246-125514395	0.1178
NM_020187	chr3(.):128992683-129029135	0.1216
NM_001006109	chr3(.):128992816-129029135	0.1214
NM_006026	chr3(.):129028613-129040120	0.1858
NR_026991	chr3(.):129030113-129048412	0.1658
NR_027898	chr3(.):129926662-129997649	0.1023
NM_016557	chr3(.):132311093-132326382	0.0992
NM_178445	chr3(.):132313980-132326382	0.0928
NM_032169	chr3(.):132271981-132383975	0.1123
NM_032025	chr3(.):150259573-150308803	0.1335
NM_014445	chr3(.):150254779-150269428	0.1637
NR_027954	chr3(.):156385959-156398502	0.2401
NM_001184718	chr3(.):156389452-156429557	0.2219
NM_001184717	chr3(.):156387714-156429557	0.2182
NM_015508	chr3(.):156387204-156429557	0.2172
NR_003284	chr3(.):156522059-156534810	0.1549
NR_034008	chr3(.):156802669-156823924	0.2918
NR_034007	chr3(.):156794455-156845791	0.2217
NM_173084	chr3(.):160148290-160172626	0.1953
NR_029663	chr3(.):160117375-160127473	0.241
NM_005496	chr3(.):160113346-160157741	0.2127
NM_001002800	chr3(.):160112429-160157741	0.2125
NR_029525	chr3(.):160117532-160127613	0.2337
NR_027622	chr3(.):169656771-169689522	0.2334
NM_182610	chr3(.):169624481-169661948	0.1778
NM_003262	chr3(.):169679579-169721161	0.1858
NM_001145098	chr3(.):170070472-170115950	0.1697
NM_001145097	chr3(.):170072410-170115950	0.1712
NM_003106	chr3(.):181424721-181437223	0.1906
NM_198565	chr3(.):196361655-196393874	0.1877
NM_003215	chr4(.):48132799-48276814	0.128
NM_201431	chr4(.):74433861-74491340	0.1358
NM_177532	chr4(.):74433861-74491134	0.136
NM_020859	chr4(.):77351252-77709405	0.1123
NM_198281	chr4(.):90160428-90234161	0.185
NM_018699	chr4(.):121610928-121849013	0.1117
NM_015173	chr4(.):37887719-38145794	0.1181
NM_001007075	chr4(.):39041450-39132853	0.1051
NM_001098634	chr4(.):40420271-40636883	0.1137
NM_004310	chr4(.):40193526-40251281	0.1737
NM_025009	chr4(.):56810036-56904527	0.104
NM_001136570	chr4(.):77167852-77209929	0.1075
NM_002039	chr4(.):144252982-144400718	0.1417
NM_153343	chr4(.):185004858-185144114	0.0979
NM_002199	chr4(.):185303875-185400726	0.1695
NR_031688	chr4(.):9552788-9562937	0.1102
NM_024943	chr4(.):38963440-39039041	0.1107
NM_017581	chr4(.):40332468-40361973	0.0909
NM_001076	chr4(.):69398132-69439240	0.1169
NM_001077	chr4(.):69397902-69439245	0.1165
NM_001076	chr4(.):69507314-69541374	0.1101
NM_031889	chr4(.):71489460-71517536	0.1173
NM_144646	chr4(.):71516257-71537348	0.2011
NM_020368	chr4(.):71549195-71561268	0.1656
NM_014961	chr4(.):71582695-71664274	0.1102
NM_001130709	chr4(.):71565653-71660614	0.114
NM_017426	chr4(.):77030816-77074655	0.0984
NM_005506	chr4(.):77074893-77140035	0.1335
NM_015697	chr4(.):84179976-84211067	0.1385
NM_003998	chr4(.):103417485-103543459	0.1268
NM_025212	chr4(.):105388342-105417467	0.1576
NM_032623	chr4(.):140182316-140206492	0.1102
NM_001104631	chr5(.):58259865-59194621	0.1022
NM_006203	chr5(.):58259865-58887324	0.1016
NM_001165899	chr5(.):58259865-59788925	0.0977
NM_001197218	chr5(.):58259865-59069438	0.1032
NM_002372	chr5(.):109020155-109208429	0.1312
NM_012304	chr5(.):15495304-15944900	0.1068
NM_001131005	chr5(.):88009057-88204922	0.1568
NM_002397	chr5(.):88009057-88184283	0.1608
NM_001193349	chr5(.):88009057-88124744	0.1516
NM_001131055	chr5(.):175080039-175118245	0.1223
NM_024669	chr5(.):55390506-55534186	0.1234
NR_015436	chr5(.):87831596-87985620	0.1101
NR_027435	chr5(.):90671163-90721532	0.1301
NM_152624	chr5(.):112307432-112361667	0.1212
NM_001077654	chr5(.):118599417-118735294	0.145
NM_001038702	chr5(.):130594701-130735382	0.1275
NM_003060	chr5(.):131700400-131736306	0.119
NM_001020825	chr5(.):142652495-142788254	0.1294
NM_001018076	chr5(.):142652495-142789045	0.1297
NM_001018075	chr5(.):142652495-142820077	0.1265
NM_138379	chr5(.):156341292-156395266	0.1233
NM_005990	chr5(.):171464073-171620346	0.1175
NM_002406	chr5(.):180212540-180235048	0.1437
NM_001114619	chr5(.):180212540-180235902	0.1462
NM_001114618	chr5(.):180212540-180241817	0.1535
NM_001114617	chr5(.):180212540-180242137	0.1521
NM_052909	chr5(.):135372-195087	0.0993
NM_145265	chr5(.):199874-223297	0.1371
