GENE_ID	locusLine	bin_1_U266.jin.bam
NM_016275	chr3(.):150316065-150353234	0.8379
NM_005067	chr3(.):150453909-150486263	1.1408
NM_001190242	chr3(.):159969773-160106554	0.0636
NM_001190241	chr3(.):159969773-160122320	0.2051
NM_024665	chr3(.):176733541-176920048	0.332
NM_130446	chr3(.):183200318-183278499	1.361
NM_173216	chr3(.):186643314-186801341	1.4164
NM_003032	chr3(.):186734664-186801341	0.9749
NM_178496	chr3(.):192509604-192640950	1.6132
NM_005524	chr3(.):193848933-193861396	2.3117
NM_001647	chr3(.):195290572-195316076	0.2167
NM_032773	chr3(.):197513144-197603456	0.2038
NM_003670	chr3(.):5016096-5031865	2.4511
NM_015453	chr3(.):9399716-9433475	0.4254
NM_001080517	chr3(.):9434402-9524838	0.282
NM_020345	chr3(.):23928571-23963537	0.6944
NM_002948	chr3(.):23953638-23967332	1.6168
NM_005126	chr3(.):23981750-24027109	0.2885
NM_001145425	chr3(.):23982611-24027109	0.2925
NM_014240	chr3(.):45631322-45727755	0.8718
NR_033947	chr3(.):45714656-45735374	0.6359
NM_003965	chr3(.):46443720-46456014	0.1207
NM_001100168	chr3(.):46406632-46422697	0.3532
NM_001130910	chr3(.):46444048-46456014	0.1231
NM_199074	chr3(.):49052907-49065926	2.0855
NM_199073	chr3(.):49053617-49065926	2.2003
NM_177939	chr3(.):49022340-49049581	0.5741
NM_018031	chr3(.):49039636-49058386	1.1274
NM_000884	chr3(.):49056761-49071875	1.7684
NM_018114	chr3(.):49047434-49063467	1.6789
NM_199070	chr3(.):49054073-49065926	2.2772
NM_001009996	chr3(.):49047434-49061017	1.9423
NR_029690	chr3(.):49053050-49063142	2.6258
NR_029948	chr3(.):49052580-49062667	2.6166
NM_001134650	chr3(.):71723439-71783269	0.1135
NM_001134649	chr3(.):71723439-71808532	0.0926
NM_173359	chr3(.):71723439-71808924	0.0925
NM_018971	chr3(.):71798200-71809328	0.0476
NM_006100	chr3(.):98446571-98518236	0.615
NM_020187	chr3(.):128992683-129029135	1.431
NM_001006109	chr3(.):128992816-129029135	1.4354
NM_006026	chr3(.):129028613-129040120	3.8875
NR_026991	chr3(.):129030113-129048412	1.9027
NR_034008	chr3(.):156802669-156823924	2.1044
NR_034007	chr3(.):156794455-156845791	1.0184
NM_173084	chr3(.):160148290-160172626	0.5304
NR_029663	chr3(.):160117375-160127473	1.8955
NM_005496	chr3(.):160113346-160157741	0.5865
NM_001002800	chr3(.):160112429-160157741	0.5759
NR_029525	chr3(.):160117532-160127613	1.7806
NM_014373	chr3(.):169750734-169808183	1.2078
NM_024524	chr3(.):194118402-194193968	0.0796
NR_033929	chr3(.):194202868-194214274	4.747
NM_006241	chr3(.):195236220-195275224	1.3234
NR_003265	chr3(.):195379909-195420735	0.2552
NR_003266	chr3(.):197335897-197359752	0.3391
NM_014687	chr3(.):197393258-197468773	0.9696
NM_001145642	chr3(.):197393313-197481568	1.1863
NR_027840	chr3(.):197472260-197516317	0.7593
NM_032288	chr3(.):197471623-197516317	0.7492
NR_030627	chr3(.):197396366-197406447	0.1049
NM_001011537	chr3(.):197471423-197516317	0.746
NM_198281	chr4(.):90160428-90234161	0.4789
NM_001008388	chr4(.):103785134-103818963	0.5866
NM_001102406	chr4(.):113213498-113368764	0.0921
NM_018699	chr4(.):121610928-121849013	0.4234
NM_001130067	chr4(.):154069269-154265474	0.063
NM_021069	chr4(.):186501597-186882870	0.076
NM_001145670	chr4(.):186501597-186738410	0.1109
NM_001145671	chr4(.):186501597-186737225	0.1114
NM_001145672	chr4(.):186501597-186737048	0.1115
NM_003603	chr4(.):186501597-186738392	0.1109
NM_001145673	chr4(.):186501597-186702066	0.1284
NM_015173	chr4(.):37887719-38145794	0.3071
NM_004310	chr4(.):40193526-40251281	1.1099
NM_001136570	chr4(.):77167852-77209929	0.0599
NM_024900	chr4(.):129725778-129790787	0.4633
NM_199320	chr4(.):129725778-129801379	0.4041
NM_201999	chr4(.):139973870-140065606	0.2255
NM_002039	chr4(.):144252982-144400718	0.9182
NM_152543	chr4(.):159809683-159961333	0.1404
NM_153343	chr4(.):185004858-185144114	0.0355
NM_001145674	chr4(.):186501597-186583123	0.2953
NM_182485	chr4(.):14999297-15076777	0.4122
NM_017426	chr4(.):77030816-77074655	0.0977
NM_005506	chr4(.):77074893-77140035	0.5174
NM_181891	chr4(.):103712132-103753708	0.7278
NM_181890	chr4(.):103712132-103795032	0.6154
NM_181892	chr4(.):103712132-103753340	0.7335
NM_003340	chr4(.):103712132-103754105	0.7212
NM_181893	chr4(.):103712132-103795003	0.6155
NM_181889	chr4(.):103712132-103754307	0.718
NM_052864	chr4(.):113191781-113212059	1.7264
NM_001102653	chr4(.):146049801-146105832	0.662
NM_017493	chr4(.):146075288-146100896	0.6655
NR_037459	chr4(.):160044953-160055046	0.1115
NM_002372	chr5(.):109020155-109208429	0.2539
NM_015315	chr5(.):154087461-154202163	0.2961
NM_001034838	chr5(.):169775880-170168636	0.0405
NM_004394	chr5(.):10674341-10766387	0.3657
NM_001040446	chr5(.):32222110-32318114	0.5285
NM_024669	chr5(.):55390506-55534186	0.4499
NM_022913	chr5(.):56464774-56565506	0.3181
NM_001127235	chr5(.):56466274-56565506	0.3217
NR_015436	chr5(.):87831596-87985620	0.3807
NR_027435	chr5(.):90671163-90721532	0.7314
NM_012081	chr5(.):95215801-95302775	0.7696
NM_020747	chr5(.):123967609-124085805	0.4964
NM_001038702	chr5(.):130594701-130735382	0.3184
NM_003060	chr5(.):131700400-131736306	0.1596
NM_181676	chr5(.):145964067-146440700	0.1429
NM_181677	chr5(.):145964067-146466033	0.1662
NM_004045	chr5(.):151117382-151143210	1.6547
NM_005990	chr5(.):171464073-171620346	0.3615
NM_001031711	chr5(.):172256222-172384688	0.3329
NM_018434	chr5(.):179377473-179504109	0.3491
NM_052909	chr5(.):135372-195087	0.4926
NM_145265	chr5(.):199874-223297	0.2419
NM_001080478	chr5(.):186625-200468	1.7081
NM_004168	chr5(.):213355-261814	0.1367
NM_001193376	chr5(.):1248286-1300162	0.1571
NM_030782	chr5(.):1312999-1350002	2.1589
NM_001145161	chr5(.):6443735-6501834	2.303
NM_022130	chr5(.):32119823-32179425	0.379
NM_006713	chr5(.):32580604-32609185	0.793
NM_001014279	chr5(.):43034181-43045447	1.3363
NR_034085	chr5(.):43011149-43023913	0.9921
NR_015447	chr5(.):43037235-43050370	1.1421
NM_001102575	chr5(.):53808592-53847416	1.4648
NM_001145427	chr5(.):53808588-53847416	1.4646
NM_052870	chr5(.):53808592-53821834	2.5336
NM_001127236	chr5(.):56504900-56565506	0.0549
NM_004291	chr5(.):71009989-71021875	0.1484
NM_015566	chr5(.):74068398-74167615	0.4272
NR_024384	chr5(.):87955262-87974146	2.6025
NR_024383	chr5(.):87955262-87979262	2.1524
NR_030741	chr5(.):87957670-87967757	0.6626
NM_020801	chr5(.):90659540-90684149	1.4738
NM_031952	chr5(.):94989019-95023714	0.1496
NM_014899	chr5(.):95061849-95137071	0.3846
NM_014819	chr5(.):108665409-108750675	0.3546
NR_036052	chr5(.):118305280-118315362	0.0592
NM_005573	chr5(.):126107314-126177712	0.3454
NM_001198557	chr5(.):126107844-126177712	0.3475
NM_000588	chr5(.):131391346-131403896	0.2959
NM_000758	chr5(.):131404484-131416859	0.3385
NR_037500	chr5(.):131696181-131706291	0.345
NM_001013717	chr5(.):131741672-131803059	1.6167
NM_016463	chr5(.):139023300-139067680	0.5928
NM_006058	chr5(.):150404505-150465997	0.7788
NM_005754	chr5(.):151146475-151189915	0.543
NM_005565	chr5(.):169670087-169729822	0.3481
NR_026945	chr5(.):169753434-169767104	0.5309
NM_001171183	chr5(.):171616175-171635458	0.052
NM_030627	chr5(.):173310330-173392313	1.0912
NR_031598	chr5(.):179220277-179230346	0.1748
NM_145867	chr5(.):179215985-179228513	0.1449
NM_003900	chr5(.):179242841-179270077	1.3893
NM_016175	chr5(.):179259265-179290840	0.1384
NM_054013	chr5(.):179219597-179234875	0.4419
NM_014275	chr5(.):179219597-179238952	0.3795
NM_001142298	chr5(.):179228387-179270077	1.0523
NM_001142299	chr5(.):179229002-179270077	1.0672
NM_012288	chr6(.):52357199-52446862	1.0184
NM_005907	chr6(.):119494266-119675926	0.2065
NM_000876	chr6(.):160385130-160532583	0.3107
NR_037616	chr6(.):7876482-8069647	0.7927
NM_002114	chr6(.):12007723-12170232	0.3765
NM_030948	chr6(.):12712832-13292528	0.0877
NM_000332	chr6(.):16294342-16766721	0.2775
NM_014641	chr6(.):30662583-30690458	0.8644
NM_001090	chr6(.):30534169-30564309	0.3205
NM_172166	chr6(.):31702724-31735455	1.1865
NM_152731	chr6(.):56814772-56897142	0.3077
NM_015021	chr6(.):87860268-87978406	0.2233
NM_016021	chr6(.):90031343-90067619	0.9077
NM_001170794	chr6(.):90631246-91011627	0.2853
NM_021813	chr6(.):90631246-91011562	0.2853
NM_001455	chr6(.):108877068-109010971	0.2431
NM_201559	chr6(.):108876025-109010971	0.2414
NM_001143676	chr6(.):134485383-134644196	0.6151
NM_000288	chr6(.):137138701-137240072	0.0755
NM_005923	chr6(.):136873186-137118656	0.2845
NM_006734	chr6(.):143067603-143271338	0.4334
NM_016020	chr6(.):155573789-155640626	0.165
NM_001009991	chr6(.):159066045-159190901	0.4816
NM_020185	chr6(.):287100-356355	2.3585
NM_001145549	chr6(.):7876482-7915310	2.5344
NM_030810	chr6(.):7876482-7916047	2.5938
NM_032744	chr6(.):11708887-11784280	0.5006
NM_001143964	chr6(.):13300183-13333787	0.7327
NM_003526	chr6(.):26118694-26129132	2.0648
NM_139006	chr6(.):26082508-26100469	0.0904
NM_021065	chr6(.):26194011-26204471	1.9086
NM_003530	chr6(.):26192011-26204464	1.6088
NM_138720	chr6(.):26153348-26176576	1.4387
NM_003523	chr6(.):26179023-26189458	0.1182
NM_003539	chr6(.):26183937-26194304	0.1303
NM_003545	chr6(.):26199872-26210249	1.7099
NM_005321	chr6(.):26151558-26162343	1.7061
NM_003512	chr6(.):26119372-26129918	2.0487
NM_003542	chr6(.):26099175-26109565	0.5525
NM_005323	chr6(.):26102639-26113364	0.5166
NM_003522	chr6(.):26194786-26205216	2.1978
NM_003518	chr6(.):26211427-26221872	0.1763
NM_021052	chr6(.):26212147-26222711	0.1748
NM_003543	chr6(.):26280353-26290727	2.2614
NM_003532	chr6(.):26220382-26230844	0.1164
NM_003524	chr6(.):26246878-26257303	0.8857
NM_003534	chr6(.):26266145-26276612	1.175
NM_003547	chr6(.):26241838-26252205	0.7856
NM_003540	chr6(.):26235653-26246021	0.1272
NM_021018	chr6(.):26245369-26255835	0.8778
NM_005320	chr6(.):26229439-26240216	0.5898
NM_003525	chr6(.):26268203-26278640	1.1911
NM_001145008	chr6(.):26397464-26420444	0.2546
NM_001197240	chr6(.):26378328-26400100	0.4458
NM_001197247	chr6(.):26360397-26383540	1.0654
NM_001197238	chr6(.):26378323-26400100	0.4457
NM_007047	chr6(.):26360397-26383548	1.0666
NM_001197237	chr6(.):26378438-26400100	0.4475
NM_001197248	chr6(.):26360469-26383540	1.0525
NM_001197246	chr6(.):26363405-26383540	0.6491
NR_026790	chr6(.):26516933-26532612	0.672
NM_001732	chr6(.):26496494-26515652	0.0798
NM_006353	chr6(.):26533571-26552164	1.3291
NM_021064	chr6(.):27095816-27106314	2.1602
NM_080593	chr6(.):27101071-27119637	1.6104
NM_080596	chr6(.):27109907-27120346	1.4508
NR_036096	chr6(.):27110404-27120467	1.4095
NM_021058	chr6(.):27095094-27105575	2.2258
NM_003495	chr6(.):27102087-27112457	1.1843
NM_021066	chr6(.):27777079-27787518	1.4605
NM_003536	chr6(.):27772841-27783314	2.2242
NM_003509	chr6(.):27770976-27781445	1.8967
NM_003519	chr6(.):27770256-27780709	1.6693
NM_003521	chr6(.):27777821-27788267	1.3594
NM_003520	chr6(.):27801439-27811888	2.4479
NM_003511	chr6(.):27828106-27838576	0.2471
NM_003533	chr6(.):27834622-27845099	0.0579
NM_003510	chr6(.):27800657-27811117	2.4508
NM_003541	chr6(.):27793951-27804305	0.9963
NM_005322	chr6(.):27829569-27840359	0.2456
NM_021968	chr6(.):27786902-27797258	1.0131
NM_003546	chr6(.):27835925-27846289	0.0586
NM_003587	chr6(.):30615895-30645830	0.0972
NM_001031722	chr6(.):30589662-30619598	0.3103
NR_033823	chr6(.):30589612-30619598	0.3098
NM_001161376	chr6(.):30609815-30625987	0.3924
NM_002714	chr6(.):30563181-30590020	0.9588
NM_014046	chr6(.):30580485-30599174	1.4447
NM_133471	chr6(.):30639165-30660672	0.6608
NM_001134870	chr6(.):30639165-30660093	0.6704
NM_007243	chr6(.):30650825-30663769	0.6812
NR_030615	chr6(.):30547108-30557194	0.0405
NM_005803	chr6(.):30690510-30715453	0.1587
NM_003897	chr6(.):30705975-30717327	0.2437
NM_178014	chr6(.):30683156-30698195	1.5878
NM_021246	chr6(.):31678132-31690581	0.1398
NM_138275	chr6(.):31686160-31697851	0.2297
NR_033488	chr6(.):31649725-31675850	0.3137
NM_013974	chr6(.):31689816-31703039	0.5261
NM_001288	chr6(.):31693357-31709341	2.6322
NM_001003693	chr6(.):31669683-31683372	0.5931
NM_021160	chr6(.):31649725-31676137	0.3104
NR_024541	chr6(.):31674752-31686842	0.1413
NM_025261	chr6(.):31681424-31694510	0.0922
NM_001039651	chr6(.):31725772-31737624	0.1084
NM_025258	chr6(.):31728370-31750108	0.6862
