GENE_ID	locusLine	bin_1_02_0EWO_0229Kronos_MM1S-No-Treatment-2_H3K18Ac_hs-dm_i04.bam
1_MACS_peak_162_lociStitched	chr1(.):11795303-11798349	1.7126
1_MACS_peak_163_lociStitched	chr1(.):11843009-11845526	1.4823
2_MACS_peak_164_lociStitched	chr1(.):11862990-11867383	1.3863
1_MACS_peak_166_lociStitched	chr1(.):11967526-11970642	3.2548
2_MACS_peak_167_lociStitched	chr1(.):11984328-11987462	0.8821
1_MACS_peak_169_lociStitched	chr1(.):11993801-11995047	0.7298
1_MACS_peak_170_lociStitched	chr1(.):12039545-12041389	2.186
1_MACS_peak_171_lociStitched	chr1(.):12078742-12080663	0.5991
4_MACS_peak_172_lociStitched	chr1(.):12099981-12114678	0.652
2_MACS_peak_176_lociStitched	chr1(.):12220665-12228032	1.3379
1_MACS_peak_178_lociStitched	chr1(.):12290033-12291059	0.663
1_MACS_peak_179_lociStitched	chr1(.):12404842-12406296	0.5726
1_MACS_peak_180_lociStitched	chr1(.):12494950-12496976	0.8103
1_MACS_peak_181_lociStitched	chr1(.):12806066-12807019	0.4705
1_MACS_peak_182_lociStitched	chr1(.):12896572-12898206	0.6579
1_MACS_peak_183_lociStitched	chr1(.):13824452-13826469	0.7273
1_MACS_peak_184_lociStitched	chr1(.):13968555-13970075	0.5767
1_MACS_peak_185_lociStitched	chr1(.):14025788-14027253	0.969
1_MACS_peak_186_lociStitched	chr1(.):14056462-14058507	1.4277
1_MACS_peak_187_lociStitched	chr1(.):14074891-14076999	1.0249
1_MACS_peak_188_lociStitched	chr1(.):14155208-14156370	0.7153
1_MACS_peak_189_lociStitched	chr1(.):14237918-14239372	0.6534
2_MACS_peak_190_lociStitched	chr1(.):14246556-14254958	0.6451
1_MACS_peak_192_lociStitched	chr1(.):14271918-14273540	0.5525
1_MACS_peak_193_lociStitched	chr1(.):14293424-14295450	0.773
2_MACS_peak_194_lociStitched	chr1(.):14335814-14345150	1.0458
1_MACS_peak_196_lociStitched	chr1(.):14362085-14367645	1.7886
1_MACS_peak_197_lociStitched	chr1(.):14463594-14464808	0.4697
2_MACS_peak_198_lociStitched	chr1(.):14500950-14510357	0.7916
2_MACS_peak_200_lociStitched	chr1(.):14687069-14697943	0.5628
1_MACS_peak_202_lociStitched	chr1(.):15150112-15152165	0.8014
1_MACS_peak_203_lociStitched	chr1(.):15160503-15165090	2.4571
2_MACS_peak_204_lociStitched	chr1(.):15202605-15209542	0.6037
1_MACS_peak_206_lociStitched	chr1(.):15416775-15417855	0.5608
2_MACS_peak_207_lociStitched	chr1(.):15479902-15484150	0.5688
2_MACS_peak_209_lociStitched	chr1(.):15500204-15507100	1.0265
1_MACS_peak_211_lociStitched	chr1(.):15544754-15546803	0.5371
1_MACS_peak_212_lociStitched	chr1(.):15557559-15559200	0.7871
1_MACS_peak_213_lociStitched	chr1(.):15573515-15576166	1.0029
2_MACS_peak_214_lociStitched	chr1(.):15583765-15588641	0.5616
1_MACS_peak_216_lociStitched	chr1(.):15623514-15624411	0.595
1_MACS_peak_217_lociStitched	chr1(.):15688148-15690023	0.898
1_MACS_peak_218_lociStitched	chr1(.):15735277-15737560	0.987
1_MACS_peak_219_lociStitched	chr1(.):15850203-15854346	1.0213
3_MACS_peak_220_lociStitched	chr1(.):15896808-15912337	0.9386
1_MACS_peak_223_lociStitched	chr1(.):15942615-15945503	1.2755
1_MACS_peak_224_lociStitched	chr1(.):16009889-16012124	1.407
1_MACS_peak_225_lociStitched	chr1(.):16022821-16024866	1.3039
1_MACS_peak_226_lociStitched	chr1(.):16149757-16150987	0.4956
1_MACS_peak_227_lociStitched	chr1(.):16160278-16163506	3.3417
2_MACS_peak_228_lociStitched	chr1(.):16173034-16178912	1.2788
1_MACS_peak_230_lociStitched	chr1(.):16301745-16302955	0.7294
2_MACS_peak_231_lociStitched	chr1(.):16399759-16406202	0.3453
1_MACS_peak_233_lociStitched	chr1(.):16532748-16534312	0.7185
1_MACS_peak_234_lociStitched	chr1(.):16562639-16564510	0.9231
1_MACS_peak_235_lociStitched	chr1(.):16677353-16679893	1.1762
1_MACS_peak_236_lociStitched	chr1(.):16692757-16695392	2.2789
1_MACS_peak_237_lociStitched	chr1(.):16766568-16771284	1.2083
1_MACS_peak_238_lociStitched	chr1(.):16832111-16833241	1.3949
1_MACS_peak_240_lociStitched	chr1(.):16969299-16972479	4.0931
1_MACS_peak_241_lociStitched	chr1(.):16991067-16995494	4.0284
1_MACS_peak_242_lociStitched	chr1(.):17011856-17013550	0.6348
2_MACS_peak_243_lociStitched	chr1(.):17065666-17075463	1.9903
4_MACS_peak_245_lociStitched	chr1(.):17221240-17245160	1.7629
1_MACS_peak_249_lociStitched	chr1(.):17286887-17288016	0.673
1_MACS_peak_250_lociStitched	chr1(.):17379563-17380948	1.3251
1_MACS_peak_251_lociStitched	chr1(.):17763539-17769136	0.986
1_MACS_peak_252_lociStitched	chr1(.):17786769-17788292	0.5734
1_MACS_peak_253_lociStitched	chr1(.):19228482-19230267	1.7743
1_MACS_peak_254_lociStitched	chr1(.):19251965-19258088	1.8319
2_MACS_peak_255_lociStitched	chr1(.):19276558-19284000	1.2716
1_MACS_peak_257_lociStitched	chr1(.):19535547-19538250	1.7208
1_MACS_peak_258_lociStitched	chr1(.):19577234-19579578	2.672
1_MACS_peak_259_lociStitched	chr1(.):19637718-19639725	1.3231
1_MACS_peak_260_lociStitched	chr1(.):19810489-19813459	1.1067
1_MACS_peak_261_lociStitched	chr1(.):19821452-19823252	0.6973
1_MACS_peak_262_lociStitched	chr1(.):19831678-19832696	0.5936
1_MACS_peak_263_lociStitched	chr1(.):19922260-19924950	2.6723
2_MACS_peak_264_lociStitched	chr1(.):20084628-20092069	0.4595
1_MACS_peak_266_lociStitched	chr1(.):20116049-20118021	0.5636
1_MACS_peak_267_lociStitched	chr1(.):20125292-20127564	1.6281
1_MACS_peak_268_lociStitched	chr1(.):20140919-20143585	0.8534
1_MACS_peak_269_lociStitched	chr1(.):20208411-20209810	0.8642
2_MACS_peak_270_lociStitched	chr1(.):20404294-20408826	1.003
1_MACS_peak_272_lociStitched	chr1(.):20415638-20417246	0.8948
2_MACS_peak_273_lociStitched	chr1(.):20438504-20446998	0.3703
2_MACS_peak_275_lociStitched	chr1(.):20833616-20839083	0.5843
1_MACS_peak_277_lociStitched	chr1(.):20959561-20961389	0.7914
1_MACS_peak_278_lociStitched	chr1(.):20983996-20989006	1.4247
1_MACS_peak_279_lociStitched	chr1(.):21058592-21060533	0.8512
1_MACS_peak_280_lociStitched	chr1(.):21112123-21114925	1.7899
1_MACS_peak_281_lociStitched	chr1(.):21290533-21291837	0.7208
1_MACS_peak_282_lociStitched	chr1(.):21347620-21349834	1.2168
2_MACS_peak_283_lociStitched	chr1(.):21501943-21503759	0.6348
1_MACS_peak_285_lociStitched	chr1(.):21594799-21595762	0.5392
1_MACS_peak_286_lociStitched	chr1(.):21615549-21622980	2.7883
1_MACS_peak_287_lociStitched	chr1(.):21660043-21662077	1.5471
1_MACS_peak_288_lociStitched	chr1(.):21671164-21673077	0.9798
1_MACS_peak_289_lociStitched	chr1(.):21754891-21755489	0.3652
1_MACS_peak_290_lociStitched	chr1(.):21765890-21766927	0.6007
1_MACS_peak_291_lociStitched	chr1(.):21940905-21942037	0.4618
1_MACS_peak_292_lociStitched	chr1(.):22026601-22027827	0.5594
2_MACS_peak_293_lociStitched	chr1(.):22099762-22110983	1.4586
1_MACS_peak_295_lociStitched	chr1(.):22117025-22120154	2.3819
1_MACS_peak_296_lociStitched	chr1(.):22190317-22195614	2.392
1_MACS_peak_297_lociStitched	chr1(.):22263870-22264696	0.7952
1_MACS_peak_298_lociStitched	chr1(.):22349620-22353722	2.9355
1_MACS_peak_299_lociStitched	chr1(.):22365509-22367665	1.8339
1_MACS_peak_300_lociStitched	chr1(.):22378234-22380586	1.7597
1_MACS_peak_301_lociStitched	chr1(.):22444740-22445840	0.5816
1_MACS_peak_302_lociStitched	chr1(.):22488658-22490570	0.9544
1_MACS_peak_303_lociStitched	chr1(.):22744597-22747403	0.7039
1_MACS_peak_304_lociStitched	chr1(.):22777589-22779530	1.216
1_MACS_peak_305_lociStitched	chr1(.):22820276-22824091	1.095
1_MACS_peak_306_lociStitched	chr1(.):22833926-22836120	0.8188
1_MACS_peak_307_lociStitched	chr1(.):23345278-23346951	0.7641
1_MACS_peak_308_lociStitched	chr1(.):23494825-23495534	0.4278
1_MACS_peak_309_lociStitched	chr1(.):23669379-23671884	2.0836
1_MACS_peak_310_lociStitched	chr1(.):23693982-23696322	1.0399
2_MACS_peak_311_lociStitched	chr1(.):23850080-23866808	1.9881
2_MACS_peak_313_lociStitched	chr1(.):23880311-23886813	0.9456
1_MACS_peak_315_lociStitched	chr1(.):23903160-23904762	0.5533
1_MACS_peak_316_lociStitched	chr1(.):23918375-23921711	0.8185
5_MACS_peak_317_lociStitched	chr1(.):23927844-23954708	0.8539
1_MACS_peak_322_lociStitched	chr1(.):24017839-24019743	1.6337
1_MACS_peak_323_lociStitched	chr1(.):24069062-24071877	1.4575
1_MACS_peak_324_lociStitched	chr1(.):24103865-24105839	0.9486
1_MACS_peak_325_lociStitched	chr1(.):24116933-24118545	0.6857
1_MACS_peak_326_lociStitched	chr1(.):24125902-24128086	1.0401
1_MACS_peak_327_lociStitched	chr1(.):24136058-24137917	0.6601
1_MACS_peak_328_lociStitched	chr1(.):24150953-24153093	1.2345
1_MACS_peak_329_lociStitched	chr1(.):24181038-24182959	1.1127
2_MACS_peak_330_lociStitched	chr1(.):24191131-24195117	0.7318
1_MACS_peak_332_lociStitched	chr1(.):24237540-24238350	0.4518
1_MACS_peak_333_lociStitched	chr1(.):24245991-24247403	0.9139
3_MACS_peak_334_lociStitched	chr1(.):24281209-24292048	0.9088
1_MACS_peak_337_lociStitched	chr1(.):24305081-24307959	2.2305
1_MACS_peak_338_lociStitched	chr1(.):24468925-24469986	0.7588
1_MACS_peak_339_lociStitched	chr1(.):24476489-24478690	0.8596
1_MACS_peak_340_lociStitched	chr1(.):24500370-24501579	0.4802
3_MACS_peak_341_lociStitched	chr1(.):24512186-24533973	1.6411
1_MACS_peak_344_lociStitched	chr1(.):24644583-24650556	1.7419
1_MACS_peak_345_lociStitched	chr1(.):24676772-24677985	0.712
2_MACS_peak_346_lociStitched	chr1(.):24710096-24720706	1.1683
2_MACS_peak_348_lociStitched	chr1(.):24739290-24743761	0.7664
1_MACS_peak_350_lociStitched	chr1(.):24807083-24808901	0.5928
1_MACS_peak_351_lociStitched	chr1(.):24827089-24830287	1.0922
1_MACS_peak_352_lociStitched	chr1(.):24861264-24862408	0.7889
1_MACS_peak_353_lociStitched	chr1(.):24882025-24886601	1.4983
1_MACS_peak_354_lociStitched	chr1(.):24910255-24911345	0.5816
1_MACS_peak_355_lociStitched	chr1(.):24967836-24971371	2.3869
1_MACS_peak_356_lociStitched	chr1(.):25020172-25021704	0.6869
2_MACS_peak_357_lociStitched	chr1(.):25048448-25054892	0.5491
1_MACS_peak_359_lociStitched	chr1(.):25069347-25076463	1.577
1_MACS_peak_360_lociStitched	chr1(.):25254402-25257651	1.4374
1_MACS_peak_361_lociStitched	chr1(.):25290786-25293658	1.623
3_MACS_peak_362_lociStitched	chr1(.):25346530-25364366	1.0706
4_MACS_peak_365_lociStitched	chr1(.):25558042-25574819	0.8227
1_MACS_peak_369_lociStitched	chr1(.):25592684-25595381	1.8226
1_MACS_peak_370_lociStitched	chr1(.):25663220-25665851	2.3315
1_MACS_peak_371_lociStitched	chr1(.):25756158-25758467	0.9707
1_MACS_peak_372_lociStitched	chr1(.):25798550-25799583	0.5346
2_MACS_peak_373_lociStitched	chr1(.):25869643-25879919	1.721
1_MACS_peak_375_lociStitched	chr1(.):25887533-25890900	1.252
2_MACS_peak_376_lociStitched	chr1(.):25940907-25951098	1.1842
1_MACS_peak_378_lociStitched	chr1(.):25957959-25959518	0.7806
1_MACS_peak_379_lociStitched	chr1(.):25966742-25972133	2.029
1_MACS_peak_380_lociStitched	chr1(.):26001557-26003677	0.947
1_MACS_peak_381_lociStitched	chr1(.):26145602-26148193	1.254
1_MACS_peak_382_lociStitched	chr1(.):26231132-26233403	1.0969
1_MACS_peak_383_lociStitched	chr1(.):26259963-26260860	0.5443
1_MACS_peak_384_lociStitched	chr1(.):26323129-26325600	0.6684
3_MACS_peak_385_lociStitched	chr1(.):26436803-26454020	0.6145
1_MACS_peak_388_lociStitched	chr1(.):26495927-26497393	1.4831
1_MACS_peak_389_lociStitched	chr1(.):26503710-26504611	0.5373
1_MACS_peak_390_lociStitched	chr1(.):26559857-26562062	1.1842
1_MACS_peak_391_lociStitched	chr1(.):26578376-26579650	0.6283
3_MACS_peak_392_lociStitched	chr1(.):26605242-26616727	0.543
1_MACS_peak_395_lociStitched	chr1(.):26632019-26635020	1.2651
1_MACS_peak_396_lociStitched	chr1(.):26641760-26643697	0.5882
1_MACS_peak_397_lociStitched	chr1(.):26662380-26663998	0.7903
1_MACS_peak_398_lociStitched	chr1(.):26758149-26759692	0.9913
1_MACS_peak_399_lociStitched	chr1(.):26773849-26774776	0.4548
1_MACS_peak_400_lociStitched	chr1(.):26797797-26800390	2.1673
1_MACS_peak_401_lociStitched	chr1(.):26826191-26828534	2.7535
1_MACS_peak_402_lociStitched	chr1(.):26855878-26857388	0.6613
2_MACS_peak_403_lociStitched	chr1(.):26864368-26873251	1.1662
1_MACS_peak_405_lociStitched	chr1(.):26946107-26948612	2.8973
1_MACS_peak_406_lociStitched	chr1(.):27018400-27031922	2.1886
4_MACS_peak_407_lociStitched	chr1(.):27060033-27072307	0.7601
1_MACS_peak_411_lociStitched	chr1(.):27112512-27116142	2.0984
1_MACS_peak_412_lociStitched	chr1(.):27126318-27127330	0.5275
4_MACS_peak_413_lociStitched	chr1(.):27147253-27167326	0.6214
1_MACS_peak_417_lociStitched	chr1(.):27190284-27193273	2.2833
1_MACS_peak_418_lociStitched	chr1(.):27215809-27217578	1.1342
1_MACS_peak_419_lociStitched	chr1(.):27225859-27227799	1.3136
1_MACS_peak_420_lociStitched	chr1(.):27247237-27249624	1.3305
1_MACS_peak_421_lociStitched	chr1(.):27286043-27287374	1.0655
1_MACS_peak_422_lociStitched	chr1(.):27396278-27398237	1.1875
1_MACS_peak_423_lociStitched	chr1(.):27462823-27464613	0.9219
1_MACS_peak_424_lociStitched	chr1(.):27480670-27482765	1.2706
1_MACS_peak_425_lociStitched	chr1(.):27560212-27562178	0.6454
1_MACS_peak_426_lociStitched	chr1(.):27648285-27650044	1.1606
2_MACS_peak_427_lociStitched	chr1(.):27667457-27676534	0.3307
1_MACS_peak_429_lociStitched	chr1(.):27692423-27693663	0.588
1_MACS_peak_430_lociStitched	chr1(.):27717789-27720004	1.3459
1_MACS_peak_431_lociStitched	chr1(.):27744234-27745695	0.7913
1_MACS_peak_432_lociStitched	chr1(.):27760949-27766432	1.2276
3_MACS_peak_433_lociStitched	chr1(.):27815401-27827345	0.7336
1_MACS_peak_436_lociStitched	chr1(.):27882696-27885051	0.6959
1_MACS_peak_437_lociStitched	chr1(.):27929699-27930787	0.5107
1_MACS_peak_438_lociStitched	chr1(.):27985037-27987470	0.9659
1_MACS_peak_439_lociStitched	chr1(.):27998302-27999693	0.7329
1_MACS_peak_440_lociStitched	chr1(.):28051298-28053578	1.2954
1_MACS_peak_441_lociStitched	chr1(.):28098815-28100660	0.786
1_MACS_peak_442_lociStitched	chr1(.):28156372-28158331	1.516
1_MACS_peak_443_lociStitched	chr1(.):28195195-28196449	0.6165
1_MACS_peak_444_lociStitched	chr1(.):28240049-28242141	1.5
1_MACS_peak_445_lociStitched	chr1(.):28285664-28287353	0.9963
2_MACS_peak_446_lociStitched	chr1(.):28352787-28363320	0.7388
2_MACS_peak_448_lociStitched	chr1(.):28390113-28397457	0.2988
1_MACS_peak_450_lociStitched	chr1(.):28413968-28416152	1.4859
1_MACS_peak_451_lociStitched	chr1(.):28473614-28475927	1.2456
2_MACS_peak_452_lociStitched	chr1(.):28495015-28500155	0.5755
2_MACS_peak_454_lociStitched	chr1(.):28558500-28563907	1.0624
1_MACS_peak_456_lociStitched	chr1(.):28570182-28577672	2.5036
1_MACS_peak_457_lociStitched	chr1(.):28584742-28587213	1.5802
1_MACS_peak_458_lociStitched	chr1(.):28654578-28656732	1.7378
1_MACS_peak_459_lociStitched	chr1(.):28695543-28697208	1.5913
1_MACS_peak_460_lociStitched	chr1(.):28743181-28744965	0.7256
1_MACS_peak_461_lociStitched	chr1(.):28831595-28837771	1.7188
1_MACS_peak_462_lociStitched	chr1(.):28844159-28846380	1.9466
1_MACS_peak_463_lociStitched	chr1(.):28878206-28881047	1.6852
2_MACS_peak_464_lociStitched	chr1(.):28905645-28914538	1.3546
1_MACS_peak_466_lociStitched	chr1(.):28923606-28929859	2.2374
2_MACS_peak_467_lociStitched	chr1(.):28968392-28976181	1.1794
2_MACS_peak_469_lociStitched	chr1(.):28994403-28996863	1.5377
1_MACS_peak_471_lociStitched	chr1(.):29062235-29064732	1.6322
1_MACS_peak_472_lociStitched	chr1(.):29210169-29214943	1.3732
1_MACS_peak_473_lociStitched	chr1(.):29240195-29242467	1.0716
1_MACS_peak_474_lociStitched	chr1(.):29252329-29255593	0.7519
1_MACS_peak_475_lociStitched	chr1(.):29506434-29509649	2.5899
1_MACS_peak_476_lociStitched	chr1(.):29556461-29557793	0.8789
2_MACS_peak_477_lociStitched	chr1(.):30348260-30350667	0.4141
1_MACS_peak_479_lociStitched	chr1(.):30901581-30903275	0.5783
1_MACS_peak_480_lociStitched	chr1(.):30995725-30997362	0.6423
1_MACS_peak_481_lociStitched	chr1(.):31072752-31074012	0.572
2_MACS_peak_482_lociStitched	chr1(.):31190260-31193065	1.3948
1_MACS_peak_484_lociStitched	chr1(.):31213996-31236376	2.4435
3_MACS_peak_485_lociStitched	chr1(.):31246507-31256206	0.4865
1_MACS_peak_488_lociStitched	chr1(.):31359899-31361747	0.7109
