REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	MM8.jin.bam	enhancerRank	isStretch	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isStretch
2_MACS_peak_18946_lociStitched	chr7	139466326	139473812	2	7248	19177.6348	33	1	HIPK2	TBXAS1	HIPK2	HIPK2	0.3585	33	1
2_MACS_peak_15604_lociStitched	chr5	6479822	6487097	2	7217	21081.495	34	1	UBE2QL1		UBE2QL1	UBE2QL1	0.5946	34	1
3_MACS_peak_18005_lociStitched	chr6	159458919	159466075	3	6989	14760.6812	35	1	TAGAP	RSPH3	TAGAP	TAGAP	0.8683	35	1
7_MACS_peak_2383_lociStitched	chr10	81002034	81010273	7	6953	13694.0419	36	1	ZMIZ1		PPIF	PPIF	NONE	36	1
4_MACS_peak_8701_lociStitched	chr17	75135827	75143600	4	6936	17374.2096	37	1	SEC14L1	SEC14L1	SEC14L1	SEC14L1	0.4871	37	1
2_MACS_peak_18887_lociStitched	chr7	130789577	130796243	2	6660	38087.5242	38	1	MKLN1,FLJ43663		FLJ43663	FLJ43663	0.3585	38	1
1_MACS_peak_10067_lociStitched	chr19	47729106	47735763	1	6658	28163.1042	39	1	MIR3190,BBC3,MIR3191	CCDC9,PRR24	BBC3	BBC3	1.3767	39	1
5_MACS_peak_13813_lociStitched	chr3	53200617	53207729	5	6587	12906.8576	40	1	PRKCD	RFT1	PRKCD	PRKCD	0.9218	40	1
1_MACS_peak_11305_lociStitched	chr2	136888983	136895473	1	6491	17706.667	41	1		CXCR4	CXCR4	CXCR4	1.6617	41	1
4_MACS_peak_9630_lociStitched	chr19	16693378	16700203	4	6461	15527.5575	42	1	MED26	CHERP,SLC35E1	SLC35E1	SLC35E1	0.2473	42	1
3_MACS_peak_14282_lociStitched	chr3	141127854	141134702	3	6455	18175.2768	43	1	ZBTB38		RASA2	RASA2	0.1947	43	1
1_MACS_peak_1687_lociStitched	chr1	207994131	208000554	1	6424	23700.2277	44	1	LOC148696	MIR29C,MIR29B2	LOC148696	LOC148696	1.8326	44	1
4_MACS_peak_16397_lociStitched	chr5	140886640	140893477	4	6280	11473.8534	45	1	PCDHGB3,PCDHGB1,PCDHGA2,PCDHGA3,PCDHGA1,PCDHGB4,PCDHGB2,PCDHGA7,PCDHGA5,PCDHGA4,PCDHGA6,PCDHGA8,PCDHGB5,PCDHGA11,PCDHGA12,PCDHGA9,PCDHGC5,PCDHGA10,PCDHGC3,PCDHGB6,PCDHGC4,PCDHGB7	PCDHGC4,PCDHGC5	PCDHGC5	PCDHGC5	0.5321	45	1
1_MACS_peak_15385_lociStitched	chr4	153453069	153459300	1	6232	20990.3697	46	1	DKFZP434I0714,FBXW7	MIR3140	FBXW7	MIR3140	0.267	46	1
1_MACS_peak_11346_lociStitched	chr2	158295432	158301643	1	6212	35569.7759	47	1	CYTIP		CYTIP	CYTIP	1.1119	47	1
1_MACS_peak_9529_lociStitched	chr19	12899277	12905465	1	6189	30272.3148	48	1	JUNB	BEST2,RNASEH2A,MAST1,HOOK2,PRDX2,RTBDN	JUNB	JUNB	2.6765	48	1
2_MACS_peak_11006_lociStitched	chr2	89050729	89057003	2	6183	15892.6694	49	1		ANKRD36BP2	ANKRD36BP2	ANKRD36BP2	0.2816	49	1
7_MACS_peak_6632_lociStitched	chr15	75334481	75341089	7	6153	12306.0784	50	1	PPCDC	SCAMP5	PPCDC	SCAMP5	0.9305	50	1
4_MACS_peak_6600_lociStitched	chr15	75073977	75080616	4	6132	13287.2946	51	1	CSK	CYP1A2,LMAN1L,CPLX3	CSK	CSK	1.074	51	1
2_MACS_peak_11146_lociStitched	chr2	111875057	111881275	2	6115	21335.8234	52	1	ACOXL,BCL2L11		BCL2L11	BCL2L11	0.5558	52	1
1_MACS_peak_3701_lociStitched	chr11	115089641	115095744	1	6104	23303.6952	53	1	CADM1		CADM1	CADM1	0.2567	53	1
2_MACS_peak_14599_lociStitched	chr3	186713428	186719577	2	6089	22305.4975	54	1	ST6GAL1	ST6GAL1	ST6GAL1	ST6GAL1	0.5983	54	1
3_MACS_peak_18577_lociStitched	chr7	86843876	86850449	3	6064	23547.7725	55	1	C7orf23		C7orf23	C7orf23	0.8903	55	1
4_MACS_peak_2910_lociStitched	chr11	10323850	10330336	4	6009	14054.5134	56	1	ADM	SBF2	ADM	ADM	1.3243	56	1
2_MACS_peak_6593_lociStitched	chr15	74916069	74922157	2	5979	12818.8928	57	1	CLK3		CLK3	CLK3	1.0916	57	1
1_MACS_peak_740_lociStitched	chr1	66797379	66803335	1	5957	21109.2552	58	1	PDE4B		PDE4B	PDE4B	0.1575	58	1
1_MACS_peak_18759_lociStitched	chr7	104650616	104656560	1	5945	47175.7448	59	1	MLL5,LOC100216545		LOC100216545	LOC100216545	3.7274	59	1
2_MACS_peak_19461_lociStitched	chr8	95957733	95963693	2	5923	28573.432	60	1	TP53INP1		TP53INP1	TP53INP1	1.1449	60	1
3_MACS_peak_15598_lociStitched	chr5	5751094	5757070	3	5897	12289.644	61	1			KIAA0947	KIAA0947	NONE	61	1
6_MACS_peak_1968_lociStitched	chr10	6794434	6800888	6	5882	11513.936	62	1			LOC439949	LOC439949	NONE	62	1
2_MACS_peak_18413_lociStitched	chr7	55599953	55605760	2	5796	16211.4019	63	1	VOPP1		VOPP1	VOPP1	0.6204	63	1
2_MACS_peak_17160_lociStitched	chr6	32935693	32941465	2	5722	27500.694	64	1	BRD2	HLA-DMB,HLA-DMA,HLA-DOA	BRD2	BRD2	1.3265	64	1
2_MACS_peak_11002_lociStitched	chr2	88922595	88928320	2	5716	30254.335	65	1	EIF2AK3		EIF2AK3	EIF2AK3	0.6129	65	1
2_MACS_peak_9614_lociStitched	chr19	16434406	16440128	2	5715	34158.0512	66	1	KLF2		KLF2	KLF2	2.8292	66	1
4_MACS_peak_14954_lociStitched	chr4	40197321	40203698	4	5714	15355.1783	67	1	RHOH		RHOH	RHOH	0.4644	67	1
1_MACS_peak_1874_lociStitched	chr1	234743048	234748739	1	5692	14463.6765	68	1	IRF2BP2	NCRNA00184	IRF2BP2	IRF2BP2	1.3301	68	1
2_MACS_peak_6649_lociStitched	chr15	75742897	75748826	2	5666	17206.5509	69	1	SIN3A		SIN3A	SIN3A	0.3794	69	1
6_MACS_peak_10051_lociStitched	chr19	47217078	47223423	6	5666	13589.721	70	1	PRKD2,STRN4	FKRP,MIR320E	PRKD2	PRKD2	0.3716	70	1
3_MACS_peak_2841_lociStitched	chr11	1871794	1877513	3	5647	14717.2746	71	1	LSP1	SYT8,TNNI2,LSP1,MIR4298	LSP1	MIR4298	0.6524	71	1
1_MACS_peak_12677_lociStitched	chr21	44778584	44784223	1	5640	24035.6736	72	1			SIK1	SIK1	5.0143	72	1
2_MACS_peak_8438_lociStitched	chr17	55332901	55338769	2	5626	18548.748	73	1	MSI2		MSI2	MSI2	0.2579	73	1
2_MACS_peak_11782_lociStitched	chr2	231734581	231740298	2	5614	15210.6502	74	1	ITM2C	GPR55	ITM2C	ITM2C	0.9972	74	1
2_MACS_peak_18756_lociStitched	chr7	104581255	104586800	2	5545	30187.5345	75	1		LOC723809	LOC723809	LOC723809	0.1117	75	1
3_MACS_peak_16358_lociStitched	chr5	139047310	139053033	3	5537	14645.7293	76	1	CXXC5		CXXC5	CXXC5	1.0082	76	1
7_MACS_peak_2648_lociStitched	chr10	112255534	112261630	7	5527	17510.1504	77	1	DUSP5		DUSP5	DUSP5	1.0378	77	1
4_MACS_peak_10981_lociStitched	chr2	87816635	87822483	4	5511	11421.7288	78	1	NCRNA00152		NCRNA00152	NCRNA00152	0.904	78	1
3_MACS_peak_6622_lociStitched	chr15	75299213	75304765	3	5479	14130.9504	79	1	SCAMP5	PPCDC,RPP25	PPCDC	PPCDC	0.7912	79	1
3_MACS_peak_18173_lociStitched	chr7	18534774	18540663	3	5451	12495.2802	80	1	HDAC9		HDAC9	HDAC9	0.1509	80	1
4_MACS_peak_20491_lociStitched	chr9	127630404	127635904	4	5421	13627.9	81	1	ARPC5L	WDR38,RPL35	ARPC5L	RPL35	1.0032	81	1
2_MACS_peak_4933_lociStitched	chr12	125400906	125406350	2	5420	16496.9532	82	1		UBC	UBC	UBC	1.9459	82	1
4_MACS_peak_15784_lociStitched	chr5	56468217	56474421	4	5420	22036.608	83	1	GPBP1	GPBP1	GPBP1	GPBP1	0.3459	83	1
1_MACS_peak_9601_lociStitched	chr19	16186259	16191674	1	5416	31482.2685	84	1	TPM4	FLJ25328,RAB8A	TPM4	TPM4	0.8739	84	1
4_MACS_peak_16629_lociStitched	chr5	173314091	173320119	4	5405	14267.6732	85	1	CPEB4		CPEB4	CPEB4	0.4717	85	1
2_MACS_peak_16884_lociStitched	chr6	12008101	12013670	2	5386	21886.7269	86	1	HIVEP1		HIVEP1	HIVEP1	0.2204	86	1
2_MACS_peak_10530_lociStitched	chr2	33700075	33705545	2	5376	16687.876	87	1	RASGRP3	RASGRP3	RASGRP3	RASGRP3	0.3813	87	1
1_MACS_peak_16040_lociStitched	chr5	90674854	90680221	1	5368	41330.7303	88	1	LOC100129716,ARRDC3		LOC100129716	LOC100129716	0.9147	88	1
1_MACS_peak_10368_lociStitched	chr2	11886411	11891765	1	5355	16086.6284	89	1	LPIN1		LPIN1	LPIN1	0.3333	89	1
4_MACS_peak_16743_lociStitched	chr6	389300	395081	4	5320	13731.0312	90	1	IRF4		IRF4	IRF4	0.7888	90	1
3_MACS_peak_14404_lociStitched	chr3	160116521	160122318	3	5317	13282.6661	91	1	SMC4,IFT80	MIR15B,MIR16-2,IFT80,TRIM59	SMC4	MIR15B	1.2681	91	1
10_MACS_peak_6030_lociStitched	chr14	106161846	106168219	10	5289	10317.2497	92	1			TMEM121	TMEM121	0.0584	92	1
1_MACS_peak_3668_lociStitched	chr11	111246457	111251710	1	5254	25358.8575	93	1	POU2AF1		POU2AF1	POU2AF1	1.6825	93	1
3_MACS_peak_6157_lociStitched	chr15	34625227	34630508	3	5226	15590.0401	94	1	SLC12A6	C15orf55,SLC12A6,NOP10,LPCAT4,MIR1233-1	SLC12A6	NOP10	1.0797	94	1
3_MACS_peak_9932_lociStitched	chr19	42055424	42060796	3	5220	17446.6444	95	1		CEACAM21	CEACAM21	CEACAM21	0.088	95	1
2_MACS_peak_1153_lociStitched	chr1	150547801	150553208	2	5211	18860.6974	96	1	MCL1	ADAMTSL4,MIR4257,ENSA	MCL1	MCL1	1.5016	96	1
2_MACS_peak_14456_lociStitched	chr3	171815585	171820922	2	5190	17114.6916	97	1	FNDC3B		FNDC3B	FNDC3B	0.446	97	1
3_MACS_peak_11802_lociStitched	chr2	232570421	232575913	3	5181	26005.7184	98	1	PTMA	MIR1244-1	PTMA	PTMA	1.9243	98	1
3_MACS_peak_5842_lociStitched	chr14	91879553	91885171	3	5158	14674.216	99	1	CCDC88C		CCDC88C	CCDC88C	0.7207	99	1
3_MACS_peak_524_lociStitched	chr1	40848396	40853785	3	5149	14187.6203	100	1	SMAP2	SMAP2	SMAP2	SMAP2	0.7185	100	1
2_MACS_peak_8303_lociStitched	chr17	43302558	43307695	2	5115	13081.3705	101	1	FMNL1	LOC100133991,C17orf46	FMNL1	FMNL1	0.7476	101	1
4_MACS_peak_14243_lociStitched	chr3	133290746	133296299	4	5108	19947.4866	102	1	CDV3		CDV3	CDV3	0.9066	102	1
2_MACS_peak_16616_lociStitched	chr5	173168837	173174109	2	5078	15913.0048	103	1			BOD1	BOD1	NONE	103	1
2_MACS_peak_6295_lociStitched	chr15	45018170	45023271	2	5065	21059.9886	104	1		B2M,TRIM69,PATL2	TRIM69	B2M	2.2065	104	1
1_MACS_peak_1941_lociStitched	chr10	3823605	3828661	1	5057	31738.5344	105	1	KLF6		KLF6	KLF6	1.7213	105	1
4_MACS_peak_15408_lociStitched	chr4	153583719	153589164	4	5046	9705.168	106	1	TMEM154		TMEM154	TMEM154	0.4782	106	1
2_MACS_peak_402_lociStitched	chr1	31226123	31231264	2	5042	15503.1996	107	1	LAPTM5	LOC100129196,MATN1	LAPTM5	LAPTM5	0.8437	107	1
2_MACS_peak_6120_lociStitched	chr15	31616153	31621401	2	5041	19964.4416	108	1	KLF13		KLF13	KLF13	1.1912	108	1
7_MACS_peak_12227_lociStitched	chr20	46384454	46390662	7	5016	9704.3456	109	1	SULF2		SULF2	SULF2	0.3273	109	1
3_MACS_peak_1992_lociStitched	chr10	11217513	11222632	3	5014	9527.4828	110	1	CELF2		CELF2	CELF2	0.2487	110	1
2_MACS_peak_9161_lociStitched	chr19	658674	663835	2	5012	17873.0591	111	1	RNF126	FGF22,FSTL3,PALM,POLRMT,PRSSL1	RNF126	RNF126	0.8082	111	1
4_MACS_peak_15494_lociStitched	chr4	185200639	185205956	4	5001	12399.244	112	1			ENPP6	ENPP6	NONE	112	1
6_MACS_peak_8159_lociStitched	chr17	36856964	36862602	6	4992	9206.854	113	1	MLLT6	CISD3,PSMB3,C17orf96,PCGF2	MLLT6	MLLT6	0.3909	113	1
1_MACS_peak_16922_lociStitched	chr6	16759208	16764196	1	4989	25662.7612	114	1	ATXN1		ATXN1	ATXN1	0.1993	114	1
1_MACS_peak_20635_lociStitched	chr9	134529472	134534444	1	4973	15060.188	115	1	RAPGEF1		RAPGEF1	RAPGEF1	0.9058	115	1
1_MACS_peak_6535_lociStitched	chr15	69109135	69114095	1	4961	14120.624	116	1	ANP32A	MIR548H4,MIR4312,C15orf28	ANP32A	ANP32A	0.4136	116	1
1_MACS_peak_18419_lociStitched	chr7	55636314	55641272	1	4959	12173.8732	117	1	VOPP1		VOPP1	VOPP1	0.6204	117	1
4_MACS_peak_9862_lociStitched	chr19	39896489	39901702	4	4945	17750.7863	118	1	ZFP36	MED29,PLEKHG2,SUPT5H,PAF1,RPS16	ZFP36	ZFP36	3.095	118	1
1_MACS_peak_17853_lociStitched	chr6	143264628	143269567	1	4940	33001.4102	119	1	HIVEP2		HIVEP2	HIVEP2	0.3978	119	1
2_MACS_peak_21150_lociStitched	chrX	106916048	106920920	2	4867	15587.4768	120	1		PRPS1,TSC22D3	TSC22D3	TSC22D3	2.4008	120	1
3_MACS_peak_10108_lociStitched	chr19	49375318	49380250	3	4859	23261.2848	121	1	PPP1R15A	NUCB1,HSD17B14,PLEKHA4,TULP2	PPP1R15A	PPP1R15A	1.7777	121	1
2_MACS_peak_16335_lociStitched	chr5	138723288	138728522	2	4856	14417.053	122	1	MZB1,LOC389333	PAIP2,SLC23A1,SPATA24,DNAJC18	MZB1	MZB1	1.5348	122	1
1_MACS_peak_9553_lociStitched	chr19	13949407	13954258	1	4852	17539.2756	123	1		ZSWIM4,MIR181C,MIR181D,NANOS3,LOC284454,MIR24-2,MIR27A,MIR23A	MIR23A	MIR23A	1.3902	123	1
2_MACS_peak_6366_lociStitched	chr15	52968671	52973553	2	4851	31644.6358	124	1	KIAA1370		KIAA1370	KIAA1370	0.5197	124	1
4_MACS_peak_16345_lociStitched	chr5	139013267	139018924	4	4851	15836.7715	125	1		CXXC5	CXXC5	CXXC5	1.0082	125	1
3_MACS_peak_17517_lociStitched	chr6	89321984	89327035	3	4845	10655.5896	126	1	RNGTT		RNGTT	RNGTT	0.0988	126	1
3_MACS_peak_8212_lociStitched	chr17	38478200	38483451	3	4836	11758.0392	127	1	RARA	CDC6,RARA,GJD3	RARA	RARA	0.4321	127	1
5_MACS_peak_17574_lociStitched	chr6	106441199	106446430	5	4834	13477.1484	128	1			PRDM1	PRDM1	1.2509	128	1
1_MACS_peak_7363_lociStitched	chr16	30193960	30198786	1	4827	15758.8204	129	1	CORO1A		CORO1A	CORO1A	1.3036	129	1
3_MACS_peak_41_lociStitched	chr1	1709124	1714227	3	4807	9744.6888	130	1	NADK	SLC35E2,NADK	NADK	SLC35E2	0.4654	130	1
2_MACS_peak_4021_lociStitched	chr12	12868966	12873933	2	4793	19458.2225	131	1	CDKN1B	APOLD1,MIR613,GPR19	CDKN1B	CDKN1B	2.4516	131	1
1_MACS_peak_9057_lociStitched	chr18	52984484	52989269	1	4786	10742.325	132	1	TCF4		TCF4	TCF4	0.1362	132	1
1_MACS_peak_14666_lociStitched	chr3	195632208	195636978	1	4771	18349.236	133	1	TNK2	TNK2	TNK2	TNK2	0.5195	133	1
1_MACS_peak_18879_lociStitched	chr7	129588376	129593130	1	4755	26364.2578	134	1	UBE2H		UBE2H	UBE2H	0.3153	134	1
1_MACS_peak_12676_lociStitched	chr21	44772023	44776770	1	4748	49355.0337	135	1			SIK1	SIK1	5.0143	135	1
1_MACS_peak_20126_lociStitched	chr9	66454645	66459384	1	4740	35106.512	136	1		LOC442421	LOC442421	LOC442421	0.852	136	1
5_MACS_peak_3775_lociStitched	chr11	122931156	122936077	5	4739	14424.9273	137	1	HSPA8	LOC341056	HSPA8	HSPA8	1.1751	137	1
2_MACS_peak_4641_lociStitched	chr12	102871241	102875997	2	4732	10805.1564	138	1	IGF1		IGF1	IGF1	0.2995	138	1
3_MACS_peak_16971_lociStitched	chr6	26122612	26127621	3	4716	13853.8922	139	1	HIST1H2AC,HIST1H2BC	HFE,HIST1H4C,HIST1H1E,HIST1H2BD,HIST1H1T	HIST1H2AC	HIST1H2AC	1.4346	139	1
1_MACS_peak_15091_lociStitched	chr4	78738516	78743225	1	4710	16074.1715	140	1	CNOT6L	MRPL1	CNOT6L	CNOT6L	0.2063	140	1
4_MACS_peak_4697_lociStitched	chr12	109025837	109031255	4	4695	9519.426	141	1	SELPLG	TMEM119	SELPLG	SELPLG	0.6456	141	1
1_MACS_peak_4207_lociStitched	chr12	46120342	46125022	1	4681	12144.6	142	1	ARID2,LOC400027		ARID2	ARID2	0.1276	142	1
4_MACS_peak_10976_lociStitched	chr2	87810161	87815089	4	4675	7645.792	143	1	NCRNA00152		NCRNA00152	NCRNA00152	0.904	143	1
3_MACS_peak_5162_lociStitched	chr13	46272638	46277433	3	4670	14684.6875	144	1	SPERT		SPERT	SPERT	0.7941	144	1
1_MACS_peak_19678_lociStitched	chr8	128748352	128752977	1	4626	17389.075	145	1	MYC		MYC	MYC	1.3661	145	1
4_MACS_peak_3269_lociStitched	chr11	65624218	65628950	4	4618	10784.7012	146	1	MUS81,CFL1	SNX32,CTSW,CCDC85B,EFEMP2,FIBP,FOSL1	CFL1	CCDC85B	0.9628	146	1
2_MACS_peak_20363_lociStitched	chr9	108005971	108010636	2	4609	19626.1215	147	1	SLC44A1		SLC44A1	SLC44A1	0.3125	147	1
3_MACS_peak_13832_lociStitched	chr3	55518557	55523329	3	4601	8055.136	148	1	WNT5A		WNT5A	WNT5A	0.5606	148	1
4_MACS_peak_10412_lociStitched	chr2	20420765	20425653	4	4593	9104.8776	149	1	SDC1		SDC1	SDC1	0.8755	149	1
2_MACS_peak_9618_lociStitched	chr19	16473908	16478511	2	4592	19188.5261	150	1	EPS15L1	KLF2	KLF2	KLF2	2.8292	150	1
2_MACS_peak_1593_lociStitched	chr1	203273357	203277997	2	4582	14502.784	151	1	BTG2,LOC730227	FMOD	BTG2	BTG2	1.2741	151	1
4_MACS_peak_11152_lociStitched	chr2	112186210	112191157	4	4566	7610.4648	152	1	LOC541471		LOC541471	LOC541471	0.4074	152	1
1_MACS_peak_5181_lociStitched	chr13	49549320	49553871	1	4552	16227.0456	153	1	FNDC3A		FNDC3A	FNDC3A	0.135	153	1
4_MACS_peak_10200_lociStitched	chr19	55762383	55767496	4	4540	9506.6009	154	1	PPP6R1	BRSK1,PTPRH,TMEM86B,HSPBP1	PPP6R1	PPP6R1	0.5261	154	1
1_MACS_peak_14828_lociStitched	chr4	15002825	15007360	1	4536	16458.8755	155	1	CPEB2		CPEB2	CPEB2	0.2758	155	1
1_MACS_peak_19902_lociStitched	chr9	5626129	5630660	1	4532	17701.2577	156	1	KIAA1432	KIAA1432	KIAA1432	KIAA1432	0.2591	156	1
2_MACS_peak_13076_lociStitched	chr22	38709476	38714002	2	4517	11711.4776	157	1	CSNK1E	TMEM184B	CSNK1E	CSNK1E	0.5362	157	1
2_MACS_peak_10184_lociStitched	chr19	54369181	54373724	2	4504	10984.5197	158	1	MYADM	PRKCG,CACNG7,NLRP12	MYADM	MYADM	0.6075	158	1
1_MACS_peak_10609_lociStitched	chr2	43451144	43455643	1	4500	14470.1337	159	1	LOC100129726,ZFP36L2		ZFP36L2	ZFP36L2	1.6404	159	1
3_MACS_peak_15679_lociStitched	chr5	32582789	32588003	3	4492	21442.575	160	1	SUB1		SUB1	SUB1	1.0196	160	1
3_MACS_peak_10509_lociStitched	chr2	30368425	30373379	3	4483	19510.8336	161	1	YPEL5		YPEL5	YPEL5	0.9038	161	1
2_MACS_peak_20596_lociStitched	chr9	132646965	132651450	2	4476	11246.1375	162	1	FNBP1	USP20,C9orf78	USP20	C9orf78	0.5073	162	1
2_MACS_peak_6199_lociStitched	chr15	40397486	40402118	2	4457	12372.072	163	1	BMF		BMF	BMF	1.0577	163	1
3_MACS_peak_9830_lociStitched	chr19	38536083	38540556	3	4452	10759.8015	164	1	SIPA1L3		SIPA1L3	SIPA1L3	0.2096	164	1
1_MACS_peak_20629_lociStitched	chr9	134502382	134506820	1	4439	13689.8986	165	1	RAPGEF1		RAPGEF1	RAPGEF1	0.9058	165	1
2_MACS_peak_13332_lociStitched	chr3	5228019	5232484	2	4437	18013.596	166	1	EDEM1		EDEM1	EDEM1	1.0274	166	1
3_MACS_peak_20302_lociStitched	chr9	98267988	98272434	3	4431	7652.8998	167	1	PTCH1		PTCH1	PTCH1	0.2992	167	1
3_MACS_peak_17840_lociStitched	chr6	143163306	143167802	3	4429	9565.6896	168	1	HIVEP2		HIVEP2	HIVEP2	0.3978	168	1
1_MACS_peak_5284_lociStitched	chr13	97873735	97878159	1	4425	14846.5016	169	1	MBNL2		MBNL2	MBNL2	0.1549	169	1
5_MACS_peak_10935_lociStitched	chr2	86261677	86266539	5	4415	8414.6634	170	1	POLR1A	LOC90784	LOC90784	LOC90784	0.1025	170	1
3_MACS_peak_9909_lociStitched	chr19	41768471	41772927	3	4412	26112.16	171	1	HNRNPUL1	AXL,CCDC97	HNRNPUL1	HNRNPUL1	1.0304	171	1
4_MACS_peak_16253_lociStitched	chr5	131798473	131803356	4	4408	7310.3393	172	1		IRF1	IRF1	IRF1	0.9086	172	1
2_MACS_peak_17606_lociStitched	chr6	108878457	108882868	2	4405	16972.6458	173	1	FOXO3		FOXO3	FOXO3	0.3528	173	1
2_MACS_peak_7226_lociStitched	chr16	21527971	21532422	2	4396	18291.3845	174	1	SLC7A5P2	LOC100271836	SLC7A5P2	SLC7A5P2	1.8245	174	1
