GENE_ID	locusLine	bin_1_25_0F2B_0229Kronos_MM1S-KB-3hr-1_H3K27me3_hs-dm_i07.bam
NM_001195741	chr1(.):2513188-2527908	1.2503
NR_036638	chr1(.):2512898-2527908	1.2567
NM_033467	chr1(.):2517080-2569481	1.1723
NR_024371	chr1(.):2975635-2989289	1.2617
NR_015440	chr1(.):2971180-2989289	1.1262
NM_080431	chr1(.):2933045-2944467	1.242
NR_036215	chr1(.):3039538-3049599	1.6955
NM_014448	chr1(.):3366146-3402677	1.6329
NR_030277	chr1(.):3472259-3482354	2.007
NM_182752	chr1(.):3536555-3551694	0.1266
NR_033712	chr1(.):3647547-3668335	0.337
NR_033708	chr1(.):3647547-3668937	0.3549
NM_005427	chr1(.):3564128-3655467	0.0697
NM_017818	chr1(.):3542330-3571671	0.0964
NM_020710	chr1(.):3691783-3718068	0.1795
NM_001163724	chr1(.):3684351-3697546	0.8076
NM_015557	chr1(.):6156846-6245194	1.469
NM_207396	chr1(.):6261188-6286359	0.4927
NM_000983	chr1(.):6240079-6264679	0.2121
NM_207370	chr1(.):6302405-6326035	1.5292
NM_001024598	chr1(.):6299251-6310638	1.8591
NM_020631	chr1(.):6521151-6556760	1.3809
NM_003790	chr1(.):6516213-6531255	1.8458
NM_001039664	chr1(.):6519170-6531255	1.8744
NM_019089	chr1(.):6470293-6484979	1.6327
NM_031475	chr1(.):6479847-6526004	2.2154
NM_001042665	chr1(.):6521151-6551014	1.4454
NM_001042664	chr1(.):6521151-6555640	1.3461
NR_036218	chr1(.):6484893-6494956	2.2938
NM_177540	chr1(.):6610337-6644817	0.4869
NM_024654	chr1(.):6576406-6619658	0.0744
NM_001010866	chr1(.):9643931-9670020	0.0725
NM_005026	chr1(.):9706789-9794172	0.6571
NR_027045	chr1(.):9707667-9719644	1.2979
NM_013319	chr1(.):11328254-11353491	0.072
NM_020780	chr1(.):11534294-11602640	0.7373
NM_001127325	chr1(.):11729536-11756678	0.7093
NM_006341	chr1(.):11729536-11746271	0.2088
NM_018438	chr1(.):11719149-11739409	0.0726
NM_183412	chr1(.):11709431-11728384	0.2009
NM_012168	chr1(.):11703447-11719739	0.3964
NM_033182	chr1(.):11709913-11728384	0.193
NM_198545	chr1(.):11746780-11785336	1.3736
NM_021736	chr1(.):11861206-11894360	0.0591
NM_005957	chr1(.):11840786-11871160	0.0973
NM_006172	chr1(.):11900766-11912840	0.1978
NM_002521	chr1(.):11912520-11923992	1.031
NM_000302	chr1(.):11989745-12040594	0.0708
NM_138346	chr1(.):11975122-11991480	0.0887
NM_003443	chr1(.):16263363-16307627	0.0565
NM_001165945	chr1(.):16370283-16388803	1.9946
NM_001042704	chr1(.):16343485-16365545	1.974
NM_178840	chr1(.):16325730-16338184	0.6716
NM_000085	chr1(.):16365246-16388803	2.0778
NM_014424	chr1(.):16335522-16350285	1.6791
NM_182623	chr1(.):16379263-16405127	1.347
NM_004431	chr1(.):16445831-16487582	1.5604
NM_030907	chr1(.):16553181-16568659	0.0771
NM_153213	chr1(.):16519598-16544104	0.2397
NR_037446	chr1(.):16870408-16880482	0.7888
NR_023386	chr1(.):16788930-16824196	0.1721
NR_037446	chr1(.):17002749-17012823	0.8066
NR_027504	chr1(.):16967068-16981915	0.7416
NR_002729	chr1(.):17076400-17095975	1.341
NR_037446	chr1(.):17180443-17190516	0.7078
NM_014675	chr1(.):17243444-17304474	0.1153
NM_003000	chr1(.):17340224-17385665	0.1794
NM_012387	chr1(.):17629689-17695495	1.0297
NM_016233	chr1(.):17570592-17615727	1.137
NM_207421	chr1(.):17693740-17733195	0.9384
NM_001136204	chr1(.):17728250-17770057	0.086
NM_018715	chr1(.):17728250-17771220	0.0868
NM_001039500	chr1(.):20612411-20686387	0.9136
NM_001122819	chr1(.):20985506-21049317	1.1421
NM_001103161	chr1(.):21041224-21064133	1.6038
NM_002885	chr1(.):21917707-22000856	1.2032
NM_001145658	chr1(.):21917707-21983348	1.3321
NM_020526	chr1(.):22885003-22935087	1.4034
NM_001006943	chr1(.):22885003-22921112	1.4049
NM_001114101	chr1(.):22965117-22979603	0.8787
NM_015991	chr1(.):22958117-22971175	0.8829
NM_000491	chr1(.):22974681-22993029	0.9422
NR_036214	chr1(.):23184651-23194719	1.1535
NM_001024732	chr1(.):29514384-29562454	0.1301
NM_006762	chr1(.):31200314-31235683	0.095
NM_001525	chr1(.):32078300-32097919	0.1974
NR_033688	chr1(.):32090462-32115218	0.064
NM_012392	chr1(.):32090462-32115838	0.0712
NM_001856	chr1(.):32112847-32174768	1.1156
NM_005227	chr1(.):155031212-155047029	0.2748
NM_207196	chr1(.):155018761-155040252	0.1406
NM_001143687	chr1(.):155001281-155028406	0.3449
NM_144622	chr1(.):154986002-155011257	0.3514
NM_001018017	chr1(.):155153299-155167700	1.4514
NM_198883	chr1(.):155173489-155188624	0.2134
NM_018973	chr1(.):155107366-155117883	0.7042
NM_153741	chr1(.):155107366-155117996	0.7135
NM_173852	chr1(.):155136883-155150804	0.651
NM_004428	chr1(.):155095348-155112386	1.6054
NM_007112	chr1(.):155160378-155182690	1.1219
NM_001122837	chr1(.):155103287-155116334	0.6401
NM_025058	chr1(.):155141359-155162445	0.9861
NR_030281	chr1(.):155159967-155170063	1.7204
NM_001005742	chr1(.):155199238-155219653	0.1809
NM_001171812	chr1(.):155199238-155216066	0.1983
NM_000157	chr1(.):155199238-155216069	0.1983
NM_006365	chr1(.):156369054-156404184	1.4595
NR_029691	chr1(.):156385132-156395221	1.2253
NM_198427	chr1(.):156606739-156628264	0.1778
NM_001105669	chr1(.):156544518-156561562	0.305
NM_144772	chr1(.):156556557-156569091	0.1096
NM_015590	chr1(.):156559279-156576270	0.1811
NM_021817	chr1(.):156584085-156600517	1.6621
NM_004494	chr1(.):156706898-156726543	0.1026
NM_001126051	chr1(.):156706898-156727024	0.1001
NM_001126050	chr1(.):156706898-156727240	0.099
NM_030980	chr1(.):156687412-156702705	0.1063
NM_001878	chr1(.):156664407-156680375	1.7526
NM_001142560	chr1(.):156693262-156711752	0.0898
NM_145729	chr1(.):156702093-156715923	0.0833
NM_006617	chr1(.):156633555-156652189	1.2757
NM_001012331	chr1(.):156825670-156856642	1.7991
NM_003975	chr1(.):156771034-156791640	0.3028
NM_001080471	chr1(.):156858522-156891226	1.9507
NM_014215	chr1(.):156805664-156833666	1.7332
NM_001161443	chr1(.):156771034-156790939	0.3076
NM_001007792	chr1(.):156780541-156856642	1.2464
NR_030527	chr1(.):156900922-156911036	0.126
NM_001001432	chr1(.):201323141-201351805	1.6694
NM_003281	chr1(.):201367894-201395874	1.0024
NM_005558	chr1(.):201344965-201373669	1.334
NM_080588	chr1(.):202111142-202134119	0.1372
NR_002930	chr1(.):202132178-202163577	0.9498
NM_002832	chr1(.):202111142-202134751	0.1347
NM_001160331	chr1(.):204908353-204996950	0.853
NM_203376	chr1(.):205047256-205058588	0.0719
NM_005076	chr1(.):205007339-205052138	0.8015
NM_194248	chr2(.):26675070-26786566	0.7021
NM_001080527	chr2(.):128288377-128400303	0.627
NM_052902	chr2(.):220457595-220486173	0.0885
NM_005876	chr2(.):220294699-220363354	1.5533
NM_005301	chr2(.):241559661-241575676	0.2561
NM_001029881	chr2(.):26799072-26869211	1.1125
NM_001105519	chr2(.):26780480-26807395	1.847
NM_001161417	chr2(.):128398438-128415213	0.8715
NM_001161403	chr2(.):128390995-128437764	0.7314
NR_027823	chr2(.):128390995-128410753	1.0543
NM_001161404	chr2(.):128390995-128444360	0.6612
NM_017980	chr2(.):128390995-128427167	0.7799
NR_015390	chr2(.):219836005-219847644	0.7919
NM_002181	chr2(.):219914141-219930238	1.0868
NM_057093	chr2(.):219849911-219863127	1.9795
NR_029867	chr2(.):219861366-219871430	1.864
NM_152389	chr2(.):219893413-219911245	0.9804
NM_194302	chr2(.):219862575-219911245	1.1858
NM_003936	chr2(.):219819397-219831877	0.817
NM_005209	chr2(.):219849911-219863121	1.9799
NM_017521	chr2(.):219840808-219855379	1.7094
NR_036081	chr2(.):219918409-219928472	1.4099
NM_012100	chr2(.):220233179-220257662	0.0685
NM_001173476	chr2(.):220320533-220336584	1.1408
NM_001927	chr2(.):220278098-220296461	0.5619
NM_013335	chr2(.):220358586-220376718	0.8151
NM_001005209	chr2(.):220403744-220420317	0.2696
NM_018674	chr2(.):220373891-220408494	1.4294
NM_015311	chr2(.):220410449-220441268	1.1217
NM_205847	chr2(.):220358616-220376718	0.81
NM_024536	chr2(.):220398668-220413487	0.2372
NM_001173431	chr2(.):220414871-220441268	1.2921
NM_002191	chr2(.):220431953-220445427	0.8812
NR_036082	chr2(.):220408794-220418869	0.2426
NM_001195731	chr2(.):220398668-220412819	0.2476
NM_001173408	chr2(.):220421437-220441268	1.4516
NM_198998	chr2(.):241626261-241642900	1.089
NM_001102467	chr2(.):241610834-241627317	0.9853
NM_003549	chr3(.):50325261-50341899	0.0758
NM_001165035	chr3(.):13605239-13684922	0.9756
NM_001998	chr3(.):13585624-13684922	0.9995
NR_027103	chr3(.):13687220-13793132	0.5196
NM_000094	chr3(.):48596505-48637593	1.2761
NM_004186	chr3(.):50187847-50231508	1.4849
NM_001174051	chr3(.):50395230-50545892	1.1949
NM_001134231	chr3(.):52553384-52572793	0.2728
NM_022908	chr3(.):52553384-52574093	0.2629
NM_004443	chr3(.):184274586-184305196	2.0435
NR_002582	chr3(.):12876810-12886949	0.094
NM_001007073	chr3(.):12871443-12888081	0.0758
NM_024827	chr3(.):13516714-13552924	0.4895
NM_001136041	chr3(.):13516843-13552924	0.491
NM_004567	chr3(.):48550116-48599227	0.2258
NR_031756	chr3(.):48611334-48621410	1.422
NM_033199	chr3(.):48594150-48606201	0.6639
NM_001008269	chr3(.):48653274-48664189	0.1783
NM_022911	chr3(.):48658155-48677926	0.167
NM_001040454	chr3(.):48658155-48676279	0.1135
NM_003365	chr3(.):48631431-48652098	0.275
NM_001166425	chr3(.):50279325-50301786	0.1113
NM_006841	chr3(.):50237691-50263406	1.7288
NM_153215	chr3(.):50311517-50330545	0.7497
NM_006764	chr3(.):50320162-50335026	0.0891
NM_002070	chr3(.):50268646-50301786	0.096
NM_004636	chr3(.):50300039-50319572	1.6506
NM_000172	chr3(.):50224042-50240129	1.5567
NM_153282	chr3(.):50332319-50346004	0.0831
NM_153281	chr3(.):50332319-50354812	0.0818
NM_007275	chr3(.):50357340-50370668	0.0733
NM_012191	chr3(.):50328832-50341712	0.0807
NM_003773	chr3(.):50350220-50365281	0.0617
NM_006545	chr3(.):50379918-50393486	0.141
NM_007182	chr3(.):50362216-50383367	0.2288
NM_007022	chr3(.):50383296-50396496	0.0805
NM_007024	chr3(.):50387179-50401939	0.148
NM_015896	chr3(.):50373536-50388156	0.2899
NM_170712	chr3(.):50362216-50380664	0.2177
NM_170713	chr3(.):50362216-50379895	0.2113
NM_016173	chr3(.):50601908-50627421	0.1494
NM_001171743	chr3(.):50590455-50610223	0.606
NM_001171741	chr3(.):50590455-50613458	0.5268
NM_007184	chr3(.):52484523-52532088	0.1284
NM_015136	chr3(.):52524355-52563511	0.9206
NM_003280	chr3(.):52480106-52493057	0.2217
NM_001124767	chr3(.):52565620-52579586	0.1455
NM_153330	chr3(.):128176281-128191091	1.5863
NR_026954	chr3(.):128221677-128234429	0.2312
NM_032638	chr3(.):128193264-128217030	2.0904
NM_001145662	chr3(.):128193264-128211764	2.1144
NM_001145661	chr3(.):128193264-128212373	2.1268
NM_138345	chr3(.):183943316-183965117	1.3152
NM_014693	chr3(.):183962444-184015819	0.5673
NM_005787	chr3(.):183955116-183971759	0.1862
NM_001037324	chr3(.):183988798-184015819	0.8148
NM_033259	chr3(.):183972002-183984251	0.4926
NM_018358	chr3(.):183898862-183916795	0.0723
NR_030410	chr3(.):183954192-183964277	0.3946
NM_001006941	chr3(.):183955116-183972313	0.1802
NM_003741	chr3(.):184092860-184112617	1.35
NM_001177597	chr3(.):184084772-184100932	1.1287
NR_003055	chr3(.):184038483-184048559	0.0895
NM_001171087	chr3(.):184058975-184084391	0.1865
NM_006232	chr3(.):184076193-184091363	0.2088
NM_144635	chr3(.):184050275-184069063	0.1577
NM_001171093	chr3(.):184048716-184069063	0.1535
NM_152673	chr3(.):195442752-195469540	0.2889
NM_004532	chr3(.):195468637-195544148	0.9737
NM_001098516	chr3(.):195446097-195469540	0.3032
NM_020777	chr4(.):7189373-7749564	0.9191
NM_006527	chr4(.):1689526-1719030	0.0624
NM_012318	chr4(.):1808205-1862974	0.0827
NM_198227	chr4(.):3366723-3446640	0.1645
NM_198229	chr4(.):3310873-3446640	0.118
NM_020416	chr4(.):6317304-6479326	0.9796
NM_001163213	chr4(.):1790038-1815599	1.4268
NM_001127266	chr4(.):1712678-1728084	0.0764
NM_006342	chr4(.):1718265-1751897	0.1682
NM_001528	chr4(.):3438725-3456213	1.6442
NM_173660	chr4(.):3460032-3501209	2.3904
NM_002337	chr4(.):3509289-3539224	0.1953
NM_000683	chr4(.):3763295-3775253	0.8717
NR_034136	chr4(.):3670319-3684582	1.3171
NM_181876	chr4(.):6317304-6388597	1.2137
NR_027441	chr4(.):7094150-7110103	1.065
NM_001085382	chr4(.):7427020-7441700	1.3455
NR_036238	chr4(.):7456754-7466845	0.9419
NR_026892	chr4(.):7750816-7785654	0.6481
NM_053044	chr4(.):8266488-8313838	1.0878
NM_001014448	chr4(.):8589386-8626488	1.6014
NM_080819	chr4(.):8577290-8594520	1.0475
NM_018942	chr4(.):8863772-8878543	0.993
NM_001040071	chr4(.):8946476-8957127	0.3451
NM_001105662	chr4(.):9240604-9252197	4.1735
NM_001105662	chr4(.):9254849-9266442	3.4656
NM_001105662	chr4(.):9264344-9275937	2.9101
NM_001105662	chr4(.):9212130-9223723	3.604
NM_001105662	chr4(.):9359854-9371447	3.5338
NR_027279	chr4(.):9364599-9375796	2.1519
NM_001105662	chr4(.):9326636-9338229	3.4221
NM_001105662	chr4(.):9336128-9347721	3.4109
NM_001105662	chr4(.):9350363-9361956	3.4002
NM_001105662	chr4(.):9355108-9366701	3.4773
NM_133369	chr5(.):176232559-176312899	1.5228
NR_003713	chr5(.):1592671-1639120	0.0928
NR_036240	chr5(.):1703899-1713983	0.4602
NM_001006616	chr5(.):176069387-176091059	0.2647
NM_002115	chr5(.):176302869-176331333	1.0764
NM_002082	chr5(.):176848686-176874850	0.101
NM_203352	chr5(.):176905394-176929602	0.3995
NM_030567	chr5(.):176868795-176888287	0.5089
NM_000505	chr5(.):176824138-176841577	0.5575
NM_080881	chr5(.):176878613-176904871	1.1456
NM_024872	chr5(.):176925750-176941858	0.2832
NM_016222	chr5(.):176933577-176948967	0.0785
NM_004395	chr5(.):176878613-176905694	1.1169
NM_001174102	chr5(.):176870325-176888283	0.5482
NM_001144876	chr5(.):176923905-176942427	0.3501
NM_004197	chr6(.):31976517-31986961	2.2166
NM_000841	chr6(.):33984627-34106443	1.3516
NM_005516	chr6(.):30452182-30466982	0.1553
NR_001284	chr6(.):31971196-31985800	2.6892
NR_026717	chr6(.):31933951-31954223	0.3356
NM_005510	chr6(.):31932587-31945032	0.0847
NM_001002029	chr6(.):31944833-31975458	1.7531
NM_032470	chr6(.):31971196-31986050	2.6468
NM_006929	chr6(.):31921580-31942532	0.0716
NM_000500	chr6(.):31968347-31981684	3.2117
NM_007293	chr6(.):31944833-31975457	1.7531
NM_002904	chr6(.):31914863-31931864	0.2262
NM_004197	chr6(.):31934645-31954223	0.3454
NR_031601	chr6(.):31919615-31929717	0.0684
NM_001710	chr6(.):31908720-31924861	0.5082
NM_001002029	chr6(.):31977571-32008195	2.1556
NM_001136153	chr6(.):32078044-32101017	0.1293
NM_000500	chr6(.):32001081-32014419	3.2469
NM_022110	chr6(.):32091483-32103067	0.2805
NM_019105	chr6(.):32003931-32082151	1.6808
NM_032470	chr6(.):32003931-32018905	2.9855
NM_007293	chr6(.):31977571-32008194	2.1556
NM_032340	chr6(.):33660345-33684504	0.0611
NM_054111	chr6(.):33684442-33719762	0.8487
NM_001184698	chr6(.):33757448-33776793	1.1685
NM_001143944	chr6(.):33733989-33759719	0.234
NM_181336	chr6(.):33733989-33761906	0.291
NR_031681	chr6(.):33962748-33972828	0.7515
NM_005586	chr6(.):41601194-41626982	1.709
NM_001134395	chr7(.):1031622-1182893	0.0792
NM_001936	chr7(.):153997346-154690995	0.2392
NM_130843	chr7(.):157326749-158385482	0.686
NM_130797	chr7(.):153744776-154690995	0.2169
NM_001039350	chr7(.):153579418-154690995	0.2051
NM_015949	chr7(.):911190-941071	0.0829
NM_002360	chr7(.):1565367-1587679	0.2836
NM_001100390	chr7(.):2593631-2659368	0.141
NM_133463	chr7(.):2714162-2760069	0.8628
NM_003088	chr7(.):5627453-5651286	1.2869
NM_172084	chr7(.):44251748-44370230	0.7845
NM_004444	chr7(.):100395186-100430143	1.2491
NM_001099220	chr7(.):149530508-149569568	0.1628
NM_001098834	chr7(.):150840675-150869867	0.56
NM_001103176	chr7(.):155288952-155331539	0.7809
NM_006869	chr7(.):932536-999289	0.8345
NM_017781	chr7(.):1017834-1034276	1.3579
NM_001031617	chr7(.):999485-1020235	0.4253
NM_182491	chr7(.):1187542-1204855	0.0457
NM_001080461	chr7(.):1267653-1281613	0.7109
NM_182924	chr7(.):1468994-1504109	0.6637
NM_001080453	chr7(.):1504912-1549018	0.1093
NM_001134340	chr7(.):1601969-1614668	0.2447
NM_032302	chr7(.):1601969-1614629	0.2453
NR_027328	chr7(.):1604708-1634261	0.7868
NM_001097620	chr7(.):1576870-1601066	0.9928
NM_002304	chr7(.):2552496-2573063	1.7476
NM_152743	chr7(.):2572443-2600392	0.1366
NM_001166355	chr7(.):2547162-2573063	1.6357
NM_001040168	chr7(.):2554478-2573810	1.7185
NM_001040167	chr7(.):2554478-2573063	1.7787
NM_025250	chr7(.):2666602-2709436	1.5282
NM_006555	chr7(.):44235577-44258893	0.2143
NM_000162	chr7(.):44178869-44234022	0.2148
NM_152755	chr7(.):99712264-99728128	0.0998
NM_203397	chr7(.):99719319-99731121	0.1579
NM_005641	chr7(.):99699692-99721995	0.0512
NM_001190415	chr7(.):99699692-99722481	0.0517
NM_139315	chr7(.):99699692-99722021	0.0512
NM_018275	chr7(.):99747042-99761302	0.265
NM_024070	chr7(.):99811870-99824111	0.1688
NM_012447	chr7(.):99770537-99817010	0.5262
NM_152742	chr7(.):99762228-99779990	1.4996
NM_001008395	chr7(.):99741529-99756833	0.095
NM_024637	chr7(.):99751864-99771373	1.1225
NM_002319	chr7(.):100166633-100188776	0.425
NM_016188	chr7(.):100235725-100259084	1.2978
NM_003227	chr7(.):100213038-100244173	1.3794
NM_001040097	chr7(.):100204724-100218000	1.0497
NM_001040098	chr7(.):100205052-100218000	1.0339
NM_002593	chr7(.):100194881-100210798	1.2408
NM_033506	chr7(.):100178955-100203740	0.9384
NM_001163499	chr7(.):100182195-100203740	1.0645
NM_001040099	chr7(.):100205113-100218000	1.0319
NM_001168682	chr7(.):100164852-100176270	0.4184
NM_005837	chr7(.):100298675-100310123	0.2742
NM_000799	chr7(.):100313422-100326323	1.5983
NM_003386	chr7(.):100326248-100400419	1.2107
NM_022574	chr7(.):100272129-100291870	0.0721
NM_005273	chr7(.):100266362-100281792	0.2615
NM_020246	chr7(.):100445357-100469634	0.1322
NM_003302	chr7(.):100459949-100476076	0.1753
NM_015908	chr7(.):100467700-100491285	0.3692
NM_001164462	chr7(.):100607903-100667230	1.5927
NM_001165413	chr7(.):100765378-100787547	1.1925
NM_001040105	chr7(.):100658363-100707140	0.6578
NM_030961	chr7(.):100723785-100738889	0.1577
NM_001185080	chr7(.):100870372-100887101	0.0462
NM_016068	chr7(.):100877892-100893371	0.059
NM_014343	chr7(.):100870372-100886227	0.0476
NM_006349	chr7(.):100855984-100872471	0.0597
NM_198571	chr7(.):100808773-100828557	1.6583
NM_001084	chr7(.):100844257-100866011	0.2885
NM_003378	chr7(.):100800789-100813852	0.9689
NM_178176	chr7(.):100834012-100849302	1.2829
NM_001283	chr7(.):100792685-100809557	0.6798
NM_001130820	chr7(.):100951647-100970093	0.2694
NM_001458	chr7(.):128465482-128504328	1.4221
NM_001195150	chr7(.):128501463-128517101	0.2333
NM_001198909	chr7(.):128497856-128510903	0.2456
NM_198455	chr7(.):149468130-149536053	2.3545
NM_207336	chr7(.):149456452-149475295	1.1647
NR_027040	chr7(.):149559782-149575951	0.1204
NM_001100592	chr7(.):149565056-149582738	0.1061
NM_001142459	chr7(.):150867784-150889478	1.5461
NM_080871	chr7(.):150867784-150889919	1.564
NM_019015	chr7(.):150924584-150940905	0.2101
NM_003078	chr7(.):150931058-150979231	1.6517
NM_001003802	chr7(.):150931058-150978820	1.6591
NM_005692	chr7(.):150899922-150929317	0.5221
NM_001003801	chr7(.):150931058-150950749	1.6631
NR_030407	chr7(.):150930506-150940624	0.2331
NM_198285	chr7(.):151073206-151112124	1.4676
NM_016118	chr7(.):151033857-151080532	0.2572
NR_034012	chr7(.):151101321-151115132	0.8875
NM_144727	chr7(.):151122055-151142099	0.5898
NR_037468	chr7(.):151125574-151135725	0.729
NR_024477	chr7(.):154715226-154743560	0.137
NM_000193	chr7(.):155590557-155609967	1.5646
NM_001172357	chr8(.):22014183-22026991	1.2259
NM_014629	chr8(.):1767148-1911807	0.9056
NM_207414	chr8(.):142438928-142522330	0.8753
NM_005607	chr8(.):141663501-142016332	0.1752
NM_145003	chr8(.):143288440-143489543	0.2564
NM_015201	chr8(.):145481055-145520120	0.0436
NM_001134374	chr8(.):145081581-145107015	1.063
NM_014867	chr8(.):1917043-1960109	0.7686
NM_001136572	chr8(.):7416309-7445175	1.0952
NM_001136572	chr8(.):7408659-7422234	0.6969
NM_001164449	chr8(.):7575612-7588623	0.6267
NM_001164450	chr8(.):7590908-7603918	0.7076
NM_001164448	chr8(.):7613851-7626862	0.8294
NM_001164447	chr8(.):7621498-7634510	0.6732
NM_001164451	chr8(.):7606203-7619214	0.6776
NM_025232	chr8(.):21990532-22004448	0.5688
NM_024815	chr8(.):21959382-21971932	0.1074
NM_018411	chr8(.):21966931-21993565	1.223
NM_022749	chr8(.):21941713-21966891	0.1027
NM_139278	chr8(.):21999342-22019344	1.4343
NM_006129	chr8(.):22017652-22074840	0.2414
NM_014957	chr8(.):142133719-142210900	0.0662
NM_032611	chr8(.):142427006-142446620	0.7933
NM_005293	chr8(.):142361586-142382365	1.9579
NR_024441	chr8(.):142345647-142359720	1.4497
NR_024378	chr8(.):143274716-143295364	0.832
NM_001702	chr8(.):143540376-143631368	1.2076
NM_015193	chr8(.):143687409-143700833	1.5928
NM_001077527	chr8(.):143733873-143756401	0.2314
