GENE_ID	locusLine	bin_1_RPMI8226_jia.bam
NR_027055	chr1(.):798450-817182	0.1516
NM_015658	chr1(.):874582-899679	0.3695
NR_026874	chr1(.):847952-859817	0.3643
NM_001130045	chr1(.):1104285-1138313	0.2042
NR_029639	chr1(.):1097483-1107578	0.2916
NM_153254	chr1(.):1110076-1126243	0.2005
NR_029834	chr1(.):1098242-1108332	0.2935
NR_029957	chr1(.):1099384-1109467	0.294
NM_001130413	chr1(.):1212488-1232409	0.2014
NM_194458	chr1(.):1184291-1214234	0.4026
NM_017871	chr1(.):1241964-1265046	1.526
NM_004421	chr1(.):1265657-1289492	0.7574
NM_030649	chr1(.):1222763-1248269	1.3638
NM_001029885	chr1(.):1255142-1269276	0.9973
NM_152228	chr1(.):1261725-1274844	0.1852
NM_153339	chr1(.):1238993-1252057	2.4931
NM_002978	chr1(.):1212575-1232409	0.2017
NM_032348	chr1(.):1283070-1298915	1.0015
NM_182838	chr1(.):1658680-1682431	0.97
NM_001198995	chr1(.):1677670-1695081	0.424
NM_002074	chr1(.):1711728-1827495	0.3808
NM_138705	chr1(.):1841265-1853733	0.5299
NM_178545	chr1(.):1844028-1855740	0.3368
NM_001428	chr1(.):8916062-8943780	1.2441
NM_001009611	chr1(.):12934032-12951025	0.3025
NM_023013	chr1(.):12846545-12861777	0.139
NM_023014	chr1(.):12911940-12926764	0.1862
NM_001146344	chr1(.):12879467-12896264	0.4512
NM_001013631	chr1(.):12902260-12913578	0.1549
NM_001146181	chr1(.):12902235-12913237	0.1568
NM_001136204	chr1(.):17728250-17770057	1.1037
NM_018715	chr1(.):17728250-17771220	1.0824
NM_001397	chr1(.):21538739-21621982	0.3578
NM_001113347	chr1(.):21538739-21611183	0.1271
NM_001113349	chr1(.):21538739-21621766	0.3555
NM_017707	chr1(.):23750055-23815750	0.1093
NM_002167	chr1(.):23879408-23891322	0.5156
NM_021258	chr1(.):24441260-24474611	0.1165
NR_027087	chr1(.):24521729-24543180	0.2634
NM_001031680	chr1(.):25221001-25296501	0.5371
NM_004350	chr1(.):25221001-25261770	0.8243
NM_015484	chr1(.):25543766-25564013	0.4694
NM_001127691	chr1(.):25593980-25661936	0.1004
NM_020317	chr1(.):25563739-25578985	1.0549
NM_015627	chr1(.):25865075-25900377	0.5972
NR_026685	chr1(.):26432655-26457026	1.0793
NM_152835	chr1(.):26433267-26457026	1.1041
NM_032588	chr1(.):26372797-26399121	0.1288
NR_023345	chr1(.):26498981-26521375	0.1211
NM_024869	chr1(.):26480510-26494119	0.1686
NM_015871	chr1(.):26491387-26502364	0.3465
NM_006314	chr1(.):26498980-26521375	0.1211
NM_017837	chr1(.):27109485-27129887	0.7988
NM_006015	chr1(.):27017521-27113601	0.8183
NM_018066	chr1(.):27200872-27221869	0.2684
NM_032283	chr1(.):27148200-27187211	0.5713
NM_006142	chr1(.):27184632-27195947	1.3315
NM_014280	chr1(.):28521789-28564542	0.3149
NM_016311	chr1(.):28557610-28569611	0.8582
NM_031459	chr1(.):28581005-28614002	0.6976
NR_003109	chr1(.):28874528-28910057	0.5148
NM_001269	chr1(.):28839744-28870708	0.3841
NR_034112	chr1(.):31966838-31979167	0.4734
NR_027085	chr1(.):31979035-31994846	0.1183
NM_005202	chr1(.):36555843-36570850	0.1036
NM_018067	chr1(.):36616802-36651441	0.6301
NM_014408	chr1(.):36597172-36620067	0.5114
NM_022756	chr1(.):37953175-37985364	0.1854
NM_025079	chr1(.):37935118-37954978	1.274
NM_001198979	chr1(.):40854016-40893998	0.1203
NM_001198978	chr1(.):40835304-40893998	0.5008
NM_001198980	chr1(.):40857471-40893998	0.0906
NM_022733	chr1(.):40834377-40893998	0.4933
NM_014747	chr1(.):41081351-41136324	0.4351
NM_001142588	chr1(.):41152241-41242275	0.2318
NM_001142590	chr1(.):41152679-41242275	0.2324
NM_006516	chr1(.):43386045-43429847	0.4537
NR_033967	chr1(.):43419719-43454029	0.2224
NM_001145636	chr1(.):45135393-45196263	0.3042
NM_024587	chr1(.):45114500-45145099	0.3982
NM_004073	chr1(.):45261035-45276667	1.5374
NM_001013632	chr1(.):45266585-45277957	1.9215
NM_001136537	chr1(.):45269153-45284801	1.4256
NR_001456	chr1(.):45238513-45248584	0.7902
NR_001457	chr1(.):45239061-45249130	0.7911
NM_153274	chr1(.):45244256-45258426	0.1049
NM_003738	chr1(.):45282937-45313616	0.0989
NM_001012	chr1(.):45236245-45249412	0.6228
NR_000024	chr1(.):45237163-45247261	0.7869
NR_000015	chr1(.):45236536-45246610	0.7886
NM_005727	chr1(.):46635748-46656634	0.103
NM_006004	chr1(.):46764379-46787447	0.7098
NM_006369	chr1(.):46739071-46774038	0.4875
NM_199044	chr1(.):46801389-46835690	0.2568
NM_001077702	chr1(.):67385577-67459302	0.2075
NM_001077704	chr1(.):67390925-67459302	0.1805
NM_001924	chr1(.):68145882-68159019	0.7349
NM_014021	chr1(.):85104389-85161240	0.1674
NM_001166417	chr1(.):85104389-85161151	0.1676
NM_004974	chr1(.):111140775-111153345	0.06
NM_002232	chr1(.):111209309-111222655	0.3447
NM_001025199	chr1(.):111767332-111791062	0.052
NM_001025197	chr1(.):111765280-111791062	0.0663
NM_024901	chr1(.):111724800-111748281	0.8966
NM_017709	chr1(.):118143603-118176011	1.033
NM_207418	chr1(.):143891451-143918143	1.0344
NM_032305	chr1(.):145451235-145475387	1.4078
NM_202004	chr1(.):145408190-145422545	0.1235
NM_006472	chr1(.):145433461-145447628	2.2224
NM_001039888	chr1(.):145465507-145480647	1.7511
NM_003846	chr1(.):145511164-145528732	0.6696
NM_005105	chr1(.):145502637-145516444	1.2002
NM_001184795	chr1(.):145511559-145528732	0.6817
NM_003637	chr1(.):145519989-145548868	0.1395
NR_002328	chr1(.):145504819-145521076	1.1302
NM_001161334	chr1(.):149749244-149788928	0.3742
NM_001034077	chr1(.):149799220-149809616	2.5081
NM_001005464	chr1(.):149807258-149817765	3.8829
NM_001040874	chr1(.):149808784-149819318	3.9079
NM_001123375	chr1(.):149779779-149790236	1.0341
NM_000566	chr1(.):149749249-149769074	0.1527
NM_005850	chr1(.):149890210-149904702	0.7027
NM_016074	chr1(.):149866154-149877348	0.1864
NM_003528	chr1(.):149851009-149863232	2.8621
NM_003517	chr1(.):149853524-149863961	3.3188
NM_175065	chr1(.):149854018-149864466	3.2944
NM_014849	chr1(.):149869871-149894434	0.1668
NM_181873	chr1(.):149895542-149913266	0.7724
NM_001145862	chr1(.):149895542-149913791	0.7525
NR_036461	chr1(.):149816758-149827340	4.0009
NM_001040874	chr1(.):149817627-149828161	3.9488
NM_001005464	chr1(.):149819180-149829687	3.9268
NM_001034077	chr1(.):149827329-149837725	2.4844
NM_016274	chr1(.):150117169-150136825	1.8206
NM_019032	chr1(.):150516897-150538412	1.9907
NM_207046	chr1(.):150589598-150606609	0.6955
NR_036211	chr1(.):150519404-150529490	0.1956
NM_001197320	chr1(.):150542026-150557214	1.4469
NM_012432	chr1(.):150893814-150942220	0.187
NM_001163258	chr1(.):150964300-150985854	1.1019
NM_181746	chr1(.):150932648-150952440	0.843
NR_026977	chr1(.):150893824-150922797	0.2232
NM_003568	chr1(.):150949498-150973114	0.4986
NM_001163260	chr1(.):150964300-150984273	1.1685
NM_001040217	chr1(.):150964300-150984385	1.1633
NM_020239	chr1(.):151018446-151037125	0.6185
NM_138278	chr1(.):151004028-151025076	0.1434
NM_006818	chr1(.):151027150-151045973	1.0845
NM_017860	chr1(.):151015258-151028871	0.2018
NM_005620	chr1(.):151999981-152014511	1.5549
NM_002966	chr1(.):151950385-151971714	0.2104
NM_001008536	chr1(.):152051619-152066540	0.1075
NM_002960	chr1(.):153514808-153526734	0.9122
NM_005978	chr1(.):153528584-153543306	0.3442
NM_014624	chr1(.):153502075-153513717	0.3901
NM_002962	chr1(.):153504622-153519241	0.9396
NM_019554	chr1(.):153511094-153523282	0.948
NM_002961	chr1(.):153511097-153523282	0.9478
NM_014437	chr1(.):153926587-153945188	1.993
NM_130898	chr1(.):153935396-153951832	2.2618
NM_181715	chr1(.):153915151-153936043	1.9697
NM_006694	chr1(.):153941744-153955451	1.1334
NM_002870	chr1(.):153949127-153963806	1.3026
NM_014856	chr1(.):153896976-153924154	0.8818
NM_001030	chr1(.):153958238-153969631	0.525
NM_006556	chr1(.):154892207-154914484	1.2081
NM_005227	chr1(.):155031212-155047029	0.5783
NM_001130041	chr1(.):154929773-154951959	2.2043
NM_001130040	chr1(.):154929773-154948223	2.3943
NM_201398	chr1(.):154950769-154970587	0.5027
NM_015872	chr1(.):154970111-154995999	3.7115
NM_207196	chr1(.):155018761-155040252	1.3584
NM_001184892	chr1(.):154950769-154966488	0.5399
NM_018655	chr1(.):154961061-154971791	0.5354
NM_001143687	chr1(.):155001281-155028406	0.9234
NR_024163	chr1(.):154942117-154956725	2.2271
NM_144622	chr1(.):154986002-155011257	0.6464
NM_138300	chr1(.):154924501-154939258	2.065
NR_036212	chr1(.):154943168-154953259	2.5307
NM_001018017	chr1(.):155153299-155167700	1.2432
NM_198883	chr1(.):155173489-155188624	0.722
NM_018973	chr1(.):155107366-155117883	1.7304
NM_153741	chr1(.):155107366-155117996	1.7149
NM_173852	chr1(.):155136883-155150804	0.6016
NM_004428	chr1(.):155095348-155112386	1.7113
NM_007112	chr1(.):155160378-155182690	1.093
NM_001122837	chr1(.):155103287-155116334	1.5116
NM_025058	chr1(.):155141359-155162445	0.6404
NR_030281	chr1(.):155159967-155170063	1.3849
NM_001005742	chr1(.):155199238-155219653	0.4133
NM_001171812	chr1(.):155199238-155216066	0.4666
NM_000157	chr1(.):155199238-155216069	0.4666
NM_006912	chr1(.):155862600-155886177	0.2445
NM_001162384	chr1(.):155911629-155953336	2.257
NM_181885	chr1(.):155906479-155917625	2.3979
NM_004723	chr1(.):155911629-155952966	2.2722
NM_014949	chr1(.):155877835-155909188	0.4216
NR_002974	chr1(.):155884699-155894833	0.1388
NR_003005	chr1(.):155890748-155900877	0.1347
NM_001093725	chr1(.):156036803-156056789	0.2074
NM_003145	chr1(.):155973838-155995758	0.5258
NM_198406	chr1(.):156208208-156222792	0.1887
NM_014655	chr1(.):156158729-156187587	0.7293
NM_007221	chr1(.):156177783-156214833	0.716
NM_022367	chr1(.):156118321-156152542	0.6827
NM_001193302	chr1(.):156118368-156152542	0.6834
NM_199173	chr1(.):156206950-156218112	0.1813
NM_024897	chr1(.):156208206-156222843	0.1884
NM_001193301	chr1(.):156114734-156152542	0.6815
NM_005920	chr1(.):156428518-156475529	1.6727
NM_004494	chr1(.):156706898-156726543	2.752
NM_001126051	chr1(.):156706898-156727024	2.6897
NM_001126050	chr1(.):156706898-156727240	2.6636
NM_030980	chr1(.):156687412-156702705	0.8477
NM_001878	chr1(.):156664407-156680375	0.1802
NM_001142560	chr1(.):156693262-156711752	1.0807
NM_145729	chr1(.):156702093-156715923	0.7069
NR_001560	chr1(.):157093153-157103463	0.1273
NM_005240	chr1(.):157097975-157113177	0.5917
NM_001145312	chr1(.):157089458-157113383	0.421
NM_003564	chr1(.):159882902-159900284	1.2785
NM_012337	chr1(.):159837153-159874906	0.2923
NM_001146172	chr1(.):159916281-159929044	0.1171
NM_001778	chr1(.):160643535-160686585	0.2886
NM_021181	chr1(.):160704076-160729601	0.15
NM_001039711	chr1(.):161085768-161107478	0.7874
NM_016406	chr1(.):161118533-161133646	1.0006
NM_004550	chr1(.):161164104-161189184	0.3115
NM_000309	chr1(.):161131180-161146010	0.6152
NM_001643	chr1(.):161187082-161198418	0.7975
NM_003779	chr1(.):161136100-161152314	0.8013
NM_012475	chr1(.):161124253-161140516	0.9211
NM_001039712	chr1(.):161085768-161107256	0.7938
NM_032174	chr1(.):161190832-161205407	0.6385
NM_001166159	chr1(.):161166936-161189184	0.3289
NM_005099	chr1(.):161154537-161173845	0.7709
NM_004106	chr1(.):161180086-161194038	0.18
NM_198053	chr1(.):167394876-167492847	0.2663
NM_003851	chr1(.):167505250-167528056	2.0788
NM_001146191	chr1(.):167686186-167766156	0.2647
NM_022100	chr1(.):174977093-174997591	0.2109
NM_022371	chr1(.):179046111-179070129	0.9972
NM_016545	chr1(.):181052637-181064979	1.8666
NM_021133	chr1(.):182537771-182561108	0.1745
NM_002928	chr1(.):182562757-182578548	0.9589
NM_001102450	chr1(.):182610791-182647067	0.1166
NR_036490	chr1(.):182579274-182590764	1.57
NM_001195216	chr1(.):197698138-197749623	0.4676
NM_005298	chr1(.):200837165-200848251	0.1418
NM_018265	chr1(.):200855638-200889864	0.7641
NM_001142569	chr1(.):200858998-200889864	0.6792
NM_017596	chr1(.):200933519-200997828	0.7598
NR_034150	chr1(.):203262885-203279453	1.7634
NM_006763	chr1(.):203269663-203283729	1.5221
NM_002023	chr1(.):203304751-203325289	0.1408
NR_027022	chr1(.):204332557-204343847	0.1007
NM_002646	chr1(.):204386757-204464474	0.1574
NM_032833	chr1(.):204367491-204385944	0.7871
NM_002393	chr1(.):204480510-204532248	0.324
NM_014858	chr1(.):205192037-205247471	0.6394
NM_018203	chr1(.):205300647-205331039	0.1495
NM_030952	chr1(.):205266190-205295883	0.543
NM_212502	chr1(.):205468683-205506921	0.2785
NR_029893	chr1(.):205412429-205422526	0.2232
NM_001123168	chr1(.):206133910-206160074	1.0549
NM_001007544	chr1(.):206233871-206293647	0.4738
NM_148964	chr1(.):206312458-206337104	0.1097
NM_006893	chr1(.):206759973-206790904	0.1915
NM_182665	chr1(.):206725491-206767616	1.6838
NM_000572	chr1(.):206935947-206950839	0.7492
NM_153758	chr1(.):206967214-207021324	0.2181
NM_000228	chr1(.):209783217-209830820	0.779
NM_001127641	chr1(.):209783217-209830674	0.777
NM_001017402	chr1(.):209783217-209829679	0.7799
NR_036213	chr1(.):209791788-209801855	0.1322
NM_005525	chr1(.):209873190-209913295	0.0947
NM_015714	chr1(.):209843669-209854735	1.1883
NM_181755	chr1(.):209854549-209913295	0.1239
NM_020997	chr1(.):226068981-226081836	1.7429
NM_014698	chr1(.):226028232-226075420	0.7901
NM_013328	chr1(.):226102579-226116965	0.8951
NM_003493	chr1(.):228607545-228618026	0.1081
NM_033445	chr1(.):228640064-228650560	1.712
NM_016102	chr1(.):228590635-228609583	0.6387
NM_001010858	chr1(.):228670067-228688889	2.3922
NM_175055	chr1(.):228640807-228651259	1.7944
NM_005646	chr1(.):234522058-234619849	0.241
NM_182972	chr1(.):234735014-234750271	5.9603
NR_033927	chr1(.):234760056-234775526	0.1126
NM_020458	chr2(.):47163312-47308275	0.3781
NR_033872	chr2(.):70184394-70319147	0.3119
NM_017567	chr2(.):71290407-71310998	0.6927
NM_001145873	chr2(.):87006727-87040519	0.1287
NR_015395	chr2(.):112119590-112257692	0.2922
NR_024373	chr2(.):112181885-112257692	0.4546
NM_001099289	chr2(.):109740996-110267207	0.1241
NM_006037	chr2(.):239964863-240327643	0.1371
NM_001037131	chr2(.):236397735-237039120	0.1337
NM_145693	chr2(.):11881739-11972533	0.3635
NM_017877	chr2(.):26982141-27009099	0.7441
NM_005813	chr2(.):37472645-37549222	0.0951
NM_001083953	chr2(.):43452974-43828113	0.2207
NM_022065	chr2(.):43452974-43828185	0.2207
NM_178313	chr2(.):54780530-54894445	0.2997
NM_003128	chr2(.):54678453-54903583	0.1941
NM_022893	chr2(.):60679328-60785633	0.235
NM_018014	chr2(.):60673301-60785633	0.2276
NM_014755	chr2(.):64853754-64886046	0.7575
NR_036586	chr2(.):65123973-65164581	0.3241
NR_024204	chr2(.):87749973-87826030	0.4164
NM_004027	chr2(.):99056320-99212496	0.3367
NM_001566	chr2(.):99056320-99203284	0.3535
NM_005721	chr2(.):114642536-114721167	0.2493
NM_001172435	chr2(.):135804834-135933279	0.1363
NM_001198759	chr2(.):160620138-160766267	0.1444
NM_002349	chr2(.):160654867-160766267	0.1709
NM_001077269	chr2(.):175419301-175552627	0.3628
NM_173648	chr2(.):179689483-179919786	0.1421
NR_024415	chr2(.):192537797-192558248	0.6076
NM_001031716	chr2(.):192537860-192558248	0.6092
NM_004226	chr2(.):196993306-197041336	0.3769
NM_153697	chr2(.):197959194-198180521	0.217
NM_001195144	chr2(.):197846385-198180521	0.1705
NM_001228	chr2(.):202093165-202157434	0.4995
NM_003879	chr2(.):201975889-202034003	0.8921
NM_001127184	chr2(.):201975815-202011323	1.3716
NM_173822	chr2(.):201833440-201941392	0.1137
NM_033358	chr2(.):202093165-202151638	0.5404
NM_003709	chr2(.):207940528-208035614	0.3612
NR_037195	chr2(.):216471285-216713259	0.1571
NM_014689	chr2(.):225624806-225912330	0.1082
NM_005737	chr2(.):235396685-235410693	0.3281
NM_001137551	chr2(.):238595806-238695290	0.2871
NM_001137550	chr2(.):238531223-238695290	0.1999
NM_017844	chr2(.):241413838-241502405	0.1369
NM_001195381	chr2(.):241539824-241575676	0.0601
NM_005301	chr2(.):241559661-241575676	0.0632
NM_002166	chr2(.):8817112-8829583	2.0418
NM_002997	chr2(.):20395557-20429927	1.5664
NM_001006946	chr2(.):20395557-20430194	1.5553
NM_001809	chr2(.):27003881-27022455	0.4116
NM_001042426	chr2(.):27003882-27022455	0.4116
NM_178553	chr2(.):27354714-27367332	0.5065
NM_001166239	chr2(.):27318461-27346773	0.0936
NM_001166240	chr2(.):27317220-27346995	0.0964
NM_013388	chr2(.):27348624-27362542	0.4729
NM_001166241	chr2(.):27317220-27338970	0.0951
NM_032604	chr2(.):27341656-27358680	0.4133
NM_175769	chr2(.):27366944-27380819	0.3862
NM_080592	chr2(.):27429898-27445046	0.8316
NM_001170795	chr2(.):27430218-27445046	0.8476
NM_021095	chr2(.):27417454-27440175	0.4352
NM_012413	chr2(.):37566752-37605465	0.3998
NM_138370	chr2(.):42270160-42290668	0.093
NM_006887	chr2(.):43444540-43458745	4.0038
NR_027251	chr2(.):43449349-43460994	3.1501
NM_001171508	chr2(.):47124008-47173994	0.6306
NR_002229	chr2(.):54751358-54761978	0.0929
NM_207521	chr2(.):55194326-55281326	0.2633
NM_207520	chr2(.):55194326-55282734	0.2678
NM_007008	chr2(.):55194326-55242470	0.0996
NR_033837	chr2(.):64407212-64437619	0.4086
NR_034023	chr2(.):64829445-64848616	0.1435
NM_001193493	chr2(.):65210578-65256000	0.4909
NM_003038	chr2(.):65211494-65256000	0.4995
NM_181784	chr2(.):65532984-65664656	0.3648
NM_001111101	chr2(.):68506302-68552183	0.2032
NM_002664	chr2(.):68587321-68629585	0.5973
NM_173545	chr2(.):68689690-68812294	0.1182
NM_001024680	chr2(.):68684504-68699390	0.5595
NM_006196	chr2(.):70309584-70321334	2.488
NR_024444	chr2(.):70346167-70357448	0.2262
NR_002185	chr2(.):71246204-71262060	0.0812
NM_015425	chr2(.):86248450-86338278	0.3203
NR_026984	chr2(.):86242338-86255991	0.0945
NM_001768	chr2(.):87006727-87023837	0.0814
NM_172213	chr2(.):87037459-87094047	0.5234
NM_004931	chr2(.):87063688-87094047	0.8797
NM_002371	chr2(.):95686478-95724735	0.102
NR_026875	chr2(.):97158382-97178846	0.2116
NM_212481	chr2(.):97197463-97223371	1.0096
NM_001144013	chr2(.):107016135-107089801	0.0641
NR_037450	chr2(.):134879695-134889763	2.3783
NM_025052	chr2(.):135717272-135787248	0.0665
NM_006186	chr2(.):157175943-157194287	0.5839
NM_004288	chr2(.):158266130-158305604	0.2896
NM_003387	chr2(.):175419301-175504307	0.5196
NM_002156	chr2(.):198346307-198369640	0.6674
NM_001100819	chr2(.):198375770-198422515	0.2204
NM_025147	chr2(.):198313230-198344851	0.2836
NM_199482	chr2(.):198375319-198422515	0.2188
NM_002157	chr2(.):198359720-198373187	1.0756
NM_199440	chr2(.):198346307-198369998	0.6581
NM_002491	chr2(.):201931461-201955473	0.2792
NM_001127183	chr2(.):201978386-202033841	0.9308
NM_032974	chr2(.):202042620-202099110	0.3161
NM_001230	chr2(.):202042620-202091383	0.2424
NM_033356	chr2(.):202120222-202157434	0.5547
NM_001080125	chr2(.):202117753-202157434	0.5762
NM_006139	chr2(.):204566197-204607557	0.5363
NR_036227	chr2(.):207969710-207979797	0.0758
NM_182642	chr2(.):219259813-219274148	1.6657
NM_198559	chr2(.):219216578-219237817	0.0634
NM_021198	chr2(.):219259477-219275664	1.482
NM_000578	chr2(.):219241751-219266617	0.897
NR_029500	chr2(.):219262368-219272445	1.6772
NM_007127	chr2(.):219278837-219319248	0.0567
NM_017431	chr2(.):219682105-219701512	0.0615
NM_025216	chr2(.):219740254-219763651	1.263
NM_006522	chr2(.):219719545-219743954	0.3662
NM_006000	chr2(.):220110000-220123638	1.1742
NM_001042410	chr2(.):220089609-220106391	0.4045
NR_026909	chr2(.):220105200-220120059	1.1107
NM_018089	chr2(.):220089478-220106391	0.4014
NR_003063	chr2(.):220112964-220141910	0.5122
NM_005689	chr2(.):220069493-220088672	0.2399
NM_024085	chr2(.):220079101-220099361	0.364
NM_006736	chr2(.):220139039-220156622	0.317
NM_138802	chr2(.):220066537-220079370	0.2948
NM_024506	chr2(.):220096502-220115131	0.438
NM_001008910	chr2(.):220105191-220120059	1.1101
NR_029688	chr2(.):220153832-220163922	0.1105
NM_001099285	chr2(.):232568234-232583250	1.8114
NR_036052	chr2(.):232573023-232583105	1.4516
NM_004735	chr2(.):238595806-238679558	0.3307
NR_036229	chr2(.):240222156-240232240	0.0534
NM_023083	chr2(.):241521132-241543526	0.5681
NM_001033575	chr2(.):241494470-241508431	1.8531
NM_018226	chr2(.):241503103-241523143	1.2805
NR_024437	chr2(.):243025843-243107469	0.1864
NM_014674	chr3(.):5224358-5266650	0.9298
NR_027007	chr3(.):9425536-9444174	1.1039
NM_001195099	chr3(.):15703743-15803058	0.0693
NM_001195098	chr3(.):15703743-15844691	0.1414
NM_015199	chr3(.):15703743-15906053	0.1537
NM_015576	chr3(.):55537335-56507391	0.0818
NM_005862	chr3(.):136050998-136476245	0.1347
NM_207294	chr3(.):152012193-152188569	0.1915
NM_021038	chr3(.):151980828-152188568	0.3308
NM_001135095	chr3(.):171753343-172123492	0.1952
NM_022763	chr3(.):171752417-172123492	0.1952
NM_001134382	chr3(.):12933718-13119617	0.306
NM_024923	chr3(.):13352736-13466809	0.3997
NM_014869	chr3(.):12933718-13013960	0.0963
NM_144636	chr3(.):14148576-14171371	0.7921
NM_001018009	chr3(.):15291356-15387901	0.2404
NM_152396	chr3(.):15446376-15474042	0.1728
NM_004844	chr3(.):15291356-15379104	0.2178
NM_003884	chr3(.):20076523-20200896	0.1949
NM_182666	chr3(.):23842438-23937807	0.4186
NM_014965	chr3(.):42196660-42259109	0.2383
NM_001042646	chr3(.):42127745-42272268	0.1462
NM_018075	chr3(.):43402817-43668560	0.0931
NM_001123396	chr3(.):46390234-46405868	2.6615
NM_001123041	chr3(.):46390234-46407413	2.4367
NM_025222	chr3(.):52283437-52317659	0.4117
NM_001128615	chr3(.):56756445-57118336	0.1307
NM_007114	chr3(.):69063977-69106484	0.1436
NM_001185106	chr3(.):111388522-111570294	0.0978
NM_001134437	chr3(.):111446326-111700364	0.0632
NM_032343	chr3(.):126418117-126684244	0.1661
NM_001001487	chr3(.):130608433-130740555	0.1139
NM_001199181	chr3(.):130564368-130727046	0.1866
NM_001199180	chr3(.):130564368-130740555	0.1777
NM_001199179	chr3(.):130607834-130727046	0.1188
NM_001001485	chr3(.):130607858-130740555	0.1138
NM_001199184	chr3(.):130607904-130727046	0.1188
NM_014382	chr3(.):130608291-130727046	0.1189
NM_001080412	chr3(.):141038054-141173632	0.4617
NM_173653	chr3(.):142979063-143572373	0.1147
NM_016275	chr3(.):150316065-150353234	0.9466
NM_005067	chr3(.):150453909-150486263	1.1336
NM_001190242	chr3(.):159969773-160106554	0.1007
NM_001190241	chr3(.):159969773-160122320	0.2635
NM_024665	chr3(.):176733541-176920048	0.6271
NM_178496	chr3(.):192509604-192640950	0.2284
NM_005524	chr3(.):193848933-193861396	1.9241
NM_001647	chr3(.):195290572-195316076	0.0988
NM_003670	chr3(.):5016096-5031865	1.775
NM_015453	chr3(.):9399716-9433475	0.1993
NM_001080517	chr3(.):9434402-9524838	0.3476
NM_024334	chr3(.):14161439-14190180	0.6072
NM_033083	chr3(.):15464063-15489120	0.1806
NR_027694	chr3(.):20016452-20058765	0.0517
NM_181472	chr3(.):32428162-32501333	0.4265
NM_014240	chr3(.):45631322-45727755	0.2976
NM_001295	chr3(.):46238199-46254832	0.9131
