GENE_ID	locusLine	bin_1_42_0EXU_0229Kronos_MM1S-KB-6hr-2_Input_hs_i86.bam
NM_006694	chr1(.):153941744-153955451	0.2022
NM_002870	chr1(.):153949127-153963806	0.2027
NM_014856	chr1(.):153896976-153924154	0.1639
NM_001030	chr1(.):153958238-153969631	0.2021
NM_006556	chr1(.):154892207-154914484	0.1976
NM_001130041	chr1(.):154929773-154951959	0.2315
NM_001130040	chr1(.):154929773-154948223	0.2324
NM_201398	chr1(.):154950769-154970587	0.179
NM_015872	chr1(.):154970111-154995999	0.176
NM_018655	chr1(.):154961061-154971791	0.155
NR_024163	chr1(.):154942117-154956725	0.2726
NM_138300	chr1(.):154924501-154939258	0.2638
NR_036212	chr1(.):154943168-154953259	0.2896
NM_001018017	chr1(.):155153299-155167700	0.1587
NM_198883	chr1(.):155173489-155188624	0.1763
NM_007112	chr1(.):155160378-155182690	0.1763
NR_030281	chr1(.):155159967-155170063	0.1547
NM_001005742	chr1(.):155199238-155219653	0.1926
NM_003993	chr1(.):155227658-155248281	0.2104
NM_181871	chr1(.):155254083-155275792	0.1453
NM_198264	chr1(.):155211995-155230274	0.2052
NM_052837	chr1(.):155220771-155237195	0.2089
NM_020897	chr1(.):155242373-155264638	0.1666
NM_001171812	chr1(.):155199238-155216066	0.204
NM_000157	chr1(.):155199238-155216069	0.204
NM_005698	chr1(.):155220769-155237195	0.2089
NM_000298	chr1(.):155254083-155276225	0.1474
NM_006912	chr1(.):155862600-155886177	0.1621
NM_001162384	chr1(.):155911629-155953336	0.2054
NM_181885	chr1(.):155906479-155917625	0.228
NM_004723	chr1(.):155911629-155952966	0.2062
NM_014949	chr1(.):155877835-155909188	0.2003
NR_002974	chr1(.):155884699-155894833	0.1762
NR_003005	chr1(.):155890748-155900877	0.2003
NM_003145	chr1(.):155973838-155995758	0.2126
NM_014655	chr1(.):156158729-156187587	0.2247
NM_007221	chr1(.):156177783-156214833	0.2182
NM_022367	chr1(.):156118321-156152542	0.2285
NM_001193302	chr1(.):156118368-156152542	0.2282
NM_001193301	chr1(.):156114734-156152542	0.231
NM_005920	chr1(.):156428518-156475529	0.2064
NM_198427	chr1(.):156606739-156628264	0.1667
NM_021817	chr1(.):156584085-156600517	0.1678
NM_021948	chr1(.):156606739-156634320	0.1873
NM_004494	chr1(.):156706898-156726543	0.2164
NM_001126051	chr1(.):156706898-156727024	0.2134
NM_001126050	chr1(.):156706898-156727240	0.2112
NM_030980	chr1(.):156687412-156702705	0.2151
NM_001878	chr1(.):156664407-156680375	0.1377
NM_001142560	chr1(.):156693262-156711752	0.2276
NM_145729	chr1(.):156702093-156715923	0.1921
NM_006617	chr1(.):156633555-156652189	0.1536
NR_001560	chr1(.):157093153-157103463	0.1744
NM_005240	chr1(.):157097975-157113177	0.2044
NM_001145312	chr1(.):157089458-157113383	0.1918
NM_004833	chr1(.):159027274-159051647	0.2259
NM_001778	chr1(.):160643535-160686585	0.2483
NM_003037	chr1(.):160574890-160622081	0.1851
NM_021181	chr1(.):160704076-160729601	0.226
NM_001077470	chr1(.):161194455-161213000	0.1917
NM_001039711	chr1(.):161085768-161107478	0.213
NM_016406	chr1(.):161118533-161133646	0.1836
NM_004550	chr1(.):161164104-161189184	0.2101
NM_000309	chr1(.):161131180-161146010	0.2161
NM_001643	chr1(.):161187082-161198418	0.2289
NM_003779	chr1(.):161136100-161152314	0.2554
NM_012475	chr1(.):161124253-161140516	0.2153
NM_001039712	chr1(.):161085768-161107256	0.2138
NM_032174	chr1(.):161190832-161205407	0.1994
NM_001166159	chr1(.):161166936-161189184	0.2136
NM_005099	chr1(.):161154537-161173845	0.2243
NM_004106	chr1(.):161180086-161194038	0.2003
NM_007240	chr1(.):161714580-161731952	0.1696
NR_030284	chr1(.):168339761-168349859	0.1311
NM_181093	chr1(.):169816803-169868076	0.1732
NM_002021	chr1(.):171212662-171260113	0.1731
NR_033186	chr1(.):178506930-178523024	0.1654
NM_016545	chr1(.):181052637-181064979	0.2182
NM_001127651	chr1(.):183519696-183565056	0.1847
NM_203454	chr1(.):183610410-183627448	0.1851
NM_001190794	chr1(.):183519696-183564739	0.1853
NM_005717	chr1(.):183590331-183609985	0.2064
NM_030934	chr1(.):185082217-185131116	0.1646
NM_002927	chr1(.):192600281-192634389	0.1418
NM_002922	chr1(.):192539856-192554159	0.2495
NM_001195216	chr1(.):197698138-197749623	0.1913
NM_001031725	chr1(.):200608164-200644126	0.1666
NM_005298	chr1(.):200837165-200848251	0.1397
NM_018265	chr1(.):200855638-200889864	0.1847
NM_001142569	chr1(.):200858998-200889864	0.1802
NM_017596	chr1(.):200933519-200997828	0.1777
NR_034150	chr1(.):203262885-203279453	0.2831
NM_003465	chr1(.):203180206-203203860	0.1536
NM_006763	chr1(.):203269663-203283729	0.267
NM_002023	chr1(.):203304751-203325289	0.1929
NM_002646	chr1(.):204386757-204464474	0.1631
NM_002393	chr1(.):204480510-204532248	0.2015
NM_014858	chr1(.):205192037-205247471	0.1908
NM_018203	chr1(.):205300647-205331039	0.1713
NM_030952	chr1(.):205266190-205295883	0.2019
NM_001123168	chr1(.):206133910-206160074	0.1953
NM_001007544	chr1(.):206233871-206293647	0.1907
NM_148964	chr1(.):206312458-206337104	0.1382
NM_006893	chr1(.):206759973-206790904	0.1582
NM_182665	chr1(.):206725491-206767616	0.2275
NM_000572	chr1(.):206935947-206950839	0.2152
NM_013371	chr1(.):206997221-207021325	0.1896
NM_001185157	chr1(.):207065787-207082484	0.1576
NM_153758	chr1(.):206967214-207021324	0.205
NM_018724	chr1(.):207034153-207047568	0.1567
NM_002644	chr1(.):207096866-207124811	0.1794
NM_001170631	chr1(.):207126311-207148970	0.1536
NR_026817	chr1(.):207986723-208000941	0.2335
NR_029832	chr1(.):207970196-207980284	0.1941
NR_029518	chr1(.):207970787-207980868	0.2035
NM_152485	chr1(.):209950661-209962890	0.2206
NM_005525	chr1(.):209873190-209913295	0.1623
NM_025228	chr1(.):209924393-209960668	0.2292
NM_183059	chr1(.):211644863-211671259	0.1445
NM_021194	chr1(.):211743380-211757099	0.2423
NM_001136475	chr1(.):213118886-213169927	0.16
NM_001748	chr1(.):223895118-223968720	0.1717
NM_001146068	chr1(.):223884294-223968720	0.1719
NM_001136018	chr1(.):225992796-226038262	0.1667
NM_000120	chr1(.):226008001-226038262	0.1675
NM_020997	chr1(.):226068981-226081836	0.1543
NM_014698	chr1(.):226028232-226075420	0.1974
NM_013328	chr1(.):226102579-226116965	0.1857
NM_001618	chr1(.):226543391-226600801	0.1938
NM_181441	chr1(.):228289379-228302013	0.2204
NR_037415	chr1(.):228279963-228290042	0.1723
NM_001024227	chr1(.):228265850-228291913	0.2109
NM_001024226	chr1(.):228265360-228291913	0.209
NM_024319	chr1(.):228283427-228296022	0.1831
NM_001159390	chr1(.):228322928-228341655	0.1447
NM_182972	chr1(.):234735014-234750271	0.2417
NR_033927	chr1(.):234760056-234775526	0.1476
NM_173858	chr1(.):247414373-247425447	0.1225
NR_037480	chr1(.):247360268-247370362	0.1501
NM_030645	chr1(.):249099650-249125154	0.1945
NM_024836	chr1(.):249127529-249148714	0.1811
NM_001136036	chr1(.):249139202-249158125	0.2049
NM_001193328	chr1(.):249139202-249158315	0.2045
NR_036070	chr1(.):249115575-249125642	0.2182
NM_015535	chr2(.):201165603-201351986	0.1224
NM_001100422	chr2(.):201165984-201351986	0.1225
NM_001100423	chr2(.):201166355-201351986	0.1227
NM_014600	chr2(.):31451879-31496260	0.0971
NM_001083590	chr2(.):27250773-27269565	0.1176
NM_020458	chr2(.):47163312-47308275	0.1298
NR_033872	chr2(.):70184394-70319147	0.1163
NM_032827	chr2(.):85975908-86023506	0.0956
NR_015395	chr2(.):112119590-112257692	0.1296
NR_024373	chr2(.):112181885-112257692	0.1437
NM_001099289	chr2(.):109740996-110267207	0.0944
NM_020760	chr2(.):197058976-197462335	0.1182
NM_015488	chr2(.):219130114-219216516	0.1149
NM_022152	chr2(.):219133916-219162280	0.1438
NM_001012514	chr2(.):231724620-231748963	0.0786
NM_145693	chr2(.):11881739-11972533	0.1296
NM_183360	chr2(.):25595111-25901503	0.1159
NM_170672	chr2(.):33656415-33794798	0.1198
NM_005813	chr2(.):37472645-37549222	0.1612
NM_006449	chr2(.):37865742-37904326	0.1518
NM_005633	chr2(.):39203689-39352604	0.1134
NM_019063	chr2(.):42391489-42564688	0.1157
NM_001083953	chr2(.):43452974-43828113	0.1092
NM_022065	chr2(.):43452974-43828185	0.1092
NM_012249	chr2(.):46764866-46816827	0.1399
NM_178313	chr2(.):54780530-54894445	0.1307
NM_003128	chr2(.):54678453-54903583	0.126
NM_022893	chr2(.):60679328-60785633	0.1033
NM_018014	chr2(.):60673301-60785633	0.1039
NM_014755	chr2(.):64853754-64886046	0.1472
NR_036586	chr2(.):65123973-65164581	0.159
NM_002398	chr2(.):66657531-66804891	0.1032
NM_003896	chr2(.):86061270-86121157	0.1336
NR_024204	chr2(.):87749973-87826030	0.1427
NM_004836	chr2(.):88851258-88932094	0.1358
NM_144563	chr2(.):88986175-89055452	0.122
NM_020151	chr2(.):96845602-96879573	0.1276
NM_004027	chr2(.):99056320-99212496	0.1467
NM_001566	chr2(.):99056320-99203284	0.1484
NM_003581	chr2(.):106356519-106515730	0.1245
NM_001193483	chr2(.):109145856-109308702	0.1269
NM_001017927	chr2(.):120055019-120129258	0.108
NM_002410	chr2(.):135006829-135211468	0.1245
NM_024770	chr2(.):172168912-172296312	0.1192
NM_001077269	chr2(.):175419301-175552627	0.1255
NR_024415	chr2(.):192537797-192558248	0.1644
NM_001031716	chr2(.):192537860-192558248	0.1642
NM_004226	chr2(.):196993306-197041336	0.1508
NM_153697	chr2(.):197959194-198180521	0.1255
NM_001195144	chr2(.):197846385-198180521	0.1201
NM_001228	chr2(.):202093165-202157434	0.1465
NM_003879	chr2(.):201975889-202034003	0.1414
NM_001127184	chr2(.):201975815-202011323	0.1536
NM_173822	chr2(.):201833440-201941392	0.1148
NM_033358	chr2(.):202093165-202151638	0.1488
NM_003709	chr2(.):207940528-208035614	0.1134
NM_001167608	chr2(.):227695670-227868923	0.1154
NM_022730	chr2(.):232646161-232678434	0.0585
NM_001017915	chr2(.):233920035-234121549	0.042
NM_005737	chr2(.):235396685-235410693	0.082
NM_001137551	chr2(.):238595806-238695290	0.059
NM_001137550	chr2(.):238531223-238695290	0.0565
NM_017844	chr2(.):241413838-241502405	0.0488
NM_001195381	chr2(.):241539824-241575676	0.0483
NM_003108	chr2(.):5827798-5846517	0.0971
NM_002166	chr2(.):8817112-8829583	0.1291
NM_002997	chr2(.):20395557-20429927	0.1535
NM_001006946	chr2(.):20395557-20430194	0.1529
NM_004040	chr2(.):20641834-20654201	0.1366
NM_178553	chr2(.):27354714-27367332	0.1249
NM_007046	chr2(.):27296434-27314265	0.143
NM_001166239	chr2(.):27318461-27346773	0.1103
NM_001166240	chr2(.):27317220-27346995	0.1136
NM_013388	chr2(.):27348624-27362542	0.116
NM_006488	chr2(.):27304610-27328619	0.1227
NM_001035507	chr2(.):27269490-27287403	0.1386
NM_021831	chr2(.):27269490-27298490	0.1432
NM_001166241	chr2(.):27317220-27338970	0.1117
NM_032604	chr2(.):27341656-27358680	0.1339
NM_175769	chr2(.):27366944-27380819	0.1375
NM_001134693	chr2(.):27288341-27299567	0.1562
NM_080592	chr2(.):27429898-27445046	0.1524
NM_001170795	chr2(.):27430218-27445046	0.153
NM_004341	chr2(.):27435257-27471654	0.1299
NM_021095	chr2(.):27417454-27440175	0.1283
NM_001145122	chr2(.):31390921-31445411	0.1084
NM_015376	chr2(.):33733941-33794798	0.1151
NM_001139488	chr2(.):33696320-33794798	0.1309
NM_012413	chr2(.):37566752-37605465	0.1799
NM_138370	chr2(.):42270160-42290668	0.0882
NM_006887	chr2(.):43444540-43458745	0.172
NR_027251	chr2(.):43449349-43460994	0.1339
NM_080653	chr2(.):46733985-46752096	0.0974
NM_173074	chr2(.):46803412-46849251	0.113
NM_014171	chr2(.):46839324-46857881	0.118
NM_001171507	chr2(.):47124008-47148251	0.1195
NM_001171506	chr2(.):47124008-47148007	0.1195
NM_001171508	chr2(.):47124008-47173994	0.1241
NR_002229	chr2(.):54751358-54761978	0.1418
NR_033837	chr2(.):64407212-64437619	0.145
NR_034023	chr2(.):64829445-64848616	0.1228
NM_001193493	chr2(.):65210578-65256000	0.1285
NM_003038	chr2(.):65211494-65256000	0.1278
NM_181784	chr2(.):65532984-65664656	0.1208
NM_001128210	chr2(.):65532984-65598931	0.1063
NM_001111101	chr2(.):68506302-68552183	0.1092
NM_002664	chr2(.):68587321-68629585	0.1247
NM_173545	chr2(.):68689690-68812294	0.1105
NM_001024680	chr2(.):68684504-68699390	0.1542
NM_014882	chr2(.):68996932-69058957	0.1174
NM_001166277	chr2(.):68956912-69058957	0.1284
NM_014482	chr2(.):69087612-69103649	0.0846
NM_006196	chr2(.):70309584-70321334	0.2095
NR_024444	chr2(.):70346167-70357448	0.149
NM_006433	chr2(.):85916413-85930875	0.127
NM_198843	chr2(.):85879439-85900864	0.1025
NM_001042437	chr2(.):86061271-86099793	0.1301
NM_015425	chr2(.):86248450-86338278	0.1323
NM_017952	chr2(.):86328304-86374280	0.127
NR_026984	chr2(.):86242338-86255991	0.1062
NR_015424	chr2(.):89060418-89111109	0.1545
NM_001193304	chr2(.):96910945-96936751	0.1492
NM_001037228	chr2(.):96900976-96912701	0.1756
NM_004804	chr2(.):96926883-96944900	0.1362
NR_026875	chr2(.):97158382-97178846	0.1355
NM_212481	chr2(.):97197463-97223371	0.1483
NM_001193484	chr2(.):109232701-109308702	0.1222
NM_001193482	chr2(.):109218616-109308702	0.126
NM_001193488	chr2(.):109199921-109308702	0.1301
NM_004987	chr2(.):109199766-109308702	0.1301
NM_002101	chr2(.):127408683-127459246	0.1039
NR_024275	chr2(.):135201959-135217192	0.1114
NM_004288	chr2(.):158266130-158305604	0.1601
NM_000210	chr2(.):173287313-173376181	0.1252
NM_002610	chr2(.):173415778-173468862	0.1343
NM_003387	chr2(.):175419301-175504307	0.1347
NM_152517	chr2(.):178409880-178422524	0.1381
NM_002491	chr2(.):201931461-201955473	0.1127
NM_001127183	chr2(.):201978386-202033841	0.1436
NM_032974	chr2(.):202042620-202099110	0.1504
NM_001230	chr2(.):202042620-202091383	0.1454
NM_033356	chr2(.):202120222-202157434	0.1315
NM_001080125	chr2(.):202117753-202157434	0.1361
NM_006139	chr2(.):204566197-204607557	0.1569
NR_036227	chr2(.):207969710-207979797	0.1085
NM_152862	chr2(.):219076873-219124071	0.1354
NM_000634	chr2(.):219022567-219036716	0.1
NM_001077194	chr2(.):219120737-219133582	0.1184
NM_005731	chr2(.):219077119-219124071	0.136
NM_001087	chr2(.):219123851-219139893	0.1228
NM_022572	chr2(.):219182901-219216516	0.0968
NM_017431	chr2(.):219682105-219701512	0.0989
NM_025216	chr2(.):219740254-219763651	0.1719
NM_006522	chr2(.):219719545-219743954	0.0976
NM_005544	chr2(.):227591032-227668506	0.1134
NM_001099285	chr2(.):232568234-232583250	0.0945
NM_002601	chr2(.):232592146-232650974	0.0597
NR_036052	chr2(.):232573023-232583105	0.0898
NR_031717	chr2(.):232751951-232762008	0.0478
NM_005383	chr2(.):233892381-233904767	0.0436
NM_018218	chr2(.):234379164-234479236	0.0609
NM_004735	chr2(.):238595806-238679558	0.0592
NM_022817	chr2(.):239147678-239202207	0.0568
NR_026923	chr2(.):239135326-239147985	0.0543
NM_001142853	chr2(.):239141907-239153681	0.0625
NR_026926	chr2(.):239128753-239145318	0.05
NM_023083	chr2(.):241521132-241543526	0.0537
NM_001033575	chr2(.):241494470-241508431	0.0722
NM_018226	chr2(.):241503103-241523143	0.0644
NM_015303	chr3(.):184524930-184775402	0.1611
NM_014674	chr3(.):5224358-5266650	0.1527
NM_001195099	chr3(.):15703743-15803058	0.1159
NM_001195098	chr3(.):15703743-15844691	0.1195
NM_015199	chr3(.):15703743-15906053	0.1186
NM_015576	chr3(.):55537335-56507391	0.0938
NM_002841	chr3(.):61542242-62285573	0.103
NM_016128	chr3(.):128963452-129001616	0.1346
NM_003571	chr3(.):133113789-133199056	0.1297
NM_207294	chr3(.):152012193-152188569	0.1242
NM_003471	chr3(.):155855750-156261927	0.1573
NM_021038	chr3(.):151980828-152188568	0.1293
NM_172159	chr3(.):156003775-156261927	0.164
NM_172160	chr3(.):155833336-156261927	0.1566
NM_207015	chr3(.):174572110-175528428	0.1431
NM_001135095	chr3(.):171753343-172123492	0.1799
NM_022763	chr3(.):171752417-172123492	0.18
NM_181361	chr3(.):178249223-178567217	0.1456
NR_004053	chr3(.):181323150-181464005	0.1416
NM_001134382	chr3(.):12933718-13119617	0.1181
NM_024923	chr3(.):13352736-13466809	0.1134
NM_014869	chr3(.):12933718-13013960	0.1017
NM_144636	chr3(.):14148576-14171371	0.1442
NM_001184958	chr3(.):14711605-14819543	0.1161
NM_001134381	chr3(.):17193653-17746512	0.1022
NM_014744	chr3(.):17193653-17787399	0.1026
NM_001134380	chr3(.):17193653-17789240	0.1026
NM_003884	chr3(.):20076523-20200896	0.11
NM_182666	chr3(.):23842438-23937807	0.1173
NM_001145293	chr3(.):25755434-25829989	0.1119
NM_001145294	chr3(.):25755434-25836530	0.1158
NM_001024847	chr3(.):30642993-30740633	0.1292
NM_001123396	chr3(.):46390234-46405868	0.1423
NM_001123041	chr3(.):46390234-46407413	0.1417
NM_181042	chr3(.):52574367-52718739	0.1026
NM_018313	chr3(.):52574367-52724866	0.1045
NM_001128615	chr3(.):56756445-57118336	0.1078
NM_015541	chr3(.):66424220-66555845	0.1131
NM_007114	chr3(.):69063977-69106484	0.1227
NM_000097	chr3(.):98293289-98317455	0.1219
NM_001185106	chr3(.):111388522-111570294	0.0991
NM_001134437	chr3(.):111446326-111700364	0.0993
NM_001009899	chr3(.):113362232-113420493	0.1107
NM_001690	chr3(.):113460865-113535905	0.1158
NM_002213	chr3(.):124476794-124611144	0.116
NM_032343	chr3(.):126418117-126684244	0.1002
NM_001001487	chr3(.):130608433-130740555	0.1138
NM_001199181	chr3(.):130564368-130727046	0.1149
NM_001199180	chr3(.):130564368-130740555	0.1146
NM_001199179	chr3(.):130607834-130727046	0.114
NM_001001485	chr3(.):130607858-130740555	0.1138
NM_001199184	chr3(.):130607904-130727046	0.114
NM_014382	chr3(.):130608291-130727046	0.114
NM_001134422	chr3(.):133287433-133314118	0.144
NM_001134423	chr3(.):133288300-133314118	0.1468
NM_001080412	chr3(.):141038054-141173632	0.1704
NM_173653	chr3(.):142979063-143572373	0.1062
NM_016275	chr3(.):150316065-150353234	0.1408
NM_005067	chr3(.):150453909-150486263	0.1388
NM_001193283	chr3(.):156539147-156648045	0.1447
NM_001004316	chr3(.):156539095-156768918	0.1495
NM_001190242	chr3(.):159969773-160106554	0.1494
NM_001190241	chr3(.):159969773-160122320	0.1569
NM_024665	chr3(.):176733541-176920048	0.1867
NM_005832	chr3(.):178271617-178567217	0.1441
NM_130446	chr3(.):183200318-183278499	0.236
NM_173216	chr3(.):186643314-186801341	0.1976
NM_003032	chr3(.):186734664-186801341	0.2077
NM_174908	chr3(.):191041873-191121459	0.1664
NM_005524	chr3(.):193848933-193861396	0.2041
NM_003670	chr3(.):5016096-5031865	0.1344
NM_018184	chr3(.):5158929-5227601	0.1122
NM_015931	chr3(.):8656319-8698737	0.0976
NM_024334	chr3(.):14161439-14190180	0.1346
NM_016474	chr3(.):14688252-14719166	0.1239
NR_027694	chr3(.):20016452-20058765	0.0968
NR_034055	chr3(.):25895022-25920186	0.1142
