GENE_ID	locusLine	bin_1_41_0EXT_0229Kronos_MM1S-KB-6hr-1_Input_hs_i85.bam
NM_001145210	chr1(.):1348799-1361650	0.0812
NM_001146685	chr1(.):1356507-1368167	0.0672
NM_017971	chr1(.):1332275-1347693	0.1424
NM_001039211	chr1(.):1380068-1410538	0.1029
NM_002074	chr1(.):1711728-1827495	0.1099
NM_138705	chr1(.):1841265-1853733	0.0973
NM_178545	chr1(.):1844028-1855740	0.0878
NM_000815	chr1(.):1945767-1967192	0.0715
NM_001080484	chr1(.):1879751-1940276	0.0784
NM_001146310	chr1(.):2110898-2144172	0.0892
NM_182533	chr1(.):2115987-2131214	0.0946
NR_024445	chr1(.):2115481-2130024	0.0906
NM_007033	chr1(.):2318213-2341885	0.1026
NM_002617	chr1(.):2331240-2349010	0.1085
NR_024489	chr1(.):2276852-2289100	0.0905
NM_024848	chr1(.):2247695-2327993	0.0883
NM_014638	chr1(.):2402753-2441964	0.0698
NM_001010926	chr1(.):2455183-2466684	0.0761
NR_026927	chr1(.):2476358-2489284	0.1321
NM_018216	chr1(.):2434974-2463035	0.0775
NM_001195741	chr1(.):2513188-2527908	0.0709
NR_036638	chr1(.):2512898-2527908	0.0718
NR_024371	chr1(.):2975635-2989289	0.0394
NM_080431	chr1(.):2933045-2944467	0.0796
NR_036215	chr1(.):3039538-3049599	0.0497
NM_014448	chr1(.):3366146-3402677	0.0673
NR_030277	chr1(.):3472259-3482354	0.0746
NM_182752	chr1(.):3536555-3551694	0.1095
NM_005427	chr1(.):3564128-3655467	0.0774
NM_017818	chr1(.):3542330-3571671	0.097
NM_015557	chr1(.):6156846-6245194	0.0879
NM_207396	chr1(.):6261188-6286359	0.0929
NM_000983	chr1(.):6240079-6264679	0.1096
NM_207370	chr1(.):6302405-6326035	0.0812
NM_001024598	chr1(.):6299251-6310638	0.0837
NM_020631	chr1(.):6521151-6556760	0.0919
NM_003790	chr1(.):6516213-6531255	0.0666
NM_001039664	chr1(.):6519170-6531255	0.0706
NM_019089	chr1(.):6470293-6484979	0.0985
NM_031475	chr1(.):6479847-6526004	0.0797
NM_001042665	chr1(.):6521151-6551014	0.0866
NM_001042664	chr1(.):6521151-6555640	0.0918
NR_036218	chr1(.):6484893-6494956	0.0807
NM_177540	chr1(.):6610337-6644817	0.0999
NM_024654	chr1(.):6576406-6619658	0.1042
NM_001010866	chr1(.):9643931-9670020	0.0932
NM_005026	chr1(.):9706789-9794172	0.0931
NR_027045	chr1(.):9707667-9719644	0.083
NM_020780	chr1(.):11534294-11602640	0.0862
NM_001127325	chr1(.):11729536-11756678	0.0957
NM_006341	chr1(.):11729536-11746271	0.0901
NM_018438	chr1(.):11719149-11739409	0.0855
NM_183412	chr1(.):11709431-11728384	0.0946
NM_012168	chr1(.):11703447-11719739	0.091
NM_033182	chr1(.):11709913-11728384	0.0937
NM_198545	chr1(.):11746780-11785336	0.0977
NM_006172	chr1(.):11900766-11912840	0.0931
NM_002521	chr1(.):11912520-11923992	0.1011
NM_000302	chr1(.):11989745-12040594	0.0954
NM_138346	chr1(.):11975122-11991480	0.112
NM_003443	chr1(.):16263363-16307627	0.0982
NM_001165945	chr1(.):16370283-16388803	0.087
NM_001042704	chr1(.):16343485-16365545	0.0745
NM_178840	chr1(.):16325730-16338184	0.091
NM_000085	chr1(.):16365246-16388803	0.0863
NM_014424	chr1(.):16335522-16350285	0.0832
NM_182623	chr1(.):16379263-16405127	0.0977
NM_004431	chr1(.):16445831-16487582	0.0803
NM_153213	chr1(.):16519598-16544104	0.0939
NR_027504	chr1(.):16967068-16981915	0.4349
NR_002729	chr1(.):17076400-17095975	0.2459
NM_003000	chr1(.):17340224-17385665	0.1163
NM_016233	chr1(.):17570592-17615727	0.0892
NM_207421	chr1(.):17693740-17733195	0.0932
NM_001136204	chr1(.):17728250-17770057	0.0957
NM_018715	chr1(.):17728250-17771220	0.0952
NM_152232	chr1(.):19161092-19191155	0.0846
NM_001122819	chr1(.):20985506-21049317	0.1129
NM_005216	chr1(.):20973259-20993037	0.1149
NM_001103161	chr1(.):21041224-21064133	0.1087
NM_002885	chr1(.):21917707-22000856	0.0873
NM_001145658	chr1(.):21917707-21983348	0.087
NM_020526	chr1(.):22885003-22935087	0.0831
NM_001006943	chr1(.):22885003-22921112	0.0858
NM_001114101	chr1(.):22965117-22979603	0.09
NM_015991	chr1(.):22958117-22971175	0.0883
NR_036214	chr1(.):23184651-23194719	0.0922
NR_033688	chr1(.):32090462-32115218	0.1238
NM_012392	chr1(.):32090462-32115838	0.1246
NM_001856	chr1(.):32112847-32174768	0.0968
NM_016178	chr1(.):151734130-151748806	0.1713
NM_031420	chr1(.):151727122-151741040	0.1793
NM_001144956	chr1(.):151689012-151707082	0.1783
NM_007185	chr1(.):151667533-151694290	0.1746
NM_001172648	chr1(.):151667533-151693792	0.175
NM_001172649	chr1(.):151667533-151693882	0.1751
NM_001134939	chr1(.):151730444-151748806	0.1691
NM_001018017	chr1(.):155153299-155167700	0.1455
NM_198883	chr1(.):155173489-155188624	0.1801
NM_018973	chr1(.):155107366-155117883	0.2176
NM_153741	chr1(.):155107366-155117996	0.2165
NM_173852	chr1(.):155136883-155150804	0.1913
NM_004428	chr1(.):155095348-155112386	0.1922
NM_007112	chr1(.):155160378-155182690	0.1674
NM_001122837	chr1(.):155103287-155116334	0.2158
NM_025058	chr1(.):155141359-155162445	0.163
NR_030281	chr1(.):155159967-155170063	0.1418
NM_001005742	chr1(.):155199238-155219653	0.1917
NM_001171812	chr1(.):155199238-155216066	0.2001
NM_000157	chr1(.):155199238-155216069	0.2001
NM_006365	chr1(.):156369054-156404184	0.154
NR_029691	chr1(.):156385132-156395221	0.1913
NM_198427	chr1(.):156606739-156628264	0.1769
NM_030980	chr1(.):156687412-156702705	0.218
NM_001878	chr1(.):156664407-156680375	0.1333
NM_001142560	chr1(.):156693262-156711752	0.2163
NM_145729	chr1(.):156702093-156715923	0.1598
NM_006617	chr1(.):156633555-156652189	0.1518
NM_001012331	chr1(.):156825670-156856642	0.1505
NM_003975	chr1(.):156771034-156791640	0.1641
NM_001080471	chr1(.):156858522-156891226	0.1463
NM_014215	chr1(.):156805664-156833666	0.1469
NM_001161443	chr1(.):156771034-156790939	0.1647
NM_001007792	chr1(.):156780541-156856642	0.1502
NR_030527	chr1(.):156900922-156911036	0.1414
NM_020204	chr1(.):197881516-197904273	0.1605
NM_001024594	chr1(.):197866681-197881497	0.1716
NM_001014434	chr1(.):197876634-197904273	0.1626
NM_001001432	chr1(.):201323141-201351805	0.1381
NM_003281	chr1(.):201367894-201395874	0.1358
NM_005558	chr1(.):201344965-201373669	0.141
NM_080588	chr1(.):202111142-202134119	0.1784
NR_002930	chr1(.):202132178-202163577	0.1262
NM_002832	chr1(.):202111142-202134751	0.1764
NM_001160331	chr1(.):204908353-204996950	0.1521
NM_005076	chr1(.):205007339-205052138	0.1365
NR_002834	chr1(.):228775656-228793159	0.2791
NM_194248	chr2(.):26675070-26786566	0.0966
NM_001080527	chr2(.):128288377-128400303	0.0992
NM_052902	chr2(.):220457595-220486173	0.0973
NM_005876	chr2(.):220294699-220363354	0.0891
NM_001029881	chr2(.):26799072-26869211	0.1071
NM_001105519	chr2(.):26780480-26807395	0.1172
NM_001161417	chr2(.):128398438-128415213	0.0881
NM_001161403	chr2(.):128390995-128437764	0.0792
NR_027823	chr2(.):128390995-128410753	0.0774
NM_001161404	chr2(.):128390995-128444360	0.0785
NM_017980	chr2(.):128390995-128427167	0.0773
NR_015390	chr2(.):219836005-219847644	0.1011
NM_057093	chr2(.):219849911-219863127	0.0986
NR_029867	chr2(.):219861366-219871430	0.0899
NM_152389	chr2(.):219893413-219911245	0.1053
NM_194302	chr2(.):219862575-219911245	0.0965
NM_003936	chr2(.):219819397-219831877	0.089
NM_005209	chr2(.):219849911-219863121	0.0987
NM_017521	chr2(.):219840808-219855379	0.092
NM_001173476	chr2(.):220320533-220336584	0.0862
NM_001927	chr2(.):220278098-220296461	0.0712
NM_013335	chr2(.):220358586-220376718	0.0904
NM_001005209	chr2(.):220403744-220420317	0.0841
NM_018674	chr2(.):220373891-220408494	0.0851
NM_015311	chr2(.):220410449-220441268	0.0756
NM_205847	chr2(.):220358616-220376718	0.0904
NM_024536	chr2(.):220398668-220413487	0.0874
NM_002191	chr2(.):220431953-220445427	0.0826
NR_036082	chr2(.):220408794-220418869	0.0723
NM_001195731	chr2(.):220398668-220412819	0.0848
NM_201574	chr2(.):220487291-220511702	0.0929
NM_001165035	chr3(.):13605239-13684922	0.0827
NM_001998	chr3(.):13585624-13684922	0.0811
NR_027103	chr3(.):13687220-13793132	0.0912
NM_000094	chr3(.):48596505-48637593	0.0943
NM_004186	chr3(.):50187847-50231508	0.0893
NM_001174051	chr3(.):50395230-50545892	0.0908
NM_004443	chr3(.):184274586-184305196	0.1452
NM_004567	chr3(.):48550116-48599227	0.1112
NR_031756	chr3(.):48611334-48621410	0.0987
NM_033199	chr3(.):48594150-48606201	0.1266
NM_001008269	chr3(.):48653274-48664189	0.0933
NM_022911	chr3(.):48658155-48677926	0.1118
NM_001040454	chr3(.):48658155-48676279	0.1117
NM_003365	chr3(.):48631431-48652098	0.1182
NM_001166425	chr3(.):50279325-50301786	0.1337
NM_006841	chr3(.):50237691-50263406	0.0914
NM_002070	chr3(.):50268646-50301786	0.1332
NM_000172	chr3(.):50224042-50240129	0.1119
NM_006545	chr3(.):50379918-50393486	0.1544
NM_007182	chr3(.):50362216-50383367	0.1387
NM_007022	chr3(.):50383296-50396496	0.1562
NM_007024	chr3(.):50387179-50401939	0.1487
NM_015896	chr3(.):50373536-50388156	0.1473
NM_170712	chr3(.):50362216-50380664	0.1409
NM_170713	chr3(.):50362216-50379895	0.1433
NM_016173	chr3(.):50601908-50627421	0.1159
NM_001171743	chr3(.):50590455-50610223	0.1311
NM_001171741	chr3(.):50590455-50613458	0.1277
NM_153330	chr3(.):128176281-128191091	0.104
NR_026954	chr3(.):128221677-128234429	0.0913
NM_032638	chr3(.):128193264-128217030	0.0977
NM_001145662	chr3(.):128193264-128211764	0.0939
NM_001145661	chr3(.):128193264-128212373	0.0929
NM_138345	chr3(.):183943316-183965117	0.1458
NM_014693	chr3(.):183962444-184015819	0.1514
NM_005787	chr3(.):183955116-183971759	0.1716
NM_001037324	chr3(.):183988798-184015819	0.1497
NM_033259	chr3(.):183972002-183984251	0.1246
NM_018358	chr3(.):183898862-183916795	0.1666
NR_030410	chr3(.):183954192-183964277	0.1354
NM_001006941	chr3(.):183955116-183972313	0.169
NM_004532	chr3(.):195468637-195544148	0.1552
NM_020777	chr4(.):7189373-7749564	0.0727
NM_006527	chr4(.):1689526-1719030	0.1255
NM_012318	chr4(.):1808205-1862974	0.0977
NM_020416	chr4(.):6317304-6479326	0.0833
NM_001130088	chr4(.):8003747-8165559	0.0731
NM_001130084	chr4(.):7962036-8165559	0.0733
NM_001163213	chr4(.):1790038-1815599	0.0645
NM_001127266	chr4(.):1712678-1728084	0.1372
NM_006342	chr4(.):1718265-1751897	0.1041
NM_001528	chr4(.):3438725-3456213	0.0783
NM_173660	chr4(.):3460032-3501209	0.0859
NM_002337	chr4(.):3509289-3539224	0.0826
NM_000683	chr4(.):3763295-3775253	0.0651
NR_034136	chr4(.):3670319-3684582	0.064
NM_181876	chr4(.):6317304-6388597	0.0867
NR_027441	chr4(.):7094150-7110103	0.0955
NM_001085382	chr4(.):7427020-7441700	0.0773
NR_036238	chr4(.):7456754-7466845	0.0775
NM_001014448	chr4(.):8589386-8626488	0.0705
NM_080819	chr4(.):8577290-8594520	0.077
NM_018942	chr4(.):8863772-8878543	0.0572
NM_001105662	chr4(.):9240604-9252197	0.3646
NM_001105662	chr4(.):9254849-9266442	0.2916
NM_001105662	chr4(.):9264344-9275937	0.244
NM_001105662	chr4(.):9212130-9223723	0.2871
NM_001105662	chr4(.):9359854-9371447	0.2929
NR_027279	chr4(.):9364599-9375796	0.2049
NM_001105662	chr4(.):9326636-9338229	0.2783
NM_001105662	chr4(.):9336128-9347721	0.2899
NM_001105662	chr4(.):9350363-9361956	0.3096
NM_001105662	chr4(.):9355108-9366701	0.292
NM_133369	chr5(.):176232559-176312899	0.095
NR_003713	chr5(.):1592671-1639120	0.1093
NR_036240	chr5(.):1703899-1713983	0.0754
NM_001006616	chr5(.):176069387-176091059	0.1051
NM_002115	chr5(.):176302869-176331333	0.0947
NM_004197	chr6(.):31976517-31986961	0.1204
NM_000841	chr6(.):33984627-34106443	0.0889
NM_152554	chr6(.):2617971-2640298	0.1117
NM_005516	chr6(.):30452182-30466982	0.1136
NR_001284	chr6(.):31971196-31985800	0.1214
NR_026717	chr6(.):31933951-31954223	0.103
NM_005510	chr6(.):31932587-31945032	0.1165
NM_001002029	chr6(.):31944833-31975458	0.1005
NM_032470	chr6(.):31971196-31986050	0.1204
NM_006929	chr6(.):31921580-31942532	0.1333
NM_000500	chr6(.):31968347-31981684	0.1151
NM_007293	chr6(.):31944833-31975457	0.1005
NM_002904	chr6(.):31914863-31931864	0.122
NM_004197	chr6(.):31934645-31954223	0.1034
NR_031601	chr6(.):31919615-31929717	0.1296
NM_001710	chr6(.):31908720-31924861	0.1022
NM_001002029	chr6(.):31977571-32008195	0.1126
NM_000500	chr6(.):32001081-32014419	0.1036
NM_019105	chr6(.):32003931-32082151	0.0987
NM_032470	chr6(.):32003931-32018905	0.0986
NM_007293	chr6(.):31977571-32008194	0.1126
NR_031681	chr6(.):33962748-33972828	0.093
NM_005586	chr6(.):41601194-41626982	0.086
NM_130843	chr7(.):157326749-158385482	0.1163
NM_001100390	chr7(.):2593631-2659368	0.0942
NM_133463	chr7(.):2714162-2760069	0.0924
NM_003088	chr7(.):5627453-5651286	0.0793
NM_172084	chr7(.):44251748-44370230	0.0941
NM_004444	chr7(.):100395186-100430143	0.0886
NM_001099220	chr7(.):149530508-149569568	0.1611
NM_001098834	chr7(.):150840675-150869867	0.1511
NM_001103176	chr7(.):155288952-155331539	0.1115
NM_006869	chr7(.):932536-999289	0.0753
NM_017781	chr7(.):1017834-1034276	0.0775
NM_001031617	chr7(.):999485-1020235	0.0999
NR_029898	chr7(.):1057568-1067662	0.0981
NM_182924	chr7(.):1468994-1504109	0.073
NM_001134340	chr7(.):1601969-1614668	0.0948
NM_032302	chr7(.):1601969-1614629	0.0949
NR_027328	chr7(.):1604708-1634261	0.1021
NM_001097620	chr7(.):1576870-1601066	0.0721
NR_001288	chr7(.):1649105-1661328	0.0527
NM_002304	chr7(.):2552496-2573063	0.0887
NM_152743	chr7(.):2572443-2600392	0.1012
NM_001166355	chr7(.):2547162-2573063	0.0907
NM_001040168	chr7(.):2554478-2573810	0.085
NM_025250	chr7(.):2666602-2709436	0.0681
NR_002795	chr7(.):27220026-27233912	0.0711
NM_000522	chr7(.):27231498-27244725	0.1075
NM_002141	chr7(.):27163125-27175399	0.1003
NM_153631	chr7(.):27140808-27171639	0.0813
NM_005523	chr7(.):27215775-27229835	0.0754
NM_006896	chr7(.):27188337-27201296	0.1222
NM_019102	chr7(.):27175995-27188287	0.063
NM_024014	chr7(.):27180115-27192368	0.0735
NM_030661	chr7(.):27140808-27164214	0.0745
NM_006735	chr7(.):27134972-27147394	0.0961
NM_018951	chr7(.):27205209-27218955	0.0991
NM_153715	chr7(.):27205209-27224876	0.0911
NR_029911	chr7(.):27204098-27214182	0.0929
NM_152739	chr7(.):27197056-27210149	0.1041
NM_006555	chr7(.):44235577-44258893	0.1091
NM_000162	chr7(.):44178869-44234022	0.0916
NM_152755	chr7(.):99712264-99728128	0.1366
NM_203397	chr7(.):99719319-99731121	0.1391
NM_005641	chr7(.):99699692-99721995	0.1086
NM_001190415	chr7(.):99699692-99722481	0.1091
NM_139315	chr7(.):99699692-99722021	0.1086
NM_018275	chr7(.):99747042-99761302	0.111
NM_024070	chr7(.):99811870-99824111	0.1389
NM_012447	chr7(.):99770537-99817010	0.1204
NM_152742	chr7(.):99762228-99779990	0.1188
NM_001008395	chr7(.):99741529-99756833	0.1222
NM_024637	chr7(.):99751864-99771373	0.1107
NM_002319	chr7(.):100166633-100188776	0.0978
NM_016188	chr7(.):100235725-100259084	0.0944
NM_003227	chr7(.):100213038-100244173	0.0984
NM_001040097	chr7(.):100204724-100218000	0.1279
NM_001040098	chr7(.):100205052-100218000	0.1279
NM_002593	chr7(.):100194881-100210798	0.1153
NM_033506	chr7(.):100178955-100203740	0.1055
NM_001163499	chr7(.):100182195-100203740	0.103
NM_001040099	chr7(.):100205113-100218000	0.1273
NM_001168682	chr7(.):100164852-100176270	0.068
NM_005837	chr7(.):100298675-100310123	0.1138
NM_000799	chr7(.):100313422-100326323	0.1008
NM_003386	chr7(.):100326248-100400419	0.0813
NM_022574	chr7(.):100272129-100291870	0.0886
NM_005273	chr7(.):100266362-100281792	0.1041
NM_020246	chr7(.):100445357-100469634	0.0884
NM_003302	chr7(.):100459949-100476076	0.1135
NM_015908	chr7(.):100467700-100491285	0.1134
NM_001164462	chr7(.):100607903-100667230	0.116
NM_001165413	chr7(.):100765378-100787547	0.1052
NM_001040105	chr7(.):100658363-100707140	0.099
NM_030961	chr7(.):100723785-100738889	0.0923
NM_006349	chr7(.):100855984-100872471	0.1019
NM_198571	chr7(.):100808773-100828557	0.1127
NM_001084	chr7(.):100844257-100866011	0.0981
NM_003378	chr7(.):100800789-100813852	0.088
NM_178176	chr7(.):100834012-100849302	0.0923
NM_001283	chr7(.):100792685-100809557	0.101
NM_001458	chr7(.):128465482-128504328	0.1536
NM_001195150	chr7(.):128501463-128517101	0.1905
NM_001198909	chr7(.):128497856-128510903	0.2118
NM_198455	chr7(.):149468130-149536053	0.1324
NM_207336	chr7(.):149456452-149475295	0.1523
NR_027040	chr7(.):149559782-149575951	0.1742
NM_001100592	chr7(.):149565056-149582738	0.1737
NM_001142459	chr7(.):150867784-150889478	0.1421
NM_080871	chr7(.):150867784-150889919	0.1421
NM_019015	chr7(.):150924584-150940905	0.1917
NM_003078	chr7(.):150931058-150979231	0.1395
NM_001003802	chr7(.):150931058-150978820	0.1396
NM_005692	chr7(.):150899922-150929317	0.1672
NM_001003801	chr7(.):150931058-150950749	0.1565
NR_030407	chr7(.):150930506-150940624	0.1675
NM_198285	chr7(.):151073206-151112124	0.1238
NM_016118	chr7(.):151033857-151080532	0.1527
NR_034012	chr7(.):151101321-151115132	0.1263
NM_144727	chr7(.):151122055-151142099	0.1282
NR_037468	chr7(.):151125574-151135725	0.1294
NM_000193	chr7(.):155590557-155609967	0.1108
NM_001172357	chr8(.):22014183-22026991	0.0957
NM_014629	chr8(.):1767148-1911807	0.085
NM_182795	chr8(.):21877353-21899408	0.0979
NM_005607	chr8(.):141663501-142016332	0.1043
NM_145003	chr8(.):143288440-143489543	0.0753
NM_001134374	chr8(.):145081581-145107015	0.0823
NM_014867	chr8(.):1917043-1960109	0.0833
NM_001136572	chr8(.):7416309-7445175	0.1006
NM_001136572	chr8(.):7408659-7422234	0.0878
NM_003867	chr8(.):21895427-21911319	0.0903
NM_025232	chr8(.):21990532-22004448	0.1156
NM_001114137	chr8(.):21906080-21945036	0.09
NM_001114135	chr8(.):21910375-21945036	0.09
NM_001978	chr8(.):21911685-21945036	0.0886
NM_001114139	chr8(.):21907327-21945036	0.0911
NM_024815	chr8(.):21959382-21971932	0.0942
NM_018411	chr8(.):21966931-21993565	0.08
NM_022749	chr8(.):21941713-21966891	0.0965
NM_139278	chr8(.):21999342-22019344	0.0989
NM_006129	chr8(.):22017652-22074840	0.0899
NM_032611	chr8(.):142427006-142446620	0.0683
NM_005293	chr8(.):142361586-142382365	0.0814
NR_024441	chr8(.):142345647-142359720	0.0945
NM_001702	chr8(.):143540376-143631368	0.0763
NM_015193	chr8(.):143687409-143700833	0.0665
NR_026785	chr8(.):144443792-144455805	0.1042
NM_052924	chr8(.):144446024-144471390	0.0934
NM_201589	chr8(.):144505229-144517602	0.0744
NM_182706	chr8(.):144868089-144902549	0.0786
NM_031308	chr8(.):144934911-144952434	0.0966
NM_001136033	chr8(.):144893552-144916196	0.0946
NM_178564	chr8(.):144910754-144928146	0.0845
NM_078480	chr8(.):144893546-144916537	0.0943
NR_030633	chr8(.):144890126-144900212	0.0911
NM_201378	chr8(.):144984320-145052697	0.1027
NM_032789	chr8(.):145046319-145065635	0.1326
NM_000445	chr8(.):144984320-145055913	0.1039
NM_201381	chr8(.):144984320-145023905	0.0973
NM_201382	chr8(.):144984320-145023110	0.0978
NM_201383	chr8(.):144984320-145021692	0.096
NM_001009184	chr8(.):145059225-145072583	0.1005
NM_201384	chr8(.):144984320-145018758	0.0986
NR_030383	chr8(.):145014358-145024447	0.1023
NM_001916	chr8(.):145144959-145157428	0.1266
NM_019037	chr8(.):145128521-145140551	0.1389
NM_030974	chr8(.):145148535-145164140	0.1352
NM_032272	chr8(.):145154304-145167515	0.1119
NM_017570	chr8(.):145101166-145120584	0.0742
NM_003801	chr8(.):145132523-145146119	0.1333
NM_139025	chr9(.):136282119-136329508	0.092
NR_024514	chr9(.):136274458-136329508	0.0959
NM_004878	chr9(.):132495614-132520344	0.1022
NM_199350	chr9(.):132369503-132388055	0.1023
NM_006059	chr9(.):133879503-133973446	0.0947
NM_007313	chr9(.):133584267-133768062	0.0951
NM_005085	chr9(.):133995980-134114091	0.1114
NM_004269	chr9(.):134730498-134960253	0.1011
NM_000368	chr9(.):135761734-135825020	0.1134
NM_012087	chr9(.):135901061-135938890	0.1007
NM_002957	chr9(.):137213315-137337431	0.0713
NM_007101	chr9(.):136523683-136610077	0.0782
NM_001134707	chr9(.):136523683-136608479	0.0784
NM_000093	chr9(.):137528651-137741688	0.0735
NM_020822	chr9(.):138589030-138689993	0.0651
NM_144653	chr9(.):138898202-138992131	0.0636
NM_017820	chr9(.):140196347-140322714	0.086
NM_001173989	chr9(.):139697373-139733794	0.0894
NM_016219	chr9(.):139976416-140008639	0.1011
NM_000718	chr9(.):140767240-141024076	0.0864
NR_024369	chr9(.):34563009-34588070	0.0946
NM_147164	chr9(.):34546430-34594722	0.095
NM_198573	chr9(.):34516039-34528037	0.1063
NM_007234	chr9(.):34608547-34625496	0.0978
NM_001017363	chr9(.):34616454-34633011	0.1013
NM_148179	chr9(.):34605491-34617101	0.0875
NM_001161808	chr9(.):127208422-127244379	0.08
NM_004959	chr9(.):127238514-127274699	0.0792
NM_002316	chr9(.):129371721-129468311	0.0902
NM_014064	chr9(.):132383434-132402879	0.1083
NM_017873	chr9(.):132391882-132409444	0.1045
NM_016307	chr9(.):132422919-132489951	0.083
NM_014506	chr9(.):132560431-132578560	0.103
NM_014286	chr9(.):132929856-133004583	0.0865
NM_001128826	chr9(.):132957871-133004583	0.0823
NM_000050	chr9(.):133315093-133381661	0.0842
NM_021619	chr9(.):133534980-133563384	0.0807
NM_014285	chr9(.):133564157-133585452	0.1301
NM_198180	chr9(.):133763814-133774225	0.0833
NM_032843	chr9(.):133772824-133819239	0.0852
NM_001145106	chr9(.):133772824-133819455	0.085
NM_001185095	chr9(.):133966862-134003539	0.1079
NM_032536	chr9(.):135032333-135123220	0.0894
NM_001135031	chr9(.):135849097-135872084	0.0863
NM_021996	chr9(.):136023339-136044301	0.1015
NM_014581	chr9(.):136075665-136089628	0.0789
NM_020385	chr9(.):136266185-136288164	0.1164
NM_017586	chr9(.):136320086-136340909	0.0993
NM_001145099	chr9(.):136331215-136349276	0.0971
NM_001080515	chr9(.):136438536-136450368	0.0627
NM_001145320	chr9(.):136392285-136445641	0.0667
NM_014694	chr9(.):136394974-136445641	0.0672
NM_001080483	chr9(.):136374707-136395068	0.0725
NM_000787	chr9(.):136496484-136529466	0.0776
NR_037460	chr9(.):137736020-137747490	0.0738
NR_037469	chr9(.):137736970-137747118	0.073
NM_015837	chr9(.):137767657-137784366	0.0712
NM_002003	chr9(.):137796430-137814806	0.0949
NM_006334	chr9(.):137962102-137994952	0.0699
NM_014279	chr9(.):137962088-138018030	0.0675
NM_182974	chr9(.):138510501-138536386	0.0944
NM_001001676	chr9(.):138550167-138562755	0.0677
NM_001101677	chr9(.):138580254-138596374	0.0686
NM_016172	chr9(.):138819814-138858226	0.0856
NM_152833	chr9(.):139001426-139015731	0.102
NM_178138	chr9(.):139083095-139101955	0.0637
NM_181701	chr9(.):139093181-139142687	0.0823
NM_014564	chr9(.):139083095-139100004	0.0632
NM_001145638	chr9(.):139216931-139259057	0.0675
NM_001080849	chr9(.):139251351-139263241	0.0709
NM_052813	chr9(.):139253407-139273133	0.0776
NM_001145639	chr9(.):139242508-139259057	0.0651
