GENE_ID	locusLine	bin_1_44_0EXW_0229Kronos_MM1S-KB-24hr-2_Input_hs_i90.bam
NR_033186	chr1(.):178506930-178523024	0.1842
NM_015602	chr1(.):179846419-179894211	0.1766
NM_016545	chr1(.):181052637-181064979	0.2209
NM_002927	chr1(.):192600281-192634389	0.1347
NM_002922	chr1(.):192539856-192554159	0.2826
NM_001195216	chr1(.):197698138-197749623	0.2033
NM_080923	chr1(.):198603136-198667334	0.1831
NR_034150	chr1(.):203262885-203279453	0.3222
NM_003465	chr1(.):203180206-203203860	0.1467
NM_006763	chr1(.):203269663-203283729	0.3097
NM_002023	chr1(.):203304751-203325289	0.1755
NR_003019	chr1(.):203693708-203703833	0.1391
NM_001136190	chr1(.):203729283-203750480	0.207
NM_001174108	chr1(.):203761650-203774590	0.2162
NM_002646	chr1(.):204386757-204464474	0.1635
NM_002393	chr1(.):204480510-204532248	0.2105
NM_014858	chr1(.):205192037-205247471	0.1972
NM_030952	chr1(.):205266190-205295883	0.2069
NM_000707	chr1(.):206219282-206236482	0.1647
NM_001007544	chr1(.):206233871-206293647	0.2089
NM_148964	chr1(.):206312458-206337104	0.1386
NM_006893	chr1(.):206759973-206790904	0.1833
NM_182665	chr1(.):206725491-206767616	0.2473
NM_001185157	chr1(.):207065787-207082484	0.1479
NM_002644	chr1(.):207096866-207124811	0.1826
NM_001170631	chr1(.):207126311-207148970	0.1383
NM_152485	chr1(.):209950661-209962890	0.2288
NM_025228	chr1(.):209924393-209960668	0.2542
NM_183059	chr1(.):211644863-211671259	0.137
NM_021194	chr1(.):211743380-211757099	0.3141
NM_000120	chr1(.):226008001-226038262	0.1631
NM_020997	chr1(.):226068981-226081836	0.1748
NM_014698	chr1(.):226028232-226075420	0.2171
NM_001172425	chr1(.):226119297-226134083	0.2303
NM_013328	chr1(.):226102579-226116965	0.1846
NR_002315	chr1(.):226245427-226264703	0.2234
NM_002107	chr1(.):226245420-226264703	0.2233
NM_182972	chr1(.):234735014-234750271	0.2884
NR_033927	chr1(.):234760056-234775526	0.1534
NR_002956	chr1(.):235286117-235296252	0.2344
NM_031844	chr1(.):245008601-245032827	0.2198
NM_198076	chr1(.):244993638-245013359	0.236
NR_026778	chr1(.):244998939-245015243	0.2359
NM_020458	chr2(.):47163312-47308275	0.1255
NR_033872	chr2(.):70184394-70319147	0.1153
NM_032827	chr2(.):85975908-86023506	0.0947
NR_015395	chr2(.):112119590-112257692	0.1386
NR_024373	chr2(.):112181885-112257692	0.1666
NM_020760	chr2(.):197058976-197462335	0.1187
NM_001012514	chr2(.):231724620-231748963	0.0827
NM_145693	chr2(.):11881739-11972533	0.138
NM_183360	chr2(.):25595111-25901503	0.1159
NM_170672	chr2(.):33656415-33794798	0.1262
NM_005813	chr2(.):37472645-37549222	0.1809
NM_019063	chr2(.):42391489-42564688	0.1225
NM_014755	chr2(.):64853754-64886046	0.1617
NR_036586	chr2(.):65123973-65164581	0.1746
NM_002398	chr2(.):66657531-66804891	0.1102
NR_024204	chr2(.):87749973-87826030	0.1524
NM_004836	chr2(.):88851258-88932094	0.1498
NM_144563	chr2(.):88986175-89055452	0.1295
NM_004027	chr2(.):99056320-99212496	0.165
NM_001566	chr2(.):99056320-99203284	0.168
NM_003581	chr2(.):106356519-106515730	0.1215
NR_027020	chr2(.):132900163-133020542	0.1731
NM_002410	chr2(.):135006829-135211468	0.1259
NM_024770	chr2(.):172168912-172296312	0.1232
NM_001077269	chr2(.):175419301-175552627	0.1324
NR_024415	chr2(.):192537797-192558248	0.1687
NM_001031716	chr2(.):192537860-192558248	0.1688
NM_004226	chr2(.):196993306-197041336	0.1685
NM_153697	chr2(.):197959194-198180521	0.1324
NM_001195144	chr2(.):197846385-198180521	0.1263
NM_001228	chr2(.):202093165-202157434	0.1635
NM_003879	chr2(.):201975889-202034003	0.165
NM_001127184	chr2(.):201975815-202011323	0.1854
NM_173822	chr2(.):201833440-201941392	0.1169
NM_033358	chr2(.):202093165-202151638	0.1688
NM_001037631	chr2(.):204727508-204743683	0.117
NM_001167608	chr2(.):227695670-227868923	0.1164
NM_001137551	chr2(.):238595806-238695290	0.0637
NM_001137550	chr2(.):238531223-238695290	0.0584
NM_002997	chr2(.):20395557-20429927	0.1821
NM_001006946	chr2(.):20395557-20430194	0.1811
NM_004040	chr2(.):20641834-20654201	0.1322
NM_178553	chr2(.):27354714-27367332	0.1412
NM_001166239	chr2(.):27318461-27346773	0.0974
NM_001166240	chr2(.):27317220-27346995	0.0983
NM_013388	chr2(.):27348624-27362542	0.1552
NM_001166241	chr2(.):27317220-27338970	0.0941
NM_032604	chr2(.):27341656-27358680	0.1541
NM_175769	chr2(.):27366944-27380819	0.1385
NM_080592	chr2(.):27429898-27445046	0.1391
NM_001170795	chr2(.):27430218-27445046	0.1417
NM_004341	chr2(.):27435257-27471654	0.1075
NM_021095	chr2(.):27417454-27440175	0.1182
NM_015376	chr2(.):33733941-33794798	0.1108
NM_001139488	chr2(.):33696320-33794798	0.1356
NM_012413	chr2(.):37566752-37605465	0.2203
NM_138370	chr2(.):42270160-42290668	0.0898
NM_006887	chr2(.):43444540-43458745	0.238
NR_027251	chr2(.):43449349-43460994	0.1622
NM_001171508	chr2(.):47124008-47173994	0.1359
NM_002354	chr2(.):47591286-47619167	0.096
NR_033837	chr2(.):64407212-64437619	0.1485
NR_034023	chr2(.):64829445-64848616	0.1107
NM_001193493	chr2(.):65210578-65256000	0.1442
NM_003038	chr2(.):65211494-65256000	0.1444
NM_015147	chr2(.):65278494-65319142	0.1447
NM_014882	chr2(.):68996932-69058957	0.1254
NM_001166277	chr2(.):68956912-69058957	0.1365
NM_006196	chr2(.):70309584-70321334	0.2153
NR_024444	chr2(.):70346167-70357448	0.1759
NM_006433	chr2(.):85916413-85930875	0.1052
NM_198843	chr2(.):85879439-85900864	0.0873
NM_015425	chr2(.):86248450-86338278	0.1411
NR_026984	chr2(.):86242338-86255991	0.1141
NR_015424	chr2(.):89060418-89111109	0.1485
NR_026875	chr2(.):97158382-97178846	0.1179
NM_212481	chr2(.):97197463-97223371	0.1896
NR_031608	chr2(.):133009538-133019653	0.4298
NR_024275	chr2(.):135201959-135217192	0.1065
NM_004288	chr2(.):158266130-158305604	0.1844
NM_003387	chr2(.):175419301-175504307	0.1468
NM_000885	chr2(.):182316618-182407468	0.1342
NM_002491	chr2(.):201931461-201955473	0.1209
NM_001127183	chr2(.):201978386-202033841	0.1675
NM_032974	chr2(.):202042620-202099110	0.1685
NM_001230	chr2(.):202042620-202091383	0.1621
NM_033356	chr2(.):202120222-202157434	0.1556
NM_001080125	chr2(.):202117753-202157434	0.1573
NM_006139	chr2(.):204566197-204607557	0.1849
NM_017431	chr2(.):219682105-219701512	0.0925
NM_025216	chr2(.):219740254-219763651	0.1952
NM_006522	chr2(.):219719545-219743954	0.1103
NM_005683	chr2(.):231767042-231794941	0.0644
NM_004735	chr2(.):238595806-238679558	0.0658
NM_014674	chr3(.):5224358-5266650	0.1764
NM_001195099	chr3(.):15703743-15803058	0.1148
NM_001195098	chr3(.):15703743-15844691	0.124
NM_015199	chr3(.):15703743-15906053	0.123
NM_003571	chr3(.):133113789-133199056	0.1458
NM_207015	chr3(.):174572110-175528428	0.149
NM_001135095	chr3(.):171753343-172123492	0.1909
NM_022763	chr3(.):171752417-172123492	0.1913
NM_181361	chr3(.):178249223-178567217	0.1491
NR_004053	chr3(.):181323150-181464005	0.1468
NM_001134382	chr3(.):12933718-13119617	0.1097
NM_024923	chr3(.):13352736-13466809	0.1098
NM_014869	chr3(.):12933718-13013960	0.0881
NM_001184958	chr3(.):14711605-14819543	0.1237
NM_001024847	chr3(.):30642993-30740633	0.1396
NM_001123396	chr3(.):46390234-46405868	0.1862
NM_001123041	chr3(.):46390234-46407413	0.1766
NM_181042	chr3(.):52574367-52718739	0.1051
NM_018313	chr3(.):52574367-52724866	0.1072
NM_001128615	chr3(.):56756445-57118336	0.1075
NM_015541	chr3(.):66424220-66555845	0.1129
NM_007114	chr3(.):69063977-69106484	0.1285
NM_002213	chr3(.):124476794-124611144	0.1201
NM_006506	chr3(.):141200925-141336197	0.119
NM_001080412	chr3(.):141038054-141173632	0.1924
NM_016275	chr3(.):150316065-150353234	0.1574
NM_001193283	chr3(.):156539147-156648045	0.1464
NM_001004316	chr3(.):156539095-156768918	0.1503
NM_001190242	chr3(.):159969773-160106554	0.1453
NM_001190241	chr3(.):159969773-160122320	0.1538
NM_024665	chr3(.):176733541-176920048	0.201
NM_005832	chr3(.):178271617-178567217	0.1465
NM_130446	chr3(.):183200318-183278499	0.2513
NM_173216	chr3(.):186643314-186801341	0.2012
NM_003032	chr3(.):186734664-186801341	0.2087
NM_005524	chr3(.):193848933-193861396	0.2302
NM_018184	chr3(.):5158929-5227601	0.1163
NM_015931	chr3(.):8656319-8698737	0.0906
NM_016474	chr3(.):14688252-14719166	0.1215
NM_194293	chr3(.):39219706-39239077	0.1131
NM_001198621	chr3(.):39219705-39239085	0.1131
NM_014240	chr3(.):45631322-45727755	0.144
NM_001295	chr3(.):46238199-46254832	0.2119
NM_001837	chr3(.):46278871-46313197	0.1004
NM_003965	chr3(.):46443720-46456014	0.1135
NM_001100168	chr3(.):46406632-46422697	0.1617
NM_001130910	chr3(.):46444048-46456014	0.1143
NM_003212	chr3(.):46614075-46628952	0.0877
NM_001174136	chr3(.):46611044-46628952	0.092
NM_024512	chr3(.):46551877-46613011	0.1352
NM_031440	chr3(.):46534484-46547439	0.1221
NM_001010983	chr3(.):52723503-52745048	0.1614
NM_206825	chr3(.):52714935-52733510	0.1512
NR_003687	chr3(.):52719753-52729846	0.152
NM_014041	chr3(.):52734856-52747197	0.1703
NR_003057	chr3(.):52721751-52731828	0.1489
NM_152932	chr3(.):52723503-52742622	0.1567
NR_003047	chr3(.):52718255-52728331	0.1469
NM_001193533	chr3(.):52739795-52809965	0.1224
NM_198195	chr3(.):69098880-69134524	0.1444
NM_006407	chr3(.):69129089-69160239	0.1754
NM_198271	chr3(.):69151038-69176746	0.1239
NR_036087	chr3(.):69093108-69103186	0.1676
NM_006100	chr3(.):98446571-98518236	0.1696
NM_145037	chr3(.):101493028-101552075	0.1539
NM_001134456	chr3(.):101493285-101552075	0.1536
NM_001005474	chr3(.):101541833-101584869	0.1371
NM_022135	chr3(.):119355907-119384404	0.1322
NM_005694	chr3(.):119383371-119401243	0.1578
NM_015900	chr3(.):119311721-119353658	0.1036
NR_033434	chr3(.):124444212-124473119	0.1157
NR_031687	chr3(.):125504246-125514395	0.1175
NR_027898	chr3(.):129926662-129997649	0.0919
NM_016557	chr3(.):132311093-132326382	0.1271
NM_178445	chr3(.):132313980-132326382	0.1252
NM_032169	chr3(.):132271981-132383975	0.1209
NM_032025	chr3(.):150259573-150308803	0.13
NM_014445	chr3(.):150254779-150269428	0.1628
NR_003284	chr3(.):156522059-156534810	0.1702
NR_034008	chr3(.):156802669-156823924	0.2864
NR_034007	chr3(.):156794455-156845791	0.2191
NM_173084	chr3(.):160148290-160172626	0.2101
NR_029663	chr3(.):160117375-160127473	0.265
NM_005496	chr3(.):160113346-160157741	0.2308
NM_001002800	chr3(.):160112429-160157741	0.2296
NR_029525	chr3(.):160117532-160127613	0.257
NR_027622	chr3(.):169656771-169689522	0.2603
NM_182610	chr3(.):169624481-169661948	0.1909
NM_003262	chr3(.):169679579-169721161	0.2016
NM_003106	chr3(.):181424721-181437223	0.181
NM_198565	chr3(.):196361655-196393874	0.1954
NM_003215	chr4(.):48132799-48276814	0.134
NM_201431	chr4(.):74433861-74491340	0.1429
NM_177532	chr4(.):74433861-74491134	0.1432
NM_020859	chr4(.):77351252-77709405	0.121
NM_198281	chr4(.):90160428-90234161	0.1913
NM_018699	chr4(.):121610928-121849013	0.1212
NM_015173	chr4(.):37887719-38145794	0.1127
NM_001007075	chr4(.):39041450-39132853	0.112
NM_004310	chr4(.):40193526-40251281	0.1765
NM_002039	chr4(.):144252982-144400718	0.143
NM_153343	chr4(.):185004858-185144114	0.0967
NM_002199	chr4(.):185303875-185400726	0.1676
NR_031688	chr4(.):9552788-9562937	0.0945
NM_024943	chr4(.):38963440-39039041	0.1186
NM_017581	chr4(.):40332468-40361973	0.0964
NM_001076	chr4(.):69398132-69439240	0.1417
NM_001077	chr4(.):69397902-69439245	0.1414
NM_001076	chr4(.):69507314-69541374	0.1041
NM_031889	chr4(.):71489460-71517536	0.1227
NM_144646	chr4(.):71516257-71537348	0.2074
NM_020368	chr4(.):71549195-71561268	0.168
NM_014961	chr4(.):71582695-71664274	0.1129
NM_001130709	chr4(.):71565653-71660614	0.1171
NM_015697	chr4(.):84179976-84211067	0.1383
NM_003998	chr4(.):103417485-103543459	0.1327
NM_025212	chr4(.):105388342-105417467	0.1579
NM_001104631	chr5(.):58259865-59194621	0.1038
NM_006203	chr5(.):58259865-58887324	0.1024
NM_001165899	chr5(.):58259865-59788925	0.0987
NM_001197218	chr5(.):58259865-59069438	0.1045
NM_002372	chr5(.):109020155-109208429	0.1414
NM_012304	chr5(.):15495304-15944900	0.109
NM_001131005	chr5(.):88009057-88204922	0.1557
NM_002397	chr5(.):88009057-88184283	0.1593
NM_001193349	chr5(.):88009057-88124744	0.1535
NM_001131055	chr5(.):175080039-175118245	0.1158
NM_024669	chr5(.):55390506-55534186	0.1254
NR_015436	chr5(.):87831596-87985620	0.1139
NR_027435	chr5(.):90671163-90721532	0.1425
NM_152624	chr5(.):112307432-112361667	0.1214
NM_001077654	chr5(.):118599417-118735294	0.1432
NM_001038702	chr5(.):130594701-130735382	0.1306
NM_003060	chr5(.):131700400-131736306	0.1242
NM_001020825	chr5(.):142652495-142788254	0.1336
NM_001018076	chr5(.):142652495-142789045	0.1332
NM_001018075	chr5(.):142652495-142820077	0.1306
NM_138379	chr5(.):156341292-156395266	0.124
NM_005990	chr5(.):171464073-171620346	0.1213
NM_002406	chr5(.):180212540-180235048	0.1548
NM_001114619	chr5(.):180212540-180235902	0.156
NM_001114618	chr5(.):180212540-180241817	0.1652
NM_001114617	chr5(.):180212540-180242137	0.1651
NM_052909	chr5(.):135372-195087	0.0943
NM_145265	chr5(.):199874-223297	0.125
NM_001080478	chr5(.):186625-200468	0.1311
NM_004168	chr5(.):213355-261814	0.1239
NM_001193376	chr5(.):1248286-1300162	0.0807
NM_030782	chr5(.):1312999-1350002	0.1795
NM_001145161	chr5(.):6443735-6501834	0.1449
NM_006713	chr5(.):32580604-32609185	0.1863
NR_034127	chr5(.):43060288-43072073	0.1773
NM_001014279	chr5(.):43034181-43045447	0.2115
NR_034085	chr5(.):43011149-43023913	0.1695
NR_015447	chr5(.):43037235-43050370	0.1887
NR_034086	chr5(.):43009830-43023913	0.1822
NM_020726	chr5(.):65013022-65130111	0.1216
NR_036243	chr5(.):86405695-86415771	0.1469
NR_024384	chr5(.):87955262-87974146	0.1948
NR_024383	chr5(.):87955262-87979262	0.1821
NR_030741	chr5(.):87957670-87967757	0.1648
NM_020801	chr5(.):90659540-90684149	0.1822
NM_005668	chr5(.):100137638-100243987	0.1482
NM_175052	chr5(.):100216014-100243970	0.1977
NR_033175	chr5(.):109213882-109226200	0.0985
NM_005669	chr5(.):112207080-112263031	0.1431
NM_014350	chr5(.):118686595-118735294	0.1334
NM_000588	chr5(.):131391346-131403896	0.1154
NM_000758	chr5(.):131404484-131416859	0.1058
NR_037500	chr5(.):131696181-131706291	0.1187
NM_002198	chr5(.):131812300-131831465	0.189
NM_001013717	chr5(.):131741672-131803059	0.1981
NM_005732	chr5(.):131887615-131985313	0.1116
NM_000879	chr5(.):131872135-131884214	0.0897
NM_016480	chr5(.):138672518-138710409	0.1264
NM_194296	chr5(.):138727455-138744776	0.1278
NM_152686	chr5(.):138740891-138780214	0.131
NM_152685	chr5(.):138697884-138724039	0.1238
NM_001033112	chr5(.):138673133-138710409	0.1273
NM_001161546	chr5(.):138722634-138735885	0.1715
NM_016459	chr5(.):138718256-138730605	0.2245
NM_016463	chr5(.):139023300-139067680	0.1337
NM_000024	chr5(.):148201155-148213197	0.2413
NM_001155	chr5(.):150475266-150542443	0.1512
NM_001193544	chr5(.):150475266-150526216	0.1404
NR_002168	chr5(.):156272548-156284539	0.0983
NR_028472	chr5(.):156346099-156357013	0.13
NM_001171183	chr5(.):171616175-171635458	0.1059
NM_004417	chr5(.):172190092-172203203	0.19
NM_030627	chr5(.):173310330-173392313	0.1498
NM_022304	chr5(.):175103463-175116558	0.0947
NR_027183	chr5(.):180251958-180267726	0.148
NM_152283	chr5(.):180269610-180293286	0.1133
NM_181356	chr6(.):44791469-45350670	0.0963
NM_003599	chr6(.):44792449-45350575	0.0963
NM_012288	chr6(.):52357199-52446862	0.1721
NM_033515	chr6(.):129893239-130036370	0.1331
NM_000904	chr6(.):2995066-3024994	0.1305
NM_001168344	chr6(.):7102829-7257213	0.1254
NM_001003699	chr6(.):7103085-7257213	0.1253
NR_037616	chr6(.):7876482-8069647	0.1474
NM_001173977	chr6(.):25274655-25625758	0.1322
NM_014641	chr6(.):30662583-30690458	0.1416
NM_172166	chr6(.):31702724-31735455	0.1264
NM_004348	chr6(.):45384913-45523819	0.1294
