GENE_ID	locusLine	bin_1_34_0EXA_0229Kronos_MM1S-No-Treatment-2_p300_hs_i50.bam
NM_005524	chr3(.):193848933-193861396	0.7519
NM_001295	chr3(.):46238199-46254832	0.4376
NM_001837	chr3(.):46278871-46313197	0.1291
NM_003212	chr3(.):46614075-46628952	0.0811
NM_001174136	chr3(.):46611044-46628952	0.0844
NM_024512	chr3(.):46551877-46613011	0.2448
NM_031440	chr3(.):46534484-46547439	0.1612
NM_006100	chr3(.):98446571-98518236	0.3198
NR_031687	chr3(.):125504246-125514395	0.1286
NM_020187	chr3(.):128992683-129029135	0.3028
NM_001006109	chr3(.):128992816-129029135	0.3032
NM_006026	chr3(.):129028613-129040120	0.7334
NR_026991	chr3(.):129030113-129048412	0.3656
NR_027898	chr3(.):129926662-129997649	0.0868
NM_198152	chr3(.):190979943-191053325	0.2492
NM_198565	chr3(.):196361655-196393874	0.2941
NM_014687	chr3(.):197393258-197468773	0.318
NM_001145642	chr3(.):197393313-197481568	0.3217
NR_027840	chr3(.):197472260-197516317	0.2113
NM_032288	chr3(.):197471623-197516317	0.21
NM_001011537	chr3(.):197471423-197516317	0.2097
NM_002111	chr4(.):3071407-3250687	0.0904
NM_198281	chr4(.):90160428-90234161	0.3412
NM_001004056	chr4(.):2960342-3047474	0.1236
NM_004310	chr4(.):40193526-40251281	0.3278
NM_002039	chr4(.):144252982-144400718	0.2452
NM_017581	chr4(.):40332468-40361973	0.1021
NM_031889	chr4(.):71489460-71517536	0.1475
NM_144646	chr4(.):71516257-71537348	0.3529
NM_020368	chr4(.):71549195-71561268	0.2464
NM_014961	chr4(.):71582695-71664274	0.1231
NM_001130709	chr4(.):71565653-71660614	0.1296
NM_003998	chr4(.):103417485-103543459	0.1873
NM_025212	chr4(.):105388342-105417467	0.301
NM_001131005	chr5(.):88009057-88204922	0.2381
NM_002397	chr5(.):88009057-88184283	0.2461
NM_001193349	chr5(.):88009057-88124744	0.2198
NM_001131055	chr5(.):175080039-175118245	0.196
NM_024669	chr5(.):55390506-55534186	0.2256
NM_022913	chr5(.):56464774-56565506	0.1599
NM_001127235	chr5(.):56466274-56565506	0.1598
NM_001992	chr5(.):76006867-76036595	0.4015
NR_027435	chr5(.):90671163-90721532	0.2199
NM_001038702	chr5(.):130594701-130735382	0.1848
NM_003060	chr5(.):131700400-131736306	0.139
NM_001037332	chr5(.):156688186-156827606	0.1363
NM_001037333	chr5(.):156688090-156827606	0.1363
NM_014376	chr5(.):156691361-156827606	0.1377
NM_001193376	chr5(.):1248286-1300162	0.0788
NM_030782	chr5(.):1312999-1350002	0.6096
NM_001145161	chr5(.):6443735-6501834	0.2752
NM_006713	chr5(.):32580604-32609185	0.3394
NM_001127236	chr5(.):56504900-56565506	0.1186
NR_028375	chr5(.):76002762-76013686	0.1863
NM_020801	chr5(.):90659540-90684149	0.3717
NM_000588	chr5(.):131391346-131403896	0.1104
NM_000758	chr5(.):131404484-131416859	0.107
NR_037500	chr5(.):131696181-131706291	0.1161
NM_002198	chr5(.):131812300-131831465	0.3069
NM_001013717	chr5(.):131741672-131803059	0.4776
NM_004417	chr5(.):172190092-172203203	0.5413
NM_022304	chr5(.):175103463-175116558	0.0957
NM_181356	chr6(.):44791469-45350670	0.1166
NM_003599	chr6(.):44792449-45350575	0.1166
NM_012288	chr6(.):52357199-52446862	0.406
NM_033515	chr6(.):129893239-130036370	0.2385
NM_001195286	chr6(.):386738-416443	0.3504
NR_037616	chr6(.):7876482-8069647	0.3626
NM_001173977	chr6(.):25274655-25625758	0.187
NM_172166	chr6(.):31702724-31735455	0.2351
NM_004348	chr6(.):45384913-45523819	0.1785
NM_001024630	chr6(.):45291053-45523819	0.1545
NM_016021	chr6(.):90031343-90067619	0.3808
NM_001455	chr6(.):108877068-109010971	0.3981
NM_201559	chr6(.):108876025-109010971	0.3963
NM_032131	chr6(.):109164618-109300352	0.2584
NM_173674	chr6(.):117798819-117896020	0.1894
NM_024630	chr6(.):157797556-158099977	0.095
NM_020185	chr6(.):287100-356355	0.5848
NR_027712	chr6(.):7981334-7995577	0.2105
NM_001145549	chr6(.):7876482-7915310	0.6582
NM_030810	chr6(.):7876482-7916047	0.6547
NM_032744	chr6(.):11708887-11784280	0.2046
NM_021065	chr6(.):26194011-26204471	0.4996
NM_003530	chr6(.):26192011-26204464	0.4358
NM_138720	chr6(.):26153348-26176576	0.346
NM_003523	chr6(.):26179023-26189458	0.313
NM_003539	chr6(.):26183937-26194304	0.3341
NM_003545	chr6(.):26199872-26210249	0.4154
NM_005321	chr6(.):26151558-26162343	0.4249
NM_003522	chr6(.):26194786-26205216	0.5868
NM_003518	chr6(.):26211427-26221872	0.2907
NM_021052	chr6(.):26212147-26222711	0.2887
NM_003532	chr6(.):26220382-26230844	0.1953
NM_003524	chr6(.):26246878-26257303	0.3326
NM_003547	chr6(.):26241838-26252205	0.3022
NM_003540	chr6(.):26235653-26246021	0.1617
NM_021018	chr6(.):26245369-26255835	0.3349
NM_005320	chr6(.):26229439-26240216	0.2404
NM_001145008	chr6(.):26397464-26420444	0.1373
NM_001197240	chr6(.):26378328-26400100	0.1845
NM_001197247	chr6(.):26360397-26383540	0.5677
NM_001197238	chr6(.):26378323-26400100	0.1845
NM_001197237	chr6(.):26378438-26400100	0.1838
NM_001197248	chr6(.):26360469-26383540	0.5658
NM_001197246	chr6(.):26363405-26383540	0.213
NM_021066	chr6(.):27777079-27787518	0.4077
NM_003536	chr6(.):27772841-27783314	0.5039
NM_003509	chr6(.):27770976-27781445	0.3821
NM_003519	chr6(.):27770256-27780709	0.3736
NM_003521	chr6(.):27777821-27788267	0.3869
NM_003520	chr6(.):27801439-27811888	0.356
NM_003511	chr6(.):27828106-27838576	0.2696
NM_003533	chr6(.):27834622-27845099	0.1996
NM_003510	chr6(.):27800657-27811117	0.3594
NM_003541	chr6(.):27793951-27804305	0.2829
NM_005322	chr6(.):27829569-27840359	0.2971
NM_021968	chr6(.):27786902-27797258	0.2854
NM_003546	chr6(.):27835925-27846289	0.1612
NM_021246	chr6(.):31678132-31690581	0.1053
NM_138275	chr6(.):31686160-31697851	0.2756
NR_033488	chr6(.):31649725-31675850	0.1422
NM_013974	chr6(.):31689816-31703039	0.3516
NM_001288	chr6(.):31693357-31709341	0.5637
NM_001003693	chr6(.):31669683-31683372	0.1914
NM_021160	chr6(.):31649725-31676137	0.1415
NR_024541	chr6(.):31674752-31686842	0.1114
NM_025261	chr6(.):31681424-31694510	0.1056
NM_001039651	chr6(.):31725772-31737624	0.0846
NM_025258	chr6(.):31728370-31750108	0.1609
NM_006120	chr6(.):32911390-32925899	0.2191
NM_002119	chr6(.):32966959-32982389	0.1182
NM_002118	chr6(.):32897405-32913847	0.1913
NM_005104	chr6(.):32931436-32954282	0.3715
NM_001113182	chr6(.):32933664-32954282	0.3995
NM_001199455	chr6(.):32934371-32954282	0.4046
NM_001199456	chr6(.):32935860-32954282	0.4058
NM_002043	chr6(.):89962238-90029967	0.2245
NM_182907	chr6(.):106541814-106562811	0.5261
NM_001198	chr6(.):106529194-106562814	0.5002
NR_037463	chr6(.):157945163-157955232	0.0692
NM_001259	chr7(.):92229234-92468231	0.2072
NM_001145306	chr7(.):92229234-92470941	0.206
NM_001029835	chr7(.):45062232-45121069	0.136
NM_001167935	chr7(.):45034786-45121069	0.1808
NR_030770	chr7(.):45034344-45121069	0.1816
NM_030796	chr7(.):55533305-55645200	0.437
NM_001145354	chr7(.):130789854-131186398	0.2062
NM_001164458	chr7(.):149939300-150025758	0.19
NM_182762	chr7(.):20169278-20262013	0.2725
NM_002214	chr7(.):20365724-20460382	0.2428
NM_002541	chr7(.):44641120-44753669	0.1974
NM_001003941	chr7(.):44641120-44721195	0.2368
NM_022748	chr7(.):47309751-47584199	0.1317
NM_017621	chr7(.):102091666-102110321	0.1824
NM_182931	chr7(.):104649636-104759532	0.2005
NM_003344	chr7(.):129467994-129597789	0.2021
NR_015431	chr7(.):130623918-130798562	0.2308
NR_024153	chr7(.):130623918-130796789	0.231
NM_178563	chr7(.):134666258-134825530	0.1998
NM_173680	chr7(.):150071405-150100719	0.4107
NM_053043	chr7(.):155432202-155579179	0.1872
NR_029597	chr7(.):25984538-25994606	0.4287
NM_022373	chr7(.):35667269-35739772	0.1334
NM_182547	chr7(.):44613761-44626827	0.203
NR_003697	chr7(.):45017626-45031259	0.1615
NR_002952	chr7(.):45019976-45030109	0.1744
NM_033054	chr7(.):44997259-45023704	0.1193
NM_032831	chr7(.):102068995-102102268	0.3367
NM_024653	chr7(.):102031803-102072129	0.2691
NM_006234	chr7(.):102108547-102124381	0.1911
NM_152892	chr7(.):102100389-102118612	0.1627
NR_027374	chr7(.):104530074-104572092	0.2155
NR_024586	chr7(.):104645988-104659588	0.6235
NM_001166346	chr7(.):114557208-114568720	0.326
NM_199072	chr7(.):114557208-114664970	0.2633
NM_013400	chr7(.):150060878-150076133	0.6819
NM_014374	chr7(.):150063257-150076133	0.7402
NM_001142928	chr7(.):150015295-150040245	0.2928
NM_002889	chr7(.):150030406-150043763	0.1253
NM_138434	chr7(.):150021937-150034811	0.1158
NR_027237	chr7(.):150097839-150114558	0.5057
NM_175571	chr7(.):150142961-150181483	0.1536
NR_034033	chr7(.):150125741-150150228	0.3543
NM_001386	chr8(.):26430420-26520693	0.1525
NM_001197293	chr8(.):26366708-26520693	0.1426
NM_006228	chr8(.):28169648-28205868	0.2078
NM_005079	chr8(.):80942104-81088836	0.2487
NM_022783	chr8(.):120880899-121068157	0.2479
NM_173685	chr8(.):126099082-126384367	0.2382
NM_003033	chr8(.):134462090-134589183	0.1899
NM_003970	chr8(.):1988157-2098380	0.3126
NM_018660	chr8(.):28198101-28248977	0.1638
NM_025195	chr8(.):126437562-126455644	0.4415
NM_001135920	chr9(.):5624326-5774454	0.174
NM_020829	chr9(.):5651582-5781556	0.1508
NM_001206	chr9(.):72994512-73034573	0.1869
NM_007203	chr9(.):112537576-112939791	0.1702
NM_001004065	chr9(.):112805877-112939791	0.2473
NM_015404	chr9(.):117159359-117272736	0.2302
NM_001083885	chr9(.):117159359-117270495	0.2326
NM_015033	chr9(.):132644465-132810473	0.1965
NM_005384	chr9(.):94166326-94191144	0.3277
NM_001012993	chr9(.):112956845-112975413	0.1043
NM_001136562	chr9(.):112882780-112939791	0.305
NM_016520	chr9(.):132584563-132602572	0.1514
NM_006676	chr9(.):132592695-132649107	0.1271
NM_001008563	chr9(.):132592756-132649107	0.1272
NM_001136557	chr9(.):132810984-132907448	0.0863
NM_144495	chrX(.):48750194-48765420	0.1289
NM_001167990	chrX(.):48750212-48765420	0.1288
NM_001032384	chrX(.):48750538-48765420	0.1265
NM_001167992	chrX(.):48750774-48765420	0.1271
NM_001167947	chrX(.):48745729-48760426	0.1441
NM_001042498	chrX(.):48755888-48774235	0.1898
NM_001136158	chrX(.):48774302-48819893	0.2942
NM_001136159	chrX(.):48774302-48820648	0.2901
NM_006875	chrX(.):48765458-48781413	0.3026
NM_004979	chrX(.):48813638-48833251	0.1022
NM_005660	chrX(.):48755458-48773917	0.1941
NM_001032289	chrX(.):48755889-48773933	0.1865
NM_015892	chr10(.):125762181-125856930	0.2385
NM_014863	chr10(.):125774168-125856930	0.2594
NM_001083591	chr10(.):11201992-11383672	0.3404
NM_001025077	chr10(.):11042258-11383672	0.233
NM_006561	chr10(.):11054892-11383672	0.2391
NM_032199	chr10(.):63656012-63861707	0.1973
NR_027653	chr10(.):3813187-3832473	0.3093
NM_001083913	chr10(.):104498726-104581021	0.2556
NM_017787	chr10(.):104530887-104581021	0.3094
NR_024552	chr10(.):105201542-105217162	0.1277
NM_001129742	chr10(.):105227560-105243997	0.2429
NM_001001412	chr10(.):105208143-105223648	0.1356
NM_004210	chr10(.):105248734-105357309	0.2428
NM_005871	chr10(.):112047797-112069707	0.1556
NM_004419	chr10(.):112252624-112276302	0.4121
NM_006157	chr11(.):20686116-21602229	0.0946
NM_001111018	chr11(.):19367270-20148147	0.1051
NM_001098517	chr11(.):115039344-115380241	0.1917
NM_030962	chr11(.):9795213-10320754	0.097
NM_001143830	chr11(.):22683159-22839547	0.1911
NM_177553	chr11(.):22684653-22839547	0.1915
NM_005256	chr11(.):22691318-22839547	0.1628
NM_004811	chr11(.):58289343-58348390	0.2551
NM_001143995	chr11(.):58289343-58350639	0.2487
NM_024092	chr11(.):60676370-60695915	0.3663
NM_024060	chr11(.):62196015-62319332	0.1292
NM_001077241	chr11(.):65137662-65155142	0.2016
NR_002819	chr11(.):65260232-65278939	0.7849
NM_080491	chr11(.):77921335-78133868	0.1327
NM_002017	chr11(.):128558812-128688162	0.2363
NM_001167681	chr11(.):128557388-128688162	0.2348
NM_001124	chr11(.):10321641-10333923	0.7012
NM_022725	chr11(.):22639078-22652387	0.2255
NM_000610	chr11(.):35155416-35258949	0.2398
NM_000614	chr11(.):58385145-58398205	0.1653
NR_024091	chr11(.):58341586-58398205	0.2344
NM_004778	chr11(.):60613397-60628444	0.1031
NM_207341	chr11(.):60630014-60648164	0.2398
NM_024098	chr11(.):60604428-60623561	0.3805
NM_014502	chr11(.):60653019-60679061	0.3075
NM_016582	chr11(.):60699554-60724257	0.1224
NM_178031	chr11(.):60686912-60709631	0.096
NM_022830	chr11(.):62337516-62364109	0.1903
NM_004739	chr11(.):62355674-62374303	0.2587
NM_001404	chr11(.):62322072-62346460	0.2554
NR_028272	chr11(.):65185268-65199003	0.9999
NR_030343	chr11(.):65206928-65217028	0.3271
NM_031904	chr11(.):65149040-65185995	0.1889
NM_021070	chr11(.):65301029-65330699	0.2032
NM_001048218	chr11(.):65287547-65311182	0.1508
NM_006235	chr11(.):111217980-111255157	0.3466
NR_026691	chr11(.):117852105-117877199	0.2559
NM_032966	chr11(.):118759100-118771971	0.2049
NM_001716	chr11(.):118749540-118771971	0.164
NM_182557	chr11(.):118761850-118786613	0.1405
NM_020375	chr12(.):4425358-4474190	0.1034
NM_007273	chr12(.):7069516-7084891	0.2655
NM_001144831	chr12(.):7069514-7084916	0.2655
NM_001987	chr12(.):11797787-12053325	0.1731
NM_006143	chr12(.):12808994-12854121	0.1371
NM_001077484	chr12(.):46571840-46668208	0.2168
NM_001128914	chr12(.):53840885-53879946	0.4374
NM_000966	chr12(.):53599352-53631036	0.226
NM_001042728	chr12(.):53599352-53619150	0.2894
NM_005761	chr12(.):94537498-94704225	0.2397
NM_014706	chr12(.):108910990-108960165	0.2138
NM_001759	chr12(.):4377901-4419522	0.318
NM_001975	chr12(.):7018613-7037859	0.2961
NM_002831	chr12(.):7055433-7075479	0.5324
NR_029779	chr12(.):7067861-7077929	0.451
NM_080548	chr12(.):7050739-7075479	0.5503
NM_001007026	chr12(.):7028625-7056484	0.3529
NM_006992	chr12(.):7008896-7028406	0.1841
NM_001940	chr12(.):7032479-7056484	0.3075
NR_003010	chr12(.):7071499-7081769	0.2662
NM_138425	chr12(.):7048202-7060165	0.4373
NR_029682	chr12(.):7068259-7078354	0.4241
NM_006331	chr12(.):7074943-7090165	0.2321
NM_004064	chr12(.):12865301-12880305	0.648
NR_030344	chr12(.):12912582-12922677	0.1041
NM_001130415	chr12(.):12873850-12949399	0.1669
NM_030762	chr12(.):26267958-26283003	0.5735
NM_005086	chr12(.):26343505-26392708	0.1223
NM_001135823	chr12(.):26343268-26392708	0.1226
NM_001004304	chr12(.):53569534-53589654	0.328
NM_000889	chr12(.):53580106-53606000	0.6951
NM_015989	chr12(.):53546446-53579430	0.1469
NM_001170790	chr12(.):53640369-53653190	0.1306
NM_032889	chr12(.):53640875-53653190	0.1335
NM_001164691	chr12(.):53812638-53830318	0.1249
NM_001005354	chr12(.):53830432-53845427	0.1376
NM_134324	chr12(.):53890376-53905215	0.2012
NM_006301	chr12(.):53869275-53898444	0.2182
NM_134323	chr12(.):53889704-53905215	0.199
NM_003717	chr12(.):53895473-53906422	0.1307
NM_203394	chr12(.):77410025-77464360	0.2074
NM_001946	chr12(.):89736836-89751296	0.5437
NM_001025233	chr12(.):92812734-92829730	0.1986
NR_027933	chr12(.):92810306-92829778	0.186
NM_001025232	chr12(.):92808869-92826924	0.1784
NM_001111283	chr12(.):102784644-102879378	0.1833
NM_001111284	chr12(.):102784644-102877429	0.1637
NM_001111285	chr12(.):102806453-102879378	0.2124
NM_007076	chr12(.):108904050-108918380	0.149
NM_213595	chr12(.):108951293-108968160	0.6562
NM_181724	chr12(.):108978621-108996894	0.108
NM_003006	chr12(.):109010679-109032670	0.8853
NM_024667	chr12(.):123344874-123385712	0.3221
NM_021009	chr12(.):125391191-125404587	0.4052
NM_032436	chr13(.):115074964-115097803	0.1891
NM_000820	chr13(.):114518521-114572046	0.2474
NM_007368	chr13(.):114742193-114903095	0.1979
NM_001143945	chr13(.):114518521-114544017	0.1218
NM_001143946	chr13(.):114518521-114541714	0.1235
NR_024609	chr13(.):114581609-114631485	0.1966
NM_023011	chr13(.):115042077-115076283	0.2582
NM_003903	chr13(.):114995361-115043150	0.298
NM_001080414	chr14(.):91732666-91889133	0.2086
NM_024496	chr14(.):77485885-77500034	0.2901
NM_005065	chr14(.):81934238-82005205	0.1823
NM_025268	chr14(.):105987952-106001539	0.1236
NM_144508	chr15(.):40881446-40959881	0.12
NM_002420	chr15(.):31288550-31398924	0.2451
NM_006537	chr15(.):63791809-63888663	0.1486
NM_005902	chr15(.):67353194-67492533	0.1812
NM_006465	chr15(.):74828547-74895472	0.2132
NM_024776	chr15(.):77395470-77582333	0.1398
NM_172217	chr15(.):81512639-81610104	0.2015
NM_001172128	chr15(.):81484218-81610104	0.1722
NM_007011	chr15(.):89626380-89750591	0.2067
NR_029624	chr15(.):31352234-31362344	0.1498
NM_015995	chr15(.):31614082-31675102	0.3233
NM_001003942	chr15(.):40375091-40403287	0.4541
NM_033503	chr15(.):40375091-40403639	0.4507
NM_001003940	chr15(.):40375091-40406075	0.4283
NM_001080791	chr15(.):40840297-40862252	0.3605
NM_152260	chr15(.):40856536-40871661	0.2204
NR_002208	chr15(.):40819082-40829749	0.1118
NM_001145103	chr15(.):67425358-67492533	0.112
NM_001145102	chr15(.):67413053-67492533	0.1094
NM_001127190	chr15(.):75069424-75100539	0.3697
NM_000761	chr15(.):75036183-75053941	0.0829
NM_021819	chr15(.):75100193-75123099	0.0997
NM_001030005	chr15(.):75113950-75129136	0.0878
NM_021823	chr15(.):75310926-75348067	0.3566
NM_138967	chr15(.):75282875-75318836	0.2619
NR_026813	chr15(.):77511249-77522746	0.1026
NM_004513	chr15(.):81584253-81610104	0.4175
NM_181900	chr15(.):81600006-81621524	0.2606
