REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	KMS11_jia.bam	enhancerRank	isSuper	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank.1	isSuper.1
1_MACS_peak_26930_lociStitched	chr8	120914901	120950931	1	36031	94730.076	19	1	DEPDC6	DSCC1	DEPDC6	19	1
3_MACS_peak_22809_lociStitched	chr6	7893934	7921051	3	26013	92848.608	20	1	MUTED-TXNDC5,TXNDC5		TXNDC5	20	1
3_MACS_peak_25402_lociStitched	chr7	102062115	102093268	3	26709	91057.1037	21	1	PRKRIP1,ORAI2	LRWD1,ALKBH4,POLR2J	ORAI2	21	1
1_MACS_peak_1792_lociStitched	chr1	156626830	156638747	1	11918	90999.4037	22	1	BCAN,NES	HAPLN2,BCAN,CRABP2	NES	22	1
4_MACS_peak_26836_lociStitched	chr8	103793372	103828747	4	27401	89431.5375	23	1		AZIN1	AZIN1	23	1
2_MACS_peak_1799_lociStitched	chr1	156708869	156723196	2	13494	89307.3545	24	1	MRPL24,HDGF	C1orf66,PRCC,CRABP2,ISG20L2	MRPL24	24	1
9_MACS_peak_17765_lociStitched	chr22	39822916	39871639	9	39437	88822.029	25	1	TAB1,MGAT3	MGAT3,SMCR7L,ATF4	MGAT3	25	1
7_MACS_peak_5819_lociStitched	chr12	48191002	48227734	7	28306	87940.0812	26	1	HDAC7	SLC48A1,RAPGEF3	HDAC7	26	1
2_MACS_peak_2387_lociStitched	chr1	206727293	206750506	2	20095	85948.4538	27	1	RASSF5	LGTN	RASSF5	27	1
1_MACS_peak_23817_lociStitched	chr6	106531150	106556885	1	25736	85877.695	28	1	PRDM1		PRDM1	28	1
1_MACS_peak_5546_lociStitched	chr12	12865982	12880738	1	14757	85035.8768	29	1	CDKN1B,APOLD1	MIR613,GPR19	CDKN1B	29	1
5_MACS_peak_11509_lociStitched	chr17	56401711	56431001	5	20648	84686.177	30	1	BZRAP1,MIR142,SUPT4H1	MPO	MIR142	30	1
5_MACS_peak_1955_lociStitched	chr1	167502308	167535359	5	25092	84151.1511	31	1	CREG1	CD247	CREG1	31	1
3_MACS_peak_14138_lociStitched	chr2	20397914	20426441	3	23126	82796.7648	32	1	SDC1		SDC1	32	1
2_MACS_peak_25178_lociStitched	chr7	81418075	81443129	2	22655	81235.0896	33	1		HGF	HGF	33	1
6_MACS_peak_12155_lociStitched	chr18	20800136	20848386	6	33534	78859.8	34	1	CABLES1		CABLES1	34	1
4_MACS_peak_29561_lociStitched	chrX	153232396	153255894	4	16550	78290.6364	35	1	TMEM187,MIR3202-1,HCFC1,MIR3202-2	ARHGAP4,NAA10,RENBP,IRAK1,MIR718	MIR3202-1	35	1
2_MACS_peak_8348_lociStitched	chr15	31545353	31562412	2	16029	75226.7782	36	1			KLF13	36	1
2_MACS_peak_28346_lociStitched	chr9	132244248	132261063	2	15734	74631.696	37	1			C9orf50	37	1
2_MACS_peak_1721_lociStitched	chr1	154966166	154979573	2	11549	74571.0747	38	1	LENEP,ZBTB7B	CKS1B,MIR4258,FLAD1,DCST1,ADAM15,PBXIP1,PYGO2,SHC1,DCST2	ZBTB7B	38	1
1_MACS_peak_1763_lociStitched	chr1	155943492	155954487	1	10996	74287.7175	39	1	ARHGEF2	RXFP4,SCARNA4,KIAA0907,SSR2	ARHGEF2	39	1
3_MACS_peak_10974_lociStitched	chr17	32688735	32721710	3	29726	73916.76	40	1	CCL1	CCL8,CCL13	CCL1	40	1
5_MACS_peak_24677_lociStitched	chr7	29677592	29726602	5	31556	73828.664	41	1	DPY19L2P3,LOC646762,LOC100271874		LOC646762	41	1
7_MACS_peak_9205_lociStitched	chr15	93346261	93389674	7	24667	73068.4203	42	1		ASB9P1,LOC100507217	ASB9P1	42	1
1_MACS_peak_21218_lociStitched	chr5	1310410	1321755	1	11346	72470.7255	43	1	CLPTM1L	TERT	TERT	43	1
1_MACS_peak_17724_lociStitched	chr22	38782066	38798378	1	16313	72095.7776	44	1	LOC400927	KCNJ4	LOC400927	44	1
5_MACS_peak_8084_lociStitched	chr14	95944624	95987294	5	29810	70516.442	45	1		GLRX5,C14orf49,SCARNA13,SNHG10	C14orf49	45	1
3_MACS_peak_25880_lociStitched	chr7	150062712	150086725	3	22255	70312.4653	46	1	REPIN1,ZNF775	LRRC61,C7orf29,LOC728743,LOC285972,ACTR3C,RARRES2	ZNF775	46	1
1_MACS_peak_24609_lociStitched	chr7	23504539	23519666	1	15128	68867.1802	47	1	IGF2BP3	RPS2P32	IGF2BP3	47	1
5_MACS_peak_13550_lociStitched	chr19	45240478	45274734	5	21634	68275.6336	48	1	BCL3	CEACAM16,CBLC,BCAM	BCL3	48	1
2_MACS_peak_15914_lociStitched	chr2	219741463	219763269	2	19012	67879.8974	49	1	WNT10A	WNT6,PRKAG3	WNT10A	49	1
6_MACS_peak_1724_lociStitched	chr1	155021944	155059552	6	23704	67393.536	50	1	DCST1,ADAM15,EFNA4,EFNA3	ZBTB7B,EFNA1,SLC50A1,DCST2	EFNA4	50	1
1_MACS_peak_2144_lociStitched	chr1	184709295	184725442	1	16148	66824.3595	51	1	EDEM3		EDEM3	51	1
1_MACS_peak_17427_lociStitched	chr22	23265273	23286741	1	21469	66114.9996	52	1		IGLL5	IGLL5	52	1
1_MACS_peak_2322_lociStitched	chr1	203288136	203299829	1	11694	65525.2334	53	1		BTG2,LOC730227,FMOD	BTG2	53	1
1_MACS_peak_21090_lociStitched	chr4	185200369	185211171	1	10803	65185.7492	54	1			ENPP6	54	1
5_MACS_peak_17217_lociStitched	chr21	44829754	44860250	5	22581	64587.4784	55	1	SIK1	C21orf125,C21orf84	SIK1	55	1
5_MACS_peak_28152_lociStitched	chr9	123630126	123667712	5	23789	63381.2718	56	1	PHF19,TRAF1	LOC253039,PSMD5	PHF19	56	1
5_MACS_peak_23717_lociStitched	chr6	90055962	90085915	5	21004	63140.924	57	1	UBE2J1,RRAGD	GABRR2	UBE2J1	57	1
1_MACS_peak_3015_lociStitched	chr10	15824877	15838265	1	13389	63102.9992	58	1	FAM188A		ITGA8	58	1
9_MACS_peak_17417_lociStitched	chr22	23189886	23247650	9	39813	61969.2192	59	1	IGLL5	MIR650	IGLL5	59	1
5_MACS_peak_23494_lociStitched	chr6	52392254	52424802	5	27288	59920.868	60	1	TRAM2		TRAM2	60	1
4_MACS_peak_11544_lociStitched	chr17	57902417	57931578	4	25798	58686.5125	61	1	TMEM49,MIR21	RPS6KB1,TUBD1	MIR21	61	1
3_MACS_peak_10721_lociStitched	chr17	16872088	16895546	3	18296	58675.4954	62	1	TNFRSF13B		TNFRSF13B	62	1
1_MACS_peak_2432_lociStitched	chr1	209274225	209286359	1	12135	58288.0958	63	1			LOC642587	63	1
5_MACS_peak_16428_lociStitched	chr20	32250409	32275094	5	20284	58064.057	64	1	C20orf144,C20orf134,NECAB3,E2F1	ZNF341,PXMP4	NECAB3	64	1
7_MACS_peak_5447_lociStitched	chr12	7045895	7081108	7	23547	58027.5027	65	1	ATN1,C12orf57,PTPN6,MIR200C,MIR141,EMG1,PHB2,SCARNA12	LRRC23,ENO2,LPCAT3	PTPN6	65	1
4_MACS_peak_11116_lociStitched	chr17	38462394	38487512	4	23002	57831.6832	66	1	RARA	CDC6,RARA,GJD3	RARA	66	1
4_MACS_peak_23855_lociStitched	chr6	108897191	108933104	4	28970	56864.6442	67	1	FOXO3		FOXO3	67	1
4_MACS_peak_28364_lociStitched	chr9	132646047	132673963	4	22112	56314.9468	68	1	FNBP1	USP20,C9orf78	USP20	68	1
3_MACS_peak_12304_lociStitched	chr18	46439317	46462721	3	22380	56171.9404	69	1	SMAD7		SMAD7	69	1
3_MACS_peak_23028_lociStitched	chr6	27093841	27116244	3	20395	55463.1071	70	1	HIST1H2AG,HIST1H4I,HIST1H2AH,MIR3143,HIST1H2BJ,HIST1H2BK		HIST1H4I	70	1
4_MACS_peak_11868_lociStitched	chr17	76711393	76746415	4	25009	55250.7072	71	1	CYTH1		CYTH1	71	1
7_MACS_peak_16346_lociStitched	chr20	25261081	25300763	7	22122	55114.3298	72	1	PYGB,ABHD12		PYGB	72	1
1_MACS_peak_20539_lociStitched	chr4	105405251	105418032	1	12782	55009.424	73	1	CXXC4		CXXC4	73	1
3_MACS_peak_5948_lociStitched	chr12	53582728	53605672	3	19759	54849.9264	74	1	ZNF740,ITGB7,RARG	MFSD5,CSAD	ITGB7	74	1
3_MACS_peak_16447_lociStitched	chr20	32461208	32477563	3	14074	54751.6335	75	1			CHMP4B	75	1
1_MACS_peak_2736_lociStitched	chr1	234733776	234749920	1	16145	54561.8768	76	1	IRF2BP2	NCRNA00184	IRF2BP2	76	1
3_MACS_peak_10750_lociStitched	chr17	17720928	17744817	3	22879	54502.7535	77	1	SREBF1	SMCR5,MIR33B	SREBF1	77	1
1_MACS_peak_5390_lociStitched	chr12	4377065	4388446	1	11382	54240.7079	78	1	CCND2	C12orf5	CCND2	78	1
4_MACS_peak_13413_lociStitched	chr19	39880732	39904388	4	16715	54184.068	79	1	MED29,ZFP36,PLEKHG2,PAF1	SAMD4B,SUPT5H,RPS16	ZFP36	79	1
5_MACS_peak_1710_lociStitched	chr1	154821614	154860726	5	23489	53794.6448	80	1	KCNN3	PMVK	KCNN3	80	1
5_MACS_peak_8425_lociStitched	chr15	40329933	40363482	5	20110	53701.8843	81	1	SRP14	BMF	SRP14	81	1
2_MACS_peak_22839_lociStitched	chr6	11711752	11736502	2	19437	53613.45	82	1	C6orf105		C6orf105	82	1
3_MACS_peak_5968_lociStitched	chr12	53845159	53875376	3	26912	53453.873	83	1	PCBP2,MAP3K12	AMHR2,PRR13,TARBP2,NPFF	PCBP2	83	1
5_MACS_peak_26990_lociStitched	chr8	126283123	126322755	5	26954	53380.3408	84	1	NSMCE2		TRIB1	84	1
1_MACS_peak_15725_lociStitched	chr2	201980259	201995088	1	14830	52986.9828	85	1	CFLAR	NDUFB3,FAM126B	CFLAR	85	1
7_MACS_peak_22568_lociStitched	chr5	173310334	173356891	7	38885	52949.2761	86	1	CPEB4		CPEB4	86	1
5_MACS_peak_2350_lociStitched	chr1	205196240	205233049	5	23269	52835.6386	87	1	TMCC2	DSTYK	TMCC2	87	1
5_MACS_peak_412_lociStitched	chr1	25869564	25899197	5	23847	52343.7312	88	1	LDLRAP1	MAN1C1	LDLRAP1	88	1
8_MACS_peak_14974_lociStitched	chr2	99054912	99107532	8	35848	52109.586	89	1	INPP4A		INPP4A	89	1
3_MACS_peak_29556_lociStitched	chrX	153188834	153201890	3	9113	52043.8272	90	1	ARHGAP4,NAA10,RENBP	AVPR2,TMEM187,MIR3202-1,L1CAM,HCFC1,MIR3202-2	ARHGAP4	90	1
4_MACS_peak_12054_lociStitched	chr18	9061022	9087230	4	21223	51834.1824	91	1		NDUFV2,ANKRD12	NDUFV2	91	1
3_MACS_peak_9579_lociStitched	chr16	12051415	12072053	3	17578	51830.2732	92	1	TNFRSF17,RUNDC2A	GSPT1	TNFRSF17	92	1
2_MACS_peak_11049_lociStitched	chr17	36852910	36863571	2	8772	51766.6177	93	1	MLLT6	CISD3,PSMB3,C17orf96,PCGF2	MLLT6	93	1
1_MACS_peak_16555_lociStitched	chr20	37498265	37506450	1	8186	51763.577	94	1	PPP1R16B	FAM83D	FAM83D	94	1
2_MACS_peak_19129_lociStitched	chr3	133178628	133199962	2	17887	51291.2028	95	1	BFSP2		BFSP2	95	1
3_MACS_peak_17454_lociStitched	chr22	24176619	24192275	3	15213	50925.8368	96	1	SMARCB1,DERL3	SLC2A11,MIF	DERL3	96	1
3_MACS_peak_2098_lociStitched	chr1	182569797	182596518	3	20333	50556.132	97	1	LOC284648,RGS16	RNASEL,RGS8	LOC284648	97	1
2_MACS_peak_1644_lociStitched	chr1	152005994	152021973	2	10213	50461.682	98	1	S100A11	S100A10,TCHHL1	S100A11	98	1
2_MACS_peak_23987_lociStitched	chr6	128198529	128223560	2	19201	50279.7697	99	1	THEMIS		THEMIS	99	1
4_MACS_peak_10352_lociStitched	chr16	85626765	85650308	4	19274	50174.8416	100	1	KIAA0182		KIAA0182	100	1
1_MACS_peak_22846_lociStitched	chr6	11824030	11838068	1	14039	49999.1446	101	1		C6orf105	C6orf105	101	1
2_MACS_peak_25883_lociStitched	chr7	150100701	150113910	2	9744	49770.1911	102	1	LOC728743	REPIN1,ZNF775,LOC285972,GIMAP8	LOC728743	102	1
5_MACS_peak_21098_lociStitched	chr4	185317522	185349774	5	19903	49693.8816	103	1	IRF2		IRF2	103	1
3_MACS_peak_21567_lociStitched	chr5	55271854	55292611	3	20081	49636.2141	104	1	IL6ST		IL6ST	104	1
1_MACS_peak_13202_lociStitched	chr19	19050004	19065135	1	15132	49603.9573	105	1	HOMER3	DDX49,GDF1,COPE,HOMER3	HOMER3	105	1
1_MACS_peak_2629_lociStitched	chr1	226838769	226852487	1	13719	49376.5692	106	1	ITPKB		ITPKB	106	1
2_MACS_peak_11200_lociStitched	chr17	40825648	40834953	2	9284	49334.1795	107	1	CNTNAP1,PLEKHH3,CCR10	TUBG2	PLEKHH3	107	1
1_MACS_peak_2242_lociStitched	chr1	198886839	198907439	1	20601	49297.86	108	1			MIR181A1	108	1
1_MACS_peak_26736_lociStitched	chr8	95951925	95963874	1	11950	48736.3863	109	1	TP53INP1	CCNE2	TP53INP1	109	1
4_MACS_peak_1904_lociStitched	chr1	161768677	161787481	4	14348	48632.7852	110	1	ATF6	DUSP12	ATF6	110	1
3_MACS_peak_20309_lociStitched	chr4	77116159	77136523	3	15651	48612.9408	111	1	SCARB2	FAM47E,NUP54	SCARB2	111	1
3_MACS_peak_28285_lociStitched	chr9	130828748	130846761	3	16538	48512.6116	112	1	SLC25A25,NAIF1	SLC25A25,LOC389791,LOC100289019,PTGES2	SLC25A25	112	1
1_MACS_peak_21097_lociStitched	chr4	185301215	185308868	1	7654	48445.0206	113	1			IRF2	113	1
3_MACS_peak_345_lociStitched	chr1	23849171	23866528	3	13660	48301.0596	114	1	E2F2	ASAP3,ID3	E2F2	114	1
2_MACS_peak_17215_lociStitched	chr21	44771290	44784135	2	12685	48285.6395	115	1			SIK1	115	1
1_MACS_peak_1706_lociStitched	chr1	154755548	154766450	1	10903	48071.2788	116	1	KCNN3		KCNN3	116	1
5_MACS_peak_13489_lociStitched	chr19	42036485	42062680	5	18139	47973.523	117	1		CEACAM21	CEACAM21	117	1
6_MACS_peak_18386_lociStitched	chr3	46318109	46348395	6	29293	47894.2804	118	1		CCR3,CCR2	CCR3	118	1
1_MACS_peak_3061_lociStitched	chr10	22595548	22615864	1	20317	47706.0312	119	1	COMMD3,BMI1	SPAG6	COMMD3	119	1
4_MACS_peak_7902_lociStitched	chr14	77487473	77510541	4	22197	47508.546	120	1	C14orf4		C14orf4	120	1
1_MACS_peak_2116_lociStitched	chr1	183773394	183789741	1	16348	47466.7839	121	1	RGL1		APOBEC4	121	1
4_MACS_peak_21570_lociStitched	chr5	55306738	55334399	4	20695	46926.8865	122	1		IL6ST	IL6ST	122	1
5_MACS_peak_8917_lociStitched	chr15	75063562	75084191	5	18731	46908.2831	123	1	CSK	CYP1A2,LMAN1L,CPLX3,CYP1A1	CSK	123	1
4_MACS_peak_8431_lociStitched	chr15	40380583	40408741	4	20930	46821.1224	124	1	BMF	BUB1B,SRP14	BMF	124	1
2_MACS_peak_17524_lociStitched	chr22	29183331	29199555	2	15215	46778.6592	125	1	CCDC117,XBP1	HSCB,CHEK2	XBP1	125	1
4_MACS_peak_14868_lociStitched	chr2	87058195	87084759	4	19206	46603.8816	126	1	CD8B	CD8A	CD8B	126	1
3_MACS_peak_17667_lociStitched	chr22	37607587	37629208	3	18752	46597.5792	127	1	SSTR3,RAC2	CYTH4,C1QTNF6	SSTR3	127	1
2_MACS_peak_4631_lociStitched	chr11	65183366	65200011	2	16520	46499.472	128	1	NEAT1	FRMD8,MIR612,SLC25A45	NEAT1	128	1
3_MACS_peak_16442_lociStitched	chr20	32398874	32435697	3	26171	46422.7561	129	1	CHMP4B		CHMP4B	129	1
2_MACS_peak_18652_lociStitched	chr3	69128098	69155852	2	23748	46110.4956	130	1	ARL6IP5,UBA3	MIR3136,TMF1,LMOD3	ARL6IP5	130	1
4_MACS_peak_7348_lociStitched	chr14	23017946	23040597	4	19865	46094.785	131	1	DAD1	ABHD4	DAD1	131	1
1_MACS_peak_1578_lociStitched	chr1	149855025	149861585	1	6561	46042.016	132	1	HIST2H2AC,HIST2H2BE,HIST2H2AB	BOLA1,HIST2H3A,HIST2H2AA4,HIST2H2BC,SV2A,SF3B4,MTMR11	HIST2H2BE	132	1
4_MACS_peak_18014_lociStitched	chr22	50962518	50984403	4	15703	45976.008	133	1	NCAPH2,SCO2,TYMP,ODF3B	ADM2,MIOX,KLHDC7B,LOC100144603,SBF1,LMF2,C22orf41,CPT1B,CHKB	ODF3B	133	1
2_MACS_peak_16785_lociStitched	chr20	52224848	52241718	2	11808	45918.453	134	1		ZNF217	ZNF217	134	1
2_MACS_peak_1761_lociStitched	chr1	155903045	155918986	2	11645	45841.5337	135	1	RXFP4,KIAA0907,ARHGEF2	RIT1,SNORA42,SCARNA4	RXFP4	135	1
1_MACS_peak_10296_lociStitched	chr16	81680011	81693406	1	13396	45706.419	136	1	CMIP		PLCG2	136	1
3_MACS_peak_17526_lociStitched	chr22	29206657	29226425	3	18155	45468.3768	137	1		CCDC117,XBP1	XBP1	137	1
3_MACS_peak_2921_lociStitched	chr10	7510951	7536665	3	22334	45269.497	138	1			SFMBT2	138	1
3_MACS_peak_21272_lociStitched	chr5	6475391	6497594	3	17624	45178.6644	139	1	UBE2QL1		UBE2QL1	139	1
3_MACS_peak_10376_lociStitched	chr16	87883734	87905455	3	20320	44827.7998	140	1	SLC7A5		SLC7A5	140	1
5_MACS_peak_1486_lociStitched	chr1	145138269	145161688	5	18532	44772.4442	141	1		SEC22B,NOTCH2NL	SEC22B	141	1
2_MACS_peak_26787_lociStitched	chr8	101309479	101323760	2	12381	44762.3664	142	1	RNF19A		RNF19A	142	1
2_MACS_peak_5791_lociStitched	chr12	46118524	46133034	2	13294	44590.681	143	1	ARID2,LOC400027		ARID2	143	1
4_MACS_peak_17932_lociStitched	chr22	46751315	46770909	4	14475	44343.1814	144	1	TRMU,CELSR1		TRMU	144	1
2_MACS_peak_20603_lociStitched	chr4	113198823	113219701	2	16036	44323.994	145	1	ALPK1,TIFA	AP1AR	TIFA	145	1
3_MACS_peak_24730_lociStitched	chr7	34773399	34796668	3	18761	44020.2942	146	1	NPSR1,AAA1		AAA1	146	1
1_MACS_peak_14080_lociStitched	chr2	11883607	11895841	1	12235	43938.411	147	1	LPIN1		LPIN1	147	1
6_MACS_peak_9166_lociStitched	chr15	90721320	90746133	6	17648	43928.9352	148	1	SEMA4B	C15orf58,TTLL13,CIB1	SEMA4B	148	1
3_MACS_peak_23238_lociStitched	chr6	34620961	34644505	3	15177	43813.0296	149	1	C6orf106		C6orf106	149	1
2_MACS_peak_11402_lociStitched	chr17	47814810	47828392	2	13088	43773.4278	150	1	FAM117A	MYST2,SLC35B1	FAM117A	150	1
1_MACS_peak_1962_lociStitched	chr1	167595863	167602718	1	6856	43618.365	151	1	RCSD1		RCSD1	151	1
1_MACS_peak_8015_lociStitched	chr14	91828383	91844980	1	16598	43567.125	152	1	CCDC88C		CCDC88C	152	1
4_MACS_peak_15033_lociStitched	chr2	107108159	107130305	4	17911	43536.8214	153	1		RGPD3	RGPD3	153	1
2_MACS_peak_16788_lociStitched	chr20	52267377	52278772	2	11330	43369.37	154	1			ZNF217	154	1
5_MACS_peak_9824_lociStitched	chr16	29815318	29837559	5	14615	43216.4871	155	1	KIF22,MAZ,PRRT2,C16orf53,MVP	ZG16,LOC440356,CDIPT	C16orf53	155	1
1_MACS_peak_5351_lociStitched	chr12	1637748	1645532	1	7785	43187.1888	156	1		LOC100292680	LOC100292680	156	1
6_MACS_peak_10129_lociStitched	chr16	68270797	68299846	6	18630	43024.4739	157	1	PLA2G15,SLC7A6	PRMT7,ESRP2,SLC7A6OS	PLA2G15	157	1
1_MACS_peak_11096_lociStitched	chr17	38015592	38025092	1	9501	43023.6	158	1	ZPBP2,IKZF3	GSDMB	IKZF3	158	1
1_MACS_peak_23194_lociStitched	chr6	32934866	32942788	1	7923	42934.0712	159	1	BRD2	HLA-DMB,HLA-DMA,HLA-DOA	BRD2	159	1
16_MACS_peak_29038_lociStitched	chrX	58213076	58278968	16	43158	42829.8	160	1			ZXDA	160	1
3_MACS_peak_17210_lociStitched	chr21	44725787	44747316	3	15446	42827.6397	161	1			SIK1	161	1
1_MACS_peak_2272_lociStitched	chr1	200855561	200867930	1	12370	42652.0227	162	1	C1orf106	GPR25	C1orf106	162	1
2_MACS_peak_13109_lociStitched	chr19	16694140	16707157	2	11698	42487.488	163	1	MED26	CHERP,SLC35E1	SLC35E1	163	1
1_MACS_peak_9603_lociStitched	chr16	14394724	14405643	1	10920	42388.6499	164	1	MIR193B,MIR365-1		MIR193B	164	1
4_MACS_peak_9686_lociStitched	chr16	21509819	21532589	4	16279	42206.472	165	1	LOC100271836,SLC7A5P2		LOC100271836	165	1
1_MACS_peak_8256_lociStitched	chr14	106324809	106330536	1	5728	42189.6636	166	1			KIAA0125	166	1
2_MACS_peak_21106_lociStitched	chr4	185391254	185399534	2	8225	41626.044	167	1	IRF2		IRF2	167	1
1_MACS_peak_11847_lociStitched	chr17	76246445	76256833	1	10389	41545.7672	168	1		BIRC5,LOC283999,EPR1	LOC283999	168	1
7_MACS_peak_21574_lociStitched	chr5	55343498	55378251	7	23317	41436.0019	169	1			IL6ST	169	1
7_MACS_peak_13678_lociStitched	chr19	48875181	48904163	7	19492	41418.1762	170	1	SYNGR4,GRIN2D,KDELR1	EMP3,GRWD1,TMEM143	KDELR1	170	1
4_MACS_peak_28118_lociStitched	chr9	117245704	117268491	4	18481	41374.3559	171	1	DFNB31		DFNB31	171	1
5_MACS_peak_22985_lociStitched	chr6	26183936	26207318	5	14744	41355.7434	172	1	HIST1H2BE,HIST1H2BF,HIST1H4E,HIST1H4D,HIST1H3D,HIST1H2AD	HIST1H1E,HIST1H2BD,HIST1H2AE,HIST1H3E,HIST1H4F,HIST1H2BH,HIST1H2BG,HIST1H1D,HIST1H4G,HIST1H3F	HIST1H3D	172	1
4_MACS_peak_8801_lociStitched	chr15	68477546	68503514	4	18816	41252.7648	173	1	PIAS1,CALML4,CLN6		CALML4	173	1
7_MACS_peak_11600_lociStitched	chr17	62150505	62186378	7	25703	41200.1405	174	1	ERN1	SNORD104,SNORA76	ERN1	174	1
2_MACS_peak_17475_lociStitched	chr22	24819653	24834654	2	13636	41095.2395	175	1	ADORA2A,C22orf45		ADORA2A	175	1
3_MACS_peak_24642_lociStitched	chr7	26000467	26011556	3	10944	41074.7649	176	1		MIR148A	MIR148A	176	1
4_MACS_peak_141_lociStitched	chr1	9465845	9489800	4	17373	40924.722	177	1			SLC25A33	177	1
3_MACS_peak_21136_lociStitched	chr4	186262306	186285902	3	16203	40887.1488	178	1	SNX25,LRP2BP	ANKRD37	LRP2BP	178	1
2_MACS_peak_16626_lociStitched	chr20	43269761	43282227	2	12298	40842.3558	179	1	ADA	LOC79015	ADA	179	1
1_MACS_peak_11097_lociStitched	chr17	38076109	38086702	1	10594	40826.4813	180	1	ORMDL3	LOC728129,GSDMA,GSDMB	ORMDL3	180	1
5_MACS_peak_29334_lociStitched	chrX	118756003	118785520	5	19716	40727.5566	181	1	SEPT6,MIR766	UBE2A,NKRF	MIR766	181	1
2_MACS_peak_13548_lociStitched	chr19	45216467	45232459	2	11014	40706.0368	182	1		CEACAM19,CEACAM16,BCL3,CBLC	CEACAM16	182	1
10_MACS_peak_26048_lociStitched	chr8	11286053	11325787	10	21617	40703.5096	183	1	C8orf12,FAM167A	BLK	FAM167A	183	1
2_MACS_peak_16601_lociStitched	chr20	42567229	42586114	2	16814	40591.419	184	1	TOX2		TOX2	184	1
5_MACS_peak_1887_lociStitched	chr1	161409345	161442538	5	22310	40531.9723	185	1		FCGR2A	FCGR2A	185	1
4_MACS_peak_7943_lociStitched	chr14	81930636	81955817	4	20698	40440.686	186	1	SEL1L		SEL1L	186	1
6_MACS_peak_25385_lociStitched	chr7	101916153	101938953	6	15309	40353.72	187	1	CUX1,SH2B2,MIR4285		SH2B2	187	1
1_MACS_peak_2027_lociStitched	chr1	174931988	174942553	1	10566	40294.91	188	1		CACYBP	CACYBP	188	1
1_MACS_peak_2117_lociStitched	chr1	183808725	183817789	1	9065	40185.244	189	1	RGL1		APOBEC4	189	1
4_MACS_peak_26793_lociStitched	chr8	101440488	101465577	4	15978	40180.0335	190	1			ANKRD46	190	1
9_MACS_peak_8036_lociStitched	chr14	93213410	93253157	9	20806	40061.0013	191	1	LGMN	GOLGA5	LGMN	191	1
