REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	KMS11_jia.bam	enhancerRank	isStretch	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isStretch
7_MACS_peak_21574_lociStitched	chr5	55343498	55378251	7	23317	41436.0019	52	1			IL6ST	IL6ST	0.8672	52	1
5_MACS_peak_2350_lociStitched	chr1	205196240	205233049	5	23269	52835.6386	53	1	TMCC2	DSTYK	TMCC2	TMCC2	1.0406	53	1
3_MACS_peak_14138_lociStitched	chr2	20397914	20426441	3	23126	82796.7648	54	1	SDC1		SDC1	SDC1	2.4284	54	1
4_MACS_peak_11116_lociStitched	chr17	38462394	38487512	4	23002	57831.6832	55	1	RARA	CDC6,RARA,GJD3	RARA	RARA	1.0641	55	1
3_MACS_peak_10750_lociStitched	chr17	17720928	17744817	3	22879	54502.7535	56	1	SREBF1	SMCR5,MIR33B	SREBF1	SREBF1	1.6807	56	1
2_MACS_peak_25178_lociStitched	chr7	81418075	81443129	2	22655	81235.0896	57	1		HGF	HGF	HGF	0.1003	57	1
5_MACS_peak_17217_lociStitched	chr21	44829754	44860250	5	22581	64587.4784	58	1	SIK1	C21orf125,C21orf84	SIK1	SIK1	2.7674	58	1
4_MACS_peak_23861_lociStitched	chr6	108982702	109013000	4	22499	36706.027	59	1	FOXO3		NCRNA00222	NCRNA00222	NONE	59	1
3_MACS_peak_12304_lociStitched	chr18	46439317	46462721	3	22380	56171.9404	60	1	SMAD7		SMAD7	SMAD7	1.8952	60	1
3_MACS_peak_2921_lociStitched	chr10	7510951	7536665	3	22334	45269.497	61	1			SFMBT2	SFMBT2	NONE	61	1
5_MACS_peak_1887_lociStitched	chr1	161409345	161442538	5	22310	40531.9723	62	1		FCGR2A	FCGR2A	FCGR2A	0.3501	62	1
3_MACS_peak_25880_lociStitched	chr7	150062712	150086725	3	22255	70312.4653	63	1	REPIN1,ZNF775	LRRC61,C7orf29,LOC728743,LOC285972,ACTR3C,RARRES2	ZNF775	LOC728743	3.0212	63	1
4_MACS_peak_7902_lociStitched	chr14	77487473	77510541	4	22197	47508.546	64	1	C14orf4		C14orf4	C14orf4	2.2217	64	1
7_MACS_peak_16346_lociStitched	chr20	25261081	25300763	7	22122	55114.3298	65	1	PYGB,ABHD12		PYGB	PYGB	0.7355	65	1
4_MACS_peak_28364_lociStitched	chr9	132646047	132673963	4	22112	56314.9468	66	1	FNBP1	USP20,C9orf78	USP20	C9orf78	0.4097	66	1
6_MACS_peak_19224_lociStitched	chr3	143532636	143571361	6	21985	39023.1825	67	1	SLC9A9		SLC9A9	SLC9A9	0.1417	67	1
5_MACS_peak_13550_lociStitched	chr19	45240478	45274734	5	21634	68275.6336	68	1	BCL3	CEACAM16,CBLC,BCAM	BCL3	BCL3	2.5169	68	1
10_MACS_peak_26048_lociStitched	chr8	11286053	11325787	10	21617	40703.5096	69	1	C8orf12,FAM167A	BLK	FAM167A	FAM167A	0.7769	69	1
1_MACS_peak_17427_lociStitched	chr22	23265273	23286741	1	21469	66114.9996	70	1		IGLL5	IGLL5	IGLL5	1.52	70	1
5_MACS_peak_5275_lociStitched	chr11	128585487	128610124	5	21369	34595.2754	71	1	FLI1		FLI1	FLI1	0.3829	71	1
4_MACS_peak_12054_lociStitched	chr18	9061022	9087230	4	21223	51834.1824	72	1		NDUFV2,ANKRD12	NDUFV2	NDUFV2	1.4366	72	1
5_MACS_peak_23717_lociStitched	chr6	90055962	90085915	5	21004	63140.924	73	1	UBE2J1,RRAGD	GABRR2	UBE2J1	UBE2J1	1.3288	73	1
4_MACS_peak_8431_lociStitched	chr15	40380583	40408741	4	20930	46821.1224	74	1	BMF	BUB1B,SRP14	BMF	BMF	1.5803	74	1
7_MACS_peak_19550_lociStitched	chr3	183220083	183255086	7	20895	33263.3509	75	1	KLHL6		KLHL6	KLHL6	0.5803	75	1
9_MACS_peak_8036_lociStitched	chr14	93213410	93253157	9	20806	40061.0013	76	1	LGMN	GOLGA5	LGMN	LGMN	0.3999	76	1
6_MACS_peak_5741_lociStitched	chr12	33037162	33060499	6	20711	35138.5209	77	1	PKP2		PKP2	PKP2	0.3514	77	1
4_MACS_peak_7943_lociStitched	chr14	81930636	81955817	4	20698	40440.686	78	1	SEL1L		SEL1L	SEL1L	0.6543	78	1
4_MACS_peak_21570_lociStitched	chr5	55306738	55334399	4	20695	46926.8865	79	1		IL6ST	IL6ST	IL6ST	0.8672	79	1
4_MACS_peak_2669_lociStitched	chr1	228763619	228784478	4	20671	19338.3789	80	1	DUSP5P		DUSP5P	DUSP5P	0.5211	80	1
5_MACS_peak_11509_lociStitched	chr17	56401711	56431001	5	20648	84686.177	81	1	BZRAP1,MIR142,SUPT4H1	MPO	MIR142	MIR142	3.8214	81	1
1_MACS_peak_2242_lociStitched	chr1	198886839	198907439	1	20601	49297.86	82	1			MIR181A1	MIR181A1	NONE	82	1
3_MACS_peak_23028_lociStitched	chr6	27093841	27116244	3	20395	55463.1071	83	1	HIST1H2AG,HIST1H4I,HIST1H2AH,MIR3143,HIST1H2BJ,HIST1H2BK		HIST1H4I	HIST1H4I	1.5525	83	1
3_MACS_peak_2098_lociStitched	chr1	182569797	182596518	3	20333	50556.132	84	1	LOC284648,RGS16	RNASEL,RGS8	LOC284648	LOC284648	2.3472	84	1
3_MACS_peak_10376_lociStitched	chr16	87883734	87905455	3	20320	44827.7998	85	1	SLC7A5		SLC7A5	SLC7A5	0.9794	85	1
1_MACS_peak_3061_lociStitched	chr10	22595548	22615864	1	20317	47706.0312	86	1	COMMD3,BMI1	SPAG6	COMMD3	COMMD3	2.7105	86	1
5_MACS_peak_16428_lociStitched	chr20	32250409	32275094	5	20284	58064.057	87	1	C20orf144,C20orf134,NECAB3,E2F1	ZNF341,PXMP4	NECAB3	NECAB3	1.4504	87	1
5_MACS_peak_8425_lociStitched	chr15	40329933	40363482	5	20110	53701.8843	88	1	SRP14	BMF	SRP14	BMF	1.5803	88	1
2_MACS_peak_2387_lociStitched	chr1	206727293	206750506	2	20095	85948.4538	89	1	RASSF5	LGTN	RASSF5	RASSF5	1.0661	89	1
3_MACS_peak_21567_lociStitched	chr5	55271854	55292611	3	20081	49636.2141	90	1	IL6ST		IL6ST	IL6ST	0.8672	90	1
4_MACS_peak_22142_lociStitched	chr5	131745413	131774322	4	20051	34809.3269	91	1	C5orf56	SLC22A5,MIR3936	C5orf56	C5orf56	0.8896	91	1
4_MACS_peak_11702_lociStitched	chr17	72732887	72757634	4	19918	35358.5136	92	1	RAB37,SLC9A3R1,MIR3615	TMEM104,CD300LF,NAT9	SLC9A3R1	SLC9A3R1	1.0248	92	1
7_MACS_peak_23000_lociStitched	chr6	26330618	26366584	7	19910	30567.5034	93	1	BTN3A2	BTN3A2,BTN2A2,BTN3A1,HIST1H4H	BTN3A2	HIST1H4H	1.1614	93	1
5_MACS_peak_21098_lociStitched	chr4	185317522	185349774	5	19903	49693.8816	94	1	IRF2		IRF2	IRF2	1.5591	94	1
4_MACS_peak_7348_lociStitched	chr14	23017946	23040597	4	19865	46094.785	95	1	DAD1	ABHD4	DAD1	DAD1	1.0945	95	1
1_MACS_peak_20469_lociStitched	chr4	90210361	90230191	1	19831	110982.561	96	1	GPRIN3		GPRIN3	GPRIN3	1.6569	96	1
3_MACS_peak_5948_lociStitched	chr12	53582728	53605672	3	19759	54849.9264	97	1	ZNF740,ITGB7,RARG	MFSD5,CSAD	ITGB7	ITGB7	2.1402	97	1
5_MACS_peak_29334_lociStitched	chrX	118756003	118785520	5	19716	40727.5566	98	1	SEPT6,MIR766	UBE2A,NKRF	MIR766	MIR766	1.1627	98	1
2_MACS_peak_897_lociStitched	chr1	51425075	51449973	2	19599	32937.5642	99	1	CDKN2C,FAF1		CDKN2C	CDKN2C	1.5773	99	1
7_MACS_peak_13678_lociStitched	chr19	48875181	48904163	7	19492	41418.1762	100	1	SYNGR4,GRIN2D,KDELR1	EMP3,GRWD1,TMEM143	KDELR1	EMP3	2.0114	100	1
2_MACS_peak_22839_lociStitched	chr6	11711752	11736502	2	19437	53613.45	101	1	C6orf105		C6orf105	C6orf105	0.8659	101	1
7_MACS_peak_13820_lociStitched	chr19	54870643	54901013	7	19286	35186.682	102	1	LAIR1	TTYH1,LILRA5,LILRA4	LAIR1	LAIR1	0.6046	102	1
4_MACS_peak_10352_lociStitched	chr16	85626765	85650308	4	19274	50174.8416	103	1	KIAA0182		KIAA0182	KIAA0182	0.4451	103	1
5_MACS_peak_5383_lociStitched	chr12	4248364	4274563	5	19236	31708.6497	104	1			CCND2	CCND2	1.3946	104	1
2_MACS_peak_21421_lociStitched	chr5	32570565	32590341	2	19225	39783.3792	105	1	SUB1		SUB1	SUB1	1.0473	105	1
4_MACS_peak_14868_lociStitched	chr2	87058195	87084759	4	19206	46603.8816	106	1	CD8B	CD8A	CD8B	CD8B	0.8889	106	1
2_MACS_peak_23987_lociStitched	chr6	128198529	128223560	2	19201	50279.7697	107	1	THEMIS		THEMIS	THEMIS	0.3141	107	1
1_MACS_peak_19793_lociStitched	chr4	1856923	1876002	1	19080	38251.4871	108	1	WHSC1,LETM1	WHSC1	WHSC1	WHSC1	0.2032	108	1
2_MACS_peak_15914_lociStitched	chr2	219741463	219763269	2	19012	67879.8974	109	1	WNT10A	WNT6,PRKAG3	WNT10A	WNT10A	2.9115	109	1
4_MACS_peak_8801_lociStitched	chr15	68477546	68503514	4	18816	41252.7648	110	1	PIAS1,CALML4,CLN6		CALML4	CALML4	1.613	110	1
3_MACS_peak_24730_lociStitched	chr7	34773399	34796668	3	18761	44020.2942	111	1	NPSR1,AAA1		AAA1	AAA1	0.1886	111	1
3_MACS_peak_17667_lociStitched	chr22	37607587	37629208	3	18752	46597.5792	112	1	SSTR3,RAC2	CYTH4,C1QTNF6	SSTR3	SSTR3	0.8861	112	1
5_MACS_peak_4637_lociStitched	chr11	65254211	65278504	5	18748	36718.8695	113	1	MALAT1	MIR612,SCYL1,LTBP3	MALAT1	MALAT1	1.7084	113	1
5_MACS_peak_8917_lociStitched	chr15	75063562	75084191	5	18731	46908.2831	114	1	CSK	CYP1A2,LMAN1L,CPLX3,CYP1A1	CSK	CSK	1.4871	114	1
6_MACS_peak_9259_lociStitched	chr15	99673625	99708669	6	18729	28644.9656	115	1	SYNM,TTC23		SYNM	SYNM	0.4496	115	1
4_MACS_peak_22400_lociStitched	chr5	150512935	150538156	4	18705	36789.8727	116	1	ANXA6		ANXA6	ANXA6	0.6297	116	1
6_MACS_peak_10129_lociStitched	chr16	68270797	68299846	6	18630	43024.4739	117	1	PLA2G15,SLC7A6	PRMT7,ESRP2,SLC7A6OS	PLA2G15	PLA2G15	1.5874	117	1
5_MACS_peak_25953_lociStitched	chr7	157783569	157818235	5	18624	36288.3688	118	1	PTPRN2		MIR153-2	MIR153-2	NONE	118	1
5_MACS_peak_1486_lociStitched	chr1	145138269	145161688	5	18532	44772.4442	119	1		SEC22B,NOTCH2NL	SEC22B	NOTCH2NL	0.5915	119	1
4_MACS_peak_28118_lociStitched	chr9	117245704	117268491	4	18481	41374.3559	120	1	DFNB31		DFNB31	DFNB31	0.6327	120	1
5_MACS_peak_21409_lociStitched	chr5	32277092	32302001	5	18399	23715.8589	121	1	MTMR12		MTMR12	MTMR12	0.3876	121	1
6_MACS_peak_24929_lociStitched	chr7	55614082	55643317	6	18377	31860.303	122	1	VOPP1		VOPP1	VOPP1	0.7035	122	1
3_MACS_peak_10721_lociStitched	chr17	16872088	16895546	3	18296	58675.4954	123	1	TNFRSF13B		TNFRSF13B	TNFRSF13B	0.7001	123	1
3_MACS_peak_9569_lociStitched	chr16	11820704	11843410	3	18252	35325.9948	124	1	TXNDC11	ZC3H7A	TXNDC11	TXNDC11	0.7857	124	1
6_MACS_peak_3808_lociStitched	chr10	111640186	111670668	6	18208	26107.833	125	1	XPNPEP1		XPNPEP1	XPNPEP1	0.4479	125	1
3_MACS_peak_17526_lociStitched	chr22	29206657	29226425	3	18155	45468.3768	126	1		CCDC117,XBP1	XBP1	XBP1	2.8822	126	1
5_MACS_peak_13489_lociStitched	chr19	42036485	42062680	5	18139	47973.523	127	1		CEACAM21	CEACAM21	CEACAM21	0.0792	127	1
2_MACS_peak_1598_lociStitched	chr1	150532329	150553271	2	18126	101451.4248	128	1	ADAMTSL4,MCL1	MIR4257,ENSA	MCL1	MCL1	1.7301	128	1
1_MACS_peak_10001_lociStitched	chr16	56963731	56981846	1	18116	34922.097	129	1	HERPUD1	CETP,NLRC5	HERPUD1	HERPUD1	1.614	129	1
6_MACS_peak_13832_lociStitched	chr19	55164872	55193120	6	18000	25801.7232	130	1	LILRB4	LILRB1,LILRP2,KIR3DL3	LILRB4	LILRB4	0.9743	130	1
4_MACS_peak_15033_lociStitched	chr2	107108159	107130305	4	17911	43536.8214	131	1		RGPD3	RGPD3	RGPD3	0.078	131	1
2_MACS_peak_19446_lociStitched	chr3	171804657	171826747	2	17892	35023.695	132	1	FNDC3B		FNDC3B	FNDC3B	0.1875	132	1
2_MACS_peak_19129_lociStitched	chr3	133178628	133199962	2	17887	51291.2028	133	1	BFSP2		BFSP2	BFSP2	0.7759	133	1
6_MACS_peak_16436_lociStitched	chr20	32357602	32378293	6	17824	26581.7277	134	1	ZNF341	CHMP4B,PXMP4	CHMP4B	CHMP4B	1.0813	134	1
5_MACS_peak_26178_lociStitched	chr8	26148292	26181283	5	17785	30440.7957	135	1	PPP2R2A		PPP2R2A	PPP2R2A	0.4037	135	1
6_MACS_peak_9166_lociStitched	chr15	90721320	90746133	6	17648	43928.9352	136	1	SEMA4B	C15orf58,TTLL13,CIB1	SEMA4B	SEMA4B	0.8819	136	1
3_MACS_peak_21272_lociStitched	chr5	6475391	6497594	3	17624	45178.6644	137	1	UBE2QL1		UBE2QL1	UBE2QL1	1.0594	137	1
3_MACS_peak_9579_lociStitched	chr16	12051415	12072053	3	17578	51830.2732	138	1	TNFRSF17,RUNDC2A	GSPT1	TNFRSF17	TNFRSF17	3.3494	138	1
5_MACS_peak_5478_lociStitched	chr12	9435799	9463875	5	17566	33983.1904	139	1	LOC642846	LOC100499405	LOC642846	LOC642846	0.8748	139	1
4_MACS_peak_18378_lociStitched	chr3	46132357	46154148	4	17454	34582.317	140	1			XCR1	XCR1	NONE	140	1
3_MACS_peak_15868_lociStitched	chr2	216764883	216785554	3	17433	33759.8772	141	1			LOC646324	LOC646324	0.1776	141	1
4_MACS_peak_2723_lociStitched	chr1	233791012	233813308	4	17431	37847.46	142	1	KCNK1		KCNK1	KCNK1	0.7992	142	1
4_MACS_peak_141_lociStitched	chr1	9465845	9489800	4	17373	40924.722	143	1			SLC25A33	SLC25A33	NONE	143	1
4_MACS_peak_12593_lociStitched	chr19	1015153	1041099	4	17273	35872.9396	144	1	CNN2,ABCA7,C19orf6	WDR18,GRIN3B,HMHA1	CNN2	CNN2	1.1544	144	1
3_MACS_peak_5176_lociStitched	chr11	120195407	120216735	3	17187	28920.768	145	1	TMEM136,ARHGEF12		ARHGEF12	ARHGEF12	0.2028	145	1
5_MACS_peak_9286_lociStitched	chr15	101660298	101690012	5	17155	33154.8812	146	1			CHSY1	CHSY1	0.6017	146	1
7_MACS_peak_11292_lociStitched	chr17	43502512	43531448	7	17002	32790.2752	147	1	ARHGAP27,SH3D20,PLEKHM1	ARHGAP27,MIR4315-1	SH3D20	SH3D20	1.0472	147	1
4_MACS_peak_14442_lociStitched	chr2	47526716	47550462	4	16880	39795.9214	148	1		EPCAM	EPCAM	EPCAM	0.1039	148	1
4_MACS_peak_14950_lociStitched	chr2	97190250	97212905	4	16830	38744.581	149	1	ARID5A	NEURL3	ARID5A	ARID5A	0.8249	149	1
5_MACS_peak_19330_lociStitched	chr3	156799542	156824610	5	16826	37722.3264	150	1	LOC100498859,LOC339894		LOC100498859	LOC100498859	1.7034	150	1
2_MACS_peak_16601_lociStitched	chr20	42567229	42586114	2	16814	40591.419	151	1	TOX2		TOX2	TOX2	0.6184	151	1
7_MACS_peak_4612_lociStitched	chr11	64835535	64864847	7	16754	23818.9312	152	1	ZFPL1,C11orf2,CDCA5	SNX15,SAC3D1,TM7SF2,MRPL49,NAALADL1,ZNHIT2,FAU,SYVN1	CDCA5	ZNHIT2	0.7214	152	1
5_MACS_peak_24765_lociStitched	chr7	38383839	38408355	5	16726	27862.434	153	1			TARP	TARP	NONE	153	1
4_MACS_peak_13413_lociStitched	chr19	39880732	39904388	4	16715	54184.068	154	1	MED29,ZFP36,PLEKHG2,PAF1	SAMD4B,SUPT5H,RPS16	ZFP36	ZFP36	3.5679	154	1
5_MACS_peak_8353_lociStitched	chr15	31635730	31660698	5	16708	36166.148	155	1	KLF13		KLF13	KLF13	1.138	155	1
1_MACS_peak_8015_lociStitched	chr14	91828383	91844980	1	16598	43567.125	156	1	CCDC88C		CCDC88C	CCDC88C	0.622	156	1
4_MACS_peak_29561_lociStitched	chrX	153232396	153255894	4	16550	78290.6364	157	1	TMEM187,MIR3202-1,HCFC1,MIR3202-2	ARHGAP4,NAA10,RENBP,IRAK1,MIR718	MIR3202-1	NAA10	3.1878	157	1
3_MACS_peak_28285_lociStitched	chr9	130828748	130846761	3	16538	48512.6116	158	1	SLC25A25,NAIF1	SLC25A25,LOC389791,LOC100289019,PTGES2	SLC25A25	SLC25A25	1.0325	158	1
2_MACS_peak_4631_lociStitched	chr11	65183366	65200011	2	16520	46499.472	159	1	NEAT1	FRMD8,MIR612,SLC25A45	NEAT1	NEAT1	2.9656	159	1
1_MACS_peak_21420_lociStitched	chr5	32530352	32546826	1	16475	35595.3718	160	1		SUB1	SUB1	SUB1	1.0473	160	1
5_MACS_peak_8066_lociStitched	chr14	94422554	94448536	5	16403	35603.1346	161	1	ASB2	FAM181A,C14orf48,OTUB2,C14orf86	ASB2	C14orf48	1.1153	161	1
1_MACS_peak_2116_lociStitched	chr1	183773394	183789741	1	16348	47466.7839	162	1	RGL1		APOBEC4	APOBEC4	NONE	162	1
2_MACS_peak_6080_lociStitched	chr12	58224965	58241411	2	16339	37534.7058	163	1	CTDSP2	TSFM,AVIL,MIR26A2	CTDSP2	CTDSP2	1.0745	163	1
1_MACS_peak_17724_lociStitched	chr22	38782066	38798378	1	16313	72095.7776	164	1	LOC400927	KCNJ4	LOC400927	LOC400927	1.268	164	1
4_MACS_peak_9686_lociStitched	chr16	21509819	21532589	4	16279	42206.472	165	1	LOC100271836,SLC7A5P2		LOC100271836	LOC100271836	0.3225	165	1
7_MACS_peak_23831_lociStitched	chr6	107421645	107451999	7	16275	27828.5472	166	1	BEND3		BEND3	BEND3	0.5969	166	1
4_MACS_peak_12058_lociStitched	chr18	9101598	9122834	4	16263	32998.6204	167	1	NDUFV2	ANKRD12	NDUFV2	NDUFV2	1.4366	167	1
3_MACS_peak_21136_lociStitched	chr4	186262306	186285902	3	16203	40887.1488	168	1	SNX25,LRP2BP	ANKRD37	LRP2BP	ANKRD37	0.6913	168	1
4_MACS_peak_3425_lociStitched	chr10	74075512	74097182	4	16181	30903.587	169	1	DNAJB12	DDIT4	DNAJB12	DDIT4	1.1133	169	1
