REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	KMS11_jia.bam	enhancerRank	isSuperStretch	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isSuperStretch
7_MACS_peak_5447_lociStitched	chr12	7045895	7081108	7	23547	58027.5027	52	1	ATN1,C12orf57,PTPN6,MIR200C,MIR141,EMG1,PHB2,SCARNA12	LRRC23,ENO2,LPCAT3	PTPN6	PTPN6	1.8471	52	1
5_MACS_peak_13550_lociStitched	chr19	45240478	45274734	5	21634	68275.6336	53	1	BCL3	CEACAM16,CBLC,BCAM	BCL3	BCL3	2.5169	53	1
5_MACS_peak_412_lociStitched	chr1	25869564	25899197	5	23847	52343.7312	54	1	LDLRAP1	MAN1C1	LDLRAP1	LDLRAP1	1.5021	54	1
4_MACS_peak_11116_lociStitched	chr17	38462394	38487512	4	23002	57831.6832	55	1	RARA	CDC6,RARA,GJD3	RARA	RARA	1.0641	55	1
2_MACS_peak_11286_lociStitched	chr17	43297162	43315032	2	14022	95027.299	56	1	FMNL1	LOC100133991,C17orf46	FMNL1	FMNL1	2.9062	56	1
5_MACS_peak_1710_lociStitched	chr1	154821614	154860726	5	23489	53794.6448	57	1	KCNN3	PMVK	KCNN3	PMVK	2.1548	57	1
7_MACS_peak_29030_lociStitched	chrX	58123360	58159720	7	26211	23514.012	58	1			ZXDA	ZXDA	NONE	58	1
1_MACS_peak_17427_lociStitched	chr22	23265273	23286741	1	21469	66114.9996	59	1		IGLL5	IGLL5	IGLL5	1.52	59	1
5_MACS_peak_2350_lociStitched	chr1	205196240	205233049	5	23269	52835.6386	60	1	TMCC2	DSTYK	TMCC2	TMCC2	1.0406	60	1
3_MACS_peak_10750_lociStitched	chr17	17720928	17744817	3	22879	54502.7535	61	1	SREBF1	SMCR5,MIR33B	SREBF1	SREBF1	1.6807	61	1
2_MACS_peak_18652_lociStitched	chr3	69128098	69155852	2	23748	46110.4956	62	1	ARL6IP5,UBA3	MIR3136,TMF1,LMOD3	ARL6IP5	ARL6IP5	1.4522	62	1
3_MACS_peak_12304_lociStitched	chr18	46439317	46462721	3	22380	56171.9404	63	1	SMAD7		SMAD7	SMAD7	1.8952	63	1
4_MACS_peak_28364_lociStitched	chr9	132646047	132673963	4	22112	56314.9468	64	1	FNBP1	USP20,C9orf78	USP20	C9orf78	0.4097	64	1
5_MACS_peak_23717_lociStitched	chr6	90055962	90085915	5	21004	63140.924	65	1	UBE2J1,RRAGD	GABRR2	UBE2J1	UBE2J1	1.3288	65	1
7_MACS_peak_16346_lociStitched	chr20	25261081	25300763	7	22122	55114.3298	66	1	PYGB,ABHD12		PYGB	PYGB	0.7355	66	1
8_MACS_peak_22308_lociStitched	chr5	142538049	142577256	8	23954	36391.9374	67	1	ARHGAP26		NR3C1	NR3C1	0.2404	67	1
2_MACS_peak_1799_lociStitched	chr1	156708869	156723196	2	13494	89307.3545	68	1	MRPL24,HDGF	C1orf66,PRCC,CRABP2,ISG20L2	MRPL24	C1orf66	1.9213	68	1
5_MACS_peak_1414_lociStitched	chr1	118171118	118209269	5	24013	34179.4809	69	1		FAM46C	FAM46C	FAM46C	0.5876	69	1
7_MACS_peak_21574_lociStitched	chr5	55343498	55378251	7	23317	41436.0019	70	1			IL6ST	IL6ST	0.8672	70	1
1_MACS_peak_5546_lociStitched	chr12	12865982	12880738	1	14757	85035.8768	71	1	CDKN1B,APOLD1	MIR613,GPR19	CDKN1B	CDKN1B	5.6622	71	1
4_MACS_peak_29561_lociStitched	chrX	153232396	153255894	4	16550	78290.6364	72	1	TMEM187,MIR3202-1,HCFC1,MIR3202-2	ARHGAP4,NAA10,RENBP,IRAK1,MIR718	MIR3202-1	NAA10	3.1878	72	1
2_MACS_peak_15914_lociStitched	chr2	219741463	219763269	2	19012	67879.8974	73	1	WNT10A	WNT6,PRKAG3	WNT10A	WNT10A	2.9115	73	1
7_MACS_peak_3943_lociStitched	chr10	125822328	125855485	7	23700	34108.6059	74	1	CHST15		CHST15	CHST15	0.4236	74	1
1_MACS_peak_1792_lociStitched	chr1	156626830	156638747	1	11918	90999.4037	75	1	BCAN,NES	HAPLN2,BCAN,CRABP2	NES	BCAN	2.7627	75	1
4_MACS_peak_7902_lociStitched	chr14	77487473	77510541	4	22197	47508.546	76	1	C14orf4		C14orf4	C14orf4	2.2217	76	1
3_MACS_peak_2921_lociStitched	chr10	7510951	7536665	3	22334	45269.497	77	1			SFMBT2	SFMBT2	NONE	77	1
5_MACS_peak_16428_lociStitched	chr20	32250409	32275094	5	20284	58064.057	78	1	C20orf144,C20orf134,NECAB3,E2F1	ZNF341,PXMP4	NECAB3	NECAB3	1.4504	78	1
4_MACS_peak_12054_lociStitched	chr18	9061022	9087230	4	21223	51834.1824	79	1		NDUFV2,ANKRD12	NDUFV2	NDUFV2	1.4366	79	1
3_MACS_peak_23028_lociStitched	chr6	27093841	27116244	3	20395	55463.1071	80	1	HIST1H2AG,HIST1H4I,HIST1H2AH,MIR3143,HIST1H2BJ,HIST1H2BK		HIST1H4I	HIST1H4I	1.5525	80	1
5_MACS_peak_1887_lociStitched	chr1	161409345	161442538	5	22310	40531.9723	81	1		FCGR2A	FCGR2A	FCGR2A	0.3501	81	1
2_MACS_peak_8348_lociStitched	chr15	31545353	31562412	2	16029	75226.7782	82	1			KLF13	KLF13	1.138	82	1
4_MACS_peak_23861_lociStitched	chr6	108982702	109013000	4	22499	36706.027	83	1	FOXO3		NCRNA00222	NCRNA00222	NONE	83	1
5_MACS_peak_8425_lociStitched	chr15	40329933	40363482	5	20110	53701.8843	84	1	SRP14	BMF	SRP14	BMF	1.5803	84	1
2_MACS_peak_28346_lociStitched	chr9	132244248	132261063	2	15734	74631.696	85	1			C9orf50	C9orf50	0.5325	85	1
6_MACS_peak_19224_lociStitched	chr3	143532636	143571361	6	21985	39023.1825	86	1	SLC9A9		SLC9A9	SLC9A9	0.1417	86	1
1_MACS_peak_17724_lociStitched	chr22	38782066	38798378	1	16313	72095.7776	87	1	LOC400927	KCNJ4	LOC400927	LOC400927	1.268	87	1
1_MACS_peak_2242_lociStitched	chr1	198886839	198907439	1	20601	49297.86	88	1			MIR181A1	MIR181A1	NONE	88	1
4_MACS_peak_8431_lociStitched	chr15	40380583	40408741	4	20930	46821.1224	89	1	BMF	BUB1B,SRP14	BMF	BMF	1.5803	89	1
3_MACS_peak_5948_lociStitched	chr12	53582728	53605672	3	19759	54849.9264	90	1	ZNF740,ITGB7,RARG	MFSD5,CSAD	ITGB7	ITGB7	2.1402	90	1
10_MACS_peak_26048_lociStitched	chr8	11286053	11325787	10	21617	40703.5096	91	1	C8orf12,FAM167A	BLK	FAM167A	FAM167A	0.7769	91	1
3_MACS_peak_2098_lociStitched	chr1	182569797	182596518	3	20333	50556.132	92	1	LOC284648,RGS16	RNASEL,RGS8	LOC284648	LOC284648	2.3472	92	1
4_MACS_peak_21570_lociStitched	chr5	55306738	55334399	4	20695	46926.8865	93	1		IL6ST	IL6ST	IL6ST	0.8672	93	1
3_MACS_peak_21567_lociStitched	chr5	55271854	55292611	3	20081	49636.2141	94	1	IL6ST		IL6ST	IL6ST	0.8672	94	1
1_MACS_peak_3061_lociStitched	chr10	22595548	22615864	1	20317	47706.0312	95	1	COMMD3,BMI1	SPAG6	COMMD3	COMMD3	2.7105	95	1
2_MACS_peak_22839_lociStitched	chr6	11711752	11736502	2	19437	53613.45	96	1	C6orf105		C6orf105	C6orf105	0.8659	96	1
5_MACS_peak_21098_lociStitched	chr4	185317522	185349774	5	19903	49693.8816	97	1	IRF2		IRF2	IRF2	1.5591	97	1
3_MACS_peak_10721_lociStitched	chr17	16872088	16895546	3	18296	58675.4954	98	1	TNFRSF13B		TNFRSF13B	TNFRSF13B	0.7001	98	1
3_MACS_peak_10376_lociStitched	chr16	87883734	87905455	3	20320	44827.7998	99	1	SLC7A5		SLC7A5	SLC7A5	0.9794	99	1
9_MACS_peak_8036_lociStitched	chr14	93213410	93253157	9	20806	40061.0013	100	1	LGMN	GOLGA5	LGMN	LGMN	0.3999	100	1
5_MACS_peak_5275_lociStitched	chr11	128585487	128610124	5	21369	34595.2754	101	1	FLI1		FLI1	FLI1	0.3829	101	1
4_MACS_peak_7943_lociStitched	chr14	81930636	81955817	4	20698	40440.686	102	1	SEL1L		SEL1L	SEL1L	0.6543	102	1
1_MACS_peak_2144_lociStitched	chr1	184709295	184725442	1	16148	66824.3595	103	1	EDEM3		EDEM3	EDEM3	1.1286	103	1
4_MACS_peak_7348_lociStitched	chr14	23017946	23040597	4	19865	46094.785	104	1	DAD1	ABHD4	DAD1	DAD1	1.0945	104	1
4_MACS_peak_10352_lociStitched	chr16	85626765	85650308	4	19274	50174.8416	105	1	KIAA0182		KIAA0182	KIAA0182	0.4451	105	1
2_MACS_peak_23987_lociStitched	chr6	128198529	128223560	2	19201	50279.7697	106	1	THEMIS		THEMIS	THEMIS	0.3141	106	1
1_MACS_peak_24609_lociStitched	chr7	23504539	23519666	1	15128	68867.1802	107	1	IGF2BP3	RPS2P32	IGF2BP3	IGF2BP3	0.4488	107	1
7_MACS_peak_19550_lociStitched	chr3	183220083	183255086	7	20895	33263.3509	108	1	KLHL6		KLHL6	KLHL6	0.5803	108	1
6_MACS_peak_5741_lociStitched	chr12	33037162	33060499	6	20711	35138.5209	109	1	PKP2		PKP2	PKP2	0.3514	109	1
4_MACS_peak_14868_lociStitched	chr2	87058195	87084759	4	19206	46603.8816	110	1	CD8B	CD8A	CD8B	CD8B	0.8889	110	1
5_MACS_peak_29334_lociStitched	chrX	118756003	118785520	5	19716	40727.5566	111	1	SEPT6,MIR766	UBE2A,NKRF	MIR766	MIR766	1.1627	111	1
7_MACS_peak_13678_lociStitched	chr19	48875181	48904163	7	19492	41418.1762	112	1	SYNGR4,GRIN2D,KDELR1	EMP3,GRWD1,TMEM143	KDELR1	EMP3	2.0114	112	1
5_MACS_peak_8917_lociStitched	chr15	75063562	75084191	5	18731	46908.2831	113	1	CSK	CYP1A2,LMAN1L,CPLX3,CYP1A1	CSK	CSK	1.4871	113	1
3_MACS_peak_17667_lociStitched	chr22	37607587	37629208	3	18752	46597.5792	114	1	SSTR3,RAC2	CYTH4,C1QTNF6	SSTR3	SSTR3	0.8861	114	1
2_MACS_peak_19129_lociStitched	chr3	133178628	133199962	2	17887	51291.2028	115	1	BFSP2		BFSP2	BFSP2	0.7759	115	1
4_MACS_peak_22142_lociStitched	chr5	131745413	131774322	4	20051	34809.3269	116	1	C5orf56	SLC22A5,MIR3936	C5orf56	C5orf56	0.8896	116	1
4_MACS_peak_11702_lociStitched	chr17	72732887	72757634	4	19918	35358.5136	117	1	RAB37,SLC9A3R1,MIR3615	TMEM104,CD300LF,NAT9	SLC9A3R1	SLC9A3R1	1.0248	117	1
3_MACS_peak_9579_lociStitched	chr16	12051415	12072053	3	17578	51830.2732	118	1	TNFRSF17,RUNDC2A	GSPT1	TNFRSF17	TNFRSF17	3.3494	118	1
3_MACS_peak_24730_lociStitched	chr7	34773399	34796668	3	18761	44020.2942	119	1	NPSR1,AAA1		AAA1	AAA1	0.1886	119	1
5_MACS_peak_13489_lociStitched	chr19	42036485	42062680	5	18139	47973.523	120	1		CEACAM21	CEACAM21	CEACAM21	0.0792	120	1
2_MACS_peak_21421_lociStitched	chr5	32570565	32590341	2	19225	39783.3792	121	1	SUB1		SUB1	SUB1	1.0473	121	1
5_MACS_peak_1486_lociStitched	chr1	145138269	145161688	5	18532	44772.4442	122	1		SEC22B,NOTCH2NL	SEC22B	NOTCH2NL	0.5915	122	1
2_MACS_peak_1721_lociStitched	chr1	154966166	154979573	2	11549	74571.0747	123	1	LENEP,ZBTB7B	CKS1B,MIR4258,FLAD1,DCST1,ADAM15,PBXIP1,PYGO2,SHC1,DCST2	ZBTB7B	PBXIP1	3.1837	123	1
6_MACS_peak_10129_lociStitched	chr16	68270797	68299846	6	18630	43024.4739	124	1	PLA2G15,SLC7A6	PRMT7,ESRP2,SLC7A6OS	PLA2G15	PLA2G15	1.5874	124	1
4_MACS_peak_8801_lociStitched	chr15	68477546	68503514	4	18816	41252.7648	125	1	PIAS1,CALML4,CLN6		CALML4	CALML4	1.613	125	1
7_MACS_peak_23000_lociStitched	chr6	26330618	26366584	7	19910	30567.5034	126	1	BTN3A2	BTN3A2,BTN2A2,BTN3A1,HIST1H4H	BTN3A2	HIST1H4H	1.1614	126	1
4_MACS_peak_13413_lociStitched	chr19	39880732	39904388	4	16715	54184.068	127	1	MED29,ZFP36,PLEKHG2,PAF1	SAMD4B,SUPT5H,RPS16	ZFP36	ZFP36	3.5679	127	1
3_MACS_peak_17526_lociStitched	chr22	29206657	29226425	3	18155	45468.3768	128	1		CCDC117,XBP1	XBP1	XBP1	2.8822	128	1
1_MACS_peak_19793_lociStitched	chr4	1856923	1876002	1	19080	38251.4871	129	1	WHSC1,LETM1	WHSC1	WHSC1	WHSC1	0.2032	129	1
4_MACS_peak_2669_lociStitched	chr1	228763619	228784478	4	20671	19338.3789	130	1	DUSP5P		DUSP5P	DUSP5P	0.5211	130	1
2_MACS_peak_897_lociStitched	chr1	51425075	51449973	2	19599	32937.5642	131	1	CDKN2C,FAF1		CDKN2C	CDKN2C	1.5773	131	1
7_MACS_peak_13820_lociStitched	chr19	54870643	54901013	7	19286	35186.682	132	1	LAIR1	TTYH1,LILRA5,LILRA4	LAIR1	LAIR1	0.6046	132	1
1_MACS_peak_1763_lociStitched	chr1	155943492	155954487	1	10996	74287.7175	133	1	ARHGEF2	RXFP4,SCARNA4,KIAA0907,SSR2	ARHGEF2	RXFP4	3.126	133	1
4_MACS_peak_28118_lociStitched	chr9	117245704	117268491	4	18481	41374.3559	134	1	DFNB31		DFNB31	DFNB31	0.6327	134	1
1_MACS_peak_21218_lociStitched	chr5	1310410	1321755	1	11346	72470.7255	135	1	CLPTM1L	TERT	TERT	TERT	0.249	135	1
1_MACS_peak_2736_lociStitched	chr1	234733776	234749920	1	16145	54561.8768	136	1	IRF2BP2	NCRNA00184	IRF2BP2	IRF2BP2	3.4397	136	1
4_MACS_peak_15033_lociStitched	chr2	107108159	107130305	4	17911	43536.8214	137	1		RGPD3	RGPD3	RGPD3	0.078	137	1
5_MACS_peak_4637_lociStitched	chr11	65254211	65278504	5	18748	36718.8695	138	1	MALAT1	MIR612,SCYL1,LTBP3	MALAT1	MALAT1	1.7084	138	1
3_MACS_peak_21272_lociStitched	chr5	6475391	6497594	3	17624	45178.6644	139	1	UBE2QL1		UBE2QL1	UBE2QL1	1.0594	139	1
4_MACS_peak_22400_lociStitched	chr5	150512935	150538156	4	18705	36789.8727	140	1	ANXA6		ANXA6	ANXA6	0.6297	140	1
5_MACS_peak_5383_lociStitched	chr12	4248364	4274563	5	19236	31708.6497	141	1			CCND2	CCND2	1.3946	141	1
6_MACS_peak_9166_lociStitched	chr15	90721320	90746133	6	17648	43928.9352	142	1	SEMA4B	C15orf58,TTLL13,CIB1	SEMA4B	SEMA4B	0.8819	142	1
5_MACS_peak_25953_lociStitched	chr7	157783569	157818235	5	18624	36288.3688	143	1	PTPRN2		MIR153-2	MIR153-2	NONE	143	1
1_MACS_peak_3015_lociStitched	chr10	15824877	15838265	1	13389	63102.9992	144	1	FAM188A		ITGA8	ITGA8	NONE	144	1
3_MACS_peak_28285_lociStitched	chr9	130828748	130846761	3	16538	48512.6116	145	1	SLC25A25,NAIF1	SLC25A25,LOC389791,LOC100289019,PTGES2	SLC25A25	SLC25A25	1.0325	145	1
3_MACS_peak_9569_lociStitched	chr16	11820704	11843410	3	18252	35325.9948	146	1	TXNDC11	ZC3H7A	TXNDC11	TXNDC11	0.7857	146	1
4_MACS_peak_141_lociStitched	chr1	9465845	9489800	4	17373	40924.722	147	1			SLC25A33	SLC25A33	NONE	147	1
1_MACS_peak_10001_lociStitched	chr16	56963731	56981846	1	18116	34922.097	148	1	HERPUD1	CETP,NLRC5	HERPUD1	HERPUD1	1.614	148	1
2_MACS_peak_4631_lociStitched	chr11	65183366	65200011	2	16520	46499.472	149	1	NEAT1	FRMD8,MIR612,SLC25A45	NEAT1	NEAT1	2.9656	149	1
1_MACS_peak_2116_lociStitched	chr1	183773394	183789741	1	16348	47466.7839	150	1	RGL1		APOBEC4	APOBEC4	NONE	150	1
6_MACS_peak_9259_lociStitched	chr15	99673625	99708669	6	18729	28644.9656	151	1	SYNM,TTC23		SYNM	SYNM	0.4496	151	1
6_MACS_peak_24929_lociStitched	chr7	55614082	55643317	6	18377	31860.303	152	1	VOPP1		VOPP1	VOPP1	0.7035	152	1
2_MACS_peak_19446_lociStitched	chr3	171804657	171826747	2	17892	35023.695	153	1	FNDC3B		FNDC3B	FNDC3B	0.1875	153	1
4_MACS_peak_2723_lociStitched	chr1	233791012	233813308	4	17431	37847.46	154	1	KCNK1		KCNK1	KCNK1	0.7992	154	1
1_MACS_peak_2322_lociStitched	chr1	203288136	203299829	1	11694	65525.2334	155	1		BTG2,LOC730227,FMOD	BTG2	LOC730227	2.5497	155	1
1_MACS_peak_8015_lociStitched	chr14	91828383	91844980	1	16598	43567.125	156	1	CCDC88C		CCDC88C	CCDC88C	0.622	156	1
1_MACS_peak_15725_lociStitched	chr2	201980259	201995088	1	14830	52986.9828	157	1	CFLAR	NDUFB3,FAM126B	CFLAR	CFLAR	1.0195	157	1
3_MACS_peak_20309_lociStitched	chr4	77116159	77136523	3	15651	48612.9408	158	1	SCARB2	FAM47E,NUP54	SCARB2	SCARB2	0.8356	158	1
3_MACS_peak_17454_lociStitched	chr22	24176619	24192275	3	15213	50925.8368	159	1	SMARCB1,DERL3	SLC2A11,MIF	DERL3	DERL3	1.0794	159	1
2_MACS_peak_16601_lociStitched	chr20	42567229	42586114	2	16814	40591.419	160	1	TOX2		TOX2	TOX2	0.6184	160	1
4_MACS_peak_14442_lociStitched	chr2	47526716	47550462	4	16880	39795.9214	161	1		EPCAM	EPCAM	EPCAM	0.1039	161	1
5_MACS_peak_5478_lociStitched	chr12	9435799	9463875	5	17566	33983.1904	162	1	LOC642846	LOC100499405	LOC642846	LOC642846	0.8748	162	1
4_MACS_peak_18378_lociStitched	chr3	46132357	46154148	4	17454	34582.317	163	1			XCR1	XCR1	NONE	163	1
4_MACS_peak_12593_lociStitched	chr19	1015153	1041099	4	17273	35872.9396	164	1	CNN2,ABCA7,C19orf6	WDR18,GRIN3B,HMHA1	CNN2	CNN2	1.1544	164	1
3_MACS_peak_16447_lociStitched	chr20	32461208	32477563	3	14074	54751.6335	165	1			CHMP4B	CHMP4B	1.0813	165	1
1_MACS_peak_13202_lociStitched	chr19	19050004	19065135	1	15132	49603.9573	166	1	HOMER3	DDX49,GDF1,COPE,HOMER3	HOMER3	HOMER3	0.7625	166	1
2_MACS_peak_20603_lociStitched	chr4	113198823	113219701	2	16036	44323.994	167	1	ALPK1,TIFA	AP1AR	TIFA	TIFA	2.0284	167	1
5_MACS_peak_21409_lociStitched	chr5	32277092	32302001	5	18399	23715.8589	168	1	MTMR12		MTMR12	MTMR12	0.3876	168	1
