#12_0EWY_0229Kronos_MM1S-No-Treatment-2_H3K27Ac_hs-dm_i21_peaks Enhancers
#Created from /data/projects/IRF4_mm_trn_data/p300_internal_ChIP/rose/12_0EWY_0229Kronos_MM1S-No-Treatment-2_H3K27Ac_hs-dm_i21_ROSE/12_0EWY_0229Kronos_MM1S-No-Treatment-2_H3K27Ac_hs-dm_i21_peaks_6KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by X12_0EWY_0229Kronos_MM1S.No.Treatment.2_H3K27Ac_hs.dm_i21.bam
#Using cutoff of 21686.6089 for Super-Enhancers
#Created on Jul 18 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X12_0EWY_0229Kronos_MM1S.No.Treatment.2_H3K27Ac_hs.dm_i21.bam	X36_0EXO_0229Kronos_MM1S.No.Treatment.2_Input_hs_i78.bam	enhancerRank	isSuperStretch
6_MACS_peak_9972_lociStitched	chr16	78768101	78805033	6	32183	32843.6276	4631.2728	60	1
1_MACS_peak_23644_lociStitched	chr7	55615792	55642893	1	27102	69549.2963	5832.1352	61	1
2_MACS_peak_4175_lociStitched	chr11	22676707	22703956	2	23066	85738.9785	4874.8461	62	1
6_MACS_peak_25205_lociStitched	chr8	81046162	81084508	6	27715	66603.1674	7212.8826	63	1
1_MACS_peak_15105_lociStitched	chr2	232687050	232715239	1	28190	59955.1841	3560.2707	64	1
2_MACS_peak_443_lociStitched	chr1	31210398	31233321	2	20827	92828.9808	5150.7981	65	1
4_MACS_peak_22441_lociStitched	chr6	90053604	90086370	4	24242	81921.5532	6939.8388	66	1
4_MACS_peak_17043_lociStitched	chr3	13035656	13061626	4	18725	97052.487	5879.608	67	1
4_MACS_peak_12417_lociStitched	chr19	16693314	16717380	4	16623	101038.6944	5130.8712	68	1
1_MACS_peak_14798_lociStitched	chr2	201979855	201994924	1	15070	102642.4935	3925.4745	69	1
3_MACS_peak_18389_lociStitched	chr3	171801653	171827063	3	20772	88673.277	7935.543	70	1
5_MACS_peak_16670_lociStitched	chr22	37611065	37642281	5	25725	65803.328	6343.0912	71	1
4_MACS_peak_13951_lociStitched	chr2	97190594	97220886	4	22832	76820.512	5667.6332	72	1
3_MACS_peak_6659_lociStitched	chr12	123355160	123387260	3	25122	64151.85	4413.75	73	1
2_MACS_peak_1501_lociStitched	chr1	150532141	150553132	2	19801	87626.9295	7327.9581	74	1
2_MACS_peak_12398_lociStitched	chr19	16243462	16273299	2	24789	66282.8955	6274.7211	75	1
1_MACS_peak_19005_lociStitched	chr4	40190985	40209803	1	18819	88004.2588	4862.5712	76	1
5_MACS_peak_8771_lociStitched	chr15	75065281	75093292	5	23895	68993.8941	5899.1166	77	1
5_MACS_peak_21838_lociStitched	chr6	27774585	27808066	5	20063	84686.8414	6739.7253	78	1
4_MACS_peak_11517_lociStitched	chr18	9055113	9085237	4	17690	89423.094	6103.1224	79	1
2_MACS_peak_2232_lociStitched	chr1	206727980	206754738	2	22583	74258.8016	7821.3634	80	1
2_MACS_peak_4549_lociStitched	chr11	65254336	65279049	2	18372	86273.083	5365.1923	81	1
3_MACS_peak_12660_lociStitched	chr19	39880731	39904040	3	18219	85854.0397	4785.3377	82	1
3_MACS_peak_8088_lociStitched	chr14	106144915	106169453	3	21518	73147.778	3153.133	83	1
2_MACS_peak_2193_lociStitched	chr1	204474339	204492463	2	15080	92965.2456	5674.6244	84	1
2_MACS_peak_9751_lociStitched	chr16	56963309	56986021	2	21554	72669.3152	5257.828	85	1
4_MACS_peak_4049_lociStitched	chr11	10314764	10345192	4	20796	75637.9224	5693.0788	86	1
1_MACS_peak_13128_lociStitched	chr2	11883494	11898220	1	14727	90005.312	3547.4934	87	1
3_MACS_peak_16478_lociStitched	chr22	24177225	24200925	3	15497	87566.76	4649.94	88	1
1_MACS_peak_20607_lociStitched	chr5	88111122	88131362	1	20241	71888.432	4426.488	89	1
2_MACS_peak_10626_lociStitched	chr17	34408906	34432844	2	21305	67821.1416	6001.2566	90	1
3_MACS_peak_1580_lociStitched	chr1	154370253	154394635	3	19224	76815.491	7307.2854	91	1
5_MACS_peak_24792_lociStitched	chr8	27208510	27242164	5	22833	59227.6746	6646.665	92	1
9_MACS_peak_22861_lociStitched	chr6	138246861	138297598	9	23427	58347.55	9401.5661	93	1
4_MACS_peak_19924_lociStitched	chr4	185317593	185350390	4	22405	61366.4667	6913.6076	94	1
2_MACS_peak_2569_lociStitched	chr1	234733819	234749965	2	13070	89632.9044	5428.2852	95	1
1_MACS_peak_21766_lociStitched	chr6	25402830	25415313	1	12484	87640.6464	3618.8217	96	1
7_MACS_peak_7989_lociStitched	chr14	95945680	95986143	7	24278	40600.5742	3730.6886	97	1
2_MACS_peak_10714_lociStitched	chr17	38465321	38483734	2	18116	72735.0326	4284.7051	98	1
4_MACS_peak_14737_lociStitched	chr2	197023817	197048704	4	22014	54395.5159	5661.7925	99	1
4_MACS_peak_12714_lociStitched	chr19	42037807	42070292	4	21325	58307.3265	6334.575	100	1
5_MACS_peak_11349_lociStitched	chr17	76753715	76780277	5	19990	61785.8682	4990.9998	101	1
1_MACS_peak_16238_lociStitched	chr21	41324700	41345464	1	20765	58888.7804	6544.8128	102	1
3_MACS_peak_17726_lociStitched	chr3	98472577	98496073	3	20224	58516.788	4788.4848	103	1
2_MACS_peak_26494_lociStitched	chr9	112903390	112925440	2	21697	50262.975	5201.595	104	1
2_MACS_peak_8315_lociStitched	chr15	40387219	40409031	2	17055	70204.1032	5023.3036	105	1
1_MACS_peak_15871_lociStitched	chr20	52194470	52213954	1	19485	57768.1116	3472.0488	106	1
3_MACS_peak_11306_lociStitched	chr17	75131332	75146882	3	14746	72854.86	4055.44	107	1
3_MACS_peak_18276_lociStitched	chr3	156804589	156824595	3	14384	76484.9386	6792.037	108	1
2_MACS_peak_14972_lociStitched	chr2	219742984	219763481	2	16695	67443.3288	4777.8507	109	1
5_MACS_peak_26677_lociStitched	chr9	130531920	130566722	5	19118	58735.3354	5662.2854	110	1
1_MACS_peak_16533_lociStitched	chr22	29185799	29199670	1	13872	73155.654	3126.5234	111	1
6_MACS_peak_8990_lociStitched	chr15	89646655	89676920	6	18034	61138.3265	5375.064	112	1
2_MACS_peak_6453_lociStitched	chr12	108952734	108970695	2	16668	65471.4372	4718.3547	113	1
3_MACS_peak_13495_lociStitched	chr2	47526556	47550868	3	14410	72692.88	5397.264	114	1
2_MACS_peak_3726_lociStitched	chr10	112112609	112122495	2	7948	82429.468	2720.6272	115	1
4_MACS_peak_2225_lociStitched	chr1	206282068	206307839	4	16916	66182.5051	7215.88	116	1
2_MACS_peak_9807_lociStitched	chr16	66549134	66560541	2	10751	76404.086	2977.227	117	1
6_MACS_peak_14842_lociStitched	chr2	204548213	204585330	6	19689	51191.7664	8844.9811	118	1
2_MACS_peak_609_lociStitched	chr1	40838976	40858658	2	16074	62525.7776	4288.7078	119	1
4_MACS_peak_7330_lociStitched	chr13	115023409	115048836	4	17408	57309.9153	4767.5625	120	1
2_MACS_peak_15314_lociStitched	chr20	5570535	5592570	2	20295	40535.586	4023.591	121	1
4_MACS_peak_18086_lociStitched	chr3	133179287	133200483	4	16157	61654.9248	4608.0104	122	1
5_MACS_peak_11264_lociStitched	chr17	73850295	73875819	5	15785	63123.4044	4780.6452	123	1
1_MACS_peak_20608_lociStitched	chr5	88171076	88187085	1	16010	60549.2398	3589.2178	124	1
1_MACS_peak_23841_lociStitched	chr7	78113789	78128350	1	14562	65093.4944	3622.7768	125	1
3_MACS_peak_15668_lociStitched	chr20	37486941	37505999	3	11411	71778.1454	3245.5774	126	1
4_MACS_peak_21782_lociStitched	chr6	26183481	26207385	4	15154	63283.4496	4995.936	127	1
1_MACS_peak_13426_lociStitched	chr2	43444166	43457199	1	13034	66891.8725	3092.7309	128	1
3_MACS_peak_23552_lociStitched	chr7	44656721	44680286	3	16403	57241.7415	5099.466	129	1
2_MACS_peak_20184_lociStitched	chr5	32570785	32593063	2	16375	56361.1122	4393.2216	130	1
4_MACS_peak_7862_lociStitched	chr14	81930661	81956300	4	18998	40212.2076	2620.3058	131	1
4_MACS_peak_5814_lociStitched	chr12	48196564	48218799	4	16281	54400.151	4382.5185	132	1
1_MACS_peak_2169_lociStitched	chr1	203288258	203298025	1	9768	71899.7705	3674.3454	133	1
2_MACS_peak_21924_lociStitched	chr6	31694350	31709259	2	12461	65525.055	3442.4881	134	1
2_MACS_peak_18582_lociStitched	chr3	186703150	186719950	2	13163	65629.2	5530.56	135	1
3_MACS_peak_5027_lociStitched	chr11	111230449	111251500	3	15972	54858.906	4182.8337	136	1
2_MACS_peak_18585_lociStitched	chr3	186779757	186792494	2	10474	70829.1833	4401.9072	137	1
5_MACS_peak_13903_lociStitched	chr2	88898853	88928674	5	18805	41674.8475	5642.1332	138	1
4_MACS_peak_13654_lociStitched	chr2	65157283	65178624	4	13846	62970.8887	5109.0354	139	1
2_MACS_peak_14808_lociStitched	chr2	202115681	202129041	2	13087	63081.912	3283.888	140	1
5_MACS_peak_9475_lociStitched	chr16	22195012	22218998	5	17516	47969.6014	5075.4376	141	1
7_MACS_peak_17350_lociStitched	chr3	46319649	46347304	7	18812	40592.009	5412.0835	142	1
3_MACS_peak_20333_lociStitched	chr5	55436897	55453773	3	16301	51907.2008	3889.918	143	1
3_MACS_peak_16753_lociStitched	chr22	39823250	39846358	3	14720	57587.4468	4016.1704	144	1
7_MACS_peak_25539_lociStitched	chr8	126285310	126316060	7	18379	42038.325	6254.55	145	1
1_MACS_peak_23642_lociStitched	chr7	55569039	55587076	1	18038	40536.3538	3367.5079	146	1
1_MACS_peak_5614_lociStitched	chr12	26265717	26280366	1	14650	56360.5626	3694.4778	147	1
3_MACS_peak_21763_lociStitched	chr6	25366043	25390238	3	17857	42188.8215	4914.0045	148	1
2_MACS_peak_4720_lociStitched	chr11	72851064	72869719	2	12779	62580.063	4656.288	149	1
4_MACS_peak_19225_lociStitched	chr4	77117617	77136645	4	15033	54777.8064	4262.272	150	1
3_MACS_peak_5358_lociStitched	chr12	4377761	4396843	3	15878	50481.431	3890.8198	151	1
1_MACS_peak_16709_lociStitched	chr22	38782031	38797234	1	15204	51900.0014	2776.0678	152	1
4_MACS_peak_21405_lociStitched	chr5	176717087	176740692	4	16820	46228.032	4383.4485	153	1
2_MACS_peak_16455_lociStitched	chr22	23189756	23209787	2	16695	44605.0308	2684.154	154	1
3_MACS_peak_18042_lociStitched	chr3	129026398	129048535	3	14500	55588.2207	4693.044	155	1
4_MACS_peak_8325_lociStitched	chr15	40834398	40862685	4	17345	43228.1934	5756.4045	156	1
3_MACS_peak_21447_lociStitched	chr5	180228190	180249398	3	15125	51346.6888	3772.9032	159	1
4_MACS_peak_13484_lociStitched	chr2	47193631	47215488	4	15639	49687.5181	4305.829	160	1
3_MACS_peak_11221_lociStitched	chr17	72733737	72757070	3	17745	38800.4457	4783.265	162	1
2_MACS_peak_20323_lociStitched	chr5	55272598	55291984	2	18215	34330.6674	3819.042	163	1
2_MACS_peak_4154_lociStitched	chr11	19450100	19465860	2	13235	57875.448	3790.28	164	1
1_MACS_peak_14640_lociStitched	chr2	182168284	182180172	1	11889	61195.8576	3338.1504	165	1
3_MACS_peak_12021_lociStitched	chr19	1015166	1041700	3	17326	42541.9622	6426.5348	166	1
1_MACS_peak_7314_lociStitched	chr13	114556317	114568099	1	11783	60875.2376	2913.6886	167	1
1_MACS_peak_11901_lociStitched	chr18	60822020	60831106	1	9087	66075.2092	2566.795	168	1
2_MACS_peak_23371_lociStitched	chr7	26002306	26011723	2	8926	65842.7223	2523.756	169	1
2_MACS_peak_8209_lociStitched	chr15	31546411	31560842	2	10434	63093.7751	3424.4763	170	1
1_MACS_peak_2473_lociStitched	chr1	226839962	226852492	1	12531	58531.389	4585.98	171	1
3_MACS_peak_26300_lociStitched	chr9	94180566	94195979	3	14080	51966.4708	3158.1237	172	1
4_MACS_peak_305_lociStitched	chr1	24512419	24533807	4	13909	53854.984	4686.1108	173	1
3_MACS_peak_9356_lociStitched	chr16	12052744	12071415	3	12151	57678.4532	4047.8728	174	1
5_MACS_peak_23487_lociStitched	chr7	38383599	38408568	5	18238	27780.5094	5428.2606	175	1
2_MACS_peak_19916_lociStitched	chr4	185200893	185210996	2	9327	62816.4128	2954.1172	176	1
3_MACS_peak_5985_lociStitched	chr12	57093605	57120097	3	17223	34678.028	4567.2208	177	1
3_MACS_peak_12075_lociStitched	chr19	2254619	2274529	3	15293	45874.631	4881.932	178	1
3_MACS_peak_3744_lociStitched	chr10	112611851	112633212	3	16184	41149.8304	4831.8582	179	1
6_MACS_peak_9117_lociStitched	chr15	101661358	101692308	6	15643	44806.315	5654.565	180	1
4_MACS_peak_7827_lociStitched	chr14	77487761	77508134	4	15857	39843.4761	2230.8435	181	1
1_MACS_peak_1637_lociStitched	chr1	155938098	155952279	1	14182	49032.2256	4030.2402	182	1
2_MACS_peak_15974_lociStitched	chr20	61272970	61291029	2	13597	49785.0512	2979.735	184	1
2_MACS_peak_17606_lociStitched	chr3	69128590	69146045	2	16918	33166.2455	3396.743	185	1
2_MACS_peak_8539_lociStitched	chr15	56648178	56666392	2	11801	55858.6952	3342.269	186	1
2_MACS_peak_27230_lociStitched	chrX	48790457	48805986	2	13150	50154.0113	1900.7496	187	1
3_MACS_peak_13643_lociStitched	chr2	64862579	64883494	3	14920	45119.9295	4291.758	188	1
3_MACS_peak_24067_lociStitched	chr7	104576246	104586810	3	9763	59749.984	2699.102	189	1
5_MACS_peak_5386_lociStitched	chr12	6552125	6580882	5	13741	50632.4499	5230.8983	190	1
1_MACS_peak_14127_lociStitched	chr2	112455712	112465724	1	10013	59120.86	2782.3348	191	1
3_MACS_peak_3400_lociStitched	chr10	81001258	81020429	3	14775	44380.865	3537.0495	192	1
2_MACS_peak_15927_lociStitched	chr20	56047589	56058442	2	10110	58600.7735	2533.0902	193	1
1_MACS_peak_23643_lociStitched	chr7	55597662	55606091	1	8430	61803.1138	2326.404	194	1
2_MACS_peak_20062_lociStitched	chr5	6475489	6487333	2	11039	55627.7148	2197.062	195	1
4_MACS_peak_15741_lociStitched	chr20	43583273	43609493	4	15785	40192.638	5181.072	196	1
3_MACS_peak_16759_lociStitched	chr22	39910258	39929617	3	15336	41623.7859	4197.0312	197	1
2_MACS_peak_8978_lociStitched	chr15	89163826	89184402	2	15404	41032.6592	3987.6288	198	1
5_MACS_peak_26761_lociStitched	chr9	134127045	134152262	5	14872	43948.1876	4347.4108	199	1
3_MACS_peak_17183_lociStitched	chr3	30682621	30703627	3	16721	32950.0116	4514.1894	200	1
2_MACS_peak_10551_lociStitched	chr17	29636305	29651113	2	14284	45054.8208	3078.5832	201	1
3_MACS_peak_219_lociStitched	chr1	17221373	17241489	3	9542	63238.6692	6708.686	202	1
3_MACS_peak_4691_lociStitched	chr11	71413835	71426978	3	11889	53811.3849	3288.3786	203	1
5_MACS_peak_21821_lociStitched	chr6	27088243	27116143	5	14330	46687.86	5013.63	204	1
1_MACS_peak_11304_lociStitched	chr17	75078815	75093156	1	14342	44659.3081	3296.9959	205	1
5_MACS_peak_27632_lociStitched	chrX	128902393	128921332	5	16367	32323.1913	2255.6349	206	1
1_MACS_peak_364_lociStitched	chr1	27018264	27031186	1	12923	49181.132	2664.5164	207	1
1_MACS_peak_5545_lociStitched	chr12	15100877	15116322	1	15446	38850.353	3567.795	208	1
1_MACS_peak_10834_lociStitched	chr17	43298332	43308985	1	10654	55272.0252	2201.9751	209	1
4_MACS_peak_20173_lociStitched	chr5	32275876	32297015	4	16952	28742.6983	4352.5201	210	1
5_MACS_peak_23022_lociStitched	chr6	157976506	158007197	5	15750	36120.2379	3041.4781	211	1
2_MACS_peak_3659_lociStitched	chr10	104531112	104543523	2	12230	50984.388	2924.0316	212	1
3_MACS_peak_4619_lociStitched	chr11	67034067	67057803	3	13443	47415.0336	3693.3216	213	1
4_MACS_peak_4654_lociStitched	chr11	67760503	67778587	4	13949	44958.6324	3618.6084	214	1
1_MACS_peak_11115_lociStitched	chr17	62195594	62210332	1	14739	40836.0504	3333.7356	215	1
1_MACS_peak_15737_lociStitched	chr20	43270232	43282244	1	12013	51297.246	3016.2132	216	1
4_MACS_peak_1633_lociStitched	chr1	155900354	155922744	4	15796	37243.526	5980.369	217	1
1_MACS_peak_21614_lociStitched	chr6	11827756	11836905	1	9150	57491.4011	2456.5065	218	1
4_MACS_peak_5979_lociStitched	chr12	57021656	57040965	4	15785	34292.784	4191.9839	219	1
4_MACS_peak_21165_lociStitched	chr5	150512888	150538003	4	16137	31554.486	4603.5795	220	1
1_MACS_peak_9020_lociStitched	chr15	90637239	90646643	1	9405	56571.6428	2592.6828	221	1
4_MACS_peak_21931_lociStitched	chr6	31783166	31805561	4	16170	30141.4305	4134.117	222	1
2_MACS_peak_12587_lociStitched	chr19	35695314	35706266	2	8701	57271.2936	2308.6816	223	1
2_MACS_peak_19238_lociStitched	chr4	77608510	77624774	2	15356	34707.376	3631.7512	224	1
4_MACS_peak_8409_lociStitched	chr15	45001840	45029439	4	14120	43211.7543	5605.3569	225	1
4_MACS_peak_14804_lociStitched	chr2	202081139	202102057	4	16164	29076.02	4273.5474	226	1
2_MACS_peak_5074_lociStitched	chr11	115090777	115102545	2	9362	55933.304	2767.8336	227	1
1_MACS_peak_24073_lociStitched	chr7	104650840	104658700	1	7861	58176.576	2108.838	228	1
3_MACS_peak_26690_lociStitched	chr9	130828675	130845746	3	14665	37470.845	3371.5225	229	1
2_MACS_peak_18435_lociStitched	chr3	177068455	177079972	2	8881	57523.9599	3824.7957	231	1
2_MACS_peak_1741_lociStitched	chr1	161144363	161157881	2	10768	53679.978	4613.6934	232	1
2_MACS_peak_3051_lociStitched	chr10	43890427	43905986	2	12858	44753.9076	2683.9275	233	1
4_MACS_peak_26938_lociStitched	chrX	10065085	10091033	4	15021	34209.8432	2789.41	234	1
2_MACS_peak_22580_lociStitched	chr6	108982509	108999008	2	14347	37538.5248	2737.1841	235	1
1_MACS_peak_279_lociStitched	chr1	23849549	23858960	1	9412	53962.674	2397.9228	236	1
4_MACS_peak_8634_lociStitched	chr15	65169260	65189824	4	10974	51255.77	3915.3856	237	1
5_MACS_peak_10841_lociStitched	chr17	43505042	43531589	5	15323	32594.4066	4728.0207	238	1
1_MACS_peak_18429_lociStitched	chr3	176911562	176920955	1	9394	54440.8887	3062.118	239	1
2_MACS_peak_24493_lociStitched	chr7	150100613	150113984	2	8440	56652.927	3342.75	240	1
2_MACS_peak_17348_lociStitched	chr3	46245667	46257184	2	9641	53901.8634	3283.4967	241	1
2_MACS_peak_13724_lociStitched	chr2	70310069	70323279	2	8844	55175.528	2949.793	242	1
2_MACS_peak_16534_lociStitched	chr22	29207026	29221417	2	11574	47274.435	2804.8059	243	1
4_MACS_peak_20601_lociStitched	chr5	87954485	87976730	4	10432	51630.645	3788.3235	244	1
4_MACS_peak_3415_lociStitched	chr10	81946471	81966396	4	13961	37676.1825	3506.8	245	1
2_MACS_peak_6228_lociStitched	chr12	89738004	89749634	2	10990	48607.585	2878.425	246	1
2_MACS_peak_978_lociStitched	chr1	75596246	75611717	2	14749	31649.0247	2415.0231	247	1
1_MACS_peak_10694_lociStitched	chr17	37924944	37938802	1	13859	37196.2578	2935.1244	248	1
6_MACS_peak_3859_lociStitched	chr10	126407107	126438586	6	15451	28866.243	5033.4921	249	1
3_MACS_peak_16042_lociStitched	chr21	19152068	19168904	3	14259	34847.1528	3338.5788	250	1
1_MACS_peak_16707_lociStitched	chr22	38700580	38715122	1	14543	32377.763	2826.9648	251	1
3_MACS_peak_1937_lociStitched	chr1	179048384	179061871	3	11293	47845.1325	3765.5704	252	1
3_MACS_peak_15923_lociStitched	chr20	55957864	55975638	3	14000	36143.429	3469.4848	253	1
3_MACS_peak_9492_lociStitched	chr16	23344222	23362830	3	9697	52128.4512	3671.3584	254	1
4_MACS_peak_13476_lociStitched	chr2	46788483	46804722	4	14224	34522.4901	3437.7963	255	1
2_MACS_peak_21799_lociStitched	chr6	26355276	26367803	2	11409	46064.2844	2719.6117	256	1
2_MACS_peak_15564_lociStitched	chr20	32461944	32473749	2	8331	53968.9185	2813.1315	257	1
6_MACS_peak_15888_lociStitched	chr20	52531176	52566880	6	14952	31016.0648	6041.1168	259	1
3_MACS_peak_4832_lociStitched	chr11	82764903	82784546	3	11869	45155.3284	4303.7813	260	1
3_MACS_peak_11202_lociStitched	chr17	70582382	70601745	3	13612	36913.6232	3768.0398	261	1
2_MACS_peak_3735_lociStitched	chr10	112256026	112273268	2	11138	47332.7384	4069.112	262	1
2_MACS_peak_16464_lociStitched	chr22	23477494	23488752	2	10416	47968.0864	2557.8176	263	1
5_MACS_peak_4447_lociStitched	chr11	62308025	62328896	5	14031	34422.5403	3888.2673	264	1
4_MACS_peak_11289_lociStitched	chr17	74476110	74498243	4	12459	41946.4616	3711.7041	265	1
