REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X12_0EWY_0229Kronos_MM1S.No.Treatment.2_H3K27Ac_hs.dm_i21.bam	X36_0EXO_0229Kronos_MM1S.No.Treatment.2_Input_hs_i78.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank.1	isSuper
1_MACS_peak_13128_lociStitched	chr2	11883494	11898220	1	14727	90005.312	3547.4934	53	LPIN1		LPIN1	53	1
2_MACS_peak_2569_lociStitched	chr1	234733819	234749965	2	13070	89632.9044	5428.2852	54	IRF2BP2	NCRNA00184	IRF2BP2	54	1
1_MACS_peak_21766_lociStitched	chr6	25402830	25415313	1	12484	87640.6464	3618.8217	55	LRRC16A		LRRC16A	55	1
4_MACS_peak_11517_lociStitched	chr18	9055113	9085237	4	17690	89423.094	6103.1224	56		NDUFV2	NDUFV2	56	1
2_MACS_peak_13175_lociStitched	chr2	20397178	20426422	2	23702	89121.09	5819.556	57	SDC1		SDC1	57	1
1_MACS_peak_19005_lociStitched	chr4	40190985	40209803	1	18819	88004.2588	4862.5712	58	RHOH		RHOH	58	1
3_MACS_peak_16478_lociStitched	chr22	24177225	24200925	3	15497	87566.76	4649.94	59	SLC2A11,DERL3	SMARCB1,MIF	DERL3	59	1
3_MACS_peak_1658_lociStitched	chr1	156449675	156476233	3	24942	90398.1204	8267.5054	60	MEF2D		MEF2D	60	1
7_MACS_peak_15557_lociStitched	chr20	32398778	32452254	7	40420	93192.6252	11106.9652	61	CHMP4B		CHMP4B	61	1
3_MACS_peak_12660_lociStitched	chr19	39880731	39904040	3	18219	85854.0397	4785.3377	62	MED29,ZFP36,PLEKHG2,PAF1	SAMD4B,SUPT5H,RPS16	ZFP36	62	1
2_MACS_peak_4549_lociStitched	chr11	65254336	65279049	2	18372	86273.083	5365.1923	63	MALAT1	MIR612,SCYL1,LTBP3	MALAT1	63	1
2_MACS_peak_4175_lociStitched	chr11	22676707	22703956	2	23066	85738.9785	4874.8461	64	GAS2	FANCF	GAS2	64	1
3_MACS_peak_18389_lociStitched	chr3	171801653	171827063	3	20772	88673.277	7935.543	65	FNDC3B		FNDC3B	65	1
2_MACS_peak_1501_lociStitched	chr1	150532141	150553132	2	19801	87626.9295	7327.9581	66	ADAMTSL4,MCL1	MIR4257,ENSA	MCL1	66	1
2_MACS_peak_3726_lociStitched	chr10	112112609	112122495	2	7948	82429.468	2720.6272	67		SMNDC1	SMNDC1	67	1
5_MACS_peak_21838_lociStitched	chr6	27774585	27808066	5	20063	84686.8414	6739.7253	68	HIST1H2AI,HIST1H3H,HIST1H2BM,HIST1H4J,HIST1H2BN,HIST1H2BL,HIST1H2AJ,HIST1H4K,HIST1H2AK	HIST1H2AL,HIST1H1B,HIST1H3I,HIST1H4L	HIST1H4J	68	1
4_MACS_peak_22441_lociStitched	chr6	90053604	90086370	4	24242	81921.5532	6939.8388	69	UBE2J1,RRAGD	GABRR2	UBE2J1	69	1
2_MACS_peak_9807_lociStitched	chr16	66549134	66560541	2	10751	76404.086	2977.227	70	TK2	CKLF,CMTM1	TK2	70	1
6_MACS_peak_8211_lociStitched	chr15	31616886	31660608	6	32418	79307.3358	7231.6188	71	KLF13		KLF13	71	1
7_MACS_peak_9860_lociStitched	chr16	68269905	68320910	7	35353	81730.412	9670.548	72	PLA2G15,SLC7A6,ESRP2	PRMT7,SLC7A6OS	SLC7A6	72	1
4_MACS_peak_13951_lociStitched	chr2	97190594	97220886	4	22832	76820.512	5667.6332	73	ARID5A	NEURL3	ARID5A	73	1
5_MACS_peak_25479_lociStitched	chr8	120912554	120948116	5	33579	77788.3188	7201.305	74	DEPDC6	DSCC1	DEPDC6	74	1
1_MACS_peak_16533_lociStitched	chr22	29185799	29199670	1	13872	73155.654	3126.5234	75	XBP1	HSCB,CCDC117,CHEK2	XBP1	75	1
3_MACS_peak_8088_lociStitched	chr14	106144915	106169453	3	21518	73147.778	3153.133	76			TMEM121	76	1
4_MACS_peak_4049_lociStitched	chr11	10314764	10345192	4	20796	75637.9224	5693.0788	77	ADM,SBF2		ADM	77	1
3_MACS_peak_2781_lociStitched	chr10	11278676	11313063	3	27453	76421.6688	6633.2523	78	CELF2		CELF2	78	1
3_MACS_peak_18276_lociStitched	chr3	156804589	156824595	3	14384	76484.9386	6792.037	79	LOC100498859,LOC339894		LOC100498859	79	1
3_MACS_peak_1580_lociStitched	chr1	154370253	154394635	3	19224	76815.491	7307.2854	80	IL6R		IL6R	80	1
3_MACS_peak_11306_lociStitched	chr17	75131332	75146882	3	14746	72854.86	4055.44	81	SEC14L1	C17orf86,SCARNA16,SEC14L1	SEC14L1	81	1
3_MACS_peak_15668_lociStitched	chr20	37486941	37505999	3	11411	71778.1454	3245.5774	82	PPP1R16B	FAM83D	FAM83D	82	1
1_MACS_peak_7321_lociStitched	chr13	114828864	114835130	1	6267	70080.1972	1563.9936	83	RASA3		RASA3	83	1
2_MACS_peak_10714_lociStitched	chr17	38465321	38483734	2	18116	72735.0326	4284.7051	84	RARA	CDC6,RARA,GJD3	RARA	84	1
1_MACS_peak_16256_lociStitched	chr21	43480216	43486465	1	6250	70866.7845	2487.7269	85	UMODL1	C21orf121,UMODL1,ZNF295,C21orf128	UMODL1	85	1
4_MACS_peak_3843_lociStitched	chr10	125822026	125854590	4	29778	74633.4316	6395.5696	86	CHST15		CHST15	86	1
1_MACS_peak_2169_lociStitched	chr1	203288258	203298025	1	9768	71899.7705	3674.3454	87		BTG2,LOC730227,FMOD	BTG2	87	1
2_MACS_peak_5353_lociStitched	chr12	4216300	4229971	2	7190	70396.0803	2879.1126	88			CCND2	88	1
1_MACS_peak_20607_lociStitched	chr5	88111122	88131362	1	20241	71888.432	4426.488	89	MEF2C		MEF2C	89	1
2_MACS_peak_9751_lociStitched	chr16	56963309	56986021	2	21554	72669.3152	5257.828	90	HERPUD1	CETP,NLRC5	HERPUD1	90	1
3_MACS_peak_13495_lociStitched	chr2	47526556	47550868	3	14410	72692.88	5397.264	91		EPCAM	EPCAM	91	1
5_MACS_peak_11768_lociStitched	chr18	46440302	46483076	5	38035	74751.8424	8011.5702	92	SMAD7		SMAD7	92	1
2_MACS_peak_2232_lociStitched	chr1	206727980	206754738	2	22583	74258.8016	7821.3634	93	RASSF5	LGTN	RASSF5	93	1
2_MACS_peak_18585_lociStitched	chr3	186779757	186792494	2	10474	70829.1833	4401.9072	94	ST6GAL1		ST6GAL1	94	1
2_MACS_peak_8315_lociStitched	chr15	40387219	40409031	2	17055	70204.1032	5023.3036	95	BMF	BUB1B	BMF	95	1
1_MACS_peak_13426_lociStitched	chr2	43444166	43457199	1	13034	66891.8725	3092.7309	96	LOC100129726,ZFP36L2		ZFP36L2	96	1
1_MACS_peak_23644_lociStitched	chr7	55615792	55642893	1	27102	69549.2963	5832.1352	97	VOPP1		VOPP1	97	1
1_MACS_peak_11901_lociStitched	chr18	60822020	60831106	1	9087	66075.2092	2566.795	98	BCL2		BCL2	98	1
2_MACS_peak_23371_lociStitched	chr7	26002306	26011723	2	8926	65842.7223	2523.756	99		MIR148A	MIR148A	99	1
5_MACS_peak_8771_lociStitched	chr15	75065281	75093292	5	23895	68993.8941	5899.1166	100	CSK	CYP1A2,LMAN1L,CPLX3,CYP1A1,ULK3	CSK	100	1
3_MACS_peak_8690_lociStitched	chr15	68568534	68599527	3	29398	68937.7299	6006.4434	101	FEM1B,ITGA11	CLN6	FEM1B	101	1
2_MACS_peak_5923_lociStitched	chr12	53845127	53876649	2	31479	69461.8792	6578.6414	102	PCBP2,MAP3K12	AMHR2,PRR13,TARBP2,NPFF	PCBP2	102	1
2_MACS_peak_14972_lociStitched	chr2	219742984	219763481	2	16695	67443.3288	4777.8507	103	WNT10A	WNT6,PRKAG3	WNT10A	103	1
2_MACS_peak_21924_lociStitched	chr6	31694350	31709259	2	12461	65525.055	3442.4881	104	MSH5,DDAH2,CLIC1	LY6G6F,LY6G6D,C6orf25,C6orf26,LY6G5C,BAT5,LY6G6E,LY6G6C,C6orf27	CLIC1	104	1
1_MACS_peak_21959_lociStitched	chr6	32934544	32942122	1	7579	63950.742	2076.372	105	BRD2	HLA-DMB,HLA-DMA,HLA-DOA	BRD2	105	1
2_MACS_peak_10626_lociStitched	chr17	34408906	34432844	2	21305	67821.1416	6001.2566	106	CCL4,CCL3	CCL18	CCL3	106	1
1_MACS_peak_23841_lociStitched	chr7	78113789	78128350	1	14562	65093.4944	3622.7768	107	MAGI2		RPL13AP17	107	1
2_MACS_peak_6453_lociStitched	chr12	108952734	108970695	2	16668	65471.4372	4718.3547	108	ISCU,SART3	FICD,TMEM119	ISCU	108	1
2_MACS_peak_18582_lociStitched	chr3	186703150	186719950	2	13163	65629.2	5530.56	109	ST6GAL1	ST6GAL1	ST6GAL1	109	1
2_MACS_peak_12398_lociStitched	chr19	16243462	16273299	2	24789	66282.8955	6274.7211	110	RAB8A,HSH2D,CIB3	FAM32A,AP1M1	HSH2D	110	1
2_MACS_peak_19916_lociStitched	chr4	185200893	185210996	2	9327	62816.4128	2954.1172	111			ENPP6	111	1
2_MACS_peak_14808_lociStitched	chr2	202115681	202129041	2	13087	63081.912	3283.888	112	CASP8		CASP8	112	1
3_MACS_peak_6659_lociStitched	chr12	123355160	123387260	3	25122	64151.85	4413.75	113	VPS37B	HIP1R	VPS37B	113	1
2_MACS_peak_8209_lociStitched	chr15	31546411	31560842	2	10434	63093.7751	3424.4763	114			KLF13	114	1
1_MACS_peak_23643_lociStitched	chr7	55597662	55606091	1	8430	61803.1138	2326.404	115	VOPP1		VOPP1	115	1
5_MACS_peak_16670_lociStitched	chr22	37611065	37642281	5	25725	65803.328	6343.0912	116	RAC2	CYTH4,C1QTNF6,SSTR3	RAC2	116	1
6_MACS_peak_25205_lociStitched	chr8	81046162	81084508	6	27715	66603.1674	7212.8826	117	TPD52		TPD52	117	1
4_MACS_peak_2225_lociStitched	chr1	206282068	206307839	4	16916	66182.5051	7215.88	118	C1orf186	CTSE	C1orf186	118	1
5_MACS_peak_11264_lociStitched	chr17	73850295	73875819	5	15785	63123.4044	4780.6452	119	WBP2,TRIM47	UNC13D,TRIM65,MRPL38	WBP2	119	1
4_MACS_peak_21782_lociStitched	chr6	26183481	26207385	4	15154	63283.4496	4995.936	120	HIST1H2BE,HIST1H2BF,HIST1H4E,HIST1H4D,HIST1H3D,HIST1H2AD	HIST1H1E,HIST1H2BD,HIST1H2AE,HIST1H3E,HIST1H4F,HIST1H2BH,HIST1H2BG,HIST1H1D,HIST1H4G,HIST1H3F	HIST1H3D	120	1
2_MACS_peak_609_lociStitched	chr1	40838976	40858658	2	16074	62525.7776	4288.7078	121	SMAP2	SMAP2	SMAP2	121	1
1_MACS_peak_7314_lociStitched	chr13	114556317	114568099	1	11783	60875.2376	2913.6886	122	GAS6	FLJ44054,GAS6	GAS6	122	1
2_MACS_peak_4720_lociStitched	chr11	72851064	72869719	2	12779	62580.063	4656.288	123	FCHSD2		FCHSD2	123	1
4_MACS_peak_13654_lociStitched	chr2	65157283	65178624	4	13846	62970.8887	5109.0354	124	LOC400958	SLC1A4	LOC400958	124	1
1_MACS_peak_14640_lociStitched	chr2	182168284	182180172	1	11889	61195.8576	3338.1504	125			ITGA4	125	1
3_MACS_peak_24067_lociStitched	chr7	104576246	104586810	3	9763	59749.984	2699.102	126		LOC723809	LOC723809	126	1
4_MACS_peak_18086_lociStitched	chr3	133179287	133200483	4	16157	61654.9248	4608.0104	127	BFSP2		BFSP2	127	1
1_MACS_peak_20608_lociStitched	chr5	88171076	88187085	1	16010	60549.2398	3589.2178	128	MEF2C		MEF2C	128	1
5_MACS_peak_11349_lociStitched	chr17	76753715	76780277	5	19990	61785.8682	4990.9998	129	CYTH1		CYTH1	129	1
3_MACS_peak_219_lociStitched	chr1	17221373	17241489	3	9542	63238.6692	6708.686	130		CROCC	CROCC	130	1
1_MACS_peak_15105_lociStitched	chr2	232687050	232715239	1	28190	59955.1841	3560.2707	131		COPS7B,PDE6D,MIR1471	COPS7B	131	1
1_MACS_peak_14127_lociStitched	chr2	112455712	112465724	1	10013	59120.86	2782.3348	132			ANAPC1	132	1
1_MACS_peak_10669_lociStitched	chr17	36856109	36863653	1	7545	57960.552	1705.6984	133	MLLT6	CISD3,PSMB3,C17orf96,PCGF2	MLLT6	133	1
1_MACS_peak_24073_lociStitched	chr7	104650840	104658700	1	7861	58176.576	2108.838	134	MLL5,LOC100216545		MLL5	134	1
2_MACS_peak_15927_lociStitched	chr20	56047589	56058442	2	10110	58600.7735	2533.0902	135		CTCFL	CTCFL	135	1
6_MACS_peak_8990_lociStitched	chr15	89646655	89676920	6	18034	61138.3265	5375.064	136	ABHD2		ABHD2	136	1
1_MACS_peak_21614_lociStitched	chr6	11827756	11836905	1	9150	57491.4011	2456.5065	137		C6orf105	C6orf105	137	1
2_MACS_peak_12587_lociStitched	chr19	35695314	35706266	2	8701	57271.2936	2308.6816	138		FXYD5,LSR,FAM187B	FAM187B	138	1
4_MACS_peak_19924_lociStitched	chr4	185317593	185350390	4	22405	61366.4667	6913.6076	139	IRF2		IRF2	139	1
1_MACS_peak_15871_lociStitched	chr20	52194470	52213954	1	19485	57768.1116	3472.0488	140	ZNF217		ZNF217	140	1
2_MACS_peak_4154_lociStitched	chr11	19450100	19465860	2	13235	57875.448	3790.28	141	NAV2		NAV2	141	1
1_MACS_peak_9020_lociStitched	chr15	90637239	90646643	1	9405	56571.6428	2592.6828	142	IDH2		IDH2	142	1
1_MACS_peak_2473_lociStitched	chr1	226839962	226852492	1	12531	58531.389	4585.98	143	ITPKB		ITPKB	143	1
3_MACS_peak_17726_lociStitched	chr3	98472577	98496073	3	20224	58516.788	4788.4848	144	ST3GAL6		ST3GAL6	144	1
2_MACS_peak_18435_lociStitched	chr3	177068455	177079972	2	8881	57523.9599	3824.7957	145			TBL1XR1	145	1
3_MACS_peak_9356_lociStitched	chr16	12052744	12071415	3	12151	57678.4532	4047.8728	146	TNFRSF17,RUNDC2A	GSPT1	TNFRSF17	146	1
3_MACS_peak_16753_lociStitched	chr22	39823250	39846358	3	14720	57587.4468	4016.1704	147	TAB1	MGAT3	MGAT3	147	1
2_MACS_peak_20062_lociStitched	chr5	6475489	6487333	2	11039	55627.7148	2197.062	148	UBE2QL1		UBE2QL1	148	1
2_MACS_peak_24493_lociStitched	chr7	150100613	150113984	2	8440	56652.927	3342.75	149	LOC728743	REPIN1,ZNF775,LOC285972,GIMAP8	LOC728743	149	1
2_MACS_peak_5074_lociStitched	chr11	115090777	115102545	2	9362	55933.304	2767.8336	150	CADM1		CADM1	150	1
5_MACS_peak_26677_lociStitched	chr9	130531920	130566722	5	19118	58735.3354	5662.2854	151	CDK9,MIR2861,FPGS,SH2D3C	TOR2A,SH2D3C	CDK9	151	1
1_MACS_peak_10834_lociStitched	chr17	43298332	43308985	1	10654	55272.0252	2201.9751	152	FMNL1	LOC100133991,C17orf46	FMNL1	152	1
1_MACS_peak_5614_lociStitched	chr12	26265717	26280366	1	14650	56360.5626	3694.4778	153	BHLHE41		BHLHE41	153	1
5_MACS_peak_24792_lociStitched	chr8	27208510	27242164	5	22833	59227.6746	6646.665	154	PTK2B	TRIM35	PTK2B	154	1
4_MACS_peak_7330_lociStitched	chr13	115023409	115048836	4	17408	57309.9153	4767.5625	155	CDC16,UPF3A	ZNF828	UPF3A	155	1
2_MACS_peak_8539_lociStitched	chr15	56648178	56666392	2	11801	55858.6952	3342.269	156	TEX9		TEX9	156	1
1_MACS_peak_1480_lociStitched	chr1	149855388	149861380	1	5993	54835.788	2451.9264	157	HIST2H2AC,HIST2H2BE,HIST2H2AB	BOLA1,HIST2H3A,HIST2H2AA4,HIST2H2BC,SV2A,SF3B4,MTMR11	HIST2H2AC	157	1
1_MACS_peak_16238_lociStitched	chr21	41324700	41345464	1	20765	58888.7804	6544.8128	158			PCP4	158	1
2_MACS_peak_13724_lociStitched	chr2	70310069	70323279	2	8844	55175.528	2949.793	159	PCBP1,LOC400960	LOC100133985	PCBP1	159	1
3_MACS_peak_23552_lociStitched	chr7	44656721	44680286	3	16403	57241.7415	5099.466	160	OGDH	DDX56,TMED4	OGDH	160	1
4_MACS_peak_12714_lociStitched	chr19	42037807	42070292	4	21325	58307.3265	6334.575	161		CEACAM21	CEACAM21	161	1
2_MACS_peak_20184_lociStitched	chr5	32570785	32593063	2	16375	56361.1122	4393.2216	162	SUB1		SUB1	162	1
1_MACS_peak_279_lociStitched	chr1	23849549	23858960	1	9412	53962.674	2397.9228	163	E2F2	ASAP3,ID3	E2F2	163	1
1_MACS_peak_18429_lociStitched	chr3	176911562	176920955	1	9394	54440.8887	3062.118	164	TBL1XR1		TBL1XR1	164	1
2_MACS_peak_15564_lociStitched	chr20	32461944	32473749	2	8331	53968.9185	2813.1315	165			CHMP4B	165	1
3_MACS_peak_18042_lociStitched	chr3	129026398	129048535	3	14500	55588.2207	4693.044	166	C3orf47,H1FX	C3orf37	H1FX	166	1
3_MACS_peak_5027_lociStitched	chr11	111230449	111251500	3	15972	54858.906	4182.8337	167	POU2AF1		POU2AF1	167	1
2_MACS_peak_17348_lociStitched	chr3	46245667	46257184	2	9641	53901.8634	3283.4967	168	CCR1	CCR3	CCR1	168	1
1_MACS_peak_2983_lociStitched	chr10	30989081	30996956	1	7876	52360.0875	1823.85	169			LYZL2	169	1
3_MACS_peak_4691_lociStitched	chr11	71413835	71426978	3	11889	53811.3849	3288.3786	170			FAM86C	170	1
4_MACS_peak_19225_lociStitched	chr4	77117617	77136645	4	15033	54777.8064	4262.272	171	SCARB2	FAM47E,NUP54	SCARB2	171	1
1_MACS_peak_19923_lociStitched	chr4	185302150	185308200	1	6051	52135.27	1924.505	172			IRF2	172	1
4_MACS_peak_5814_lociStitched	chr12	48196564	48218799	4	16281	54400.151	4382.5185	173	HDAC7	SLC48A1,RAPGEF3	HDAC7	173	1
1_MACS_peak_4379_lociStitched	chr11	58340030	58348100	1	8071	51874.767	2119.182	174	ZFP91-CNTF,ZFP91,LPXN	CNTF	LPXN	174	1
4_MACS_peak_305_lociStitched	chr1	24512419	24533807	4	13909	53854.984	4686.1108	175	LOC284632,IL28RA	IL22RA1	LOC284632	175	1
1_MACS_peak_16709_lociStitched	chr22	38782031	38797234	1	15204	51900.0014	2776.0678	176	LOC400927	KCNJ4	LOC400927	176	1
2_MACS_peak_1741_lociStitched	chr1	161144363	161157881	2	10768	53679.978	4613.6934	177	B4GALT3	UFC1,USP21,PPOX,NDUFS2,FCER1G,TOMM40L,DEDD,ADAMTS4,APOA2	B4GALT3	177	1
9_MACS_peak_22861_lociStitched	chr6	138246861	138297598	9	23427	58347.55	9401.5661	178			TNFAIP3	178	1
1_MACS_peak_15725_lociStitched	chr20	42694991	42700321	1	5331	50284.286	1376.739	179	TOX2		JPH2	179	1
3_MACS_peak_26300_lociStitched	chr9	94180566	94195979	3	14080	51966.4708	3158.1237	180	NFIL3		NFIL3	180	1
4_MACS_peak_14737_lociStitched	chr2	197023817	197048704	4	22014	54395.5159	5661.7925	181	STK17B		STK17B	181	1
1_MACS_peak_20636_lociStitched	chr5	90674298	90681188	1	6891	50480.963	1815.515	182	LOC100129716,ARRDC3		ARRDC3	182	1
1_MACS_peak_24317_lociStitched	chr7	129587854	129593366	1	5513	50777.6464	2164.0112	183	UBE2H		UBE2H	183	1
