REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X18_0EX4_0229Kronos_MM1S.KB.6hr.2_H3K27Ac_hs.dm_i37.bam	X42_0EXU_0229Kronos_MM1S.KB.6hr.2_Input_hs_i86.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isStretch
1_MACS_peak_21792_lociStitched	chr5	88110832	88130892	1	20061	50336.558	3662.956	71	MEF2C		MEF2C	MEF2C	0.6476999999999999	71	1
4_MACS_peak_10873_lociStitched	chr17	16859275	16883488	4	20046	100014.2178	4426.1364	72	TNFRSF13B		TNFRSF13B	TNFRSF13B	2.314	72	1
4_MACS_peak_1395_lociStitched	chr1	118194995	118219236	4	20022	118230.6293	2751.3535	73		FAM46C	FAM46C	FAM46C	3.6409	73	1
4_MACS_peak_8225_lociStitched	chr14	81930570	81956212	4	19944	80218.4328	2528.3012	74	SEL1L		SEL1L	SEL1L	1.157	74	1
3_MACS_peak_11591_lociStitched	chr17	56404981	56431171	3	19944	148206.591	5764.419	75	BZRAP1,MIR142,SUPT4H1,RNF43	MPO	MIR142	MIR142	5.687399999999999	75	1
5_MACS_peak_10212_lociStitched	chr16	56963187	56985982	5	19824	67468.641	4435.907	76	HERPUD1	CETP,NLRC5	HERPUD1	HERPUD1	2.7680000000000002	76	1
2_MACS_peak_16175_lociStitched	chr20	5570370	5592430	2	19744	47501.798	3920.062	77	GPCPD1		GPCPD1	GPCPD1	0.5491	77	1
3_MACS_peak_1668_lociStitched	chr1	154370227	154394665	3	19671	106798.9476	6537.165	78	IL6R		IL6R	IL6R	1.3808	78	1
4_MACS_peak_15583_lociStitched	chr2	197024243	197048775	4	19636	62237.684	4109.11	79	STK17B		STK17B	STK17B	0.6292	79	1
4_MACS_peak_24844_lociStitched	chr7	38383518	38408561	4	19401	48828.8414	4991.0699	80			TARP	TARP	NONE	80	1
2_MACS_peak_1586_lociStitched	chr1	150532184	150553314	2	19316	167089.701	6601.012	81	ADAMTSL4,MCL1	MIR4257,ENSA	MCL1	MCL1	1.343	81	1
5_MACS_peak_2341_lociStitched	chr1	206281987	206310883	5	19253	131887.1232	6966.8256	82	C1orf186	CTSE	C1orf186	C1orf186	1.6489999999999998	82	1
1_MACS_peak_11257_lociStitched	chr17	38465355	38484604	1	19250	113513.2779	3295.4288	83	RARA	CDC6,RARA,GJD3	RARA	RARA	1.9192000000000002	83	1
3_MACS_peak_9167_lociStitched	chr15	75063182	75084062	3	19238	75591.864	4102.92	84	CSK	CYP1A2,LMAN1L,CPLX3,CYP1A1	CSK	CSK	2.1858	84	1
3_MACS_peak_4273_lociStitched	chr11	10323540	10345157	3	19160	115209.9632	4479.0424	85	ADM	SBF2	ADM	ADM	6.207599999999999	85	1
5_MACS_peak_10317_lociStitched	chr16	67570908	67601527	5	18929	60270.4396	4556.1072	86	FAM65A,CTCF		CTCF	CTCF	0.31599999999999995	86	1
4_MACS_peak_11151_lociStitched	chr17	34408881	34432659	4	18901	71619.336	4693.7772	87	CCL4,CCL3	CCL18	CCL3	CCL3	4.2119	87	1
4_MACS_peak_1560_lociStitched	chr1	149802642	149834138	4	18894	118235.984	8122.8184	88	HIST2H4B,HIST2H2AA4,HIST2H3A,HIST2H2BC	FCGR1A,HIST2H2AC,BOLA1,HIST2H2BF,HIST2H3D,HIST2H2BE,HIST2H2AB	HIST2H2BC	HIST2H2AC	4.6678	88	1
4_MACS_peak_17387_lociStitched	chr22	23188594	23210118	4	18826	64348.1504	2331.0492	89		MIR650,IGLL5	IGLL5	IGLL5	9.747	89	1
1_MACS_peak_20090_lociStitched	chr4	40190899	40209665	1	18767	122119.745	4464.4314	90	RHOH		RHOH	RHOH	1.8904999999999998	90	1
2_MACS_peak_26000_lociStitched	chr8	2027071	2051054	2	18710	137504.1322	4592.7445	91	MYOM2		MYOM2	MYOM2	1.5069	91	1
4_MACS_peak_14686_lociStitched	chr2	88898875	88928516	4	18621	42502.2299	5006.3649	92	EIF2AK3		EIF2AK3	EIF2AK3	0.4424	92	1
4_MACS_peak_18023_lociStitched	chr3	13035338	13061672	4	18397	103808.628	5156.1972	93	IQSEC1	IQSEC1	IQSEC1	IQSEC1	0.5306000000000001	93	1
7_MACS_peak_10028_lociStitched	chr16	30193723	30227563	7	18347	46533.384	6341.616	94	CORO1A,LOC606724,SLX1B,SLX1A-SULT1A3,SULT1A3,SULT1A4,BOLA2B,LOC388242	LOC613037	CORO1A	CORO1A	1.8811999999999998	94	1
4_MACS_peak_17220_lociStitched	chr21	45552534	45580893	4	18266	127850.8797	6596.3034	95	C21orf33	PWP2	C21orf33	C21orf33	1.6818	95	1
4_MACS_peak_8698_lociStitched	chr15	40834122	40862760	4	17866	73817.3088	5200.6608	96	RPUSD2,C15orf57	CASC5,MRPL42P5	C15orf57	C15orf57	1.7612999999999999	96	1
3_MACS_peak_13334_lociStitched	chr19	39880704	39904116	3	17809	93858.708	4396.7736	97	MED29,ZFP36,PLEKHG2,PAF1	SAMD4B,SUPT5H,RPS16	ZFP36	ZFP36	5.6521	97	1
4_MACS_peak_22992_lociStitched	chr6	25365895	25390353	4	17764	52195.8178	4307.0538	98	LRRC16A		LRRC16A	LRRC16A	0.5182	98	1
5_MACS_peak_23180_lociStitched	chr6	31781489	31805399	5	17742	46186.947	4200.987	99	HSPA1A,HSPA1B,C6orf48,SNORD48,SNORD52,HSPA1L	C6orf27,VARS,LSM2,NEU1,SLC44A4	HSPA1B	HSPA1B	1.8168	99	1
2_MACS_peak_17395_lociStitched	chr22	23268241	23286275	2	17612	217156.411	4017.9752	100		IGLL5	IGLL5	IGLL5	9.747	100	1
2_MACS_peak_18610_lociStitched	chr3	69128176	69146129	2	17462	56575.2889	3594.1906	101	ARL6IP5,UBA3	MIR3136,TMF1,LMOD3	ARL6IP5	ARL6IP5	1.7781	101	1
4_MACS_peak_22122_lociStitched	chr5	131789720	131815903	4	17388	66703.8108	4506.0943	102	C5orf56	IRF1	IRF1	IRF1	0.8070999999999999	102	1
5_MACS_peak_9898_lociStitched	chr16	22194886	22219265	5	17211	43787.1219	4176.1227	103	EEF2K		EEF2K	EEF2K	0.038000000000000006	103	1
1_MACS_peak_25003_lociStitched	chr7	55569369	55586435	1	17067	65832.095	2643.5234	104	VOPP1		VOPP1	VOPP1	2.1194	104	1
2_MACS_peak_8682_lociStitched	chr15	40387083	40409080	2	17015	105831.9664	4212.4255	105	BMF	BUB1B	BMF	BMF	3.5085	105	1
4_MACS_peak_22378_lociStitched	chr5	150512834	150538116	4	16920	44086.7516	4553.2882	106	ANXA6		ANXA6	ANXA6	0.5987	106	1
6_MACS_peak_9389_lociStitched	chr15	89646489	89676585	6	16908	77635.6416	5317.9632	107	ABHD2		ABHD2	ABHD2	0.6016	107	1
4_MACS_peak_1170_lociStitched	chr1	93409365	93428747	4	16889	32668.361	1804.4642	108	FAM69A		FAM69A	FAM69A	0.30920000000000003	108	1
2_MACS_peak_18739_lociStitched	chr3	98479377	98496396	2	16781	73562.9256	3254.0328	109	ST3GAL6		ST3GAL6	ST3GAL6	1.3952	109	1
2_MACS_peak_1021_lociStitched	chr1	75595719	75612661	2	16769	48894.612	2214.3194	110	LHX8		LHX8	LHX8	1.0727	110	1
5_MACS_peak_8481_lociStitched	chr15	21976460	22002565	5	16763	35774.292	3819.1615	111		LOC646214,CXADRP2	CXADRP2	LOC646214	0.033	111	1
6_MACS_peak_10007_lociStitched	chr16	29815073	29837598	6	16673	51084.4475	3236.8425	112	KIF22,MAZ,PRRT2,C16orf53,MVP	ZG16,LOC440356,CDIPT	C16orf53	C16orf53	1.4752	112	1
4_MACS_peak_19110_lociStitched	chr3	133179169	133200508	4	16623	89273.8404	4222.9881	113	BFSP2		BFSP2	BFSP2	1.1016000000000001	113	1
3_MACS_peak_18168_lociStitched	chr3	30682622	30703620	3	16587	40421.15	3748.143	114	TGFBR2		TGFBR2	TGFBR2	0.42710000000000004	114	1
2_MACS_peak_15654_lociStitched	chr2	201979859	201998135	2	16541	150850.104	3726.4764	115	CFLAR	NDUFB3,CASP10,FAM126B	CFLAR	CFLAR	2.6151	115	1
3_MACS_peak_6729_lociStitched	chr12	108952816	108970703	3	16524	73503.0491	3645.3706	116	ISCU,SART3	FICD,TMEM119	ISCU	ISCU	4.0630999999999995	116	1
3_MACS_peak_3951_lociStitched	chr10	112611822	112633193	3	16414	84909.1201	4216.4983	117	PDCD4,LOC282997	SHOC2,NCRNA00081	LOC282997	LOC282997	3.4673	117	1
5_MACS_peak_28284_lociStitched	chr9	134127144	134153604	5	16351	51411.78	3916.08	118	FAM78A	PPAPDC3	FAM78A	FAM78A	1.4318	118	1
1_MACS_peak_21793_lociStitched	chr5	88170989	88187175	1	16187	77882.1762	2858.4476	119	MEF2C		MEF2C	MEF2C	0.6476999999999999	119	1
3_MACS_peak_314_lociStitched	chr1	24511947	24533815	3	16167	123917.2088	4019.3384	120	LOC284632,IL28RA	IL22RA1	LOC284632	LOC284632	0.9485000000000001	120	1
5_MACS_peak_8471_lociStitched	chr15	20969857	20995835	5	16130	38722.8068	3639.5178	121		BCL8	BCL8	NONE	NONE	121	1
3_MACS_peak_15828_lociStitched	chr2	219743092	219763411	3	16117	52711.5498	3511.1232	122	WNT10A	WNT6,PRKAG3	WNT10A	WNT10A	2.112	122	1
1_MACS_peak_5753_lociStitched	chr12	12866081	12882150	1	16070	169344.7634	3298.9657	123	CDKN1B,APOLD1	MIR613,GPR19	CDKN1B	CDKN1B	10.982000000000001	123	1
4_MACS_peak_24356_lociStitched	chr6	157976284	158000185	4	15997	74171.9733	2265.8148	124	ZDHHC14	MIR3692	MIR3692	MIR3692	0.0012999999999999956	124	1
1_MACS_peak_5790_lociStitched	chr12	15100541	15116529	1	15989	43260.3304	3170.4204	125	ARHGDIB	PDE6H,ERP27	ARHGDIB	ARHGDIB	1.3415	125	1
6_MACS_peak_26983_lociStitched	chr8	126285112	126308208	6	15871	46616.9664	4122.636	126	NSMCE2		TRIB1	TRIB1	1.2412999999999998	126	1
4_MACS_peak_21503_lociStitched	chr5	55436936	55453762	4	15752	63953.9434	3112.81	127	ANKRD55		ANKRD55	ANKRD55	0.43920000000000003	127	1
2_MACS_peak_12701_lociStitched	chr19	2081452	2098521	2	15722	158478.8374	5279.4417	128	IZUMO4,MOBKL2A	MKNK2	MOBKL2A	MOBKL2A	4.3681	128	1
4_MACS_peak_15661_lociStitched	chr2	202081221	202102179	4	15672	35574.1092	3749.3862	129	CASP10,CASP8	CASP8	CASP8	CASP8	1.5572	129	1
1_MACS_peak_4782_lociStitched	chr11	65263362	65278901	1	15540	65120.8412	3197.9262	130	MALAT1	SCYL1,LTBP3	MALAT1	MALAT1	3.3092	130	1
6_MACS_peak_6245_lociStitched	chr12	57093621	57120067	6	15406	23055.6228	3763.2658	131	NACA	HSD17B6,PTGES3,PRIM1	NACA	PTGES3	0.9744999999999999	131	1
2_MACS_peak_1729_lociStitched	chr1	155938210	155954103	2	15345	77314.6771	4299.0565	132	ARHGEF2	RXFP4,SNORA42,SCARNA4,KIAA0907,SSR2	ARHGEF2	ARHGEF2	2.2146	132	1
6_MACS_peak_14376_lociStitched	chr2	64430336	64456411	6	15332	55737.92	4542.265	133	LOC150992		LOC150992	LOC150992	0.3196	133	1
6_MACS_peak_8675_lociStitched	chr15	40329828	40358382	6	15319	46097.5776	4585.7724	134	SRP14	BMF	SRP14	BMF	3.5085	134	1
3_MACS_peak_5259_lociStitched	chr11	111234406	111251569	3	15149	74216.2446	3030.9858	135	POU2AF1		POU2AF1	POU2AF1	1.9263000000000001	135	1
4_MACS_peak_14407_lociStitched	chr2	65156811	65178642	4	15144	139259.949	4754.7918	136	LOC400958	SLC1A4	LOC400958	LOC400958	2.4556	136	1
3_MACS_peak_22673_lociStitched	chr5	180228204	180249395	3	15047	65516.2147	3672.4003	137	MGAT1	LOC729678,ZFP62	MGAT1	LOC729678	1.3458999999999999	137	1
3_MACS_peak_6068_lociStitched	chr12	48200705	48219045	3	15021	82517.162	3257.184	138	HDAC7	SLC48A1,RAPGEF3	HDAC7	HDAC7	1.7144	138	1
2_MACS_peak_17665_lociStitched	chr22	38782130	38797186	2	15019	40816.816	2511.3408	139	LOC400927	KCNJ4	LOC400927	LOC400927	0.7163	139	1
7_MACS_peak_4727_lociStitched	chr11	63992563	64020307	7	15018	28959.1872	4161.6	140	NUDT22,DNAJC4,VEGFB,FKBP2,PLCB3,TRPT1,PPP1R14B	STIP1,FERMT3,GPR137,KCNK4,C11orf20,BAD	FKBP2	C11orf20	1.2055	140	1
2_MACS_peak_6952_lociStitched	chr12	123371202	123387432	2	15001	36173.424	1876.188	141	VPS37B		VPS37B	VPS37B	1.1312	141	1
4_MACS_peak_16631_lociStitched	chr20	43583380	43609282	4	14981	39891.6702	4545.801	142	STK4,TOMM34	PABPC1L	STK4	STK4	0.5113	142	1
3_MACS_peak_11893_lociStitched	chr17	75131399	75147205	3	14954	101017.7266	3531.0604	143	SEC14L1	C17orf86,SCARNA16,SEC14L1	SEC14L1	SCARNA16	2.9655	143	1
5_MACS_peak_8189_lociStitched	chr14	77487858	77507990	5	14941	47219.606	1785.7084	144	C14orf4		C14orf4	C14orf4	2.0678	144	1
3_MACS_peak_16948_lociStitched	chr21	19152077	19169316	3	14891	56338.7759	2778.9268	145	C21orf91		C21orf91	C21orf91	1.2308000000000001	145	1
4_MACS_peak_22626_lociStitched	chr5	176717167	176740848	4	14867	47151.2391	4115.7578	146	NSD1,PRELID1,RAB24,MXD3	RGS14,LMAN2	RAB24	RAB24	2.1197000000000004	146	1
4_MACS_peak_17710_lociStitched	chr22	39822762	39846385	4	14797	115714.9032	3949.7656	147	TAB1	MGAT3	MGAT3	MGAT3	0.6497	147	1
3_MACS_peak_26661_lociStitched	chr8	81046253	81062204	3	14796	35853.0627	2695.719	148	TPD52		TPD52	TPD52	0.4901	148	1
5_MACS_peak_27155_lociStitched	chr8	145001993	145028002	5	14780	32472.2365	3105.4746	149	PLEC,MIR661	GRINA,PARP10	PLEC	PARP10	0.6608	149	1
1_MACS_peak_17663_lociStitched	chr22	38700384	38715157	1	14774	33335.2745	2558.6836	150	CSNK1E	TMEM184B	CSNK1E	CSNK1E	0.849	150	1
2_MACS_peak_24906_lociStitched	chr7	44661656	44680197	2	14766	41025.6707	3439.3555	151	OGDH	DDX56,TMED4	OGDH	TMED4	0.7761	151	1
5_MACS_peak_21489_lociStitched	chr5	55272622	55291990	5	14743	30260.5632	3083.3856	152	IL6ST		IL6ST	IL6ST	0.3668	152	1
3_MACS_peak_3579_lociStitched	chr10	81001226	81020426	3	14733	45233.28	3129.6	153	ZMIZ1		PPIF	PPIF	NONE	153	1
4_MACS_peak_2305_lociStitched	chr1	204474648	204493987	4	14688	75068.1963	5093.8926	154	MDM4	PIK3C2B	MDM4	MDM4	1.0722	154	1
4_MACS_peak_653_lociStitched	chr1	40838995	40858497	4	14672	40571.9608	3566.9158	155	SMAP2	SMAP2	SMAP2	SMAP2	0.5924	155	1
3_MACS_peak_12128_lociStitched	chr18	9054668	9074610	3	14672	138261.8744	4145.9418	156		NDUFV2	NDUFV2	NDUFV2	2.6111999999999997	156	1
2_MACS_peak_20336_lociStitched	chr4	77608880	77624823	2	14670	38760.6216	3164.6855	157	SHROOM3		ANKRD56	ANKRD56	NONE	157	1
