REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	18_0EX4_0229Kronos_MM1S-KB-6hr-2_H3K27Ac_hs-dm_i37.bam	42_0EXU_0229Kronos_MM1S-KB-6hr-2_Input_hs_i86.bam
5_MACS_peak_26919_lociStitched	chr8	120912365	120947934	5	29836	106070.3149	5925.7954
4_MACS_peak_17953_lociStitched	chr3	5222274	5256465	4	25632	72850.7637	6041.5497
5_MACS_peak_22585_lociStitched	chr5	173309956	173344126	5	28694	63768.054000000004	5849.9039999999995
7_MACS_peak_10028_lociStitched	chr16	30193723	30227563	7	18347	46533.384	6341.616
3_MACS_peak_4043_lociStitched	chr10	125821644	125854864	3	31783	147400.462	5949.702
4_MACS_peak_21068_lociStitched	chr4	185317499	185350336	4	21724	104467.6318	5969.7666
5_MACS_peak_8576_lociStitched	chr15	31628780	31660530	5	27113	98913.95000000001	5464.175
4_MACS_peak_1560_lociStitched	chr1	149802642	149834138	4	18894	118235.984	8122.818400000001
4_MACS_peak_17628_lociStitched	chr22	37610915	37642395	4	29617	103399.208	5678.992
6_MACS_peak_11108_lociStitched	chr17	32688326	32719779	6	26296	171462.8842	6394.3949
3_MACS_peak_9087_lociStitched	chr15	68568480	68599564	3	29664	92903.85919999999	5191.028
4_MACS_peak_4773_lociStitched	chr11	65182804	65213539	4	24589	200011.086	6377.5125
5_MACS_peak_10317_lociStitched	chr16	67570908	67601527	5	18929	60270.4396	4556.1071999999995
4_MACS_peak_11158_lociStitched	chr17	34509498	34539955	4	26261	126134.6198	7029.4756
5_MACS_peak_23739_lociStitched	chr6	90055757	90086176	5	23234	104693.0723	5536.258
6_MACS_peak_9389_lociStitched	chr15	89646489	89676585	6	16908	77635.6416	5317.9632
4_MACS_peak_17391_lociStitched	chr22	23217752	23247844	4	25982	195402.402	4956.1524
4_MACS_peak_25435_lociStitched	chr7	102063267	102093283	4	24300	188419.4368	5255.8016
3_MACS_peak_22119_lociStitched	chr5	131744628	131774588	3	23538	145204.136	5803.252
4_MACS_peak_13050_lociStitched	chr19	16243469	16273376	4	23104	66991.68000000001	5359.3344
6_MACS_peak_14738_lociStitched	chr2	97190793	97220694	6	20320	73652.1432	4431.3282
3_MACS_peak_8438_lociStitched	chr14	106023315	106053032	3	28749	257105.54059999998	5057.8333999999995
2_MACS_peak_6176_lociStitched	chr12	53845199	53874875	2	29615	44430.9072	5027.1143999999995
4_MACS_peak_14686_lociStitched	chr2	88898875	88928516	4	18621	42502.2299	5006.3649
7_MACS_peak_18339_lociStitched	chr3	46317877	46347411	7	21588	69112.5134	4917.411
4_MACS_peak_8445_lociStitched	chr14	106143800	106173249	4	25570	184707.0729	3460.2574999999997
5_MACS_peak_2341_lociStitched	chr1	206281987	206310883	5	19253	131887.1232	6966.8256
4_MACS_peak_8698_lociStitched	chr15	40834122	40862760	4	17866	73817.3088	5200.660800000001
6_MACS_peak_8675_lociStitched	chr15	40329828	40358382	6	15319	46097.577600000004	4585.7724
4_MACS_peak_17220_lociStitched	chr21	45552534	45580893	4	18266	127850.8797	6596.3034
2_MACS_peak_1685_lociStitched	chr1	154907924	154936101	2	25371	165210.2041	7785.3051
5_MACS_peak_4846_lociStitched	chr11	66861625	66889611	5	11483	22008.1904	3682.9575999999997
5_MACS_peak_3766_lociStitched	chr10	99159194	99187139	5	9355	15073.533	3861.999
1_MACS_peak_15955_lociStitched	chr2	232687001	232714916	1	27916	53627.5065	3746.193
7_MACS_peak_4727_lociStitched	chr11	63992563	64020307	7	15018	28959.1872	4161.599999999999
5_MACS_peak_16790_lociStitched	chr20	52539105	52566823	5	13399	40326.9182	4523.5776000000005
4_MACS_peak_8787_lociStitched	chr15	45001774	45029343	4	14356	44885.0889	4766.6801
6_MACS_peak_10300_lociStitched	chr16	67191522	67218840	6	12748	23127.4188	4015.7459999999996
2_MACS_peak_4400_lociStitched	chr11	22676823	22704095	2	23240	152000.492	4709.8744
5_MACS_peak_6732_lociStitched	chr12	109009416	109036336	5	22635	178180.788	5297.856
3_MACS_peak_25005_lociStitched	chr7	55616300	55643150	3	26507	68821.92	4728.285
2_MACS_peak_2280_lociStitched	chr1	203254912	203281721	2	21730	212110.1271	7782.6527
3_MACS_peak_1753_lociStitched	chr1	156449568	156476141	3	21401	76881.00360000001	6746.8847000000005
5_MACS_peak_21216_lociStitched	chr5	6711693	6738200	5	11312	20240.745199999998	3533.3831
5_MACS_peak_28284_lociStitched	chr9	134127144	134153604	5	16351	51411.78	3916.08
6_MACS_peak_6245_lociStitched	chr12	57093621	57120067	6	15406	23055.6228	3763.2658
4_MACS_peak_18023_lociStitched	chr3	13035338	13061672	4	18397	103808.62800000001	5156.1972
3_MACS_peak_11591_lociStitched	chr17	56404981	56431171	3	19944	148206.59100000001	5764.419
4_MACS_peak_22122_lociStitched	chr5	131789720	131815903	4	17388	66703.8108	4506.0943
5_MACS_peak_8481_lociStitched	chr15	21976460	22002565	5	16763	35774.292	3819.1615
6_MACS_peak_14376_lociStitched	chr2	64430336	64456411	6	15332	55737.92	4542.264999999999
4_MACS_peak_2943_lociStitched	chr10	11278738	11304763	4	23714	66579.7575	4923.93
1_MACS_peak_23842_lociStitched	chr6	106530359	106556378	1	26020	154984.77539999998	5214.2076
5_MACS_peak_27155_lociStitched	chr8	145001993	145028002	5	14780	32472.2365	3105.4746
5_MACS_peak_8471_lociStitched	chr15	20969857	20995835	5	16130	38722.8068	3639.5178
4_MACS_peak_9497_lociStitched	chr15	99393481	99419408	4	10669	36927.8261	3860.5303
6_MACS_peak_14484_lociStitched	chr2	70334955	70360877	6	12474	52144.6952	4144.9277999999995
4_MACS_peak_16631_lociStitched	chr20	43583380	43609282	4	14981	39891.6702	4545.8009999999995
4_MACS_peak_8225_lociStitched	chr14	81930570	81956212	4	19944	80218.4328	2528.3012
4_MACS_peak_10797_lociStitched	chr17	7736827	7762334	4	12757	26672.6699	3609.2405
3_MACS_peak_19435_lociStitched	chr3	171801692	171827186	3	21548	129968.412	6592.7483999999995
5_MACS_peak_15700_lociStitched	chr2	204548263	204573736	5	13569	54007.8546	4587.6873000000005
4_MACS_peak_5065_lociStitched	chr11	82764830	82790270	4	13618	56331.792	4454.544
5_MACS_peak_23148_lociStitched	chr6	31147707	31173067	5	10273	33295.144	3601.12
1_MACS_peak_5487_lociStitched	chr11	128584918	128610203	1	25286	107064.2755	5072.171
2_MACS_peak_12132_lociStitched	chr18	9101567	9126852	2	22995	79799.46	4925.518
4_MACS_peak_22378_lociStitched	chr5	150512834	150538116	4	16920	44086.7516	4553.2882
1_MACS_peak_20466_lociStitched	chr4	90204992	90230223	1	25232	205246.61570000002	5689.5905
2_MACS_peak_12134_lociStitched	chr18	9132543	9157591	2	24182	69009.7448	4413.4576
4_MACS_peak_24844_lociStitched	chr7	38383518	38408561	4	19401	48828.8414	4991.0699
5_MACS_peak_9078_lociStitched	chr15	68478727	68503739	5	14626	43063.1604	3474.1668
4_MACS_peak_15583_lociStitched	chr2	197024243	197048775	4	19636	62237.684	4109.110000000001
4_MACS_peak_22992_lociStitched	chr6	25365895	25390353	4	17764	52195.817800000004	4307.053800000001
3_MACS_peak_1668_lociStitched	chr1	154370227	154394665	3	19671	106798.94759999998	6537.165
5_MACS_peak_9898_lociStitched	chr16	22194886	22219265	5	17211	43787.1219	4176.1227
5_MACS_peak_11797_lociStitched	chr17	72733208	72757475	5	20332	52831.685699999995	4375.340099999999
4_MACS_peak_1395_lociStitched	chr1	118194995	118219236	4	20022	118230.6293	2751.3535
4_MACS_peak_10873_lociStitched	chr17	16859275	16883488	4	20046	100014.21780000001	4426.136399999999
4_MACS_peak_2921_lociStitched	chr10	7511522	7535726	4	14089	72556.3308	3729.8363999999997
5_MACS_peak_9991_lociStitched	chr16	29463745	29487927	5	12504	20266.9342	4754.1812
2_MACS_peak_26000_lociStitched	chr8	2027071	2051054	2	18710	137504.1322	4592.7445
5_MACS_peak_23180_lociStitched	chr6	31781489	31805399	5	17742	46186.947	4200.987
4_MACS_peak_24356_lociStitched	chr6	157976284	158000185	4	15997	74171.9733	2265.8148
4_MACS_peak_11151_lociStitched	chr17	34408881	34432659	4	18901	71619.336	4693.7771999999995
4_MACS_peak_23017_lociStitched	chr6	26183633	26207401	4	14170	64197.368	4116.6176
4_MACS_peak_22626_lociStitched	chr5	176717167	176740848	4	14867	47151.2391	4115.7578
4_MACS_peak_17710_lociStitched	chr22	39822762	39846385	4	14797	115714.90319999999	3949.7655999999997
3_MACS_peak_13334_lociStitched	chr19	39880704	39904116	3	17809	93858.70800000001	4396.7735999999995
4_MACS_peak_13073_lociStitched	chr19	16693819	16717003	4	12652	55024.905600000006	4101.2496
5_MACS_peak_10405_lociStitched	chr16	70827116	70850264	5	9162	14497.5924	3289.3308
6_MACS_peak_26983_lociStitched	chr8	126285112	126308208	6	15871	46616.966400000005	4122.6359999999995
4_MACS_peak_4744_lociStitched	chr11	64611147	64634127	4	8973	26459.172	3290.736
5_MACS_peak_1703_lociStitched	chr1	155210164	155233048	5	9329	18094.3788	5130.5928
5_MACS_peak_6615_lociStitched	chr12	96878548	96901413	5	9333	27124.749499999998	3496.0585
4_MACS_peak_5972_lociStitched	chr12	33037736	33060532	4	13018	22046.011599999998	3768.1788
5_MACS_peak_10212_lociStitched	chr16	56963187	56985982	5	19824	67468.641	4435.907
5_MACS_peak_2149_lociStitched	chr1	192498652	192521242	5	12956	59949.342	4933.656
6_MACS_peak_10007_lociStitched	chr16	29815073	29837598	6	16673	51084.4475	3236.8424999999997
5_MACS_peak_21785_lociStitched	chr5	87954388	87976746	5	12220	69537.8516	3315.6913999999997
3_MACS_peak_1814_lociStitched	chr1	160633693	160655941	3	13492	83547.91440000001	5842.3248
2_MACS_peak_25906_lociStitched	chr7	150062629	150084816	2	21725	155413.2789	6163.5486
4_MACS_peak_13699_lociStitched	chr19	56145720	56167901	4	11204	30470.039699999998	3158.5744
4_MACS_peak_23058_lociStitched	chr6	27094178	27116245	4	14373	58022.9698	3535.1334
2_MACS_peak_16175_lociStitched	chr20	5570370	5592430	2	19744	47501.798	3920.062
2_MACS_peak_8682_lociStitched	chr15	40387083	40409080	2	17015	105831.9664	4212.4255
4_MACS_peak_4145_lociStitched	chr11	789119	811104	4	10288	23875.710000000003	2592.0315
5_MACS_peak_22436_lociStitched	chr5	156339529	156361493	5	11077	46572.4656	3094.7276
5_MACS_peak_8782_lociStitched	chr15	44954545	44976473	5	9307	18320.844	3703.6392
1_MACS_peak_6160_lociStitched	chr12	53582235	53604155	1	21921	153641.664	4574.704
3_MACS_peak_19060_lociStitched	chr3	129026586	129048480	3	14217	39514.2912	3776.7149999999997
3_MACS_peak_314_lociStitched	chr1	24511947	24533815	3	16167	123917.2088	4019.3383999999996
4_MACS_peak_14407_lociStitched	chr2	65156811	65178642	4	15144	139259.949	4754.7918
4_MACS_peak_21797_lociStitched	chr5	88595678	88617462	4	13647	89839.3944	4038.7536
3_MACS_peak_28002_lociStitched	chr9	112903664	112925441	3	21302	79939.0116	4651.5672
2_MACS_peak_16769_lociStitched	chr20	52194350	52216096	2	21256	79033.6624	4064.3274
1_MACS_peak_13909_lociStitched	chr2	20404781	20426518	1	21738	130865.4348	4132.2037
4_MACS_peak_1740_lociStitched	chr1	156115288	156137017	4	20362	105181.3974	6031.9704
3_MACS_peak_20281_lociStitched	chr4	74453989	74475610	3	12324	62281.4526	3543.6818999999996
3_MACS_peak_4273_lociStitched	chr11	10323540	10345157	3	19160	115209.9632	4479.0424
1_MACS_peak_2938_lociStitched	chr10	11202471	11224031	1	21561	175785.148	5066.599999999999
4_MACS_peak_17387_lociStitched	chr22	23188594	23210118	4	18826	64348.1504	2331.0492
6_MACS_peak_26241_lociStitched	chr8	27930117	27951569	6	13787	35563.1256	3646.84
4_MACS_peak_24126_lociStitched	chr6	135322811	135344223	4	12035	36704.4504	3310.2951999999996
3_MACS_peak_3951_lociStitched	chr10	112611822	112633193	3	16414	84909.1201	4216.4983
4_MACS_peak_14227_lociStitched	chr2	47193690	47215051	4	13323	63726.27129999999	3522.4289
4_MACS_peak_19110_lociStitched	chr3	133179169	133200508	4	16623	89273.8404	4222.9881
3_MACS_peak_22673_lociStitched	chr5	180228204	180249395	3	15047	65516.2147	3672.4003000000002
5_MACS_peak_24260_lociStitched	chr6	144654886	144676039	5	8759	9937.679399999999	1838.1957000000002
5_MACS_peak_11424_lociStitched	chr17	45681511	45702644	5	9595	8896.993	3041.0387
2_MACS_peak_1586_lociStitched	chr1	150532184	150553314	2	19316	167089.701	6601.012000000001
3_MACS_peak_22013_lociStitched	chr5	118657719	118678809	3	14054	58838.990999999995	3758.238
5_MACS_peak_18593_lociStitched	chr3	66530618	66551648	5	12355	20800.773	3242.826
5_MACS_peak_4891_lociStitched	chr11	67760596	67781622	5	13008	36766.0636	3191.7468
3_MACS_peak_18168_lociStitched	chr3	30682622	30703620	3	16587	40421.15	3748.143
4_MACS_peak_15661_lociStitched	chr2	202081221	202102179	4	15672	35574.1092	3749.3862
3_MACS_peak_9167_lociStitched	chr15	75063182	75084062	3	19238	75591.864	4102.92
4_MACS_peak_23229_lociStitched	chr6	33537849	33558673	4	9783	27560.564	3215.2256
5_MACS_peak_21329_lociStitched	chr5	32276001	32296787	5	14325	19659.3988	3620.9211999999998
4_MACS_peak_2093_lociStitched	chr1	183865173	183885918	4	11633	75385.2555	5043.1095000000005
4_MACS_peak_25544_lociStitched	chr7	111711847	111732466	4	8655	18097.2963	4381.537499999999
3_MACS_peak_8285_lociStitched	chr14	91781701	91802261	3	12849	29906.575999999997	1986.096
4_MACS_peak_16637_lociStitched	chr20	43672583	43693100	4	11303	26723.392499999998	3155.5146
4_MACS_peak_19944_lociStitched	chr4	15767268	15787782	4	7390	8884.6134	3395.067
5_MACS_peak_386_lociStitched	chr1	27146920	27167374	5	10971	18351.3288	2926.9674
1_MACS_peak_17153_lociStitched	chr21	41324608	41344956	1	20349	132131.7728	6370.958799999999
1_MACS_peak_465_lociStitched	chr1	31213139	31233461	1	20323	130300.5996	4513.5162
3_MACS_peak_15828_lociStitched	chr2	219743092	219763411	3	16117	52711.54979999999	3511.1232
4_MACS_peak_3247_lociStitched	chr10	45913560	45933857	4	13496	91326.3515	3460.6385000000005
3_MACS_peak_11928_lociStitched	chr17	76163767	76184031	3	10489	27208.4728	3019.336
5_MACS_peak_7726_lociStitched	chr14	23279764	23299959	5	6499	7583.2225	1474.235
4_MACS_peak_3596_lociStitched	chr10	81946258	81966431	4	13392	39637.9277	3689.6417
4_MACS_peak_1724_lociStitched	chr1	155902468	155922622	4	13810	31486.5942	4329.0792
5_MACS_peak_8189_lociStitched	chr14	77487858	77507990	5	14941	47219.606	1785.7084
5_MACS_peak_12707_lociStitched	chr19	2254458	2274538	5	13322	42149.928	4335.272
1_MACS_peak_21792_lociStitched	chr5	88110832	88130892	1	20061	50336.558000000005	3662.956
3_MACS_peak_24752_lociStitched	chr7	29706369	29726405	3	10823	22556.5288	2891.1948
5_MACS_peak_28297_lociStitched	chr9	134595315	134615304	5	10299	24124.724100000003	2836.4391
3_MACS_peak_12128_lociStitched	chr18	9054668	9074610	3	14672	138261.8744	4145.9418
5_MACS_peak_4784_lociStitched	chr11	65306854	65326758	5	8829	12899.7824	2780.5888
3_MACS_peak_15657_lociStitched	chr2	202040266	202060156	3	11736	21234.564000000002	3347.487
4_MACS_peak_4755_lociStitched	chr11	64845290	64865141	4	9568	20035.6143	3330.9978
3_MACS_peak_1818_lociStitched	chr1	160695173	160715003	3	10895	55805.586	5068.548
3_MACS_peak_9778_lociStitched	chr16	12052384	12072214	3	13969	150035.763	3615.009
3_MACS_peak_23427_lociStitched	chr6	45382922	45402677	3	12919	63611.100000000006	2846.6955000000003
4_MACS_peak_19322_lociStitched	chr3	156804760	156824391	4	12498	72870.272	5371.0416000000005
4_MACS_peak_15788_lociStitched	chr2	216764786	216784376	4	9690	13861.884	2905.1969999999997
4_MACS_peak_14553_lociStitched	chr2	74681428	74700936	4	9182	24937.076399999998	3156.3944
4_MACS_peak_653_lociStitched	chr1	40838995	40858497	4	14672	40571.9608	3566.9158
4_MACS_peak_28194_lociStitched	chr9	130531943	130551438	4	12903	34586.0795	3080.21
4_MACS_peak_6741_lociStitched	chr12	109161749	109181204	4	9590	36452.8335	3315.132
3_MACS_peak_11777_lociStitched	chr17	70582327	70601757	3	13603	50632.637	3318.6440000000002
4_MACS_peak_1170_lociStitched	chr1	93409365	93428747	4	16889	32668.361	1804.4642000000001
5_MACS_peak_21489_lociStitched	chr5	55272622	55291990	5	14743	30260.5632	3083.3856
3_MACS_peak_25132_lociStitched	chr7	74057161	74076522	3	10129	24702.6999	2875.1085
4_MACS_peak_2305_lociStitched	chr1	204474648	204493987	4	14688	75068.1963	5093.8926
4_MACS_peak_17717_lociStitched	chr22	39910342	39929620	4	13671	39583.517400000004	3527.874
1_MACS_peak_11257_lociStitched	chr17	38465355	38484604	1	19250	113513.2779	3295.4287999999997
3_MACS_peak_3579_lociStitched	chr10	81001226	81020426	3	14733	45233.28	3129.6
5_MACS_peak_1997_lociStitched	chr1	174923052	174942224	5	12682	23654.4136	4685.6368
4_MACS_peak_12663_lociStitched	chr19	1258456	1277508	4	11345	39296.6552	3711.3296
5_MACS_peak_29203_lociStitched	chrX	128902391	128921406	5	13514	33989.3125	2106.862
4_MACS_peak_4195_lociStitched	chr11	3874397	3893326	4	9295	25501.1488	3570.0094
3_MACS_peak_16550_lociStitched	chr20	37487016	37505904	3	10995	129475.35119999999	3299.7336
4_MACS_peak_10168_lociStitched	chr16	50714033	50732916	4	12080	29903.118799999997	2802.2372
5_MACS_peak_14218_lociStitched	chr2	46785669	46804523	5	14059	37230.9938	3344.6996
3_MACS_peak_16668_lociStitched	chr20	45172923	45191768	3	9309	34569.268000000004	2958.665
4_MACS_peak_20324_lociStitched	chr4	77117772	77136539	4	13595	43479.3856	3460.6348000000003
1_MACS_peak_20090_lociStitched	chr4	40190899	40209665	1	18767	122119.74500000001	4464.4314
4_MACS_peak_15589_lociStitched	chr2	197088990	197107683	4	8423	17749.0035	3035.7432
4_MACS_peak_10725_lociStitched	chr17	4692652	4711199	4	6786	10245.3628	2112.5033
2_MACS_peak_24906_lociStitched	chr7	44661656	44680197	2	14766	41025.670699999995	3439.3555
5_MACS_peak_28101_lociStitched	chr9	123689060	123707599	5	10452	28572.3068	2845.7365
4_MACS_peak_24827_lociStitched	chr7	37375183	37393713	4	9759	23833.286	2948.123
5_MACS_peak_5727_lociStitched	chr12	11901702	11920174	5	13021	39007.3224	3212.2808
4_MACS_peak_12685_lociStitched	chr19	1847266	1865652	4	10940	39116.215	3151.3604
5_MACS_peak_13337_lociStitched	chr19	39921299	39939676	5	8500	13591.629200000001	2762.0631
3_MACS_peak_6068_lociStitched	chr12	48200705	48219045	3	15021	82517.162	3257.184
4_MACS_peak_7105_lociStitched	chr13	24367907	24386245	4	6730	7265.5156	1162.6291999999999
4_MACS_peak_16332_lociStitched	chr20	23329790	23348124	4	9311	23880.035	2898.6054
3_MACS_peak_23980_lociStitched	chr6	117859023	117877347	3	11100	31788.475199999997	2832.8903999999998
3_MACS_peak_9468_lociStitched	chr15	93346255	93364555	3	10833	55346.52	2937.15
3_MACS_peak_3519_lociStitched	chr10	75909519	75927805	3	9263	16018.536	2741.0714000000003
2_MACS_peak_15654_lociStitched	chr2	201979859	201998135	2	16541	150850.104	3726.4764
3_MACS_peak_12029_lociStitched	chr17	80405780	80423998	3	8591	38724.1808	2565.0944
4_MACS_peak_14638_lociStitched	chr2	86290399	86308616	4	9344	15668.4417	2778.0924999999997
4_MACS_peak_2155_lociStitched	chr1	192561295	192579445	4	6656	9323.655	4483.05
3_MACS_peak_16685_lociStitched	chr20	46114401	46132498	3	9411	28681.9353	2647.5911
3_MACS_peak_17466_lociStitched	chr22	27053101	27071194	3	8195	21215.8518	3177.1308
4_MACS_peak_27160_lociStitched	chr8	145047432	145065511	4	9016	15077.885999999999	2381.0043
4_MACS_peak_2362_lociStitched	chr1	206989429	207007495	4	7311	12151.1916	4073.8830000000003
4_MACS_peak_4676_lociStitched	chr11	62307889	62325950	4	11024	20475.755699999998	3234.7251
5_MACS_peak_3873_lociStitched	chr10	105250024	105268073	5	9125	10878.132300000001	2867.9861
4_MACS_peak_6765_lociStitched	chr12	110431757	110449792	4	7174	8719.9225	1435.586
2_MACS_peak_17395_lociStitched	chr22	23268241	23286275	2	17612	217156.411	4017.9752
3_MACS_peak_18106_lociStitched	chr3	20080208	20098233	3	11900	27904.502500000002	2779.455
2_MACS_peak_18610_lociStitched	chr3	69128176	69146129	2	17462	56575.2889	3594.1906
5_MACS_peak_27183_lociStitched	chr8	145687158	145705111	5	8737	8193.7492	2062.7997
3_MACS_peak_6729_lociStitched	chr12	108952816	108970703	3	16524	73503.0491	3645.3706
2_MACS_peak_17459_lociStitched	chr22	26974595	26992452	2	13566	46358.5577	2969.6191
2_MACS_peak_623_lociStitched	chr1	40030194	40048044	2	14077	27644.295	3232.635
4_MACS_peak_8899_lociStitched	chr15	52959391	52977217	4	11548	30332.7216	2994.768
4_MACS_peak_4221_lociStitched	chr11	6623559	6641376	4	9277	16400.5485	3094.8129
3_MACS_peak_13045_lociStitched	chr19	16180353	16198170	3	9358	38083.8375	2754.5081999999998
4_MACS_peak_14453_lociStitched	chr2	68937459	68955272	4	7443	22540.570200000002	2794.8597000000004
3_MACS_peak_18771_lociStitched	chr3	101495513	101513301	3	11477	34747.0792	2931.4624
2_MACS_peak_20254_lociStitched	chr4	71517599	71535376	2	14087	55089.1453	3102.0865
3_MACS_peak_28265_lociStitched	chr9	132646115	132663857	3	8777	38794.657199999994	2734.0422
3_MACS_peak_27785_lociStitched	chr9	93670925	93688641	3	8809	57470.704000000005	2823.9303999999997
3_MACS_peak_3475_lociStitched	chr10	74006814	74024373	3	10068	38440.1628	2883.1878
3_MACS_peak_16827_lociStitched	chr20	55957954	55975506	3	13967	32097.3424	2789.0128000000004
4_MACS_peak_23004_lociStitched	chr6	26017414	26034918	4	12001	39840.854400000004	3026.4416
3_MACS_peak_23689_lociStitched	chr6	86378909	86396374	3	8304	16350.733	2864.26
4_MACS_peak_4624_lociStitched	chr11	59316860	59334305	4	7298	13626.2895	2794.6890000000003
3_MACS_peak_10074_lociStitched	chr16	30952669	30970110	3	6644	17350.306800000002	2351.0468
4_MACS_peak_10177_lociStitched	chr16	53085943	53103384	4	7341	10185.544	2753.9339
3_MACS_peak_14159_lociStitched	chr2	42343736	42361151	3	12402	45395.6805	3047.625
4_MACS_peak_13994_lociStitched	chr2	27293442	27310843	4	12116	21733.849000000002	2648.4322
6_MACS_peak_18351_lociStitched	chr3	46421388	46438779	6	10751	14304.0975	2530.3905
4_MACS_peak_8307_lociStitched	chr14	93225543	93242907	4	6481	9298.422	1357.8648
3_MACS_peak_20743_lociStitched	chr4	129724128	129741458	3	9127	27996.614999999998	2639.359
3_MACS_peak_5372_lociStitched	chr11	118962820	118980135	3	11286	29418.185	3282.924
5_MACS_peak_12899_lociStitched	chr19	10522029	10539336	5	9272	19771.5168	3054.6855
4_MACS_peak_24239_lociStitched	chr6	143162822	143180127	4	12210	39055.6545	1721.8475
3_MACS_peak_23077_lociStitched	chr6	27790920	27808165	3	10322	51633.2545	3081.6815
3_MACS_peak_16948_lociStitched	chr21	19152077	19169316	3	14891	56338.7759	2778.9268
4_MACS_peak_7921_lociStitched	chr14	52076027	52093250	4	7629	13046.422499999999	1374.3953999999999
4_MACS_peak_11454_lociStitched	chr17	46544727	46561938	4	8965	11211.2454	2488.7106
3_MACS_peak_359_lociStitched	chr1	26436703	26453880	3	7601	17199.330100000003	2495.8181000000004
3_MACS_peak_5259_lociStitched	chr11	111234406	111251569	3	15149	74216.2446	3030.9858
4_MACS_peak_5755_lociStitched	chr12	12950053	12967211	4	6779	12026.0422	2841.3648
4_MACS_peak_4060_lociStitched	chr10	126407173	126424316	4	9718	23108.764000000003	2545.7355
4_MACS_peak_9528_lociStitched	chr15	101675260	101692400	4	9616	25819.696	2680.6960000000004
3_MACS_peak_24919_lociStitched	chr7	45025052	45042182	3	10592	26685.114	2578.065
3_MACS_peak_14692_lociStitched	chr2	89049551	89066679	3	10166	67626.48240000001	2761.0336
3_MACS_peak_781_lociStitched	chr1	46790175	46807294	3	9152	40423.0947	2860.5849
2_MACS_peak_16457_lociStitched	chr20	32988797	33005896	2	12733	41422.3275	3209.4823
4_MACS_peak_336_lociStitched	chr1	25557977	25575056	4	8686	22867.0731	2838.5298
2_MACS_peak_12701_lociStitched	chr19	2081452	2098521	2	15722	158478.8374	5279.4417
1_MACS_peak_25003_lociStitched	chr7	55569369	55586435	1	17067	65832.095	2643.5234
4_MACS_peak_28472_lociStitched	chrX	10073943	10090999	4	11367	43591.7248	1848.8704
2_MACS_peak_18739_lociStitched	chr3	98479377	98496396	2	16781	73562.9256	3254.0328
2_MACS_peak_28211_lociStitched	chr9	130828793	130845810	2	14326	40759.1184	2739.737
3_MACS_peak_21170_lociStitched	chr5	1329261	1346268	3	11890	34296.3162	3112.281
