REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X18_0EX4_0229Kronos_MM1S.KB.6hr.2_H3K27Ac_hs.dm_i37.bam	X42_0EXU_0229Kronos_MM1S.KB.6hr.2_Input_hs_i86.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isSuper
2_MACS_peak_4400_lociStitched	chr11	22676823	22704095	2	23240	152000.492	4709.8744	30	GAS2	FANCF	GAS2	30	1
2_MACS_peak_15654_lociStitched	chr2	201979859	201998135	2	16541	150850.104	3726.4764	31	CFLAR	NDUFB3,CASP10,FAM126B	CFLAR	31	1
3_MACS_peak_9778_lociStitched	chr16	12052384	12072214	3	13969	150035.763	3615.009	32	TNFRSF17,RUNDC2A	GSPT1	TNFRSF17	32	1
3_MACS_peak_11591_lociStitched	chr17	56404981	56431171	3	19944	148206.591	5764.419	33	BZRAP1,MIR142,SUPT4H1,RNF43	MPO	MIR142	33	1
3_MACS_peak_4043_lociStitched	chr10	125821644	125854864	3	31783	147400.462	5949.702	34	CHST15		CHST15	34	1
3_MACS_peak_1392_lociStitched	chr1	118142003	118188289	3	38136	145763.8712	5230.318	35	FAM46C		FAM46C	35	1
3_MACS_peak_22119_lociStitched	chr5	131744628	131774588	3	23538	145204.136	5803.252	36	C5orf56	SLC22A5,MIR3936	C5orf56	36	1
2_MACS_peak_21060_lociStitched	chr4	185200885	185211104	2	10139	141033.4409	2604.8231	37			ENPP6	37	1
8_MACS_peak_23477_lociStitched	chr6	52392497	52443165	8	39552	145979.5748	9125.3068	38	TRAM2		TRAM2	38	1
4_MACS_peak_14407_lociStitched	chr2	65156811	65178642	4	15144	139259.949	4754.7918	39	LOC400958	SLC1A4	LOC400958	39	1
3_MACS_peak_12128_lociStitched	chr18	9054668	9074610	3	14672	138261.8744	4145.9418	40		NDUFV2	NDUFV2	40	1
1_MACS_peak_22996_lociStitched	chr6	25402871	25415393	1	12523	136453.4862	2748.579	41	LRRC16A		LRRC16A	41	1
2_MACS_peak_26000_lociStitched	chr8	2027071	2051054	2	18710	137504.1322	4592.7445	42	MYOM2		MYOM2	42	1
1_MACS_peak_13909_lociStitched	chr2	20404781	20426518	1	21738	130865.4348	4132.2037	43	SDC1		SDC1	43	1
3_MACS_peak_16550_lociStitched	chr20	37487016	37505904	3	10995	129475.3512	3299.7336	44	PPP1R16B	FAM83D	FAM83D	44	1
1_MACS_peak_465_lociStitched	chr1	31213139	31233461	1	20323	130300.5996	4513.5162	45	LAPTM5	LOC100129196,MATN1	LAPTM5	45	1
1_MACS_peak_17153_lociStitched	chr21	41324608	41344956	1	20349	132131.7728	6370.9588	46			PCP4	46	1
5_MACS_peak_2341_lociStitched	chr1	206281987	206310883	5	19253	131887.1232	6966.8256	47	C1orf186	CTSE	C1orf186	47	1
2_MACS_peak_8573_lociStitched	chr15	31546378	31561118	2	10838	126647.554	2787.334	48			KLF13	48	1
2_MACS_peak_17417_lociStitched	chr22	24177212	24192494	2	13353	126868.1076	3141.9792	49	DERL3	SMARCB1,SLC2A11,MIF	DERL3	49	1
3_MACS_peak_19435_lociStitched	chr3	171801692	171827186	3	21548	129968.412	6592.7484	50	FNDC3B		FNDC3B	50	1
2_MACS_peak_3930_lociStitched	chr10	112112681	112122423	2	8086	124648.89	2269.886	51		SMNDC1	SMNDC1	51	1
1_MACS_peak_21169_lociStitched	chr5	1311712	1321643	1	9932	124491.0436	2491.6879	52	CLPTM1L	TERT	TERT	52	1
4_MACS_peak_17220_lociStitched	chr21	45552534	45580893	4	18266	127850.8797	6596.3034	53	C21orf33	PWP2	C21orf33	53	1
1_MACS_peak_17175_lociStitched	chr21	43480248	43486528	1	6281	123498.712	2255.148	54	UMODL1	C21orf121,UMODL1,ZNF295,C21orf128	UMODL1	54	1
3_MACS_peak_314_lociStitched	chr1	24511947	24533815	3	16167	123917.2088	4019.3384	55	LOC284632,IL28RA	IL22RA1	LOC284632	55	1
4_MACS_peak_11158_lociStitched	chr17	34509498	34539955	4	26261	126134.6198	7029.4756	56	CCL4L1,CCL3L1,CCL3L3	TBC1D3B	CCL3L1	56	1
1_MACS_peak_15467_lociStitched	chr2	182168242	182180384	1	12143	120515.421	2553.4626	57			ITGA4	57	1
1_MACS_peak_21067_lociStitched	chr4	185301918	185307997	1	6080	119545.3587	1689.962	58			IRF2	58	1
1_MACS_peak_20090_lociStitched	chr4	40190899	40209665	1	18767	122119.745	4464.4314	59	RHOH		RHOH	59	1
1_MACS_peak_12515_lociStitched	chr18	60822057	60831475	1	9419	119811.087	2159.5474	60	BCL2		BCL2	60	1
5_MACS_peak_11163_lociStitched	chr17	34597256	34641689	5	36789	125647.6374	9744.1569	61	CCL4L1,CCL3L1,CCL3L3	TBC1D3C	TBC1D3C	61	1
4_MACS_peak_1395_lociStitched	chr1	118194995	118219236	4	20022	118230.6293	2751.3535	62		FAM46C	FAM46C	62	1
8_MACS_peak_19568_lociStitched	chr3	183219889	183261429	8	28288	124046.748	10854.402	63	KLHL6		KLHL6	63	1
4_MACS_peak_17710_lociStitched	chr22	39822762	39846385	4	14797	115714.9032	3949.7656	64	TAB1	MGAT3	MGAT3	64	1
2_MACS_peak_10284_lociStitched	chr16	66549204	66560633	2	11080	113325.3924	2513.2371	65	TK2	CKLF,CMTM1	TK2	65	1
3_MACS_peak_4273_lociStitched	chr11	10323540	10345157	3	19160	115209.9632	4479.0424	66	ADM	SBF2	ADM	66	1
1_MACS_peak_11257_lociStitched	chr17	38465355	38484604	1	19250	113513.2779	3295.4288	67	RARA	CDC6,RARA,GJD3	RARA	67	1
4_MACS_peak_1560_lociStitched	chr1	149802642	149834138	4	18894	118235.984	8122.8184	68	HIST2H4B,HIST2H2AA4,HIST2H3A,HIST2H2BC	FCGR1A,HIST2H2AC,BOLA1,HIST2H2BF,HIST2H3D,HIST2H2BE,HIST2H2AB	HIST2H2BC	68	1
1_MACS_peak_25004_lociStitched	chr7	55597523	55606161	1	8639	109901.274	1956.507	69	VOPP1		VOPP1	69	1
1_MACS_peak_7650_lociStitched	chr13	114828810	114835124	1	6315	108319.1956	1238.8068	70	RASA3		RASA3	70	1
5_MACS_peak_16363_lociStitched	chr20	25261489	25302980	5	24007	113087.8696	6314.9302	71	PYGB,ABHD12		PYGB	71	1
4_MACS_peak_11675_lociStitched	chr17	62150029	62187586	4	36135	112704.8013	7064.4717	72	ERN1	SNORD104,SNORA76	ERN1	72	1
2_MACS_peak_9915_lociStitched	chr16	23344011	23354272	2	8488	107061.2218	2585.772	73	SCNN1B		SCNN1B	73	1
4_MACS_peak_12372_lociStitched	chr18	46440330	46482895	4	38647	111550.0955	7295.641	74	SMAD7		SMAD7	74	1
7_MACS_peak_5645_lociStitched	chr12	7045151	7085724	7	28441	110520.852	7148.9626	75	ATN1,C12orf57,PTPN6,MIR200C,MIR141,EMG1,PHB2,SCARNA12,LPCAT3	LRRC23,ENO2	PTPN6	75	1
1_MACS_peak_5487_lociStitched	chr11	128584918	128610203	1	25286	107064.2755	5072.171	76	FLI1		FLI1	76	1
2_MACS_peak_8682_lociStitched	chr15	40387083	40409080	2	17015	105831.9664	4212.4255	77	BMF	BUB1B	BMF	77	1
3_MACS_peak_1668_lociStitched	chr1	154370227	154394665	3	19671	106798.9476	6537.165	78	IL6R		IL6R	78	1
2_MACS_peak_4378_lociStitched	chr11	19449973	19466045	2	13961	103593.6832	3365.4768	79	NAV2		NAV2	79	1
5_MACS_peak_26919_lociStitched	chr8	120912365	120947934	5	29836	106070.3149	5925.7954	80	DEPDC6	DSCC1	DEPDC6	80	1
5_MACS_peak_23739_lociStitched	chr6	90055757	90086176	5	23234	104693.0723	5536.258	81	UBE2J1,RRAGD	GABRR2	UBE2J1	81	1
4_MACS_peak_1740_lociStitched	chr1	156115288	156137017	4	20362	105181.3974	6031.9704	82	SEMA4A	LMNA,SLC25A44,PMF1	SEMA4A	82	1
4_MACS_peak_18023_lociStitched	chr3	13035338	13061672	4	18397	103808.628	5156.1972	83	IQSEC1	IQSEC1	IQSEC1	83	1
4_MACS_peak_21068_lociStitched	chr4	185317499	185350336	4	21724	104467.6318	5969.7666	84	IRF2		IRF2	84	1
4_MACS_peak_17628_lociStitched	chr22	37610915	37642395	4	29617	103399.208	5678.992	85	RAC2	CYTH4,C1QTNF6,SSTR3	RAC2	85	1
3_MACS_peak_11893_lociStitched	chr17	75131399	75147205	3	14954	101017.7266	3531.0604	86	SEC14L1	C17orf86,SCARNA16,SEC14L1	SEC14L1	86	1
2_MACS_peak_21211_lociStitched	chr5	6475451	6487621	2	11983	98215.551	2455.906	87	UBE2QL1		UBE2QL1	87	1
4_MACS_peak_10873_lociStitched	chr17	16859275	16883488	4	20046	100014.2178	4426.1364	88	TNFRSF13B		TNFRSF13B	88	1
5_MACS_peak_8576_lociStitched	chr15	31628780	31660530	5	27113	98913.95	5464.175	89	KLF13		KLF13	89	1
2_MACS_peak_16442_lociStitched	chr20	32461789	32473721	2	8727	94187.6284	2344.638	90			CHMP4B	90	1
3_MACS_peak_13334_lociStitched	chr19	39880704	39904116	3	17809	93858.708	4396.7736	91	MED29,ZFP36,PLEKHG2,PAF1	SAMD4B,SUPT5H,RPS16	ZFP36	91	1
1_MACS_peak_25222_lociStitched	chr7	78113673	78128277	1	14605	91910.274	2983.5972	92	MAGI2		RPL13AP17	92	1
4_MACS_peak_3247_lociStitched	chr10	45913560	45933857	4	13496	91326.3515	3460.6385	93	ALOX5		ALOX5	93	1
3_MACS_peak_9087_lociStitched	chr15	68568480	68599564	3	29664	92903.8592	5191.028	94	FEM1B,ITGA11	CLN6	FEM1B	94	1
1_MACS_peak_2393_lociStitched	chr1	209275163	209283972	1	8810	90442.003	2800.3811	95			LOC642587	95	1
2_MACS_peak_3937_lociStitched	chr10	112215895	112226092	2	9092	89341.0155	2242.3203	96		DUSP5	DUSP5	96	1
4_MACS_peak_21797_lociStitched	chr5	88595678	88617462	4	13647	89839.3944	4038.7536	97			MEF2C	97	1
4_MACS_peak_19110_lociStitched	chr3	133179169	133200508	4	16623	89273.8404	4222.9881	98	BFSP2		BFSP2	98	1
1_MACS_peak_14172_lociStitched	chr2	43444126	43456957	1	12832	86728.5783	2226.1785	99	LOC100129726,ZFP36L2		ZFP36L2	99	1
2_MACS_peak_19647_lociStitched	chr3	186703126	186719842	2	13072	88939.1496	4608.6012	100	ST6GAL1	ST6GAL1	ST6GAL1	100	1
1_MACS_peak_15665_lociStitched	chr2	202116026	202129077	1	13052	85773.7822	2503.1818	101	CASP8		CASP8	101	1
1_MACS_peak_5587_lociStitched	chr12	4224051	4229804	1	5754	83200.4613	1595.8822	102			CCND2	102	1
1_MACS_peak_7643_lociStitched	chr13	114556345	114568040	1	11696	83873.0315	2529.6285	103	GAS6	FLJ44054,GAS6	GAS6	103	1
1_MACS_peak_14920_lociStitched	chr2	112455649	112465578	1	9930	83708.4203	2375.0168	104			ANAPC1	104	1
3_MACS_peak_3951_lociStitched	chr10	112611822	112633193	3	16414	84909.1201	4216.4983	105	PDCD4,LOC282997	SHOC2,NCRNA00081	LOC282997	105	1
1_MACS_peak_19464_lociStitched	chr3	174865905	174870960	1	5056	82220.0805	1721.2275	106	NAALADL2		NAALADL2	106	1
8_MACS_peak_10343_lociStitched	chr16	68269789	68320889	8	33027	88822.02	8411.06	107	PLA2G15,SLC7A6,ESRP2	PRMT7,SLC7A6OS	SLC7A6	107	1
2_MACS_peak_14482_lociStitched	chr2	70310174	70323422	2	8851	82972.224	2735.712	108	PCBP1,LOC400960	LOC100133985	PCBP1	108	1
1_MACS_peak_4958_lociStitched	chr11	72861810	72869856	1	8047	81928.395	1905.2928	109		FCHSD2	FCHSD2	109	1
1_MACS_peak_8927_lociStitched	chr15	56656209	56667628	1	11420	81753.1886	2219.8536	110	TEX9		TEX9	110	1
2_MACS_peak_5306_lociStitched	chr11	115090780	115102479	2	8812	81324.4286	2046.1551	111	CADM1		CADM1	111	1
3_MACS_peak_6068_lociStitched	chr12	48200705	48219045	3	15021	82517.162	3257.184	112	HDAC7	SLC48A1,RAPGEF3	HDAC7	112	1
2_MACS_peak_28769_lociStitched	chrX	48790286	48805648	2	13564	80426.2148	1703.6458	113	OTUD5	PQBP1,TIMM17B,SLC35A2,PIM2,KCND1	OTUD5	113	1
2_MACS_peak_226_lociStitched	chr1	17221334	17233130	2	7112	82576.7184	4086.1344	114		CROCC	CROCC	114	1
2_MACS_peak_19651_lociStitched	chr3	186779669	186792556	2	9331	82244.834	3788.778	115	ST6GAL1		ST6GAL1	115	1
3_MACS_peak_1814_lociStitched	chr1	160633693	160655941	3	13492	83547.9144	5842.3248	116	CD48	SLAMF1	SLAMF1	116	1
4_MACS_peak_8225_lociStitched	chr14	81930570	81956212	4	19944	80218.4328	2528.3012	117	SEL1L		SEL1L	117	1
6_MACS_peak_13400_lociStitched	chr19	42022494	42062557	6	23661	84769.3017	7119.1951	118		CEACAM21	CEACAM21	118	1
1_MACS_peak_22851_lociStitched	chr6	11827686	11836746	1	9061	78879.984	1832.838	119		C6orf105	C6orf105	119	1
1_MACS_peak_4608_lociStitched	chr11	58339994	58348192	1	8199	78631.117	1860.946	120	ZFP91-CNTF,ZFP91,LPXN	CNTF	LPXN	120	1
2_MACS_peak_18337_lociStitched	chr3	46245849	46257237	2	9780	79291.2276	2673.9024	121	CCR1	CCR3	CCR1	121	1
2_MACS_peak_20256_lociStitched	chr4	71541777	71555429	2	10394	78242.3424	2786.3732	122	UTP3	ENAM,RUFY3,IGJ	UTP3	122	1
3_MACS_peak_28002_lociStitched	chr9	112903664	112925441	3	21302	79939.0116	4651.5672	123	PALM2-AKAP2,AKAP2	C9orf152	AKAP2	123	1
1_MACS_peak_21793_lociStitched	chr5	88170989	88187175	1	16187	77882.1762	2858.4476	124	MEF2C		MEF2C	124	1
2_MACS_peak_16769_lociStitched	chr20	52194350	52216096	2	21256	79033.6624	4064.3274	125	ZNF217		ZNF217	125	1
2_MACS_peak_12132_lociStitched	chr18	9101567	9126852	2	22995	79799.46	4925.518	126	NDUFV2	ANKRD12	NDUFV2	126	1
1_MACS_peak_2090_lociStitched	chr1	183809001	183815712	1	6712	76750.3515	2059.6059	127	RGL1		APOBEC4	127	1
4_MACS_peak_26228_lociStitched	chr8	27216345	27253317	4	23765	80813.3976	6573.6216	128	PTK2B	TRIM35	PTK2B	128	1
1_MACS_peak_23208_lociStitched	chr6	32934599	32943182	1	8584	75698.6268	1941.4746	129	BRD2	HLA-DMB,HLA-DMA,HLA-DOA	BRD2	129	1
1_MACS_peak_23846_lociStitched	chr6	106609988	106617525	1	7538	74828.0897	1679.2436	130			PRDM1	130	1
2_MACS_peak_1729_lociStitched	chr1	155938210	155954103	2	15345	77314.6771	4299.0565	131	ARHGEF2	RXFP4,SNORA42,SCARNA4,KIAA0907,SSR2	ARHGEF2	131	1
6_MACS_peak_9389_lociStitched	chr15	89646489	89676585	6	16908	77635.6416	5317.9632	132	ABHD2		ABHD2	132	1
2_MACS_peak_1838_lociStitched	chr1	161144153	161157829	2	10974	76567.8212	4314.778	133	B4GALT3	UFC1,USP21,PPOX,NDUFS2,FCER1G,TOMM40L,DEDD,ADAMTS4,APOA2	B4GALT3	133	1
1_MACS_peak_28556_lociStitched	chrX	19469655	19470623	1	969	72429.7288	197.2784	134	MAP3K15		MAP3K15	134	1
4_MACS_peak_24356_lociStitched	chr6	157976284	158000185	4	15997	74171.9733	2265.8148	135	ZDHHC14	MIR3692	MIR3692	135	1
3_MACS_peak_14156_lociStitched	chr2	42323210	42334945	3	11502	74121.7805	2430.3185	136		PKDCC	PKDCC	136	1
2_MACS_peak_19504_lociStitched	chr3	178230235	178241494	2	11020	74440.0044	2862.0378	137		KCNMB2	KCNMB2	137	1
2_MACS_peak_19494_lociStitched	chr3	177068486	177079833	2	8852	74746.0931	3242.9726	138			TBL1XR1	138	1
3_MACS_peak_9167_lociStitched	chr15	75063182	75084062	3	19238	75591.864	4102.92	139	CSK	CYP1A2,LMAN1L,CPLX3,CYP1A1	CSK	139	1
1_MACS_peak_2607_lociStitched	chr1	226839885	226852526	1	12642	74853.6815	3591.3081	140	ITPKB		ITPKB	140	1
3_MACS_peak_5259_lociStitched	chr11	111234406	111251569	3	15149	74216.2446	3030.9858	141	POU2AF1		POU2AF1	141	1
1_MACS_peak_287_lociStitched	chr1	23849067	23858980	1	9914	73283.8351	2458.424	142	E2F2	ASAP3,ID3	E2F2	142	1
2_MACS_peak_14100_lociStitched	chr2	37598514	37606495	2	7175	72461.0952	1770.9839	143	QPCT		QPCT	143	1
4_MACS_peak_2093_lociStitched	chr1	183865173	183885918	4	11633	75385.2555	5043.1095	144	RGL1		GLT25D2	144	1
1_MACS_peak_17478_lociStitched	chr22	29185721	29199601	1	13881	73142.048	2816.252	145	XBP1	HSCB,CCDC117,CHEK2	XBP1	145	1
2_MACS_peak_18739_lociStitched	chr3	98479377	98496396	2	16781	73562.9256	3254.0328	146	ST3GAL6		ST3GAL6	146	1
1_MACS_peak_11385_lociStitched	chr17	43298040	43308584	1	10545	72371.9072	2114.072	147	FMNL1	LOC100133991,C17orf46	FMNL1	147	1
3_MACS_peak_1753_lociStitched	chr1	156449568	156476141	3	21401	76881.0036	6746.8847	148	MEF2D		MEF2D	148	1
4_MACS_peak_2305_lociStitched	chr1	204474648	204493987	4	14688	75068.1963	5093.8926	149	MDM4	PIK3C2B	MDM4	149	1
1_MACS_peak_14635_lociStitched	chr2	86220161	86228638	1	8478	71510.2766	1600.4576	150		LOC90784	LOC90784	150	1
3_MACS_peak_6729_lociStitched	chr12	108952816	108970703	3	16524	73503.0491	3645.3706	151	ISCU,SART3	FICD,TMEM119	ISCU	151	1
2_MACS_peak_25563_lociStitched	chr7	114561734	114574202	2	10144	73308.0996	3478.572	152	MDFIC		MDFIC	152	1
3_MACS_peak_27989_lociStitched	chr9	112668733	112683329	3	9539	72076.5076	2692.962	153	PALM2,PALM2-AKAP2		PALM2	153	1
6_MACS_peak_14738_lociStitched	chr2	97190793	97220694	6	20320	73652.1432	4431.3282	154	ARID5A	NEURL3	ARID5A	154	1
4_MACS_peak_2921_lociStitched	chr10	7511522	7535726	4	14089	72556.3308	3729.8364	155			SFMBT2	155	1
1_MACS_peak_6574_lociStitched	chr12	94595856	94603913	1	8058	70666.3356	1986.0505	156	PLXNC1		PLXNC1	156	1
4_MACS_peak_8698_lociStitched	chr15	40834122	40862760	4	17866	73817.3088	5200.6608	157	RPUSD2,C15orf57	CASC5,MRPL42P5	C15orf57	157	1
1_MACS_peak_13855_lociStitched	chr2	11883591	11898192	1	14602	71317.1244	2712.8658	158	LPIN1		LPIN1	158	1
2_MACS_peak_24725_lociStitched	chr7	26002426	26011686	2	8597	70570.46	2077.944	159		MIR148A	MIR148A	159	1
1_MACS_peak_19488_lociStitched	chr3	176911594	176920923	1	9330	70444.2119	2332.25	160	TBL1XR1		TBL1XR1	160	1
2_MACS_peak_17479_lociStitched	chr22	29206771	29221513	2	12070	70721.7966	2778.867	161		CCDC117,XBP1	XBP1	161	1
3_MACS_peak_2712_lociStitched	chr1	234734117	234749976	3	12023	71414.6629	3831.5344	162	IRF2BP2	NCRNA00184	IRF2BP2	162	1
5_MACS_peak_11937_lociStitched	chr17	76710936	76746598	5	25258	73763.2808	6255.1148	163	CYTH1		CYTH1	163	1
3_MACS_peak_19405_lociStitched	chr3	169656552	169668463	3	10338	70938.3427	3430.368	164	SAMD7,LOC100128164	SEC62	LOC100128164	164	1
4_MACS_peak_19322_lociStitched	chr3	156804760	156824391	4	12498	72870.272	5371.0416	165	LOC100498859,LOC339894		LOC100498859	165	1
1_MACS_peak_3149_lociStitched	chr10	30989178	30996830	1	7653	68932.2768	1455.4104	166			LYZL2	166	1
1_MACS_peak_12727_lociStitched	chr19	2606696	2612036	1	5341	68540.502	1561.416	167	GNG7		GNG7	167	1
4_MACS_peak_11151_lociStitched	chr17	34408881	34432659	4	18901	71619.336	4693.7772	168	CCL4,CCL3	CCL18	CCL3	168	1
4_MACS_peak_17953_lociStitched	chr3	5222274	5256465	4	25632	72850.7637	6041.5497	169	ARL8B,EDEM1		EDEM1	169	1
1_MACS_peak_24125_lociStitched	chr6	135190316	135196290	1	5975	68166.327	1485.7338	170			ALDH8A1	170	1
1_MACS_peak_14637_lociStitched	chr2	86261769	86267377	1	5609	67520.32	1283.1104	171	POLR1A	LOC90784	LOC90784	171	1
5_MACS_peak_21785_lociStitched	chr5	87954388	87976746	5	12220	69537.8516	3315.6914	172	LOC645323,MIR9-2		MIR9-2	172	1
1_MACS_peak_1477_lociStitched	chr1	145448512	145458092	1	9581	69480.866	3268.696	173	POLR3GL	HFE2,TXNIP,ANKRD34A,LIX1L,RBM8A	TXNIP	173	1
2_MACS_peak_25908_lociStitched	chr7	150100575	150113796	2	8608	69825.3894	3625.1982	174	LOC728743	REPIN1,ZNF775,LOC285972,GIMAP8	LOC728743	174	1
1_MACS_peak_11232_lociStitched	chr17	37909222	37916316	1	7095	67681.7258	1628.073	175		GRB7,C17orf37	GRB7	175	1
3_MACS_peak_20063_lociStitched	chr4	38306990	38322639	3	13071	69068.4264	3131.3649	176			KLF3	176	1
1_MACS_peak_20544_lociStitched	chr4	105407165	105417820	1	10656	68009.7995	2083.0525	177	CXXC4		CXXC4	177	1
9_MACS_peak_24179_lociStitched	chr6	138246655	138297659	9	24312	74221.0208	8308.5516	178			TNFAIP3	178	1
3_MACS_peak_18361_lociStitched	chr3	46577996	46589420	3	9413	68049.3408	2226.5376	179	LRRC2	RTP3,TDGF1	LRRC2	179	1
1_MACS_peak_9028_lociStitched	chr15	65183364	65189686	1	6323	67065.6726	1724.0094	180		PLEKHO2,ANKDD1A	ANKDD1A	180	1
1_MACS_peak_15218_lociStitched	chr2	158293432	158302713	1	9282	67047.8002	1911.886	181	CYTIP		CYTIP	181	1
2_MACS_peak_22597_lociStitched	chr5	173696467	173710008	2	9368	67195.8584	2318.2192	182			HMP19	182	1
3_MACS_peak_14692_lociStitched	chr2	89049551	89066679	3	10166	67626.4824	2761.0336	183	RPIA,ANKRD36BP2		ANKRD36BP2	183	1
2_MACS_peak_23032_lociStitched	chr6	26355335	26367576	2	11018	67479.7366	2642.8319	184	BTN3A2	BTN3A2,BTN2A2,BTN3A1	BTN3A2	184	1
2_MACS_peak_12134_lociStitched	chr18	9132543	9157591	2	24182	69009.7448	4413.4576	185	NDUFV2,ANKRD12		ANKRD12	185	1
1_MACS_peak_26287_lociStitched	chr8	29629660	29634316	1	4657	65654.7216	1373.0544	186		C8orf75	C8orf75	186	1
7_MACS_peak_18339_lociStitched	chr3	46317877	46347411	7	21588	69112.5134	4917.411	187		CCR3,CCR2	CCR3	187	1
2_MACS_peak_2917_lociStitched	chr10	6961681	6972995	2	7408	66169.929	1979.95	188			LOC439949	188	1
3_MACS_peak_25005_lociStitched	chr7	55616300	55643150	3	26507	68821.92	4728.285	189	VOPP1		VOPP1	189	1
1_MACS_peak_20245_lociStitched	chr4	69434283	69443531	1	9249	65635.8304	1868.096	190		UGT2B15,UGT2B17	UGT2B17	190	1
