GENE_ID	locusLine	bin_1_37_0EXP_0229Kronos_MM1S-KB-1hr-1_Input_hs_i80.bam
2_MACS_peak_548_lociStitched	chr1(.):4417794-4419479	0.0753
1_MACS_peak_550_lociStitched	chr1(.):4420649-4422089	0.0676
1_MACS_peak_551_lociStitched	chr1(.):4425696-4426373	0.0501
3_MACS_peak_552_lociStitched	chr1(.):4458820-4461082	0.0906
1_MACS_peak_555_lociStitched	chr1(.):4467886-4469566	0.0308
1_MACS_peak_556_lociStitched	chr1(.):4494416-4495238	0.078
2_MACS_peak_557_lociStitched	chr1(.):4500083-4501756	0.0392
1_MACS_peak_559_lociStitched	chr1(.):4503214-4503870	0.0565
1_MACS_peak_560_lociStitched	chr1(.):4508012-4508497	0.1067
3_MACS_peak_561_lociStitched	chr1(.):4520087-4522888	0.0549
1_MACS_peak_564_lociStitched	chr1(.):4547056-4547607	0.0595
1_MACS_peak_565_lociStitched	chr1(.):4555071-4555553	0.0668
1_MACS_peak_566_lociStitched	chr1(.):4558757-4559156	0.0483
1_MACS_peak_567_lociStitched	chr1(.):4562972-4563483	0.114
2_MACS_peak_568_lociStitched	chr1(.):4564585-4565733	0.0716
1_MACS_peak_570_lociStitched	chr1(.):4571228-4571607	0.0604
2_MACS_peak_571_lociStitched	chr1(.):4576253-4577919	0.1012
1_MACS_peak_573_lociStitched	chr1(.):4579224-4580178	0.1138
2_MACS_peak_574_lociStitched	chr1(.):4587751-4589927	0.0902
1_MACS_peak_576_lociStitched	chr1(.):4621049-4621483	0.1013
2_MACS_peak_577_lociStitched	chr1(.):4624373-4626025	0.0643
1_MACS_peak_579_lociStitched	chr1(.):4646032-4646604	0.0558
3_MACS_peak_580_lociStitched	chr1(.):4649709-4653874	0.08
2_MACS_peak_583_lociStitched	chr1(.):4655662-4657051	0.0605
2_MACS_peak_585_lociStitched	chr1(.):4659231-4662397	0.0668
4_MACS_peak_587_lociStitched	chr1(.):4671130-4677553	0.0802
3_MACS_peak_591_lociStitched	chr1(.):4685714-4689161	0.0561
6_MACS_peak_594_lociStitched	chr1(.):4692992-4700073	0.0789
1_MACS_peak_600_lociStitched	chr1(.):4712816-4714047	0.0841
3_MACS_peak_601_lociStitched	chr1(.):4715726-4720376	0.0772
2_MACS_peak_604_lociStitched	chr1(.):4722865-4727870	0.0707
1_MACS_peak_606_lociStitched	chr1(.):4729727-4730234	0.1078
3_MACS_peak_607_lociStitched	chr1(.):4734527-4736842	0.0741
1_MACS_peak_610_lociStitched	chr1(.):4747983-4748445	0.0355
3_MACS_peak_611_lociStitched	chr1(.):4750216-4752560	0.0525
1_MACS_peak_614_lociStitched	chr1(.):4753824-4754186	0.0751
1_MACS_peak_615_lociStitched	chr1(.):4757633-4758176	0.0431
1_MACS_peak_616_lociStitched	chr1(.):4765691-4766193	0.0124
2_MACS_peak_617_lociStitched	chr1(.):4770372-4774423	0.0591
2_MACS_peak_619_lociStitched	chr1(.):4779242-4780752	0.0495
1_MACS_peak_621_lociStitched	chr1(.):4783921-4784484	0.042
7_MACS_peak_622_lociStitched	chr1(.):4787096-4796235	0.0632
1_MACS_peak_629_lociStitched	chr1(.):4798324-4798908	0.0726
1_MACS_peak_630_lociStitched	chr1(.):4806627-4808241	0.0807
1_MACS_peak_631_lociStitched	chr1(.):4812543-4812984	0.0646
1_MACS_peak_632_lociStitched	chr1(.):4819834-4820231	0.0518
1_MACS_peak_633_lociStitched	chr1(.):4827399-4827958	0.1357
1_MACS_peak_634_lociStitched	chr1(.):4830084-4830725	0.0896
2_MACS_peak_635_lociStitched	chr1(.):4832344-4834580	0.1002
3_MACS_peak_637_lociStitched	chr1(.):4836656-4839875	0.0811
1_MACS_peak_640_lociStitched	chr1(.):4841080-4842527	0.0807
2_MACS_peak_641_lociStitched	chr1(.):4844955-4847022	0.0462
1_MACS_peak_643_lociStitched	chr1(.):4848398-4849023	0.07
1_MACS_peak_644_lociStitched	chr1(.):4859751-4860154	0.0543
1_MACS_peak_645_lociStitched	chr1(.):4931056-4931432	0.0804
1_MACS_peak_646_lociStitched	chr1(.):4955494-4956443	0.0718
1_MACS_peak_647_lociStitched	chr1(.):4973559-4974094	0.105
1_MACS_peak_648_lociStitched	chr1(.):5019164-5019579	0.0466
2_MACS_peak_649_lociStitched	chr1(.):5023133-5024961	0.0919
1_MACS_peak_651_lociStitched	chr1(.):5026831-5027301	0.0097
1_MACS_peak_652_lociStitched	chr1(.):5031757-5032161	0.1186
1_MACS_peak_653_lociStitched	chr1(.):5034271-5034788	0.0279
1_MACS_peak_654_lociStitched	chr1(.):5035906-5037470	0.093
2_MACS_peak_655_lociStitched	chr1(.):5038636-5040218	0.0611
2_MACS_peak_657_lociStitched	chr1(.):5045969-5048075	0.0666
1_MACS_peak_659_lociStitched	chr1(.):5105486-5106069	0.0663
1_MACS_peak_660_lociStitched	chr1(.):5326228-5326725	0.0381
1_MACS_peak_661_lociStitched	chr1(.):5327919-5328326	0.0681
1_MACS_peak_662_lociStitched	chr1(.):5332299-5332779	0.0449
3_MACS_peak_663_lociStitched	chr1(.):5334576-5337984	0.0505
1_MACS_peak_666_lociStitched	chr1(.):5342155-5342540	0.0783
1_MACS_peak_667_lociStitched	chr1(.):5355614-5356017	0.0464
2_MACS_peak_668_lociStitched	chr1(.):5366858-5368803	0.0896
1_MACS_peak_670_lociStitched	chr1(.):5370609-5371446	0.0218
1_MACS_peak_671_lociStitched	chr1(.):5402959-5403351	0.0929
1_MACS_peak_672_lociStitched	chr1(.):5437635-5438018	0.0881
1_MACS_peak_673_lociStitched	chr1(.):5441924-5442400	0.1014
2_MACS_peak_674_lociStitched	chr1(.):5448063-5450109	0.0789
1_MACS_peak_676_lociStitched	chr1(.):5454139-5454559	0.0391
1_MACS_peak_677_lociStitched	chr1(.):5461429-5461844	0.0263
1_MACS_peak_678_lociStitched	chr1(.):5463853-5464236	0.0694
1_MACS_peak_679_lociStitched	chr1(.):5478247-5478777	0.0891
9_MACS_peak_680_lociStitched	chr1(.):5482859-5495847	0.0795
1_MACS_peak_689_lociStitched	chr1(.):5503274-5504004	0.1152
1_MACS_peak_690_lociStitched	chr1(.):5506834-5507494	0.0692
2_MACS_peak_691_lociStitched	chr1(.):5508992-5512240	0.0767
1_MACS_peak_693_lociStitched	chr1(.):5515703-5516225	0.0396
3_MACS_peak_694_lociStitched	chr1(.):5517382-5520088	0.091
2_MACS_peak_697_lociStitched	chr1(.):5523821-5525681	0.0781
2_MACS_peak_699_lociStitched	chr1(.):5532646-5534852	0.0562
5_MACS_peak_701_lociStitched	chr1(.):5536444-5546096	0.0978
6_MACS_peak_706_lociStitched	chr1(.):5550388-5558971	0.0736
6_MACS_peak_712_lociStitched	chr1(.):5560446-5574067	0.0887
1_MACS_peak_718_lociStitched	chr1(.):5576888-5577335	0.0379
1_MACS_peak_719_lociStitched	chr1(.):5579704-5580432	0.0723
6_MACS_peak_720_lociStitched	chr1(.):5581840-5588935	0.0749
1_MACS_peak_726_lociStitched	chr1(.):5614813-5615237	0.087
1_MACS_peak_727_lociStitched	chr1(.):5624685-5625216	0.0485
1_MACS_peak_728_lociStitched	chr1(.):5631987-5632607	0.0986
1_MACS_peak_729_lociStitched	chr1(.):5636084-5636543	0.0398
1_MACS_peak_730_lociStitched	chr1(.):5637622-5638028	0.0308
2_MACS_peak_731_lociStitched	chr1(.):5642522-5645314	0.093
2_MACS_peak_733_lociStitched	chr1(.):5652955-5654365	0.0407
3_MACS_peak_735_lociStitched	chr1(.):5655472-5658339	0.0507
2_MACS_peak_738_lociStitched	chr1(.):5659529-5662032	0.1044
1_MACS_peak_740_lociStitched	chr1(.):5671238-5671828	0.0736
6_MACS_peak_741_lociStitched	chr1(.):5674139-5683437	0.0966
1_MACS_peak_747_lociStitched	chr1(.):5691910-5692812	0.0091
2_MACS_peak_748_lociStitched	chr1(.):5699698-5701328	0.0783
2_MACS_peak_750_lociStitched	chr1(.):5703407-5707424	0.0959
1_MACS_peak_752_lociStitched	chr1(.):5709334-5713261	0.0865
4_MACS_peak_753_lociStitched	chr1(.):5718912-5723086	0.088
1_MACS_peak_760_lociStitched	chr1(.):5741243-5741655	0.1944
3_MACS_peak_761_lociStitched	chr1(.):5742734-5746127	0.0898
5_MACS_peak_764_lociStitched	chr1(.):5747511-5754154	0.0714
2_MACS_peak_769_lociStitched	chr1(.):5757966-5759515	0.0798
3_MACS_peak_771_lociStitched	chr1(.):5763333-5768912	0.0886
3_MACS_peak_774_lociStitched	chr1(.):5770006-5773258	0.0775
2_MACS_peak_777_lociStitched	chr1(.):5776413-5782322	0.0793
1_MACS_peak_779_lociStitched	chr1(.):5784147-5784817	0.0893
6_MACS_peak_780_lociStitched	chr1(.):5785979-5791908	0.0673
2_MACS_peak_786_lociStitched	chr1(.):5793680-5795461	0.0897
6_MACS_peak_788_lociStitched	chr1(.):5799159-5821175	0.0825
2_MACS_peak_794_lociStitched	chr1(.):5823602-5832028	0.0942
3_MACS_peak_796_lociStitched	chr1(.):5833361-5837997	0.0718
1_MACS_peak_799_lociStitched	chr1(.):5840057-5840474	0.0654
1_MACS_peak_800_lociStitched	chr1(.):5846671-5847305	0.0581
1_MACS_peak_801_lociStitched	chr1(.):5848534-5849308	0.0436
1_MACS_peak_802_lociStitched	chr1(.):5850604-5850983	0.0852
2_MACS_peak_803_lociStitched	chr1(.):5856504-5860203	0.1104
1_MACS_peak_805_lociStitched	chr1(.):5868078-5868781	0.1074
8_MACS_peak_806_lociStitched	chr1(.):5871512-5884052	0.0844
4_MACS_peak_814_lociStitched	chr1(.):5886474-5889816	0.0741
4_MACS_peak_818_lociStitched	chr1(.):5892412-5913155	0.0745
1_MACS_peak_822_lociStitched	chr1(.):6162164-6166809	0.0936
3_MACS_peak_823_lociStitched	chr1(.):6168903-6175734	0.0896
3_MACS_peak_826_lociStitched	chr1(.):6180792-6209377	0.0972
3_MACS_peak_829_lociStitched	chr1(.):6210642-6234609	0.0886
2_MACS_peak_832_lociStitched	chr1(.):6235839-6242022	0.0764
5_MACS_peak_834_lociStitched	chr1(.):6264531-6275288	0.083
6_MACS_peak_839_lociStitched	chr1(.):6298589-6323213	0.0999
1_MACS_peak_845_lociStitched	chr1(.):6460211-6461853	0.0628
4_MACS_peak_846_lociStitched	chr1(.):6465325-6469561	0.0921
7_MACS_peak_850_lociStitched	chr1(.):6471225-6530345	0.1019
9_MACS_peak_857_lociStitched	chr1(.):6532216-6548769	0.1031
3_MACS_peak_866_lociStitched	chr1(.):6554366-6572668	0.1132
3_MACS_peak_869_lociStitched	chr1(.):6622072-6628211	0.0925
4_MACS_peak_872_lociStitched	chr1(.):6630542-6635714	0.1375
5_MACS_peak_876_lociStitched	chr1(.):6767398-6779810	0.0972
4_MACS_peak_881_lociStitched	chr1(.):6782345-6787455	0.1101
4_MACS_peak_885_lociStitched	chr1(.):6790399-6794327	0.0903
1_MACS_peak_889_lociStitched	chr1(.):6795735-6796143	0.0554
1_MACS_peak_890_lociStitched	chr1(.):6797247-6797971	0.1278
1_MACS_peak_891_lociStitched	chr1(.):6803553-6804020	0.0451
2_MACS_peak_892_lociStitched	chr1(.):6805870-6807663	0.08
3_MACS_peak_894_lociStitched	chr1(.):6817754-6820941	0.1045
2_MACS_peak_897_lociStitched	chr1(.):6822004-6824354	0.0806
1_MACS_peak_899_lociStitched	chr1(.):6830519-6830955	0.0913
1_MACS_peak_900_lociStitched	chr1(.):7014606-7014994	0.0418
2_MACS_peak_901_lociStitched	chr1(.):7019985-7022277	0.034
3_MACS_peak_903_lociStitched	chr1(.):7023443-7026841	0.0882
1_MACS_peak_906_lociStitched	chr1(.):7027956-7028782	0.0949
2_MACS_peak_907_lociStitched	chr1(.):7030802-7032891	0.0755
1_MACS_peak_909_lociStitched	chr1(.):7035096-7035756	0.0721
2_MACS_peak_910_lociStitched	chr1(.):7045865-7048419	0.0703
1_MACS_peak_912_lociStitched	chr1(.):7055644-7056034	0.0404
1_MACS_peak_913_lociStitched	chr1(.):7059139-7059681	0.1472
1_MACS_peak_914_lociStitched	chr1(.):7062743-7063184	0.0805
1_MACS_peak_915_lociStitched	chr1(.):7067049-7072246	0.0836
2_MACS_peak_916_lociStitched	chr1(.):7079574-7081580	0.1586
13_MACS_peak_918_lociStitched	chr1(.):7100541-7125493	0.0973
1_MACS_peak_931_lociStitched	chr1(.):7127011-7131300	0.0901
1_MACS_peak_932_lociStitched	chr1(.):7141984-7142662	0.0963
4_MACS_peak_933_lociStitched	chr1(.):7144302-7151225	0.079
4_MACS_peak_937_lociStitched	chr1(.):7152440-7161118	0.0791
2_MACS_peak_941_lociStitched	chr1(.):7165220-7168105	0.0791
2_MACS_peak_943_lociStitched	chr1(.):7170333-7173588	0.1068
3_MACS_peak_945_lociStitched	chr1(.):7174666-7178411	0.0876
3_MACS_peak_948_lociStitched	chr1(.):7179799-7184930	0.1121
2_MACS_peak_951_lociStitched	chr1(.):7186700-7188485	0.0862
1_MACS_peak_953_lociStitched	chr1(.):7204748-7206516	0.0691
3_MACS_peak_954_lociStitched	chr1(.):7209238-7215724	0.0898
1_MACS_peak_957_lociStitched	chr1(.):7217956-7219054	0.1079
1_MACS_peak_958_lociStitched	chr1(.):7224464-7224904	0.1037
3_MACS_peak_959_lociStitched	chr1(.):7231594-7236146	0.0513
1_MACS_peak_962_lociStitched	chr1(.):7252166-7253041	0.0488
3_MACS_peak_963_lociStitched	chr1(.):7254549-7259727	0.1042
1_MACS_peak_966_lociStitched	chr1(.):7268748-7269294	0.092
2_MACS_peak_967_lociStitched	chr1(.):7274377-7275991	0.0697
1_MACS_peak_969_lociStitched	chr1(.):7277026-7277398	0.0702
5_MACS_peak_970_lociStitched	chr1(.):7279535-7298952	0.0952
12_MACS_peak_975_lociStitched	chr1(.):7306393-7325518	0.0877
1_MACS_peak_987_lociStitched	chr1(.):7339925-7340391	0.0103
1_MACS_peak_988_lociStitched	chr1(.):7344380-7344822	0.1051
4_MACS_peak_989_lociStitched	chr1(.):7348408-7355518	0.0807
2_MACS_peak_993_lociStitched	chr1(.):7359968-7362641	0.0643
1_MACS_peak_995_lociStitched	chr1(.):7373142-7373599	0.106
5_MACS_peak_996_lociStitched	chr1(.):7391486-7397301	0.0864
1_MACS_peak_1001_lociStitched	chr1(.):7399193-7399601	0.0841
5_MACS_peak_1002_lociStitched	chr1(.):7406578-7416267	0.0782
1_MACS_peak_1007_lociStitched	chr1(.):7418711-7419393	0.0589
1_MACS_peak_1008_lociStitched	chr1(.):7424544-7424939	0.0503
9_MACS_peak_1009_lociStitched	chr1(.):7429618-7441216	0.0957
4_MACS_peak_1018_lociStitched	chr1(.):7444758-7451690	0.0707
1_MACS_peak_1022_lociStitched	chr1(.):7463808-7464641	0.0651
1_MACS_peak_1023_lociStitched	chr1(.):7465730-7466145	0.0982
1_MACS_peak_1024_lociStitched	chr1(.):7467962-7468661	0.1038
1_MACS_peak_1025_lociStitched	chr1(.):7477597-7478313	0.1001
1_MACS_peak_1026_lociStitched	chr1(.):7480813-7481385	0.0564
1_MACS_peak_1027_lociStitched	chr1(.):7484460-7487223	0.0759
1_MACS_peak_1028_lociStitched	chr1(.):7488356-7488893	0.0822
1_MACS_peak_1029_lociStitched	chr1(.):7491522-7493845	0.0671
2_MACS_peak_1030_lociStitched	chr1(.):7495563-7503711	0.0865
2_MACS_peak_1032_lociStitched	chr1(.):7505298-7507144	0.0318
19_MACS_peak_1034_lociStitched	chr1(.):7508572-7545174	0.0748
3_MACS_peak_1053_lociStitched	chr1(.):7546633-7552596	0.0734
3_MACS_peak_1056_lociStitched	chr1(.):7553733-7557510	0.047
4_MACS_peak_1059_lociStitched	chr1(.):7560663-7564489	0.0774
3_MACS_peak_1063_lociStitched	chr1(.):7567557-7570811	0.0988
3_MACS_peak_1066_lociStitched	chr1(.):7572310-7577222	0.0781
1_MACS_peak_1069_lociStitched	chr1(.):7579406-7580054	0.0592
11_MACS_peak_1070_lociStitched	chr1(.):7581535-7599832	0.0848
2_MACS_peak_1081_lociStitched	chr1(.):7600876-7603362	0.1053
1_MACS_peak_1083_lociStitched	chr1(.):7611992-7612460	0.0764
3_MACS_peak_1084_lociStitched	chr1(.):7614075-7626129	0.081
4_MACS_peak_1087_lociStitched	chr1(.):7632719-7636550	0.1172
1_MACS_peak_1091_lociStitched	chr1(.):7638123-7638678	0.0305
2_MACS_peak_1092_lociStitched	chr1(.):7639879-7642279	0.0766
6_MACS_peak_1094_lociStitched	chr1(.):7644076-7656574	0.0893
1_MACS_peak_1100_lociStitched	chr1(.):7660846-7661487	0.0214
1_MACS_peak_1101_lociStitched	chr1(.):7665067-7665821	0.0766
1_MACS_peak_1102_lociStitched	chr1(.):7681990-7683533	0.0847
3_MACS_peak_1103_lociStitched	chr1(.):7684877-7688038	0.1083
2_MACS_peak_1106_lociStitched	chr1(.):7689929-7705774	0.0853
