REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	09_0EWV_0229Kronos_MM1S-KB-24hr-1_H3K18Ac_hs-dm_i17.bam	43_0EXV_0229Kronos_MM1S-KB-24hr-1_Input_hs_i87.bam
3_MACS_peak_12899_lociStitched	chr19	40645245	40672142	3	16459	40323.9824	3684.889
3_MACS_peak_8917_lociStitched	chr15	75315406	75342283	3	19407	76473.1281	4724.9766
5_MACS_peak_6144_lociStitched	chr12	57093459	57120206	5	14363	21739.9616	4357.0863
4_MACS_peak_13872_lociStitched	chr2	64429801	64456547	4	21548	55776.1084	4453.209
4_MACS_peak_11879_lociStitched	chr18	42287591	42314310	4	17912	22505.4137	4018.5376
4_MACS_peak_17318_lociStitched	chr3	13035258	13061955	4	19763	91002.06390000001	5715.827700000001
4_MACS_peak_27246_lociStitched	chr9	134126937	134153591	4	18228	53713.1408	4893.674400000001
4_MACS_peak_13655_lociStitched	chr2	42342932	42369567	4	21140	78493.345	4820.9349999999995
2_MACS_peak_15046_lociStitched	chr2	197023156	197049767	2	26187	83305.7355	5465.8994
6_MACS_peak_15396_lociStitched	chr2	232687511	232714031	6	14421	11615.76	3360.0840000000003
4_MACS_peak_5527_lociStitched	chr12	7045495	7071991	4	20403	61060.032	5561.5104
4_MACS_peak_27429_lociStitched	chrX	10064726	10091173	4	17758	45137.094900000004	2464.8604
4_MACS_peak_11501_lociStitched	chr17	76753576	76780005	4	20677	55791.619000000006	5121.9402
3_MACS_peak_11183_lociStitched	chr17	56404514	56430925	3	19665	117169.7604	6296.3824
5_MACS_peak_7998_lociStitched	chr14	81930555	81956896	5	23129	61522.0396	2613.0272
4_MACS_peak_23938_lociStitched	chr7	34773328	34799636	4	14810	24745.304799999998	3562.1032
4_MACS_peak_16008_lociStitched	chr20	43583222	43609512	4	15581	34061.324	5079.228
1_MACS_peak_19744_lociStitched	chr4	90204250	90230490	1	26241	179185.08800000002	6586.24
5_MACS_peak_5595_lociStitched	chr12	10280512	10306739	5	15759	28089.117	4075.6758000000004
5_MACS_peak_20482_lociStitched	chr5	6711620	6737776	5	10785	14244.5576	3834.4696000000004
1_MACS_peak_22966_lociStitched	chr6	106530434	106556535	1	26102	102122.7726	6112.8542
2_MACS_peak_1679_lociStitched	chr1	156450303	156476403	2	21452	59575.86	6903.450000000001
5_MACS_peak_13206_lociStitched	chr19	55460000	55486058	5	14406	32251.9866	3233.7978
4_MACS_peak_18254_lociStitched	chr3	124487137	124513160	4	22374	53034.873999999996	4272.9766
3_MACS_peak_13876_lociStitched	chr2	64486003	64512009	3	15810	51062.781	4384.6116
2_MACS_peak_10852_lociStitched	chr17	38458838	38484841	2	24962	149499.0479	5367.0192
3_MACS_peak_18817_lociStitched	chr3	181636169	181662128	3	17210	61442.357099999994	5713.5759
2_MACS_peak_18030_lociStitched	chr3	98472681	98498590	2	21428	75498.826	5184.3909
5_MACS_peak_26148_lociStitched	chr8	145002120	145027909	5	15286	33484.4376	3280.3608000000004
4_MACS_peak_4971_lociStitched	chr11	82764276	82790059	4	14068	44831.4804	4687.3494
4_MACS_peak_21605_lociStitched	chr5	150512625	150538196	4	18467	43145.948300000004	5142.3281
3_MACS_peak_13569_lociStitched	chr2	33699402	33724865	3	17264	74851.0348	4797.229200000001
2_MACS_peak_17637_lociStitched	chr3	46128979	46154420	2	24447	85161.2034	4815.9812999999995
3_MACS_peak_3830_lociStitched	chr10	112103421	112128795	3	15574	115263.9324	5074.8
2_MACS_peak_7472_lociStitched	chr13	115023459	115048824	2	19571	56802.380999999994	4527.6525
5_MACS_peak_11410_lociStitched	chr17	73850493	73875780	5	13884	41958.7191	3922.0136999999995
4_MACS_peak_22167_lociStitched	chr6	25162594	25187876	4	15040	28791.141600000003	4158.889
4_MACS_peak_12275_lociStitched	chr19	2455333	2480609	4	13128	34698.8928	5492.4748
5_MACS_peak_12236_lociStitched	chr19	1647591	1672834	5	13418	33752.4153	4692.6737
3_MACS_peak_15941_lociStitched	chr20	37486638	37511809	3	17721	127324.9864	4719.5625
3_MACS_peak_22178_lociStitched	chr6	25365495	25390651	3	21376	63350.3548	5388.4152
5_MACS_peak_9972_lociStitched	chr16	67562340	67587388	5	13898	35493.016	4115.3864
3_MACS_peak_17370_lociStitched	chr3	15834449	15859482	3	20894	52967.3247	4132.9483
5_MACS_peak_1379_lociStitched	chr1	144684824	144709836	5	12725	23733.8868	4472.1456
5_MACS_peak_9956_lociStitched	chr16	67184099	67209110	5	11118	18037.9332	3796.6697999999997
3_MACS_peak_18723_lociStitched	chr3	175049827	175074790	3	24219	72592.404	6083.4831
3_MACS_peak_11369_lociStitched	chr17	72732711	72757664	3	22950	48061.9733	4578.8755
3_MACS_peak_18753_lociStitched	chr3	177056228	177081097	3	16033	71488.4274	6077.9836000000005
6_MACS_peak_4915_lociStitched	chr11	77146701	77171470	6	13261	18125.9542	4267.6987
2_MACS_peak_5951_lociStitched	chr12	48195849	48220599	2	22952	92250.675	4450.049999999999
3_MACS_peak_18570_lociStitched	chr3	156381117	156405815	3	15507	31200.9834	5959.627399999999
6_MACS_peak_23977_lociStitched	chr7	38383832	38408454	6	16558	24314.225000000002	5367.596
2_MACS_peak_20533_lociStitched	chr5	15426148	15450666	2	19855	58723.061799999996	3697.3143999999998
4_MACS_peak_16422_lociStitched	chr21	34732898	34757415	4	12147	29516.0163	6320.482599999999
2_MACS_peak_16137_lociStitched	chr20	52192153	52216626	2	24282	73653.9408	4622.9497
5_MACS_peak_9591_lociStitched	chr16	22194961	22219424	5	17420	36648.0203	5330.487700000001
3_MACS_peak_1654_lociStitched	chr1	155938003	155962445	3	20280	73871.0566	6318.2570000000005
1_MACS_peak_10749_lociStitched	chr17	34408658	34432983	1	24326	73546.6375	5120.412499999999
3_MACS_peak_8274_lociStitched	chr15	23658672	23682984	3	18761	34676.2056	3559.2768
3_MACS_peak_17023_lociStitched	chr22	39823147	39847197	3	19344	98119.18999999999	4430.01
4_MACS_peak_21530_lociStitched	chr5	142952455	142976368	4	14261	33801.025499999996	3893.0364
4_MACS_peak_22200_lociStitched	chr6	26183494	26207398	4	15390	40318.876800000005	4637.376
3_MACS_peak_13473_lociStitched	chr2	25622750	25646524	3	15838	63514.61840000001	4412.4544
6_MACS_peak_9675_lociStitched	chr16	29464279	29487969	6	10981	13399.064	5100.456999999999
3_MACS_peak_25073_lociStitched	chr8	2027258	2050919	3	17859	72449.98199999999	4741.6644
2_MACS_peak_16759_lociStitched	chr22	24177245	24200900	2	17795	161033.778	4816.158
4_MACS_peak_4964_lociStitched	chr11	82666394	82689957	4	11516	23216.6239	3628.7019999999998
4_MACS_peak_8526_lociStitched	chr15	44579311	44602848	4	9322	15878.0602	3669.4183000000003
3_MACS_peak_18357_lociStitched	chr3	132266604	132290118	3	16701	31071.399599999997	3374.2589999999996
3_MACS_peak_13903_lociStitched	chr2	65155552	65179026	3	21102	114201.01000000001	5622.023
2_MACS_peak_12875_lociStitched	chr19	39880731	39904201	2	18704	74545.414	4632.978
5_MACS_peak_4046_lociStitched	chr11	554174	577627	5	8539	13623.847699999998	2364.0624
3_MACS_peak_7968_lociStitched	chr14	77487774	77511205	3	21115	51325.605500000005	2207.2002
5_MACS_peak_6516_lociStitched	chr12	96878431	96901827	5	13900	25351.9056	3694.2284000000004
4_MACS_peak_21831_lociStitched	chr5	176717202	176740532	4	12827	23850.259	4381.374
3_MACS_peak_3152_lociStitched	chr10	45913216	45936518	3	22058	113979.4028	4404.078
5_MACS_peak_10051_lociStitched	chr16	70827113	70850402	5	8212	10771.1625	3318.6825
3_MACS_peak_11439_lociStitched	chr17	74475330	74498613	3	16547	51692.916600000004	4149.0306
4_MACS_peak_5955_lociStitched	chr12	48276277	48299477	4	13907	22420.48	3874.4
4_MACS_peak_5841_lociStitched	chr12	33037577	33060695	4	13944	18859.664399999998	3775.1694
2_MACS_peak_8445_lociStitched	chr15	40386084	40409199	2	18868	103934.28600000001	5272.5315
4_MACS_peak_14203_lociStitched	chr2	96889916	96912951	4	11959	27798.638000000003	4084.1055
4_MACS_peak_20276_lociStitched	chr4	173896568	173919602	4	14250	21693.4212	3519.5951999999997
4_MACS_peak_1386_lociStitched	chr1	144962612	144985627	4	14421	41224.468	6985.0525
1_MACS_peak_2860_lociStitched	chr10	11201598	11224567	1	22970	144987.2187	6621.9627
2_MACS_peak_16142_lociStitched	chr20	52257659	52280605	2	17451	94351.65740000001	4245.01
2_MACS_peak_8675_lociStitched	chr15	56644649	56667542	2	17377	77181.4602	4386.2988
5_MACS_peak_1630_lociStitched	chr1	155210080	155232907	5	9113	13073.0229	5375.7585
4_MACS_peak_4654_lociStitched	chr11	64611216	64634037	4	12476	22072.4712	3455.0994
2_MACS_peak_11498_lociStitched	chr17	76710969	76733775	2	18768	42854.7546	4645.5822
5_MACS_peak_25785_lociStitched	chr8	95987511	96010308	5	11695	10776.1419	1655.0621999999998
2_MACS_peak_20591_lociStitched	chr5	32570418	32593186	2	21305	73615.7744	4280.384
4_MACS_peak_1743_lociStitched	chr1	160632838	160655505	4	16892	98046.1085	5843.552599999999
2_MACS_peak_296_lociStitched	chr1	24511606	24534216	2	20938	136808.588	4904.109
5_MACS_peak_15011_lociStitched	chr2	192481441	192504031	5	13646	17288.127	3573.7380000000003
3_MACS_peak_8413_lociStitched	chr15	38401684	38424230	3	12909	35805.3026	3776.4550000000004
3_MACS_peak_25211_lociStitched	chr8	19518356	19540892	3	16443	50663.181599999996	3826.6128000000003
3_MACS_peak_2290_lociStitched	chr1	207084744	207107251	3	13472	78436.895	5777.546899999999
5_MACS_peak_8534_lociStitched	chr15	44954517	44976913	5	10820	21851.7772	4114.1452
2_MACS_peak_19548_lociStitched	chr4	74453638	74476029	2	19252	67146.1308	3790.7963
5_MACS_peak_21035_lociStitched	chr5	87954355	87976744	5	11694	41406.2166	3924.7917
2_MACS_peak_434_lociStitched	chr1	31213529	31235915	2	22048	110613.7032	5365.9241999999995
3_MACS_peak_13394_lociStitched	chr2	13680158	13702525	3	16283	37549.719600000004	3569.7731999999996
2_MACS_peak_16014_lociStitched	chr20	43672478	43694812	2	22075	69894.253	4205.4922
2_MACS_peak_15277_lociStitched	chr2	219741146	219763474	2	19766	72905.38560000001	4186.5
2_MACS_peak_15598_lociStitched	chr20	5570384	5592589	2	20093	35496.913	4554.2455
3_MACS_peak_3142_lociStitched	chr10	45453748	45475937	3	15022	38451.318100000004	4306.8849
4_MACS_peak_13231_lociStitched	chr19	56145567	56167723	4	10825	25563.5928	3354.4184
2_MACS_peak_15160_lociStitched	chr2	204661785	204683906	2	16314	40235.8869	3654.3892
3_MACS_peak_19605_lociStitched	chr4	77602405	77624453	3	16683	30421.8304	3768.0032
4_MACS_peak_13096_lociStitched	chr19	48880323	48902361	4	9359	16182.5034	2920.0350000000003
4_MACS_peak_17880_lociStitched	chr3	66530496	66552534	4	18329	26796.0042	3437.928
5_MACS_peak_24498_lociStitched	chr7	101376521	101398559	5	9095	10481.2728	2600.484
4_MACS_peak_11487_lociStitched	chr17	76162134	76184144	4	12834	27171.344999999998	3442.364
4_MACS_peak_8764_lociStitched	chr15	65183178	65205149	4	11179	55254.8679	4264.5711
4_MACS_peak_4059_lociStitched	chr11	789065	810985	4	9833	15368.112	2972.352
1_MACS_peak_26966_lociStitched	chr9	112903653	112925430	1	21778	47519.591700000004	4797.4731
3_MACS_peak_6445_lociStitched	chr12	92878733	92900484	3	14806	22688.4681	3393.156
1_MACS_peak_16514_lociStitched	chr21	41323540	41345285	1	21746	111886.72300000001	7030.1585
3_MACS_peak_4793_lociStitched	chr11	67760464	67782183	3	15663	37999.5624	3950.6861000000004
2_MACS_peak_9019_lociStitched	chr15	81574993	81596703	2	18542	84655.974	4765.345
2_MACS_peak_17465_lociStitched	chr3	30682184	30703893	2	20157	41946.129799999995	4129.0518
5_MACS_peak_17800_lociStitched	chr3	53194156	53215818	5	9417	10122.6526	2759.7388
6_MACS_peak_9690_lociStitched	chr16	29815543	29837200	6	13953	29369.0577	3978.3909
4_MACS_peak_22395_lociStitched	chr6	33537510	33559035	4	10078	20065.605	3217.9874999999997
3_MACS_peak_15769_lociStitched	chr20	25261276	25282784	3	14874	51335.2944	3303.6287999999995
2_MACS_peak_17641_lociStitched	chr3	46244069	46265563	2	18517	116884.37199999999	4962.9646
3_MACS_peak_9103_lociStitched	chr15	89164049	89185528	3	15818	28655.1339	3868.3679
4_MACS_peak_13730_lociStitched	chr2	47193850	47215302	4	13474	35921.374	3824.8916
4_MACS_peak_25312_lociStitched	chr8	27930183	27951563	4	15171	35219.274	4220.412
4_MACS_peak_5157_lociStitched	chr11	111230364	111251735	4	19149	48095.43550000001	4116.0545999999995
2_MACS_peak_1507_lociStitched	chr1	150532134	150553468	2	16929	115000.92700000001	7313.2952
2_MACS_peak_1666_lociStitched	chr1	156115281	156136595	2	19467	89932.29160000001	6221.5566
2_MACS_peak_6048_lociStitched	chr12	53583702	53604995	2	20843	100053.6777	5318.9914
3_MACS_peak_21261_lociStitched	chr5	118657763	118679055	3	16911	51897.1208	4518.1624
3_MACS_peak_24619_lociStitched	chr7	110713757	110735017	3	11208	19157.386	4226.488
3_MACS_peak_8076_lociStitched	chr14	93033177	93054405	3	14469	28575.0108	2018.7828000000002
2_MACS_peak_18664_lociStitched	chr3	169647377	169668584	2	16968	87873.3252	5399.3022
3_MACS_peak_21876_lociStitched	chr5	180228543	180249723	3	15522	54815.958	3888.648
3_MACS_peak_27091_lociStitched	chr9	126082858	126104007	3	11600	37535.2452	3734.9134000000004
2_MACS_peak_2219_lociStitched	chr1	204474269	204495399	2	21002	110818.398	6341.112999999999
5_MACS_peak_8081_lociStitched	chr14	93225390	93246475	5	10674	17175.841	1825.961
4_MACS_peak_21835_lociStitched	chr5	176777783	176798861	4	8461	15007.536	2942.4888
5_MACS_peak_27103_lociStitched	chr9	126961351	126982392	5	14900	37524.519400000005	3511.7428999999997
2_MACS_peak_8411_lociStitched	chr15	38360734	38381748	2	19318	94798.3568	3849.7648
3_MACS_peak_15114_lociStitched	chr2	202039695	202060639	3	12859	22977.662399999997	3761.5424000000003
5_MACS_peak_14384_lociStitched	chr2	112416283	112437215	5	15403	16044.377999999999	2792.3288
4_MACS_peak_15831_lociStitched	chr20	32360527	32381445	4	10215	18863.8524	2713.0646
5_MACS_peak_16623_lociStitched	chr22	17090057	17110968	5	8731	10432.4979	2243.7503
5_MACS_peak_2285_lociStitched	chr1	206987400	207008212	5	13658	20062.768	4643.1572
5_MACS_peak_3123_lociStitched	chr10	43931250	43952007	5	10152	20827.573800000002	2899.7529
4_MACS_peak_10912_lociStitched	chr17	40699692	40720395	4	6913	12616.408200000002	3080.6063999999997
2_MACS_peak_1589_lociStitched	chr1	154374554	154395245	2	18623	86004.2106	6107.983200000001
3_MACS_peak_1661_lociStitched	chr1	156065547	156086192	3	9387	24724.452	4246.6765
1_MACS_peak_4853_lociStitched	chr11	72850754	72871370	1	20617	143219.352	4312.8672
3_MACS_peak_15636_lociStitched	chr20	9479357	9499962	3	16210	43703.205	3533.7575
