REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X09_0EWV_0229Kronos_MM1S.KB.24hr.1_H3K18Ac_hs.dm_i17.bam	X43_0EXV_0229Kronos_MM1S.KB.24hr.1_Input_hs_i87.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isSuperStretch
4_MACS_peak_11685_lociStitched	chr18	9053884	9085265	4	27537	143213.4697	6458.2098	46		NDUFV2	NDUFV2	NDUFV2	2.2014	46	1
2_MACS_peak_10852_lociStitched	chr17	38458838	38484841	2	24962	149499.0479	5367.0192	47	CDC6,RARA	RARA,GJD3	RARA	RARA	2.4645	47	1
3_MACS_peak_24980_lociStitched	chr7	150052202	150084989	3	28567	124475.8455	8616.4236	48	REPIN1,ZNF775	LRRC61,C7orf29,LOC728743,LOC285972,ACTR3C,RARRES2	REPIN1	REPIN1	4.7465	48	1
3_MACS_peak_21376_lociStitched	chr5	131744354	131774604	3	25782	138112.425	6757.85	49	C5orf56	SLC22A5,MIR3936	C5orf56	C5orf56	3.2066999999999997	49	1
2_MACS_peak_18692_lociStitched	chr3	171801645	171828881	2	27220	127366.4304	7707.788	50	FNDC3B		FNDC3B	FNDC3B	0.3771	50	1
5_MACS_peak_6448_lociStitched	chr12	92928709	92964792	5	30273	102067.9821	6505.7649	51			CLLU1OS	CLLU1OS	0.33039999999999997	51	1
5_MACS_peak_25298_lociStitched	chr8	27208527	27253535	5	32138	82616.6848	8781.0608	52	PTK2B	TRIM35	PTK2B	PTK2B	0.7147	52	1
1_MACS_peak_2860_lociStitched	chr10	11201598	11224567	1	22970	144987.2187	6621.9627	53	CELF2		CELF2	CELF2	0.6293	53	1
2_MACS_peak_22843_lociStitched	chr6	88611492	88640800	2	28362	110195.1492	5650.5824	54			SPACA1	SPACA1	NONE	54	1
2_MACS_peak_16759_lociStitched	chr22	24177245	24200900	2	17795	161033.778	4816.158	55	SLC2A11,DERL3	SMARCB1,MIF	DERL3	DERL3	2.2714	55	1
3_MACS_peak_24521_lociStitched	chr7	102063347	102093408	3	24425	131540.9238	6021.2183	56	PRKRIP1,ORAI2	LRWD1,ALKBH4,POLR2J	ORAI2	ORAI2	2.218	56	1
2_MACS_peak_5376_lociStitched	chr11	128584820	128618983	2	28924	99995.101	7218.6419	57	FLI1		FLI1	FLI1	0.8778000000000001	57	1
2_MACS_peak_21049_lociStitched	chr5	88593560	88621344	2	26360	116790.044	5476.2264	58			MEF2C	MEF2C	0.6009	58	1
3_MACS_peak_1608_lociStitched	chr1	154907763	154935931	3	24041	132491.0048	8489.8352	59	PMVK,PBXIP1,PYGO2,SHC1	CKS1B,MIR4258,FLAD1,LENEP,ZBTB7B	PBXIP1	PBXIP1	3.5488	59	1
1_MACS_peak_4853_lociStitched	chr11	72850754	72871370	1	20617	143219.352	4312.8672	60	FCHSD2		FCHSD2	FCHSD2	0.0889	60	1
4_MACS_peak_15839_lociStitched	chr20	32442348	32474824	4	26286	114516.8712	6037.2884	61		CHMP4B	CHMP4B	CHMP4B	1.7635999999999998	61	1
2_MACS_peak_23506_lociStitched	chr6	157975336	158007583	2	27462	101900.52	3098.9367	62	ZDHHC14	MIR3692	MIR3692	NONE	NONE	62	1
3_MACS_peak_16145_lociStitched	chr20	52336465	52372304	3	26400	111989.7072	5874.0121	63			SUMO1P1	SUMO1P1	2.59	63	1
2_MACS_peak_4310_lociStitched	chr11	22676416	22704591	2	24570	121538.4975	4995.4275	64	GAS2	FANCF	GAS2	GAS2	0.7293000000000001	64	1
4_MACS_peak_14154_lociStitched	chr2	87782243	87822000	4	30610	68533.1166	6194.1406	65	NCRNA00152		NCRNA00152	NCRNA00152	1.0986	65	1
2_MACS_peak_4190_lociStitched	chr11	10314301	10345209	2	25018	117264.952	6753.398	66	ADM,SBF2		ADM	ADM	5.0296	66	1
2_MACS_peak_296_lociStitched	chr1	24511606	24534216	2	20938	136808.588	4904.109	67	LOC284632,IL28RA	IL22RA1	LOC284632	LOC284632	2.3593	67	1
4_MACS_peak_6624_lociStitched	chr12	109008901	109036304	4	22104	132512.6871	6332.8333	68	SELPLG	TMEM119	SELPLG	SELPLG	5.4026	68	1
2_MACS_peak_8824_lociStitched	chr15	68568484	68599553	2	29727	73155.0674	6459.2451	69	FEM1B,ITGA11	CLN6	FEM1B	FEM1B	1.7641	69	1
2_MACS_peak_2842_lociStitched	chr10	7510510	7537768	2	25619	107205.714	4383.0864	70			SFMBT2	SFMBT2	NONE	70	1
4_MACS_peak_19672_lociStitched	chr4	84130457	84163971	4	25527	109299.2082	6019.1144	71		COQ2	COQ2	COQ2	0.3096	71	1
5_MACS_peak_25703_lociStitched	chr8	81046195	81084661	5	28673	83648.1636	6966.1926	72	TPD52		TPD52	TPD52	0.6654	72	1
4_MACS_peak_27060_lociStitched	chr9	123631264	123668362	4	27238	93201.3054	6013.5858	73	PHF19,TRAF1	LOC253039,PSMD5	PHF19	PHF19	1.0389	73	1
1_MACS_peak_22966_lociStitched	chr6	106530434	106556535	1	26102	102122.7726	6112.8542	74	PRDM1		PRDM1	PRDM1	2.8752	74	1
4_MACS_peak_16943_lociStitched	chr22	37608969	37642465	4	25975	101727.352	6739.3952	75	RAC2	CYTH4,C1QTNF6,SSTR3	RAC2	RAC2	1.8449	75	1
3_MACS_peak_20344_lociStitched	chr4	185317278	185350293	3	26744	92240.6085	5837.052	76	IRF2		IRF2	IRF2	2.1370999999999998	76	1
4_MACS_peak_11792_lociStitched	chr18	23739157	23772150	4	25840	96702.483	5427.3485	77	PSMA8	TAF4B	PSMA8	PSMA8	1.3018	77	1
4_MACS_peak_23860_lociStitched	chr7	25979979	26012452	4	21430	123936.4518	6078.9456	78	MIR148A		MIR148A	MIR148A	2.6023	78	1
3_MACS_peak_9605_lociStitched	chr16	23333965	23366510	3	22567	116950.4575	5701.884	79	SCNN1B		SCNN1B	SCNN1B	1.7569	79	1
4_MACS_peak_12284_lociStitched	chr19	2594252	2629211	4	22260	121150.4145	8634.873	80	GNG7		GNG7	GNG7	0.618	80	1
5_MACS_peak_1394_lociStitched	chr1	145128025	145175093	5	29595	59983.4592	15828.9684	81		SEC22B,NOTCH2NL	SEC22B	NOTCH2NL	0.13200000000000006	81	1
1_MACS_peak_24141_lociStitched	chr7	55615629	55643922	1	28294	62895.339	5675.5758	82	VOPP1		VOPP1	VOPP1	1.7916	82	1
3_MACS_peak_3152_lociStitched	chr10	45913216	45936518	3	22058	113979.4028	4404.078	83	ALOX5		ALOX5	ALOX5	1.3628	83	1
4_MACS_peak_15835_lociStitched	chr20	32398429	32436211	4	27020	79655.7906	7665.9678	84	CHMP4B		CHMP4B	CHMP4B	1.7635999999999998	84	1
3_MACS_peak_13430_lociStitched	chr2	20397435	20426588	3	23757	102933.4124	5387.4744	85	SDC1		SDC1	SDC1	2.8329999999999997	85	1
2_MACS_peak_15046_lociStitched	chr2	197023156	197049767	2	26187	83305.7355	5465.8994	86	STK17B		STK17B	STK17B	0.8320000000000001	86	1
4_MACS_peak_11483_lociStitched	chr17	76116356	76152815	4	26442	78580.0827	6117.8202	87	TMC8,C17orf99,TMC6	SYNGR2,AFMID,TK1	TMC6	SYNGR2	1.5024	87	1
2_MACS_peak_434_lociStitched	chr1	31213529	31235915	2	22048	110613.7032	5365.9242	88	LAPTM5	LOC100129196,MATN1	LAPTM5	LAPTM5	2.985	88	1
3_MACS_peak_13903_lociStitched	chr2	65155552	65179026	3	21102	114201.01	5622.023	89	LOC400958	SLC1A4	LOC400958	LOC400958	2.0167	89	1
1_MACS_peak_16514_lociStitched	chr21	41323540	41345285	1	21746	111886.723	7030.1585	90			PCP4	PCP4	0.4347	90	1
1_MACS_peak_4296_lociStitched	chr11	19449404	19468900	1	19497	120851.8048	4807.7136	91	NAV2		FLJ13439	FLJ13439	NONE	91	1
6_MACS_peak_1974_lociStitched	chr1	181095150	181131043	6	24626	92571.6363	8958.8928	92		IER5	IER5	IER5	0.8418	92	1
1_MACS_peak_4683_lociStitched	chr11	65183195	65199958	1	16764	131234.1744	4720.4608	93	NEAT1	FRMD8,MIR612,SLC25A45	NEAT1	NEAT1	7.8086	93	1
3_MACS_peak_15941_lociStitched	chr20	37486638	37511809	3	17721	127324.9864	4719.5625	94	PPP1R16B	FAM83D	FAM83D	FAM83D	0.0058	94	1
3_MACS_peak_17253_lociStitched	chr3	5222078	5256623	3	26651	69311.088	6563.55	95	ARL8B,EDEM1		EDEM1	EDEM1	1.2881	95	1
7_MACS_peak_10109_lociStitched	chr16	78768953	78805060	7	28771	28073.1925	3924.8309	96	WWOX		WWOX	WWOX	0.027700000000000002	96	1
3_MACS_peak_6065_lociStitched	chr12	53845682	53874650	3	28309	36082.5408	6497.5224	97	PCBP2,MAP3K12	AMHR2,PRR13,TARBP2,NPFF	PCBP2	PCBP2	0.7579	97	1
2_MACS_peak_2219_lociStitched	chr1	204474269	204495399	2	21002	110818.398	6341.113	98	MDM4	PIK3C2B	MDM4	MDM4	1.8443	98	1
2_MACS_peak_17637_lociStitched	chr3	46128979	46154420	2	24447	85161.2034	4815.9813	99			XCR1	XCR1	NONE	99	1
3_MACS_peak_11183_lociStitched	chr17	56404514	56430925	3	19665	117169.7604	6296.3824	100	BZRAP1,MIR142,SUPT4H1	MPO	MIR142	MIR142	4.8448	100	1
4_MACS_peak_15049_lociStitched	chr2	197074484	197108043	4	25999	69641.6368	5191.5773	101	HECW2	STK17B	STK17B	STK17B	0.8320000000000001	101	1
4_MACS_peak_16156_lociStitched	chr20	52530339	52567216	4	25469	75409.7773	5856.0676	102	BCAS1	SUMO1P1	SUMO1P1	SUMO1P1	2.59	102	1
2_MACS_peak_2866_lociStitched	chr10	11281832	11313179	2	26015	67825.5039	6191.0325	103	CELF2		CELF2	CELF2	0.6293	103	1
2_MACS_peak_8905_lociStitched	chr15	75062956	75093015	2	25138	76957.0518	5960.6997	104	CSK	CYP1A2,LMAN1L,CPLX3,CYP1A1,ULK3	CSK	CSK	1.9241	104	1
5_MACS_peak_16581_lociStitched	chr21	45552484	45581507	5	21021	108537.3131	7618.5375	105	C21orf33	PWP2	C21orf33	C21orf33	1.239	105	1
2_MACS_peak_5951_lociStitched	chr12	48195849	48220599	2	22952	92250.675	4450.05	106	HDAC7	SLC48A1,RAPGEF3	HDAC7	HDAC7	1.8417	106	1
4_MACS_peak_24376_lociStitched	chr7	90329502	90368301	4	24778	79995.7782	7367.9301	107	CDK14		CDK14	CDK14	0.1417	107	1
4_MACS_peak_9239_lociStitched	chr15	101661049	101693367	4	24537	79469.962	5910.9622	108			CHSY1	CHSY1	NONE	108	1
2_MACS_peak_17641_lociStitched	chr3	46244069	46265563	2	18517	116884.372	4962.9646	109	CCR1	CCR3	CCR1	CCR1	4.9540999999999995	109	1
3_MACS_peak_24551_lociStitched	chr7	104575714	104606178	3	24040	80891.0592	5175.8336	110		MLL5,LOC723809,LOC100216545	LOC723809	LOC100216545	3.9842999999999997	110	1
2_MACS_peak_16137_lociStitched	chr20	52192153	52216626	2	24282	73653.9408	4622.9497	111	ZNF217		ZNF217	ZNF217	1.0441	111	1
4_MACS_peak_2008_lociStitched	chr1	183856325	183886039	4	22744	89311.3698	7006.5612	112	RGL1		GLT25D2	GLT25D2	NONE	112	1
5_MACS_peak_22868_lociStitched	chr6	90056064	90086275	5	24306	74430.8407	5758.2166	113	UBE2J1,RRAGD	GABRR2	UBE2J1	UBE2J1	1.2649	113	1
1_MACS_peak_14921_lociStitched	chr2	182166655	182181709	1	15055	125252.2908	3343.4934	114			ITGA4	ITGA4	NONE	114	1
1_MACS_peak_10749_lociStitched	chr17	34408658	34432983	1	24326	73546.6375	5120.4125	115	CCL4,CCL3	CCL18	CCL3	CCL3	2.7065	115	1
2_MACS_peak_6048_lociStitched	chr12	53583702	53604995	2	20843	100053.6777	5318.9914	116	ZNF740,ITGB7,RARG	MFSD5,CSAD	ITGB7	ITGB7	3.6719999999999997	116	1
3_MACS_peak_6811_lociStitched	chr12	123354984	123387453	3	25863	51239.3289	3457.9485	117	VPS37B	HIP1R	VPS37B	VPS37B	1.0788	117	1
1_MACS_peak_22181_lociStitched	chr6	25401507	25416554	1	15048	124662.8903	4038.6148	118	LRRC16A		LRRC16A	LRRC16A	0.5475	118	1
3_MACS_peak_18723_lociStitched	chr3	175049827	175074790	3	24219	72592.404	6083.4831	119	NAALADL2		NAALADL2	NAALADL2	0.18260000000000004	119	1
1_MACS_peak_9942_lociStitched	chr16	66548817	66562283	1	13467	125423.6706	3218.374	120	TK2	CKLF,CMTM1	TK2	TK2	2.8615000000000004	120	1
2_MACS_peak_8445_lociStitched	chr15	40386084	40409199	2	18868	103934.286	5272.5315	121	BMF	BUB1B	BMF	BMF	3.448	121	1
2_MACS_peak_1507_lociStitched	chr1	150532134	150553468	2	16929	115000.927	7313.2952	122	ADAMTSL4,MCL1	MIR4257,ENSA	MCL1	MCL1	1.0657	122	1
1_MACS_peak_19357_lociStitched	chr4	40190733	40209975	1	19243	101080.1502	5052.9492	123	RHOH		RHOH	RHOH	1.5357	123	1
4_MACS_peak_8440_lociStitched	chr15	40329895	40358954	4	22916	73841.8249	5053.3601	124	SRP14	BMF	SRP14	BMF	3.448	124	1
4_MACS_peak_13740_lociStitched	chr2	47522623	47551076	4	21920	82044.2255	5124.3853	125		EPCAM	EPCAM	NONE	NONE	125	1
3_MACS_peak_17023_lociStitched	chr22	39823147	39847197	3	19344	98119.19	4430.01	126	TAB1	MGAT3	MGAT3	MGAT3	0.49860000000000004	126	1
3_MACS_peak_3830_lociStitched	chr10	112103421	112128795	3	15574	115263.9324	5074.8	127		SMNDC1	SMNDC1	SMNDC1	0.10929999999999998	127	1
2_MACS_peak_8411_lociStitched	chr15	38360734	38381748	2	19318	94798.3568	3849.7648	128			TMCO5A	TMCO5A	NONE	128	1
5_MACS_peak_21185_lociStitched	chr5	109247639	109282937	5	24073	55852.0254	5901.8256	129		LOC100289673	LOC100289673	LOC100289673	0.0011000000000000038	129	1
5_MACS_peak_7998_lociStitched	chr14	81930555	81956896	5	23129	61522.0396	2613.0272	130	SEL1L		SEL1L	SEL1L	0.8412	130	1
4_MACS_peak_17318_lociStitched	chr3	13035258	13061955	4	19763	91002.0639	5715.8277	131	IQSEC1	IQSEC1	IQSEC1	IQSEC1	0.4622	131	1
3_MACS_peak_9484_lociStitched	chr16	12052049	12072318	3	15652	110093.1004	4252.4362	132	TNFRSF17,RUNDC2A	GSPT1	TNFRSF17	TNFRSF17	7.765699999999999	132	1
2_MACS_peak_16014_lociStitched	chr20	43672478	43694812	2	22075	69894.253	4205.4922	133	STK4	KCNS1,WFDC5	KCNS1	KCNS1	0.1346	133	1
4_MACS_peak_13655_lociStitched	chr2	42342932	42369567	4	21140	78493.345	4820.935	134		EML4	EML4	EML4	0.026899999999999993	134	1
2_MACS_peak_18030_lociStitched	chr3	98472681	98498590	2	21428	75498.826	5184.3909	135	ST3GAL6		ST3GAL6	ST3GAL6	1.3178999999999998	135	1
2_MACS_peak_12259_lociStitched	chr19	2081307	2098533	2	16237	107398.9422	5729.3676	136	IZUMO4,MOBKL2A	MKNK2	MOBKL2A	MOBKL2A	2.9071	136	1
1_MACS_peak_5634_lociStitched	chr12	12865855	12882003	1	16149	105362.4704	3738.262	137	CDKN1B,APOLD1	MIR613,GPR19	CDKN1B	CDKN1B	6.7192	137	1
3_MACS_peak_14216_lociStitched	chr2	97189700	97220672	3	21315	76163.2452	6048.8316	138	ARID5A	NEURL3	ARID5A	ARID5A	1.5164	138	1
2_MACS_peak_1666_lociStitched	chr1	156115281	156136595	2	19467	89932.2916	6221.5566	139	SEMA4A	LMNA,SLC25A44,PMF1	SEMA4A	SEMA4A	2.2157	139	1
7_MACS_peak_8118_lociStitched	chr14	95945662	95986292	7	24190	37984.987	3469.802	140		GLRX5,C14orf49,SCARNA13,SNHG10	C14orf49	C14orf49	0.2856	140	1
4_MACS_peak_12597_lociStitched	chr19	16244035	16272803	4	22449	64164.1472	5422.768	141	RAB8A,HSH2D,CIB3	FAM32A,AP1M1	HSH2D	HSH2D	1.7055	141	1
2_MACS_peak_20591_lociStitched	chr5	32570418	32593186	2	21305	73615.7744	4280.384	142	SUB1		SUB1	SUB1	1.5559	142	1
2_MACS_peak_21051_lociStitched	chr5	88633708	88652722	2	18372	89865.8682	3947.3064	143			MEF2C	MEF2C	0.6009	143	1
2_MACS_peak_16142_lociStitched	chr20	52257659	52280605	2	17451	94351.6574	4245.01	144			ZNF217	ZNF217	1.0441	144	1
3_MACS_peak_11369_lociStitched	chr17	72732711	72757664	3	22950	48061.9733	4578.8755	145	RAB37,SLC9A3R1,MIR3615	TMEM104,CD300LF,NAT9	SLC9A3R1	SLC9A3R1	0.7253	145	1
4_MACS_peak_15983_lociStitched	chr20	42564432	42593920	4	22580	53379.1776	5139.7584	146	TOX2		TOX2	TOX2	0.6738	146	1
4_MACS_peak_1743_lociStitched	chr1	160632838	160655505	4	16892	98046.1085	5843.5526	147	CD48	SLAMF1	SLAMF1	SLAMF1	0.34020000000000006	147	1
4_MACS_peak_28143_lociStitched	chrX	128892640	128921848	4	22404	51531.6744	2920.8	148	XPNPEP2,SASH3		SASH3	SASH3	0.9498	148	1
4_MACS_peak_18254_lociStitched	chr3	124487137	124513160	4	22374	53034.874	4272.9766	149	ITGB5	UMPS	UMPS	UMPS	0.0012000000000000066	149	1
5_MACS_peak_8251_lociStitched	chr15	21975947	22004842	5	23433	36367.247	4458.4985	150		LOC646214,CXADRP2	CXADRP2	LOC646214	0.07750000000000001	150	1
3_MACS_peak_22178_lociStitched	chr6	25365495	25390651	3	21376	63350.3548	5388.4152	151	LRRC16A		LRRC16A	LRRC16A	0.5475	151	1
2_MACS_peak_1589_lociStitched	chr1	154374554	154395245	2	18623	86004.2106	6107.9832	152	IL6R		IL6R	IL6R	1.0852000000000002	152	1
3_MACS_peak_1654_lociStitched	chr1	155938003	155962445	3	20280	73871.0566	6318.257	153	ARHGEF2	RXFP4,SNORA42,SCARNA4,KIAA0907,SSR2	ARHGEF2	ARHGEF2	2.0114	153	1
2_MACS_peak_9019_lociStitched	chr15	81574993	81596703	2	18542	84655.974	4765.345	154	IL16	STARD5	IL16	STARD5	0.9215	154	1
3_MACS_peak_8917_lociStitched	chr15	75315406	75342283	3	19407	76473.1281	4724.9766	155	PPCDC	SCAMP5	PPCDC	PPCDC	1.965	155	1
2_MACS_peak_26956_lociStitched	chr9	112665415	112684512	2	19088	77745.7967	3802.2127	156	PALM2,PALM2-AKAP2		PALM2	PALM2	0.3983	156	1
2_MACS_peak_15277_lociStitched	chr2	219741146	219763474	2	19766	72905.3856	4186.5	157	WNT10A	WNT6,PRKAG3	WNT10A	WNT10A	2.9395	157	1
2_MACS_peak_1679_lociStitched	chr1	156450303	156476403	2	21452	59575.86	6903.45	158	MEF2D		MEF2D	MEF2D	1.0633000000000001	158	1
4_MACS_peak_13872_lociStitched	chr2	64429801	64456547	4	21548	55776.1084	4453.209	159	LOC150992		LOC150992	LOC150992	0.5723	159	1
4_MACS_peak_8243_lociStitched	chr15	20968851	20997392	4	22729	37656.9954	4215.5057	160		BCL8	BCL8	NONE	NONE	160	1
3_MACS_peak_2236_lociStitched	chr1	205242159	205259702	3	16617	93788.3866	5345.3521	161	TMCC2	NUAK2	NUAK2	NUAK2	0.7849999999999999	161	1
2_MACS_peak_11454_lociStitched	chr17	75128750	75147142	2	18197	82837.568	3921.1744	162	SEC14L1	C17orf86,SCARNA16,SEC14L1	SEC14L1	SCARNA16	2.3462	162	1
1_MACS_peak_15112_lociStitched	chr2	201979770	201994958	1	15189	97090.8088	3743.842	163	CFLAR	NDUFB3,FAM126B	CFLAR	CFLAR	1.6652999999999998	163	1
4_MACS_peak_25997_lociStitched	chr8	126285095	126316510	4	22481	37556.6325	5541.606	164	NSMCE2		TRIB1	TRIB1	NONE	164	1
