REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X09_0EWV_0229Kronos_MM1S.KB.24hr.1_H3K18Ac_hs.dm_i17.bam	X43_0EXV_0229Kronos_MM1S.KB.24hr.1_Input_hs_i87.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isSuper
5_MACS_peak_6448_lociStitched	chr12	92928709	92964792	5	30273	102067.9821	6505.7649	90			CLLU1OS	CLLU1OS	0.33039999999999997	90	1
4_MACS_peak_16943_lociStitched	chr22	37608969	37642465	4	25975	101727.352	6739.3952	91	RAC2	CYTH4,C1QTNF6,SSTR3	RAC2	RAC2	1.8449	91	1
2_MACS_peak_6048_lociStitched	chr12	53583702	53604995	2	20843	100053.6777	5318.9914	92	ZNF740,ITGB7,RARG	MFSD5,CSAD	ITGB7	ITGB7	3.6719999999999997	92	1
1_MACS_peak_3839_lociStitched	chr10	112214378	112226925	1	12548	97413.6533	2796.7263	93		DUSP5	DUSP5	DUSP5	1.5568	93	1
1_MACS_peak_11258_lociStitched	chr17	62148982	62187457	1	38476	101885.6475	7948.935	94	ERN1	SNORD104,SNORA76	ERN1	ERN1	1.4005	94	1
3_MACS_peak_17023_lociStitched	chr22	39823147	39847197	3	19344	98119.19	4430.01	95	TAB1	MGAT3	MGAT3	MGAT3	0.49860000000000004	95	1
1_MACS_peak_20343_lociStitched	chr4	185300298	185308960	1	8663	96262.5384	2584.7408	96	IRF2		IRF2	IRF2	2.1370999999999998	96	1
7_MACS_peak_2065_lociStitched	chr1	192475739	192521191	7	34990	104716.8628	11158.466	97		RGS1	RGS1	RGS1	2.0749999999999997	97	1
1_MACS_peak_15112_lociStitched	chr2	201979770	201994958	1	15189	97090.8088	3743.842	98	CFLAR	NDUFB3,FAM126B	CFLAR	CFLAR	1.6652999999999998	98	1
2_MACS_peak_5376_lociStitched	chr11	128584820	128618983	2	28924	99995.101	7218.6419	99	FLI1		FLI1	FLI1	0.8778000000000001	99	1
1_MACS_peak_14119_lociStitched	chr2	86218540	86230839	1	12300	95161.0527	2441.3515	100		LOC90784	LOC90784	LOC90784	0.0818	100	1
4_MACS_peak_1743_lociStitched	chr1	160632838	160655505	4	16892	98046.1085	5843.5526	101	CD48	SLAMF1	SLAMF1	SLAMF1	0.34020000000000006	101	1
6_MACS_peak_8339_lociStitched	chr15	31616428	31660736	6	36104	99307.5204	7935.5628	102	KLF13		KLF13	KLF13	1.5056	102	1
4_MACS_peak_11792_lociStitched	chr18	23739157	23772150	4	25840	96702.483	5427.3485	103	PSMA8	TAF4B	PSMA8	PSMA8	1.3018	103	1
2_MACS_peak_8411_lociStitched	chr15	38360734	38381748	2	19318	94798.3568	3849.7648	104			TMCO5A	TMCO5A	NONE	104	1
1_MACS_peak_2325_lociStitched	chr1	209273505	209286207	1	12703	94114.1988	3625.1508	105			LOC642587	LOC642587	NONE	105	1
2_MACS_peak_16142_lociStitched	chr20	52257659	52280605	2	17451	94351.6574	4245.01	106			ZNF217	ZNF217	1.0441	106	1
1_MACS_peak_22052_lociStitched	chr6	11826716	11838571	1	11856	91786.152	2583.2045	107		C6orf105	C6orf105	C6orf105	0.5745	107	1
3_MACS_peak_2236_lociStitched	chr1	205242159	205259702	3	16617	93788.3866	5345.3521	108	TMCC2	NUAK2	NUAK2	NUAK2	0.7849999999999999	108	1
5_MACS_peak_14372_lociStitched	chr2	112185909	112242286	5	42874	97188.3103	9020.32	109	LOC541471		LOC541471	LOC541471	0.7798	109	1
2_MACS_peak_5951_lociStitched	chr12	48195849	48220599	2	22952	92250.675	4450.05	110	HDAC7	SLC48A1,RAPGEF3	HDAC7	HDAC7	1.8417	110	1
2_MACS_peak_6443_lociStitched	chr12	92851291	92867112	2	15160	90477.1348	3289.1859	111		CLLU1,CLLU1OS	CLLU1OS	CLLU1	0.4792	111	1
4_MACS_peak_27060_lociStitched	chr9	123631264	123668362	4	27238	93201.3054	6013.5858	112	PHF19,TRAF1	LOC253039,PSMD5	PHF19	PHF19	1.0389	112	1
1_MACS_peak_13654_lociStitched	chr2	42322848	42336763	1	13916	90390.4485	3620.683	113		PKDCC	PKDCC	PKDCC	0.002600000000000005	113	1
3_MACS_peak_20344_lociStitched	chr4	185317278	185350293	3	26744	92240.6085	5837.052	114	IRF2		IRF2	IRF2	2.1370999999999998	114	1
2_MACS_peak_21051_lociStitched	chr5	88633708	88652722	2	18372	89865.8682	3947.3064	115			MEF2C	MEF2C	0.6009	115	1
6_MACS_peak_22622_lociStitched	chr6	52392395	52443089	6	39524	95669.7168	9941.0934	116	TRAM2		TRAM2	TRAM2	1.3077999999999999	116	1
4_MACS_peak_17318_lociStitched	chr3	13035258	13061955	4	19763	91002.0639	5715.8277	117	IQSEC1	IQSEC1	IQSEC1	IQSEC1	0.4622	117	1
2_MACS_peak_8337_lociStitched	chr15	31546226	31562950	2	15062	88352.892	3344.8	118			KLF13	KLF13	1.5056	118	1
2_MACS_peak_1666_lociStitched	chr1	156115281	156136595	2	19467	89932.2916	6221.5566	119	SEMA4A	LMNA,SLC25A44,PMF1	SEMA4A	SEMA4A	2.2157	119	1
6_MACS_peak_1974_lociStitched	chr1	181095150	181131043	6	24626	92571.6363	8958.8928	120		IER5	IER5	IER5	0.8418	120	1
5_MACS_peak_17649_lociStitched	chr3	46388381	46440055	5	38236	91034.0858	8304.0118	121	CCR2,CCR5	CCRL2	CCR5	CCR5	1.0519	121	1
2_MACS_peak_18664_lociStitched	chr3	169647377	169668584	2	16968	87873.3252	5399.3022	122	SAMD7,LOC100128164	SEC62	LOC100128164	LOC100128164	2.7791	122	1
4_MACS_peak_2008_lociStitched	chr1	183856325	183886039	4	22744	89311.3698	7006.5612	123	RGL1		GLT25D2	GLT25D2	NONE	123	1
3_MACS_peak_2835_lociStitched	chr10	6953826	6973695	3	12278	85011.5034	3922.1406	124			LOC439949	LOC439949	NONE	124	1
3_MACS_peak_6435_lociStitched	chr12	92753358	92770931	3	15338	84512.0716	3602.465	125		CLLU1	CLLU1	CLLU1	0.4792	125	1
4_MACS_peak_11926_lociStitched	chr18	46439414	46483268	4	40736	89041.1616	8577.8424	126	SMAD7		SMAD7	SMAD7	1.8876	126	1
2_MACS_peak_17637_lociStitched	chr3	46128979	46154420	2	24447	85161.2034	4815.9813	127			XCR1	XCR1	NONE	127	1
1_MACS_peak_24324_lociStitched	chr7	78112826	78128666	1	15841	83985.264	3784.176	128	MAGI2		RPL13AP17	RPL13AP17	NONE	128	1
2_MACS_peak_1589_lociStitched	chr1	154374554	154395245	2	18623	86004.2106	6107.9832	129	IL6R		IL6R	IL6R	1.0852000000000002	129	1
2_MACS_peak_9019_lociStitched	chr15	81574993	81596703	2	18542	84655.974	4765.345	130	IL16	STARD5	IL16	STARD5	0.9215	130	1
1_MACS_peak_12805_lociStitched	chr19	35693754	35708411	1	14658	82768.079	3461.9834	131		FXYD5,LSR,FAM187B	FAM187B	LSR	0.6042	131	1
2_MACS_peak_11454_lociStitched	chr17	75128750	75147142	2	18197	82837.568	3921.1744	132	SEC14L1	C17orf86,SCARNA16,SEC14L1	SEC14L1	SCARNA16	2.3462	132	1
2_MACS_peak_15046_lociStitched	chr2	197023156	197049767	2	26187	83305.7355	5465.8994	133	STK17B		STK17B	STK17B	0.8320000000000001	133	1
1_MACS_peak_7453_lociStitched	chr13	114556011	114568292	1	12282	80558.4476	3392.0122	134	GAS6	FLJ44054,GAS6	GAS6	GAS6	1.5051	134	1
2_MACS_peak_18716_lociStitched	chr3	174863596	174873836	2	10237	80290.816	3218.432	135	NAALADL2		NAALADL2	NAALADL2	0.18260000000000004	135	1
4_MACS_peak_13740_lociStitched	chr2	47522623	47551076	4	21920	82044.2255	5124.3853	136		EPCAM	EPCAM	NONE	NONE	136	1
3_MACS_peak_17660_lociStitched	chr3	46577259	46592049	3	13914	79607.175	2734.671	137	LRRC2	RTP3,TDGF1	LRRC2	LRRC2	1.3801999999999999	137	1
5_MACS_peak_25703_lociStitched	chr8	81046195	81084661	5	28673	83648.1636	6966.1926	138	TPD52		TPD52	TPD52	0.6654	138	1
1_MACS_peak_21043_lociStitched	chr5	88170977	88187241	1	16265	80645.044	4309.96	139	MEF2C		MEF2C	MEF2C	0.6009	139	1
3_MACS_peak_24551_lociStitched	chr7	104575714	104606178	3	24040	80891.0592	5175.8336	140		MLL5,LOC723809,LOC100216545	LOC723809	LOC100216545	3.9842999999999997	140	1
2_MACS_peak_26956_lociStitched	chr9	112665415	112684512	2	19088	77745.7967	3802.2127	141	PALM2,PALM2-AKAP2		PALM2	PALM2	0.3983	141	1
2_MACS_peak_24848_lociStitched	chr7	136031548	136048441	2	15703	78386.8986	4520.5668	142			LUZP6	LUZP6	NONE	142	1
5_MACS_peak_25298_lociStitched	chr8	27208527	27253535	5	32138	82616.6848	8781.0608	143	PTK2B	TRIM35	PTK2B	PTK2B	0.7147	143	1
4_MACS_peak_13655_lociStitched	chr2	42342932	42369567	4	21140	78493.345	4820.935	144		EML4	EML4	EML4	0.026899999999999993	144	1
4_MACS_peak_9239_lociStitched	chr15	101661049	101693367	4	24537	79469.962	5910.9622	145			CHSY1	CHSY1	0.42640000000000006	145	1
2_MACS_peak_8675_lociStitched	chr15	56644649	56667542	2	17377	77181.4602	4386.2988	146	TEX9		TEX9	TEX9	0.7203999999999999	146	1
3_MACS_peak_2290_lociStitched	chr1	207084744	207107251	3	13472	78436.895	5777.5469	147	FAIM3,PIGR	IL20,IL24,FCAMR	FAIM3	FAIM3	2.2607	147	1
4_MACS_peak_24376_lociStitched	chr7	90329502	90368301	4	24778	79995.7782	7367.9301	148	CDK14		CDK14	CDK14	0.1417	148	1
4_MACS_peak_11483_lociStitched	chr17	76116356	76152815	4	26442	78580.0827	6117.8202	149	TMC8,C17orf99,TMC6	SYNGR2,AFMID,TK1	TMC6	SYNGR2	1.5024	149	1
4_MACS_peak_15835_lociStitched	chr20	32398429	32436211	4	27020	79655.7906	7665.9678	150	CHMP4B		CHMP4B	CHMP4B	1.7635999999999998	150	1
1_MACS_peak_7461_lociStitched	chr13	114828596	114835169	1	6574	73453.275	1648.5084	151	RASA3		RASA3	RASA3	0.8582	151	1
3_MACS_peak_8917_lociStitched	chr15	75315406	75342283	3	19407	76473.1281	4724.9766	152	PPCDC	SCAMP5	PPCDC	PPCDC	1.965	152	1
2_MACS_peak_8905_lociStitched	chr15	75062956	75093015	2	25138	76957.0518	5960.6997	153	CSK	CYP1A2,LMAN1L,CPLX3,CYP1A1,ULK3	CSK	CSK	1.9241	153	1
2_MACS_peak_9610_lociStitched	chr16	23402354	23419525	2	15384	73696.2149	2936.241	154	COG7		COG7	COG7	1.0587	154	1
1_MACS_peak_21801_lociStitched	chr5	173696066	173710630	1	14565	73532.1796	3110.8704	155			HMP19	HMP19	NONE	155	1
2_MACS_peak_18030_lociStitched	chr3	98472681	98498590	2	21428	75498.826	5184.3909	156	ST3GAL6		ST3GAL6	ST3GAL6	1.3178999999999998	156	1
3_MACS_peak_14216_lociStitched	chr2	97189700	97220672	3	21315	76163.2452	6048.8316	157	ARID5A	NEURL3	ARID5A	ARID5A	1.5164	157	1
3_MACS_peak_13569_lociStitched	chr2	33699402	33724865	3	17264	74851.0348	4797.2292	158	RASGRP3	RASGRP3	RASGRP3	RASGRP3	0.5753	158	1
2_MACS_peak_12875_lociStitched	chr19	39880731	39904201	2	18704	74545.414	4632.978	159	MED29,ZFP36,PLEKHG2,PAF1	SAMD4B,SUPT5H,RPS16	ZFP36	ZFP36	4.3584000000000005	159	1
1_MACS_peak_19329_lociStitched	chr4	38306885	38322940	1	16056	73324.7905	3532.1	160			KLF3	KLF3	NONE	160	1
3_MACS_peak_18918_lociStitched	chr3	186703087	186720738	3	15366	75186.1996	5522.9979	161	ST6GAL1	ST6GAL1	ST6GAL1	ST6GAL1	0.8424999999999999	161	1
1_MACS_peak_9874_lociStitched	chr16	56942621	56954663	1	12043	72267.6546	2632.3812	162	SLC12A3	HERPUD1,CETP	HERPUD1	HERPUD1	2.3157	162	1
4_MACS_peak_16156_lociStitched	chr20	52530339	52567216	4	25469	75409.7773	5856.0676	163	BCAS1	SUMO1P1	SUMO1P1	SUMO1P1	2.59	163	1
1_MACS_peak_13670_lociStitched	chr2	43443341	43457094	1	13754	72765.7477	3302.0953	164	LOC100129726,ZFP36L2		ZFP36L2	ZFP36L2	4.8353	164	1
2_MACS_peak_20591_lociStitched	chr5	32570418	32593186	2	21305	73615.7744	4280.384	165	SUB1		SUB1	SUB1	1.5559	165	1
1_MACS_peak_14121_lociStitched	chr2	86260274	86268059	1	7786	71020.998	1953.2565	166	POLR1A	LOC90784	LOC90784	LOC90784	0.0818	166	1
