REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X09_0EWV_0229Kronos_MM1S.KB.24hr.1_H3K18Ac_hs.dm_i17.bam	X43_0EXV_0229Kronos_MM1S.KB.24hr.1_Input_hs_i87.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isStretch
2_MACS_peak_20533_lociStitched	chr5	15426148	15450666	2	19855	58723.0618	3697.3144	147		FBXL7	FBXL7	147	1
5_MACS_peak_9113_lociStitched	chr15	89646444	89675277	5	19831	65742.1233	5328.3384	148	ABHD2		ABHD2	148	1
2_MACS_peak_15277_lociStitched	chr2	219741146	219763474	2	19766	72905.3856	4186.5	149	WNT10A	WNT6,PRKAG3	WNT10A	149	1
4_MACS_peak_17318_lociStitched	chr3	13035258	13061955	4	19763	91002.0639	5715.8277	150	IQSEC1	IQSEC1	IQSEC1	150	1
2_MACS_peak_21041_lociStitched	chr5	88110540	88130715	2	19699	44179.215	4646.3025	151	MEF2C		MEF2C	151	1
3_MACS_peak_11183_lociStitched	chr17	56404514	56430925	3	19665	117169.7604	6296.3824	152	BZRAP1,MIR142,SUPT4H1	MPO	MIR142	152	1
3_MACS_peak_3483_lociStitched	chr10	81000978	81020816	3	19631	46863.3074	3870.3938	153	ZMIZ1		PPIF	153	1
5_MACS_peak_22347_lociStitched	chr6	31773629	31805361	5	19604	34435.5664	5143.7572	154	HSPA1A,HSPA1B,C6orf48,SNORD48,SNORD52,LSM2,HSPA1L	C6orf26,C6orf27,VARS,NEU1,SLC44A4	HSPA1B	154	1
2_MACS_peak_7472_lociStitched	chr13	115023459	115048824	2	19571	56802.381	4527.6525	155	CDC16,UPF3A	ZNF828	UPF3A	155	1
1_MACS_peak_4296_lociStitched	chr11	19449404	19468900	1	19497	120851.8048	4807.7136	156	NAV2		FLJ13439	156	1
2_MACS_peak_1666_lociStitched	chr1	156115281	156136595	2	19467	89932.2916	6221.5566	157	SEMA4A	LMNA,SLC25A44,PMF1	SEMA4A	157	1
3_MACS_peak_8917_lociStitched	chr15	75315406	75342283	3	19407	76473.1281	4724.9766	158	PPCDC	SCAMP5	PPCDC	158	1
2_MACS_peak_3836_lociStitched	chr10	112167348	112186719	2	19370	53779.7073	3178.7811	159			DUSP5	159	1
3_MACS_peak_17023_lociStitched	chr22	39823147	39847197	3	19344	98119.19	4430.01	160	TAB1	MGAT3	MGAT3	160	1
2_MACS_peak_8411_lociStitched	chr15	38360734	38381748	2	19318	94798.3568	3849.7648	161			TMCO5A	161	1
2_MACS_peak_19548_lociStitched	chr4	74453638	74476029	2	19252	67146.1308	3790.7963	162	RASSF6		RASSF6	162	1
1_MACS_peak_19357_lociStitched	chr4	40190733	40209975	1	19243	101080.1502	5052.9492	163	RHOH		RHOH	163	1
2_MACS_peak_16807_lociStitched	chr22	29206549	29225890	2	19196	61806.0996	3719.2743	164		CCDC117,XBP1	XBP1	164	1
4_MACS_peak_5157_lociStitched	chr11	111230364	111251735	4	19149	48095.4355	4116.0546	165	POU2AF1		POU2AF1	165	1
5_MACS_peak_273_lociStitched	chr1	23936471	23964384	5	19109	42667.8118	4641.9319	166	MDS2		MDS2	166	1
2_MACS_peak_26956_lociStitched	chr9	112665415	112684512	2	19088	77745.7967	3802.2127	167	PALM2,PALM2-AKAP2		PALM2	167	1
3_MACS_peak_1111_lociStitched	chr1	93408637	93428873	3	19078	28184.7008	2102.5204	168	FAM69A		FAM69A	168	1
2_MACS_peak_8445_lociStitched	chr15	40386084	40409199	2	18868	103934.286	5272.5315	169	BMF	BUB1B	BMF	169	1
2_MACS_peak_11498_lociStitched	chr17	76710969	76733775	2	18768	42854.7546	4645.5822	170	CYTH1		CYTH1	170	1
3_MACS_peak_8274_lociStitched	chr15	23658672	23682984	3	18761	34676.2056	3559.2768	171			MKRN3	171	1
2_MACS_peak_6622_lociStitched	chr12	108953549	108972376	2	18738	46549.7575	4375.3948	172	ISCU,SART3	FICD,TMEM119	ISCU	172	1
2_MACS_peak_12875_lociStitched	chr19	39880731	39904201	2	18704	74545.414	4632.978	173	MED29,ZFP36,PLEKHG2,PAF1	SAMD4B,SUPT5H,RPS16	ZFP36	173	1
2_MACS_peak_1589_lociStitched	chr1	154374554	154395245	2	18623	86004.2106	6107.9832	174	IL6R		IL6R	174	1
2_MACS_peak_5612_lociStitched	chr12	11901439	11920369	2	18608	41799.333	3596.7	175	ETV6		ETV6	175	1
2_MACS_peak_9019_lociStitched	chr15	81574993	81596703	2	18542	84655.974	4765.345	176	IL16	STARD5	IL16	176	1
2_MACS_peak_17641_lociStitched	chr3	46244069	46265563	2	18517	116884.372	4962.9646	177	CCR1	CCR3	CCR1	177	1
4_MACS_peak_21605_lociStitched	chr5	150512625	150538196	4	18467	43145.9483	5142.3281	178	ANXA6		ANXA6	178	1
4_MACS_peak_21656_lociStitched	chr5	156339066	156370109	4	18398	46971.1633	5056.9047	179	LOC100286948,TIMD4		LOC100286948	179	1
2_MACS_peak_21051_lociStitched	chr5	88633708	88652722	2	18372	89865.8682	3947.3064	180			MEF2C	180	1
5_MACS_peak_23076_lociStitched	chr6	113946297	113974052	5	18348	60386.5535	4340.882	181			MARCKS	181	1
2_MACS_peak_23361_lociStitched	chr6	139631166	139650236	2	18341	71152.077	3310.552	182		TXLNB,CITED2	TXLNB	182	1
4_MACS_peak_17880_lociStitched	chr3	66530496	66552534	4	18329	26796.0042	3437.928	183	LRIG1		LRIG1	183	1
4_MACS_peak_27246_lociStitched	chr9	134126937	134153591	4	18228	53713.1408	4893.6744	184	FAM78A	PPAPDC3	FAM78A	184	1
2_MACS_peak_11454_lociStitched	chr17	75128750	75147142	2	18197	82837.568	3921.1744	185	SEC14L1	C17orf86,SCARNA16,SEC14L1	SEC14L1	185	1
6_MACS_peak_13979_lociStitched	chr2	70330993	70361172	6	18192	55094.7824	4904.0875	186	LOC100133985	PCBP1,LOC400960	LOC100133985	186	1
2_MACS_peak_2073_lociStitched	chr1	192560715	192579477	2	18181	33600.8658	4617.3282	187		RGS1,RGS13	RGS1	187	1
2_MACS_peak_13516_lociStitched	chr2	27374308	27393620	2	18100	59291.7024	3669.28	188	TCF23	ABHD1,C2orf28,CAD,CGREF1,PREB,C2orf53,SLC5A6	TCF23	188	1
4_MACS_peak_1482_lociStitched	chr1	149802808	149834908	4	18057	71958.57	8577.12	189	HIST2H4B,HIST2H2AA4,HIST2H3A,HIST2H2BC	FCGR1A,HIST2H2AC,BOLA1,HIST2H2BF,HIST2H3D,HIST2H2BE,HIST2H2AB	HIST2H2BC	189	1
4_MACS_peak_11879_lociStitched	chr18	42287591	42314310	4	17912	22505.4137	4018.5376	190	SETBP1		SETBP1	190	1
3_MACS_peak_25073_lociStitched	chr8	2027258	2050919	3	17859	72449.982	4741.6644	191	MYOM2		MYOM2	191	1
