#09_0EWV_0229Kronos_MM1S-KB-24hr-1_H3K18Ac_hs-dm_i17_peaks Enhancers
#Created from /data/projects/IRF4_mm_trn_data/p300_internal_ChIP/rose/09_0EWV_0229Kronos_MM1S-KB-24hr-1_H3K18Ac_hs-dm_i17_ROSE/09_0EWV_0229Kronos_MM1S-KB-24hr-1_H3K18Ac_hs-dm_i17_peaks_6KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by X09_0EWV_0229Kronos_MM1S.KB.24hr.1_H3K18Ac_hs.dm_i17.bam
#Using cutoff of 19777.978 for Super-Enhancers
#Created on Jul 18 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X09_0EWV_0229Kronos_MM1S.KB.24hr.1_H3K18Ac_hs.dm_i17.bam	X43_0EXV_0229Kronos_MM1S.KB.24hr.1_Input_hs_i87.bam	enhancerRank	isSuperStretch
4_MACS_peak_19672_lociStitched	chr4	84130457	84163971	4	25527	109299.2082	6019.1144	71	1
5_MACS_peak_25703_lociStitched	chr8	81046195	81084661	5	28673	83648.1636	6966.1926	72	1
4_MACS_peak_27060_lociStitched	chr9	123631264	123668362	4	27238	93201.3054	6013.5858	73	1
1_MACS_peak_22966_lociStitched	chr6	106530434	106556535	1	26102	102122.7726	6112.8542	74	1
4_MACS_peak_16943_lociStitched	chr22	37608969	37642465	4	25975	101727.352	6739.3952	75	1
3_MACS_peak_20344_lociStitched	chr4	185317278	185350293	3	26744	92240.6085	5837.052	76	1
4_MACS_peak_11792_lociStitched	chr18	23739157	23772150	4	25840	96702.483	5427.3485	77	1
4_MACS_peak_23860_lociStitched	chr7	25979979	26012452	4	21430	123936.4518	6078.9456	78	1
3_MACS_peak_9605_lociStitched	chr16	23333965	23366510	3	22567	116950.4575	5701.884	79	1
4_MACS_peak_12284_lociStitched	chr19	2594252	2629211	4	22260	121150.4145	8634.873	80	1
5_MACS_peak_1394_lociStitched	chr1	145128025	145175093	5	29595	59983.4592	15828.9684	81	1
1_MACS_peak_24141_lociStitched	chr7	55615629	55643922	1	28294	62895.339	5675.5758	82	1
3_MACS_peak_3152_lociStitched	chr10	45913216	45936518	3	22058	113979.4028	4404.078	83	1
4_MACS_peak_15835_lociStitched	chr20	32398429	32436211	4	27020	79655.7906	7665.9678	84	1
3_MACS_peak_13430_lociStitched	chr2	20397435	20426588	3	23757	102933.4124	5387.4744	85	1
2_MACS_peak_15046_lociStitched	chr2	197023156	197049767	2	26187	83305.7355	5465.8994	86	1
4_MACS_peak_11483_lociStitched	chr17	76116356	76152815	4	26442	78580.0827	6117.8202	87	1
2_MACS_peak_434_lociStitched	chr1	31213529	31235915	2	22048	110613.7032	5365.9242	88	1
3_MACS_peak_13903_lociStitched	chr2	65155552	65179026	3	21102	114201.01	5622.023	89	1
1_MACS_peak_16514_lociStitched	chr21	41323540	41345285	1	21746	111886.723	7030.1585	90	1
1_MACS_peak_4296_lociStitched	chr11	19449404	19468900	1	19497	120851.8048	4807.7136	91	1
6_MACS_peak_1974_lociStitched	chr1	181095150	181131043	6	24626	92571.6363	8958.8928	92	1
1_MACS_peak_4683_lociStitched	chr11	65183195	65199958	1	16764	131234.1744	4720.4608	93	1
3_MACS_peak_15941_lociStitched	chr20	37486638	37511809	3	17721	127324.9864	4719.5625	94	1
3_MACS_peak_17253_lociStitched	chr3	5222078	5256623	3	26651	69311.088	6563.55	95	1
7_MACS_peak_10109_lociStitched	chr16	78768953	78805060	7	28771	28073.1925	3924.8309	96	1
3_MACS_peak_6065_lociStitched	chr12	53845682	53874650	3	28309	36082.5408	6497.5224	97	1
2_MACS_peak_2219_lociStitched	chr1	204474269	204495399	2	21002	110818.398	6341.113	98	1
2_MACS_peak_17637_lociStitched	chr3	46128979	46154420	2	24447	85161.2034	4815.9813	99	1
3_MACS_peak_11183_lociStitched	chr17	56404514	56430925	3	19665	117169.7604	6296.3824	100	1
4_MACS_peak_15049_lociStitched	chr2	197074484	197108043	4	25999	69641.6368	5191.5773	101	1
4_MACS_peak_16156_lociStitched	chr20	52530339	52567216	4	25469	75409.7773	5856.0676	102	1
2_MACS_peak_2866_lociStitched	chr10	11281832	11313179	2	26015	67825.5039	6191.0325	103	1
2_MACS_peak_8905_lociStitched	chr15	75062956	75093015	2	25138	76957.0518	5960.6997	104	1
5_MACS_peak_16581_lociStitched	chr21	45552484	45581507	5	21021	108537.3131	7618.5375	105	1
2_MACS_peak_5951_lociStitched	chr12	48195849	48220599	2	22952	92250.675	4450.05	106	1
4_MACS_peak_24376_lociStitched	chr7	90329502	90368301	4	24778	79995.7782	7367.9301	107	1
4_MACS_peak_9239_lociStitched	chr15	101661049	101693367	4	24537	79469.962	5910.9622	108	1
2_MACS_peak_17641_lociStitched	chr3	46244069	46265563	2	18517	116884.372	4962.9646	109	1
3_MACS_peak_24551_lociStitched	chr7	104575714	104606178	3	24040	80891.0592	5175.8336	110	1
2_MACS_peak_16137_lociStitched	chr20	52192153	52216626	2	24282	73653.9408	4622.9497	111	1
4_MACS_peak_2008_lociStitched	chr1	183856325	183886039	4	22744	89311.3698	7006.5612	112	1
5_MACS_peak_22868_lociStitched	chr6	90056064	90086275	5	24306	74430.8407	5758.2166	113	1
1_MACS_peak_14921_lociStitched	chr2	182166655	182181709	1	15055	125252.2908	3343.4934	114	1
1_MACS_peak_10749_lociStitched	chr17	34408658	34432983	1	24326	73546.6375	5120.4125	115	1
2_MACS_peak_6048_lociStitched	chr12	53583702	53604995	2	20843	100053.6777	5318.9914	116	1
3_MACS_peak_6811_lociStitched	chr12	123354984	123387453	3	25863	51239.3289	3457.9485	117	1
1_MACS_peak_22181_lociStitched	chr6	25401507	25416554	1	15048	124662.8903	4038.6148	118	1
3_MACS_peak_18723_lociStitched	chr3	175049827	175074790	3	24219	72592.404	6083.4831	119	1
1_MACS_peak_9942_lociStitched	chr16	66548817	66562283	1	13467	125423.6706	3218.374	120	1
2_MACS_peak_8445_lociStitched	chr15	40386084	40409199	2	18868	103934.286	5272.5315	121	1
2_MACS_peak_1507_lociStitched	chr1	150532134	150553468	2	16929	115000.927	7313.2952	122	1
1_MACS_peak_19357_lociStitched	chr4	40190733	40209975	1	19243	101080.1502	5052.9492	123	1
4_MACS_peak_8440_lociStitched	chr15	40329895	40358954	4	22916	73841.8249	5053.3601	124	1
4_MACS_peak_13740_lociStitched	chr2	47522623	47551076	4	21920	82044.2255	5124.3853	125	1
3_MACS_peak_17023_lociStitched	chr22	39823147	39847197	3	19344	98119.19	4430.01	126	1
3_MACS_peak_3830_lociStitched	chr10	112103421	112128795	3	15574	115263.9324	5074.8	127	1
2_MACS_peak_8411_lociStitched	chr15	38360734	38381748	2	19318	94798.3568	3849.7648	128	1
5_MACS_peak_21185_lociStitched	chr5	109247639	109282937	5	24073	55852.0254	5901.8256	129	1
5_MACS_peak_7998_lociStitched	chr14	81930555	81956896	5	23129	61522.0396	2613.0272	130	1
4_MACS_peak_17318_lociStitched	chr3	13035258	13061955	4	19763	91002.0639	5715.8277	131	1
3_MACS_peak_9484_lociStitched	chr16	12052049	12072318	3	15652	110093.1004	4252.4362	132	1
2_MACS_peak_16014_lociStitched	chr20	43672478	43694812	2	22075	69894.253	4205.4922	133	1
4_MACS_peak_13655_lociStitched	chr2	42342932	42369567	4	21140	78493.345	4820.935	134	1
2_MACS_peak_18030_lociStitched	chr3	98472681	98498590	2	21428	75498.826	5184.3909	135	1
2_MACS_peak_12259_lociStitched	chr19	2081307	2098533	2	16237	107398.9422	5729.3676	136	1
1_MACS_peak_5634_lociStitched	chr12	12865855	12882003	1	16149	105362.4704	3738.262	137	1
3_MACS_peak_14216_lociStitched	chr2	97189700	97220672	3	21315	76163.2452	6048.8316	138	1
2_MACS_peak_1666_lociStitched	chr1	156115281	156136595	2	19467	89932.2916	6221.5566	139	1
7_MACS_peak_8118_lociStitched	chr14	95945662	95986292	7	24190	37984.987	3469.802	140	1
4_MACS_peak_12597_lociStitched	chr19	16244035	16272803	4	22449	64164.1472	5422.768	141	1
2_MACS_peak_20591_lociStitched	chr5	32570418	32593186	2	21305	73615.7744	4280.384	142	1
2_MACS_peak_21051_lociStitched	chr5	88633708	88652722	2	18372	89865.8682	3947.3064	143	1
2_MACS_peak_16142_lociStitched	chr20	52257659	52280605	2	17451	94351.6574	4245.01	144	1
3_MACS_peak_11369_lociStitched	chr17	72732711	72757664	3	22950	48061.9733	4578.8755	145	1
4_MACS_peak_15983_lociStitched	chr20	42564432	42593920	4	22580	53379.1776	5139.7584	146	1
4_MACS_peak_1743_lociStitched	chr1	160632838	160655505	4	16892	98046.1085	5843.5526	147	1
4_MACS_peak_28143_lociStitched	chrX	128892640	128921848	4	22404	51531.6744	2920.8	148	1
4_MACS_peak_18254_lociStitched	chr3	124487137	124513160	4	22374	53034.874	4272.9766	149	1
5_MACS_peak_8251_lociStitched	chr15	21975947	22004842	5	23433	36367.247	4458.4985	150	1
3_MACS_peak_22178_lociStitched	chr6	25365495	25390651	3	21376	63350.3548	5388.4152	151	1
2_MACS_peak_1589_lociStitched	chr1	154374554	154395245	2	18623	86004.2106	6107.9832	152	1
3_MACS_peak_1654_lociStitched	chr1	155938003	155962445	3	20280	73871.0566	6318.257	153	1
2_MACS_peak_9019_lociStitched	chr15	81574993	81596703	2	18542	84655.974	4765.345	154	1
3_MACS_peak_8917_lociStitched	chr15	75315406	75342283	3	19407	76473.1281	4724.9766	155	1
2_MACS_peak_26956_lociStitched	chr9	112665415	112684512	2	19088	77745.7967	3802.2127	156	1
2_MACS_peak_15277_lociStitched	chr2	219741146	219763474	2	19766	72905.3856	4186.5	157	1
2_MACS_peak_1679_lociStitched	chr1	156450303	156476403	2	21452	59575.86	6903.45	158	1
4_MACS_peak_13872_lociStitched	chr2	64429801	64456547	4	21548	55776.1084	4453.209	159	1
4_MACS_peak_8243_lociStitched	chr15	20968851	20997392	4	22729	37656.9954	4215.5057	160	1
3_MACS_peak_2236_lociStitched	chr1	205242159	205259702	3	16617	93788.3866	5345.3521	161	1
2_MACS_peak_11454_lociStitched	chr17	75128750	75147142	2	18197	82837.568	3921.1744	162	1
1_MACS_peak_15112_lociStitched	chr2	201979770	201994958	1	15189	97090.8088	3743.842	163	1
4_MACS_peak_25997_lociStitched	chr8	126285095	126316510	4	22481	37556.6325	5541.606	164	1
5_MACS_peak_13888_lociStitched	chr2	64862559	64896479	5	21521	53135.68	6227.712	165	1
5_MACS_peak_18580_lociStitched	chr3	156795009	156825232	5	20496	66127.924	8048.3849	166	1
1_MACS_peak_26966_lociStitched	chr9	112903653	112925430	1	21778	47519.5917	4797.4731	167	1
3_MACS_peak_7968_lociStitched	chr14	77487774	77511205	3	21115	51325.6055	2207.2002	168	1
2_MACS_peak_18664_lociStitched	chr3	169647377	169668584	2	16968	87873.3252	5399.3022	169	1
4_MACS_peak_8417_lociStitched	chr15	38455194	38486451	4	21012	55071.7083	5101.1424	170	1
1_MACS_peak_14389_lociStitched	chr2	112455230	112468204	1	12975	103641.5016	3189.0092	171	1
4_MACS_peak_5527_lociStitched	chr12	7045495	7071991	4	20403	61060.032	5561.5104	172	1
2_MACS_peak_12875_lociStitched	chr19	39880731	39904201	2	18704	74545.414	4632.978	173	1
5_MACS_peak_9113_lociStitched	chr15	89646444	89675277	5	19831	65742.1233	5328.3384	174	1
1_MACS_peak_18774_lociStitched	chr3	178228071	178242048	1	13978	99426.7872	3845.0727	175	1
3_MACS_peak_17370_lociStitched	chr3	15834449	15859482	3	20894	52967.3247	4132.9483	176	1
4_MACS_peak_11501_lociStitched	chr17	76753576	76780005	4	20677	55791.619	5121.9402	177	1
2_MACS_peak_19548_lociStitched	chr4	74453638	74476029	2	19252	67146.1308	3790.7963	178	1
6_MACS_peak_27594_lociStitched	chrX	37634564	37666358	6	21356	42772.4682	3029.9682	179	1
2_MACS_peak_20533_lociStitched	chr5	15426148	15450666	2	19855	58723.0618	3697.3144	180	1
2_MACS_peak_6443_lociStitched	chr12	92851291	92867112	2	15160	90477.1348	3289.1859	181	1
2_MACS_peak_23361_lociStitched	chr6	139631166	139650236	2	18341	71152.077	3310.552	182	1
4_MACS_peak_14289_lociStitched	chr2	106325151	106353054	4	20886	46014.8373	4969.5243	183	1
1_MACS_peak_20336_lociStitched	chr4	185200460	185211453	1	10994	105449.2532	3117.6148	184	1
2_MACS_peak_8675_lociStitched	chr15	56644649	56667542	2	17377	77181.4602	4386.2988	185	1
2_MACS_peak_16807_lociStitched	chr22	29206549	29225890	2	19196	61806.0996	3719.2743	186	1
2_MACS_peak_8337_lociStitched	chr15	31546226	31562950	2	15062	88352.892	3344.8	187	1
3_MACS_peak_25073_lociStitched	chr8	2027258	2050919	3	17859	72449.982	4741.6644	188	1
1_MACS_peak_24324_lociStitched	chr7	78112826	78128666	1	15841	83985.264	3784.176	189	1
2_MACS_peak_7472_lociStitched	chr13	115023459	115048824	2	19571	56802.381	4527.6525	190	1
1_MACS_peak_3839_lociStitched	chr10	112214378	112226925	1	12548	97413.6533	2796.7263	191	1
3_MACS_peak_13569_lociStitched	chr2	33699402	33724865	3	17264	74851.0348	4797.2292	192	1
1_MACS_peak_21043_lociStitched	chr5	88170977	88187241	1	16265	80645.044	4309.96	193	1
4_MACS_peak_1482_lociStitched	chr1	149802808	149834908	4	18057	71958.57	8577.12	194	1
3_MACS_peak_6435_lociStitched	chr12	92753358	92770931	3	15338	84512.0716	3602.465	195	1
2_MACS_peak_3836_lociStitched	chr10	112167348	112186719	2	19370	53779.7073	3178.7811	196	1
1_MACS_peak_16534_lociStitched	chr21	43478832	43487352	1	8521	107802.708	3151.548	197	1
1_MACS_peak_13654_lociStitched	chr2	42322848	42336763	1	13916	90390.4485	3620.683	198	1
1_MACS_peak_14119_lociStitched	chr2	86218540	86230839	1	12300	95161.0527	2441.3515	199	1
2_MACS_peak_17465_lociStitched	chr3	30682184	30703893	2	20157	41946.1298	4129.0518	200	1
1_MACS_peak_2325_lociStitched	chr1	209273505	209286207	1	12703	94114.1988	3625.1508	201	1
1_MACS_peak_12078_lociStitched	chr18	60821054	60832121	1	11068	99140.3994	2934.9684	202	1
3_MACS_peak_3483_lociStitched	chr10	81000978	81020816	3	19631	46863.3074	3870.3938	203	1
5_MACS_peak_23076_lociStitched	chr6	113946297	113974052	5	18348	60386.5535	4340.882	204	1
2_MACS_peak_21041_lociStitched	chr5	88110540	88130715	2	19699	44179.215	4646.3025	205	1
2_MACS_peak_24848_lociStitched	chr7	136031548	136048441	2	15703	78386.8986	4520.5668	206	1
1_MACS_peak_12805_lociStitched	chr19	35693754	35708411	1	14658	82768.079	3461.9834	207	1
2_MACS_peak_26746_lociStitched	chr9	93670667	93690441	2	17761	62288.1	3460.45	208	1
2_MACS_peak_13516_lociStitched	chr2	27374308	27393620	2	18100	59291.7024	3669.28	209	1
2_MACS_peak_15598_lociStitched	chr20	5570384	5592589	2	20093	35496.913	4554.2455	210	1
4_MACS_peak_5157_lociStitched	chr11	111230364	111251735	4	19149	48095.4355	4116.0546	211	1
3_MACS_peak_14177_lociStitched	chr2	89046764	89066975	3	16622	70281.7314	3823.9212	212	1
1_MACS_peak_19329_lociStitched	chr4	38306885	38322940	1	16056	73324.7905	3532.1	213	1
5_MACS_peak_14170_lociStitched	chr2	88898725	88928487	5	20050	33241.1778	5875.0188	214	1
1_MACS_peak_22052_lociStitched	chr6	11826716	11838571	1	11856	91786.152	2583.2045	215	1
4_MACS_peak_16454_lociStitched	chr21	36235580	36263123	4	16816	68675.7162	6469.8507	216	1
6_MACS_peak_13979_lociStitched	chr2	70330993	70361172	6	18192	55094.7824	4904.0875	217	1
4_MACS_peak_27246_lociStitched	chr9	134126937	134153591	4	18228	53713.1408	4893.6744	218	1
5_MACS_peak_273_lociStitched	chr1	23936471	23964384	5	19109	42667.8118	4641.9319	219	1
2_MACS_peak_9610_lociStitched	chr16	23402354	23419525	2	15384	73696.2149	2936.241	220	1
5_MACS_peak_22347_lociStitched	chr6	31773629	31805361	5	19604	34435.5664	5143.7572	221	1
2_MACS_peak_6622_lociStitched	chr12	108953549	108972376	2	18738	46549.7575	4375.3948	222	1
3_MACS_peak_18753_lociStitched	chr3	177056228	177081097	3	16033	71488.4274	6077.9836	223	1
3_MACS_peak_18918_lociStitched	chr3	186703087	186720738	3	15366	75186.1996	5522.9979	224	1
1_MACS_peak_20756_lociStitched	chr5	55436916	55454177	1	17262	58851.3795	3390.0604	225	1
3_MACS_peak_18817_lociStitched	chr3	181636169	181662128	3	17210	61442.3571	5713.5759	226	1
3_MACS_peak_17660_lociStitched	chr3	46577259	46592049	3	13914	79607.175	2734.671	227	1
2_MACS_peak_11498_lociStitched	chr17	76710969	76733775	2	18768	42854.7546	4645.5822	228	1
4_MACS_peak_21656_lociStitched	chr5	156339066	156370109	4	18398	46971.1633	5056.9047	229	1
1_MACS_peak_10686_lociStitched	chr17	29634737	29651238	1	16502	63009.0685	3362.9038	230	1
2_MACS_peak_5612_lociStitched	chr12	11901439	11920369	2	18608	41799.333	3596.7	231	1
4_MACS_peak_21605_lociStitched	chr5	150512625	150538196	4	18467	43145.9483	5142.3281	232	1
1_MACS_peak_21801_lociStitched	chr5	173696066	173710630	1	14565	73532.1796	3110.8704	233	1
1_MACS_peak_20343_lociStitched	chr4	185300298	185308960	1	8663	96262.5384	2584.7408	234	1
3_MACS_peak_1111_lociStitched	chr1	93408637	93428873	3	19078	28184.7008	2102.5204	235	1
3_MACS_peak_8274_lociStitched	chr15	23658672	23682984	3	18761	34676.2056	3559.2768	236	1
3_MACS_peak_2835_lociStitched	chr10	6953826	6973695	3	12278	85011.5034	3922.1406	237	1
2_MACS_peak_16314_lociStitched	chr21	19151368	19168956	2	16027	62769.8132	3672.3744	238	1
2_MACS_peak_25343_lociStitched	chr8	29404282	29420991	2	15636	65208.5434	3313.3947	239	1
4_MACS_peak_27429_lociStitched	chrX	10064726	10091173	4	17758	45137.0949	2464.8604	240	1
3_MACS_peak_13473_lociStitched	chr2	25622750	25646524	3	15838	63514.6184	4412.4544	241	1
2_MACS_peak_6272_lociStitched	chr12	68751704	68771091	2	15351	65828.5585	3825.0551	242	1
3_MACS_peak_2290_lociStitched	chr1	207084744	207107251	3	13472	78436.895	5777.5469	243	1
1_MACS_peak_13380_lociStitched	chr2	11883394	11898587	1	15194	66048.5289	3672.1481	244	1
3_MACS_peak_21261_lociStitched	chr5	118657763	118679055	3	16911	51897.1208	4518.1624	245	1
2_MACS_peak_17896_lociStitched	chr3	69128319	69146189	2	17346	45959.853	3370.282	246	1
1_MACS_peak_7453_lociStitched	chr13	114556011	114568292	1	12282	80558.4476	3392.0122	247	1
1_MACS_peak_13670_lociStitched	chr2	43443341	43457094	1	13754	72765.7477	3302.0953	248	1
2_MACS_peak_2073_lociStitched	chr1	192560715	192579477	2	18181	33600.8658	4617.3282	249	1
5_MACS_peak_15060_lociStitched	chr2	198055915	198083840	5	17203	46542.5975	4833.8175	250	1
4_MACS_peak_17880_lociStitched	chr3	66530496	66552534	4	18329	26796.0042	3437.928	251	1
3_MACS_peak_11439_lociStitched	chr17	74475330	74498613	3	16547	51692.9166	4149.0306	252	1
1_MACS_peak_15121_lociStitched	chr2	202115607	202129117	1	13511	71612.457	3173.499	253	1
3_MACS_peak_25211_lociStitched	chr8	19518356	19540892	3	16443	50663.1816	3826.6128	254	1
5_MACS_peak_9591_lociStitched	chr16	22194961	22219424	5	17420	36648.0203	5330.4877	255	1
2_MACS_peak_27737_lociStitched	chrX	48790335	48805149	2	14694	59958.1836	1633.9842	256	1
2_MACS_peak_23396_lociStitched	chr6	143162506	143180464	2	17112	36273.3642	1840.695	257	1
3_MACS_peak_21876_lociStitched	chr5	180228543	180249723	3	15522	54815.958	3888.648	258	1
2_MACS_peak_8920_lociStitched	chr15	75352610	75371045	2	14396	62024.5575	3329.361	260	1
