#09_0EWV_0229Kronos_MM1S-KB-24hr-1_H3K18Ac_hs-dm_i17_peaks Enhancers
#Created from /data/projects/IRF4_mm_trn_data/p300_internal_ChIP/rose/09_0EWV_0229Kronos_MM1S-KB-24hr-1_H3K18Ac_hs-dm_i17_ROSE/09_0EWV_0229Kronos_MM1S-KB-24hr-1_H3K18Ac_hs-dm_i17_peaks_6KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by X09_0EWV_0229Kronos_MM1S.KB.24hr.1_H3K18Ac_hs.dm_i17.bam
#Using cutoff of 19777.978 for Super-Enhancers
#Created on Jul 18 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X09_0EWV_0229Kronos_MM1S.KB.24hr.1_H3K18Ac_hs.dm_i17.bam	X43_0EXV_0229Kronos_MM1S.KB.24hr.1_Input_hs_i87.bam	enhancerRank	isSuper
1_MACS_peak_2860_lociStitched	chr10	11201598	11224567	1	22970	144987.2187	6621.9627	29	1
2_MACS_peak_15794_lociStitched	chr20	30271497	30312299	2	39765	147805.245	9563.9888	30	1
6_MACS_peak_21379_lociStitched	chr5	131789798	131842798	6	39074	147355.9	10552.3	31	1
4_MACS_peak_11685_lociStitched	chr18	9053884	9085265	4	27537	143213.4697	6458.2098	32	1
4_MACS_peak_18845_lociStitched	chr3	183220230	183261282	4	37386	143706.6312	11354.9832	33	1
2_MACS_peak_296_lociStitched	chr1	24511606	24534216	2	20938	136808.588	4904.109	34	1
3_MACS_peak_21376_lociStitched	chr5	131744354	131774604	3	25782	138112.425	6757.85	35	1
5_MACS_peak_23332_lociStitched	chr6	138244642	138297817	5	47264	137133.0075	8800.4625	36	1
1_MACS_peak_4683_lociStitched	chr11	65183195	65199958	1	16764	131234.1744	4720.4608	37	1
4_MACS_peak_6624_lociStitched	chr12	109008901	109036304	4	22104	132512.6871	6332.8333	38	1
3_MACS_peak_19519_lociStitched	chr4	71523428	71555476	3	30327	132957.5376	6784.5616	39	1
3_MACS_peak_24521_lociStitched	chr7	102063347	102093408	3	24425	131540.9238	6021.2183	40	1
6_MACS_peak_23025_lociStitched	chr6	109185991	109236570	6	34077	132602.9643	8122.9874	41	1
3_MACS_peak_1608_lociStitched	chr1	154907763	154935931	3	24041	132491.0048	8489.8352	42	1
3_MACS_peak_15941_lociStitched	chr20	37486638	37511809	3	17721	127324.9864	4719.5625	43	1
1_MACS_peak_9942_lociStitched	chr16	66548817	66562283	1	13467	125423.6706	3218.374	44	1
1_MACS_peak_14921_lociStitched	chr2	182166655	182181709	1	15055	125252.2908	3343.4934	45	1
1_MACS_peak_22181_lociStitched	chr6	25401507	25416554	1	15048	124662.8903	4038.6148	46	1
2_MACS_peak_18692_lociStitched	chr3	171801645	171828881	2	27220	127366.4304	7707.788	47	1
4_MACS_peak_23860_lociStitched	chr7	25979979	26012452	4	21430	123936.4518	6078.9456	48	1
2_MACS_peak_4310_lociStitched	chr11	22676416	22704591	2	24570	121538.4975	4995.4275	49	1
1_MACS_peak_4296_lociStitched	chr11	19449404	19468900	1	19497	120851.8048	4807.7136	50	1
3_MACS_peak_24980_lociStitched	chr7	150052202	150084989	3	28567	124475.8455	8616.4236	51	1
2_MACS_peak_3953_lociStitched	chr10	125821494	125855166	2	33239	121761.3192	6427.9848	52	1
4_MACS_peak_11689_lociStitched	chr18	9094811	9154924	4	47338	127601.8651	12449.4023	53	1
4_MACS_peak_12284_lociStitched	chr19	2594252	2629211	4	22260	121150.4145	8634.873	54	1
4_MACS_peak_15153_lociStitched	chr2	204536513	204586966	4	40384	121379.8274	9348.9409	55	1
2_MACS_peak_17641_lociStitched	chr3	46244069	46265563	2	18517	116884.372	4962.9646	56	1
2_MACS_peak_21049_lociStitched	chr5	88593560	88621344	2	26360	116790.044	5476.2264	57	1
3_MACS_peak_9605_lociStitched	chr16	23333965	23366510	3	22567	116950.4575	5701.884	58	1
3_MACS_peak_11183_lociStitched	chr17	56404514	56430925	3	19665	117169.7604	6296.3824	59	1
6_MACS_peak_17643_lociStitched	chr3	46317403	46366462	6	41292	119247.7113	8629.4781	60	1
2_MACS_peak_4190_lociStitched	chr11	10314301	10345209	2	25018	117264.952	6753.398	61	1
3_MACS_peak_3830_lociStitched	chr10	112103421	112128795	3	15574	115263.9324	5074.8	62	1
3_MACS_peak_3152_lociStitched	chr10	45913216	45936518	3	22058	113979.4028	4404.078	63	1
3_MACS_peak_13903_lociStitched	chr2	65155552	65179026	3	21102	114201.01	5622.023	64	1
4_MACS_peak_15839_lociStitched	chr20	32442348	32474824	4	26286	114516.8712	6037.2884	65	1
2_MACS_peak_1507_lociStitched	chr1	150532134	150553468	2	16929	115000.927	7313.2952	66	1
3_MACS_peak_16145_lociStitched	chr20	52336465	52372304	3	26400	111989.7072	5874.0121	67	1
3_MACS_peak_9484_lociStitched	chr16	12052049	12072318	3	15652	110093.1004	4252.4362	68	1
2_MACS_peak_434_lociStitched	chr1	31213529	31235915	2	22048	110613.7032	5365.9242	69	1
1_MACS_peak_16514_lociStitched	chr21	41323540	41345285	1	21746	111886.723	7030.1585	70	1
1_MACS_peak_16534_lociStitched	chr21	43478832	43487352	1	8521	107802.708	3151.548	71	1
2_MACS_peak_22843_lociStitched	chr6	88611492	88640800	2	28362	110195.1492	5650.5824	72	1
2_MACS_peak_2219_lociStitched	chr1	204474269	204495399	2	21002	110818.398	6341.113	73	1
7_MACS_peak_12935_lociStitched	chr19	42022142	42070641	7	35637	113041.4692	9738.5992	74	1
4_MACS_peak_19672_lociStitched	chr4	84130457	84163971	4	25527	109299.2082	6019.1144	75	1
2_MACS_peak_2842_lociStitched	chr10	7510510	7537768	2	25619	107205.714	4383.0864	76	1
1_MACS_peak_20336_lociStitched	chr4	185200460	185211453	1	10994	105449.2532	3117.6148	77	1
2_MACS_peak_12259_lociStitched	chr19	2081307	2098533	2	16237	107398.9422	5729.3676	78	1
1_MACS_peak_5634_lociStitched	chr12	12865855	12882003	1	16149	105362.4704	3738.262	79	1
5_MACS_peak_16581_lociStitched	chr21	45552484	45581507	5	21021	108537.3131	7618.5375	80	1
1_MACS_peak_14389_lociStitched	chr2	112455230	112468204	1	12975	103641.5016	3189.0092	81	1
2_MACS_peak_23506_lociStitched	chr6	157975336	158007583	2	27462	101900.52	3098.9367	82	1
2_MACS_peak_8445_lociStitched	chr15	40386084	40409199	2	18868	103934.286	5272.5315	83	1
3_MACS_peak_13430_lociStitched	chr2	20397435	20426588	3	23757	102933.4124	5387.4744	84	1
7_MACS_peak_9995_lociStitched	chr16	68269753	68321282	7	36452	106294.0212	9687.452	85	1
1_MACS_peak_12078_lociStitched	chr18	60821054	60832121	1	11068	99140.3994	2934.9684	86	1
1_MACS_peak_19357_lociStitched	chr4	40190733	40209975	1	19243	101080.1502	5052.9492	87	1
1_MACS_peak_22966_lociStitched	chr6	106530434	106556535	1	26102	102122.7726	6112.8542	88	1
1_MACS_peak_18774_lociStitched	chr3	178228071	178242048	1	13978	99426.7872	3845.0727	89	1
5_MACS_peak_6448_lociStitched	chr12	92928709	92964792	5	30273	102067.9821	6505.7649	90	1
4_MACS_peak_16943_lociStitched	chr22	37608969	37642465	4	25975	101727.352	6739.3952	91	1
2_MACS_peak_6048_lociStitched	chr12	53583702	53604995	2	20843	100053.6777	5318.9914	92	1
1_MACS_peak_3839_lociStitched	chr10	112214378	112226925	1	12548	97413.6533	2796.7263	93	1
1_MACS_peak_11258_lociStitched	chr17	62148982	62187457	1	38476	101885.6475	7948.935	94	1
3_MACS_peak_17023_lociStitched	chr22	39823147	39847197	3	19344	98119.19	4430.01	95	1
1_MACS_peak_20343_lociStitched	chr4	185300298	185308960	1	8663	96262.5384	2584.7408	96	1
7_MACS_peak_2065_lociStitched	chr1	192475739	192521191	7	34990	104716.8628	11158.466	97	1
1_MACS_peak_15112_lociStitched	chr2	201979770	201994958	1	15189	97090.8088	3743.842	98	1
2_MACS_peak_5376_lociStitched	chr11	128584820	128618983	2	28924	99995.101	7218.6419	99	1
1_MACS_peak_14119_lociStitched	chr2	86218540	86230839	1	12300	95161.0527	2441.3515	100	1
4_MACS_peak_1743_lociStitched	chr1	160632838	160655505	4	16892	98046.1085	5843.5526	101	1
6_MACS_peak_8339_lociStitched	chr15	31616428	31660736	6	36104	99307.5204	7935.5628	102	1
4_MACS_peak_11792_lociStitched	chr18	23739157	23772150	4	25840	96702.483	5427.3485	103	1
2_MACS_peak_8411_lociStitched	chr15	38360734	38381748	2	19318	94798.3568	3849.7648	104	1
1_MACS_peak_2325_lociStitched	chr1	209273505	209286207	1	12703	94114.1988	3625.1508	105	1
2_MACS_peak_16142_lociStitched	chr20	52257659	52280605	2	17451	94351.6574	4245.01	106	1
1_MACS_peak_22052_lociStitched	chr6	11826716	11838571	1	11856	91786.152	2583.2045	107	1
3_MACS_peak_2236_lociStitched	chr1	205242159	205259702	3	16617	93788.3866	5345.3521	108	1
5_MACS_peak_14372_lociStitched	chr2	112185909	112242286	5	42874	97188.3103	9020.32	109	1
2_MACS_peak_5951_lociStitched	chr12	48195849	48220599	2	22952	92250.675	4450.05	110	1
2_MACS_peak_6443_lociStitched	chr12	92851291	92867112	2	15160	90477.1348	3289.1859	111	1
4_MACS_peak_27060_lociStitched	chr9	123631264	123668362	4	27238	93201.3054	6013.5858	112	1
1_MACS_peak_13654_lociStitched	chr2	42322848	42336763	1	13916	90390.4485	3620.683	113	1
3_MACS_peak_20344_lociStitched	chr4	185317278	185350293	3	26744	92240.6085	5837.052	114	1
2_MACS_peak_21051_lociStitched	chr5	88633708	88652722	2	18372	89865.8682	3947.3064	115	1
6_MACS_peak_22622_lociStitched	chr6	52392395	52443089	6	39524	95669.7168	9941.0934	116	1
4_MACS_peak_17318_lociStitched	chr3	13035258	13061955	4	19763	91002.0639	5715.8277	117	1
2_MACS_peak_8337_lociStitched	chr15	31546226	31562950	2	15062	88352.892	3344.8	118	1
2_MACS_peak_1666_lociStitched	chr1	156115281	156136595	2	19467	89932.2916	6221.5566	119	1
6_MACS_peak_1974_lociStitched	chr1	181095150	181131043	6	24626	92571.6363	8958.8928	120	1
5_MACS_peak_17649_lociStitched	chr3	46388381	46440055	5	38236	91034.0858	8304.0118	121	1
2_MACS_peak_18664_lociStitched	chr3	169647377	169668584	2	16968	87873.3252	5399.3022	122	1
4_MACS_peak_2008_lociStitched	chr1	183856325	183886039	4	22744	89311.3698	7006.5612	123	1
3_MACS_peak_2835_lociStitched	chr10	6953826	6973695	3	12278	85011.5034	3922.1406	124	1
3_MACS_peak_6435_lociStitched	chr12	92753358	92770931	3	15338	84512.0716	3602.465	125	1
4_MACS_peak_11926_lociStitched	chr18	46439414	46483268	4	40736	89041.1616	8577.8424	126	1
2_MACS_peak_17637_lociStitched	chr3	46128979	46154420	2	24447	85161.2034	4815.9813	127	1
1_MACS_peak_24324_lociStitched	chr7	78112826	78128666	1	15841	83985.264	3784.176	128	1
2_MACS_peak_1589_lociStitched	chr1	154374554	154395245	2	18623	86004.2106	6107.9832	129	1
2_MACS_peak_9019_lociStitched	chr15	81574993	81596703	2	18542	84655.974	4765.345	130	1
1_MACS_peak_12805_lociStitched	chr19	35693754	35708411	1	14658	82768.079	3461.9834	131	1
2_MACS_peak_11454_lociStitched	chr17	75128750	75147142	2	18197	82837.568	3921.1744	132	1
2_MACS_peak_15046_lociStitched	chr2	197023156	197049767	2	26187	83305.7355	5465.8994	133	1
1_MACS_peak_7453_lociStitched	chr13	114556011	114568292	1	12282	80558.4476	3392.0122	134	1
2_MACS_peak_18716_lociStitched	chr3	174863596	174873836	2	10237	80290.816	3218.432	135	1
4_MACS_peak_13740_lociStitched	chr2	47522623	47551076	4	21920	82044.2255	5124.3853	136	1
3_MACS_peak_17660_lociStitched	chr3	46577259	46592049	3	13914	79607.175	2734.671	137	1
5_MACS_peak_25703_lociStitched	chr8	81046195	81084661	5	28673	83648.1636	6966.1926	138	1
1_MACS_peak_21043_lociStitched	chr5	88170977	88187241	1	16265	80645.044	4309.96	139	1
3_MACS_peak_24551_lociStitched	chr7	104575714	104606178	3	24040	80891.0592	5175.8336	140	1
2_MACS_peak_26956_lociStitched	chr9	112665415	112684512	2	19088	77745.7967	3802.2127	141	1
2_MACS_peak_24848_lociStitched	chr7	136031548	136048441	2	15703	78386.8986	4520.5668	142	1
5_MACS_peak_25298_lociStitched	chr8	27208527	27253535	5	32138	82616.6848	8781.0608	143	1
4_MACS_peak_13655_lociStitched	chr2	42342932	42369567	4	21140	78493.345	4820.935	144	1
4_MACS_peak_9239_lociStitched	chr15	101661049	101693367	4	24537	79469.962	5910.9622	145	1
2_MACS_peak_8675_lociStitched	chr15	56644649	56667542	2	17377	77181.4602	4386.2988	146	1
3_MACS_peak_2290_lociStitched	chr1	207084744	207107251	3	13472	78436.895	5777.5469	147	1
4_MACS_peak_24376_lociStitched	chr7	90329502	90368301	4	24778	79995.7782	7367.9301	148	1
4_MACS_peak_11483_lociStitched	chr17	76116356	76152815	4	26442	78580.0827	6117.8202	149	1
4_MACS_peak_15835_lociStitched	chr20	32398429	32436211	4	27020	79655.7906	7665.9678	150	1
1_MACS_peak_7461_lociStitched	chr13	114828596	114835169	1	6574	73453.275	1648.5084	151	1
3_MACS_peak_8917_lociStitched	chr15	75315406	75342283	3	19407	76473.1281	4724.9766	152	1
2_MACS_peak_8905_lociStitched	chr15	75062956	75093015	2	25138	76957.0518	5960.6997	153	1
2_MACS_peak_9610_lociStitched	chr16	23402354	23419525	2	15384	73696.2149	2936.241	154	1
1_MACS_peak_21801_lociStitched	chr5	173696066	173710630	1	14565	73532.1796	3110.8704	155	1
2_MACS_peak_18030_lociStitched	chr3	98472681	98498590	2	21428	75498.826	5184.3909	156	1
3_MACS_peak_14216_lociStitched	chr2	97189700	97220672	3	21315	76163.2452	6048.8316	157	1
3_MACS_peak_13569_lociStitched	chr2	33699402	33724865	3	17264	74851.0348	4797.2292	158	1
2_MACS_peak_12875_lociStitched	chr19	39880731	39904201	2	18704	74545.414	4632.978	159	1
1_MACS_peak_19329_lociStitched	chr4	38306885	38322940	1	16056	73324.7905	3532.1	160	1
3_MACS_peak_18918_lociStitched	chr3	186703087	186720738	3	15366	75186.1996	5522.9979	161	1
1_MACS_peak_9874_lociStitched	chr16	56942621	56954663	1	12043	72267.6546	2632.3812	162	1
4_MACS_peak_16156_lociStitched	chr20	52530339	52567216	4	25469	75409.7773	5856.0676	163	1
1_MACS_peak_13670_lociStitched	chr2	43443341	43457094	1	13754	72765.7477	3302.0953	164	1
2_MACS_peak_20591_lociStitched	chr5	32570418	32593186	2	21305	73615.7744	4280.384	165	1
1_MACS_peak_14121_lociStitched	chr2	86260274	86268059	1	7786	71020.998	1953.2565	166	1
2_MACS_peak_16137_lociStitched	chr20	52192153	52216626	2	24282	73653.9408	4622.9497	167	1
2_MACS_peak_13977_lociStitched	chr2	70309890	70323653	2	10140	71713.4878	2923.2612	168	1
4_MACS_peak_8440_lociStitched	chr15	40329895	40358954	4	22916	73841.8249	5053.3601	169	1
2_MACS_peak_15277_lociStitched	chr2	219741146	219763474	2	19766	72905.3856	4186.5	170	1
5_MACS_peak_22868_lociStitched	chr6	90056064	90086275	5	24306	74430.8407	5758.2166	171	1
1_MACS_peak_15121_lociStitched	chr2	202115607	202129117	1	13511	71612.457	3173.499	172	1
1_MACS_peak_10749_lociStitched	chr17	34408658	34432983	1	24326	73546.6375	5120.4125	173	1
2_MACS_peak_23361_lociStitched	chr6	139631166	139650236	2	18341	71152.077	3310.552	174	1
2_MACS_peak_25355_lociStitched	chr8	29621993	29635523	2	10488	70178.757	2423.223	175	1
3_MACS_peak_25073_lociStitched	chr8	2027258	2050919	3	17859	72449.982	4741.6644	176	1
3_MACS_peak_1654_lociStitched	chr1	155938003	155962445	3	20280	73871.0566	6318.257	177	1
2_MACS_peak_8824_lociStitched	chr15	68568484	68599553	2	29727	73155.0674	6459.2451	178	1
2_MACS_peak_18746_lociStitched	chr3	176908569	176921658	2	12840	70407.0399	3802.3545	179	1
3_MACS_peak_18723_lociStitched	chr3	175049827	175074790	3	24219	72592.404	6083.4831	180	1
3_MACS_peak_14177_lociStitched	chr2	89046764	89066975	3	16622	70281.7314	3823.9212	181	1
2_MACS_peak_16014_lociStitched	chr20	43672478	43694812	2	22075	69894.253	4205.4922	182	1
3_MACS_peak_18753_lociStitched	chr3	177056228	177081097	3	16033	71488.4274	6077.9836	183	1
1_MACS_peak_2006_lociStitched	chr1	183808544	183817058	1	8515	67535.6022	2620.6092	184	1
1_MACS_peak_16793_lociStitched	chr22	27003361	27016327	1	12967	67519.1484	2629.5048	185	1
4_MACS_peak_15049_lociStitched	chr2	197074484	197108043	4	25999	69641.6368	5191.5773	186	1
2_MACS_peak_17343_lociStitched	chr3	14725440	14742281	2	12733	67288.2155	2888.2315	187	1
2_MACS_peak_19509_lociStitched	chr4	69431886	69445039	2	12100	66170.1124	2497.7547	188	1
4_MACS_peak_1482_lociStitched	chr1	149802808	149834908	4	18057	71958.57	8577.12	189	1
2_MACS_peak_19548_lociStitched	chr4	74453638	74476029	2	19252	67146.1308	3790.7963	190	1
2_MACS_peak_5196_lociStitched	chr11	115089239	115102814	2	13493	65992.1475	2933.5575	191	1
2_MACS_peak_14678_lociStitched	chr2	158322570	158338085	2	11236	66430.5755	3507.9415	192	1
3_MACS_peak_17253_lociStitched	chr3	5222078	5256623	3	26651	69311.088	6563.55	193	1
1_MACS_peak_13380_lociStitched	chr2	11883394	11898587	1	15194	66048.5289	3672.1481	194	1
4_MACS_peak_14154_lociStitched	chr2	87782243	87822000	4	30610	68533.1166	6194.1406	195	1
4_MACS_peak_16454_lociStitched	chr21	36235580	36263123	4	16816	68675.7162	6469.8507	196	1
2_MACS_peak_6272_lociStitched	chr12	68751704	68771091	2	15351	65828.5585	3825.0551	197	1
2_MACS_peak_25343_lociStitched	chr8	29404282	29420991	2	15636	65208.5434	3313.3947	198	1
1_MACS_peak_20478_lociStitched	chr5	6475441	6488664	1	13224	64156.6737	2452.8665	199	1
2_MACS_peak_2866_lociStitched	chr10	11281832	11313179	2	26015	67825.5039	6191.0325	200	1
2_MACS_peak_23276_lociStitched	chr6	135190114	135204386	2	10476	64329.6128	2731.6608	201	1
3_MACS_peak_16139_lociStitched	chr20	52224491	52244863	3	13936	64642.3932	3273.7804	202	1
1_MACS_peak_20448_lociStitched	chr5	1311116	1320714	1	9599	63280.5738	2048.2132	203	1
1_MACS_peak_21023_lociStitched	chr5	86407818	86421058	1	13241	64310.652	3164.36	204	1
1_MACS_peak_21468_lociStitched	chr5	139046487	139052974	1	6488	62712.4238	1726.8394	205	1
5_MACS_peak_9113_lociStitched	chr15	89646444	89675277	5	19831	65742.1233	5328.3384	206	1
3_MACS_peak_12617_lociStitched	chr19	16693770	16711468	3	12599	64259.6682	3849.315	207	1
1_MACS_peak_3588_lociStitched	chr10	91803205	91814119	1	10915	62085.3804	2117.316	208	1
1_MACS_peak_25932_lociStitched	chr8	118449371	118458352	1	8982	61836.8793	2149.1533	209	1
2_MACS_peak_4328_lociStitched	chr11	26097686	26113603	2	13810	62747.9974	3092.6731	210	1
1_MACS_peak_10686_lociStitched	chr17	29634737	29651238	1	16502	63009.0685	3362.9038	211	1
3_MACS_peak_2637_lociStitched	chr1	234734131	234750457	3	12280	64179.1386	4814.5374	212	1
3_MACS_peak_13473_lociStitched	chr2	25622750	25646524	3	15838	63514.6184	4412.4544	213	1
2_MACS_peak_16314_lociStitched	chr21	19151368	19168956	2	16027	62769.8132	3672.3744	214	1
5_MACS_peak_7998_lociStitched	chr14	81930555	81956896	5	23129	61522.0396	2613.0272	215	1
2_MACS_peak_26746_lociStitched	chr9	93670667	93690441	2	17761	62288.1	3460.45	216	1
4_MACS_peak_12597_lociStitched	chr19	16244035	16272803	4	22449	64164.1472	5422.768	217	1
2_MACS_peak_8920_lociStitched	chr15	75352610	75371045	2	14396	62024.5575	3329.361	218	1
2_MACS_peak_27737_lociStitched	chrX	48790335	48805149	2	14694	59958.1836	1633.9842	219	1
2_MACS_peak_21366_lociStitched	chr5	131434381	131444137	2	9419	60476.4684	2162.9052	220	1
2_MACS_peak_16807_lociStitched	chr22	29206549	29225890	2	19196	61806.0996	3719.2743	221	1
5_MACS_peak_18580_lociStitched	chr3	156795009	156825232	5	20496	66127.924	8048.3849	222	1
3_MACS_peak_22178_lociStitched	chr6	25365495	25390651	3	21376	63350.3548	5388.4152	223	1
2_MACS_peak_4829_lociStitched	chr11	71413692	71427528	2	13336	61007.0748	3254.2272	224	1
1_MACS_peak_1406_lociStitched	chr1	145448348	145458179	1	9832	61094.7495	3671.8785	225	1
1_MACS_peak_3060_lociStitched	chr10	30988920	30997435	1	8516	59278.024	1932.905	226	1
1_MACS_peak_24141_lociStitched	chr7	55615629	55643922	1	28294	62895.339	5675.5758	227	1
3_MACS_peak_5469_lociStitched	chr12	4216172	4230561	3	11009	59685.572	3004.4232	228	1
1_MACS_peak_20834_lociStitched	chr5	61983627	61992602	1	8976	58175.0525	1894.6225	229	1
1_MACS_peak_1940_lociStitched	chr1	178544129	178553821	1	9693	59186.1364	3127.6084	230	1
5_MACS_peak_23076_lociStitched	chr6	113946297	113974052	5	18348	60386.5535	4340.882	231	1
2_MACS_peak_16512_lociStitched	chr21	41295569	41312112	2	13732	60398.493	4494.7331	232	1
3_MACS_peak_24643_lociStitched	chr7	114556707	114574611	3	13762	60259.4928	4490.3232	233	1
2_MACS_peak_19361_lociStitched	chr4	40301511	40320037	2	13962	59777.8442	4034.9628	234	1
3_MACS_peak_18817_lociStitched	chr3	181636169	181662128	3	17210	61442.3571	5713.5759	235	1
2_MACS_peak_13516_lociStitched	chr2	27374308	27393620	2	18100	59291.7024	3669.28	236	1
4_MACS_peak_5527_lociStitched	chr12	7045495	7071991	4	20403	61060.032	5561.5104	237	1
1_MACS_peak_3582_lociStitched	chr10	91645008	91652212	1	7205	57128.4404	1656.1996	238	1
1_MACS_peak_20756_lociStitched	chr5	55436916	55454177	1	17262	58851.3795	3390.0604	239	1
2_MACS_peak_20533_lociStitched	chr5	15426148	15450666	2	19855	58723.0618	3697.3144	240	1
1_MACS_peak_10825_lociStitched	chr17	37909098	37916602	1	7505	56800.7776	1805.4624	241	1
1_MACS_peak_22375_lociStitched	chr6	32934495	32942153	1	7659	57021.468	2115.9054	242	1
2_MACS_peak_1404_lociStitched	chr1	145426743	145442013	2	12168	58980.375	4246.587	243	1
1_MACS_peak_24555_lociStitched	chr7	104651196	104658171	1	6976	56284.065	2092.5	244	1
1_MACS_peak_2534_lociStitched	chr1	226838794	226852848	1	14055	58005.0742	4112.2004	245	1
2_MACS_peak_15369_lociStitched	chr2	231725735	231739989	2	12510	55150.1514	1338.4506	246	1
1_MACS_peak_16193_lociStitched	chr20	56047005	56058708	1	11704	56121.7365	2482.2063	247	1
1_MACS_peak_6562_lociStitched	chr12	102870142	102879511	1	9370	55776.4677	2199.8412	248	1
1_MACS_peak_26096_lociStitched	chr8	137188303	137202007	1	13705	56560.5192	3065.5848	249	1
3_MACS_peak_1767_lociStitched	chr1	161144602	161163798	3	14202	58229.1464	5192.518	250	1
1_MACS_peak_20590_lociStitched	chr5	32529745	32544582	1	14838	56423.6273	3474.8254	251	1
2_MACS_peak_6402_lociStitched	chr12	89737798	89749887	2	11732	55878.9847	3083.9039	252	1
2_MACS_peak_18923_lociStitched	chr3	186779268	186792528	2	10536	56793.906	4068.168	253	1
2_MACS_peak_1679_lociStitched	chr1	156450303	156476403	2	21452	59575.86	6903.45	254	1
2_MACS_peak_7472_lociStitched	chr13	115023459	115048824	2	19571	56802.381	4527.6525	255	1
2_MACS_peak_15991_lociStitched	chr20	42694950	42710195	2	9589	54712.7805	2484.935	256	1
1_MACS_peak_23779_lociStitched	chr7	20254355	20262913	1	8559	54517.8832	2350.8826	257	1
3_MACS_peak_21046_lociStitched	chr5	88563518	88580678	3	11535	54924.012	3032.172	258	1
1_MACS_peak_19569_lociStitched	chr4	76022829	76030558	1	7730	53732.7809	1842.5936	259	1
