REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	04_0EWQ_0229Kronos_MM1S-KB-1hr-2_H3K18Ac_hs-dm_i06.bam	38_0EXQ_0229Kronos_MM1S-KB-1hr-2_Input_hs_i81.bam
5_MACS_peak_13932_lociStitched	chr20	25261619	25301467	5	22752	80305.67439999999	6578.9048
6_MACS_peak_1964_lociStitched	chr1	206271668	206311356	6	23738	68406.2368	9036.9576
7_MACS_peak_6955_lociStitched	chr14	95946411	95985716	7	14794	16260.478500000001	3207.288
6_MACS_peak_7665_lociStitched	chr15	74657960	74696719	6	17221	57390.45129999999	6185.9364
5_MACS_peak_12565_lociStitched	chr2	87783269	87821917	5	14838	26106.724	5271.5872
6_MACS_peak_9385_lociStitched	chr17	32688437	32726973	6	29104	51418.584800000004	7052.088
6_MACS_peak_3292_lociStitched	chr10	105229917	105268347	6	22016	37373.175	6121.899
7_MACS_peak_22699_lociStitched	chr8	126285335	126322748	7	21004	30143.6541	5301.4221
6_MACS_peak_10133_lociStitched	chr17	76743199	76779780	6	17109	27940.5678	5271.3221
5_MACS_peak_1906_lociStitched	chr1	203241548	203277855	5	25613	81026.3319	9501.5419
5_MACS_peak_12408_lociStitched	chr2	70334992	70371235	5	12130	38678.529599999994	5218.991999999999
5_MACS_peak_9427_lociStitched	chr17	34508277	34544344	5	31048	84126.2775	8767.887700000001
3_MACS_peak_17452_lociStitched	chr4	90205010	90240531	3	25153	56503.2547	5665.5995
6_MACS_peak_7087_lociStitched	chr15	21967147	22002602	6	15781	22116.829	4772.2429999999995
6_MACS_peak_7078_lociStitched	chr15	20960448	20995849	6	12953	22058.3631	4503.0072
4_MACS_peak_14904_lociStitched	chr22	29186020	29221401	4	24564	74494.6955	5643.2695
4_MACS_peak_4752_lociStitched	chr11	130670488	130705700	4	18321	32518.282	5535.3264
6_MACS_peak_24258_lociStitched	chrX	58124736	58159908	6	19696	31352.320799999998	2321.3520000000003
5_MACS_peak_10821_lociStitched	chr19	2445654	2480671	5	14743	30065.5962	7038.417
6_MACS_peak_11470_lociStitched	chr19	42027358	42062362	6	22121	32329.6944	6195.708
5_MACS_peak_1558_lociStitched	chr1	161122921	161157737	5	16460	37789.2864	8662.2208
6_MACS_peak_2492_lociStitched	chr10	11278859	11312919	6	20266	40337.257999999994	5756.14
5_MACS_peak_9575_lociStitched	chr17	40705862	40739567	5	11407	25248.4155	5841.0765
5_MACS_peak_15360_lociStitched	chr3	5222680	5256326	5	22583	29732.9702	5834.2164
6_MACS_peak_8427_lociStitched	chr16	30193749	30227311	6	16008	22046.877800000002	7125.2126
5_MACS_peak_14894_lociStitched	chr22	27037718	27071126	5	11929	20559.283199999998	5572.4544000000005
5_MACS_peak_8314_lociStitched	chr16	22185790	22219142	5	13295	26794.9968	5439.7112
6_MACS_peak_19508_lociStitched	chr6	27774772	27807802	6	13770	22675.095	5585.373
6_MACS_peak_3351_lociStitched	chr10	112600148	112633051	6	20054	30152.3092	5675.7675
3_MACS_peak_7047_lociStitched	chr14	106024730	106057615	3	30877	117083.754	5310.9275
2_MACS_peak_19296_lociStitched	chr6	7888904	7921751	2	31370	154495.8645	7607.3652
8_MACS_peak_19092_lociStitched	chr5	173310330	173343163	8	18970	20970.437100000003	5210.5971
6_MACS_peak_17046_lociStitched	chr4	15755290	15788090	6	12254	14953.52	4952.8
5_MACS_peak_9885_lociStitched	chr17	62150128	62182876	5	18686	34676.8572	5341.1988
6_MACS_peak_11069_lociStitched	chr19	12885562	12918175	6	13612	18758.997600000002	4944.130800000001
5_MACS_peak_3447_lociStitched	chr10	125822163	125854573	5	25252	42483.028	5807.872
6_MACS_peak_15116_lociStitched	chr22	39631483	39663869	6	16799	26702.257	4287.9064
6_MACS_peak_17894_lociStitched	chr4	185317513	185349878	6	17944	28769.2485	5262.549
4_MACS_peak_17922_lociStitched	chr4	186252486	186284811	4	10661	17164.575	4318.62
6_MACS_peak_5409_lociStitched	chr12	58135150	58167086	6	10217	15009.919999999998	5317.344
4_MACS_peak_11975_lociStitched	chr2	25623783	25655695	4	12853	25724.2632	5208.0384
6_MACS_peak_5916_lociStitched	chr12	123355281	123387110	6	21279	28295.981	2711.8307999999997
4_MACS_peak_24625_lociStitched	chrX	153596692	153628157	4	13370	19942.517	2318.9705
5_MACS_peak_19179_lociStitched	chr5	180228402	180259848	5	15644	36335.852999999996	5295.5064
6_MACS_peak_7982_lociStitched	chr15	101661304	101692504	6	17272	31243.680000000004	4733.04
5_MACS_peak_10803_lociStitched	chr19	2031641	2062720	5	10781	23629.363699999998	6340.116
4_MACS_peak_1304_lociStitched	chr1	149802959	149834029	4	15127	40912.976	7755.071999999999
4_MACS_peak_2245_lociStitched	chr1	230239023	230270090	4	17627	48719.269400000005	7014.9286
5_MACS_peak_19601_lociStitched	chr6	31773851	31804728	5	11589	19619.2458	4934.1446
6_MACS_peak_7054_lociStitched	chr14	106145144	106175857	6	26126	79684.8785	3513.5672
4_MACS_peak_46_lociStitched	chr1	1821031	1851692	4	9572	11246.454800000001	3820.3606
4_MACS_peak_21839_lociStitched	chr7	150054177	150084837	4	23020	75763.92599999999	7140.714
4_MACS_peak_16326_lociStitched	chr3	133181471	133212111	4	18722	45552.488	5665.336
4_MACS_peak_7601_lociStitched	chr15	68568814	68599406	4	18220	32788.505600000004	5558.5664
5_MACS_peak_22124_lociStitched	chr8	27208534	27239002	5	18320	24636.4248	5648.7672
4_MACS_peak_17401_lociStitched	chr4	84132767	84162999	4	12054	17694.7896	4580.148
4_MACS_peak_10318_lociStitched	chr18	9054848	9084937	4	17468	52399.993500000004	4883.4447
5_MACS_peak_18562_lociStitched	chr5	109252020	109281922	5	10164	13560.557	4742.4572
4_MACS_peak_19806_lociStitched	chr6	44204737	44234449	4	11396	17221.0752	4887.624
6_MACS_peak_8835_lociStitched	chr16	81841875	81871528	6	15114	20525.8066	2837.7920999999997
5_MACS_peak_10975_lociStitched	chr19	9917480	9946952	5	11487	14682.9504	4105.4496
5_MACS_peak_21435_lociStitched	chr7	102063762	102093103	5	19365	76427.4368	4747.3738
4_MACS_peak_1919_lociStitched	chr1	203706628	203735898	4	11128	27472.822	5921.321
4_MACS_peak_7286_lociStitched	chr15	40833525	40862734	4	17820	38868.4163	5155.3885
4_MACS_peak_21461_lociStitched	chr7	104576224	104605392	4	19465	54637.4976	5051.8976
6_MACS_peak_3519_lociStitched	chr10	135186523	135215595	6	9913	14006.8896	3660.1648000000005
5_MACS_peak_7745_lociStitched	chr15	78348159	78377223	5	7261	7699.053600000001	3938.1720000000005
5_MACS_peak_15675_lociStitched	chr3	46318266	46347211	5	19238	23743.5835	4408.3234999999995
5_MACS_peak_9514_lociStitched	chr17	38251394	38280334	5	14589	18753.12	4914.012000000001
3_MACS_peak_23346_lociStitched	chr9	93909312	93938219	3	12842	17850.072500000002	4214.640600000001
5_MACS_peak_4848_lociStitched	chr12	6552073	6580881	5	10243	19606.7248	4701.4656
4_MACS_peak_393_lociStitched	chr1	28558578	28587338	4	13158	19737.988	4595.848
4_MACS_peak_11145_lociStitched	chr19	16244056	16272760	4	19303	44468.2368	4850.976000000001
4_MACS_peak_14687_lociStitched	chr21	45552486	45581117	4	19472	88260.7837	7212.1489
5_MACS_peak_22645_lociStitched	chr8	120919466	120948019	5	17845	33221.4155	4885.4183
5_MACS_peak_7267_lociStitched	chr15	40330151	40358629	5	11969	20210.8366	4590.653600000001
3_MACS_peak_17291_lociStitched	chr4	71526803	71555202	3	18247	28887.4628	4373.446
4_MACS_peak_7868_lociStitched	chr15	89646680	89675072	4	14297	33502.56	4608.0216
6_MACS_peak_24494_lociStitched	chrX	128892928	128921273	6	14054	18095.448	3047.0875
5_MACS_peak_4905_lociStitched	chr12	9573465	9601755	5	11942	20309.391	4936.605
5_MACS_peak_18927_lociStitched	chr5	150590483	150618752	5	10966	12172.6314	4458.0213
4_MACS_peak_664_lociStitched	chr1	45178368	45206592	4	7018	15901.401600000001	4143.283200000001
4_MACS_peak_23715_lociStitched	chr9	130672566	130700724	4	12752	22106.8458	4882.5972
4_MACS_peak_2945_lociStitched	chr10	74006958	74034948	4	12897	21904.974	4201.299
4_MACS_peak_9034_lociStitched	chr17	4624414	4652274	4	6696	7667.072	3953.334
5_MACS_peak_7989_lociStitched	chr15	101790294	101818132	5	11608	21554.9634	4017.0234000000005
6_MACS_peak_5313_lociStitched	chr12	53845743	53873572	6	21933	20081.4064	4856.1605
1_MACS_peak_13580_lociStitched	chr2	232687081	232714717	1	27637	32121.3228	3255.5208000000002
5_MACS_peak_10201_lociStitched	chr17	79868421	79896030	5	8980	11352.8208	3500.8212
6_MACS_peak_4156_lociStitched	chr11	66861876	66889163	6	10161	10901.156500000001	3640.0858
5_MACS_peak_7682_lociStitched	chr15	75065700	75092960	5	18186	24915.64	4895.896000000001
6_MACS_peak_4046_lociStitched	chr11	63992814	64019947	6	11717	19701.2713	4628.8898
4_MACS_peak_17947_lociStitched	chr4	187749029	187776132	4	12384	30030.124000000003	3948.9071
5_MACS_peak_20036_lociStitched	chr6	88613480	88640475	5	17629	28212.474499999997	4383.987999999999
4_MACS_peak_1188_lociStitched	chr1	120658917	120685898	4	8259	8903.73	4754.0522
5_MACS_peak_18032_lociStitched	chr5	6711588	6738499	5	10045	15683.7308	3544.1787000000004
4_MACS_peak_12467_lociStitched	chr2	74684045	74710898	4	8470	14699.3322	3770.1612
4_MACS_peak_4900_lociStitched	chr12	9435833	9462655	4	8872	10361.3386	3253.5086
4_MACS_peak_23879_lociStitched	chr9	139964417	139991151	4	7026	10292.59	3119.8577999999998
5_MACS_peak_21073_lociStitched	chr7	55616108	55642773	5	18814	33933.879	4693.04
4_MACS_peak_3661_lociStitched	chr11	10314497	10341066	4	16609	27990.441500000004	4591.1232
3_MACS_peak_5745_lociStitched	chr12	109009386	109035885	3	17586	77406.2289	5456.1441
6_MACS_peak_9647_lociStitched	chr17	43504920	43531401	6	15329	22429.407	4096.6107
5_MACS_peak_23791_lociStitched	chr9	134126998	134153372	5	14429	19313.6802	4309.5116
5_MACS_peak_21933_lociStitched	chr8	2098063	2124404	5	10870	14880.0309	3400.6231
6_MACS_peak_10996_lociStitched	chr19	10513465	10539703	6	14280	16553.5542	3794.0148000000004
5_MACS_peak_22962_lociStitched	chr9	6629959	6656191	5	7825	9422.5344	3546.5663999999997
4_MACS_peak_10757_lociStitched	chr19	1015194	1041407	4	13589	24302.0723	5706.5701
5_MACS_peak_15921_lociStitched	chr3	69128703	69154884	5	14247	16048.953	4034.4920999999995
5_MACS_peak_22846_lociStitched	chr8	145001842	145027991	5	14501	23761.596299999997	3592.8725999999997
3_MACS_peak_15420_lociStitched	chr3	13035679	13061711	3	15304	48947.969600000004	5180.368
2_MACS_peak_4087_lociStitched	chr11	65183467	65209402	2	18933	87413.9175	6483.75
5_MACS_peak_23963_lociStitched	chrX	10065343	10091103	5	12100	17024.784	2251.424
4_MACS_peak_4940_lociStitched	chr12	11965222	11990934	4	7854	10130.528	3877.3695999999995
4_MACS_peak_4366_lociStitched	chr11	82764680	82790348	4	10701	24130.486800000002	4525.2684
4_MACS_peak_12315_lociStitched	chr2	64430679	64456338	4	9973	18864.4968	3992.5404
4_MACS_peak_10531_lociStitched	chr18	46308278	46333871	4	10791	13070.3451	3501.1224
4_MACS_peak_23452_lociStitched	chr9	101997111	102022671	4	7899	14699.555999999999	3573.288
4_MACS_peak_9817_lociStitched	chr17	56405374	56430893	4	17286	48299.8113	5262.0178
4_MACS_peak_9905_lociStitched	chr17	62961024	62986541	4	11243	38334.189099999996	4212.8567
4_MACS_peak_15810_lociStitched	chr3	52272350	52297635	4	7646	10551.4305	4063.2995
3_MACS_peak_16672_lociStitched	chr3	181636532	181661798	3	9438	13739.6508	5020.3542
5_MACS_peak_10036_lociStitched	chr17	73850473	73875718	5	12141	31384.584000000003	3804.4215
4_MACS_peak_7116_lociStitched	chr15	23657721	23682915	4	19192	44202.873	3935.3028
4_MACS_peak_19715_lociStitched	chr6	37015738	37040917	4	10104	14712.0897	3512.4705000000004
6_MACS_peak_10786_lociStitched	chr19	1647728	1672875	6	11574	32914.908299999996	4403.2397
4_MACS_peak_22224_lociStitched	chr8	37737442	37762574	4	11279	16931.4284	3920.592
3_MACS_peak_16216_lociStitched	chr3	124487222	124512326	3	18901	39368.0928	3893.6303999999996
4_MACS_peak_9074_lociStitched	chr17	6915048	6940140	4	10457	32009.864400000002	3708.5975999999996
1_MACS_peak_20136_lociStitched	chr6	106530926	106555972	1	25047	61713.344	4806.3274
4_MACS_peak_4607_lociStitched	chr11	118954875	118979802	4	9337	17927.4984	4626.4511999999995
3_MACS_peak_12319_lociStitched	chr2	64486787	64511617	3	8971	16693.209	3945.4870000000005
4_MACS_peak_2472_lociStitched	chr10	7510832	7535652	4	14908	22434.798000000003	3571.598
5_MACS_peak_16591_lociStitched	chr3	171802188	171826998	5	18078	27544.062	5805.54
3_MACS_peak_4164_lociStitched	chr11	67033112	67057901	3	10596	30698.6976	3842.295
5_MACS_peak_620_lociStitched	chr1	42339533	42364284	5	8369	8776.704600000001	3254.7565
4_MACS_peak_10422_lociStitched	chr18	23746977	23771588	4	8159	11901.8796	3029.6141000000002
5_MACS_peak_11441_lociStitched	chr19	40926482	40950976	5	8490	7742.5534	3314.0382
5_MACS_peak_2936_lociStitched	chr10	73609979	73634464	5	9088	10129.4445	3574.81
3_MACS_peak_9620_lociStitched	chr17	42275443	42299854	3	11472	18012.8769	3764.1762
4_MACS_peak_8952_lociStitched	chr17	1000689	1025051	4	9275	15189.707000000002	3498.3832
4_MACS_peak_19443_lociStitched	chr6	25366085	25390438	4	16610	21006.897800000002	4247.1632
5_MACS_peak_12779_lociStitched	chr2	112687574	112711923	5	9120	10061.006800000001	3421.0345
4_MACS_peak_11175_lociStitched	chr19	16984341	17008670	4	7357	9347.201799999999	2586.1727
3_MACS_peak_19454_lociStitched	chr6	26043049	26067295	3	8305	11921.7582	3699.9396
3_MACS_peak_4273_lociStitched	chr11	72977879	73002068	3	14715	47408.0211	4027.4685000000004
4_MACS_peak_9738_lociStitched	chr17	48225421	48249607	4	12617	12371.139	3775.4345999999996
4_MACS_peak_9420_lociStitched	chr17	34408807	34432955	4	22233	43311.8528	4701.6156
4_MACS_peak_7897_lociStitched	chr15	90721299	90745445	4	8606	12278.240999999998	3489.0969999999998
4_MACS_peak_19310_lociStitched	chr6	10403520	10427599	4	7853	11572.367400000001	3084.5199
3_MACS_peak_12204_lociStitched	chr2	47526896	47550969	3	13666	43844.1549	4670.162
4_MACS_peak_10923_lociStitched	chr19	6765472	6789427	4	8460	13354.9125	5191.0485
3_MACS_peak_15656_lociStitched	chr3	45593920	45617867	3	11807	14641.195800000001	3795.5995000000003
4_MACS_peak_8609_lociStitched	chr16	57634224	57658162	4	9750	13817.0136	3825.2924
3_MACS_peak_8201_lociStitched	chr16	11762266	11786163	3	19946	46080.5851	4800.9073
6_MACS_peak_4718_lociStitched	chr11	128586007	128609730	6	18459	24069.355799999998	4754.089199999999
6_MACS_peak_3536_lociStitched	chr11	554210	577832	6	7221	14133.0426	2955.1121999999996
4_MACS_peak_15092_lociStitched	chr22	39362178	39385759	4	12165	21331.3726	3164.5702
4_MACS_peak_8397_lociStitched	chr16	29464335	29487898	4	10170	13716.022299999999	4931.735900000001
2_MACS_peak_21930_lociStitched	chr8	2027405	2050911	2	18397	101842.0956	4247.5342
3_MACS_peak_11414_lociStitched	chr19	39880744	39904238	3	18532	65787.8988	4757.535000000001
3_MACS_peak_6296_lociStitched	chr13	78689103	78712596	3	11743	22515.6912	3317.2115999999996
2_MACS_peak_1238_lociStitched	chr1	145434268	145457737	2	15137	25283.1537	5911.841100000001
4_MACS_peak_15667_lociStitched	chr3	46129772	46153200	4	13837	17374.2048	3689.91
5_MACS_peak_8754_lociStitched	chr16	70827113	70850526	5	9809	12710.917700000002	3767.1517
4_MACS_peak_19461_lociStitched	chr6	26183623	26207035	4	11707	16971.358799999998	4265.6664
4_MACS_peak_1139_lociStitched	chr1	115236678	115260075	4	10447	13921.215	1481.0301
4_MACS_peak_18692_lociStitched	chr5	131418420	131441804	4	10381	30525.473599999998	3872.3903999999998
4_MACS_peak_20518_lociStitched	chr6	157976796	158000129	4	14823	30197.5686	1915.6393
4_MACS_peak_19136_lociStitched	chr5	176717348	176740665	4	12724	24189.055800000002	4201.7234
5_MACS_peak_9992_lociStitched	chr17	72733469	72756688	5	16060	20121.5854	4144.5914999999995
4_MACS_peak_1230_lociStitched	chr1	145138584	145161747	4	10634	18965.8644	7615.9944
4_MACS_peak_4063_lociStitched	chr11	64611160	64634273	4	9426	18081.299899999998	3698.08
3_MACS_peak_15976_lociStitched	chr3	75670060	75693150	3	8698	14618.279	5389.206
4_MACS_peak_12579_lociStitched	chr2	88905334	88928422	4	11214	14180.649599999999	4144.296
4_MACS_peak_9279_lociStitched	chr17	25658743	25681830	4	7593	14620.997099999999	2811.9966
5_MACS_peak_12899_lociStitched	chr2	131128752	131151771	5	8502	12704.186099999999	3351.5664
4_MACS_peak_5215_lociStitched	chr12	48276244	48299237	4	9477	11825.2999	3570.8129
3_MACS_peak_19948_lociStitched	chr6	74159552	74182479	3	7826	14544.888799999999	3189.1457
5_MACS_peak_22514_lociStitched	chr8	95953512	95976433	5	10178	10339.6631	2188.9555
3_MACS_peak_14663_lociStitched	chr21	44724564	44747478	3	15768	49038.2514	4674.456
4_MACS_peak_11167_lociStitched	chr19	16694053	16716963	4	14916	49788.012	4648.439
5_MACS_peak_13378_lociStitched	chr2	204716883	204739755	5	9389	9613.1016	2957.3496
4_MACS_peak_14630_lociStitched	chr21	43283593	43306464	4	9363	18207.6031	4398.0932999999995
4_MACS_peak_3465_lociStitched	chr10	126410977	126433825	4	7847	12038.611200000001	3269.5488
3_MACS_peak_16484_lociStitched	chr3	156381729	156404557	3	8535	15664.573600000002	5407.9532
5_MACS_peak_1436_lociStitched	chr1	155210203	155233025	5	8724	12488.198400000001	5356.3234
4_MACS_peak_20088_lociStitched	chr6	97242467	97265268	4	5881	6566.687999999999	2939.0489
2_MACS_peak_8593_lociStitched	chr16	56963262	56986023	2	14265	43095.6774	4891.3389
4_MACS_peak_7581_lociStitched	chr15	67372732	67395456	4	7545	9587.2556	3656.2915999999996
6_MACS_peak_5130_lociStitched	chr12	33037908	33060579	6	11210	11909.0763	3260.0898
4_MACS_peak_15128_lociStitched	chr22	39823366	39846017	4	13284	33971.9698	4074.9149
4_MACS_peak_11618_lociStitched	chr19	48879849	48902448	4	11056	29360.620799999997	3132.2214
3_MACS_peak_4619_lociStitched	chr11	119543339	119565904	3	8259	11492.3545	3321.5679999999998
4_MACS_peak_23486_lociStitched	chr9	108004658	108027198	4	11767	21816.466	3313.3799999999997
4_MACS_peak_11244_lociStitched	chr19	19475323	19497800	4	5341	5302.3243	2683.7538
4_MACS_peak_12518_lociStitched	chr2	85821810	85844279	4	6669	8767.4038	3107.4627
4_MACS_peak_6861_lociStitched	chr14	81930633	81953068	4	14977	17034.8955	1913.7055
4_MACS_peak_5842_lociStitched	chr12	117535748	117558125	4	9514	14086.321499999998	1926.6597
3_MACS_peak_10130_lociStitched	chr17	76711315	76733692	3	16818	22891.671	3992.0568000000003
2_MACS_peak_11936_lociStitched	chr2	20404073	20426436	2	20641	47872.4741	4564.2883
3_MACS_peak_18700_lociStitched	chr5	131745241	131767571	3	18805	41368.558	4528.524
4_MACS_peak_12621_lociStitched	chr2	97190500	97212770	4	13956	59999.833999999995	4200.121999999999
4_MACS_peak_10065_lociStitched	chr17	74476181	74498446	4	10842	24660.714	3671.4984999999997
5_MACS_peak_13477_lociStitched	chr2	219741201	219763461	5	16970	26996.928000000004	3855.432
4_MACS_peak_18464_lociStitched	chr5	87954687	87976874	4	9434	23400.6289	3470.0468
3_MACS_peak_11753_lociStitched	chr19	56329013	56351158	3	9924	22561.325999999997	3171.1639999999998
3_MACS_peak_18027_lociStitched	chr5	6475885	6497939	3	14384	60302.2522	3905.7634000000003
3_MACS_peak_14853_lociStitched	chr22	24178839	24200891	3	15788	86686.412	4121.5188
4_MACS_peak_19282_lociStitched	chr6	7135369	7157401	4	10420	16438.0752	3216.672
5_MACS_peak_11746_lociStitched	chr19	56145818	56167788	5	10284	19575.27	3299.894
4_MACS_peak_22879_lociStitched	chr8	145732865	145754828	4	8339	17153.103	3033.0903
3_MACS_peak_18856_lociStitched	chr5	142952564	142974490	3	8167	13181.911199999999	3345.9076000000005
5_MACS_peak_12341_lociStitched	chr2	65157235	65179158	5	15738	37560.6759	4568.7532
5_MACS_peak_21416_lociStitched	chr7	101376548	101398357	5	8330	7417.240900000001	2822.0845999999997
3_MACS_peak_1293_lociStitched	chr1	149203734	149225536	3	7813	37534.3232	6165.6056
4_MACS_peak_15342_lociStitched	chr3	3123080	3144879	4	4556	4388.1387	1462.7129000000002
4_MACS_peak_12384_lociStitched	chr2	68941380	68963129	4	8538	13471.3306	3845.2232000000004
2_MACS_peak_1469_lociStitched	chr1	156115287	156137032	2	20573	77805.7845	6121.2175
4_MACS_peak_8028_lociStitched	chr16	769998	791739	4	6593	8757.2748	2841.5487000000003
4_MACS_peak_20614_lociStitched	chr7	1063208	1084938	4	6063	7475.119999999999	2246.882
3_MACS_peak_7273_lociStitched	chr15	40387407	40409099	3	15443	27236.4752	4195.2328
3_MACS_peak_16568_lociStitched	chr3	169755002	169776683	3	11843	21561.754500000003	4858.7121
4_MACS_peak_1389_lociStitched	chr1	153929434	153951081	4	9305	17408.5174	5251.5622
3_MACS_peak_295_lociStitched	chr1	24512240	24533858	3	15295	40140.3024	3726.9432
4_MACS_peak_3834_lociStitched	chr11	35127523	35149132	4	7934	8300.0169	3161.3967000000002
2_MACS_peak_19334_lociStitched	chr6	11827060	11848647	2	13390	50204.885899999994	3477.6657
4_MACS_peak_19329_lociStitched	chr6	11714049	11735591	4	11748	19366.258	3278.6924
5_MACS_peak_10051_lociStitched	chr17	74169161	74190613	5	7864	8076.678	2953.9404
4_MACS_peak_2251_lociStitched	chr1	230630855	230652300	4	7381	9718.874	3857.9555
4_MACS_peak_6938_lociStitched	chr14	94424567	94445906	4	9610	11399.2938	1982.3931
3_MACS_peak_15531_lociStitched	chr3	30682341	30703661	3	14977	15258.724	3532.7239999999997
3_MACS_peak_14163_lociStitched	chr20	43587653	43608940	3	11042	11748.295299999998	3533.6420000000003
2_MACS_peak_1328_lociStitched	chr1	150531948	150553231	2	13974	45181.6807	5850.6966999999995
3_MACS_peak_15772_lociStitched	chr3	50263439	50284716	3	7146	7683.124699999999	3729.8581000000004
4_MACS_peak_19653_lociStitched	chr6	33537809	33559071	4	9335	19061.382999999998	3497.599
4_MACS_peak_15834_lociStitched	chr3	53194332	53215558	4	7962	8157.1518	2905.8394
4_MACS_peak_14297_lociStitched	chr20	52545819	52567038	4	10780	11717.131800000001	3558.4262999999996
3_MACS_peak_9681_lociStitched	chr17	45898244	45919452	3	4794	5155.6648000000005	3217.2536
3_MACS_peak_14289_lociStitched	chr20	52337028	52358166	3	8860	10258.2714	2936.0681999999997
3_MACS_peak_12229_lociStitched	chr2	54777593	54798710	3	8747	10387.4523	3233.0127
3_MACS_peak_14079_lociStitched	chr20	35917202	35938319	3	5880	9992.5644	3017.6193
3_MACS_peak_23912_lociStitched	chrX	949926	971037	3	7761	11921.3817	916.2174
6_MACS_peak_15905_lociStitched	chr3	66530607	66551682	6	11479	10170.795	3068.52
4_MACS_peak_23104_lociStitched	chr9	35828394	35849401	4	7328	8463.720299999999	3468.2556999999997
3_MACS_peak_1465_lociStitched	chr1	156065250	156086231	3	11990	24579.2415	4554.9751
3_MACS_peak_4392_lociStitched	chr11	85893538	85914464	3	5003	7244.5812000000005	2758.0468
4_MACS_peak_5188_lociStitched	chr12	46764510	46785436	4	10640	18331.176	3113.7888
3_MACS_peak_1971_lociStitched	chr1	206679985	206700910	3	5464	5959.44	3444.255
3_MACS_peak_15617_lociStitched	chr3	42622478	42643377	3	7255	13197.718499999999	2973.9277
3_MACS_peak_12096_lociStitched	chr2	37601628	37622510	3	12443	30794.6854	3861.0818000000004
4_MACS_peak_20350_lociStitched	chr6	135322985	135343829	4	11428	20249.946	2755.5768000000003
2_MACS_peak_2488_lociStitched	chr10	11202849	11223676	2	20634	86911.071	4740.2252
4_MACS_peak_4625_lociStitched	chr11	120195739	120216563	4	7751	9841.422400000001	3392.2295999999997
3_MACS_peak_1801_lociStitched	chr1	187001081	187021897	3	6086	8465.8672	4198.5872
