REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X04_0EWQ_0229Kronos_MM1S.KB.1hr.2_H3K18Ac_hs.dm_i06.bam	X38_0EXQ_0229Kronos_MM1S.KB.1hr.2_Input_hs_i81.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isSuperStretch
6_MACS_peak_9432_lociStitched	chr17	34597394	34641990	6	36160	86850.71	9592.5996	12	CCL4L1,CCL3L1,CCL3L3	TBC1D3C	TBC1D3C	TBC1D3C	0.02589999999999998	12	1
6_MACS_peak_13953_lociStitched	chr20	30262457	30312225	6	36112	76443.648	9749.5512	13	BCL2L1	COX4I2,TPX2	BCL2L1	BCL2L1	0.9843	13	1
7_MACS_peak_9176_lociStitched	chr17	16847846	16895580	7	27868	108757.1456	8195.9278	14	TNFRSF13B		TNFRSF13B	TNFRSF13B	1.0455	14	1
5_MACS_peak_9427_lociStitched	chr17	34508277	34544344	5	31048	84126.2775	8767.8877	15	CCL4L1,CCL3L1,CCL3L3	TBC1D3B,TBC1D3C	CCL3L1	CCL3L1	2.7354	15	1
6_MACS_peak_1417_lociStitched	chr1	154907933	154957604	6	28039	93927.861	13033.6704	16	CKS1B,MIR4258,FLAD1,PMVK,PBXIP1,PYGO2,SHC1	LENEP,ZBTB7B,DCST1,DCST2	PYGO2	PYGO2	1.1464	16	1
6_MACS_peak_10538_lociStitched	chr18	46439428	46479863	6	32781	49359.0045	7039.7335	17	SMAD7		SMAD7	SMAD7	0.9995999999999999	17	1
9_MACS_peak_4870_lociStitched	chr12	7013287	7081058	9	30778	61237.8756	11446.5219	18	LRRC23,ENO2,ATN1,C12orf57,PTPN6,MIR200C,MIR141,EMG1,PHB2,SCARNA12	TPI1,RPL13P5,DSTNP2,SPSB2,LPCAT3	C12orf57	C12orf57	0.6635	18	1
6_MACS_peak_7054_lociStitched	chr14	106145144	106175857	6	26126	79684.8785	3513.5672	19			TMEM121	TMEM121	0.1278	19	1
6_MACS_peak_16699_lociStitched	chr3	183227751	183274385	6	29352	59033.9806	11994.2648	20	KLHL6		KLHL6	KLHL6	0.6927	20	1
5_MACS_peak_1906_lociStitched	chr1	203241548	203277855	5	25613	81026.3319	9501.5419	21	BTG2,LOC730227	CHIT1,FMOD	LOC730227	LOC730227	1.9583000000000002	21	1
6_MACS_peak_9385_lociStitched	chr17	32688437	32726973	6	29104	51418.5848	7052.088	22	CCL1	CCL8,CCL13	CCL1	CCL1	0.5492	22	1
5_MACS_peak_8204_lociStitched	chr16	11796833	11837881	5	29042	50517.7736	7372.2208	23	TXNDC11	SNN	TXNDC11	TXNDC11	1.1362	23	1
2_MACS_peak_21930_lociStitched	chr8	2027405	2050911	2	18397	101842.0956	4247.5342	24	MYOM2		MYOM2	MYOM2	1.2162	24	1
1_MACS_peak_17989_lociStitched	chr5	1310880	1320645	1	9766	116800.1415	2365.083	25	CLPTM1L	TERT	TERT	TERT	0.03069999999999999	25	1
4_MACS_peak_14904_lociStitched	chr22	29186020	29221401	4	24564	74494.6955	5643.2695	26	XBP1	HSCB,CCDC117,CHEK2	XBP1	XBP1	2.7894	26	1
5_MACS_peak_13932_lociStitched	chr20	25261619	25301467	5	22752	80305.6744	6578.9048	27	PYGB,ABHD12		PYGB	PYGB	0.7527	27	1
2_MACS_peak_2488_lociStitched	chr10	11202849	11223676	2	20634	86911.071	4740.2252	28	CELF2		CELF2	CELF2	0.3535	28	1
4_MACS_peak_4090_lociStitched	chr11	65238164	65278803	4	23611	73633.8041	7290.6366	29	MALAT1	NEAT1,MIR612,SCYL1,LTBP3	MALAT1	NEAT1	5.4542	29	1
1_MACS_peak_20136_lociStitched	chr6	106530926	106555972	1	25047	61713.344	4806.3274	30	PRDM1		PRDM1	PRDM1	1.7157	30	1
4_MACS_peak_21839_lociStitched	chr7	150054177	150084837	4	23020	75763.926	7140.714	31	REPIN1,ZNF775	LRRC61,C7orf29,LOC728743,LOC285972,ACTR3C,RARRES2	REPIN1	REPIN1	2.8179	31	1
1_MACS_peak_13580_lociStitched	chr2	232687081	232714717	1	27637	32121.3228	3255.5208	32		COPS7B,PDE6D,MIR1471	COPS7B	COPS7B	0.034	32	1
4_MACS_peak_14687_lociStitched	chr21	45552486	45581117	4	19472	88260.7837	7212.1489	33	C21orf33	PWP2	C21orf33	C21orf33	1.1981000000000002	33	1
3_MACS_peak_17452_lociStitched	chr4	90205010	90240531	3	25153	56503.2547	5665.5995	34	GPRIN3		GPRIN3	GPRIN3	0.6291	34	1
6_MACS_peak_1964_lociStitched	chr1	206271668	206311356	6	23738	68406.2368	9036.9576	35	C1orf186	AVPR1B,CTSE	C1orf186	C1orf186	0.8541000000000001	35	1
2_MACS_peak_4087_lociStitched	chr11	65183467	65209402	2	18933	87413.9175	6483.75	36	NEAT1	FRMD8,MIR612,SLC25A45	NEAT1	NEAT1	5.4542	36	1
8_MACS_peak_19860_lociStitched	chr6	52392551	52442954	8	25830	50861.6673	8790.2832	37	TRAM2		TRAM2	TRAM2	0.5737	37	1
2_MACS_peak_1469_lociStitched	chr1	156115287	156137032	2	20573	77805.7845	6121.2175	38	SEMA4A	LMNA,SLC25A44,PMF1	SEMA4A	SEMA4A	1.8893999999999997	38	1
5_MACS_peak_3447_lociStitched	chr10	125822163	125854573	5	25252	42483.028	5807.872	40	CHST15		CHST15	CHST15	0.4064	40	1
5_MACS_peak_21435_lociStitched	chr7	102063762	102093103	5	19365	76427.4368	4747.3738	41	PRKRIP1,ORAI2	LRWD1,ALKBH4,POLR2J	ORAI2	ORAI2	1.2471	41	1
3_MACS_peak_14853_lociStitched	chr22	24178839	24200891	3	15788	86686.412	4121.5188	42	SLC2A11,DERL3	SMARCB1,MIF	DERL3	DERL3	1.1305	42	1
8_MACS_peak_7179_lociStitched	chr15	31616837	31657705	8	24430	44709.592	7061.9904	43	KLF13		KLF13	KLF13	0.6295999999999999	43	1
7_MACS_peak_8696_lociStitched	chr16	68269826	68320185	7	24488	36263.5159	8017.1528	44	PLA2G15,SLC7A6,ESRP2	PRMT7,SLC7A6OS	SLC7A6	SLC7A6	0.24309999999999998	44	1
3_MACS_peak_5745_lociStitched	chr12	109009386	109035885	3	17586	77406.2289	5456.1441	45	SELPLG	TMEM119	SELPLG	SELPLG	3.0582000000000003	45	1
1_MACS_peak_5300_lociStitched	chr12	53588036	53603898	1	15863	79631.9986	3886.19	46	ITGB7	ZNF740,MFSD5,CSAD,RARG	ITGB7	ITGB7	2.9531	46	1
11_MACS_peak_9696_lociStitched	chr17	46506659	46571187	11	24225	34328.896	10627.7616	47	SKAP1	HOXB1	SKAP1	HOXB1	0.0267	47	1
5_MACS_peak_12762_lociStitched	chr2	112208473	112253636	5	20925	57478.9501	7519.6395	48	LOC541471		LOC541471	LOC541471	0.4054	48	1
4_MACS_peak_9420_lociStitched	chr17	34408807	34432955	4	22233	43311.8528	4701.6156	49	CCL4,CCL3	CCL18	CCL3	CCL3	2.1897	49	1
3_MACS_peak_11414_lociStitched	chr19	39880744	39904238	3	18532	65787.8988	4757.535	50	MED29,ZFP36,PLEKHG2,PAF1	SAMD4B,SUPT5H,RPS16	ZFP36	ZFP36	3.5759999999999996	50	1
3_MACS_peak_4265_lociStitched	chr11	72850524	72869839	3	18835	63237.31	3805.055	51	FCHSD2		FCHSD2	FCHSD2	0.03169999999999999	51	1
2_MACS_peak_11936_lociStitched	chr2	20404073	20426436	2	20641	47872.4741	4564.2883	52	SDC1		SDC1	SDC1	1.2738	52	1
6_MACS_peak_3292_lociStitched	chr10	105229917	105268347	6	22016	37373.175	6121.899	53	NEURL,CALHM3	CALHM2,CALHM1	NEURL	NEURL	0.2102	53	1
5_MACS_peak_15360_lociStitched	chr3	5222680	5256326	5	22583	29732.9702	5834.2164	54	EDEM1		EDEM1	EDEM1	0.5229999999999999	54	1
4_MACS_peak_21461_lociStitched	chr7	104576224	104605392	4	19465	54637.4976	5051.8976	55		MLL5,LOC723809,LOC100216545	LOC723809	LOC100216545	3.1224000000000003	55	1
6_MACS_peak_11470_lociStitched	chr19	42027358	42062362	6	22121	32329.6944	6195.708	56		CEACAM21	CEACAM21	NONE	NONE	56	1
8_MACS_peak_20175_lociStitched	chr6	109186644	109228383	8	22204	25222.8777	6018.7638	57	ARMC2		ARMC2	ARMC2	0.1844	57	1
3_MACS_peak_8201_lociStitched	chr16	11762266	11786163	3	19946	46080.5851	4800.9073	58	SNN,TXNDC11		SNN	SNN	1.0541	58	1
10_MACS_peak_20393_lociStitched	chr6	138246563	138297409	10	21872	27050.072	7759.0996	59			TNFAIP3	TNFAIP3	NONE	59	1
2_MACS_peak_421_lociStitched	chr1	31213988	31233546	2	19386	47991.4204	4318.4064	60	LAPTM5	LOC100129196,MATN1	LAPTM5	LAPTM5	1.2546000000000002	60	1
6_MACS_peak_5313_lociStitched	chr12	53845743	53873572	6	21933	20081.4064	4856.1605	61	PCBP2	AMHR2,PRR13,TARBP2,MAP3K12,NPFF	PCBP2	PCBP2	0.3808	61	1
6_MACS_peak_5916_lociStitched	chr12	123355281	123387110	6	21279	28295.981	2711.8308	62	VPS37B	HIP1R	VPS37B	VPS37B	0.5954999999999999	62	1
6_MACS_peak_2492_lociStitched	chr10	11278859	11312919	6	20266	40337.258	5756.14	64	CELF2		CELF2	CELF2	0.3535	64	1
7_MACS_peak_22699_lociStitched	chr8	126285335	126322748	7	21004	30143.6541	5301.4221	65	NSMCE2		TRIB1	TRIB1	NONE	65	1
3_MACS_peak_1481_lociStitched	chr1	156456494	156476550	3	19861	41473.8024	5738.0216	66	MEF2D		MEF2D	MEF2D	0.7026	66	1
2_MACS_peak_10808_lociStitched	chr19	2081450	2098310	2	15002	67310.178	5226.6	67	IZUMO4,MOBKL2A	MKNK2	MOBKL2A	MOBKL2A	1.7554	67	1
4_MACS_peak_11145_lociStitched	chr19	16244056	16272760	4	19303	44468.2368	4850.976	68	RAB8A,HSH2D,CIB3	FAM32A,AP1M1	HSH2D	HSH2D	1.1421	68	1
4_MACS_peak_7116_lociStitched	chr15	23657721	23682915	4	19192	44202.873	3935.3028	69			MKRN3	MKRN3	NONE	69	1
6_MACS_peak_7665_lociStitched	chr15	74657960	74696719	6	17221	57390.4513	6185.9364	70	CYP11A1	CCDC33,SEMA7A	CYP11A1	SEMA7A	0.0965	70	1
4_MACS_peak_16326_lociStitched	chr3	133181471	133212111	4	18722	45552.488	5665.336	71	BFSP2		BFSP2	BFSP2	0.49540000000000006	71	1
4_MACS_peak_10318_lociStitched	chr18	9054848	9084937	4	17468	52399.9935	4883.4447	72		NDUFV2	NDUFV2	NDUFV2	0.8395999999999999	72	1
6_MACS_peak_24258_lociStitched	chrX	58124736	58159908	6	19696	31352.3208	2321.352	73			ZXDA	ZXDA	NONE	73	1
3_MACS_peak_18700_lociStitched	chr5	131745241	131767571	3	18805	41368.558	4528.524	74	C5orf56	SLC22A5,MIR3936	C5orf56	C5orf56	0.8906000000000001	74	1
6_MACS_peak_3351_lociStitched	chr10	112600148	112633051	6	20054	30152.3092	5675.7675	75	PDCD4,LOC282997	SHOC2,NCRNA00081	LOC282997	LOC282997	0.5245000000000001	75	1
3_MACS_peak_219_lociStitched	chr1	17221233	17241655	3	8952	79635.589	5552.7418	76		CROCC	CROCC	NONE	NONE	76	1
3_MACS_peak_16216_lociStitched	chr3	124487222	124512326	3	18901	39368.0928	3893.6304	77	ITGB5	UMPS	UMPS	UMPS	0.04869999999999999	77	1
2_MACS_peak_3336_lociStitched	chr10	112103978	112120037	2	10209	74586.0255	3420.567	78		SMNDC1	SMNDC1	SMNDC1	0.0721	78	1
4_MACS_peak_2245_lociStitched	chr1	230239023	230270090	4	17627	48719.2694	7014.9286	79	GALNT2		GALNT2	GALNT2	0.2602	79	1
4_MACS_peak_9817_lociStitched	chr17	56405374	56430893	4	17286	48299.8113	5262.0178	80	BZRAP1,MIR142,SUPT4H1	MPO	MIR142	MIR142	1.4544	80	1
3_MACS_peak_18027_lociStitched	chr5	6475885	6497939	3	14384	60302.2522	3905.7634	81	UBE2QL1		UBE2QL1	UBE2QL1	1.1724	81	1
7_MACS_peak_1983_lociStitched	chr1	206938703	206978863	7	19774	27533.696	8774.96	82	IL19,IL10	IL19	IL10	IL10	0.2841	82	1
5_MACS_peak_21073_lociStitched	chr7	55616108	55642773	5	18814	33933.879	4693.04	83	VOPP1		VOPP1	VOPP1	0.9057	83	1
1_MACS_peak_11899_lociStitched	chr2	11883353	11898353	1	15001	55822.5	3198	84	LPIN1		LPIN1	LPIN1	0.5571	84	1
5_MACS_peak_9885_lociStitched	chr17	62150128	62182876	5	18686	34676.8572	5341.1988	85	ERN1	SNORD104,SNORA76	ERN1	ERN1	0.4384	85	1
4_MACS_peak_12621_lociStitched	chr2	97190500	97212770	4	13956	59999.834	4200.122	86	ARID5A	NEURL3	ARID5A	ARID5A	1.2845	86	1
5_MACS_peak_15675_lociStitched	chr3	46318266	46347211	5	19238	23743.5835	4408.3235	87		CCR3,CCR2	CCR3	CCR2	0.48960000000000004	87	1
4_MACS_peak_7286_lociStitched	chr15	40833525	40862734	4	17820	38868.4163	5155.3885	88	RPUSD2,C15orf57	CASC5,MRPL42P5	C15orf57	C15orf57	0.8088000000000001	88	1
2_MACS_peak_3763_lociStitched	chr11	22685073	22703238	2	17984	34422.675	2633.925	89	GAS2	FANCF	GAS2	FANCF	0.39440000000000003	89	1
1_MACS_peak_17165_lociStitched	chr4	40191338	40209204	1	17867	35794.531	4221.7358	90	RHOH		RHOH	RHOH	0.5327000000000001	90	1
4_MACS_peak_4752_lociStitched	chr11	130670488	130705700	4	18321	32518.282	5535.3264	91			SNX19	SNX19	NONE	91	1
2_MACS_peak_9523_lociStitched	chr17	38466242	38484135	2	17391	38251.6554	3607.2288	92	RARA	CDC6,RARA,GJD3	RARA	RARA	0.5955	92	1
4_MACS_peak_7601_lociStitched	chr15	68568814	68599406	4	18220	32788.5056	5558.5664	93	FEM1B,ITGA11	CLN6	FEM1B	FEM1B	0.7315	93	1
3_MACS_peak_14663_lociStitched	chr21	44724564	44747478	3	15768	49038.2514	4674.456	94			SIK1	SIK1	NONE	94	1
8_MACS_peak_19092_lociStitched	chr5	173310330	173343163	8	18970	20970.4371	5210.5971	95	CPEB4		CPEB4	CPEB4	0.1996	95	1
2_MACS_peak_14616_lociStitched	chr21	41324608	41344422	2	16772	43190.5572	5452.8128	96			PCP4	PCP4	0.2107	96	1
3_MACS_peak_17291_lociStitched	chr4	71526803	71555202	3	18247	28887.4628	4373.446	97	UTP3,IGJ	ENAM,RUFY3	IGJ	IGJ	0.4514	97	1
5_MACS_peak_22645_lociStitched	chr8	120919466	120948019	5	17845	33221.4155	4885.4183	98	DEPDC6		DEPDC6	DEPDC6	0.21059999999999998	98	1
6_MACS_peak_4718_lociStitched	chr11	128586007	128609730	6	18459	24069.3558	4754.0892	99	FLI1		FLI1	FLI1	0.23279999999999998	99	1
3_MACS_peak_15420_lociStitched	chr3	13035679	13061711	3	15304	48947.9696	5180.368	100	IQSEC1	IQSEC1	IQSEC1	IQSEC1	0.2465	100	1
5_MACS_peak_22124_lociStitched	chr8	27208534	27239002	5	18320	24636.4248	5648.7672	101	PTK2B	TRIM35	PTK2B	PTK2B	0.22619999999999998	101	1
1_MACS_peak_12773_lociStitched	chr2	112455336	112466557	1	11222	62068.9615	2532.5797	102			ANAPC1	ANAPC1	NONE	102	1
6_MACS_peak_17894_lociStitched	chr4	185317513	185349878	6	17944	28769.2485	5262.549	103	IRF2		IRF2	IRF2	0.7355	103	1
5_MACS_peak_16591_lociStitched	chr3	171802188	171826998	5	18078	27544.062	5805.54	104	FNDC3B		FNDC3B	FNDC3B	0.06609999999999999	104	1
1_MACS_peak_19447_lociStitched	chr6	25403104	25415723	1	12620	57451.7832	2525.0619	105	LRRC16A		LRRC16A	LRRC16A	0.22069999999999998	105	1
5_MACS_peak_7682_lociStitched	chr15	75065700	75092960	5	18186	24915.64	4895.896	106	CSK	CYP1A2,LMAN1L,CPLX3,CYP1A1,ULK3	CSK	CSK	0.5914	106	1
4_MACS_peak_11167_lociStitched	chr19	16694053	16716963	4	14916	49788.012	4648.439	107	MED26	CHERP,SLC35E1	SLC35E1	CHERP	0.07740000000000001	107	1
5_MACS_peak_20036_lociStitched	chr6	88613480	88640475	5	17629	28212.4745	4383.988	108			SPACA1	SPACA1	NONE	108	1
1_MACS_peak_9643_lociStitched	chr17	43298033	43308509	1	10477	62333.2476	2384.3376	109	FMNL1	LOC100133991,C17orf46	FMNL1	FMNL1	1.7928	109	1
6_MACS_peak_7982_lociStitched	chr15	101661304	101692504	6	17272	31243.68	4733.04	110			CHSY1	CHSY1	0.2515	110	1
1_MACS_peak_2202_lociStitched	chr1	226837999	226852608	1	14610	48709.3278	4211.7747	111	ITPKB		ITPKB	ITPKB	0.5656	111	1
3_MACS_peak_4273_lociStitched	chr11	72977879	73002068	3	14715	47408.0211	4027.4685	112	P2RY6	P2RY2,ARHGEF17	P2RY6	P2RY6	1.0246	112	1
8_MACS_peak_3549_lociStitched	chr11	788935	843632	8	16853	34234.8523	7438.792	113	RPLP2,SNORA52,PNPLA2,EFCAB4A,CD151,TSPAN4,CEND1,SLC25A22,LRDD,POLR2L	TALDO1,TSPAN4,PDDC1	PNPLA2	TSPAN4	0.3448	113	1
7_MACS_peak_8672_lociStitched	chr16	67554773	67601471	7	17336	28471.7706	7186.8222	114	FAM65A,CTCF	ATP6V0D1,AGRP	FAM65A	FAM65A	0.323	114	1
7_MACS_peak_13367_lociStitched	chr2	204537835	204583586	7	16929	32254.455	7013.6283	115	CD28		CD28	CD28	0.4613999999999999	115	1
2_MACS_peak_1401_lociStitched	chr1	154374302	154394727	2	15974	38768.6925	5545.3875	116	IL6R		IL6R	IL6R	0.44010000000000005	116	1
5_MACS_peak_1558_lociStitched	chr1	161122921	161157737	5	16460	37789.2864	8662.2208	118	UFC1,USP21,PPOX,B4GALT3	NIT1,NDUFS2,FCER1G,TOMM40L,PFDN2,DEDD,ADAMTS4,APOA2	PPOX	ADAMTS4	0.5745	118	1
6_MACS_peak_10133_lociStitched	chr17	76743199	76779780	6	17109	27940.5678	5271.3221	119	CYTH1		CYTH1	CYTH1	0.3408	119	1
3_MACS_peak_2293_lociStitched	chr1	234734079	234749915	3	11524	58247.9752	3963.7508	120	IRF2BP2	NCRNA00184	IRF2BP2	IRF2BP2	3.5075	120	1
5_MACS_peak_13477_lociStitched	chr2	219741201	219763461	5	16970	26996.928	3855.432	121	WNT10A	WNT6,PRKAG3	WNT10A	WNT10A	0.9894	121	1
2_MACS_peak_19334_lociStitched	chr6	11827060	11848647	2	13390	50204.8859	3477.6657	122		C6orf105	C6orf105	C6orf105	0.2629	122	1
3_MACS_peak_295_lociStitched	chr1	24512240	24533858	3	15295	40140.3024	3726.9432	123	LOC284632,IL28RA	IL22RA1	LOC284632	LOC284632	0.31479999999999997	123	1
5_MACS_peak_12341_lociStitched	chr2	65157235	65179158	5	15738	37560.6759	4568.7532	124	LOC400958	SLC1A4	LOC400958	LOC400958	0.6115	124	1
6_MACS_peak_15116_lociStitched	chr22	39631483	39663869	6	16799	26702.257	4287.9064	125	PDGFB	SNORD83B,SNORD83A,RNU86	PDGFB	RNU86	0.8294	125	1
1_MACS_peak_6427_lociStitched	chr13	114556448	114568366	1	11919	54557.0286	3279.8336	126	GAS6	FLJ44054,GAS6	GAS6	GAS6	0.9634	126	1
2_MACS_peak_14147_lociStitched	chr20	42694951	42710741	2	9549	61250.989	2933.782	127	TOX2		JPH2	JPH2	NONE	127	1
1_MACS_peak_10658_lociStitched	chr18	60821029	60831697	1	10669	57085.5348	2033.3208	128	BCL2		BCL2	BCL2	0.41079999999999994	128	1
4_MACS_peak_3661_lociStitched	chr11	10314497	10341066	4	16609	27990.4415	4591.1232	129	ADM,SBF2		ADM	ADM	1.3505999999999998	129	1
1_MACS_peak_4960_lociStitched	chr12	12866887	12880324	1	13438	46414.0854	2143.2015	130	CDKN1B,APOLD1	MIR613,GPR19	CDKN1B	CDKN1B	2.9644	130	1
5_MACS_peak_19179_lociStitched	chr5	180228402	180259848	5	15644	36335.853	5295.5064	131	LOC729678,MGAT1	ZFP62	MGAT1	MGAT1	0.354	131	1
2_MACS_peak_13327_lociStitched	chr2	201979983	201994895	2	14868	39397.504	3118.0992	132	CFLAR	NDUFB3,FAM126B	CFLAR	CFLAR	0.6141	132	1
1_MACS_peak_10322_lociStitched	chr18	9101777	9118084	1	16308	28070.8698	3261.4	133	NDUFV2	ANKRD12	NDUFV2	NDUFV2	0.8395999999999999	133	1
3_MACS_peak_10130_lociStitched	chr17	76711315	76733692	3	16818	22891.671	3992.0568	134	CYTH1		CYTH1	CYTH1	0.3408	134	1
4_MACS_peak_1304_lociStitched	chr1	149802959	149834029	4	15127	40912.976	7755.072	135	HIST2H4B,HIST2H2AA4,HIST2H3A,HIST2H2BC	FCGR1A,HIST2H2AC,BOLA1,HIST2H2BF,HIST2H3D,HIST2H2BE,HIST2H2AB	HIST2H2BC	HIST2H2AB	1.0421	135	1
2_MACS_peak_8593_lociStitched	chr16	56963262	56986023	2	14265	43095.6774	4891.3389	136	HERPUD1	CETP,NLRC5	HERPUD1	HERPUD1	1.6859	136	1
2_MACS_peak_1328_lociStitched	chr1	150531948	150553231	2	13974	45181.6807	5850.6967	137	ADAMTSL4,MCL1	MIR4257,ENSA	MCL1	MCL1	0.5465	137	1
2_MACS_peak_5743_lociStitched	chr12	108952797	108970322	2	14813	37925.8525	3766.1225	138	ISCU,SART3	FICD,TMEM119	ISCU	ISCU	1.9778999999999998	138	1
4_MACS_peak_19443_lociStitched	chr6	25366085	25390438	4	16610	21006.8978	4247.1632	139	LRRC16A		LRRC16A	LRRC16A	0.22069999999999998	139	1
3_MACS_peak_12204_lociStitched	chr2	47526896	47550969	3	13666	43844.1549	4670.162	140		EPCAM	EPCAM	NONE	NONE	140	1
3_MACS_peak_3034_lociStitched	chr10	81001228	81020673	3	15490	29990.0235	3354.2625	141	ZMIZ1		PPIF	PPIF	NONE	141	1
3_MACS_peak_10085_lociStitched	chr17	75130877	75145766	3	13636	41640.0663	2964.3999	142	SEC14L1	C17orf86,SCARNA16,SEC14L1	SEC14L1	SCARNA16	1.5655	142	1
3_MACS_peak_18124_lociStitched	chr5	32570842	32589668	3	15116	32446.611	3388.68	143	SUB1		SUB1	SUB1	0.8034	143	1
2_MACS_peak_8214_lociStitched	chr16	12056085	12071700	2	11571	50717.52	3408.7545	144	TNFRSF17,RUNDC2A	GSPT1	TNFRSF17	TNFRSF17	3.515	144	1
1_MACS_peak_8592_lociStitched	chr16	56943207	56953337	1	10131	53119.694	1862.907	145	SLC12A3	HERPUD1,CETP	HERPUD1	HERPUD1	1.6859	145	1
5_MACS_peak_9992_lociStitched	chr17	72733469	72756688	5	16060	20121.5854	4144.5915	146	RAB37,SLC9A3R1,MIR3615	TMEM104,CD300LF,NAT9	SLC9A3R1	SLC9A3R1	0.36519999999999997	146	1
2_MACS_peak_15696_lociStitched	chr3	46577806	46589620	2	10308	52689.2586	2147.7852	147	LRRC2	RTP3,TDGF1	LRRC2	LRRC2	0.9224999999999999	147	1
3_MACS_peak_7273_lociStitched	chr15	40387407	40409099	3	15443	27236.4752	4195.2328	148	BMF	BUB1B	BMF	BMF	0.7744	148	1
4_MACS_peak_20518_lociStitched	chr6	157976796	158000129	4	14823	30197.5686	1915.6393	149	ZDHHC14	MIR3692	MIR3692	MIR3692	0.027599999999999993	149	1
2_MACS_peak_4820_lociStitched	chr12	4216304	4231528	2	8853	57554.332	3303.608	150			CCND2	CCND2	0.7835	150	1
6_MACS_peak_8427_lociStitched	chr16	30193749	30227311	6	16008	22046.8778	7125.2126	151	CORO1A,LOC606724,SLX1B,SLX1A-SULT1A3,SULT1A3,SULT1A4,BOLA2B,LOC388242	LOC613037	CORO1A	CORO1A	0.5491	151	1
6_MACS_peak_7087_lociStitched	chr15	21967147	22002602	6	15781	22116.829	4772.243	152		LOC646214,CXADRP2	CXADRP2	LOC646214	0.024499999999999994	152	1
2_MACS_peak_14123_lociStitched	chr20	40709878	40727455	2	12782	42378.147	2575.0305	153	PTPRT		CHD6	CHD6	NONE	153	1
2_MACS_peak_3340_lociStitched	chr10	112168995	112186142	2	15504	21505.7674	3143.0451	154			DUSP5	DUSP5	0.6511	154	1
2_MACS_peak_3279_lociStitched	chr10	104531033	104543677	2	12521	42587.5208	2622.3656	155	C10orf26		C10orf26	C10orf26	0.6314	155	1
4_MACS_peak_18242_lociStitched	chr5	55436906	55453690	4	15320	22394.8912	2910.3456	156	ANKRD55		ANKRD55	ANKRD55	0.1719	156	1
4_MACS_peak_7868_lociStitched	chr15	89646680	89675072	4	14297	33502.56	4608.0216	157	ABHD2		ABHD2	ABHD2	0.2451	157	1
2_MACS_peak_5047_lociStitched	chr12	26265719	26280342	2	14510	29645.2079	2570.7234	158	BHLHE41		BHLHE41	BHLHE41	1.4026	158	1
3_MACS_peak_8329_lociStitched	chr16	23344085	23363557	3	10745	49990.4656	3545.8512	159	SCNN1B		SCNN1B	SCNN1B	0.6894	159	1
6_MACS_peak_9647_lociStitched	chr17	43504920	43531401	6	15329	22429.407	4096.6107	160	SH3D20,PLEKHM1	ARHGAP27,MIR4315-1	SH3D20	SH3D20	0.3799	160	1
2_MACS_peak_1238_lociStitched	chr1	145434268	145457737	2	15137	25283.1537	5911.8411	161	TXNIP,POLR3GL	HFE2,ANKRD34A,LIX1L,RBM8A	TXNIP	RBM8A	0.6987	161	1
