REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X04_0EWQ_0229Kronos_MM1S.KB.1hr.2_H3K18Ac_hs.dm_i06.bam	X38_0EXQ_0229Kronos_MM1S.KB.1hr.2_Input_hs_i81.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isSuper
1_MACS_peak_6427_lociStitched	chr13	114556448	114568366	1	11919	54557.0286	3279.8336	55	GAS6	FLJ44054,GAS6	GAS6	55	1
1_MACS_peak_8592_lociStitched	chr16	56943207	56953337	1	10131	53119.694	1862.907	56	SLC12A3	HERPUD1,CETP	HERPUD1	56	1
6_MACS_peak_7665_lociStitched	chr15	74657960	74696719	6	17221	57390.4513	6185.9364	57	CYP11A1	CCDC33,SEMA7A	CYP11A1	57	1
3_MACS_peak_17452_lociStitched	chr4	90205010	90240531	3	25153	56503.2547	5665.5995	58	GPRIN3		GPRIN3	58	1
2_MACS_peak_15696_lociStitched	chr3	46577806	46589620	2	10308	52689.2586	2147.7852	59	LRRC2	RTP3,TDGF1	LRRC2	59	1
5_MACS_peak_12762_lociStitched	chr2	112208473	112253636	5	20925	57478.9501	7519.6395	60	LOC541471		LOC541471	60	1
9_MACS_peak_4870_lociStitched	chr12	7013287	7081058	9	30778	61237.8756	11446.5219	61	LRRC23,ENO2,ATN1,C12orf57,PTPN6,MIR200C,MIR141,EMG1,PHB2,SCARNA12	TPI1,RPL13P5,DSTNP2,SPSB2,LPCAT3	C12orf57	61	1
4_MACS_peak_21461_lociStitched	chr7	104576224	104605392	4	19465	54637.4976	5051.8976	62		MLL5,LOC723809,LOC100216545	LOC723809	62	1
1_MACS_peak_16812_lociStitched	chr3	193814302	193823294	1	8993	50917.2	2691.3056	63		HES1	HES1	63	1
4_MACS_peak_10318_lociStitched	chr18	9054848	9084937	4	17468	52399.9935	4883.4447	64		NDUFV2	NDUFV2	64	1
2_MACS_peak_8214_lociStitched	chr16	12056085	12071700	2	11571	50717.52	3408.7545	65	TNFRSF17,RUNDC2A	GSPT1	TNFRSF17	65	1
6_MACS_peak_16699_lociStitched	chr3	183227751	183274385	6	29352	59033.9806	11994.2648	66	KLHL6		KLHL6	66	1
2_MACS_peak_19334_lociStitched	chr6	11827060	11848647	2	13390	50204.8859	3477.6657	67		C6orf105	C6orf105	67	1
1_MACS_peak_14100_lociStitched	chr20	37498408	37506035	1	7628	48342.2141	1882.3436	68	PPP1R16B	FAM83D	FAM83D	68	1
3_MACS_peak_8329_lociStitched	chr16	23344085	23363557	3	10745	49990.4656	3545.8512	69	SCNN1B		SCNN1B	69	1
1_MACS_peak_21072_lociStitched	chr7	55597669	55605196	1	7528	47159.6658	1621.3158	70	VOPP1		VOPP1	70	1
4_MACS_peak_11167_lociStitched	chr19	16694053	16716963	4	14916	49788.012	4648.439	71	MED26	CHERP,SLC35E1	SLC35E1	71	1
1_MACS_peak_2202_lociStitched	chr1	226837999	226852608	1	14610	48709.3278	4211.7747	72	ITPKB		ITPKB	72	1
6_MACS_peak_9385_lociStitched	chr17	32688437	32726973	6	29104	51418.5848	7052.088	73	CCL1	CCL8,CCL13	CCL1	73	1
3_MACS_peak_14663_lociStitched	chr21	44724564	44747478	3	15768	49038.2514	4674.456	74			SIK1	74	1
1_MACS_peak_4960_lociStitched	chr12	12866887	12880324	1	13438	46414.0854	2143.2015	75	CDKN1B,APOLD1	MIR613,GPR19	CDKN1B	75	1
2_MACS_peak_7177_lociStitched	chr15	31546609	31561229	2	10816	46715.286	2752.946	76			KLF13	76	1
3_MACS_peak_15420_lociStitched	chr3	13035679	13061711	3	15304	48947.9696	5180.368	77	IQSEC1	IQSEC1	IQSEC1	77	1
2_MACS_peak_421_lociStitched	chr1	31213988	31233546	2	19386	47991.4204	4318.4064	78	LAPTM5	LOC100129196,MATN1	LAPTM5	78	1
3_MACS_peak_4273_lociStitched	chr11	72977879	73002068	3	14715	47408.0211	4027.4685	79	P2RY6	P2RY2,ARHGEF17	P2RY6	79	1
2_MACS_peak_11936_lociStitched	chr2	20404073	20426436	2	20641	47872.4741	4564.2883	80	SDC1		SDC1	80	1
5_MACS_peak_8204_lociStitched	chr16	11796833	11837881	5	29042	50517.7736	7372.2208	81	TXNDC11	SNN	TXNDC11	81	1
4_MACS_peak_9817_lociStitched	chr17	56405374	56430893	4	17286	48299.8113	5262.0178	82	BZRAP1,MIR142,SUPT4H1	MPO	MIR142	82	1
2_MACS_peak_4556_lociStitched	chr11	115089635	115102503	2	10093	44899.0256	2250.6132	83	CADM1		CADM1	83	1
6_MACS_peak_10538_lociStitched	chr18	46439428	46479863	6	32781	49359.0045	7039.7335	84	SMAD7		SMAD7	84	1
1_MACS_peak_21466_lociStitched	chr7	104651384	104657269	1	5886	43503.6855	1291.7575	85	MLL5,LOC100216545		LOC100216545	85	1
8_MACS_peak_19860_lociStitched	chr6	52392551	52442954	8	25830	50861.6673	8790.2832	86	TRAM2		TRAM2	86	1
4_MACS_peak_2245_lociStitched	chr1	230239023	230270090	4	17627	48719.2694	7014.9286	87	GALNT2		GALNT2	87	1
3_MACS_peak_8201_lociStitched	chr16	11762266	11786163	3	19946	46080.5851	4800.9073	88	SNN,TXNDC11		SNN	88	1
4_MACS_peak_7116_lociStitched	chr15	23657721	23682915	4	19192	44202.873	3935.3028	89			MKRN3	89	1
2_MACS_peak_3279_lociStitched	chr10	104531033	104543677	2	12521	42587.5208	2622.3656	90	C10orf26		C10orf26	90	1
4_MACS_peak_16326_lociStitched	chr3	133181471	133212111	4	18722	45552.488	5665.336	91	BFSP2		BFSP2	91	1
2_MACS_peak_14123_lociStitched	chr20	40709878	40727455	2	12782	42378.147	2575.0305	92	PTPRT		CHD6	92	1
4_MACS_peak_11145_lociStitched	chr19	16244056	16272760	4	19303	44468.2368	4850.976	93	RAB8A,HSH2D,CIB3	FAM32A,AP1M1	HSH2D	93	1
2_MACS_peak_1328_lociStitched	chr1	150531948	150553231	2	13974	45181.6807	5850.6967	94	ADAMTSL4,MCL1	MIR4257,ENSA	MCL1	94	1
2_MACS_peak_4684_lociStitched	chr11	126056691	126068999	2	8525	41662.58	2408.6756	95		FAM118B,RPUSD4	RPUSD4	95	1
3_MACS_peak_12204_lociStitched	chr2	47526896	47550969	3	13666	43844.1549	4670.162	96		EPCAM	EPCAM	96	1
3_MACS_peak_10085_lociStitched	chr17	75130877	75145766	3	13636	41640.0663	2964.3999	97	SEC14L1	C17orf86,SCARNA16,SEC14L1	SEC14L1	97	1
4_MACS_peak_9420_lociStitched	chr17	34408807	34432955	4	22233	43311.8528	4701.6156	98	CCL4,CCL3	CCL18	CCL3	98	1
2_MACS_peak_8593_lociStitched	chr16	56963262	56986023	2	14265	43095.6774	4891.3389	99	HERPUD1	CETP,NLRC5	HERPUD1	99	1
1_MACS_peak_20631_lociStitched	chr7	2393077	2395800	1	2724	38858.5715	677.7547	100	EIF3B	CHST12,SNX8	EIF3B	100	1
2_MACS_peak_8642_lociStitched	chr16	66549281	66561714	2	11959	40536.5532	2477.8969	101	TK2	CKLF,CMTM1	TK2	101	1
2_MACS_peak_14616_lociStitched	chr21	41324608	41344422	2	16772	43190.5572	5452.8128	102			PCP4	102	1
8_MACS_peak_7179_lociStitched	chr15	31616837	31657705	8	24430	44709.592	7061.9904	103	KLF13		KLF13	103	1
1_MACS_peak_19631_lociStitched	chr6	32934883	32941784	1	6902	38611.095	1627.2558	104	BRD2	HLA-DMB,HLA-DMA,HLA-DOA	BRD2	104	1
3_MACS_peak_18700_lociStitched	chr5	131745241	131767571	3	18805	41368.558	4528.524	105	C5orf56	SLC22A5,MIR3936	C5orf56	105	1
5_MACS_peak_3447_lociStitched	chr10	125822163	125854573	5	25252	42483.028	5807.872	106	CHST15		CHST15	106	1
3_MACS_peak_295_lociStitched	chr1	24512240	24533858	3	15295	40140.3024	3726.9432	107	LOC284632,IL28RA	IL22RA1	LOC284632	107	1
2_MACS_peak_13327_lociStitched	chr2	201979983	201994895	2	14868	39397.504	3118.0992	108	CFLAR	NDUFB3,FAM126B	CFLAR	108	1
3_MACS_peak_14643_lociStitched	chr21	43638575	43658036	3	12334	40031.277	4279.4739	109	ABCG1		ABCG1	109	1
3_MACS_peak_1481_lociStitched	chr1	156456494	156476550	3	19861	41473.8024	5738.0216	110	MEF2D		MEF2D	110	1
1_MACS_peak_9500_lociStitched	chr17	37909279	37916458	1	7180	37231.7298	1651.17	111		GRB7,C17orf37	GRB7	111	1
3_MACS_peak_16216_lociStitched	chr3	124487222	124512326	3	18901	39368.0928	3893.6304	112	ITGB5	UMPS	UMPS	112	1
2_MACS_peak_9523_lociStitched	chr17	38466242	38484135	2	17391	38251.6554	3607.2288	113	RARA	CDC6,RARA,GJD3	RARA	113	1
6_MACS_peak_2492_lociStitched	chr10	11278859	11312919	6	20266	40337.258	5756.14	114	CELF2		CELF2	114	1
1_MACS_peak_14637_lociStitched	chr21	43480352	43486373	1	6022	36460.1655	2277.1422	115	UMODL1	C21orf121,UMODL1,ZNF295,C21orf128	UMODL1	115	1
2_MACS_peak_5743_lociStitched	chr12	108952797	108970322	2	14813	37925.8525	3766.1225	116	ISCU,SART3	FICD,TMEM119	ISCU	116	1
4_MACS_peak_9905_lociStitched	chr17	62961024	62986541	4	11243	38334.1891	4212.8567	117	AMZ2P1	LRRC37A3	AMZ2P1	117	1
2_MACS_peak_3343_lociStitched	chr10	112214971	112225906	2	9855	36390.5865	2311.659	118		DUSP5	DUSP5	118	1
4_MACS_peak_7286_lociStitched	chr15	40833525	40862734	4	17820	38868.4163	5155.3885	119	RPUSD2,C15orf57	CASC5,MRPL42P5	C15orf57	119	1
3_MACS_peak_2228_lociStitched	chr1	228665974	228678903	3	6558	35933.5697	2238.0099	120	RNF187	HIST3H2BB,HIST3H2A	RNF187	120	1
1_MACS_peak_14370_lociStitched	chr20	60910720	60916978	1	6259	34740.6612	1106.4144	121	LAMA5	ADRM1,RPS21	LAMA5	121	1
5_MACS_peak_12408_lociStitched	chr2	70334992	70371235	5	12130	38678.5296	5218.992	122	LOC100133985	PCBP1,LOC400960,C2orf42	LOC100133985	122	1
1_MACS_peak_12137_lociStitched	chr2	42323428	42334548	1	11121	35750.8	2317.408	123		PKDCC	PKDCC	123	1
3_MACS_peak_4243_lociStitched	chr11	71413784	71427015	3	11028	36180.1695	2804.972	124			FAM86C	124	1
2_MACS_peak_1401_lociStitched	chr1	154374302	154394727	2	15974	38768.6925	5545.3875	125	IL6R		IL6R	125	1
4_MACS_peak_1304_lociStitched	chr1	149802959	149834029	4	15127	40912.976	7755.072	126	HIST2H4B,HIST2H2AA4,HIST2H3A,HIST2H2BC	FCGR1A,HIST2H2AC,BOLA1,HIST2H2BF,HIST2H3D,HIST2H2BE,HIST2H2AB	HIST2H2BC	126	1
1_MACS_peak_4826_lociStitched	chr12	4377360	4387331	1	9972	34951.3463	1811.7307	127	CCND2	C12orf5	CCND2	127	1
5_MACS_peak_12341_lociStitched	chr2	65157235	65179158	5	15738	37560.6759	4568.7532	128	LOC400958	SLC1A4	LOC400958	128	1
3_MACS_peak_11342_lociStitched	chr19	35694512	35708073	3	11201	35730.5228	2748.8147	129		FXYD5,LSR,FAM187B	FAM187B	129	1
1_MACS_peak_7063_lociStitched	chr14	106323773	106329602	1	5830	33278.3439	595.7238	130			KIAA0125	130	1
3_MACS_peak_14375_lociStitched	chr20	61272936	61291069	3	12590	35359.35	2915.7864	131	SLCO4A1	NTSR1,LOC100127888	SLCO4A1	131	1
1_MACS_peak_3936_lociStitched	chr11	58340120	58347956	1	7837	33793.5336	1481.7876	132	ZFP91-CNTF,ZFP91,LPXN	CNTF	LPXN	132	1
2_MACS_peak_17886_lociStitched	chr4	185201025	185210873	2	8740	34006.1288	1846.5	133			ENPP6	133	1
2_MACS_peak_21928_lociStitched	chr8	1990820	2000106	2	7541	33886.4712	1746.6966	134	MYOM2		MYOM2	134	1
3_MACS_peak_2950_lociStitched	chr10	74078099	74097222	3	10786	35224.566	3275.7699	135	DNAJB12	DDIT4	DNAJB12	135	1
1_MACS_peak_17893_lociStitched	chr4	185301450	185307929	1	6480	33461.4434	1554.3121	136			IRF2	136	1
2_MACS_peak_3763_lociStitched	chr11	22685073	22703238	2	17984	34422.675	2633.925	137	GAS2	FANCF	GAS2	137	1
1_MACS_peak_17165_lociStitched	chr4	40191338	40209204	1	17867	35794.531	4221.7358	138	RHOH		RHOH	138	1
3_MACS_peak_1293_lociStitched	chr1	149203734	149225536	3	7813	37534.3232	6165.6056	139			LOC388692	139	1
1_MACS_peak_2017_lociStitched	chr1	209274414	209284699	1	10286	33965.184	2666.9005	140			LOC642587	140	1
6_MACS_peak_3292_lociStitched	chr10	105229917	105268347	6	22016	37373.175	6121.899	141	NEURL,CALHM3	CALHM2,CALHM1	NEURL	141	1
5_MACS_peak_19179_lociStitched	chr5	180228402	180259848	5	15644	36335.853	5295.5064	142	LOC729678,MGAT1	ZFP62	MGAT1	142	1
1_MACS_peak_1911_lociStitched	chr1	203288213	203298125	1	9913	34751.472	3800.2608	143		BTG2,LOC730227,FMOD	BTG2	143	1
5_MACS_peak_8228_lociStitched	chr16	14486560	14504481	5	11135	33793.6297	2899.6178	144			MIR365-1	144	1
1_MACS_peak_9066_lociStitched	chr17	6061945	6072914	1	10970	32902.6124	2127.986	145			WSCD1	145	1
2_MACS_peak_9944_lociStitched	chr17	66230117	66245388	2	9070	32686.0484	2692.2773	146	AMZ2	LOC440461,ARSG,SLC16A6	AMZ2	146	1
4_MACS_peak_15128_lociStitched	chr22	39823366	39846017	4	13284	33971.9698	4074.9149	147	TAB1	MGAT3	MGAT3	147	1
2_MACS_peak_20836_lociStitched	chr7	26001699	26011710	2	9578	32283.4728	2392.629	148		MIR148A	MIR148A	148	1
2_MACS_peak_14614_lociStitched	chr21	41295790	41309690	2	9251	33397.53	3668.21	149	PCP4		PCP4	149	1
2_MACS_peak_17990_lociStitched	chr5	1335287	1346358	2	8737	31798.1262	2231.9136	150	CLPTM1L	TERT	CLPTM1L	150	1
3_MACS_peak_2192_lociStitched	chr1	226297088	226316871	3	10007	34147.4363	4593.6126	151		LOC440926,H3F3A	LOC440926	151	1
2_MACS_peak_6447_lociStitched	chr13	115039365	115048765	2	9003	31067	1514.34	152	UPF3A	CDC16,ZNF828	UPF3A	152	1
5_MACS_peak_9885_lociStitched	chr17	62150128	62182876	5	18686	34676.8572	5341.1988	153	ERN1	SNORD104,SNORA76	ERN1	153	1
1_MACS_peak_6433_lociStitched	chr13	114788903	114794801	1	5899	30659.5734	1347.693	154	RASA3		RASA3	154	1
5_MACS_peak_21073_lociStitched	chr7	55616108	55642773	5	18814	33933.879	4693.04	155	VOPP1		VOPP1	155	1
3_MACS_peak_11102_lociStitched	chr19	13949146	13962147	3	9957	31065.8895	1856.5428	156		ZSWIM4,MIR181C,MIR181D,NANOS3,LOC284454,MIR24-2,MIR27A,MIR23A	MIR23A	156	1
5_MACS_peak_1558_lociStitched	chr1	161122921	161157737	5	16460	37789.2864	8662.2208	157	UFC1,USP21,PPOX,B4GALT3	NIT1,NDUFS2,FCER1G,TOMM40L,PFDN2,DEDD,ADAMTS4,APOA2	PPOX	157	1
3_MACS_peak_18124_lociStitched	chr5	32570842	32589668	3	15116	32446.611	3388.68	158	SUB1		SUB1	158	1
6_MACS_peak_24258_lociStitched	chrX	58124736	58159908	6	19696	31352.3208	2321.352	159			ZXDA	159	1
4_MACS_peak_7868_lociStitched	chr15	89646680	89675072	4	14297	33502.56	4608.0216	160	ABHD2		ABHD2	160	1
1_MACS_peak_13580_lociStitched	chr2	232687081	232714717	1	27637	32121.3228	3255.5208	161		COPS7B,PDE6D,MIR1471	COPS7B	161	1
1_MACS_peak_22177_lociStitched	chr8	29629174	29635430	1	6257	30068.8384	1458.8992	162		C8orf75	C8orf75	162	1
6_MACS_peak_10786_lociStitched	chr19	1647728	1672875	6	11574	32914.9083	4403.2397	163	TCF3	UQCR11	TCF3	163	1
2_MACS_peak_864_lociStitched	chr1	66736747	66750435	2	12440	31014.2704	2582.9256	164	PDE4B	PDE4B	PDE4B	164	1
2_MACS_peak_21843_lociStitched	chr7	150100720	150113895	2	7481	31680.605	3301.655	165	LOC728743	REPIN1,ZNF775,LOC285972,GIMAP8	LOC728743	165	1
1_MACS_peak_11588_lociStitched	chr19	47613817	47617787	1	3971	29112.01	751.918	166	ZC3H4	SAE1	ZC3H4	166	1
5_MACS_peak_22645_lociStitched	chr8	120919466	120948019	5	17845	33221.4155	4885.4183	167	DEPDC6		DEPDC6	167	1
2_MACS_peak_14661_lociStitched	chr21	44580728	44598385	2	10992	32720.1867	4391.2959	168	CRYAA		CRYAA	168	1
4_MACS_peak_9074_lociStitched	chr17	6915048	6940140	4	10457	32009.8644	3708.5976	169	RNASEK,C17orf49,BCL6B,SLC16A13,MIR195,MIR497	ALOX12,SLC16A11,CLEC10A	BCL6B	169	1
4_MACS_peak_20518_lociStitched	chr6	157976796	158000129	4	14823	30197.5686	1915.6393	170	ZDHHC14	MIR3692	MIR3692	170	1
7_MACS_peak_8696_lociStitched	chr16	68269826	68320185	7	24488	36263.5159	8017.1528	171	PLA2G15,SLC7A6,ESRP2	PRMT7,SLC7A6OS	SLC7A6	171	1
1_MACS_peak_4263_lociStitched	chr11	72523488	72527466	1	3979	28453.8384	859.6458	172	ATG16L2	STARD10	ATG16L2	172	1
5_MACS_peak_10036_lociStitched	chr17	73850473	73875718	5	12141	31384.584	3804.4215	173	WBP2,TRIM47	UNC13D,TRIM65,MRPL38	TRIM47	173	1
2_MACS_peak_21549_lociStitched	chr7	114561342	114573953	2	9645	29952.3861	2596.6049	174	MDFIC		MDFIC	174	1
4_MACS_peak_7601_lociStitched	chr15	68568814	68599406	4	18220	32788.5056	5558.5664	175	FEM1B,ITGA11	CLN6	FEM1B	175	1
2_MACS_peak_5047_lociStitched	chr12	26265719	26280342	2	14510	29645.2079	2570.7234	176	BHLHE41		BHLHE41	176	1
1_MACS_peak_16609_lociStitched	chr3	174864898	174870538	1	5641	28466.772	1398.156	177	NAALADL2		NAALADL2	177	1
4_MACS_peak_4752_lociStitched	chr11	130670488	130705700	4	18321	32518.282	5535.3264	178			SNX19	178	1
1_MACS_peak_2671_lociStitched	chr10	30989336	30996986	1	7651	28588.05	1608.795	179			LYZL2	179	1
3_MACS_peak_12096_lociStitched	chr2	37601628	37622510	3	12443	30794.6854	3861.0818	180		QPCT	QPCT	180	1
3_MACS_peak_4164_lociStitched	chr11	67033112	67057901	3	10596	30698.6976	3842.295	181	ADRBK1,ANKRD13D	SSH3,LOC100130987	ANKRD13D	181	1
8_MACS_peak_3549_lociStitched	chr11	788935	843632	8	16853	34234.8523	7438.792	182	RPLP2,SNORA52,PNPLA2,EFCAB4A,CD151,TSPAN4,CEND1,SLC25A22,LRDD,POLR2L	TALDO1,TSPAN4,PDDC1	PNPLA2	182	1
3_MACS_peak_13021_lociStitched	chr2	157188112	157207822	3	8772	29117.583	2400.678	183	NR4A2		NR4A2	183	1
4_MACS_peak_18692_lociStitched	chr5	131418420	131441804	4	10381	30525.4736	3872.3904	184		IL3,CSF2	CSF2	184	1
3_MACS_peak_3034_lociStitched	chr10	81001228	81020673	3	15490	29990.0235	3354.2625	185	ZMIZ1		PPIF	185	1
1_MACS_peak_20139_lociStitched	chr6	106610172	106617495	1	7324	28349.5299	1762.6461	186			PRDM1	186	1
6_MACS_peak_7982_lociStitched	chr15	101661304	101692504	6	17272	31243.68	4733.04	187			CHSY1	187	1
