#04_0EWQ_0229Kronos_MM1S-KB-1hr-2_H3K18Ac_hs-dm_i06_peaks Enhancers
#Created from /data/projects/IRF4_mm_trn_data/p300_internal_ChIP/rose/04_0EWQ_0229Kronos_MM1S-KB-1hr-2_H3K18Ac_hs-dm_i06_ROSE/04_0EWQ_0229Kronos_MM1S-KB-1hr-2_H3K18Ac_hs-dm_i06_peaks_8KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by X04_0EWQ_0229Kronos_MM1S.KB.1hr.2_H3K18Ac_hs.dm_i06.bam
#Using cutoff of 13913.4996 for Super-Enhancers
#Created on Jul 18 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X04_0EWQ_0229Kronos_MM1S.KB.1hr.2_H3K18Ac_hs.dm_i06.bam	X38_0EXQ_0229Kronos_MM1S.KB.1hr.2_Input_hs_i81.bam	enhancerRank	isStretch
1_MACS_peak_10322_lociStitched	chr18	9101777	9118084	1	16308	28070.8698	3261.4	105	1
5_MACS_peak_9992_lociStitched	chr17	72733469	72756688	5	16060	20121.5854	4144.5915	106	1
6_MACS_peak_8427_lociStitched	chr16	30193749	30227311	6	16008	22046.8778	7125.2126	107	1
2_MACS_peak_1401_lociStitched	chr1	154374302	154394727	2	15974	38768.6925	5545.3875	108	1
1_MACS_peak_5300_lociStitched	chr12	53588036	53603898	1	15863	79631.9986	3886.19	109	1
3_MACS_peak_14853_lociStitched	chr22	24178839	24200891	3	15788	86686.412	4121.5188	110	1
6_MACS_peak_7087_lociStitched	chr15	21967147	22002602	6	15781	22116.829	4772.243	111	1
3_MACS_peak_14663_lociStitched	chr21	44724564	44747478	3	15768	49038.2514	4674.456	112	1
5_MACS_peak_12341_lociStitched	chr2	65157235	65179158	5	15738	37560.6759	4568.7532	113	1
5_MACS_peak_19179_lociStitched	chr5	180228402	180259848	5	15644	36335.853	5295.5064	114	1
2_MACS_peak_3340_lociStitched	chr10	112168995	112186142	2	15504	21505.7674	3143.0451	115	1
3_MACS_peak_3034_lociStitched	chr10	81001228	81020673	3	15490	29990.0235	3354.2625	116	1
3_MACS_peak_7273_lociStitched	chr15	40387407	40409099	3	15443	27236.4752	4195.2328	117	1
5_MACS_peak_23532_lociStitched	chr9	112904370	112924944	5	15380	16636.1364	3876.1416	118	1
6_MACS_peak_9647_lociStitched	chr17	43504920	43531401	6	15329	22429.407	4096.6107	119	1
4_MACS_peak_18242_lociStitched	chr5	55436906	55453690	4	15320	22394.8912	2910.3456	120	1
3_MACS_peak_15420_lociStitched	chr3	13035679	13061711	3	15304	48947.9696	5180.368	121	1
3_MACS_peak_295_lociStitched	chr1	24512240	24533858	3	15295	40140.3024	3726.9432	122	1
2_MACS_peak_1238_lociStitched	chr1	145434268	145457737	2	15137	25283.1537	5911.8411	123	1
4_MACS_peak_1304_lociStitched	chr1	149802959	149834029	4	15127	40912.976	7755.072	124	1
3_MACS_peak_18124_lociStitched	chr5	32570842	32589668	3	15116	32446.611	3388.68	125	1
6_MACS_peak_8835_lociStitched	chr16	81841875	81871528	6	15114	20525.8066	2837.7921	126	1
2_MACS_peak_10808_lociStitched	chr19	2081450	2098310	2	15002	67310.178	5226.6	127	1
1_MACS_peak_11899_lociStitched	chr2	11883353	11898353	1	15001	55822.5	3198	128	1
3_MACS_peak_15531_lociStitched	chr3	30682341	30703661	3	14977	15258.724	3532.724	129	1
4_MACS_peak_6861_lociStitched	chr14	81930633	81953068	4	14977	17034.8955	1913.7055	130	1
4_MACS_peak_11167_lociStitched	chr19	16694053	16716963	4	14916	49788.012	4648.439	131	1
4_MACS_peak_2472_lociStitched	chr10	7510832	7535652	4	14908	22434.798	3571.598	132	1
2_MACS_peak_13327_lociStitched	chr2	201979983	201994895	2	14868	39397.504	3118.0992	133	1
5_MACS_peak_12565_lociStitched	chr2	87783269	87821917	5	14838	26106.724	5271.5872	134	1
4_MACS_peak_20518_lociStitched	chr6	157976796	158000129	4	14823	30197.5686	1915.6393	135	1
2_MACS_peak_5743_lociStitched	chr12	108952797	108970322	2	14813	37925.8525	3766.1225	136	1
7_MACS_peak_6955_lociStitched	chr14	95946411	95985716	7	14794	16260.4785	3207.288	137	1
3_MACS_peak_18468_lociStitched	chr5	88113311	88130261	3	14745	15043.125	2973.03	138	1
5_MACS_peak_10821_lociStitched	chr19	2445654	2480671	5	14743	30065.5962	7038.417	139	1
3_MACS_peak_4273_lociStitched	chr11	72977879	73002068	3	14715	47408.0211	4027.4685	140	1
1_MACS_peak_2202_lociStitched	chr1	226837999	226852608	1	14610	48709.3278	4211.7747	141	1
5_MACS_peak_9514_lociStitched	chr17	38251394	38280334	5	14589	18753.12	4914.012	142	1
2_MACS_peak_5047_lociStitched	chr12	26265719	26280342	2	14510	29645.2079	2570.7234	143	1
5_MACS_peak_22846_lociStitched	chr8	145001842	145027991	5	14501	23761.5963	3592.8726	144	1
5_MACS_peak_23791_lociStitched	chr9	134126998	134153372	5	14429	19313.6802	4309.5116	145	1
3_MACS_peak_18027_lociStitched	chr5	6475885	6497939	3	14384	60302.2522	3905.7634	146	1
3_MACS_peak_21069_lociStitched	chr7	55569337	55585859	3	14324	26815.206	2790.5658	147	1
4_MACS_peak_7868_lociStitched	chr15	89646680	89675072	4	14297	33502.56	4608.0216	148	1
6_MACS_peak_10996_lociStitched	chr19	10513465	10539703	6	14280	16553.5542	3794.0148	149	1
2_MACS_peak_8593_lociStitched	chr16	56963262	56986023	2	14265	43095.6774	4891.3389	150	1
4_MACS_peak_20989_lociStitched	chr7	44661805	44680287	4	14252	29373.4426	3319.3672	151	1
5_MACS_peak_15921_lociStitched	chr3	69128703	69154884	5	14247	16048.953	4034.4921	152	1
5_MACS_peak_17350_lociStitched	chr4	77608550	77624397	5	14113	12618.9661	2410.3287	153	1
4_MACS_peak_5210_lociStitched	chr12	48200430	48218787	4	14057	23730.0939	3440.1018	154	1
6_MACS_peak_24494_lociStitched	chrX	128892928	128921273	6	14054	18095.448	3047.0875	155	1
2_MACS_peak_1328_lociStitched	chr1	150531948	150553231	2	13974	45181.6807	5850.6967	156	1
4_MACS_peak_12621_lociStitched	chr2	97190500	97212770	4	13956	59999.834	4200.122	157	1
4_MACS_peak_15667_lociStitched	chr3	46129772	46153200	4	13837	17374.2048	3689.91	158	1
6_MACS_peak_19508_lociStitched	chr6	27774772	27807802	6	13770	22675.095	5585.373	159	1
3_MACS_peak_12204_lociStitched	chr2	47526896	47550969	3	13666	43844.1549	4670.162	160	1
4_MACS_peak_15684_lociStitched	chr3	46421239	46439448	4	13646	12400.329	3148.3361	161	1
3_MACS_peak_10085_lociStitched	chr17	75130877	75145766	3	13636	41640.0663	2964.3999	162	1
6_MACS_peak_11069_lociStitched	chr19	12885562	12918175	6	13612	18758.9976	4944.1308	163	1
3_MACS_peak_23335_lociStitched	chr9	93670958	93690368	3	13590	25927.878	3245.352	164	1
4_MACS_peak_10757_lociStitched	chr19	1015194	1041407	4	13589	24302.0723	5706.5701	165	1
1_MACS_peak_4960_lociStitched	chr12	12866887	12880324	1	13438	46414.0854	2143.2015	166	1
3_MACS_peak_9972_lociStitched	chr17	70582791	70602008	3	13412	21703.6798	3434.0779	167	1
2_MACS_peak_19334_lociStitched	chr6	11827060	11848647	2	13390	50204.8859	3477.6657	168	1
2_MACS_peak_1814_lociStitched	chr1	192498542	192515841	2	13384	24722.0009	3681.2272	169	1
4_MACS_peak_24625_lociStitched	chrX	153596692	153628157	4	13370	19942.517	2318.9705	170	1
5_MACS_peak_8314_lociStitched	chr16	22185790	22219142	5	13295	26794.9968	5439.7112	171	1
7_MACS_peak_8658_lociStitched	chr16	67184198	67227240	7	13292	22446.403	6499.342	172	1
2_MACS_peak_7788_lociStitched	chr15	81576250	81595943	2	13285	20106.553	3940.5693	173	1
3_MACS_peak_14827_lociStitched	chr22	23189934	23210010	3	13285	20891.0856	2015.6304	174	1
4_MACS_peak_15128_lociStitched	chr22	39823366	39846017	4	13284	33971.9698	4074.9149	175	1
4_MACS_peak_14188_lociStitched	chr20	45172394	45191723	4	13228	17384.5026	3318.7893	176	1
3_MACS_peak_15037_lociStitched	chr22	37611215	37628371	3	13198	25924.4316	3455.2184	177	1
4_MACS_peak_393_lociStitched	chr1	28558578	28587338	4	13158	19737.988	4595.848	178	1
1_MACS_peak_21252_lociStitched	chr7	78115046	78128197	1	13152	19042.648	2304.0552	179	1
3_MACS_peak_10323_lociStitched	chr18	9134802	9150554	3	13151	17497.3216	2825.9088	180	1
3_MACS_peak_10081_lociStitched	chr17	75078880	75093069	3	13047	26302.1493	2982.5278	181	1
6_MACS_peak_7078_lociStitched	chr15	20960448	20995849	6	12953	22058.3631	4503.0072	182	1
4_MACS_peak_2945_lociStitched	chr10	74006958	74034948	4	12897	21904.974	4201.299	183	1
2_MACS_peak_19205_lociStitched	chr6	381450	400870	2	12895	16355.524	3334.414	184	1
4_MACS_peak_11975_lociStitched	chr2	25623783	25655695	4	12853	25724.2632	5208.0384	185	1
3_MACS_peak_23346_lociStitched	chr9	93909312	93938219	3	12842	17850.0725	4214.6406	186	1
2_MACS_peak_14123_lociStitched	chr20	40709878	40727455	2	12782	42378.147	2575.0305	187	1
7_MACS_peak_15778_lociStitched	chr3	50357822	50403559	7	12781	32185.1269	7857.6166	188	1
4_MACS_peak_23715_lociStitched	chr9	130672566	130700724	4	12752	22106.8458	4882.5972	189	1
4_MACS_peak_19136_lociStitched	chr5	176717348	176740665	4	12724	24189.0558	4201.7234	190	1
3_MACS_peak_16020_lociStitched	chr3	98479778	98495968	3	12699	23695.684	2786.299	191	1
1_MACS_peak_19447_lociStitched	chr6	25403104	25415723	1	12620	57451.7832	2525.0619	192	1
4_MACS_peak_9738_lociStitched	chr17	48225421	48249607	4	12617	12371.139	3775.4346	193	1
3_MACS_peak_14375_lociStitched	chr20	61272936	61291069	3	12590	35359.35	2915.7864	194	1
2_MACS_peak_16813_lociStitched	chr3	193847595	193860505	2	12570	28563.375	3013.194	195	1
2_MACS_peak_19475_lociStitched	chr6	26354644	26367270	2	12531	25423.7136	2106.0168	196	1
2_MACS_peak_3279_lociStitched	chr10	104531033	104543677	2	12521	42587.5208	2622.3656	197	1
2_MACS_peak_355_lociStitched	chr1	27018275	27031307	2	12483	21109.2336	2132.0352	198	1
3_MACS_peak_16769_lociStitched	chr3	186703189	186719908	3	12479	27618.1161	4097.8269	199	1
3_MACS_peak_12096_lociStitched	chr2	37601628	37622510	3	12443	30794.6854	3861.0818	200	1
2_MACS_peak_864_lociStitched	chr1	66736747	66750435	2	12440	31014.2704	2582.9256	201	1
3_MACS_peak_18613_lociStitched	chr5	118658033	118678629	3	12440	15873.3372	3828.7964	202	1
2_MACS_peak_13634_lociStitched	chr2	238599836	238613345	2	12434	11724.4611	1310.373	203	1
3_MACS_peak_17143_lociStitched	chr4	38307111	38322477	3	12406	19398.0384	2344.8516	204	1
4_MACS_peak_17947_lociStitched	chr4	187749029	187776132	4	12384	30030.124	3948.9071	205	1
3_MACS_peak_14643_lociStitched	chr21	43638575	43658036	3	12334	40031.277	4279.4739	206	1
4_MACS_peak_3051_lociStitched	chr10	81946414	81966293	4	12291	19459.5531	3510.6314	207	1
4_MACS_peak_3999_lociStitched	chr11	62308101	62325832	4	12269	16500.4686	3333.428	208	1
6_MACS_peak_17046_lociStitched	chr4	15755290	15788090	6	12254	14953.52	4952.8	209	1
4_MACS_peak_15092_lociStitched	chr22	39362178	39385759	4	12165	21331.3726	3164.5702	210	1
5_MACS_peak_10036_lociStitched	chr17	73850473	73875718	5	12141	31384.584	3804.4215	211	1
5_MACS_peak_12408_lociStitched	chr2	70334992	70371235	5	12130	38678.5296	5218.992	212	1
5_MACS_peak_23963_lociStitched	chrX	10065343	10091103	5	12100	17024.784	2251.424	213	1
4_MACS_peak_11592_lociStitched	chr19	47728490	47748472	4	12084	21286.8246	3460.8824	214	1
2_MACS_peak_3749_lociStitched	chr11	19450910	19465674	2	12082	22320.2152	2785.9668	215	1
2_MACS_peak_4518_lociStitched	chr11	111237826	111251524	2	12054	22278.4272	2503.9944	216	1
4_MACS_peak_17401_lociStitched	chr4	84132767	84162999	4	12054	17694.7896	4580.148	217	1
4_MACS_peak_20438_lociStitched	chr6	143162958	143179778	4	11991	16184.204	1354.01	218	1
3_MACS_peak_1465_lociStitched	chr1	156065250	156086231	3	11990	24579.2415	4554.9751	219	1
2_MACS_peak_12715_lociStitched	chr2	109828822	109843057	2	11982	20840.04	2579.382	220	1
5_MACS_peak_7267_lociStitched	chr15	40330151	40358629	5	11969	20210.8366	4590.6536	221	1
2_MACS_peak_8642_lociStitched	chr16	66549281	66561714	2	11959	40536.5532	2477.8969	222	1
5_MACS_peak_4905_lociStitched	chr12	9573465	9601755	5	11942	20309.391	4936.605	223	1
5_MACS_peak_4934_lociStitched	chr12	11901821	11920401	5	11939	16237.062	3288.66	224	1
5_MACS_peak_14894_lociStitched	chr22	27037718	27071126	5	11929	20559.2832	5572.4544	225	1
1_MACS_peak_6427_lociStitched	chr13	114556448	114568366	1	11919	54557.0286	3279.8336	226	1
3_MACS_peak_16568_lociStitched	chr3	169755002	169776683	3	11843	21561.7545	4858.7121	227	1
3_MACS_peak_15656_lociStitched	chr3	45593920	45617867	3	11807	14641.1958	3795.5995	228	1
3_MACS_peak_24102_lociStitched	chrX	39953209	39969471	3	11778	15611.52	1180.6212	229	1
1_MACS_peak_12151_lociStitched	chr2	43444298	43456073	1	11776	24983.0175	2143.05	230	1
4_MACS_peak_23486_lociStitched	chr9	108004658	108027198	4	11767	21816.466	3313.38	231	1
3_MACS_peak_14140_lociStitched	chr20	42569475	42585482	3	11762	17753.3637	2962.8957	232	1
3_MACS_peak_19105_lociStitched	chr5	173696452	173710022	3	11750	19972.326	2348.967	233	1
4_MACS_peak_1932_lociStitched	chr1	204474577	204492246	4	11750	30904.8479	4410.1824	234	1
4_MACS_peak_19329_lociStitched	chr6	11714049	11735591	4	11748	19366.258	3278.6924	235	1
3_MACS_peak_19595_lociStitched	chr6	31694438	31709479	3	11743	28337.244	2929.9868	236	1
3_MACS_peak_6296_lociStitched	chr13	78689103	78712596	3	11743	22515.6912	3317.2116	237	1
4_MACS_peak_18923_lociStitched	chr5	150520148	150538035	4	11721	15522.3386	3171.3651	238	1
6_MACS_peak_4046_lociStitched	chr11	63992814	64019947	6	11717	19701.2713	4628.8898	239	1
4_MACS_peak_19461_lociStitched	chr6	26183623	26207035	4	11707	16971.3588	4265.6664	240	1
2_MACS_peak_18705_lociStitched	chr5	131823042	131837816	2	11666	15738.7422	2770.125	241	1
4_MACS_peak_5752_lociStitched	chr12	109161793	109181012	4	11654	26003.307	3372.9345	242	1
2_MACS_peak_10417_lociStitched	chr18	22929433	22941103	2	11650	8591.454	1422.573	243	1
5_MACS_peak_7989_lociStitched	chr15	101790294	101818132	5	11608	21554.9634	4017.0234	244	1
5_MACS_peak_19601_lociStitched	chr6	31773851	31804728	5	11589	19619.2458	4934.1446	245	1
6_MACS_peak_10786_lociStitched	chr19	1647728	1672875	6	11574	32914.9083	4403.2397	246	1
2_MACS_peak_8214_lociStitched	chr16	12056085	12071700	2	11571	50717.52	3408.7545	247	1
4_MACS_peak_1759_lociStitched	chr1	183865321	183885659	4	11568	19056.706	4427.5826	248	1
3_MACS_peak_2293_lociStitched	chr1	234734079	234749915	3	11524	58247.9752	3963.7508	249	1
5_MACS_peak_10975_lociStitched	chr19	9917480	9946952	5	11487	14682.9504	4105.4496	250	1
1_MACS_peak_18471_lociStitched	chr5	88175222	88186705	1	11484	18150.0298	2076.1264	251	1
2_MACS_peak_14892_lociStitched	chr22	27003207	27015078	2	11483	23010.7464	2339.7741	252	1
6_MACS_peak_15905_lociStitched	chr3	66530607	66551682	6	11479	10170.795	3068.52	253	1
3_MACS_peak_9620_lociStitched	chr17	42275443	42299854	3	11472	18012.8769	3764.1762	254	1
3_MACS_peak_15102_lociStitched	chr22	39459073	39474362	3	11431	18525.6813	2363.6794	255	1
4_MACS_peak_20350_lociStitched	chr6	135322985	135343829	4	11428	20249.946	2755.5768	256	1
2_MACS_peak_7470_lociStitched	chr15	56648212	56666128	2	11416	24944.4468	2785.938	257	1
5_MACS_peak_9575_lociStitched	chr17	40705862	40739567	5	11407	25248.4155	5841.0765	258	1
4_MACS_peak_19806_lociStitched	chr6	44204737	44234449	4	11396	17221.0752	4887.624	259	1
