REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X16_0EX2_0229Kronos_MM1S.KB.3hr.2_H3K27Ac_hs.dm_i29.bam	X40_0EXS_0229Kronos_MM1S.KB.3hr.2_Input_hs_i84.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isSuperStretch
8_MACS_peak_13197_lociStitched	chr19	42027274	42070271	8	22953	56609.8502	7176.1993	64		CEACAM21	CEACAM21	64	1
5_MACS_peak_16921_lociStitched	chr21	45552543	45580552	5	17263	102132.0176	6467.2781	65	C21orf33	PWP2	C21orf33	65	1
1_MACS_peak_22551_lociStitched	chr6	25403052	25415351	1	12300	119577.0275	3339.1785	66	LRRC16A		LRRC16A	66	1
4_MACS_peak_1529_lociStitched	chr1	149802947	149833994	4	17137	101250.4764	7777.2735	67	HIST2H4B,HIST2H2AA4,HIST2H3A,HIST2H2BC	FCGR1A,HIST2H2AC,BOLA1,HIST2H2BF,HIST2H3D,HIST2H2BE,HIST2H2AB	HIST2H2BC	67	1
4_MACS_peak_10686_lociStitched	chr17	16859287	16883378	4	18259	89570.338	4442.3804	68	TNFRSF13B		TNFRSF13B	68	1
3_MACS_peak_1641_lociStitched	chr1	154370121	154394514	3	18840	86531.7282	6305.5905	69	IL6R		IL6R	69	1
6_MACS_peak_14505_lociStitched	chr2	97190743	97220626	6	19799	76903.9005	5151.8292	70	ARID5A	NEURL3	ARID5A	70	1
5_MACS_peak_19090_lociStitched	chr3	171802000	171827101	5	19433	80903.0331	6375.654	71	FNDC3B		FNDC3B	71	1
1_MACS_peak_21375_lociStitched	chr5	88110718	88130874	1	20157	70302.1124	3549.4716	72	MEF2C		MEF2C	72	1
8_MACS_peak_8209_lociStitched	chr14	95946040	95986043	8	22486	35542.6655	3136.2352	73		GLRX5,C14orf49,SCARNA13,SNHG10	C14orf49	73	1
2_MACS_peak_1553_lociStitched	chr1	150532150	150553180	2	16879	96866.283	6395.223	74	ADAMTSL4,MCL1	MIR4257,ENSA	MCL1	74	1
3_MACS_peak_1724_lociStitched	chr1	156450107	156476101	3	20544	64953.8072	6542.6898	75	MEF2D		MEF2D	75	1
4_MACS_peak_17707_lociStitched	chr3	13035668	13061474	4	17328	90197.1312	4670.886	76	IQSEC1	IQSEC1	IQSEC1	76	1
4_MACS_peak_10037_lociStitched	chr16	56963400	56985883	4	20488	61873.216	4384.185	77	HERPUD1	CETP,NLRC5	HERPUD1	77	1
3_MACS_peak_9619_lociStitched	chr16	12052449	12072239	3	13450	107671.453	3764.058	78	TNFRSF17,RUNDC2A	GSPT1	TNFRSF17	78	1
3_MACS_peak_13137_lociStitched	chr19	39880664	39904029	3	17910	81291.508	3906.628	79	MED29,ZFP36,PLEKHG2,PAF1	SAMD4B,SUPT5H,RPS16	ZFP36	79	1
3_MACS_peak_27409_lociStitched	chr9	112904043	112925366	3	19999	57501.7341	4610.0326	80	PALM2-AKAP2,AKAP2	C9orf152	AKAP2	80	1
3_MACS_peak_11712_lociStitched	chr17	75131334	75147141	3	14857	95227.6908	3390.6015	81	SEC14L1	C17orf86,SCARNA16,SEC14L1	SEC14L1	81	1
4_MACS_peak_12854_lociStitched	chr19	16243975	16273328	4	19542	58978.9829	4934.2393	82	RAB8A,HSH2D,CIB3	FAM32A,AP1M1	HSH2D	82	1
5_MACS_peak_24348_lociStitched	chr7	38383556	38408446	5	20216	50479.409	5318.993	83			TARP	83	1
2_MACS_peak_11756_lociStitched	chr17	76711140	76733959	2	19119	62594.7989	4563.8	84	CYTH1		CYTH1	84	1
4_MACS_peak_14197_lociStitched	chr2	65156621	65178809	4	14529	95155.4568	3971.652	85	LOC400958	SLC1A4	LOC400958	85	1
4_MACS_peak_4206_lociStitched	chr11	10323648	10345124	4	17838	73649.7944	4428.3512	86	ADM	SBF2	ADM	86	1
2_MACS_peak_6657_lociStitched	chr12	108952836	108970773	2	16522	80822.3283	3585.6063	87	ISCU,SART3	FICD,TMEM119	ISCU	87	1
1_MACS_peak_24703_lociStitched	chr7	78113620	78128299	1	14680	90761.7249	2495.43	88	MAGI2		RPL13AP17	88	1
2_MACS_peak_25481_lociStitched	chr8	2027403	2041896	2	14004	93036.3642	2647.8711	89	MYOM2		MYOM2	89	1
4_MACS_peak_15324_lociStitched	chr2	197024098	197048658	4	19969	42935.792	4096.608	90	STK17B		STK17B	90	1
1_MACS_peak_21376_lociStitched	chr5	88170793	88187191	1	16399	76324.491	3369.789	91	MEF2C		MEF2C	91	1
4_MACS_peak_25703_lociStitched	chr8	27216231	27244085	4	18803	54811.1012	5072.2134	92	PTK2B	TRIM35	PTK2B	92	1
3_MACS_peak_3862_lociStitched	chr10	112112682	112128593	3	8773	109801.811	3209.2487	93		SMNDC1	SMNDC1	93	1
1_MACS_peak_2244_lociStitched	chr1	203288296	203298234	1	9939	106124.9206	3032.0838	94		BTG2,LOC730227,FMOD	BTG2	94	1
6_MACS_peak_9235_lociStitched	chr15	89646657	89676696	6	16757	73123.9377	5139.6729	95	ABHD2		ABHD2	95	1
4_MACS_peak_8095_lociStitched	chr14	81930631	81956040	4	18597	50482.6012	2421.4777	96	SEL1L		SEL1L	96	1
3_MACS_peak_18410_lociStitched	chr3	98472865	98496018	3	17403	64532.0416	3873.4969	97	ST3GAL6		ST3GAL6	97	1
2_MACS_peak_17109_lociStitched	chr22	24178240	24192156	2	11657	97658.3132	2819.3816	98	DERL3	SMARCB1,SLC2A11,MIF	DERL3	98	1
2_MACS_peak_4316_lociStitched	chr11	19449973	19465982	2	13904	88004.6748	3562.0025	99	NAV2		NAV2	99	1
2_MACS_peak_11081_lociStitched	chr17	38465761	38484042	2	17827	59133.5507	3614.1537	100	RARA	CDC6,RARA,GJD3	RARA	100	1
2_MACS_peak_15903_lociStitched	chr20	5570558	5592389	2	19267	38822.0673	3916.4814	101	GPCPD1		GPCPD1	101	1
4_MACS_peak_8556_lociStitched	chr15	40834214	40862829	4	17576	59811.073	4712.8905	102	RPUSD2,C15orf57	CASC5,MRPL42P5	C15orf57	102	1
3_MACS_peak_9018_lociStitched	chr15	75065472	75083818	3	17230	58083.436	3458.221	103	CSK	CYP1A2,LMAN1L,CPLX3,CYP1A1	CSK	103	1
1_MACS_peak_4717_lociStitched	chr11	65263410	65279007	1	15598	71789.8716	3489.0489	104	MALAT1	SCYL1,LTBP3	MALAT1	104	1
1_MACS_peak_20773_lociStitched	chr5	1311763	1320811	1	9049	101218.1664	1947.1296	105	CLPTM1L	TERT	TERT	105	1
4_MACS_peak_22547_lociStitched	chr6	25365986	25390541	4	17724	49723.875	4306.947	106	LRRC16A		LRRC16A	106	1
1_MACS_peak_24503_lociStitched	chr7	55569344	55586180	1	16837	56092.5012	2648.3028	107	VOPP1		VOPP1	107	1
1_MACS_peak_12324_lociStitched	chr18	60821993	60831153	1	9161	98731.06	2287.252	108	BCL2		BCL2	108	1
4_MACS_peak_317_lociStitched	chr1	24511905	24533755	4	14515	75585.705	4225.79	109	LOC284632,IL28RA	IL22RA1	LOC284632	109	1
1_MACS_peak_23278_lociStitched	chr6	90054374	90071324	1	16951	53699.295	3356.1	110	UBE2J1	GABRR2	UBE2J1	110	1
2_MACS_peak_2242_lociStitched	chr1	203266710	203281746	2	14202	77014.392	4318.3392	111	BTG2,LOC730227	FMOD	LOC730227	111	1
2_MACS_peak_18279_lociStitched	chr3	69128200	69146001	2	17010	50752.4311	3305.6457	112	ARL6IP5,UBA3	MIR3136,TMF1,LMOD3	ARL6IP5	112	1
1_MACS_peak_17169_lociStitched	chr22	29186108	29199572	1	13465	78676.884	3100.7592	113	XBP1	HSCB,CCDC117,CHEK2	XBP1	113	1
4_MACS_peak_10970_lociStitched	chr17	34409087	34432702	4	17165	48309.2055	4163.3245	114	CCL4,CCL3	CCL18	CCL3	114	1
2_MACS_peak_2301_lociStitched	chr1	206282081	206295645	2	10256	93283.6972	3804.702	115	C1orf186	CTSE	C1orf186	115	1
3_MACS_peak_8540_lociStitched	chr15	40387635	40408885	3	15346	64608.5	3786.75	116	BMF	BUB1B	BMF	116	1
2_MACS_peak_17083_lociStitched	chr22	23189699	23210041	2	16469	50946.539	2351.5352	117		MIR650,IGLL5	IGLL5	117	1
4_MACS_peak_18766_lociStitched	chr3	133179299	133200434	4	14935	66583.704	4112.871	118	BFSP2		BFSP2	118	1
1_MACS_peak_24504_lociStitched	chr7	55597589	55605941	1	8353	95990.3712	2172.3552	119	VOPP1		VOPP1	119	1
2_MACS_peak_20663_lociStitched	chr4	185201098	185210910	2	9216	93223.812	2494.2104	120			ENPP6	120	1
2_MACS_peak_1017_lociStitched	chr1	75595950	75612812	2	16485	48967.248	2532.6724	121	LHX8		LHX8	121	1
4_MACS_peak_11619_lociStitched	chr17	72733637	72757343	4	17658	32958.4518	3958.902	122	RAB37,SLC9A3R1,MIR3615	TMEM104,CD300LF,NAT9	SLC9A3R1	122	1
5_MACS_peak_9738_lociStitched	chr16	22194979	22219146	5	16766	44092.6915	4516.8123	123	EEF2K		EEF2K	123	1
1_MACS_peak_16263_lociStitched	chr20	37497936	37505913	1	7978	94511.496	1837.1031	125	PPP1R16B	FAM83D	FAM83D	125	1
2_MACS_peak_9755_lociStitched	chr16	23343536	23354284	2	8566	92876.6924	1970.1084	126	SCNN1B		SCNN1B	126	1
2_MACS_peak_1701_lociStitched	chr1	155931188	155952057	2	15386	58051.2973	5033.6028	127	ARHGEF2	RXFP4,SNORA42,SCARNA4,KIAA0907,SSR2	ARHGEF2	127	1
3_MACS_peak_3883_lociStitched	chr10	112611886	112633201	3	15841	52652.313	4194.792	128	PDCD4,LOC282997	SHOC2,NCRNA00081	LOC282997	128	1
6_MACS_peak_22741_lociStitched	chr6	31781523	31805628	6	16932	38153.394	4001.43	130	HSPA1A,HSPA1B,C6orf48,SNORD48,SNORD52,HSPA1L	C6orf27,VARS,LSM2,NEU1,SLC44A4	HSPA1B	130	1
3_MACS_peak_16082_lociStitched	chr20	25261580	25283363	3	13980	67259.3691	3313.1943	131	PYGB,ABHD12		PYGB	131	1
4_MACS_peak_5193_lociStitched	chr11	111232129	111251333	4	14956	58887.1456	3341.496	132	POU2AF1		POU2AF1	132	1
3_MACS_peak_21092_lociStitched	chr5	55437037	55453660	3	15170	55672.0893	2869.1298	133	ANKRD55		ANKRD55	133	1
2_MACS_peak_5800_lociStitched	chr12	26265860	26280396	2	14204	62437.9344	2860.6848	134	BHLHE41		BHLHE41	134	1
5_MACS_peak_14454_lociStitched	chr2	88898837	88928512	5	16994	31084.5625	5089.2625	135	EIF2AK3		EIF2AK3	135	1
4_MACS_peak_6000_lociStitched	chr12	48196824	48218787	4	14860	56574.4917	3718.3359	137	HDAC7	SLC48A1,RAPGEF3	HDAC7	137	1
2_MACS_peak_233_lociStitched	chr1	17221347	17233430	2	7570	93743.5389	3860.5185	138		CROCC	CROCC	138	1
3_MACS_peak_22227_lociStitched	chr5	180228288	180249431	3	14837	54377.6817	3313.1081	139	MGAT1	LOC729678,ZFP62	MGAT1	139	1
1_MACS_peak_11213_lociStitched	chr17	43297977	43308599	1	10623	79607.6412	2203.0028	140	FMNL1	LOC100133991,C17orf46	FMNL1	140	1
2_MACS_peak_14266_lociStitched	chr2	70310172	70323373	2	8711	87092.2774	2409.1825	141	PCBP1,LOC400960	LOC100133985	PCBP1	141	1
1_MACS_peak_5728_lociStitched	chr12	15100765	15116304	1	15540	45305.5084	3121.7851	142	ARHGDIB	PDE6H,ERP27	ARHGDIB	142	1
2_MACS_peak_13649_lociStitched	chr2	11883582	11897885	2	14288	56798.6433	3096.5995	143	LPIN1		LPIN1	143	1
2_MACS_peak_14688_lociStitched	chr2	112455687	112465544	2	9826	81573.5749	2275.9813	144			ANAPC1	144	1
1_MACS_peak_10887_lociStitched	chr17	29635647	29649622	1	13976	57881.655	2560.22	145	NF1,EVI2B,EVI2A	OMG	EVI2B	145	1
3_MACS_peak_19303_lociStitched	chr3	186703190	186719933	3	12725	68381.7606	4413.4548	146	ST6GAL1	ST6GAL1	ST6GAL1	146	1
4_MACS_peak_22183_lociStitched	chr5	176717014	176740710	4	14897	50259.216	4296.0848	147	NSD1,PRELID1,RAB24,MXD3	RGS14,LMAN2	RAB24	147	1
6_MACS_peak_23710_lociStitched	chr6	138247146	138279668	6	15703	38655.6492	4787.2384	149			TNFAIP3	149	1
2_MACS_peak_2674_lociStitched	chr1	234733896	234749856	2	12134	70247.94	4229.4	150	IRF2BP2	NCRNA00184	IRF2BP2	150	1
3_MACS_peak_2267_lociStitched	chr1	204474606	204492075	3	12253	69814.8585	4681.692	151	MDM4	PIK3C2B	MDM4	151	1
2_MACS_peak_10099_lociStitched	chr16	66549282	66560420	2	10093	77916.9928	2528.326	152	TK2	CKLF,CMTM1	TK2	152	1
6_MACS_peak_18016_lociStitched	chr3	46319841	46347265	6	15307	40760.2912	4579.808	153		CCR3,CCR2	CCR3	153	1
6_MACS_peak_9842_lociStitched	chr16	29815304	29837377	6	14756	46388.6168	3445.5953	154	KIF22,MAZ,PRRT2,C16orf53,MVP	ZG16,LOC440356,CDIPT	C16orf53	154	1
1_MACS_peak_7541_lociStitched	chr13	114556465	114568090	1	11626	69601.2	2517.975	155	GAS6	FLJ44054,GAS6	GAS6	155	1
4_MACS_peak_21078_lociStitched	chr5	55272692	55292027	4	15593	34603.8495	3484.167	156	IL6ST		IL6ST	156	1
5_MACS_peak_10134_lociStitched	chr16	67578041	67601626	5	14827	44238.3845	4023.601	157	FAM65A,CTCF		CTCF	157	1
1_MACS_peak_13957_lociStitched	chr2	43444257	43456966	1	12710	61684.4024	2483.3386	158	LOC100129726,ZFP36L2		ZFP36L2	158	1
2_MACS_peak_2570_lociStitched	chr1	226840009	226852504	2	12104	67040.673	3888.444	159	ITPKB		ITPKB	159	1
1_MACS_peak_8783_lociStitched	chr15	56656101	56666471	1	10371	74542.671	2302.14	160	TEX9		TEX9	160	1
5_MACS_peak_21941_lociStitched	chr5	150512911	150538087	5	15441	33871.7904	4008.0192	162	ANXA6		ANXA6	162	1
4_MACS_peak_22572_lociStitched	chr6	26183667	26207460	4	13724	54022.0065	3897.2934	163	HIST1H2BE,HIST1H2BF,HIST1H4E,HIST1H4D,HIST1H3D,HIST1H2AD	HIST1H1E,HIST1H2BD,HIST1H2AE,HIST1H3E,HIST1H4F,HIST1H2BH,HIST1H2BG,HIST1H1D,HIST1H4G,HIST1H3F	HIST1H3D	163	1
5_MACS_peak_8060_lociStitched	chr14	77487923	77507936	5	14809	39903.9207	1717.1154	164	C14orf4		C14orf4	164	1
3_MACS_peak_21583_lociStitched	chr5	118657816	118678709	3	14336	46115.0296	3844.312	165	TNFAIP8	TNFAIP8	TNFAIP8	165	1
2_MACS_peak_17353_lociStitched	chr22	38782157	38797112	2	14873	38120.295	2513.9355	166	LOC400927	KCNJ4	LOC400927	166	1
4_MACS_peak_16337_lociStitched	chr20	43583391	43609245	4	14890	39988.3818	4922.6016	167	STK4,TOMM34	PABPC1L	STK4	167	1
2_MACS_peak_24412_lociStitched	chr7	44661690	44680143	2	14690	40314.2691	3354.7554	168	OGDH	DDX56,TMED4	OGDH	168	1
1_MACS_peak_22410_lociStitched	chr6	11827711	11836734	1	9024	77564.4149	1971.5255	169		C6orf105	C6orf105	169	1
3_MACS_peak_28162_lociStitched	chrX	48790358	48805536	3	12189	61026.1846	1611.9036	170	OTUD5	PQBP1,TIMM17B,SLC35A2,PIM2,KCND1	OTUD5	170	1
4_MACS_peak_22613_lociStitched	chr6	27094271	27116322	4	13670	50426.2268	3552.4161	171	HIST1H2AG,HIST1H4I,HIST1H2AH,MIR3143,HIST1H2BJ,HIST1H2BK		HIST1H4I	171	1
2_MACS_peak_15407_lociStitched	chr2	202116135	202129119	2	11108	68080.3056	2847.3912	172	CASP8		CASP8	172	1
4_MACS_peak_21690_lociStitched	chr5	131790328	131814809	4	14001	47187.1275	4379.6509	173	C5orf56	IRF1	IRF1	173	1
4_MACS_peak_1785_lociStitched	chr1	160633728	160656034	4	12959	56088.437	5141.533	174	CD48	SLAMF1	SLAMF1	174	1
5_MACS_peak_15402_lociStitched	chr2	202081318	202102044	5	14895	32981.2838	4122.4014	175	CASP10,CASP8	CASP8	CASP8	175	1
2_MACS_peak_25040_lociStitched	chr7	114561541	114574053	2	10670	68834.768	3373.2352	176	MDFIC		MDFIC	176	1
4_MACS_peak_3537_lociStitched	chr10	81946453	81966456	4	13848	45126.768	3492.5238	177	ANXA11		ANXA11	177	1
5_MACS_peak_2125_lociStitched	chr1	192498428	192521072	5	12748	56385.8244	5235.2928	178		RGS1	RGS1	178	1
2_MACS_peak_22735_lociStitched	chr6	31694438	31709317	2	12265	57650.1734	3115.6626	179	MSH5,DDAH2,CLIC1	LY6G6F,LY6G6D,C6orf25,C6orf26,LY6G5C,BAT5,LY6G6E,LY6G6C,C6orf27	CLIC1	179	1
3_MACS_peak_11707_lociStitched	chr17	75079007	75093108	3	13570	45777.4864	2801.8687	180	C17orf86,SCARNA16	SEC14L1	SCARNA16	180	1
2_MACS_peak_19973_lociStitched	chr4	77608695	77624750	2	14754	29870.3275	3044.028	181	SHROOM3		ANKRD56	181	1
2_MACS_peak_18014_lociStitched	chr3	46245888	46257132	2	8965	74063.1036	2392.7232	182	CCR1	CCR3	CCR1	182	1
4_MACS_peak_3520_lociStitched	chr10	81001191	81020393	4	13876	41224.7738	3168.33	183	ZMIZ1		PPIF	183	1
1_MACS_peak_4543_lociStitched	chr11	58339905	58348058	1	8154	75979.4376	1611.8481	184	ZFP91-CNTF,ZFP91,LPXN	CNTF	LPXN	184	1
5_MACS_peak_15441_lociStitched	chr2	204548337	204573718	5	13037	51015.81	4497.5132	185	CD28		CD28	185	1
3_MACS_peak_18717_lociStitched	chr3	129026552	129048476	3	14037	39623.2452	3856.4316	186	C3orf47,H1FX	C3orf37	H1FX	186	1
2_MACS_peak_19308_lociStitched	chr3	186779581	186792519	2	9920	70255.9276	3538.543	187	ST6GAL1		ST6GAL1	187	1
5_MACS_peak_15568_lociStitched	chr2	219743448	219763116	5	14233	35248.9896	3304.224	188	WNT10A	WNT6,PRKAG3	WNT10A	188	1
