REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X16_0EX2_0229Kronos_MM1S.KB.3hr.2_H3K27Ac_hs.dm_i29.bam	X40_0EXS_0229Kronos_MM1S.KB.3hr.2_Input_hs_i84.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank.1	isSuper
5_MACS_peak_23028_lociStitched	chr6	52392636	52424913	5	26581	92747.9595	5606.5149	65	TRAM2		TRAM2	65	1
3_MACS_peak_8935_lociStitched	chr15	68568534	68599563	3	28909	92627.7708	5600.7345	66	FEM1B,ITGA11	CLN6	FEM1B	66	1
4_MACS_peak_17707_lociStitched	chr3	13035668	13061474	4	17328	90197.1312	4670.886	67	IQSEC1	IQSEC1	IQSEC1	67	1
4_MACS_peak_10686_lociStitched	chr17	16859287	16883378	4	18259	89570.338	4442.3804	68	TNFRSF13B		TNFRSF13B	68	1
2_MACS_peak_14266_lociStitched	chr2	70310172	70323373	2	8711	87092.2774	2409.1825	69	PCBP1,LOC400960	LOC100133985	PCBP1	69	1
2_MACS_peak_4316_lociStitched	chr11	19449973	19465982	2	13904	88004.6748	3562.0025	70	NAV2		NAV2	70	1
4_MACS_peak_20672_lociStitched	chr4	185317494	185350139	4	20891	85601.719	5046.917	71	IRF2		IRF2	71	1
3_MACS_peak_1641_lociStitched	chr1	154370121	154394514	3	18840	86531.7282	6305.5905	72	IL6R		IL6R	72	1
1_MACS_peak_13700_lociStitched	chr2	20405043	20426353	1	21311	84023.199	4308.882	73	SDC1		SDC1	73	1
2_MACS_peak_14688_lociStitched	chr2	112455687	112465544	2	9826	81573.5749	2275.9813	74			ANAPC1	74	1
5_MACS_peak_12184_lociStitched	chr18	46440379	46480050	5	35711	85098.2621	7200.2865	75	SMAD7		SMAD7	75	1
1_MACS_peak_11213_lociStitched	chr17	43297977	43308599	1	10623	79607.6412	2203.0028	76	FMNL1	LOC100133991,C17orf46	FMNL1	76	1
3_MACS_peak_13137_lociStitched	chr19	39880664	39904029	3	17910	81291.508	3906.628	77	MED29,ZFP36,PLEKHG2,PAF1	SAMD4B,SUPT5H,RPS16	ZFP36	77	1
2_MACS_peak_6657_lociStitched	chr12	108952836	108970773	2	16522	80822.3283	3585.6063	78	ISCU,SART3	FICD,TMEM119	ISCU	78	1
1_MACS_peak_22410_lociStitched	chr6	11827711	11836734	1	9024	77564.4149	1971.5255	79		C6orf105	C6orf105	79	1
1_MACS_peak_17169_lociStitched	chr22	29186108	29199572	1	13465	78676.884	3100.7592	80	XBP1	HSCB,CCDC117,CHEK2	XBP1	80	1
8_MACS_peak_10983_lociStitched	chr17	34597880	34641353	8	33821	84268.0632	8707.6419	81	CCL4L1,CCL3L1,CCL3L3	TBC1D3C	TBC1D3C	81	1
2_MACS_peak_10099_lociStitched	chr16	66549282	66560420	2	10093	77916.9928	2528.326	82	TK2	CKLF,CMTM1	TK2	82	1
3_MACS_peak_5423_lociStitched	chr11	128585308	128610081	3	23941	79771.5373	4409.594	83	FLI1		FLI1	83	1
1_MACS_peak_20671_lociStitched	chr4	185302161	185307821	1	5661	75890.412	1326.704	84			IRF2	84	1
5_MACS_peak_19090_lociStitched	chr3	171802000	171827101	5	19433	80903.0331	6375.654	85	FNDC3B		FNDC3B	85	1
1_MACS_peak_4543_lociStitched	chr11	58339905	58348058	1	8154	75979.4376	1611.8481	86	ZFP91-CNTF,ZFP91,LPXN	CNTF	LPXN	86	1
1_MACS_peak_4854_lociStitched	chr11	70042025	70042886	1	862	74404.6065	180.1212	87		FADD	FADD	87	1
6_MACS_peak_10976_lociStitched	chr17	34509814	34539846	6	24225	80759.0512	6655.0912	88	CCL4L1,CCL3L1,CCL3L3	TBC1D3B	CCL3L1	88	1
2_MACS_peak_18037_lociStitched	chr3	46578207	46589673	2	7518	76197.303	2262.2418	89	LRRC2	RTP3,TDGF1	LRRC2	89	1
6_MACS_peak_17314_lociStitched	chr22	37611000	37642405	6	25974	79181.4265	5687.4455	90	RAC2	CYTH4,C1QTNF6,SSTR3	RAC2	90	1
1_MACS_peak_21376_lociStitched	chr5	88170793	88187191	1	16399	76324.491	3369.789	91	MEF2C		MEF2C	91	1
2_MACS_peak_2242_lociStitched	chr1	203266710	203281746	2	14202	77014.392	4318.3392	92	BTG2,LOC730227	FMOD	LOC730227	92	1
1_MACS_peak_19120_lociStitched	chr3	174866102	174871292	1	5191	74296.407	1900.578	93	NAALADL2		NAALADL2	93	1
1_MACS_peak_8783_lociStitched	chr15	56656101	56666471	1	10371	74542.671	2302.14	94	TEX9		TEX9	94	1
3_MACS_peak_2892_lociStitched	chr10	11278709	11304705	3	24441	76542.6224	4679.28	95	CELF2		CELF2	95	1
6_MACS_peak_14505_lociStitched	chr2	97190743	97220626	6	19799	76903.9005	5151.8292	96	ARID5A	NEURL3	ARID5A	96	1
2_MACS_peak_18014_lociStitched	chr3	46245888	46257132	2	8965	74063.1036	2392.7232	97	CCR1	CCR3	CCR1	97	1
3_MACS_peak_16471_lociStitched	chr20	52192325	52215981	3	22541	75330.1664	3837.0032	98	ZNF217		ZNF217	98	1
4_MACS_peak_317_lociStitched	chr1	24511905	24533755	4	14515	75585.705	4225.79	99	LOC284632,IL28RA	IL22RA1	LOC284632	99	1
1_MACS_peak_22771_lociStitched	chr6	32934602	32943083	1	8482	73230.8907	1920.0984	100	BRD2	HLA-DMB,HLA-DMA,HLA-DOA	BRD2	100	1
7_MACS_peak_5588_lociStitched	chr12	7045643	7085665	7	24881	77822.779	6739.7048	101	ATN1,C12orf57,PTPN6,MIR200C,MIR141,EMG1,PHB2,SCARNA12,LPCAT3	LRRC23,ENO2	PTPN6	101	1
2_MACS_peak_16159_lociStitched	chr20	32461957	32473616	2	8380	72170.3759	2384.2655	102			CHMP4B	102	1
4_MACS_peak_4206_lociStitched	chr11	10323648	10345124	4	17838	73649.7944	4428.3512	103	ADM	SBF2	ADM	103	1
1_MACS_peak_4717_lociStitched	chr11	65263410	65279007	1	15598	71789.8716	3489.0489	104	MALAT1	SCYL1,LTBP3	MALAT1	104	1
5_MACS_peak_11501_lociStitched	chr17	62150102	62187015	5	30904	75092.1159	6947.0266	105	ERN1	SNORD104,SNORA76	ERN1	105	1
6_MACS_peak_9235_lociStitched	chr15	89646657	89676696	6	16757	73123.9377	5139.6729	106	ABHD2		ABHD2	106	1
1_MACS_peak_4893_lociStitched	chr11	72862319	72869887	1	7569	69403.8576	1931.3536	107		FCHSD2	FCHSD2	107	1
1_MACS_peak_7541_lociStitched	chr13	114556465	114568090	1	11626	69601.2	2517.975	108	GAS6	FLJ44054,GAS6	GAS6	108	1
1_MACS_peak_21375_lociStitched	chr5	88110718	88130874	1	20157	70302.1124	3549.4716	109	MEF2C		MEF2C	109	1
2_MACS_peak_19308_lociStitched	chr3	186779581	186792519	2	9920	70255.9276	3538.543	110	ST6GAL1		ST6GAL1	110	1
2_MACS_peak_2674_lociStitched	chr1	234733896	234749856	2	12134	70247.94	4229.4	111	IRF2BP2	NCRNA00184	IRF2BP2	111	1
2_MACS_peak_5243_lociStitched	chr11	115090834	115102354	2	8236	68160.384	2324.736	112	CADM1		CADM1	112	1
2_MACS_peak_8432_lociStitched	chr15	31546713	31560816	2	9688	68234.5449	2652.7743	113			KLF13	113	1
2_MACS_peak_25040_lociStitched	chr7	114561541	114574053	2	10670	68834.768	3373.2352	114	MDFIC		MDFIC	114	1
2_MACS_peak_3870_lociStitched	chr10	112216460	112226020	2	7863	67270.852	1952.152	115		DUSP5	DUSP5	115	1
2_MACS_peak_15407_lociStitched	chr2	202116135	202129119	2	11108	68080.3056	2847.3912	116	CASP8		CASP8	116	1
3_MACS_peak_2267_lociStitched	chr1	204474606	204492075	3	12253	69814.8585	4681.692	117	MDM4	PIK3C2B	MDM4	117	1
3_MACS_peak_24505_lociStitched	chr7	55616302	55643079	3	25455	69577.3568	4594.9332	118	VOPP1		VOPP1	118	1
1_MACS_peak_8883_lociStitched	chr15	65183392	65189425	1	6034	66132.5394	1712.1654	119		PLEKHO2,ANKDD1A	ANKDD1A	119	1
3_MACS_peak_19303_lociStitched	chr3	186703190	186719933	3	12725	68381.7606	4413.4548	120	ST6GAL1	ST6GAL1	ST6GAL1	120	1
3_MACS_peak_16082_lociStitched	chr20	25261580	25283363	3	13980	67259.3691	3313.1943	121	PYGB,ABHD12		PYGB	121	1
4_MACS_peak_8155_lociStitched	chr14	91853819	91886020	4	28516	67264.6689	3348.904	122	CCDC88C		CCDC88C	122	1
2_MACS_peak_20812_lociStitched	chr5	6475818	6487252	2	10113	65841.5456	2125.5806	123	UBE2QL1		UBE2QL1	123	1
1_MACS_peak_2241_lociStitched	chr1	203255128	203261060	1	5933	65743.1696	2303.9888	124		BTG2,LOC730227	LOC730227	124	1
1_MACS_peak_293_lociStitched	chr1	23849895	23858930	1	9036	65279.682	1973.244	125	E2F2	ASAP3,ID3	E2F2	125	1
1_MACS_peak_23382_lociStitched	chr6	106610071	106617346	1	7276	64828.98	1623.78	126			PRDM1	126	1
2_MACS_peak_2570_lociStitched	chr1	226840009	226852504	2	12104	67040.673	3888.444	127	ITPKB		ITPKB	127	1
1_MACS_peak_10690_lociStitched	chr17	16889474	16895438	1	5965	64589.5236	1443.288	128		TNFRSF13B	TNFRSF13B	128	1
1_MACS_peak_11031_lociStitched	chr17	36856189	36863738	1	7550	64131.7746	1326.3593	129	MLLT6	CISD3,PSMB3,C17orf96,PCGF2	MLLT6	129	1
4_MACS_peak_18766_lociStitched	chr3	133179299	133200434	4	14935	66583.704	4112.871	130	BFSP2		BFSP2	130	1
1_MACS_peak_13890_lociStitched	chr2	37600546	37606517	1	5972	63434.7098	1375.1213	131		QPCT	QPCT	131	1
2_MACS_peak_5397_lociStitched	chr11	126056793	126068922	2	7225	63414.0507	2129.8524	132		FAM118B,RPUSD4	RPUSD4	132	1
2_MACS_peak_14990_lociStitched	chr2	158291969	158302399	2	10336	63102.543	2202.816	133	CYTIP		CYTIP	133	1
3_MACS_peak_8540_lociStitched	chr15	40387635	40408885	3	15346	64608.5	3786.75	134	BMF	BUB1B	BMF	134	1
3_MACS_peak_18410_lociStitched	chr3	98472865	98496018	3	17403	64532.0416	3873.4969	135	ST3GAL6		ST3GAL6	135	1
4_MACS_peak_17642_lociStitched	chr3	5222394	5256260	4	24881	65391.8594	5025.7144	136	ARL8B,EDEM1		EDEM1	136	1
1_MACS_peak_2355_lociStitched	chr1	209275307	209284060	1	8754	62885.9285	2656.5355	137			LOC642587	137	1
1_MACS_peak_12528_lociStitched	chr19	2606745	2612010	1	5266	61447.2885	1541.0655	138	GNG7		GNG7	138	1
2_MACS_peak_16085_lociStitched	chr20	25288911	25303029	2	9875	61938.4896	2251.821	139	ABHD12		PYGB	139	1
1_MACS_peak_6502_lociStitched	chr12	94597234	94603727	1	6494	60989.3983	1330.4157	140	PLXNC1		PLXNC1	140	1
2_MACS_peak_5800_lociStitched	chr12	26265860	26280396	2	14204	62437.9344	2860.6848	141	BHLHE41		BHLHE41	141	1
3_MACS_peak_28162_lociStitched	chrX	48790358	48805536	3	12189	61026.1846	1611.9036	142	OTUD5	PQBP1,TIMM17B,SLC35A2,PIM2,KCND1	OTUD5	142	1
1_MACS_peak_13957_lociStitched	chr2	43444257	43456966	1	12710	61684.4024	2483.3386	143	LOC100129726,ZFP36L2		ZFP36L2	143	1
7_MACS_peak_26370_lociStitched	chr8	120916755	120948347	7	24041	63692.6312	5133.7	144	DEPDC6	DSCC1	DEPDC6	144	1
3_MACS_peak_1724_lociStitched	chr1	156450107	156476101	3	20544	64953.8072	6542.6898	145	MEF2D		MEF2D	145	1
2_MACS_peak_11756_lociStitched	chr17	76711140	76733959	2	19119	62594.7989	4563.8	146	CYTH1		CYTH1	146	1
1_MACS_peak_24947_lociStitched	chr7	104651611	104658858	1	7248	59544.2508	1513.8983	147	MLL5,LOC100216545		MLL5	147	1
1_MACS_peak_231_lociStitched	chr1	17065656	17068543	1	2888	59416.1922	1519.7168	148		ESPNP,MST1P9	ESPNP	148	1
4_MACS_peak_10037_lociStitched	chr16	56963400	56985883	4	20488	61873.216	4384.185	149	HERPUD1	CETP,NLRC5	HERPUD1	149	1
3_MACS_peak_4865_lociStitched	chr11	71413596	71426786	3	11146	59629.352	2421.684	150			FAM86C	150	1
8_MACS_peak_8435_lociStitched	chr15	31628660	31660474	8	25102	61805.0578	4819.821	151	KLF13		KLF13	151	1
1_MACS_peak_19144_lociStitched	chr3	176911606	176920709	1	9104	59377.0484	2420.4877	152	TBL1XR1		TBL1XR1	152	1
1_MACS_peak_229_lociStitched	chr1	16991918	16994546	1	2629	58395.474	1484.2944	153		MST1P2,CROCCP2	MST1P2	153	1
1_MACS_peak_2309_lociStitched	chr1	206727947	206738612	1	10666	60135.669	3263.49	154	RASSF5	LGTN	RASSF5	154	1
1_MACS_peak_3090_lociStitched	chr10	30989215	30996886	1	7672	57840.8742	1575.6234	155			LYZL2	155	1
4_MACS_peak_18974_lociStitched	chr3	156804659	156824320	4	11321	61159.4727	5068.6058	156	LOC100498859,LOC339894		LOC100498859	156	1
1_MACS_peak_25759_lociStitched	chr8	29629810	29634252	1	4443	56890.0266	1086.9574	157		C8orf75	C8orf75	157	1
4_MACS_peak_5193_lociStitched	chr11	111232129	111251333	4	14956	58887.1456	3341.496	158	POU2AF1		POU2AF1	158	1
2_MACS_peak_11081_lociStitched	chr17	38465761	38484042	2	17827	59133.5507	3614.1537	159	RARA	CDC6,RARA,GJD3	RARA	159	1
1_MACS_peak_10887_lociStitched	chr17	29635647	29649622	1	13976	57881.655	2560.22	160	NF1,EVI2B,EVI2A	OMG	EVI2B	160	1
4_MACS_peak_8556_lociStitched	chr15	40834214	40862829	4	17576	59811.073	4712.8905	161	RPUSD2,C15orf57	CASC5,MRPL42P5	C15orf57	161	1
2_MACS_peak_17170_lociStitched	chr22	29207080	29221510	2	11464	57405.426	2578.641	162		CCDC117,XBP1	XBP1	162	1
3_MACS_peak_9018_lociStitched	chr15	75065472	75083818	3	17230	58083.436	3458.221	163	CSK	CYP1A2,LMAN1L,CPLX3,CYP1A1	CSK	163	1
2_MACS_peak_22735_lociStitched	chr6	31694438	31709317	2	12265	57650.1734	3115.6626	164	MSH5,DDAH2,CLIC1	LY6G6F,LY6G6D,C6orf25,C6orf26,LY6G5C,BAT5,LY6G6E,LY6G6C,C6orf27	CLIC1	164	1
4_MACS_peak_12854_lociStitched	chr19	16243975	16273328	4	19542	58978.9829	4934.2393	165	RAB8A,HSH2D,CIB3	FAM32A,AP1M1	HSH2D	165	1
1_MACS_peak_11057_lociStitched	chr17	37909416	37915687	1	6272	55214.2737	1479.956	166		GRB7,C17orf37	GRB7	166	1
2_MACS_peak_13649_lociStitched	chr2	11883582	11897885	2	14288	56798.6433	3096.5995	167	LPIN1		LPIN1	167	1
2_MACS_peak_22588_lociStitched	chr6	26355635	26367662	2	10518	56024.1714	2399.3865	168	BTN3A2	BTN3A2,BTN2A2,BTN3A1	BTN3A2	168	1
1_MACS_peak_16379_lociStitched	chr20	45978343	45987190	1	8848	55429.1091	1810.9809	169	ZMYND8	LOC100131496	ZMYND8	169	1
1_MACS_peak_24503_lociStitched	chr7	55569344	55586180	1	16837	56092.5012	2648.3028	170	VOPP1		VOPP1	170	1
1_MACS_peak_20178_lociStitched	chr4	105407068	105417600	1	10533	55140.286	1703.0244	171	CXXC4		CXXC4	171	1
2_MACS_peak_10576_lociStitched	chr17	6914917	6926137	2	7363	55054.296	1677.39	172	RNASEK,C17orf49,MIR195,MIR497	ALOX12,BCL6B,SLC16A13,SLC16A11	MIR195	172	1
2_MACS_peak_1701_lociStitched	chr1	155931188	155952057	2	15386	58051.2973	5033.6028	173	ARHGEF2	RXFP4,SNORA42,SCARNA4,KIAA0907,SSR2	ARHGEF2	173	1
2_MACS_peak_12529_lociStitched	chr19	2618248	2628955	2	7703	55941.9336	2938.0008	174	GNG7		GNG7	174	1
2_MACS_peak_19886_lociStitched	chr4	69431913	69443289	2	9833	54769.752	1830.3984	175	UGT2B15,UGT2B17		UGT2B17	175	1
3_MACS_peak_27409_lociStitched	chr9	112904043	112925366	3	19999	57501.7341	4610.0326	176	PALM2-AKAP2,AKAP2	C9orf152	AKAP2	176	1
4_MACS_peak_6000_lociStitched	chr12	48196824	48218787	4	14860	56574.4917	3718.3359	177	HDAC7	SLC48A1,RAPGEF3	HDAC7	177	1
3_MACS_peak_21092_lociStitched	chr5	55437037	55453660	3	15170	55672.0893	2869.1298	178	ANKRD55		ANKRD55	178	1
5_MACS_peak_21365_lociStitched	chr5	87954602	87976636	5	10971	55972.9702	3391.0326	179	LOC645323,MIR9-2		MIR9-2	179	1
8_MACS_peak_10161_lociStitched	chr16	68278146	68320793	8	29121	59117.2714	6661.4614	180	PLA2G15,SLC7A6	PRMT7,ESRP2,SLC7A6OS	SLC7A6	180	1
1_MACS_peak_16319_lociStitched	chr20	42695968	42700247	1	4280	53229.4763	1026.5321	181	TOX2		JPH2	181	1
3_MACS_peak_949_lociStitched	chr1	66736663	66750304	3	10928	54831.3636	2722.7436	182	PDE4B	PDE4B	PDE4B	182	1
5_MACS_peak_2125_lociStitched	chr1	192498428	192521072	5	12748	56385.8244	5235.2928	183		RGS1	RGS1	183	1
3_MACS_peak_22227_lociStitched	chr5	180228288	180249431	3	14837	54377.6817	3313.1081	184	MGAT1	LOC729678,ZFP62	MGAT1	184	1
4_MACS_peak_1785_lociStitched	chr1	160633728	160656034	4	12959	56088.437	5141.533	185	CD48	SLAMF1	SLAMF1	185	1
1_MACS_peak_24230_lociStitched	chr7	26002609	26009657	1	7049	52620.368	1680.948	186		MIR148A	MIR148A	186	1
1_MACS_peak_17402_lociStitched	chr22	39840896	39845893	1	4998	51613.5133	1161.8025	187		TAB1,MGAT3	MGAT3	187	1
1_MACS_peak_15225_lociStitched	chr2	182168515	182180119	1	11605	52683.3204	2274.384	188			ITGA4	188	1
1_MACS_peak_23278_lociStitched	chr6	90054374	90071324	1	16951	53699.295	3356.1	189	UBE2J1	GABRR2	UBE2J1	189	1
