#16_0EX2_0229Kronos_MM1S-KB-3hr-2_H3K27Ac_hs-dm_i29_peaks Enhancers
#Created from /data/projects/IRF4_mm_trn_data/p300_internal_ChIP/rose/16_0EX2_0229Kronos_MM1S-KB-3hr-2_H3K27Ac_hs-dm_i29_ROSE/16_0EX2_0229Kronos_MM1S-KB-3hr-2_H3K27Ac_hs-dm_i29_peaks_5KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by X16_0EX2_0229Kronos_MM1S.KB.3hr.2_H3K27Ac_hs.dm_i29.bam
#Using cutoff of 23887.9584 for Super-Enhancers
#Created on Jul 18 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X16_0EX2_0229Kronos_MM1S.KB.3hr.2_H3K27Ac_hs.dm_i29.bam	X40_0EXS_0229Kronos_MM1S.KB.3hr.2_Input_hs_i84.bam	enhancerRank	isStretch
1_MACS_peak_21375_lociStitched	chr5	88110718	88130874	1	20157	70302.1124	3549.4716	56	1
2_MACS_peak_25385_lociStitched	chr7	150063924	150084802	2	20080	134191.2572	5541.0212	57	1
3_MACS_peak_27409_lociStitched	chr9	112904043	112925366	3	19999	57501.7341	4610.0326	58	1
4_MACS_peak_15324_lociStitched	chr2	197024098	197048658	4	19969	42935.792	4096.608	59	1
4_MACS_peak_6659_lociStitched	chr12	109009503	109035988	4	19966	154804.825	5257.2725	60	1
1_MACS_peak_16853_lociStitched	chr21	41324661	41344615	1	19955	104074.0778	5535.2396	61	1
6_MACS_peak_14505_lociStitched	chr2	97190743	97220626	6	19799	76903.9005	5151.8292	62	1
3_MACS_peak_11421_lociStitched	chr17	56404682	56431025	3	19586	122629.2993	5671.6479	63	1
4_MACS_peak_12854_lociStitched	chr19	16243975	16273328	4	19542	58978.9829	4934.2393	64	1
4_MACS_peak_1360_lociStitched	chr1	118194840	118219203	4	19538	107094.8754	2787.1272	65	1
5_MACS_peak_19090_lociStitched	chr3	171802000	171827101	5	19433	80903.0331	6375.654	66	1
1_MACS_peak_462_lociStitched	chr1	31213923	31233236	1	19314	100746.2645	4171.608	67	1
2_MACS_peak_15903_lociStitched	chr20	5570558	5592389	2	19267	38822.0673	3916.4814	68	1
2_MACS_peak_11756_lociStitched	chr17	76711140	76733959	2	19119	62594.7989	4563.8	69	1
3_MACS_peak_1641_lociStitched	chr1	154370121	154394514	3	18840	86531.7282	6305.5905	70	1
4_MACS_peak_25703_lociStitched	chr8	27216231	27244085	4	18803	54811.1012	5072.2134	71	1
1_MACS_peak_19737_lociStitched	chr4	40191066	40209763	1	18698	114519.125	4577.0256	72	1
4_MACS_peak_8095_lociStitched	chr14	81930631	81956040	4	18597	50482.6012	2421.4777	73	1
4_MACS_peak_10686_lociStitched	chr17	16859287	16883378	4	18259	89570.338	4442.3804	74	1
3_MACS_peak_13137_lociStitched	chr19	39880664	39904029	3	17910	81291.508	3906.628	75	1
4_MACS_peak_4206_lociStitched	chr11	10323648	10345124	4	17838	73649.7944	4428.3512	76	1
2_MACS_peak_11081_lociStitched	chr17	38465761	38484042	2	17827	59133.5507	3614.1537	77	1
1_MACS_peak_4710_lociStitched	chr11	65183338	65201083	1	17746	190183.812	4489.485	78	1
4_MACS_peak_22547_lociStitched	chr6	25365986	25390541	4	17724	49723.875	4306.947	79	1
4_MACS_peak_11619_lociStitched	chr17	72733637	72757343	4	17658	32958.4518	3958.902	80	1
4_MACS_peak_8556_lociStitched	chr15	40834214	40862829	4	17576	59811.073	4712.8905	81	1
3_MACS_peak_18410_lociStitched	chr3	98472865	98496018	3	17403	64532.0416	3873.4969	82	1
4_MACS_peak_17707_lociStitched	chr3	13035668	13061474	4	17328	90197.1312	4670.886	83	1
5_MACS_peak_16921_lociStitched	chr21	45552543	45580552	5	17263	102132.0176	6467.2781	84	1
3_MACS_peak_9018_lociStitched	chr15	75065472	75083818	3	17230	58083.436	3458.221	85	1
4_MACS_peak_10970_lociStitched	chr17	34409087	34432702	4	17165	48309.2055	4163.3245	86	1
4_MACS_peak_1529_lociStitched	chr1	149802947	149833994	4	17137	101250.4764	7777.2735	87	1
2_MACS_peak_18279_lociStitched	chr3	69128200	69146001	2	17010	50752.4311	3305.6457	88	1
5_MACS_peak_14454_lociStitched	chr2	88898837	88928512	5	16994	31084.5625	5089.2625	89	1
1_MACS_peak_23278_lociStitched	chr6	90054374	90071324	1	16951	53699.295	3356.1	90	1
6_MACS_peak_22741_lociStitched	chr6	31781523	31805628	6	16932	38153.394	4001.43	91	1
2_MACS_peak_1553_lociStitched	chr1	150532150	150553180	2	16879	96866.283	6395.223	92	1
1_MACS_peak_24503_lociStitched	chr7	55569344	55586180	1	16837	56092.5012	2648.3028	93	1
5_MACS_peak_9738_lociStitched	chr16	22194979	22219146	5	16766	44092.6915	4516.8123	94	1
6_MACS_peak_9235_lociStitched	chr15	89646657	89676696	6	16757	73123.9377	5139.6729	95	1
2_MACS_peak_6657_lociStitched	chr12	108952836	108970773	2	16522	80822.3283	3585.6063	96	1
2_MACS_peak_1017_lociStitched	chr1	75595950	75612812	2	16485	48967.248	2532.6724	97	1
2_MACS_peak_17083_lociStitched	chr22	23189699	23210041	2	16469	50946.539	2351.5352	98	1
1_MACS_peak_21376_lociStitched	chr5	88170793	88187191	1	16399	76324.491	3369.789	99	1
7_MACS_peak_1155_lociStitched	chr1	93409272	93428475	7	15901	24433.8972	1949.1045	100	1
1_MACS_peak_5693_lociStitched	chr12	12866272	12882124	1	15853	144995.0736	3322.5792	101	1
3_MACS_peak_3883_lociStitched	chr10	112611886	112633201	3	15841	52652.313	4194.792	102	1
6_MACS_peak_23710_lociStitched	chr6	138247146	138279668	6	15703	38655.6492	4787.2384	103	1
1_MACS_peak_4717_lociStitched	chr11	65263410	65279007	1	15598	71789.8716	3489.0489	104	1
4_MACS_peak_21078_lociStitched	chr5	55272692	55292027	4	15593	34603.8495	3484.167	105	1
1_MACS_peak_5728_lociStitched	chr12	15100765	15116304	1	15540	45305.5084	3121.7851	106	1
2_MACS_peak_17088_lociStitched	chr22	23269413	23285960	2	15531	170531.7273	3418.6102	107	1
5_MACS_peak_21941_lociStitched	chr5	150512911	150538087	5	15441	33871.7904	4008.0192	108	1
2_MACS_peak_12502_lociStitched	chr19	2081462	2098513	2	15439	128071.7661	5258.5284	109	1
2_MACS_peak_1701_lociStitched	chr1	155931188	155952057	2	15386	58051.2973	5033.6028	110	1
3_MACS_peak_8540_lociStitched	chr15	40387635	40408885	3	15346	64608.5	3786.75	111	1
6_MACS_peak_18016_lociStitched	chr3	46319841	46347265	6	15307	40760.2912	4579.808	112	1
1_MACS_peak_15394_lociStitched	chr2	201979921	201995135	1	15215	153019.3692	3362.294	113	1
3_MACS_peak_21092_lociStitched	chr5	55437037	55453660	3	15170	55672.0893	2869.1298	114	1
4_MACS_peak_5193_lociStitched	chr11	111232129	111251333	4	14956	58887.1456	3341.496	115	1
4_MACS_peak_18766_lociStitched	chr3	133179299	133200434	4	14935	66583.704	4112.871	116	1
4_MACS_peak_22183_lociStitched	chr5	176717014	176740710	4	14897	50259.216	4296.0848	117	1
5_MACS_peak_15402_lociStitched	chr2	202081318	202102044	5	14895	32981.2838	4122.4014	118	1
4_MACS_peak_16337_lociStitched	chr20	43583391	43609245	4	14890	39988.3818	4922.6016	119	1
2_MACS_peak_17353_lociStitched	chr22	38782157	38797112	2	14873	38120.295	2513.9355	120	1
4_MACS_peak_6000_lociStitched	chr12	48196824	48218787	4	14860	56574.4917	3718.3359	121	1
3_MACS_peak_11712_lociStitched	chr17	75131334	75147141	3	14857	95227.6908	3390.6015	122	1
3_MACS_peak_22227_lociStitched	chr5	180228288	180249431	3	14837	54377.6817	3313.1081	123	1
5_MACS_peak_10134_lociStitched	chr16	67578041	67601626	5	14827	44238.3845	4023.601	124	1
5_MACS_peak_8060_lociStitched	chr14	77487923	77507936	5	14809	39903.9207	1717.1154	125	1
6_MACS_peak_9842_lociStitched	chr16	29815304	29837377	6	14756	46388.6168	3445.5953	126	1
2_MACS_peak_19973_lociStitched	chr4	77608695	77624750	2	14754	29870.3275	3044.028	127	1
2_MACS_peak_24412_lociStitched	chr7	44661690	44680143	2	14690	40314.2691	3354.7554	128	1
1_MACS_peak_24703_lociStitched	chr7	78113620	78128299	1	14680	90761.7249	2495.43	129	1
4_MACS_peak_17843_lociStitched	chr3	30682922	30703546	4	14645	19124.6352	3372.024	130	1
4_MACS_peak_14197_lociStitched	chr2	65156621	65178809	4	14529	95155.4568	3971.652	131	1
4_MACS_peak_317_lociStitched	chr1	24511905	24533755	4	14515	75585.705	4225.79	132	1
3_MACS_peak_21583_lociStitched	chr5	118657816	118678709	3	14336	46115.0296	3844.312	133	1
6_MACS_peak_26436_lociStitched	chr8	126285348	126308192	6	14312	32712.608	3575.086	134	1
2_MACS_peak_13649_lociStitched	chr2	11883582	11897885	2	14288	56798.6433	3096.5995	135	1
5_MACS_peak_15568_lociStitched	chr2	219743448	219763116	5	14233	35248.9896	3304.224	136	1
2_MACS_peak_5800_lociStitched	chr12	26265860	26280396	2	14204	62437.9344	2860.6848	137	1
1_MACS_peak_17351_lociStitched	chr22	38700753	38714954	1	14202	27263.0798	2469.5539	138	1
2_MACS_peak_2242_lociStitched	chr1	203266710	203281746	2	14202	77014.392	4318.3392	139	1
3_MACS_peak_16651_lociStitched	chr21	19152048	19169149	3	14171	33488.8883	3370.6071	140	1
3_MACS_peak_11762_lociStitched	chr17	76763375	76779717	3	14048	36040.6468	2828.8002	141	1
3_MACS_peak_18717_lociStitched	chr3	129026552	129048476	3	14037	39623.2452	3856.4316	142	1
3_MACS_peak_27620_lociStitched	chr9	130828809	130845824	3	14019	34188.2395	2982.7295	143	1
6_MACS_peak_8335_lociStitched	chr15	20970173	20995689	6	14005	24469.844	3230.3256	144	1
2_MACS_peak_25481_lociStitched	chr8	2027403	2041896	2	14004	93036.3642	2647.8711	145	1
4_MACS_peak_21690_lociStitched	chr5	131790328	131814809	4	14001	47187.1275	4379.6509	146	1
3_MACS_peak_16082_lociStitched	chr20	25261580	25283363	3	13980	67259.3691	3313.1943	147	1
1_MACS_peak_10887_lociStitched	chr17	29635647	29649622	1	13976	57881.655	2560.22	148	1
4_MACS_peak_641_lociStitched	chr1	40839074	40858340	4	13975	35351.1834	3390.816	149	1
6_MACS_peak_4667_lociStitched	chr11	63992553	64020071	6	13962	29669.9076	4017.628	150	1
2_MACS_peak_4316_lociStitched	chr11	19449973	19465982	2	13904	88004.6748	3562.0025	151	1
4_MACS_peak_3520_lociStitched	chr10	81001191	81020393	4	13876	41224.7738	3168.33	152	1
4_MACS_peak_3537_lociStitched	chr10	81946453	81966456	4	13848	45126.768	3492.5238	153	1
3_MACS_peak_6874_lociStitched	chr12	123371248	123387151	3	13780	30436.7517	1709.5725	154	1
6_MACS_peak_8344_lociStitched	chr15	21976648	22002456	6	13748	22525.2224	3762.8064	155	1
3_MACS_peak_11943_lociStitched	chr18	9055061	9074572	3	13731	123894.85	3498.3223	156	1
5_MACS_peak_25717_lociStitched	chr8	27930207	27951651	5	13730	30845.0496	3997.1616	157	1
4_MACS_peak_22572_lociStitched	chr6	26183667	26207460	4	13724	54022.0065	3897.2934	158	1
3_MACS_peak_26110_lociStitched	chr8	81046376	81061663	3	13679	25952.7399	2589.6178	159	1
4_MACS_peak_22613_lociStitched	chr6	27094271	27116322	4	13670	50426.2268	3552.4161	160	1
4_MACS_peak_6181_lociStitched	chr12	57021917	57040923	4	13604	28408.2682	3422.9806	161	1
3_MACS_peak_11707_lociStitched	chr17	75079007	75093108	3	13570	45777.4864	2801.8687	162	1
2_MACS_peak_21855_lociStitched	chr5	142771405	142785947	2	13539	40240.6224	2063.5098	163	1
1_MACS_peak_17169_lociStitched	chr22	29186108	29199572	1	13465	78676.884	3100.7592	164	1
3_MACS_peak_9619_lociStitched	chr16	12052449	12072239	3	13450	107671.453	3764.058	165	1
4_MACS_peak_23874_lociStitched	chr6	157976656	157999836	4	13440	32143.706	1914.668	166	1
5_MACS_peak_27696_lociStitched	chr9	134127149	134152448	5	13352	40435.3917	4088.3184	167	1
1_MACS_peak_11058_lociStitched	chr17	37924906	37938211	1	13306	40698.6645	2498.679	168	1
1_MACS_peak_11506_lociStitched	chr17	62197018	62210312	1	13295	30336.908	2685.388	169	1
6_MACS_peak_8533_lociStitched	chr15	40329663	40358190	6	13206	28718.1309	4455.9174	170	1
3_MACS_peak_27211_lociStitched	chr9	94181101	94195815	3	13161	34277.7344	3200.295	171	1
5_MACS_peak_6187_lociStitched	chr12	57093582	57120180	5	13142	23576.4672	4657.3098	172	1
5_MACS_peak_28574_lociStitched	chrX	128902477	128921372	5	13136	33480.0505	1897.058	173	1
3_MACS_peak_11600_lociStitched	chr17	70582418	70601677	3	13048	38756.8116	3310.6221	174	1
5_MACS_peak_15441_lociStitched	chr2	204548337	204573718	5	13037	51015.81	4497.5132	175	1
4_MACS_peak_1785_lociStitched	chr1	160633728	160656034	4	12959	56088.437	5141.533	176	1
2_MACS_peak_2394_lociStitched	chr1	211743516	211756443	2	12859	22374.0516	3302.8485	177	1
4_MACS_peak_18916_lociStitched	chr3	151985386	152002015	4	12842	29296.9722	2925.0411	178	1
2_MACS_peak_22260_lociStitched	chr6	388990	404034	2	12791	27856.9748	2667.3012	179	1
4_MACS_peak_5901_lociStitched	chr12	33037777	33060373	4	12771	19866.4032	3500.1204	180	1
5_MACS_peak_2125_lociStitched	chr1	192498428	192521072	5	12748	56385.8244	5235.2928	181	1
3_MACS_peak_19303_lociStitched	chr3	186703190	186719933	3	12725	68381.7606	4413.4548	182	1
1_MACS_peak_13957_lociStitched	chr2	43444257	43456966	1	12710	61684.4024	2483.3386	183	1
1_MACS_peak_383_lociStitched	chr1	27018296	27030975	1	12680	45872.622	2666.3937	184	1
3_MACS_peak_27604_lociStitched	chr9	130532000	130551719	3	12642	28746.3582	2981.5128	185	1
4_MACS_peak_12509_lociStitched	chr19	2254739	2274470	4	12480	33791.3106	4293.4656	186	1
4_MACS_peak_5004_lociStitched	chr11	82764999	82790115	4	12479	44633.6436	4397.8116	187	1
4_MACS_peak_17407_lociStitched	chr22	39910553	39929634	4	12443	34214.1411	3570.0551	188	1
6_MACS_peak_10116_lociStitched	chr16	67191562	67218780	6	12438	25492.3788	3973.828	189	1
4_MACS_peak_15753_lociStitched	chr2	238599723	238613273	4	12421	20455.08	1287.25	190	1
4_MACS_peak_10606_lociStitched	chr17	7736832	7762382	4	12416	25521.895	4136.545	191	1
1_MACS_peak_615_lociStitched	chr1	40030488	40042859	1	12372	22418.7262	2359.1497	192	1
6_MACS_peak_14166_lociStitched	chr2	64430374	64456306	6	12309	46161.5532	4385.1012	193	1
1_MACS_peak_22551_lociStitched	chr6	25403052	25415351	1	12300	119577.0275	3339.1785	194	1
3_MACS_peak_19963_lociStitched	chr4	77117646	77136379	3	12277	42254.1548	3718.5005	195	1
2_MACS_peak_22735_lociStitched	chr6	31694438	31709317	2	12265	57650.1734	3115.6626	196	1
3_MACS_peak_2267_lociStitched	chr1	204474606	204492075	3	12253	69814.8585	4681.692	197	1
3_MACS_peak_28162_lociStitched	chrX	48790358	48805536	3	12189	61026.1846	1611.9036	198	1
1_MACS_peak_12055_lociStitched	chr18	22929066	22941224	1	12159	27485.5906	1703.3358	199	1
3_MACS_peak_14184_lociStitched	chr2	64862704	64883404	3	12153	36305.73	3129.84	200	1
3_MACS_peak_28061_lociStitched	chrX	39953280	39969553	3	12148	23906.6643	1026.8263	201	1
4_MACS_peak_16525_lociStitched	chr20	55957945	55975345	4	12136	24159.9	2911.02	202	1
2_MACS_peak_2674_lociStitched	chr1	234733896	234749856	2	12134	70247.94	4229.4	203	1
2_MACS_peak_2570_lociStitched	chr1	226840009	226852504	2	12104	67040.673	3888.444	204	1
2_MACS_peak_17150_lociStitched	chr22	26974752	26992124	2	11989	36514.2068	2916.7588	205	1
2_MACS_peak_3155_lociStitched	chr10	43890545	43905874	2	11977	35160.1273	2527.7521	206	1
2_MACS_peak_21694_lociStitched	chr5	131822908	131837596	2	11926	33275.664	2799.5328	207	1
4_MACS_peak_2871_lociStitched	chr10	7511624	7535594	4	11902	46175.808	3696.174	208	1
2_MACS_peak_24471_lociStitched	chr7	50343663	50357761	2	11896	39943.8634	2716.6846	209	1
1_MACS_peak_10288_lociStitched	chr16	79628903	79640766	1	11864	24268.1391	871.9305	210	1
1_MACS_peak_20934_lociStitched	chr5	32581093	32592910	1	11818	42709.0014	2582.0145	211	1
5_MACS_peak_5666_lociStitched	chr12	11901844	11920122	5	11789	34289.528	3057.9094	212	1
4_MACS_peak_12786_lociStitched	chr19	13043296	13057929	4	11769	21072.9833	2784.6599	213	1
4_MACS_peak_8757_lociStitched	chr15	52959369	52977118	4	11762	28648.6609	3153.9973	214	1
4_MACS_peak_11746_lociStitched	chr17	76163822	76183571	4	11679	27964.584	3402.7527	215	1
3_MACS_peak_17790_lociStitched	chr3	20080309	20098180	3	11671	29533.6146	2637.7596	216	1
2_MACS_peak_17109_lociStitched	chr22	24178240	24192156	2	11657	97658.3132	2819.3816	217	1
3_MACS_peak_12877_lociStitched	chr19	16693935	16711643	3	11657	48725.3328	3091.8168	218	1
4_MACS_peak_4822_lociStitched	chr11	67760541	67778334	4	11650	32326.3224	2583.5436	219	1
1_MACS_peak_7541_lociStitched	chr13	114556465	114568090	1	11626	69601.2	2517.975	220	1
2_MACS_peak_16332_lociStitched	chr20	43270464	43282256	2	11622	36447.8928	2416.1808	221	1
4_MACS_peak_16207_lociStitched	chr20	34674632	34690230	4	11615	16813.0842	2494.1202	222	1
3_MACS_peak_19712_lociStitched	chr4	38307399	38322270	3	11606	52139.2131	2641.0896	223	1
1_MACS_peak_15225_lociStitched	chr2	182168515	182180119	1	11605	52683.3204	2274.384	224	1
3_MACS_peak_22969_lociStitched	chr6	44213378	44233739	3	11543	29993.7891	3379.926	225	1
2_MACS_peak_10541_lociStitched	chr17	4842027	4854721	2	11540	46074.1424	2006.9214	226	1
1_MACS_peak_19896_lociStitched	chr4	71523572	71535088	1	11517	26715.9684	2145.4308	227	1
4_MACS_peak_14004_lociStitched	chr2	46788600	46804287	4	11471	26321.2173	2864.4462	228	1
3_MACS_peak_22350_lociStitched	chr6	7134974	7148016	3	11468	31461.2166	2588.837	229	1
3_MACS_peak_23141_lociStitched	chr6	74220372	74234463	3	11465	37597.6062	2757.6087	230	1
2_MACS_peak_17170_lociStitched	chr22	29207080	29221510	2	11464	57405.426	2578.641	231	1
3_MACS_peak_6315_lociStitched	chr12	69195512	69215582	3	11437	37480.725	2968.353	232	1
5_MACS_peak_13777_lociStitched	chr2	27293284	27310838	5	11403	19720.1636	2583.9488	233	1
3_MACS_peak_572_lociStitched	chr1	37930713	37946361	3	11378	26238.5664	2638.2528	234	1
2_MACS_peak_22980_lociStitched	chr6	45386603	45402334	2	11357	40176.974	2271.5564	235	1
4_MACS_peak_20816_lociStitched	chr5	6711543	6738259	4	11323	22847.5232	3764.2844	236	1
4_MACS_peak_18974_lociStitched	chr3	156804659	156824320	4	11321	61159.4727	5068.6058	237	1
2_MACS_peak_1734_lociStitched	chr1	156709110	156722939	2	11302	38245.4824	3749.0419	238	1
3_MACS_peak_20930_lociStitched	chr5	32530487	32543819	3	11241	34088.5908	2423.7576	239	1
4_MACS_peak_19921_lociStitched	chr4	74454177	74475378	4	11202	42656.412	2957.5395	240	1
1_MACS_peak_21901_lociStitched	chr5	148204701	148215882	1	11182	43312.9578	2682.3219	241	1
5_MACS_peak_12618_lociStitched	chr19	6765437	6789402	5	11182	19366.1165	4912.825	242	1
3_MACS_peak_5585_lociStitched	chr12	7022716	7038297	3	11154	24167.6891	2577.0974	243	1
4_MACS_peak_13944_lociStitched	chr2	42343930	42360973	4	11151	25262.8389	3035.3583	244	1
1_MACS_peak_23423_lociStitched	chr6	108986146	108997292	1	11147	37309.0058	1866.955	245	1
3_MACS_peak_4865_lociStitched	chr11	71413596	71426786	3	11146	59629.352	2421.684	246	1
3_MACS_peak_16912_lociStitched	chr21	45195034	45210799	3	11143	37525.4295	3692.163	247	1
3_MACS_peak_17378_lociStitched	chr22	39459256	39474329	3	11114	32999.3189	2455.3917	248	1
2_MACS_peak_15407_lociStitched	chr2	202116135	202129119	2	11108	68080.3056	2847.3912	249	1
4_MACS_peak_13496_lociStitched	chr19	56145595	56168006	4	11084	28836.2337	3077.0303	250	1
3_MACS_peak_1698_lociStitched	chr1	155902687	155919079	3	11047	27161.544	4040.628	251	1
2_MACS_peak_17078_lociStitched	chr22	23087999	23102105	2	11019	26334.4914	2286.5826	252	1
3_MACS_peak_6816_lociStitched	chr12	120966137	120978708	3	11007	14807.3809	1371.4961	253	1
4_MACS_peak_23765_lociStitched	chr6	143162904	143179882	4	11007	23146.1074	1665.5418	254	1
4_MACS_peak_22559_lociStitched	chr6	26017371	26034841	4	10974	32896.01	3058.997	255	1
5_MACS_peak_21365_lociStitched	chr5	87954602	87976636	5	10971	55972.9702	3391.0326	256	1
3_MACS_peak_9862_lociStitched	chr16	30193793	30212336	3	10962	32077.5357	3690.057	257	1
3_MACS_peak_12451_lociStitched	chr19	1015215	1029472	3	10950	23702.2625	3336.138	258	1
1_MACS_peak_9132_lociStitched	chr15	81585047	81595989	1	10943	43278.8926	2697.203	259	1
