#16_0EX2_0229Kronos_MM1S-KB-3hr-2_H3K27Ac_hs-dm_i29_peaks Enhancers
#Created from /data/projects/IRF4_mm_trn_data/p300_internal_ChIP/rose/16_0EX2_0229Kronos_MM1S-KB-3hr-2_H3K27Ac_hs-dm_i29_ROSE/16_0EX2_0229Kronos_MM1S-KB-3hr-2_H3K27Ac_hs-dm_i29_peaks_5KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by X16_0EX2_0229Kronos_MM1S.KB.3hr.2_H3K27Ac_hs.dm_i29.bam
#Using cutoff of 23887.9584 for Super-Enhancers
#Created on Jul 18 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X16_0EX2_0229Kronos_MM1S.KB.3hr.2_H3K27Ac_hs.dm_i29.bam	X40_0EXS_0229Kronos_MM1S.KB.3hr.2_Input_hs_i84.bam	enhancerRank	isSuperStretch
2_MACS_peak_22735_lociStitched	chr6	31694438	31709317	2	12265	57650.1734	3115.6626	179	1
3_MACS_peak_11707_lociStitched	chr17	75079007	75093108	3	13570	45777.4864	2801.8687	180	1
2_MACS_peak_19973_lociStitched	chr4	77608695	77624750	2	14754	29870.3275	3044.028	181	1
2_MACS_peak_18014_lociStitched	chr3	46245888	46257132	2	8965	74063.1036	2392.7232	182	1
4_MACS_peak_3520_lociStitched	chr10	81001191	81020393	4	13876	41224.7738	3168.33	183	1
1_MACS_peak_4543_lociStitched	chr11	58339905	58348058	1	8154	75979.4376	1611.8481	184	1
5_MACS_peak_15441_lociStitched	chr2	204548337	204573718	5	13037	51015.81	4497.5132	185	1
3_MACS_peak_18717_lociStitched	chr3	129026552	129048476	3	14037	39623.2452	3856.4316	186	1
2_MACS_peak_19308_lociStitched	chr3	186779581	186792519	2	9920	70255.9276	3538.543	187	1
5_MACS_peak_15568_lociStitched	chr2	219743448	219763116	5	14233	35248.9896	3304.224	188	1
3_MACS_peak_11762_lociStitched	chr17	76763375	76779717	3	14048	36040.6468	2828.8002	189	1
6_MACS_peak_26436_lociStitched	chr8	126285348	126308192	6	14312	32712.608	3575.086	190	1
3_MACS_peak_16651_lociStitched	chr21	19152048	19169149	3	14171	33488.8883	3370.6071	191	1
1_MACS_peak_22771_lociStitched	chr6	32934602	32943083	1	8482	73230.8907	1920.0984	192	1
2_MACS_peak_21855_lociStitched	chr5	142771405	142785947	2	13539	40240.6224	2063.5098	193	1
2_MACS_peak_20812_lociStitched	chr5	6475818	6487252	2	10113	65841.5456	2125.5806	194	1
4_MACS_peak_641_lociStitched	chr1	40839074	40858340	4	13975	35351.1834	3390.816	195	1
3_MACS_peak_27620_lociStitched	chr9	130828809	130845824	3	14019	34188.2395	2982.7295	196	1
2_MACS_peak_8432_lociStitched	chr15	31546713	31560816	2	9688	68234.5449	2652.7743	197	1
4_MACS_peak_18974_lociStitched	chr3	156804659	156824320	4	11321	61159.4727	5068.6058	198	1
3_MACS_peak_4865_lociStitched	chr11	71413596	71426786	3	11146	59629.352	2421.684	199	1
2_MACS_peak_18037_lociStitched	chr3	46578207	46589673	2	7518	76197.303	2262.2418	200	1
2_MACS_peak_17170_lociStitched	chr22	29207080	29221510	2	11464	57405.426	2578.641	201	1
1_MACS_peak_11058_lociStitched	chr17	37924906	37938211	1	13306	40698.6645	2498.679	203	1
2_MACS_peak_14990_lociStitched	chr2	158291969	158302399	2	10336	63102.543	2202.816	204	1
1_MACS_peak_17351_lociStitched	chr22	38700753	38714954	1	14202	27263.0798	2469.5539	205	1
2_MACS_peak_16159_lociStitched	chr20	32461957	32473616	2	8380	72170.3759	2384.2655	206	1
5_MACS_peak_27696_lociStitched	chr9	134127149	134152448	5	13352	40435.3917	4088.3184	207	1
1_MACS_peak_383_lociStitched	chr1	27018296	27030975	1	12680	45872.622	2666.3937	208	1
3_MACS_peak_6874_lociStitched	chr12	123371248	123387151	3	13780	30436.7517	1709.5725	209	1
6_MACS_peak_4667_lociStitched	chr11	63992553	64020071	6	13962	29669.9076	4017.628	210	1
1_MACS_peak_2309_lociStitched	chr1	206727947	206738612	1	10666	60135.669	3263.49	211	1
1_MACS_peak_15225_lociStitched	chr2	182168515	182180119	1	11605	52683.3204	2274.384	212	1
5_MACS_peak_25717_lociStitched	chr8	27930207	27951651	5	13730	30845.0496	3997.1616	213	1
3_MACS_peak_19712_lociStitched	chr4	38307399	38322270	3	11606	52139.2131	2641.0896	214	1
3_MACS_peak_11600_lociStitched	chr17	70582418	70601677	3	13048	38756.8116	3310.6221	216	1
4_MACS_peak_23874_lociStitched	chr6	157976656	157999836	4	13440	32143.706	1914.668	217	1
2_MACS_peak_16085_lociStitched	chr20	25288911	25303029	2	9875	61938.4896	2251.821	218	1
4_MACS_peak_5004_lociStitched	chr11	82764999	82790115	4	12479	44633.6436	4397.8116	219	1
5_MACS_peak_21365_lociStitched	chr5	87954602	87976636	5	10971	55972.9702	3391.0326	220	1
6_MACS_peak_14166_lociStitched	chr2	64430374	64456306	6	12309	46161.5532	4385.1012	221	1
1_MACS_peak_293_lociStitched	chr1	23849895	23858930	1	9036	65279.682	1973.244	222	1
4_MACS_peak_6181_lociStitched	chr12	57021917	57040923	4	13604	28408.2682	3422.9806	223	1
5_MACS_peak_28574_lociStitched	chrX	128902477	128921372	5	13136	33480.0505	1897.058	226	1
3_MACS_peak_949_lociStitched	chr1	66736663	66750304	3	10928	54831.3636	2722.7436	227	1
3_MACS_peak_27211_lociStitched	chr9	94181101	94195815	3	13161	34277.7344	3200.295	228	1
2_MACS_peak_5243_lociStitched	chr11	115090834	115102354	2	8236	68160.384	2324.736	229	1
1_MACS_peak_11506_lociStitched	chr17	62197018	62210312	1	13295	30336.908	2685.388	230	1
3_MACS_peak_12877_lociStitched	chr19	16693935	16711643	3	11657	48725.3328	3091.8168	231	1
2_MACS_peak_22588_lociStitched	chr6	26355635	26367662	2	10518	56024.1714	2399.3865	233	1
1_MACS_peak_20178_lociStitched	chr4	105407068	105417600	1	10533	55140.286	1703.0244	234	1
1_MACS_peak_4893_lociStitched	chr11	72862319	72869887	1	7569	69403.8576	1931.3536	235	1
4_MACS_peak_2871_lociStitched	chr10	7511624	7535594	4	11902	46175.808	3696.174	236	1
3_MACS_peak_19963_lociStitched	chr4	77117646	77136379	3	12277	42254.1548	3718.5005	237	1
2_MACS_peak_3870_lociStitched	chr10	112216460	112226020	2	7863	67270.852	1952.152	238	1
2_MACS_peak_10541_lociStitched	chr17	4842027	4854721	2	11540	46074.1424	2006.9214	239	1
6_MACS_peak_8533_lociStitched	chr15	40329663	40358190	6	13206	28718.1309	4455.9174	240	1
1_MACS_peak_20934_lociStitched	chr5	32581093	32592910	1	11818	42709.0014	2582.0145	241	1
1_MACS_peak_2355_lociStitched	chr1	209275307	209284060	1	8754	62885.9285	2656.5355	243	1
4_MACS_peak_18916_lociStitched	chr3	151985386	152002015	4	12842	29296.9722	2925.0411	244	1
2_MACS_peak_24471_lociStitched	chr7	50343663	50357761	2	11896	39943.8634	2716.6846	245	1
4_MACS_peak_17407_lociStitched	chr22	39910553	39929634	4	12443	34214.1411	3570.0551	246	1
2_MACS_peak_22260_lociStitched	chr6	388990	404034	2	12791	27856.9748	2667.3012	248	1
2_MACS_peak_19886_lociStitched	chr4	69431913	69443289	2	9833	54769.752	1830.3984	249	1
1_MACS_peak_19144_lociStitched	chr3	176911606	176920709	1	9104	59377.0484	2420.4877	250	1
4_MACS_peak_12509_lociStitched	chr19	2254739	2274470	4	12480	33791.3106	4293.4656	251	1
3_MACS_peak_14184_lociStitched	chr2	64862704	64883404	3	12153	36305.73	3129.84	252	1
3_MACS_peak_27604_lociStitched	chr9	130532000	130551719	3	12642	28746.3582	2981.5128	253	1
1_MACS_peak_11031_lociStitched	chr17	36856189	36863738	1	7550	64131.7746	1326.3593	254	1
2_MACS_peak_17150_lociStitched	chr22	26974752	26992124	2	11989	36514.2068	2916.7588	255	1
2_MACS_peak_3155_lociStitched	chr10	43890545	43905874	2	11977	35160.1273	2527.7521	257	1
1_MACS_peak_23382_lociStitched	chr6	106610071	106617346	1	7276	64828.98	1623.78	258	1
1_MACS_peak_21901_lociStitched	chr5	148204701	148215882	1	11182	43312.9578	2682.3219	259	1
4_MACS_peak_19921_lociStitched	chr4	74454177	74475378	4	11202	42656.412	2957.5395	260	1
2_MACS_peak_22980_lociStitched	chr6	45386603	45402334	2	11357	40176.974	2271.5564	261	1
2_MACS_peak_21694_lociStitched	chr5	131822908	131837596	2	11926	33275.664	2799.5328	263	1
2_MACS_peak_16332_lociStitched	chr20	43270464	43282256	2	11622	36447.8928	2416.1808	264	1
1_MACS_peak_9132_lociStitched	chr15	81585047	81595989	1	10943	43278.8926	2697.203	266	1
1_MACS_peak_15665_lociStitched	chr2	231729300	231739615	1	10316	46275.153	1086.1695	267	1
5_MACS_peak_5666_lociStitched	chr12	11901844	11920122	5	11789	34289.528	3057.9094	268	1
3_MACS_peak_23141_lociStitched	chr6	74220372	74234463	3	11465	37597.6062	2757.6087	270	1
2_MACS_peak_16478_lociStitched	chr20	52267843	52279092	2	10543	45258.1017	2031.5694	271	1
1_MACS_peak_12055_lociStitched	chr18	22929066	22941224	1	12159	27485.5906	1703.3358	272	1
2_MACS_peak_5397_lociStitched	chr11	126056793	126068922	2	7225	63414.0507	2129.8524	274	1
3_MACS_peak_6315_lociStitched	chr12	69195512	69215582	3	11437	37480.725	2968.353	275	1
1_MACS_peak_16379_lociStitched	chr20	45978343	45987190	1	8848	55429.1091	1810.9809	276	1
