REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X16_0EX2_0229Kronos_MM1S.KB.3hr.2_H3K27Ac_hs.dm_i29.bam	X40_0EXS_0229Kronos_MM1S.KB.3hr.2_Input_hs_i84.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isStretch
7_MACS_peak_22253_lociStitched	chr6	289971	337840	7	31934	202490.6569	16045.6888	14	DUSP22		DUSP22	14	1
5_MACS_peak_11501_lociStitched	chr17	62150102	62187015	5	30904	75092.1159	6947.0266	15	ERN1	SNORD104,SNORA76	ERN1	15	1
5_MACS_peak_3981_lociStitched	chr10	125822215	125854693	5	29903	100853.9334	5794.0752	16	CHST15		CHST15	16	1
2_MACS_peak_8153_lociStitched	chr14	91812913	91848035	2	29752	116313.5274	4091.713	17	CCDC88C		CCDC88C	17	1
2_MACS_peak_6116_lociStitched	chr12	53845171	53874889	2	29482	47976.7392	5072.8626	18	PCBP2,MAP3K12	AMHR2,PRR13,TARBP2,NPFF	PCBP2	18	1
8_MACS_peak_10161_lociStitched	chr16	68278146	68320793	8	29121	59117.2714	6661.4614	19	PLA2G15,SLC7A6	PRMT7,ESRP2,SLC7A6OS	SLC7A6	19	1
3_MACS_peak_8935_lociStitched	chr15	68568534	68599563	3	28909	92627.7708	5600.7345	20	FEM1B,ITGA11	CLN6	FEM1B	20	1
4_MACS_peak_8155_lociStitched	chr14	91853819	91886020	4	28516	67264.6689	3348.904	21	CCDC88C		CCDC88C	21	1
5_MACS_peak_22140_lociStitched	chr5	173310170	173344100	5	27976	55424.655	5690.061	22	CPEB4		CPEB4	22	1
1_MACS_peak_15690_lociStitched	chr2	232687027	232714810	1	27784	47592.279	3128.3658	23		COPS7B,PDE6D,MIR1471	COPS7B	23	1
5_MACS_peak_23028_lociStitched	chr6	52392636	52424913	5	26581	92747.9595	5606.5149	24	TRAM2		TRAM2	24	1
2_MACS_peak_8303_lociStitched	chr14	106024639	106052833	2	26403	165783.5394	4877.562	25		TMEM121	TMEM121	25	1
6_MACS_peak_17314_lociStitched	chr22	37611000	37642405	6	25974	79181.4265	5687.4455	26	RAC2	CYTH4,C1QTNF6,SSTR3	RAC2	26	1
1_MACS_peak_23378_lociStitched	chr6	106530530	106556480	1	25951	177664.08	5332.725	27	PRDM1		PRDM1	27	1
2_MACS_peak_1660_lociStitched	chr1	154908011	154936349	2	25468	169356.3894	8087.6652	28	PMVK,PBXIP1,PYGO2,SHC1	CKS1B,MIR4258,FLAD1,LENEP,ZBTB7B	PBXIP1	28	1
3_MACS_peak_24505_lociStitched	chr7	55616302	55643079	3	25455	69577.3568	4594.9332	29	VOPP1		VOPP1	29	1
8_MACS_peak_19224_lociStitched	chr3	183219874	183261248	8	25193	100298.8508	10422.1106	30	KLHL6		KLHL6	30	1
8_MACS_peak_8435_lociStitched	chr15	31628660	31660474	8	25102	61805.0578	4819.821	31	KLF13		KLF13	31	1
2_MACS_peak_20101_lociStitched	chr4	90205011	90230194	2	25050	197361.6893	5336.2777	32	GPRIN3		GPRIN3	32	1
4_MACS_peak_17642_lociStitched	chr3	5222394	5256260	4	24881	65391.8594	5025.7144	33	ARL8B,EDEM1		EDEM1	33	1
7_MACS_peak_5588_lociStitched	chr12	7045643	7085665	7	24881	77822.779	6739.7048	34	ATN1,C12orf57,PTPN6,MIR200C,MIR141,EMG1,PHB2,SCARNA12,LPCAT3	LRRC23,ENO2	PTPN6	34	1
3_MACS_peak_2892_lociStitched	chr10	11278709	11304705	3	24441	76542.6224	4679.28	35	CELF2		CELF2	35	1
6_MACS_peak_10976_lociStitched	chr17	34509814	34539846	6	24225	80759.0512	6655.0912	36	CCL4L1,CCL3L1,CCL3L3	TBC1D3B	CCL3L1	36	1
7_MACS_peak_26370_lociStitched	chr8	120916755	120948347	7	24041	63692.6312	5133.7	37	DEPDC6	DSCC1	DEPDC6	37	1
3_MACS_peak_5423_lociStitched	chr11	128585308	128610081	3	23941	79771.5373	4409.594	38	FLI1		FLI1	38	1
5_MACS_peak_10925_lociStitched	chr17	32690586	32719654	5	23560	128707.2904	5412.4616	39		CCL8,CCL13,CCL1	CCL1	39	1
3_MACS_peak_4337_lociStitched	chr11	22676979	22703931	3	23049	150979.7136	4137.132	40	GAS2	FANCF	GAS2	40	1
8_MACS_peak_13197_lociStitched	chr19	42027274	42070271	8	22953	56609.8502	7176.1993	41		CEACAM21	CEACAM21	41	1
3_MACS_peak_16471_lociStitched	chr20	52192325	52215981	3	22541	75330.1664	3837.0032	42	ZNF217		ZNF217	42	1
8_MACS_peak_8209_lociStitched	chr14	95946040	95986043	8	22486	35542.6655	3136.2352	43		GLRX5,C14orf49,SCARNA13,SNHG10	C14orf49	43	1
4_MACS_peak_21686_lociStitched	chr5	131744921	131774377	4	22281	96730.5584	5296.1888	44	C5orf56	SLC22A5,MIR3936	C5orf56	44	1
3_MACS_peak_17085_lociStitched	chr22	23217895	23241527	3	22243	175297.4496	3473.904	45	IGLL5		IGLL5	45	1
1_MACS_peak_6100_lociStitched	chr12	53582110	53604271	1	22162	162338.1894	4729.1574	46	ZNF740,ITGB7	MFSD5,CSAD,RARG	ITGB7	46	1
3_MACS_peak_8310_lociStitched	chr14	106145145	106169450	3	21661	121695.135	2666.2585	47			TMEM121	47	1
3_MACS_peak_1712_lociStitched	chr1	156115269	156137077	3	21613	111482.496	6716.864	48	SEMA4A	LMNA,SLC25A44,PMF1	SEMA4A	48	1
1_MACS_peak_2887_lociStitched	chr10	11202449	11223817	1	21369	179555.304	4895.4088	49	CELF2		CELF2	49	1
1_MACS_peak_13700_lociStitched	chr2	20405043	20426353	1	21311	84023.199	4308.882	50	SDC1		SDC1	50	1
4_MACS_peak_24911_lociStitched	chr7	102063484	102093279	4	20960	156355.2215	4916.175	51	PRKRIP1,ORAI2	LRWD1,ALKBH4,POLR2J	ORAI2	51	1
4_MACS_peak_20672_lociStitched	chr4	185317494	185350139	4	20891	85601.719	5046.917	52	IRF2		IRF2	52	1
3_MACS_peak_1724_lociStitched	chr1	156450107	156476101	3	20544	64953.8072	6542.6898	53	MEF2D		MEF2D	53	1
4_MACS_peak_10037_lociStitched	chr16	56963400	56985883	4	20488	61873.216	4384.185	54	HERPUD1	CETP,NLRC5	HERPUD1	54	1
5_MACS_peak_24348_lociStitched	chr7	38383556	38408446	5	20216	50479.409	5318.993	55			TARP	55	1
1_MACS_peak_21375_lociStitched	chr5	88110718	88130874	1	20157	70302.1124	3549.4716	56	MEF2C		MEF2C	56	1
2_MACS_peak_25385_lociStitched	chr7	150063924	150084802	2	20080	134191.2572	5541.0212	57	REPIN1,ZNF775	LRRC61,C7orf29,LOC728743,LOC285972,ACTR3C,RARRES2	ZNF775	57	1
3_MACS_peak_27409_lociStitched	chr9	112904043	112925366	3	19999	57501.7341	4610.0326	58	PALM2-AKAP2,AKAP2	C9orf152	AKAP2	58	1
4_MACS_peak_15324_lociStitched	chr2	197024098	197048658	4	19969	42935.792	4096.608	59	STK17B		STK17B	59	1
4_MACS_peak_6659_lociStitched	chr12	109009503	109035988	4	19966	154804.825	5257.2725	60	SELPLG	TMEM119	SELPLG	60	1
1_MACS_peak_16853_lociStitched	chr21	41324661	41344615	1	19955	104074.0778	5535.2396	61			PCP4	61	1
6_MACS_peak_14505_lociStitched	chr2	97190743	97220626	6	19799	76903.9005	5151.8292	62	ARID5A	NEURL3	ARID5A	62	1
3_MACS_peak_11421_lociStitched	chr17	56404682	56431025	3	19586	122629.2993	5671.6479	63	BZRAP1,MIR142,SUPT4H1	MPO	MIR142	63	1
4_MACS_peak_12854_lociStitched	chr19	16243975	16273328	4	19542	58978.9829	4934.2393	64	RAB8A,HSH2D,CIB3	FAM32A,AP1M1	HSH2D	64	1
4_MACS_peak_1360_lociStitched	chr1	118194840	118219203	4	19538	107094.8754	2787.1272	65		FAM46C	FAM46C	65	1
5_MACS_peak_19090_lociStitched	chr3	171802000	171827101	5	19433	80903.0331	6375.654	66	FNDC3B		FNDC3B	66	1
1_MACS_peak_462_lociStitched	chr1	31213923	31233236	1	19314	100746.2645	4171.608	67	LAPTM5	LOC100129196,MATN1	LAPTM5	67	1
2_MACS_peak_15903_lociStitched	chr20	5570558	5592389	2	19267	38822.0673	3916.4814	68	GPCPD1		GPCPD1	68	1
2_MACS_peak_11756_lociStitched	chr17	76711140	76733959	2	19119	62594.7989	4563.8	69	CYTH1		CYTH1	69	1
3_MACS_peak_1641_lociStitched	chr1	154370121	154394514	3	18840	86531.7282	6305.5905	70	IL6R		IL6R	70	1
4_MACS_peak_25703_lociStitched	chr8	27216231	27244085	4	18803	54811.1012	5072.2134	71	PTK2B	TRIM35	PTK2B	71	1
1_MACS_peak_19737_lociStitched	chr4	40191066	40209763	1	18698	114519.125	4577.0256	72	RHOH		RHOH	72	1
4_MACS_peak_8095_lociStitched	chr14	81930631	81956040	4	18597	50482.6012	2421.4777	73	SEL1L		SEL1L	73	1
4_MACS_peak_10686_lociStitched	chr17	16859287	16883378	4	18259	89570.338	4442.3804	74	TNFRSF13B		TNFRSF13B	74	1
3_MACS_peak_13137_lociStitched	chr19	39880664	39904029	3	17910	81291.508	3906.628	75	MED29,ZFP36,PLEKHG2,PAF1	SAMD4B,SUPT5H,RPS16	ZFP36	75	1
4_MACS_peak_4206_lociStitched	chr11	10323648	10345124	4	17838	73649.7944	4428.3512	76	ADM	SBF2	ADM	76	1
2_MACS_peak_11081_lociStitched	chr17	38465761	38484042	2	17827	59133.5507	3614.1537	77	RARA	CDC6,RARA,GJD3	RARA	77	1
1_MACS_peak_4710_lociStitched	chr11	65183338	65201083	1	17746	190183.812	4489.485	78	NEAT1	FRMD8,MIR612,SLC25A45	NEAT1	78	1
4_MACS_peak_22547_lociStitched	chr6	25365986	25390541	4	17724	49723.875	4306.947	79	LRRC16A		LRRC16A	79	1
4_MACS_peak_11619_lociStitched	chr17	72733637	72757343	4	17658	32958.4518	3958.902	80	RAB37,SLC9A3R1,MIR3615	TMEM104,CD300LF,NAT9	SLC9A3R1	80	1
4_MACS_peak_8556_lociStitched	chr15	40834214	40862829	4	17576	59811.073	4712.8905	81	RPUSD2,C15orf57	CASC5,MRPL42P5	C15orf57	81	1
3_MACS_peak_18410_lociStitched	chr3	98472865	98496018	3	17403	64532.0416	3873.4969	82	ST3GAL6		ST3GAL6	82	1
4_MACS_peak_17707_lociStitched	chr3	13035668	13061474	4	17328	90197.1312	4670.886	83	IQSEC1	IQSEC1	IQSEC1	83	1
5_MACS_peak_16921_lociStitched	chr21	45552543	45580552	5	17263	102132.0176	6467.2781	84	C21orf33	PWP2	C21orf33	84	1
3_MACS_peak_9018_lociStitched	chr15	75065472	75083818	3	17230	58083.436	3458.221	85	CSK	CYP1A2,LMAN1L,CPLX3,CYP1A1	CSK	85	1
4_MACS_peak_10970_lociStitched	chr17	34409087	34432702	4	17165	48309.2055	4163.3245	86	CCL4,CCL3	CCL18	CCL3	86	1
4_MACS_peak_1529_lociStitched	chr1	149802947	149833994	4	17137	101250.4764	7777.2735	87	HIST2H4B,HIST2H2AA4,HIST2H3A,HIST2H2BC	FCGR1A,HIST2H2AC,BOLA1,HIST2H2BF,HIST2H3D,HIST2H2BE,HIST2H2AB	HIST2H2BC	87	1
2_MACS_peak_18279_lociStitched	chr3	69128200	69146001	2	17010	50752.4311	3305.6457	88	ARL6IP5,UBA3	MIR3136,TMF1,LMOD3	ARL6IP5	88	1
5_MACS_peak_14454_lociStitched	chr2	88898837	88928512	5	16994	31084.5625	5089.2625	89	EIF2AK3		EIF2AK3	89	1
1_MACS_peak_23278_lociStitched	chr6	90054374	90071324	1	16951	53699.295	3356.1	90	UBE2J1	GABRR2	UBE2J1	90	1
6_MACS_peak_22741_lociStitched	chr6	31781523	31805628	6	16932	38153.394	4001.43	91	HSPA1A,HSPA1B,C6orf48,SNORD48,SNORD52,HSPA1L	C6orf27,VARS,LSM2,NEU1,SLC44A4	HSPA1B	91	1
2_MACS_peak_1553_lociStitched	chr1	150532150	150553180	2	16879	96866.283	6395.223	92	ADAMTSL4,MCL1	MIR4257,ENSA	MCL1	92	1
1_MACS_peak_24503_lociStitched	chr7	55569344	55586180	1	16837	56092.5012	2648.3028	93	VOPP1		VOPP1	93	1
5_MACS_peak_9738_lociStitched	chr16	22194979	22219146	5	16766	44092.6915	4516.8123	94	EEF2K		EEF2K	94	1
6_MACS_peak_9235_lociStitched	chr15	89646657	89676696	6	16757	73123.9377	5139.6729	95	ABHD2		ABHD2	95	1
2_MACS_peak_6657_lociStitched	chr12	108952836	108970773	2	16522	80822.3283	3585.6063	96	ISCU,SART3	FICD,TMEM119	ISCU	96	1
2_MACS_peak_1017_lociStitched	chr1	75595950	75612812	2	16485	48967.248	2532.6724	97	LHX8		LHX8	97	1
2_MACS_peak_17083_lociStitched	chr22	23189699	23210041	2	16469	50946.539	2351.5352	98		MIR650,IGLL5	IGLL5	98	1
1_MACS_peak_21376_lociStitched	chr5	88170793	88187191	1	16399	76324.491	3369.789	99	MEF2C		MEF2C	99	1
7_MACS_peak_1155_lociStitched	chr1	93409272	93428475	7	15901	24433.8972	1949.1045	100	FAM69A		FAM69A	100	1
1_MACS_peak_5693_lociStitched	chr12	12866272	12882124	1	15853	144995.0736	3322.5792	101	CDKN1B,APOLD1	MIR613,GPR19	CDKN1B	101	1
3_MACS_peak_3883_lociStitched	chr10	112611886	112633201	3	15841	52652.313	4194.792	102	PDCD4,LOC282997	SHOC2,NCRNA00081	LOC282997	102	1
6_MACS_peak_23710_lociStitched	chr6	138247146	138279668	6	15703	38655.6492	4787.2384	103			TNFAIP3	103	1
1_MACS_peak_4717_lociStitched	chr11	65263410	65279007	1	15598	71789.8716	3489.0489	104	MALAT1	SCYL1,LTBP3	MALAT1	104	1
4_MACS_peak_21078_lociStitched	chr5	55272692	55292027	4	15593	34603.8495	3484.167	105	IL6ST		IL6ST	105	1
1_MACS_peak_5728_lociStitched	chr12	15100765	15116304	1	15540	45305.5084	3121.7851	106	ARHGDIB	PDE6H,ERP27	ARHGDIB	106	1
2_MACS_peak_17088_lociStitched	chr22	23269413	23285960	2	15531	170531.7273	3418.6102	107		IGLL5	IGLL5	107	1
5_MACS_peak_21941_lociStitched	chr5	150512911	150538087	5	15441	33871.7904	4008.0192	108	ANXA6		ANXA6	108	1
2_MACS_peak_12502_lociStitched	chr19	2081462	2098513	2	15439	128071.7661	5258.5284	109	IZUMO4,MOBKL2A	MKNK2	MOBKL2A	109	1
2_MACS_peak_1701_lociStitched	chr1	155931188	155952057	2	15386	58051.2973	5033.6028	110	ARHGEF2	RXFP4,SNORA42,SCARNA4,KIAA0907,SSR2	ARHGEF2	110	1
3_MACS_peak_8540_lociStitched	chr15	40387635	40408885	3	15346	64608.5	3786.75	111	BMF	BUB1B	BMF	111	1
6_MACS_peak_18016_lociStitched	chr3	46319841	46347265	6	15307	40760.2912	4579.808	112		CCR3,CCR2	CCR3	112	1
1_MACS_peak_15394_lociStitched	chr2	201979921	201995135	1	15215	153019.3692	3362.294	113	CFLAR	NDUFB3,FAM126B	CFLAR	113	1
3_MACS_peak_21092_lociStitched	chr5	55437037	55453660	3	15170	55672.0893	2869.1298	114	ANKRD55		ANKRD55	114	1
4_MACS_peak_5193_lociStitched	chr11	111232129	111251333	4	14956	58887.1456	3341.496	115	POU2AF1		POU2AF1	115	1
4_MACS_peak_18766_lociStitched	chr3	133179299	133200434	4	14935	66583.704	4112.871	116	BFSP2		BFSP2	116	1
4_MACS_peak_22183_lociStitched	chr5	176717014	176740710	4	14897	50259.216	4296.0848	117	NSD1,PRELID1,RAB24,MXD3	RGS14,LMAN2	RAB24	117	1
5_MACS_peak_15402_lociStitched	chr2	202081318	202102044	5	14895	32981.2838	4122.4014	118	CASP10,CASP8	CASP8	CASP8	118	1
4_MACS_peak_16337_lociStitched	chr20	43583391	43609245	4	14890	39988.3818	4922.6016	119	STK4,TOMM34	PABPC1L	STK4	119	1
2_MACS_peak_17353_lociStitched	chr22	38782157	38797112	2	14873	38120.295	2513.9355	120	LOC400927	KCNJ4	LOC400927	120	1
4_MACS_peak_6000_lociStitched	chr12	48196824	48218787	4	14860	56574.4917	3718.3359	121	HDAC7	SLC48A1,RAPGEF3	HDAC7	121	1
3_MACS_peak_11712_lociStitched	chr17	75131334	75147141	3	14857	95227.6908	3390.6015	122	SEC14L1	C17orf86,SCARNA16,SEC14L1	SEC14L1	122	1
3_MACS_peak_22227_lociStitched	chr5	180228288	180249431	3	14837	54377.6817	3313.1081	123	MGAT1	LOC729678,ZFP62	MGAT1	123	1
5_MACS_peak_10134_lociStitched	chr16	67578041	67601626	5	14827	44238.3845	4023.601	124	FAM65A,CTCF		CTCF	124	1
5_MACS_peak_8060_lociStitched	chr14	77487923	77507936	5	14809	39903.9207	1717.1154	125	C14orf4		C14orf4	125	1
6_MACS_peak_9842_lociStitched	chr16	29815304	29837377	6	14756	46388.6168	3445.5953	126	KIF22,MAZ,PRRT2,C16orf53,MVP	ZG16,LOC440356,CDIPT	C16orf53	126	1
2_MACS_peak_19973_lociStitched	chr4	77608695	77624750	2	14754	29870.3275	3044.028	127	SHROOM3		ANKRD56	127	1
2_MACS_peak_24412_lociStitched	chr7	44661690	44680143	2	14690	40314.2691	3354.7554	128	OGDH	DDX56,TMED4	OGDH	128	1
1_MACS_peak_24703_lociStitched	chr7	78113620	78128299	1	14680	90761.7249	2495.43	129	MAGI2		RPL13AP17	129	1
4_MACS_peak_17843_lociStitched	chr3	30682922	30703546	4	14645	19124.6352	3372.024	130	TGFBR2		TGFBR2	130	1
4_MACS_peak_14197_lociStitched	chr2	65156621	65178809	4	14529	95155.4568	3971.652	131	LOC400958	SLC1A4	LOC400958	131	1
4_MACS_peak_317_lociStitched	chr1	24511905	24533755	4	14515	75585.705	4225.79	132	LOC284632,IL28RA	IL22RA1	LOC284632	132	1
3_MACS_peak_21583_lociStitched	chr5	118657816	118678709	3	14336	46115.0296	3844.312	133	TNFAIP8	TNFAIP8	TNFAIP8	133	1
6_MACS_peak_26436_lociStitched	chr8	126285348	126308192	6	14312	32712.608	3575.086	134	NSMCE2		TRIB1	134	1
2_MACS_peak_13649_lociStitched	chr2	11883582	11897885	2	14288	56798.6433	3096.5995	135	LPIN1		LPIN1	135	1
5_MACS_peak_15568_lociStitched	chr2	219743448	219763116	5	14233	35248.9896	3304.224	136	WNT10A	WNT6,PRKAG3	WNT10A	136	1
2_MACS_peak_5800_lociStitched	chr12	26265860	26280396	2	14204	62437.9344	2860.6848	137	BHLHE41		BHLHE41	137	1
1_MACS_peak_17351_lociStitched	chr22	38700753	38714954	1	14202	27263.0798	2469.5539	138	CSNK1E	TMEM184B	CSNK1E	138	1
2_MACS_peak_2242_lociStitched	chr1	203266710	203281746	2	14202	77014.392	4318.3392	139	BTG2,LOC730227	FMOD	LOC730227	139	1
3_MACS_peak_16651_lociStitched	chr21	19152048	19169149	3	14171	33488.8883	3370.6071	140	C21orf91		C21orf91	140	1
3_MACS_peak_11762_lociStitched	chr17	76763375	76779717	3	14048	36040.6468	2828.8002	141	CYTH1		CYTH1	141	1
3_MACS_peak_18717_lociStitched	chr3	129026552	129048476	3	14037	39623.2452	3856.4316	142	C3orf47,H1FX	C3orf37	H1FX	142	1
3_MACS_peak_27620_lociStitched	chr9	130828809	130845824	3	14019	34188.2395	2982.7295	143	SLC25A25,NAIF1	SLC25A25,LOC389791,LOC100289019,PTGES2	SLC25A25	143	1
6_MACS_peak_8335_lociStitched	chr15	20970173	20995689	6	14005	24469.844	3230.3256	144		BCL8	BCL8	144	1
2_MACS_peak_25481_lociStitched	chr8	2027403	2041896	2	14004	93036.3642	2647.8711	145	MYOM2		MYOM2	145	1
4_MACS_peak_21690_lociStitched	chr5	131790328	131814809	4	14001	47187.1275	4379.6509	146	C5orf56	IRF1	IRF1	146	1
3_MACS_peak_16082_lociStitched	chr20	25261580	25283363	3	13980	67259.3691	3313.1943	147	PYGB,ABHD12		PYGB	147	1
1_MACS_peak_10887_lociStitched	chr17	29635647	29649622	1	13976	57881.655	2560.22	148	NF1,EVI2B,EVI2A	OMG	EVI2B	148	1
4_MACS_peak_641_lociStitched	chr1	40839074	40858340	4	13975	35351.1834	3390.816	149	SMAP2	SMAP2	SMAP2	149	1
6_MACS_peak_4667_lociStitched	chr11	63992553	64020071	6	13962	29669.9076	4017.628	150	NUDT22,DNAJC4,VEGFB,FKBP2,PLCB3,TRPT1,PPP1R14B	STIP1,FERMT3,GPR137,KCNK4,C11orf20,BAD	FKBP2	150	1
2_MACS_peak_4316_lociStitched	chr11	19449973	19465982	2	13904	88004.6748	3562.0025	151	NAV2		NAV2	151	1
4_MACS_peak_3520_lociStitched	chr10	81001191	81020393	4	13876	41224.7738	3168.33	152	ZMIZ1		PPIF	152	1
4_MACS_peak_3537_lociStitched	chr10	81946453	81966456	4	13848	45126.768	3492.5238	153	ANXA11		ANXA11	153	1
3_MACS_peak_6874_lociStitched	chr12	123371248	123387151	3	13780	30436.7517	1709.5725	154	VPS37B		VPS37B	154	1
6_MACS_peak_8344_lociStitched	chr15	21976648	22002456	6	13748	22525.2224	3762.8064	155		LOC646214,CXADRP2	CXADRP2	155	1
3_MACS_peak_11943_lociStitched	chr18	9055061	9074572	3	13731	123894.85	3498.3223	156		NDUFV2	NDUFV2	156	1
5_MACS_peak_25717_lociStitched	chr8	27930207	27951651	5	13730	30845.0496	3997.1616	157	ELP3,C8orf80		C8orf80	157	1
4_MACS_peak_22572_lociStitched	chr6	26183667	26207460	4	13724	54022.0065	3897.2934	158	HIST1H2BE,HIST1H2BF,HIST1H4E,HIST1H4D,HIST1H3D,HIST1H2AD	HIST1H1E,HIST1H2BD,HIST1H2AE,HIST1H3E,HIST1H4F,HIST1H2BH,HIST1H2BG,HIST1H1D,HIST1H4G,HIST1H3F	HIST1H3D	158	1
3_MACS_peak_26110_lociStitched	chr8	81046376	81061663	3	13679	25952.7399	2589.6178	159	TPD52		TPD52	159	1
4_MACS_peak_22613_lociStitched	chr6	27094271	27116322	4	13670	50426.2268	3552.4161	160	HIST1H2AG,HIST1H4I,HIST1H2AH,MIR3143,HIST1H2BJ,HIST1H2BK		HIST1H4I	160	1
4_MACS_peak_6181_lociStitched	chr12	57021917	57040923	4	13604	28408.2682	3422.9806	161	BAZ2A,ATP5B,SNORD59B,SNORD59A	PTGES3	BAZ2A	161	1
3_MACS_peak_11707_lociStitched	chr17	75079007	75093108	3	13570	45777.4864	2801.8687	162	C17orf86,SCARNA16	SEC14L1	SCARNA16	162	1
2_MACS_peak_21855_lociStitched	chr5	142771405	142785947	2	13539	40240.6224	2063.5098	163	NR3C1		NR3C1	163	1
1_MACS_peak_17169_lociStitched	chr22	29186108	29199572	1	13465	78676.884	3100.7592	164	XBP1	HSCB,CCDC117,CHEK2	XBP1	164	1
3_MACS_peak_9619_lociStitched	chr16	12052449	12072239	3	13450	107671.453	3764.058	165	TNFRSF17,RUNDC2A	GSPT1	TNFRSF17	165	1
4_MACS_peak_23874_lociStitched	chr6	157976656	157999836	4	13440	32143.706	1914.668	166	ZDHHC14	MIR3692	MIR3692	166	1
5_MACS_peak_27696_lociStitched	chr9	134127149	134152448	5	13352	40435.3917	4088.3184	167	FAM78A	PPAPDC3	FAM78A	167	1
1_MACS_peak_11058_lociStitched	chr17	37924906	37938211	1	13306	40698.6645	2498.679	168	IKZF3	GRB7,C17orf37	GRB7	168	1
1_MACS_peak_11506_lociStitched	chr17	62197018	62210312	1	13295	30336.908	2685.388	169	ERN1	SNORD104,SNORA76	ERN1	169	1
6_MACS_peak_8533_lociStitched	chr15	40329663	40358190	6	13206	28718.1309	4455.9174	170	SRP14	BMF	SRP14	170	1
3_MACS_peak_27211_lociStitched	chr9	94181101	94195815	3	13161	34277.7344	3200.295	171	NFIL3		NFIL3	171	1
5_MACS_peak_6187_lociStitched	chr12	57093582	57120180	5	13142	23576.4672	4657.3098	172	NACA	HSD17B6,PTGES3,PRIM1	NACA	172	1
5_MACS_peak_28574_lociStitched	chrX	128902477	128921372	5	13136	33480.0505	1897.058	173	XPNPEP2,SASH3		SASH3	173	1
3_MACS_peak_11600_lociStitched	chr17	70582418	70601677	3	13048	38756.8116	3310.6221	174	LOC100499467,FLJ26484		LOC100499467	174	1
5_MACS_peak_15441_lociStitched	chr2	204548337	204573718	5	13037	51015.81	4497.5132	175	CD28		CD28	175	1
4_MACS_peak_1785_lociStitched	chr1	160633728	160656034	4	12959	56088.437	5141.533	176	CD48	SLAMF1	SLAMF1	176	1
2_MACS_peak_2394_lociStitched	chr1	211743516	211756443	2	12859	22374.0516	3302.8485	177	SLC30A1		SLC30A1	177	1
4_MACS_peak_18916_lociStitched	chr3	151985386	152002015	4	12842	29296.9722	2925.0411	178	MBNL1,LOC401093	MBNL1	LOC401093	178	1
2_MACS_peak_22260_lociStitched	chr6	388990	404034	2	12791	27856.9748	2667.3012	179	IRF4		IRF4	179	1
4_MACS_peak_5901_lociStitched	chr12	33037777	33060373	4	12771	19866.4032	3500.1204	180	PKP2		PKP2	180	1
5_MACS_peak_2125_lociStitched	chr1	192498428	192521072	5	12748	56385.8244	5235.2928	181		RGS1	RGS1	181	1
3_MACS_peak_19303_lociStitched	chr3	186703190	186719933	3	12725	68381.7606	4413.4548	182	ST6GAL1	ST6GAL1	ST6GAL1	182	1
1_MACS_peak_13957_lociStitched	chr2	43444257	43456966	1	12710	61684.4024	2483.3386	183	LOC100129726,ZFP36L2		ZFP36L2	183	1
