REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	RPMI8226_jia.bam	enhancerRank	isSuper	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isSuper
4_MACS_peak_17890_lociStitched	chr5	55436898	55473599	4	33262	75435.2354	12	1	ANKRD55		ANKRD55	12	1
4_MACS_peak_14580_lociStitched	chr21	45552512	45581301	4	22630	74957.9193	13	1	C21orf33	PWP2	C21orf33	13	1
3_MACS_peak_1694_lociStitched	chr1	161409424	161442633	3	33094	74677.0783	14	1		FCGR2A	FCGR2A	14	1
2_MACS_peak_13045_lociStitched	chr2	134874950	134902031	2	27029	73283.8941	15	1	MIR3679		MIR3679	15	1
1_MACS_peak_18917_lociStitched	chr6	7897638	7921802	1	24165	72216.5304	16	1	MUTED-TXNDC5,TXNDC5		TXNDC5	16	1
4_MACS_peak_9105_lociStitched	chr17	17721198	17744613	4	20911	71694.3885	17	1	SREBF1	SMCR5,MIR33B	SREBF1	17	1
6_MACS_peak_3948_lociStitched	chr11	63992621	64020360	6	19479	71569.3939	18	1	NUDT22,DNAJC4,VEGFB,FKBP2,PLCB3,TRPT1,PPP1R14B	STIP1,FERMT3,GPR137,KCNK4,C11orf20,BAD	FKBP2	18	1
2_MACS_peak_1584_lociStitched	chr1	155938911	155952332	2	12941	69461.7276	19	1	ARHGEF2	RXFP4,SNORA42,SCARNA4,KIAA0907,SSR2	ARHGEF2	19	1
7_MACS_peak_10009_lociStitched	chr17	76117418	76152295	7	23893	67898.5436	20	1	TMC8,C17orf99,TMC6	SYNGR2,AFMID,TK1	TMC6	20	1
3_MACS_peak_2049_lociStitched	chr1	206727710	206750834	3	20055	67494.3312	21	1	RASSF5	LGTN	RASSF5	21	1
9_MACS_peak_10668_lociStitched	chr19	1237471	1277560	9	21347	67273.3509	22	1	ATP5D,MIDN,CIRBP,C19orf24,C19orf26,C19orf23	STK11,EFNA2	MIDN	22	1
2_MACS_peak_11493_lociStitched	chr19	39887772	39903914	2	14741	66735.8706	23	1	MED29,ZFP36,PLEKHG2	SUPT5H,PAF1,RPS16	ZFP36	23	1
4_MACS_peak_15266_lociStitched	chr22	50962551	50983750	4	19591	66492.7834	24	1	NCAPH2,SCO2,TYMP,ODF3B	ADM2,MIOX,KLHDC7B,LOC100144603,SBF1,LMF2,C22orf41,CPT1B,CHKB	ODF3B	24	1
13_MACS_peak_19101_lociStitched	chr6	26155260	26208219	13	33050	65955.1386	25	1	HIST1H1E,HIST1H2BD,HIST1H2BE,HIST1H2BF,HIST1H4E,HIST1H4D,HIST1H3D,HIST1H2AD	HIST1H2AC,HIST1H2AE,HIST1H3E,HIST1H4F,HIST1H2BH,HIST1H1T,HIST1H2BC,HIST1H2BG,HIST1H1D,HIST1H4G,HIST1H3F	HIST1H2BE	25	1
2_MACS_peak_21459_lociStitched	chr7	150062799	150084022	2	17138	63473.7484	26	1	REPIN1,ZNF775	LRRC61,C7orf29,LOC728743,LOC285972,ACTR3C,RARRES2	ZNF775	26	1
1_MACS_peak_18829_lociStitched	chr6	314834	334446	1	19613	61724.8476	27	1	DUSP22		DUSP22	27	1
6_MACS_peak_22185_lociStitched	chr8	115522456	115567364	6	42940	61339.8372	28	1				28	1
3_MACS_peak_6668_lociStitched	chr14	77486852	77512274	3	24679	60392.5032	29	1	C14orf4		C14orf4	29	1
10_MACS_peak_20524_lociStitched	chr7	30323435	30371307	10	42320	60017.1264	30	1	ZNRF2,MIR550A1,MIR550B1	DKFZP586I1420	MIR550B1	30	1
2_MACS_peak_16439_lociStitched	chr3	176908510	176921446	2	12607	59848.404	31	1	TBL1XR1		TBL1XR1	31	1
1_MACS_peak_489_lociStitched	chr1	27018385	27031330	1	12946	59100.3975	32	1	ARID1A		ARID1A	32	1
2_MACS_peak_12355_lociStitched	chr2	43439724	43456791	2	13343	57843.4764	33	1	LOC100129726,ZFP36L2		ZFP36L2	33	1
6_MACS_peak_23858_lociStitched	chrX	48768094	48806065	6	33316	57545.0505	34	1	SLC35A2,PIM2,OTUD5	PQBP1,TIMM17B,KCND1	PIM2	34	1
2_MACS_peak_6179_lociStitched	chr13	114556684	114568593	2	11287	57196.5452	35	1	GAS6	FLJ44054,GAS6	GAS6	35	1
7_MACS_peak_6939_lociStitched	chr14	106023698	106057526	7	23940	56617.9236	36	1		TMEM121	TMEM121	36	1
6_MACS_peak_21144_lociStitched	chr7	102062618	102092598	6	20333	56221.494	37	1	PRKRIP1,ORAI2	LRWD1,ALKBH4,POLR2J	ORAI2	37	1
3_MACS_peak_23218_lociStitched	chr9	130531826	130549740	3	11909	56006.3296	38	1	CDK9,MIR2861,SH2D3C	FPGS,TOR2A,SH2D3C	SH2D3C	38	1
2_MACS_peak_23169_lociStitched	chr9	127621761	127637205	2	13150	55388.3616	39	1	ARPC5L,RPL35	WDR38	ARPC5L	39	1
5_MACS_peak_3969_lociStitched	chr11	64611372	64638276	5	21156	54835.7328	40	1	CDC42BPG,EHD1	MAP4K2,MEN1,MIR192,MIR194-2,ATG2A	CDC42BPG	40	1
1_MACS_peak_9540_lociStitched	chr17	43298158	43308629	1	10472	54583.2288	41	1	FMNL1	LOC100133991,C17orf46	FMNL1	41	1
4_MACS_peak_3892_lociStitched	chr11	62305396	62327475	4	18601	54226.024	42	1	AHNAK,EEF1G	TUT1,MTA2	AHNAK	42	1
2_MACS_peak_21430_lociStitched	chr7	148394440	148425226	2	30614	54198.753	43	1	CUL1		CUL1	43	1
1_MACS_peak_1431_lociStitched	chr1	150532083	150541898	1	9816	53927.536	44	1	ADAMTSL4	MIR4257,MCL1	MIR4257	44	1
1_MACS_peak_17806_lociStitched	chr5	39072621	39079258	1	6638	53636.2518	45	1	RICTOR		RICTOR	45	1
4_MACS_peak_16444_lociStitched	chr3	177062501	177081036	4	13337	53480.889	46	1			TBL1XR1	46	1
7_MACS_peak_8517_lociStitched	chr16	67191398	67218500	7	17182	53298.7932	47	1	FBXL8,HSF4,NOL3,TRADD,KIAA0895L,EXOC3L	C16orf70,E2F4,ELMO3,TMEM208,B3GNT9,MIR328,LRRC29	NOL3	47	1
2_MACS_peak_23738_lociStitched	chrX	39953157	39969639	2	14524	53174.2284	48	1	BCOR		BCOR	48	1
3_MACS_peak_5640_lociStitched	chr12	122231613	122250603	3	11353	53027.676	49	1	SETD1B,LOC338799	RHOF,HPD	LOC338799	49	1
2_MACS_peak_1624_lociStitched	chr1	156709660	156723304	2	11040	53005.5756	50	1	MRPL24,HDGF	C1orf66,PRCC,CRABP2,ISG20L2	HDGF	50	1
3_MACS_peak_12799_lociStitched	chr2	97186287	97205989	3	17611	52273.3464	51	1	ARID5A	NEURL3	ARID5A	51	1
4_MACS_peak_12146_lociStitched	chr2	20405087	20426347	4	18201	52189.048	52	1	SDC1		SDC1	52	1
4_MACS_peak_8271_lociStitched	chr16	29815432	29837266	4	14906	52043.5224	53	1	KIF22,MAZ,PRRT2,C16orf53,MVP	ZG16,LOC440356,CDIPT	C16orf53	53	1
3_MACS_peak_18314_lociStitched	chr5	131744803	131767292	3	21352	51760.6824	54	1	C5orf56	SLC22A5,MIR3936	C5orf56	54	1
7_MACS_peak_6947_lociStitched	chr14	106144136	106173168	7	21779	51372.124	55	1			TMEM121	55	1
2_MACS_peak_17829_lociStitched	chr5	43007218	43021862	2	10543	50865.934	56	1	LOC648987	LOC153684,C5orf39,LOC100132356	LOC648987	56	1
3_MACS_peak_1509_lociStitched	chr1	154370186	154394401	3	15919	50534.2835	57	1	IL6R		IL6R	57	1
3_MACS_peak_23381_lociStitched	chr9	137281762	137300696	3	14914	50301.9578	58	1	RXRA		RXRA	58	1
7_MACS_peak_7063_lociStitched	chr15	31615688	31647230	7	19710	50101.3128	59	1	KLF13		KLF13	59	1
3_MACS_peak_17937_lociStitched	chr5	60612816	60632694	3	17158	49965.3408	60	1	ZSWIM6		ZSWIM6	60	1
1_MACS_peak_9597_lociStitched	chr17	46123831	46136641	1	12811	49869.33	61	1	NFE2L1	SNX11,MIR152,COPZ2,CBX1	NFE2L1	61	1
4_MACS_peak_11966_lociStitched	chr19	56145740	56170499	4	14762	48955.9707	62	1	ZNF580,ZNF581,CCDC106,U2AF2	ZNF524,ZNF865,EPN1,FIZ1,ZNF784	CCDC106	62	1
3_MACS_peak_15601_lociStitched	chr3	46389530	46414235	3	20193	48688.614	63	1	CCR2,CCR5	CCRL2	CCR2	63	1
4_MACS_peak_2900_lociStitched	chr10	74075247	74097307	4	18847	47640.776	64	1	DNAJB12	DDIT4	DNAJB12	64	1
1_MACS_peak_4018_lociStitched	chr11	65335473	65345785	1	10313	46896.9136	65	1	SSSCA1,FAM89B,EHBP1L1	SCYL1,PCNXL3,LTBP3,KCNK7,MAP3K11	FAM89B	65	1
5_MACS_peak_16259_lociStitched	chr3	141085002	141110871	5	24240	46750.4568	66	1	ZBTB38		ZBTB38	66	1
3_MACS_peak_1742_lociStitched	chr1	167507551	167526049	3	17392	46585.3632	67	1	CREG1	CD247	CREG1	67	1
1_MACS_peak_13367_lociStitched	chr2	201979411	201995057	1	15647	46354.4042	68	1	CFLAR	NDUFB3,FAM126B	CFLAR	68	1
8_MACS_peak_9800_lociStitched	chr17	62149806	62187294	8	33263	46327.6704	69	1	ERN1	SNORD104,SNORA76	ERN1	69	1
5_MACS_peak_9402_lociStitched	chr17	38462925	38487392	5	20164	46198.5894	70	1	RARA	CDC6,RARA,GJD3	RARA	70	1
4_MACS_peak_2039_lociStitched	chr1	206282323	206310606	4	20962	45773.2072	71	1	C1orf186	CTSE	C1orf186	71	1
2_MACS_peak_19689_lociStitched	chr6	74224957	74234531	2	9467	45469.7982	72	1	EEF1A1		EEF1A1	72	1
3_MACS_peak_23330_lociStitched	chr9	134597764	134616059	3	16484	45252.6825	73	1	RAPGEF1	RAPGEF1	RAPGEF1	73	1
12_MACS_peak_17694_lociStitched	chr5	14199538	14253841	12	42309	44875.9992	74	1	TRIO		TRIO	74	1
4_MACS_peak_24_lociStitched	chr1	1071300	1085997	4	12014	44501.0463	75	1		MIR200B,MIR200A,MIR429,TTLL10,C1orf159	MIR200B	75	1
6_MACS_peak_23315_lociStitched	chr9	134127325	134154522	6	19344	44295.7539	76	1	FAM78A	PPAPDC3	FAM78A	76	1
2_MACS_peak_4778_lociStitched	chr12	12866216	12880263	2	13999	43830.8541	77	1	CDKN1B,APOLD1	MIR613,GPR19	CDKN1B	77	1
2_MACS_peak_4958_lociStitched	chr12	48200846	48215038	2	13622	43721.2944	78	1	HDAC7	SLC48A1,RAPGEF3	HDAC7	78	1
2_MACS_peak_16632_lociStitched	chr3	196358035	196371276	2	11474	43637.0396	79	1	LRRC33		LRRC33	79	1
8_MACS_peak_11055_lociStitched	chr19	12885820	12918289	8	16932	43576.6449	80	1	JUNB,RNASEH2A,HOOK2,PRDX2	ASNA1,BEST2,MAST1,C19orf43,RTBDN	JUNB	80	1
8_MACS_peak_20738_lociStitched	chr7	55612960	55642559	8	24631	43510.53	81	1	VOPP1		VOPP1	81	1
5_MACS_peak_10644_lociStitched	chr19	908741	927779	5	12230	43507.5414	82	1	KISS1R,ARID3A,C19orf22	CFD,MED16	KISS1R	82	1
3_MACS_peak_10701_lociStitched	chr19	1847348	1865605	3	12695	43148.5938	83	1	REXO1,KLF16	LOC100288123,SCAMP4,ADAT3,ATP8B3,MIR1909,FAM108A1	KLF16	83	1
7_MACS_peak_9287_lociStitched	chr17	32690988	32720590	7	24732	42825.2134	84	1		CCL8,CCL13,CCL1	CCL1	84	1
13_MACS_peak_19125_lociStitched	chr6	26320566	26368220	13	29589	42612.2068	85	1	BTN3A2	HIST1H2BI,BTN3A2,BTN2A2,BTN3A1,HIST1H3G,HIST1H4H	BTN3A2	85	1
1_MACS_peak_2289_lociStitched	chr1	228673416	228680206	1	6791	42602.497	86	1	RNF187	HIST3H2BB,HIST3H2A	RNF187	86	1
1_MACS_peak_337_lociStitched	chr1	17763556	17770495	1	6940	41434.8507	87	1	RCC2		RCC2	87	1
2_MACS_peak_9349_lociStitched	chr17	36852111	36863611	2	8699	41396.55	88	1	MLLT6	CISD3,PSMB3,C17orf96,PCGF2	MLLT6	88	1
2_MACS_peak_19356_lociStitched	chr6	32934307	32942675	2	8283	41395.6592	89	1	BRD2	HLA-DMB,HLA-DMA,HLA-DOA	BRD2	89	1
3_MACS_peak_20356_lociStitched	chr7	5458840	5476171	3	11789	41103.9327	90	1	TNRC18		TNRC18	90	1
3_MACS_peak_8770_lociStitched	chr16	87883535	87905390	3	21583	40999.98	91	1	SLC7A5		SLC7A5	91	1
2_MACS_peak_1948_lociStitched	chr1	200985734	200996574	2	9519	40923.168	92	1	KIF21B		KIF21B	92	1
6_MACS_peak_17686_lociStitched	chr5	14142609	14179885	6	29422	40757.5784	93	1	TRIO		TRIO	93	1
1_MACS_peak_17831_lociStitched	chr5	43036707	43043757	1	7051	40413.42	94	1	LOC153684,C5orf39	LOC648987,LOC100132356	C5orf39	94	1
5_MACS_peak_10713_lociStitched	chr19	2049051	2062885	5	11082	40151.8016	95	1	MKNK2	IZUMO4,BTBD2,MOBKL2A	MKNK2	95	1
2_MACS_peak_8290_lociStitched	chr16	30193937	30206406	2	8727	40015.5148	96	1	CORO1A,LOC606724,SLX1B,SLX1A-SULT1A3,BOLA2B		CORO1A	96	1
1_MACS_peak_11711_lociStitched	chr19	47285559	47292482	1	6924	39849.4803	97	1	SLC1A5	FKRP,STRN4,SNAR-E	SLC1A5	97	1
2_MACS_peak_20466_lociStitched	chr7	23506320	23518533	2	11351	39531.0384	98	1	IGF2BP3	RPS2P32	IGF2BP3	98	1
5_MACS_peak_11634_lociStitched	chr19	45241450	45259133	5	13142	39173.1499	99	1	BCL3	CEACAM16,CBLC	BCL3	99	1
8_MACS_peak_12754_lociStitched	chr2	89130720	89171361	8	36856	39080.3856	100	1			ANKRD36BP2	100	1
6_MACS_peak_10727_lociStitched	chr19	2254848	2274311	6	13617	38632.1087	101	1	OAZ1,JSRP1	SF3A2,AMH,MIR4321,MIR1227,PLEKHJ1,C19orf35,LINGO3	OAZ1	101	1
1_MACS_peak_1345_lociStitched	chr1	145208212	145212687	1	4476	38612.09	102	1	NOTCH2NL		NOTCH2NL	102	1
7_MACS_peak_2732_lociStitched	chr10	45389552	45410741	7	20067	38595.7635	103	1	TMEM72,LOC220980	RASSF4	TMEM72	103	1
4_MACS_peak_15299_lociStitched	chr3	5223170	5247383	4	17240	38278.3317	104	1	EDEM1		EDEM1	104	1
2_MACS_peak_8500_lociStitched	chr16	66549324	66560253	2	10291	38052.5922	105	1	TK2	CKLF,CMTM1	TK2	105	1
1_MACS_peak_1533_lociStitched	chr1	154907661	154918112	1	10452	38007.1517	106	1	PMVK,PBXIP1	CKS1B,MIR4258,FLAD1,LENEP,PYGO2,SHC1	PMVK	106	1
3_MACS_peak_23114_lociStitched	chr9	123630349	123646227	3	10842	37892.847	107	1	PHF19	LOC253039,PSMD5,TRAF1	PHF19	107	1
4_MACS_peak_15039_lociStitched	chr22	39630785	39651934	4	15069	37829.2163	108	1	PDGFB		PDGFB	108	1
3_MACS_peak_4192_lociStitched	chr11	72850571	72869929	3	15342	37591.3002	109	1	FCHSD2		FCHSD2	109	1
2_MACS_peak_22300_lociStitched	chr8	128800642	128816656	2	11666	37564.0398	110	1	PVT1,MIR1204		MIR1204	110	1
3_MACS_peak_1419_lociStitched	chr1	150120629	150138989	3	12576	37518.66	111	1	PLEKHO1		PLEKHO1	111	1
1_MACS_peak_21524_lociStitched	chr7	156799719	156810770	1	11052	37465.1002	112	1	MNX1		MNX1	112	1
2_MACS_peak_18317_lociStitched	chr5	131790732	131804998	2	12954	37229.9802	113	1	C5orf56	IRF1	IRF1	113	1
5_MACS_peak_2094_lociStitched	chr1	209814622	209834704	5	15251	37195.8804	114	1	LAMB3	G0S2,HSD11B1,MIR4260	LAMB3	114	1
3_MACS_peak_8939_lociStitched	chr17	4837593	4856637	3	12836	37191.0276	115	1	GP1BA,RNF167,ENO3,SLC25A11,PFN1	C17orf107,KIF1C,CHRNE,SPAG7,CAMTA2,INCA1	RNF167	115	1
1_MACS_peak_14995_lociStitched	chr22	38782195	38798104	1	15910	37079.1063	116	1	LOC400927	KCNJ4	LOC400927	116	1
2_MACS_peak_9471_lociStitched	chr17	40825725	40834044	2	8169	37059.4812	117	1	PLEKHH3,CCR10	TUBG2,CNTNAP1	PLEKHH3	117	1
1_MACS_peak_23251_lociStitched	chr9	131445283	131453241	1	7959	36847.1316	118	1	SET	PKN3,WDR34,ZDHHC12	SET	118	1
1_MACS_peak_16309_lociStitched	chr3	150124365	150131476	1	7112	36748.2258	119	1	TSC22D2		TSC22D2	119	1
3_MACS_peak_9426_lociStitched	chr17	39821046	39836172	3	12592	36612.483	120	1		EIF1,GAST,KRT17,KRT42P	EIF1	120	1
4_MACS_peak_6880_lociStitched	chr14	103565743	103581625	4	14696	36547.6584	121	1	C14orf73	TNFAIP2,CDC42BPB	C14orf73	121	1
3_MACS_peak_22296_lociStitched	chr8	128740131	128754776	3	12258	36211.227	122	1	MYC		MYC	122	1
3_MACS_peak_23290_lociStitched	chr9	132643960	132659123	3	13426	36066.7118	123	1	USP20,FNBP1	C9orf78	USP20	123	1
8_MACS_peak_4686_lociStitched	chr12	7045695	7081137	8	18020	35916.9228	124	1	ATN1,C12orf57,PTPN6,MIR200C,MIR141,EMG1,PHB2,SCARNA12	LRRC23,ENO2,LPCAT3	PTPN6	124	1
1_MACS_peak_1748_lociStitched	chr1	167595824	167602105	1	6282	35726.9561	125	1	RCSD1		RCSD1	125	1
3_MACS_peak_1495_lociStitched	chr1	153929016	153941257	3	9060	35605.3967	126	1	CREB3L4,CRTC2,SLC39A1	RPS27,GATAD2B,DENND4B,JTB,RAB13	CRTC2	126	1
3_MACS_peak_2509_lociStitched	chr10	7510813	7535786	3	21596	35524.0925	127	1			SFMBT2	127	1
5_MACS_peak_1595_lociStitched	chr1	156083212	156100389	5	15327	35485.9643	128	1	LMNA	SEMA4A,MEX3A	LMNA	128	1
3_MACS_peak_20234_lociStitched	chr6	160389338	160411634	3	17701	35439.492	129	1	IGF2R		IGF2R	129	1
2_MACS_peak_18401_lociStitched	chr5	138722538	138730828	2	8278	35233.329	130	1	MZB1,LOC389333	PAIP2,SLC23A1,SPATA24,DNAJC18	MZB1	130	1
1_MACS_peak_17906_lociStitched	chr5	56107235	56115737	1	8503	35131.1142	131	1	MAP3K1		MAP3K1	131	1
2_MACS_peak_21314_lociStitched	chr7	128572260	128582380	2	10098	35073.896	132	1	IRF5	KCP	IRF5	132	1
6_MACS_peak_19163_lociStitched	chr6	27094329	27117307	6	21159	35064.428	133	1	HIST1H2AG,HIST1H4I,HIST1H2AH,MIR3143,HIST1H2BJ,HIST1H2BK		HIST1H4I	133	1
1_MACS_peak_4941_lociStitched	chr12	46776019	46787259	1	11241	34758.576	134	1		SLC38A2	SLC38A2	134	1
4_MACS_peak_10124_lociStitched	chr17	79816622	79831235	4	9838	34615.2744	135	1	P4HB,ARHGDIA	ANAPC11,NPB,FAM195B,DYSFIP1,THOC4,PCYT2,SIRT7	ARHGDIA	135	1
2_MACS_peak_16312_lociStitched	chr3	150314272	150329455	2	11995	34611.1668	136	1	SELT	EIF2A,SERP1	SELT	136	1
1_MACS_peak_19539_lociStitched	chr6	43736995	43742815	1	5821	34592.916	137	1	VEGFA		VEGFA	137	1
4_MACS_peak_10718_lociStitched	chr19	2080966	2097963	4	13861	34503.91	138	1	IZUMO4,MOBKL2A	MKNK2	MOBKL2A	138	1
4_MACS_peak_13642_lociStitched	chr2	236402292	236424114	4	18143	34496.2176	139	1	AGAP1		AGAP1	139	1
3_MACS_peak_7060_lociStitched	chr15	31545572	31560575	3	11598	34488.8964	140	1			KLF13	140	1
6_MACS_peak_20646_lociStitched	chr7	44653375	44680578	6	20636	34468.9213	141	1	OGDH	DDX56,TMED4	OGDH	141	1
5_MACS_peak_15594_lociStitched	chr3	46320273	46348354	5	19679	34427.306	142	1		CCR3,CCR2	CCR3	142	1
2_MACS_peak_1582_lociStitched	chr1	155903012	155918935	2	12205	34404.8261	143	1	RXFP4,KIAA0907,ARHGEF2	RIT1,SNORA42,SCARNA4	RXFP4	143	1
1_MACS_peak_23450_lociStitched	chr9	139775516	139782636	1	7121	34338.336	144	1	TRAF2	C9orf172,PHPT1,MAMDC4,EDF1	TRAF2	144	1
1_MACS_peak_18830_lociStitched	chr6	390705	400900	1	10196	34311.2725	145	1	IRF4		IRF4	145	1
7_MACS_peak_12858_lociStitched	chr2	107102407	107129943	7	19818	34279.5664	146	1		RGPD3	RGPD3	146	1
1_MACS_peak_3825_lociStitched	chr11	58340062	58348750	1	8689	34231.5888	147	1	ZFP91-CNTF,ZFP91,LPXN	CNTF	LPXN	147	1
10_MACS_peak_12821_lociStitched	chr2	99071273	99106689	10	23416	34222.4808	148	1	INPP4A		INPP4A	148	1
7_MACS_peak_17009_lociStitched	chr4	71522828	71555146	7	28199	34198.9076	149	1	UTP3,IGJ	ENAM,RUFY3	IGJ	149	1
3_MACS_peak_5197_lociStitched	chr12	58227276	58241321	3	12762	34113.9005	150	1	CTDSP2	AVIL,MIR26A2	CTDSP2	150	1
1_MACS_peak_9514_lociStitched	chr17	42293111	42299593	1	6483	34030.5	151	1	UBTF	ASB16,TMUB2,C17orf65,ATXN7L3,SLC4A1	UBTF	151	1
1_MACS_peak_1991_lociStitched	chr1	203288734	203298216	1	9483	33910.4766	152	1		BTG2,LOC730227,FMOD	BTG2	152	1
2_MACS_peak_11348_lociStitched	chr19	29091584	29106326	2	12856	33888.9096	153	1			LOC148145	153	1
2_MACS_peak_399_lociStitched	chr1	23850554	23861150	2	10169	33886.008	154	1	E2F2	ASAP3,ID3	E2F2	154	1
1_MACS_peak_22331_lociStitched	chr8	134578630	134586173	1	7544	33840.9152	155	1	ST3GAL1		ST3GAL1	155	1
5_MACS_peak_22415_lociStitched	chr8	145002326	145027980	5	15639	33837.626	156	1	PLEC,MIR661	GRINA,PARP10	PLEC	156	1
4_MACS_peak_15854_lociStitched	chr3	69128149	69145672	4	14967	33822.8946	157	1	ARL6IP5,UBA3	MIR3136,TMF1,LMOD3	ARL6IP5	157	1
1_MACS_peak_1412_lociStitched	chr1	149854536	149861585	1	7050	33811.9383	158	1	HIST2H2AC,HIST2H2BE,HIST2H2AB	BOLA1,HIST2H3A,HIST2H2AA4,HIST2H2BC,SV2A,SF3B4,MTMR11	HIST2H2BE	158	1
2_MACS_peak_10016_lociStitched	chr17	76163926	76177580	2	11541	33546.5126	159	1	SYNGR2,TK1	TMC8,C17orf99,AFMID,BIRC5,LOC283999,TMC6,EPR1	SYNGR2	159	1
4_MACS_peak_13517_lociStitched	chr2	219735410	219763226	4	16369	33501.5904	160	1	WNT6,WNT10A	PRKAG3	WNT10A	160	1
2_MACS_peak_10130_lociStitched	chr17	79875198	79886694	2	7783	33369.4392	161	1	LOC92659,SIRT7,MAFG	ANAPC11,NPB,ASPSCR1,ARHGDIA,THOC4,PCYT2,PYCR1,MYADML2,NOTUM	MAFG	161	1
3_MACS_peak_1536_lociStitched	chr1	154942344	154957635	3	10731	33257.925	162	1	CKS1B,MIR4258,FLAD1,SHC1	LENEP,ZBTB7B,DCST1,PMVK,PBXIP1,PYGO2,DCST2	MIR4258	162	1
3_MACS_peak_18552_lociStitched	chr5	150459327	150475739	3	12667	33244.1472	163	1	TNIP1	ANXA6	TNIP1	163	1
1_MACS_peak_15035_lociStitched	chr22	39539605	39549493	1	9889	33236.5344	164	1	CBX7	APOBEC3H	CBX7	164	1
2_MACS_peak_11608_lociStitched	chr19	44256795	44271966	2	10821	32890.728	165	1	C19orf61,KCNN4	IRGC,LYPD5	C19orf61	165	1
13_MACS_peak_17588_lociStitched	chr4	190991390	191013931	13	19211	32815.1878	166	1	DUX4L6,DUX4L5,DUX2,DUX4L4,DUX4	DUX4L2,FRG2	DUX4L4	166	1
2_MACS_peak_8679_lociStitched	chr16	79948387	79966681	2	18231	32808.4596	167	1			MAF	167	1
1_MACS_peak_16315_lociStitched	chr3	150477517	150485131	1	7615	32677.7652	168	1	SIAH2		SIAH2	168	1
7_MACS_peak_8178_lociStitched	chr16	22195101	22219609	7	15607	32666.7132	169	1	EEF2K		EEF2K	169	1
7_MACS_peak_7426_lociStitched	chr15	67369948	67396144	7	19121	32629.7376	170	1	SMAD3	SMAD3	SMAD3	170	1
1_MACS_peak_16320_lociStitched	chr3	151910581	151924096	1	13516	32564.3925	171	1			MBNL1	171	1
5_MACS_peak_8733_lociStitched	chr16	85632733	85651346	5	17105	32541.1079	172	1	KIAA0182		KIAA0182	172	1
18_MACS_peak_17489_lociStitched	chr4	180977821	181014502	18	29625	32517.7065	173	1				173	1
3_MACS_peak_8674_lociStitched	chr16	79902394	79915665	3	12263	32455.5576	174	1			MAF	174	1
3_MACS_peak_23232_lociStitched	chr9	130828450	130845324	3	13510	32399.7674	175	1	SLC25A25,NAIF1	SLC25A25,LOC389791,LOC100289019,PTGES2	SLC25A25	175	1
4_MACS_peak_8555_lociStitched	chr16	68278396	68299975	4	12956	32390.079	176	1	PLA2G15,SLC7A6	PRMT7,ESRP2,SLC7A6OS	SLC7A6	176	1
1_MACS_peak_17828_lociStitched	chr5	42989991	42995889	1	5899	32385.918	177	1		LOC153684,LOC648987,C5orf39	LOC648987	177	1
4_MACS_peak_1549_lociStitched	chr1	155096106	155113453	4	11344	32340.0121	178	1	EFNA1,SLC50A1,DPM3	EFNA3,TRIM46,KRTCAP2,MUC1	SLC50A1	178	1
