#RPMI8226_H3K27ac_peaks Enhancers
#Created from /data/projects/IRF4_mm_trn_data/myeloma_public_data/rose/RPMI8226_H3K27ac_ROSE/RPMI8226_H3K27ac_peaks_4KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by RPMI8226_jia.bam
#Using cutoff of 19240.8204 for Super-Enhancers
#Created on Jul 16 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	RPMI8226_jia.bam	enhancerRank	isStretch
6_MACS_peak_21144_lociStitched	chr7	102062618	102092598	6	20333	56221.494	49	1
3_MACS_peak_14205_lociStitched	chr20	52195057	52215569	3	20246	30091.104	50	1
3_MACS_peak_15601_lociStitched	chr3	46389530	46414235	3	20193	48688.614	51	1
5_MACS_peak_9402_lociStitched	chr17	38462925	38487392	5	20164	46198.5894	52	1
7_MACS_peak_2732_lociStitched	chr10	45389552	45410741	7	20067	38595.7635	53	1
3_MACS_peak_2049_lociStitched	chr1	206727710	206750834	3	20055	67494.3312	54	1
7_MACS_peak_12858_lociStitched	chr2	107102407	107129943	7	19818	34279.5664	55	1
7_MACS_peak_7063_lociStitched	chr15	31615688	31647230	7	19710	50101.3128	56	1
4_MACS_peak_12564_lociStitched	chr2	68636259	68656982	4	19680	32332.0246	57	1
5_MACS_peak_15594_lociStitched	chr3	46320273	46348354	5	19679	34427.306	58	1
1_MACS_peak_18829_lociStitched	chr6	314834	334446	1	19613	61724.8476	59	1
4_MACS_peak_15266_lociStitched	chr22	50962551	50983750	4	19591	66492.7834	60	1
6_MACS_peak_3948_lociStitched	chr11	63992621	64020360	6	19479	71569.3939	61	1
4_MACS_peak_4750_lociStitched	chr12	11900780	11920673	4	19465	25958.3757	62	1
6_MACS_peak_23315_lociStitched	chr9	134127325	134154522	6	19344	44295.7539	63	1
13_MACS_peak_17588_lociStitched	chr4	190991390	191013931	13	19211	32815.1878	64	1
2_MACS_peak_18827_lociStitched	chr6	288919	309558	2	19184	107853.2223	65	1
7_MACS_peak_7426_lociStitched	chr15	67369948	67396144	7	19121	32629.7376	66	1
4_MACS_peak_2900_lociStitched	chr10	74075247	74097307	4	18847	47640.776	67	1
4_MACS_peak_3892_lociStitched	chr11	62305396	62327475	4	18601	54226.024	68	1
7_MACS_peak_19595_lociStitched	chr6	52147862	52173805	7	18243	28698.1466	69	1
2_MACS_peak_8679_lociStitched	chr16	79948387	79966681	2	18231	32808.4596	70	1
4_MACS_peak_12146_lociStitched	chr2	20405087	20426347	4	18201	52189.048	71	1
4_MACS_peak_13642_lociStitched	chr2	236402292	236424114	4	18143	34496.2176	72	1
8_MACS_peak_4686_lociStitched	chr12	7045695	7081137	8	18020	35916.9228	73	1
1_MACS_peak_2349_lociStitched	chr1	234733395	234751394	1	18000	95385.7005	74	1
8_MACS_peak_1269_lociStitched	chr1	118186611	118209437	8	17918	26380.0082	75	1
5_MACS_peak_6791_lociStitched	chr14	94418639	94445805	5	17785	31860.2848	76	1
3_MACS_peak_20234_lociStitched	chr6	160389338	160411634	3	17701	35439.492	77	1
3_MACS_peak_12799_lociStitched	chr2	97186287	97205989	3	17611	52273.3464	78	1
3_MACS_peak_1742_lociStitched	chr1	167507551	167526049	3	17392	46585.3632	79	1
4_MACS_peak_15299_lociStitched	chr3	5223170	5247383	4	17240	38278.3317	80	1
7_MACS_peak_2886_lociStitched	chr10	74003458	74024919	7	17197	28837.1457	81	1
7_MACS_peak_8517_lociStitched	chr16	67191398	67218500	7	17182	53298.7932	82	1
3_MACS_peak_17937_lociStitched	chr5	60612816	60632694	3	17158	49965.3408	83	1
2_MACS_peak_21459_lociStitched	chr7	150062799	150084022	2	17138	63473.7484	84	1
5_MACS_peak_8733_lociStitched	chr16	85632733	85651346	5	17105	32541.1079	85	1
4_MACS_peak_20208_lociStitched	chr6	158243950	158272336	4	17091	26001.576	86	1
4_MACS_peak_2970_lociStitched	chr10	81946684	81966194	4	17002	28287.549	87	1
8_MACS_peak_11055_lociStitched	chr19	12885820	12918289	8	16932	43576.6449	88	1
4_MACS_peak_19311_lociStitched	chr6	31783405	31805233	4	16819	32311.9884	89	1
7_MACS_peak_10438_lociStitched	chr18	46439307	46462829	7	16752	26215.269	90	1
7_MACS_peak_17929_lociStitched	chr5	60556887	60577849	7	16577	26651.0868	91	1
3_MACS_peak_23330_lociStitched	chr9	134597764	134616059	3	16484	45252.6825	92	1
4_MACS_peak_13517_lociStitched	chr2	219735410	219763226	4	16369	33501.5904	93	1
5_MACS_peak_9081_lociStitched	chr17	16870180	16895287	5	16293	30522.5799	94	1
3_MACS_peak_10320_lociStitched	chr18	20803577	20823752	3	16193	26150.835	95	1
9_MACS_peak_2875_lociStitched	chr10	73619716	73651003	9	16056	22783.1934	96	1
5_MACS_peak_1600_lociStitched	chr1	156115779	156136509	5	16013	22585.335	97	1
3_MACS_peak_1509_lociStitched	chr1	154370186	154394401	3	15919	50534.2835	98	1
1_MACS_peak_14995_lociStitched	chr22	38782195	38798104	1	15910	37079.1063	99	1
3_MACS_peak_17533_lociStitched	chr4	185324199	185345112	3	15908	19616.394	100	1
1_MACS_peak_13367_lociStitched	chr2	201979411	201995057	1	15647	46354.4042	101	1
5_MACS_peak_22415_lociStitched	chr8	145002326	145027980	5	15639	33837.626	102	1
7_MACS_peak_8178_lociStitched	chr16	22195101	22219609	7	15607	32666.7132	103	1
1_MACS_peak_4003_lociStitched	chr11	65183463	65198852	1	15390	89941.0105	104	1
4_MACS_peak_20565_lociStitched	chr7	34774016	34796692	4	15368	18664.6156	105	1
3_MACS_peak_4192_lociStitched	chr11	72850571	72869929	3	15342	37591.3002	106	1
5_MACS_peak_1595_lociStitched	chr1	156083212	156100389	5	15327	35485.9643	107	1
5_MACS_peak_2094_lociStitched	chr1	209814622	209834704	5	15251	37195.8804	108	1
1_MACS_peak_5069_lociStitched	chr12	53590607	53605683	1	15077	28801.1904	109	1
4_MACS_peak_15039_lociStitched	chr22	39630785	39651934	4	15069	37829.2163	110	1
4_MACS_peak_15854_lociStitched	chr3	69128149	69145672	4	14967	33822.8946	111	1
6_MACS_peak_13461_lociStitched	chr2	216686319	216707279	6	14928	21446.272	112	1
3_MACS_peak_23381_lociStitched	chr9	137281762	137300696	3	14914	50301.9578	113	1
3_MACS_peak_20515_lociStitched	chr7	29710878	29726172	3	14908	24542.2818	114	1
4_MACS_peak_8271_lociStitched	chr16	29815432	29837266	4	14906	52043.5224	115	1
2_MACS_peak_9808_lociStitched	chr17	62195191	62210170	2	14830	30052.3677	116	1
2_MACS_peak_5662_lociStitched	chr12	123370554	123387012	2	14823	28019.745	117	1
4_MACS_peak_11966_lociStitched	chr19	56145740	56170499	4	14762	48955.9707	118	1
7_MACS_peak_10750_lociStitched	chr19	2607173	2632347	7	14758	29355.4014	119	1
3_MACS_peak_8666_lociStitched	chr16	79629074	79644617	3	14751	27209.5758	120	1
2_MACS_peak_11493_lociStitched	chr19	39887772	39903914	2	14741	66735.8706	121	1
8_MACS_peak_3260_lociStitched	chr10	119120011	119136047	8	14705	15833.9464	122	1
4_MACS_peak_6880_lociStitched	chr14	103565743	103581625	4	14696	36547.6584	123	1
2_MACS_peak_23738_lociStitched	chrX	39953157	39969639	2	14524	53174.2284	124	1
3_MACS_peak_15935_lociStitched	chr3	98479803	98495513	3	14514	18855.142	125	1
4_MACS_peak_8080_lociStitched	chr16	11821546	11843133	4	14478	25712.2757	126	1
15_MACS_peak_17731_lociStitched	chr5	25434962	25456599	15	14430	10721.1335	127	1
4_MACS_peak_23549_lociStitched	chrX	7024851	7040271	4	14240	19153.182	128	1
10_MACS_peak_3388_lociStitched	chr10	135477887	135495711	10	14221	25769.9392	129	1
4_MACS_peak_6987_lociStitched	chr15	21914299	21933577	4	14155	20814.4566	130	1
7_MACS_peak_10396_lociStitched	chr18	42279418	42297787	7	14021	14243.3226	131	1
7_MACS_peak_5326_lociStitched	chr12	92932281	92956053	7	14013	13961.2956	132	1
2_MACS_peak_4778_lociStitched	chr12	12866216	12880263	2	13999	43830.8541	133	1
3_MACS_peak_13657_lociStitched	chr2	238599795	238614054	3	13944	23152.3383	134	1
4_MACS_peak_10718_lociStitched	chr19	2080966	2097963	4	13861	34503.91	135	1
16_MACS_peak_17167_lociStitched	chr4	96445485	96472103	16	13838	14466.883	136	1
2_MACS_peak_19051_lociStitched	chr6	20200354	20214240	2	13744	31598.9816	137	1
7_MACS_peak_7116_lociStitched	chr15	40389717	40409179	7	13673	21760.4622	138	1
2_MACS_peak_4958_lociStitched	chr12	48200846	48215038	2	13622	43721.2944	139	1
6_MACS_peak_10727_lociStitched	chr19	2254848	2274311	6	13617	38632.1087	140	1
3_MACS_peak_728_lociStitched	chr1	40839170	40856330	3	13595	25292.124	141	1
4_MACS_peak_11344_lociStitched	chr19	29068072	29083190	4	13528	19907.3824	142	1
1_MACS_peak_16320_lociStitched	chr3	151910581	151924096	1	13516	32564.3925	143	1
3_MACS_peak_23232_lociStitched	chr9	130828450	130845324	3	13510	32399.7674	144	1
2_MACS_peak_9257_lociStitched	chr17	29635817	29649455	2	13490	19236.399	145	1
3_MACS_peak_23127_lociStitched	chr9	124100513	124114585	3	13435	20504.3112	146	1
3_MACS_peak_23290_lociStitched	chr9	132643960	132659123	3	13426	36066.7118	147	1
1_MACS_peak_1268_lociStitched	chr1	118168370	118181758	1	13389	24232.28	148	1
2_MACS_peak_12355_lociStitched	chr2	43439724	43456791	2	13343	57843.4764	149	1
4_MACS_peak_16444_lociStitched	chr3	177062501	177081036	4	13337	53480.889	150	1
6_MACS_peak_14939_lociStitched	chr22	37607540	37627712	6	13332	21505.3692	151	1
8_MACS_peak_3208_lociStitched	chr10	112169017	112185236	8	13277	13458.5262	152	1
1_MACS_peak_9756_lociStitched	chr17	57913758	57926995	1	13238	21061.3907	153	1
2_MACS_peak_23169_lociStitched	chr9	127621761	127637205	2	13150	55388.3616	154	1
6_MACS_peak_3229_lociStitched	chr10	112617080	112634895	6	13148	21160.657	155	1
5_MACS_peak_11634_lociStitched	chr19	45241450	45259133	5	13142	39173.1499	156	1
2_MACS_peak_18967_lociStitched	chr6	11824829	11838236	2	13091	25175.6646	157	1
4_MACS_peak_16322_lociStitched	chr3	151984239	152001779	4	13056	32317.45	158	1
4_MACS_peak_22395_lociStitched	chr8	144594640	144611243	4	13009	22809.2014	159	1
4_MACS_peak_8555_lociStitched	chr16	68278396	68299975	4	12956	32390.079	160	1
2_MACS_peak_18317_lociStitched	chr5	131790732	131804998	2	12954	37229.9802	161	1
1_MACS_peak_489_lociStitched	chr1	27018385	27031330	1	12946	59100.3975	162	1
2_MACS_peak_1584_lociStitched	chr1	155938911	155952332	2	12941	69461.7276	163	1
9_MACS_peak_19982_lociStitched	chr6	128212923	128230103	9	12928	10543.366	164	1
4_MACS_peak_19192_lociStitched	chr6	27791058	27808320	4	12926	28093.905	165	1
5_MACS_peak_5619_lociStitched	chr12	121565931	121583876	5	12880	24830.4965	166	1
3_MACS_peak_12887_lociStitched	chr2	110086076	110100590	3	12864	15892.83	167	1
2_MACS_peak_11348_lociStitched	chr19	29091584	29106326	2	12856	33888.9096	168	1
8_MACS_peak_4759_lociStitched	chr12	11974287	11990770	8	12837	14167.1385	169	1
3_MACS_peak_8939_lociStitched	chr17	4837593	4856637	3	12836	37191.0276	170	1
5_MACS_peak_17770_lociStitched	chr5	32530164	32543479	5	12829	16485.3015	171	1
1_MACS_peak_9597_lociStitched	chr17	46123831	46136641	1	12811	49869.33	172	1
3_MACS_peak_18601_lociStitched	chr5	156306757	156322069	3	12805	22416.768	173	1
3_MACS_peak_13895_lociStitched	chr20	25261619	25282492	3	12785	30553.8974	174	1
1_MACS_peak_10493_lociStitched	chr18	52979421	52992201	1	12781	20697.21	175	1
3_MACS_peak_5197_lociStitched	chr12	58227276	58241321	3	12762	34113.9005	176	1
4_MACS_peak_10981_lociStitched	chr19	10521832	10536536	4	12744	27689.1024	177	1
4_MACS_peak_11339_lociStitched	chr19	29018036	29034712	4	12740	13495.8868	178	1
3_MACS_peak_10701_lociStitched	chr19	1847348	1865605	3	12695	43148.5938	179	1
2_MACS_peak_18249_lociStitched	chr5	118663585	118678724	2	12688	18914.6666	180	1
3_MACS_peak_18552_lociStitched	chr5	150459327	150475739	3	12667	33244.1472	181	1
2_MACS_peak_16439_lociStitched	chr3	176908510	176921446	2	12607	59848.404	182	1
3_MACS_peak_9426_lociStitched	chr17	39821046	39836172	3	12592	36612.483	183	1
3_MACS_peak_1419_lociStitched	chr1	150120629	150138989	3	12576	37518.66	184	1
5_MACS_peak_15584_lociStitched	chr3	46132387	46153715	5	12510	18118.136	185	1
12_MACS_peak_10583_lociStitched	chr18	68988208	69006563	12	12447	8371.7155	186	1
9_MACS_peak_6111_lociStitched	chr13	104546854	104564969	9	12443	9430.669	187	1
6_MACS_peak_2340_lociStitched	chr1	234622927	234646073	6	12425	20322.188	188	1
5_MACS_peak_19856_lociStitched	chr6	108908188	108921289	5	12377	10575.1272	189	1
3_MACS_peak_18798_lociStitched	chr5	180228843	180247866	3	12365	32261.1057	190	1
2_MACS_peak_1266_lociStitched	chr1	118147839	118160180	2	12330	17411.9169	191	1
1_MACS_peak_16438_lociStitched	chr3	176858787	176871107	1	12321	28241.136	192	1
3_MACS_peak_8674_lociStitched	chr16	79902394	79915665	3	12263	32455.5576	193	1
3_MACS_peak_22296_lociStitched	chr8	128740131	128754776	3	12258	36211.227	194	1
5_MACS_peak_10644_lociStitched	chr19	908741	927779	5	12230	43507.5414	195	1
4_MACS_peak_12065_lociStitched	chr2	8651678	8666810	4	12223	22993.074	196	1
4_MACS_peak_15028_lociStitched	chr22	39459351	39474822	4	12219	16258.4739	197	1
2_MACS_peak_1582_lociStitched	chr1	155903012	155918935	2	12205	34404.8261	198	1
4_MACS_peak_16606_lociStitched	chr3	195265724	195279232	4	12202	20736.1308	199	1
5_MACS_peak_23615_lociStitched	chrX	13670528	13688753	5	12104	14432.3775	200	1
1_MACS_peak_5451_lociStitched	chr12	108953435	108965506	1	12072	27165.7855	201	1
6_MACS_peak_16383_lociStitched	chr3	166783871	166802889	6	12064	13169.965	202	1
1_MACS_peak_18823_lociStitched	chr6	218141	230195	1	12055	29067.0156	203	1
2_MACS_peak_8077_lociStitched	chr16	11770800	11784576	2	12048	19913.208	204	1
4_MACS_peak_24_lociStitched	chr1	1071300	1085997	4	12014	44501.0463	205	1
2_MACS_peak_16312_lociStitched	chr3	150314272	150329455	2	11995	34611.1668	206	1
3_MACS_peak_23218_lociStitched	chr9	130531826	130549740	3	11909	56006.3296	207	1
4_MACS_peak_13308_lociStitched	chr2	197030747	197048638	4	11869	19306.1781	208	1
3_MACS_peak_20356_lociStitched	chr7	5458840	5476171	3	11789	41103.9327	209	1
5_MACS_peak_9393_lociStitched	chr17	38253847	38270746	5	11778	19717.7532	210	1
5_MACS_peak_21131_lociStitched	chr7	101916580	101935833	5	11739	31798.2548	211	1
3_MACS_peak_9303_lociStitched	chr17	33405311	33417305	3	11698	22208.0904	212	1
4_MACS_peak_20672_lociStitched	chr7	45438184	45451231	4	11695	21033.0687	213	1
2_MACS_peak_22300_lociStitched	chr8	128800642	128816656	2	11666	37564.0398	214	1
6_MACS_peak_8261_lociStitched	chr16	29605148	29625679	6	11662	19888.3797	215	1
3_MACS_peak_23121_lociStitched	chr9	123686410	123699309	3	11628	30497.1057	216	1
7_MACS_peak_8162_lociStitched	chr16	21511942	21532415	7	11625	29284.5792	217	1
3_MACS_peak_7527_lociStitched	chr15	75068871	75083731	3	11620	28630.762	218	1
3_MACS_peak_7060_lociStitched	chr15	31545572	31560575	3	11598	34488.8964	219	1
3_MACS_peak_18320_lociStitched	chr5	131823193	131837578	3	11589	29447.5335	220	1
4_MACS_peak_8405_lociStitched	chr16	50298820	50318816	4	11587	22925.414	221	1
4_MACS_peak_847_lociStitched	chr1	46786301	46807311	4	11579	22035.288	222	1
3_MACS_peak_11909_lociStitched	chr19	54703796	54715575	3	11549	18018.3363	223	1
2_MACS_peak_10016_lociStitched	chr17	76163926	76177580	2	11541	33546.5126	224	1
3_MACS_peak_23606_lociStitched	chrX	13015031	13027675	3	11499	13956.4472	225	1
2_MACS_peak_16632_lociStitched	chr3	196358035	196371276	2	11474	43637.0396	226	1
4_MACS_peak_17525_lociStitched	chr4	185264162	185276845	4	11449	11207.9671	227	1
5_MACS_peak_6492_lociStitched	chr14	63934191	63947879	5	11420	12283.6112	228	1
2_MACS_peak_10237_lociStitched	chr18	9060245	9074386	2	11419	27070.1163	229	1
3_MACS_peak_19752_lociStitched	chr6	90057536	90069844	3	11410	19569.72	230	1
3_MACS_peak_15608_lociStitched	chr3	46453689	46466482	3	11406	20760.4804	231	1
6_MACS_peak_20547_lociStitched	chr7	32766788	32780872	6	11406	15881.1184	232	1
4_MACS_peak_12988_lociStitched	chr2	122572591	122587688	4	11395	11632.2385	233	1
3_MACS_peak_5640_lociStitched	chr12	122231613	122250603	3	11353	53027.676	234	1
2_MACS_peak_20466_lociStitched	chr7	23506320	23518533	2	11351	39531.0384	235	1
4_MACS_peak_1549_lociStitched	chr1	155096106	155113453	4	11344	32340.0121	236	1
1_MACS_peak_8673_lociStitched	chr16	79872762	79884096	1	11335	23504.4492	237	1
3_MACS_peak_22134_lociStitched	chr8	103538561	103550810	3	11303	19767.4362	238	1
2_MACS_peak_6179_lociStitched	chr13	114556684	114568593	2	11287	57196.5452	239	1
6_MACS_peak_11164_lociStitched	chr19	16251858	16272666	6	11265	15990.948	240	1
1_MACS_peak_4941_lociStitched	chr12	46776019	46787259	1	11241	34758.576	241	1
4_MACS_peak_15469_lociStitched	chr3	32461036	32481483	4	11203	19477.8122	242	1
3_MACS_peak_11189_lociStitched	chr19	16694141	16706613	3	11180	28121.8656	243	1
2_MACS_peak_15051_lociStitched	chr22	39832742	39846032	2	11170	25013.109	244	1
4_MACS_peak_13127_lociStitched	chr2	160746304	160761859	4	11122	13000.869	245	1
4_MACS_peak_7733_lociStitched	chr15	93346531	93364473	4	11122	24185.816	246	1
2_MACS_peak_9647_lociStitched	chr17	47814779	47827527	2	11105	20488.5856	247	1
5_MACS_peak_10713_lociStitched	chr19	2049051	2062885	5	11082	40151.8016	248	1
4_MACS_peak_15292_lociStitched	chr3	5017641	5029244	4	11067	27471.2628	249	1
7_MACS_peak_18604_lociStitched	chr5	156339924	156360685	7	11067	17460.001	250	1
1_MACS_peak_21524_lociStitched	chr7	156799719	156810770	1	11052	37465.1002	251	1
2_MACS_peak_1624_lociStitched	chr1	156709660	156723304	2	11040	53005.5756	252	1
1_MACS_peak_21679_lociStitched	chr8	23074916	23085904	1	10989	21236.5076	253	1
3_MACS_peak_8036_lociStitched	chr16	10961777	10976550	3	10983	23846.5766	254	1
2_MACS_peak_8089_lociStitched	chr16	12056512	12071780	2	10972	24153.976	255	1
1_MACS_peak_10557_lociStitched	chr18	60977473	60988402	1	10930	28642.7232	256	1
4_MACS_peak_12436_lociStitched	chr2	54795633	54809625	4	10916	12338.1456	257	1
7_MACS_peak_2768_lociStitched	chr10	52256375	52273512	7	10880	11231.5898	258	1
6_MACS_peak_6615_lociStitched	chr14	74224102	74241641	6	10855	21825.5316	259	1
4_MACS_peak_12505_lociStitched	chr2	64429146	64443397	4	10845	16133.5571	260	1
3_MACS_peak_23114_lociStitched	chr9	123630349	123646227	3	10842	37892.847	261	1
2_MACS_peak_14815_lociStitched	chr22	29187031	29199813	2	10836	28647.0184	262	1
2_MACS_peak_11608_lociStitched	chr19	44256795	44271966	2	10821	32890.728	263	1
4_MACS_peak_15058_lociStitched	chr22	39914801	39929443	4	10812	30443.6464	264	1
3_MACS_peak_12123_lociStitched	chr2	11883481	11895179	3	10788	25920.4284	265	1
4_MACS_peak_4014_lociStitched	chr11	65306962	65326880	4	10781	28004.708	266	1
3_MACS_peak_1536_lociStitched	chr1	154942344	154957635	3	10731	33257.925	267	1
4_MACS_peak_22229_lociStitched	chr8	120918702	120935412	4	10722	15309.702	268	1
4_MACS_peak_11744_lociStitched	chr19	48823482	48837806	4	10716	24178.912	269	1
4_MACS_peak_14295_lociStitched	chr20	62358017	62372972	4	10710	17421.0795	270	1
2_MACS_peak_4381_lociStitched	chr11	111240868	111251859	2	10708	21496.1978	271	1
8_MACS_peak_11142_lociStitched	chr19	15392755	15413353	8	10703	10731.558	272	1
2_MACS_peak_19089_lociStitched	chr6	25403255	25414226	2	10688	16494.8985	273	1
4_MACS_peak_15544_lociStitched	chr3	43662704	43674041	4	10687	15604.2468	274	1
2_MACS_peak_14911_lociStitched	chr22	36645322	36656069	2	10623	22041.0223	275	1
1_MACS_peak_10230_lociStitched	chr18	7566340	7576956	1	10617	19365.7072	276	1
5_MACS_peak_23031_lociStitched	chr9	112904475	112921044	5	10614	11962.818	277	1
3_MACS_peak_3879_lociStitched	chr11	61730274	61742859	3	10594	26414.6565	278	1
1_MACS_peak_1539_lociStitched	chr1	154969609	154980183	1	10575	80728.2604	279	1
1_MACS_peak_18200_lociStitched	chr5	109023721	109034285	1	10565	25530.0188	280	1
4_MACS_peak_1606_lociStitched	chr1	156181992	156198890	4	10564	22874.8226	281	1
4_MACS_peak_15716_lociStitched	chr3	50637544	50655919	4	10563	19126.5375	282	1
4_MACS_peak_18105_lociStitched	chr5	87954905	87972786	4	10562	30805.3868	283	1
4_MACS_peak_17253_lociStitched	chr4	113200800	113212657	4	10551	17659.8158	284	1
3_MACS_peak_2255_lociStitched	chr1	226838618	226851866	3	10546	23908.6656	285	1
5_MACS_peak_10045_lociStitched	chr17	76767507	76780541	5	10545	24344.9052	286	1
2_MACS_peak_17829_lociStitched	chr5	43007218	43021862	2	10543	50865.934	287	1
4_MACS_peak_18497_lociStitched	chr5	142774207	142785757	4	10526	28790.685	288	1
4_MACS_peak_19121_lociStitched	chr6	26295400	26314637	4	10526	11832.6787	289	1
3_MACS_peak_18570_lociStitched	chr5	151122772	151138926	3	10511	20375.0402	290	1
3_MACS_peak_572_lociStitched	chr1	31943808	31957937	3	10491	19786.2516	291	1
4_MACS_peak_13729_lociStitched	chr20	379899	391300	4	10483	27656.5458	292	1
1_MACS_peak_9540_lociStitched	chr17	43298158	43308629	1	10472	54583.2288	293	1
5_MACS_peak_10063_lociStitched	chr17	77769699	77787969	5	10464	20051.325	294	1
2_MACS_peak_12560_lociStitched	chr2	68589086	68599684	2	10456	17177.2384	295	1
1_MACS_peak_1533_lociStitched	chr1	154907661	154918112	1	10452	38007.1517	296	1
7_MACS_peak_12221_lociStitched	chr2	27375338	27389184	7	10434	12608.1676	297	1
3_MACS_peak_1340_lociStitched	chr1	145152552	145164878	3	10412	19148.441	298	1
3_MACS_peak_5179_lociStitched	chr12	57846052	57856662	3	10410	23621.043	299	1
1_MACS_peak_14137_lociStitched	chr20	45979769	45990150	1	10382	22804.9808	300	1
4_MACS_peak_24277_lociStitched	chrX	153596357	153608846	4	10354	24594.5877	301	1
6_MACS_peak_23434_lociStitched	chr9	139580364	139598238	6	10326	14495.814	302	1
