REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	RPMI8226_jia.bam	enhancerRank	isSuperStretch	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isSuperStretch
3_MACS_peak_15601_lociStitched	chr3	46389530	46414235	3	20193	48688.614	55	1	CCR2,CCR5	CCRL2	CCR2	55	1
5_MACS_peak_9402_lociStitched	chr17	38462925	38487392	5	20164	46198.5894	56	1	RARA	CDC6,RARA,GJD3	RARA	56	1
6_MACS_peak_20646_lociStitched	chr7	44653375	44680578	6	20636	34468.9213	57	1	OGDH	DDX56,TMED4	OGDH	57	1
7_MACS_peak_7063_lociStitched	chr15	31615688	31647230	7	19710	50101.3128	58	1	KLF13		KLF13	58	1
7_MACS_peak_2732_lociStitched	chr10	45389552	45410741	7	20067	38595.7635	59	1	TMEM72,LOC220980	RASSF4	TMEM72	59	1
3_MACS_peak_14205_lociStitched	chr20	52195057	52215569	3	20246	30091.104	60	1	ZNF217		ZNF217	60	1
1_MACS_peak_4003_lociStitched	chr11	65183463	65198852	1	15390	89941.0105	61	1	NEAT1	FRMD8,MIR612,SLC25A45	NEAT1	61	1
7_MACS_peak_12858_lociStitched	chr2	107102407	107129943	7	19818	34279.5664	62	1		RGPD3	RGPD3	62	1
6_MACS_peak_23315_lociStitched	chr9	134127325	134154522	6	19344	44295.7539	63	1	FAM78A	PPAPDC3	FAM78A	63	1
5_MACS_peak_15594_lociStitched	chr3	46320273	46348354	5	19679	34427.306	64	1		CCR3,CCR2	CCR3	64	1
4_MACS_peak_3892_lociStitched	chr11	62305396	62327475	4	18601	54226.024	65	1	AHNAK,EEF1G	TUT1,MTA2	AHNAK	65	1
4_MACS_peak_12564_lociStitched	chr2	68636259	68656982	4	19680	32332.0246	66	1		PLEK,APLF,FBXO48	FBXO48	66	1
4_MACS_peak_2900_lociStitched	chr10	74075247	74097307	4	18847	47640.776	67	1	DNAJB12	DDIT4	DNAJB12	67	1
4_MACS_peak_4750_lociStitched	chr12	11900780	11920673	4	19465	25958.3757	68	1	ETV6		ETV6	68	1
13_MACS_peak_17588_lociStitched	chr4	190991390	191013931	13	19211	32815.1878	69	1	DUX4L6,DUX4L5,DUX2,DUX4L4,DUX4	DUX4L2,FRG2	DUX4L4	69	1
4_MACS_peak_12146_lociStitched	chr2	20405087	20426347	4	18201	52189.048	70	1	SDC1		SDC1	70	1
7_MACS_peak_7426_lociStitched	chr15	67369948	67396144	7	19121	32629.7376	71	1	SMAD3	SMAD3	SMAD3	71	1
2_MACS_peak_21459_lociStitched	chr7	150062799	150084022	2	17138	63473.7484	72	1	REPIN1,ZNF775	LRRC61,C7orf29,LOC728743,LOC285972,ACTR3C,RARRES2	ZNF775	72	1
3_MACS_peak_12799_lociStitched	chr2	97186287	97205989	3	17611	52273.3464	73	1	ARID5A	NEURL3	ARID5A	73	1
7_MACS_peak_8517_lociStitched	chr16	67191398	67218500	7	17182	53298.7932	74	1	FBXL8,HSF4,NOL3,TRADD,KIAA0895L,EXOC3L	C16orf70,E2F4,ELMO3,TMEM208,B3GNT9,MIR328,LRRC29	NOL3	74	1
2_MACS_peak_8679_lociStitched	chr16	79948387	79966681	2	18231	32808.4596	75	1			MAF	75	1
4_MACS_peak_13642_lociStitched	chr2	236402292	236424114	4	18143	34496.2176	76	1	AGAP1		AGAP1	76	1
8_MACS_peak_4686_lociStitched	chr12	7045695	7081137	8	18020	35916.9228	77	1	ATN1,C12orf57,PTPN6,MIR200C,MIR141,EMG1,PHB2,SCARNA12	LRRC23,ENO2,LPCAT3	PTPN6	77	1
3_MACS_peak_1742_lociStitched	chr1	167507551	167526049	3	17392	46585.3632	78	1	CREG1	CD247	CREG1	78	1
7_MACS_peak_19595_lociStitched	chr6	52147862	52173805	7	18243	28698.1466	79	1	MCM3	IL17F	MCM3	79	1
3_MACS_peak_17937_lociStitched	chr5	60612816	60632694	3	17158	49965.3408	80	1	ZSWIM6		ZSWIM6	80	1
3_MACS_peak_20234_lociStitched	chr6	160389338	160411634	3	17701	35439.492	81	1	IGF2R		IGF2R	81	1
5_MACS_peak_6791_lociStitched	chr14	94418639	94445805	5	17785	31860.2848	82	1	ASB2	FAM181A,C14orf48,OTUB2,C14orf86	ASB2	82	1
8_MACS_peak_1269_lociStitched	chr1	118186611	118209437	8	17918	26380.0082	83	1		FAM46C	FAM46C	83	1
4_MACS_peak_15299_lociStitched	chr3	5223170	5247383	4	17240	38278.3317	84	1	EDEM1		EDEM1	84	1
8_MACS_peak_11055_lociStitched	chr19	12885820	12918289	8	16932	43576.6449	85	1	JUNB,RNASEH2A,HOOK2,PRDX2	ASNA1,BEST2,MAST1,C19orf43,RTBDN	JUNB	85	1
3_MACS_peak_23330_lociStitched	chr9	134597764	134616059	3	16484	45252.6825	86	1	RAPGEF1	RAPGEF1	RAPGEF1	86	1
2_MACS_peak_11493_lociStitched	chr19	39887772	39903914	2	14741	66735.8706	87	1	MED29,ZFP36,PLEKHG2	SUPT5H,PAF1,RPS16	ZFP36	87	1
5_MACS_peak_8733_lociStitched	chr16	85632733	85651346	5	17105	32541.1079	88	1	KIAA0182		KIAA0182	88	1
7_MACS_peak_2886_lociStitched	chr10	74003458	74024919	7	17197	28837.1457	89	1		ANAPC16,DDIT4,ASCC1	DDIT4	89	1
3_MACS_peak_1509_lociStitched	chr1	154370186	154394401	3	15919	50534.2835	90	1	IL6R		IL6R	90	1
4_MACS_peak_20208_lociStitched	chr6	158243950	158272336	4	17091	26001.576	91	1	SNX9		SNX9	91	1
4_MACS_peak_2970_lociStitched	chr10	81946684	81966194	4	17002	28287.549	92	1	ANXA11		ANXA11	92	1
4_MACS_peak_19311_lociStitched	chr6	31783405	31805233	4	16819	32311.9884	93	1	HSPA1A,HSPA1B,C6orf48,SNORD48,SNORD52	C6orf27,VARS,LSM2,HSPA1L,NEU1,SLC44A4	HSPA1B	93	1
1_MACS_peak_23469_lociStitched	chr9	140060422	140070654	1	10233	94217.2792	94	1	GRIN1,LRRC26,MIR3621,ANAPC2	SSNA1,NDOR1,C9orf169,TPRN,TMEM203,RNF208	LRRC26	94	1
7_MACS_peak_10438_lociStitched	chr18	46439307	46462829	7	16752	26215.269	95	1	SMAD7		SMAD7	95	1
1_MACS_peak_13367_lociStitched	chr2	201979411	201995057	1	15647	46354.4042	96	1	CFLAR	NDUFB3,FAM126B	CFLAR	96	1
4_MACS_peak_13517_lociStitched	chr2	219735410	219763226	4	16369	33501.5904	97	1	WNT6,WNT10A	PRKAG3	WNT10A	97	1
7_MACS_peak_17929_lociStitched	chr5	60556887	60577849	7	16577	26651.0868	98	1			ZSWIM6	98	1
5_MACS_peak_9081_lociStitched	chr17	16870180	16895287	5	16293	30522.5799	99	1	TNFRSF13B		TNFRSF13B	99	1
1_MACS_peak_14995_lociStitched	chr22	38782195	38798104	1	15910	37079.1063	100	1	LOC400927	KCNJ4	LOC400927	100	1
4_MACS_peak_8271_lociStitched	chr16	29815432	29837266	4	14906	52043.5224	101	1	KIF22,MAZ,PRRT2,C16orf53,MVP	ZG16,LOC440356,CDIPT	C16orf53	101	1
3_MACS_peak_23381_lociStitched	chr9	137281762	137300696	3	14914	50301.9578	102	1	RXRA		RXRA	102	1
3_MACS_peak_10320_lociStitched	chr18	20803577	20823752	3	16193	26150.835	103	1	CABLES1		CABLES1	103	1
2_MACS_peak_1584_lociStitched	chr1	155938911	155952332	2	12941	69461.7276	104	1	ARHGEF2	RXFP4,SNORA42,SCARNA4,KIAA0907,SSR2	ARHGEF2	104	1
2_MACS_peak_23738_lociStitched	chrX	39953157	39969639	2	14524	53174.2284	105	1	BCOR		BCOR	105	1
4_MACS_peak_11966_lociStitched	chr19	56145740	56170499	4	14762	48955.9707	106	1	ZNF580,ZNF581,CCDC106,U2AF2	ZNF524,ZNF865,EPN1,FIZ1,ZNF784	CCDC106	106	1
5_MACS_peak_22415_lociStitched	chr8	145002326	145027980	5	15639	33837.626	107	1	PLEC,MIR661	GRINA,PARP10	PLEC	107	1
9_MACS_peak_2875_lociStitched	chr10	73619716	73651003	9	16056	22783.1934	108	1		CDH23,PSAP	PSAP	108	1
5_MACS_peak_1600_lociStitched	chr1	156115779	156136509	5	16013	22585.335	109	1	SEMA4A	LMNA,SLC25A44,PMF1	SEMA4A	109	1
7_MACS_peak_8178_lociStitched	chr16	22195101	22219609	7	15607	32666.7132	110	1	EEF2K		EEF2K	110	1
3_MACS_peak_4192_lociStitched	chr11	72850571	72869929	3	15342	37591.3002	111	1	FCHSD2		FCHSD2	111	1
5_MACS_peak_2094_lociStitched	chr1	209814622	209834704	5	15251	37195.8804	112	1	LAMB3	G0S2,HSD11B1,MIR4260	LAMB3	112	1
5_MACS_peak_1595_lociStitched	chr1	156083212	156100389	5	15327	35485.9643	113	1	LMNA	SEMA4A,MEX3A	LMNA	113	1
3_MACS_peak_17533_lociStitched	chr4	185324199	185345112	3	15908	19616.394	114	1	IRF2		IRF2	114	1
4_MACS_peak_15039_lociStitched	chr22	39630785	39651934	4	15069	37829.2163	115	1	PDGFB		PDGFB	115	1
1_MACS_peak_1539_lociStitched	chr1	154969609	154980183	1	10575	80728.2604	116	1	ZBTB7B	CKS1B,MIR4258,FLAD1,LENEP,DCST1,ADAM15,PBXIP1,PYGO2,SHC1,DCST2	ZBTB7B	116	1
2_MACS_peak_12355_lociStitched	chr2	43439724	43456791	2	13343	57843.4764	117	1	LOC100129726,ZFP36L2		ZFP36L2	117	1
4_MACS_peak_15854_lociStitched	chr3	69128149	69145672	4	14967	33822.8946	118	1	ARL6IP5,UBA3	MIR3136,TMF1,LMOD3	ARL6IP5	118	1
1_MACS_peak_489_lociStitched	chr1	27018385	27031330	1	12946	59100.3975	119	1	ARID1A		ARID1A	119	1
4_MACS_peak_6880_lociStitched	chr14	103565743	103581625	4	14696	36547.6584	120	1	C14orf73	TNFAIP2,CDC42BPB	C14orf73	120	1
1_MACS_peak_5069_lociStitched	chr12	53590607	53605683	1	15077	28801.1904	121	1	ITGB7,RARG	ZNF740,MFSD5,CSAD	ITGB7	121	1
4_MACS_peak_16444_lociStitched	chr3	177062501	177081036	4	13337	53480.889	123	1			TBL1XR1	123	1
2_MACS_peak_23169_lociStitched	chr9	127621761	127637205	2	13150	55388.3616	124	1	ARPC5L,RPL35	WDR38	ARPC5L	124	1
2_MACS_peak_9808_lociStitched	chr17	62195191	62210170	2	14830	30052.3677	125	1	ERN1	SNORD104,SNORA76	ERN1	125	1
2_MACS_peak_16439_lociStitched	chr3	176908510	176921446	2	12607	59848.404	126	1	TBL1XR1		TBL1XR1	126	1
2_MACS_peak_4778_lociStitched	chr12	12866216	12880263	2	13999	43830.8541	127	1	CDKN1B,APOLD1	MIR613,GPR19	CDKN1B	127	1
2_MACS_peak_5662_lociStitched	chr12	123370554	123387012	2	14823	28019.745	128	1	VPS37B		VPS37B	128	1
7_MACS_peak_10750_lociStitched	chr19	2607173	2632347	7	14758	29355.4014	129	1	GNG7		GNG7	129	1
3_MACS_peak_20515_lociStitched	chr7	29710878	29726172	3	14908	24542.2818	130	1	DPY19L2P3,LOC646762,LOC100271874		LOC646762	130	1
3_MACS_peak_8666_lociStitched	chr16	79629074	79644617	3	14751	27209.5758	131	1	MAF		MAF	131	1
6_MACS_peak_13461_lociStitched	chr2	216686319	216707279	6	14928	21446.272	132	1	LOC646324		LOC646324	132	1
2_MACS_peak_4958_lociStitched	chr12	48200846	48215038	2	13622	43721.2944	133	1	HDAC7	SLC48A1,RAPGEF3	HDAC7	133	1
4_MACS_peak_8080_lociStitched	chr16	11821546	11843133	4	14478	25712.2757	134	1	TXNDC11	ZC3H7A	TXNDC11	134	1
1_MACS_peak_9597_lociStitched	chr17	46123831	46136641	1	12811	49869.33	136	1	NFE2L1	SNX11,MIR152,COPZ2,CBX1	NFE2L1	136	1
6_MACS_peak_10727_lociStitched	chr19	2254848	2274311	6	13617	38632.1087	137	1	OAZ1,JSRP1	SF3A2,AMH,MIR4321,MIR1227,PLEKHJ1,C19orf35,LINGO3	OAZ1	137	1
4_MACS_peak_10718_lociStitched	chr19	2080966	2097963	4	13861	34503.91	138	1	IZUMO4,MOBKL2A	MKNK2	MOBKL2A	138	1
10_MACS_peak_3388_lociStitched	chr10	135477887	135495711	10	14221	25769.9392	140	1	DUX4L6,DUX4,DUX4L2,DUX2	DUX4L7,FRG2B	DUX4L7	140	1
3_MACS_peak_23218_lociStitched	chr9	130531826	130549740	3	11909	56006.3296	141	1	CDK9,MIR2861,SH2D3C	FPGS,TOR2A,SH2D3C	SH2D3C	141	1
2_MACS_peak_19051_lociStitched	chr6	20200354	20214240	2	13744	31598.9816	142	1	MBOAT1		MBOAT1	142	1
4_MACS_peak_6987_lociStitched	chr15	21914299	21933577	4	14155	20814.4566	145	1	LOC646214		LOC646214	145	1
3_MACS_peak_23290_lociStitched	chr9	132643960	132659123	3	13426	36066.7118	146	1	USP20,FNBP1	C9orf78	USP20	146	1
5_MACS_peak_11634_lociStitched	chr19	45241450	45259133	5	13142	39173.1499	147	1	BCL3	CEACAM16,CBLC	BCL3	147	1
1_MACS_peak_16320_lociStitched	chr3	151910581	151924096	1	13516	32564.3925	148	1			MBNL1	148	1
3_MACS_peak_13657_lociStitched	chr2	238599795	238614054	3	13944	23152.3383	149	1	LRRFIP1		LRRFIP1	149	1
3_MACS_peak_23232_lociStitched	chr9	130828450	130845324	3	13510	32399.7674	150	1	SLC25A25,NAIF1	SLC25A25,LOC389791,LOC100289019,PTGES2	SLC25A25	150	1
3_MACS_peak_10701_lociStitched	chr19	1847348	1865605	3	12695	43148.5938	151	1	REXO1,KLF16	LOC100288123,SCAMP4,ADAT3,ATP8B3,MIR1909,FAM108A1	KLF16	151	1
2_MACS_peak_6179_lociStitched	chr13	114556684	114568593	2	11287	57196.5452	153	1	GAS6	FLJ44054,GAS6	GAS6	153	1
3_MACS_peak_728_lociStitched	chr1	40839170	40856330	3	13595	25292.124	155	1	SMAP2	SMAP2	SMAP2	155	1
2_MACS_peak_18317_lociStitched	chr5	131790732	131804998	2	12954	37229.9802	156	1	C5orf56	IRF1	IRF1	156	1
7_MACS_peak_7116_lociStitched	chr15	40389717	40409179	7	13673	21760.4622	157	1	BMF	BUB1B	BMF	157	1
3_MACS_peak_8939_lociStitched	chr17	4837593	4856637	3	12836	37191.0276	159	1	GP1BA,RNF167,ENO3,SLC25A11,PFN1	C17orf107,KIF1C,CHRNE,SPAG7,CAMTA2,INCA1	RNF167	159	1
4_MACS_peak_16322_lociStitched	chr3	151984239	152001779	4	13056	32317.45	160	1	MBNL1,LOC401093	MBNL1	LOC401093	160	1
1_MACS_peak_1268_lociStitched	chr1	118168370	118181758	1	13389	24232.28	161	1	FAM46C		FAM46C	161	1
3_MACS_peak_5640_lociStitched	chr12	122231613	122250603	3	11353	53027.676	162	1	SETD1B,LOC338799	RHOF,HPD	LOC338799	162	1
5_MACS_peak_10644_lociStitched	chr19	908741	927779	5	12230	43507.5414	163	1	KISS1R,ARID3A,C19orf22	CFD,MED16	KISS1R	163	1
4_MACS_peak_11344_lociStitched	chr19	29068072	29083190	4	13528	19907.3824	164	1			LOC148145	164	1
4_MACS_peak_8555_lociStitched	chr16	68278396	68299975	4	12956	32390.079	165	1	PLA2G15,SLC7A6	PRMT7,ESRP2,SLC7A6OS	SLC7A6	165	1
2_MACS_peak_11348_lociStitched	chr19	29091584	29106326	2	12856	33888.9096	166	1			LOC148145	166	1
3_MACS_peak_23127_lociStitched	chr9	124100513	124114585	3	13435	20504.3112	168	1	STOM	GSN	STOM	168	1
3_MACS_peak_1419_lociStitched	chr1	150120629	150138989	3	12576	37518.66	169	1	PLEKHO1		PLEKHO1	169	1
3_MACS_peak_5197_lociStitched	chr12	58227276	58241321	3	12762	34113.9005	170	1	CTDSP2	AVIL,MIR26A2	CTDSP2	170	1
4_MACS_peak_24_lociStitched	chr1	1071300	1085997	4	12014	44501.0463	171	1		MIR200B,MIR200A,MIR429,TTLL10,C1orf159	MIR200B	171	1
3_MACS_peak_9426_lociStitched	chr17	39821046	39836172	3	12592	36612.483	172	1		EIF1,GAST,KRT17,KRT42P	EIF1	172	1
6_MACS_peak_14939_lociStitched	chr22	37607540	37627712	6	13332	21505.3692	173	1	SSTR3,RAC2	C1QTNF6	SSTR3	173	1
2_MACS_peak_18967_lociStitched	chr6	11824829	11838236	2	13091	25175.6646	174	1		C6orf105	C6orf105	174	1
3_MACS_peak_18552_lociStitched	chr5	150459327	150475739	3	12667	33244.1472	175	1	TNIP1	ANXA6	TNIP1	175	1
1_MACS_peak_9756_lociStitched	chr17	57913758	57926995	1	13238	21061.3907	176	1	TMEM49,MIR21	RPS6KB1,TUBD1	MIR21	176	1
2_MACS_peak_1624_lociStitched	chr1	156709660	156723304	2	11040	53005.5756	177	1	MRPL24,HDGF	C1orf66,PRCC,CRABP2,ISG20L2	HDGF	177	1
4_MACS_peak_19192_lociStitched	chr6	27791058	27808320	4	12926	28093.905	178	1	HIST1H4J,HIST1H2BN,HIST1H4K,HIST1H2AK	HIST1H2AI,HIST1H3H,HIST1H2BM,HIST1H2AL,HIST1H2BL,HIST1H2AJ,HIST1H1B,HIST1H3I,HIST1H4L	HIST1H4K	178	1
3_MACS_peak_13895_lociStitched	chr20	25261619	25282492	3	12785	30553.8974	179	1	PYGB,ABHD12		PYGB	179	1
6_MACS_peak_3229_lociStitched	chr10	112617080	112634895	6	13148	21160.657	180	1	PDCD4,LOC282997	SHOC2,NCRNA00081	LOC282997	180	1
4_MACS_peak_22395_lociStitched	chr8	144594640	144611243	4	13009	22809.2014	181	1	ZC3H3	GSDMD,C8orf73,NAPRT1	ZC3H3	181	1
3_MACS_peak_22296_lociStitched	chr8	128740131	128754776	3	12258	36211.227	183	1	MYC		MYC	183	1
5_MACS_peak_5619_lociStitched	chr12	121565931	121583876	5	12880	24830.4965	184	1	P2RX7		P2RX7	184	1
4_MACS_peak_10981_lociStitched	chr19	10521832	10536536	4	12744	27689.1024	185	1	PDE4A	PDE4A,TYK2,MIR1181,CDC37	PDE4A	185	1
3_MACS_peak_20356_lociStitched	chr7	5458840	5476171	3	11789	41103.9327	186	1	TNRC18		TNRC18	186	1
1_MACS_peak_9540_lociStitched	chr17	43298158	43308629	1	10472	54583.2288	187	1	FMNL1	LOC100133991,C17orf46	FMNL1	187	1
3_MACS_peak_18798_lociStitched	chr5	180228843	180247866	3	12365	32261.1057	188	1	MGAT1	LOC729678,ZFP62	MGAT1	188	1
2_MACS_peak_1582_lociStitched	chr1	155903012	155918935	2	12205	34404.8261	189	1	RXFP4,KIAA0907,ARHGEF2	RIT1,SNORA42,SCARNA4	RXFP4	189	1
3_MACS_peak_18601_lociStitched	chr5	156306757	156322069	3	12805	22416.768	190	1		PPP1R2P3,LOC100286948	LOC100286948	190	1
2_MACS_peak_16632_lociStitched	chr3	196358035	196371276	2	11474	43637.0396	191	1	LRRC33		LRRC33	191	1
3_MACS_peak_8674_lociStitched	chr16	79902394	79915665	3	12263	32455.5576	192	1			MAF	192	1
1_MACS_peak_10493_lociStitched	chr18	52979421	52992201	1	12781	20697.21	193	1	TCF4		TCF4	193	1
2_MACS_peak_16312_lociStitched	chr3	150314272	150329455	2	11995	34611.1668	195	1	SELT	EIF2A,SERP1	SELT	195	1
1_MACS_peak_16438_lociStitched	chr3	176858787	176871107	1	12321	28241.136	197	1	TBL1XR1		TBL1XR1	197	1
