REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	RPMI8226_jia.bam	enhancerRank	isStretch	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isStretch
4_MACS_peak_1408_lociStitched	chr1	149800426	149836503	4	29424	132947.3527	16	1	HIST2H4B,HIST2H2AA4,HIST2H3A,HIST2H2BC	FCGR1A,HIST2H2AC,BOLA1,HIST2H2BF,HIST2H3D,HIST2H2BE,HIST2H2AB	HIST2H2BC	HIST2H2BC	4.0009	16	1
6_MACS_peak_17686_lociStitched	chr5	14142609	14179885	6	29422	40757.5784	17	1	TRIO		TRIO	TRIO	0.2806	17	1
7_MACS_peak_17009_lociStitched	chr4	71522828	71555146	7	28199	34198.9076	18	1	UTP3,IGJ	ENAM,RUFY3	IGJ	IGJ	0.8413	18	1
2_MACS_peak_13045_lociStitched	chr2	134874950	134902031	2	27029	73283.8941	19	1	MIR3679		MIR3679	MIR3679	2.3783	19	1
12_MACS_peak_18931_lociStitched	chr6	9375266	9408785	12	26709	24013.0116	20	1			HULC	HULC	NONE	20	1
15_MACS_peak_6998_lociStitched	chr15	22009749	22041464	15	25609	25835.039	21	1	CXADRP2		CXADRP2	CXADRP2	0.9551	21	1
12_MACS_peak_13467_lociStitched	chr2	216744974	216785108	12	25135	29205.5118	22	1		LOC646324	LOC646324	LOC646324	0.1571	22	1
3_MACS_peak_4010_lociStitched	chr11	65253775	65278842	3	25025	83916.7959	23	1	MALAT1	MIR612,SCYL1,LTBP3	MALAT1	MALAT1	3.0469	23	1
7_MACS_peak_9287_lociStitched	chr17	32690988	32720590	7	24732	42825.2134	24	1		CCL8,CCL13,CCL1	CCL1	CCL1	0.3715	24	1
3_MACS_peak_6668_lociStitched	chr14	77486852	77512274	3	24679	60392.5032	25	1	C14orf4		C14orf4	C14orf4	2.8737	25	1
8_MACS_peak_20738_lociStitched	chr7	55612960	55642559	8	24631	43510.53	26	1	VOPP1		VOPP1	VOPP1	0.6741	26	1
7_MACS_peak_20975_lociStitched	chr7	90337792	90367597	7	24465	30949.512	27	1	CDK14		CDK14	CDK14	0.1325	27	1
5_MACS_peak_16259_lociStitched	chr3	141085002	141110871	5	24240	46750.4568	28	1	ZBTB38		ZBTB38	ZBTB38	0.4617	28	1
1_MACS_peak_18917_lociStitched	chr6	7897638	7921802	1	24165	72216.5304	29	1	MUTED-TXNDC5,TXNDC5		TXNDC5	TXNDC5	1.5673	29	1
4_MACS_peak_1614_lociStitched	chr1	156450697	156479761	4	23946	78917.4792	30	1	MEF2D		MEF2D	MEF2D	1.6727	30	1
7_MACS_peak_6939_lociStitched	chr14	106023698	106057526	7	23940	56617.9236	31	1		TMEM121	TMEM121	TMEM121	0.114	31	1
7_MACS_peak_10009_lociStitched	chr17	76117418	76152295	7	23893	67898.5436	32	1	TMC8,C17orf99,TMC6	SYNGR2,AFMID,TK1	TMC6	SYNGR2	2.0855	32	1
7_MACS_peak_17151_lociStitched	chr4	90205515	90229988	7	23528	31401.3063	33	1	GPRIN3		GPRIN3	GPRIN3	0.4711	33	1
10_MACS_peak_12821_lociStitched	chr2	99071273	99106689	10	23416	34222.4808	34	1	INPP4A		INPP4A	INPP4A	0.3367	34	1
15_MACS_peak_6967_lociStitched	chr15	21003541	21033809	15	22771	26408.83	35	1		BCL8,POTEB	POTEB	POTEB	0.0797	35	1
4_MACS_peak_14580_lociStitched	chr21	45552512	45581301	4	22630	74957.9193	36	1	C21orf33	PWP2	C21orf33	C21orf33	1.7227	36	1
7_MACS_peak_6947_lociStitched	chr14	106144136	106173168	7	21779	51372.124	37	1			TMEM121	TMEM121	0.114	37	1
3_MACS_peak_2509_lociStitched	chr10	7510813	7535786	3	21596	35524.0925	38	1			SFMBT2	SFMBT2	NONE	38	1
3_MACS_peak_8770_lociStitched	chr16	87883535	87905390	3	21583	40999.98	39	1	SLC7A5		SLC7A5	SLC7A5	0.9004	39	1
3_MACS_peak_18314_lociStitched	chr5	131744803	131767292	3	21352	51760.6824	40	1	C5orf56	SLC22A5,MIR3936	C5orf56	C5orf56	1.4611	40	1
9_MACS_peak_10668_lociStitched	chr19	1237471	1277560	9	21347	67273.3509	41	1	ATP5D,MIDN,CIRBP,C19orf24,C19orf26,C19orf23	STK11,EFNA2	MIDN	MIDN	1.6564	41	1
5_MACS_peak_19819_lociStitched	chr6	106531251	106555558	5	21279	24151.4352	42	1	PRDM1		PRDM1	PRDM1	0.7463	42	1
6_MACS_peak_19163_lociStitched	chr6	27094329	27117307	6	21159	35064.428	43	1	HIST1H2AG,HIST1H4I,HIST1H2AH,MIR3143,HIST1H2BJ,HIST1H2BK		HIST1H4I	HIST1H4I	1.0298	43	1
5_MACS_peak_3969_lociStitched	chr11	64611372	64638276	5	21156	54835.7328	44	1	CDC42BPG,EHD1	MAP4K2,MEN1,MIR192,MIR194-2,ATG2A	CDC42BPG	MEN1	0.4424	44	1
4_MACS_peak_2039_lociStitched	chr1	206282323	206310606	4	20962	45773.2072	45	1	C1orf186	CTSE	C1orf186	C1orf186	0.4738	45	1
3_MACS_peak_9727_lociStitched	chr17	56405229	56430707	3	20935	78191.982	46	1	BZRAP1,MIR142,SUPT4H1	MPO	MIR142	MIR142	3.6913	46	1
4_MACS_peak_9105_lociStitched	chr17	17721198	17744613	4	20911	71694.3885	47	1	SREBF1	SMCR5,MIR33B	SREBF1	SREBF1	2.1755	47	1
6_MACS_peak_20646_lociStitched	chr7	44653375	44680578	6	20636	34468.9213	48	1	OGDH	DDX56,TMED4	OGDH	TMED4	0.762	48	1
6_MACS_peak_21144_lociStitched	chr7	102062618	102092598	6	20333	56221.494	49	1	PRKRIP1,ORAI2	LRWD1,ALKBH4,POLR2J	ORAI2	ORAI2	1.1272	49	1
3_MACS_peak_14205_lociStitched	chr20	52195057	52215569	3	20246	30091.104	50	1	ZNF217		ZNF217	ZNF217	0.4165	50	1
3_MACS_peak_15601_lociStitched	chr3	46389530	46414235	3	20193	48688.614	51	1	CCR2,CCR5	CCRL2	CCR2	CCR2	2.6615	51	1
5_MACS_peak_9402_lociStitched	chr17	38462925	38487392	5	20164	46198.5894	52	1	RARA	CDC6,RARA,GJD3	RARA	RARA	0.8749	52	1
7_MACS_peak_2732_lociStitched	chr10	45389552	45410741	7	20067	38595.7635	53	1	TMEM72,LOC220980	RASSF4	TMEM72	TMEM72	0.7775	53	1
3_MACS_peak_2049_lociStitched	chr1	206727710	206750834	3	20055	67494.3312	54	1	RASSF5	LGTN	RASSF5	RASSF5	0.8529	54	1
7_MACS_peak_12858_lociStitched	chr2	107102407	107129943	7	19818	34279.5664	55	1		RGPD3	RGPD3	RGPD3	0.0641	55	1
7_MACS_peak_7063_lociStitched	chr15	31615688	31647230	7	19710	50101.3128	56	1	KLF13		KLF13	KLF13	1.0072	56	1
4_MACS_peak_12564_lociStitched	chr2	68636259	68656982	4	19680	32332.0246	57	1		PLEK,APLF,FBXO48	FBXO48	PLEK	0.5973	57	1
5_MACS_peak_15594_lociStitched	chr3	46320273	46348354	5	19679	34427.306	58	1		CCR3,CCR2	CCR3	CCR2	2.6615	58	1
1_MACS_peak_18829_lociStitched	chr6	314834	334446	1	19613	61724.8476	59	1	DUSP22		DUSP22	DUSP22	2.5724	59	1
4_MACS_peak_15266_lociStitched	chr22	50962551	50983750	4	19591	66492.7834	60	1	NCAPH2,SCO2,TYMP,ODF3B	ADM2,MIOX,KLHDC7B,LOC100144603,SBF1,LMF2,C22orf41,CPT1B,CHKB	ODF3B	ODF3B	4.2134	60	1
6_MACS_peak_3948_lociStitched	chr11	63992621	64020360	6	19479	71569.3939	61	1	NUDT22,DNAJC4,VEGFB,FKBP2,PLCB3,TRPT1,PPP1R14B	STIP1,FERMT3,GPR137,KCNK4,C11orf20,BAD	FKBP2	FKBP2	3.4795	61	1
4_MACS_peak_4750_lociStitched	chr12	11900780	11920673	4	19465	25958.3757	62	1	ETV6		ETV6	ETV6	0.3121	62	1
6_MACS_peak_23315_lociStitched	chr9	134127325	134154522	6	19344	44295.7539	63	1	FAM78A	PPAPDC3	FAM78A	FAM78A	1.4942	63	1
13_MACS_peak_17588_lociStitched	chr4	190991390	191013931	13	19211	32815.1878	64	1	DUX4L6,DUX4L5,DUX2,DUX4L4,DUX4	DUX4L2,FRG2	DUX4L4	DUX4L2	1.3928	64	1
2_MACS_peak_18827_lociStitched	chr6	288919	309558	2	19184	107853.2223	65	1	DUSP22		DUSP22	DUSP22	2.5724	65	1
7_MACS_peak_7426_lociStitched	chr15	67369948	67396144	7	19121	32629.7376	66	1	SMAD3	SMAD3	SMAD3	SMAD3	0.3668	66	1
4_MACS_peak_2900_lociStitched	chr10	74075247	74097307	4	18847	47640.776	67	1	DNAJB12	DDIT4	DNAJB12	DDIT4	1.6486	67	1
4_MACS_peak_3892_lociStitched	chr11	62305396	62327475	4	18601	54226.024	68	1	AHNAK,EEF1G	TUT1,MTA2	AHNAK	MTA2	0.9541	68	1
7_MACS_peak_19595_lociStitched	chr6	52147862	52173805	7	18243	28698.1466	69	1	MCM3	IL17F	MCM3	MCM3	0.3253	69	1
2_MACS_peak_8679_lociStitched	chr16	79948387	79966681	2	18231	32808.4596	70	1			MAF	MAF	1.4012	70	1
4_MACS_peak_12146_lociStitched	chr2	20405087	20426347	4	18201	52189.048	71	1	SDC1		SDC1	SDC1	1.5664	71	1
4_MACS_peak_13642_lociStitched	chr2	236402292	236424114	4	18143	34496.2176	72	1	AGAP1		AGAP1	AGAP1	0.1337	72	1
8_MACS_peak_4686_lociStitched	chr12	7045695	7081137	8	18020	35916.9228	73	1	ATN1,C12orf57,PTPN6,MIR200C,MIR141,EMG1,PHB2,SCARNA12	LRRC23,ENO2,LPCAT3	PTPN6	PTPN6	1.0735	73	1
1_MACS_peak_2349_lociStitched	chr1	234733395	234751394	1	18000	95385.7005	74	1	IRF2BP2	NCRNA00184	IRF2BP2	IRF2BP2	5.9603	74	1
8_MACS_peak_1269_lociStitched	chr1	118186611	118209437	8	17918	26380.0082	75	1		FAM46C	FAM46C	FAM46C	1.033	75	1
5_MACS_peak_6791_lociStitched	chr14	94418639	94445805	5	17785	31860.2848	76	1	ASB2	FAM181A,C14orf48,OTUB2,C14orf86	ASB2	ASB2	0.6684	76	1
3_MACS_peak_20234_lociStitched	chr6	160389338	160411634	3	17701	35439.492	77	1	IGF2R		IGF2R	IGF2R	0.3395	77	1
3_MACS_peak_12799_lociStitched	chr2	97186287	97205989	3	17611	52273.3464	78	1	ARID5A	NEURL3	ARID5A	ARID5A	1.0096	78	1
3_MACS_peak_1742_lociStitched	chr1	167507551	167526049	3	17392	46585.3632	79	1	CREG1	CD247	CREG1	CREG1	2.0788	79	1
4_MACS_peak_15299_lociStitched	chr3	5223170	5247383	4	17240	38278.3317	80	1	EDEM1		EDEM1	EDEM1	0.9298	80	1
7_MACS_peak_2886_lociStitched	chr10	74003458	74024919	7	17197	28837.1457	81	1		ANAPC16,DDIT4,ASCC1	DDIT4	DDIT4	1.6486	81	1
7_MACS_peak_8517_lociStitched	chr16	67191398	67218500	7	17182	53298.7932	82	1	FBXL8,HSF4,NOL3,TRADD,KIAA0895L,EXOC3L	C16orf70,E2F4,ELMO3,TMEM208,B3GNT9,MIR328,LRRC29	NOL3	NOL3	1.355	82	1
3_MACS_peak_17937_lociStitched	chr5	60612816	60632694	3	17158	49965.3408	83	1	ZSWIM6		ZSWIM6	ZSWIM6	0.2467	83	1
2_MACS_peak_21459_lociStitched	chr7	150062799	150084022	2	17138	63473.7484	84	1	REPIN1,ZNF775	LRRC61,C7orf29,LOC728743,LOC285972,ACTR3C,RARRES2	ZNF775	LOC728743	1.6652	84	1
5_MACS_peak_8733_lociStitched	chr16	85632733	85651346	5	17105	32541.1079	85	1	KIAA0182		KIAA0182	KIAA0182	0.3543	85	1
4_MACS_peak_20208_lociStitched	chr6	158243950	158272336	4	17091	26001.576	86	1	SNX9		SNX9	SNX9	0.2651	86	1
4_MACS_peak_2970_lociStitched	chr10	81946684	81966194	4	17002	28287.549	87	1	ANXA11		ANXA11	ANXA11	0.5623	87	1
8_MACS_peak_11055_lociStitched	chr19	12885820	12918289	8	16932	43576.6449	88	1	JUNB,RNASEH2A,HOOK2,PRDX2	ASNA1,BEST2,MAST1,C19orf43,RTBDN	JUNB	JUNB	2.4123	88	1
4_MACS_peak_19311_lociStitched	chr6	31783405	31805233	4	16819	32311.9884	89	1	HSPA1A,HSPA1B,C6orf48,SNORD48,SNORD52	C6orf27,VARS,LSM2,HSPA1L,NEU1,SLC44A4	HSPA1B	HSPA1B	1.6609	89	1
7_MACS_peak_10438_lociStitched	chr18	46439307	46462829	7	16752	26215.269	90	1	SMAD7		SMAD7	SMAD7	1.3931	90	1
7_MACS_peak_17929_lociStitched	chr5	60556887	60577849	7	16577	26651.0868	91	1			ZSWIM6	ZSWIM6	0.2467	91	1
3_MACS_peak_23330_lociStitched	chr9	134597764	134616059	3	16484	45252.6825	92	1	RAPGEF1	RAPGEF1	RAPGEF1	RAPGEF1	0.4648	92	1
4_MACS_peak_13517_lociStitched	chr2	219735410	219763226	4	16369	33501.5904	93	1	WNT6,WNT10A	PRKAG3	WNT10A	WNT10A	1.263	93	1
5_MACS_peak_9081_lociStitched	chr17	16870180	16895287	5	16293	30522.5799	94	1	TNFRSF13B		TNFRSF13B	TNFRSF13B	0.2573	94	1
3_MACS_peak_10320_lociStitched	chr18	20803577	20823752	3	16193	26150.835	95	1	CABLES1		CABLES1	CABLES1	0.5096	95	1
9_MACS_peak_2875_lociStitched	chr10	73619716	73651003	9	16056	22783.1934	96	1		CDH23,PSAP	PSAP	PSAP	0.1514	96	1
5_MACS_peak_1600_lociStitched	chr1	156115779	156136509	5	16013	22585.335	97	1	SEMA4A	LMNA,SLC25A44,PMF1	SEMA4A	LMNA	1.1568	97	1
3_MACS_peak_1509_lociStitched	chr1	154370186	154394401	3	15919	50534.2835	98	1	IL6R		IL6R	IL6R	0.8922	98	1
1_MACS_peak_14995_lociStitched	chr22	38782195	38798104	1	15910	37079.1063	99	1	LOC400927	KCNJ4	LOC400927	LOC400927	0.6861	99	1
3_MACS_peak_17533_lociStitched	chr4	185324199	185345112	3	15908	19616.394	100	1	IRF2		IRF2	IRF2	0.6713	100	1
1_MACS_peak_13367_lociStitched	chr2	201979411	201995057	1	15647	46354.4042	101	1	CFLAR	NDUFB3,FAM126B	CFLAR	CFLAR	0.8921	101	1
5_MACS_peak_22415_lociStitched	chr8	145002326	145027980	5	15639	33837.626	102	1	PLEC,MIR661	GRINA,PARP10	PLEC	PARP10	1.8476	102	1
7_MACS_peak_8178_lociStitched	chr16	22195101	22219609	7	15607	32666.7132	103	1	EEF2K		EEF2K	EEF2K	0.1785	103	1
1_MACS_peak_4003_lociStitched	chr11	65183463	65198852	1	15390	89941.0105	104	1	NEAT1	FRMD8,MIR612,SLC25A45	NEAT1	NEAT1	5.64	104	1
4_MACS_peak_20565_lociStitched	chr7	34774016	34796692	4	15368	18664.6156	105	1	NPSR1,AAA1		AAA1	AAA1	0.0995	105	1
3_MACS_peak_4192_lociStitched	chr11	72850571	72869929	3	15342	37591.3002	106	1	FCHSD2		FCHSD2	FCHSD2	0.1272	106	1
5_MACS_peak_1595_lociStitched	chr1	156083212	156100389	5	15327	35485.9643	107	1	LMNA	SEMA4A,MEX3A	LMNA	LMNA	1.1568	107	1
5_MACS_peak_2094_lociStitched	chr1	209814622	209834704	5	15251	37195.8804	108	1	LAMB3	G0S2,HSD11B1,MIR4260	LAMB3	G0S2	1.1883	108	1
1_MACS_peak_5069_lociStitched	chr12	53590607	53605683	1	15077	28801.1904	109	1	ITGB7,RARG	ZNF740,MFSD5,CSAD	ITGB7	ITGB7	1.2004	109	1
4_MACS_peak_15039_lociStitched	chr22	39630785	39651934	4	15069	37829.2163	110	1	PDGFB		PDGFB	PDGFB	1.0693	110	1
4_MACS_peak_15854_lociStitched	chr3	69128149	69145672	4	14967	33822.8946	111	1	ARL6IP5,UBA3	MIR3136,TMF1,LMOD3	ARL6IP5	ARL6IP5	1.0711	111	1
6_MACS_peak_13461_lociStitched	chr2	216686319	216707279	6	14928	21446.272	112	1	LOC646324		LOC646324	LOC646324	0.1571	112	1
3_MACS_peak_23381_lociStitched	chr9	137281762	137300696	3	14914	50301.9578	113	1	RXRA		RXRA	RXRA	0.7328	113	1
3_MACS_peak_20515_lociStitched	chr7	29710878	29726172	3	14908	24542.2818	114	1	DPY19L2P3,LOC646762,LOC100271874		LOC646762	LOC646762	0.7193	114	1
4_MACS_peak_8271_lociStitched	chr16	29815432	29837266	4	14906	52043.5224	115	1	KIF22,MAZ,PRRT2,C16orf53,MVP	ZG16,LOC440356,CDIPT	C16orf53	C16orf53	1.2569	115	1
2_MACS_peak_9808_lociStitched	chr17	62195191	62210170	2	14830	30052.3677	116	1	ERN1	SNORD104,SNORA76	ERN1	ERN1	0.8883	116	1
2_MACS_peak_5662_lociStitched	chr12	123370554	123387012	2	14823	28019.745	117	1	VPS37B		VPS37B	VPS37B	0.785	117	1
4_MACS_peak_11966_lociStitched	chr19	56145740	56170499	4	14762	48955.9707	118	1	ZNF580,ZNF581,CCDC106,U2AF2	ZNF524,ZNF865,EPN1,FIZ1,ZNF784	CCDC106	CCDC106	1.8385	118	1
7_MACS_peak_10750_lociStitched	chr19	2607173	2632347	7	14758	29355.4014	119	1	GNG7		GNG7	GNG7	0.2898	119	1
3_MACS_peak_8666_lociStitched	chr16	79629074	79644617	3	14751	27209.5758	120	1	MAF		MAF	MAF	1.4012	120	1
2_MACS_peak_11493_lociStitched	chr19	39887772	39903914	2	14741	66735.8706	121	1	MED29,ZFP36,PLEKHG2	SUPT5H,PAF1,RPS16	ZFP36	ZFP36	4.691	121	1
8_MACS_peak_3260_lociStitched	chr10	119120011	119136047	8	14705	15833.9464	122	1	PDZD8		PDZD8	PDZD8	0.2051	122	1
4_MACS_peak_6880_lociStitched	chr14	103565743	103581625	4	14696	36547.6584	123	1	C14orf73	TNFAIP2,CDC42BPB	C14orf73	C14orf73	1.8199	123	1
2_MACS_peak_23738_lociStitched	chrX	39953157	39969639	2	14524	53174.2284	124	1	BCOR		BCOR	BCOR	0.6619	124	1
3_MACS_peak_15935_lociStitched	chr3	98479803	98495513	3	14514	18855.142	125	1	ST3GAL6		ST3GAL6	ST3GAL6	0.5992	125	1
4_MACS_peak_8080_lociStitched	chr16	11821546	11843133	4	14478	25712.2757	126	1	TXNDC11	ZC3H7A	TXNDC11	TXNDC11	0.6877	126	1
15_MACS_peak_17731_lociStitched	chr5	25434962	25456599	15	14430	10721.1335	127	1			CDH10	CDH10	NONE	127	1
4_MACS_peak_23549_lociStitched	chrX	7024851	7040271	4	14240	19153.182	128	1	HDHD1		HDHD1	HDHD1	0.4033	128	1
10_MACS_peak_3388_lociStitched	chr10	135477887	135495711	10	14221	25769.9392	129	1	DUX4L6,DUX4,DUX4L2,DUX2	DUX4L7,FRG2B	DUX4L7	FRG2B	0.0653	129	1
4_MACS_peak_6987_lociStitched	chr15	21914299	21933577	4	14155	20814.4566	130	1	LOC646214		LOC646214	LOC646214	0.6966	130	1
7_MACS_peak_10396_lociStitched	chr18	42279418	42297787	7	14021	14243.3226	131	1	SETBP1		SETBP1	SETBP1	0.309	131	1
7_MACS_peak_5326_lociStitched	chr12	92932281	92956053	7	14013	13961.2956	132	1			CLLU1OS	CLLU1OS	0.0673	132	1
2_MACS_peak_4778_lociStitched	chr12	12866216	12880263	2	13999	43830.8541	133	1	CDKN1B,APOLD1	MIR613,GPR19	CDKN1B	CDKN1B	2.9313	133	1
3_MACS_peak_13657_lociStitched	chr2	238599795	238614054	3	13944	23152.3383	134	1	LRRFIP1		LRRFIP1	LRRFIP1	0.1999	134	1
4_MACS_peak_10718_lociStitched	chr19	2080966	2097963	4	13861	34503.91	135	1	IZUMO4,MOBKL2A	MKNK2	MOBKL2A	MKNK2	1.303	135	1
16_MACS_peak_17167_lociStitched	chr4	96445485	96472103	16	13838	14466.883	136	1	UNC5C		UNC5C	UNC5C	0.073	136	1
2_MACS_peak_19051_lociStitched	chr6	20200354	20214240	2	13744	31598.9816	137	1	MBOAT1		MBOAT1	MBOAT1	0.3455	137	1
7_MACS_peak_7116_lociStitched	chr15	40389717	40409179	7	13673	21760.4622	138	1	BMF	BUB1B	BMF	BMF	0.7029	138	1
2_MACS_peak_4958_lociStitched	chr12	48200846	48215038	2	13622	43721.2944	139	1	HDAC7	SLC48A1,RAPGEF3	HDAC7	HDAC7	1.0342	139	1
6_MACS_peak_10727_lociStitched	chr19	2254848	2274311	6	13617	38632.1087	140	1	OAZ1,JSRP1	SF3A2,AMH,MIR4321,MIR1227,PLEKHJ1,C19orf35,LINGO3	OAZ1	OAZ1	1.8909	140	1
3_MACS_peak_728_lociStitched	chr1	40839170	40856330	3	13595	25292.124	141	1	SMAP2	SMAP2	SMAP2	SMAP2	0.4933	141	1
4_MACS_peak_11344_lociStitched	chr19	29068072	29083190	4	13528	19907.3824	142	1			LOC148145	LOC148145	NONE	142	1
1_MACS_peak_16320_lociStitched	chr3	151910581	151924096	1	13516	32564.3925	143	1			MBNL1	MBNL1	0.3308	143	1
3_MACS_peak_23232_lociStitched	chr9	130828450	130845324	3	13510	32399.7674	144	1	SLC25A25,NAIF1	SLC25A25,LOC389791,LOC100289019,PTGES2	SLC25A25	LOC389791	1.1332	144	1
2_MACS_peak_9257_lociStitched	chr17	29635817	29649455	2	13490	19236.399	145	1	NF1,EVI2B,EVI2A	OMG	EVI2B	EVI2B	0.7349	145	1
3_MACS_peak_23127_lociStitched	chr9	124100513	124114585	3	13435	20504.3112	146	1	STOM	GSN	STOM	STOM	0.7398	146	1
3_MACS_peak_23290_lociStitched	chr9	132643960	132659123	3	13426	36066.7118	147	1	USP20,FNBP1	C9orf78	USP20	C9orf78	0.6048	147	1
1_MACS_peak_1268_lociStitched	chr1	118168370	118181758	1	13389	24232.28	148	1	FAM46C		FAM46C	FAM46C	1.033	148	1
2_MACS_peak_12355_lociStitched	chr2	43439724	43456791	2	13343	57843.4764	149	1	LOC100129726,ZFP36L2		ZFP36L2	ZFP36L2	4.0038	149	1
4_MACS_peak_16444_lociStitched	chr3	177062501	177081036	4	13337	53480.889	150	1			TBL1XR1	TBL1XR1	0.6271	150	1
6_MACS_peak_14939_lociStitched	chr22	37607540	37627712	6	13332	21505.3692	151	1	SSTR3,RAC2	C1QTNF6	SSTR3	SSTR3	0.374	151	1
8_MACS_peak_3208_lociStitched	chr10	112169017	112185236	8	13277	13458.5262	152	1			DUSP5	DUSP5	0.865	152	1
1_MACS_peak_9756_lociStitched	chr17	57913758	57926995	1	13238	21061.3907	153	1	TMEM49,MIR21	RPS6KB1,TUBD1	MIR21	MIR21	1.5036	153	1
2_MACS_peak_23169_lociStitched	chr9	127621761	127637205	2	13150	55388.3616	154	1	ARPC5L,RPL35	WDR38	ARPC5L	ARPC5L	2.5179	154	1
6_MACS_peak_3229_lociStitched	chr10	112617080	112634895	6	13148	21160.657	155	1	PDCD4,LOC282997	SHOC2,NCRNA00081	LOC282997	LOC282997	1.2452	155	1
5_MACS_peak_11634_lociStitched	chr19	45241450	45259133	5	13142	39173.1499	156	1	BCL3	CEACAM16,CBLC	BCL3	BCL3	1.5139	156	1
2_MACS_peak_18967_lociStitched	chr6	11824829	11838236	2	13091	25175.6646	157	1		C6orf105	C6orf105	C6orf105	0.3054	157	1
4_MACS_peak_16322_lociStitched	chr3	151984239	152001779	4	13056	32317.45	158	1	MBNL1,LOC401093	MBNL1	LOC401093	LOC401093	1.6521	158	1
4_MACS_peak_22395_lociStitched	chr8	144594640	144611243	4	13009	22809.2014	159	1	ZC3H3	GSDMD,C8orf73,NAPRT1	ZC3H3	NAPRT1	0.9763	159	1
4_MACS_peak_8555_lociStitched	chr16	68278396	68299975	4	12956	32390.079	160	1	PLA2G15,SLC7A6	PRMT7,ESRP2,SLC7A6OS	SLC7A6	SLC7A6OS	0.4641	160	1
2_MACS_peak_18317_lociStitched	chr5	131790732	131804998	2	12954	37229.9802	161	1	C5orf56	IRF1	IRF1	IRF1	1.1165	161	1
1_MACS_peak_489_lociStitched	chr1	27018385	27031330	1	12946	59100.3975	162	1	ARID1A		ARID1A	ARID1A	0.8183	162	1
2_MACS_peak_1584_lociStitched	chr1	155938911	155952332	2	12941	69461.7276	163	1	ARHGEF2	RXFP4,SNORA42,SCARNA4,KIAA0907,SSR2	ARHGEF2	RXFP4	2.3979	163	1
9_MACS_peak_19982_lociStitched	chr6	128212923	128230103	9	12928	10543.366	164	1	THEMIS		THEMIS	THEMIS	0.0965	164	1
