GENE_ID	locusLine	bin_1_H929_jia.bam
NM_002249	chr1(.):154674914-154847754	0.7305
NM_170782	chr1(.):154674914-154837338	0.7281
NM_152280	chr1(.):155824259-155859990	0.7137
NM_005572	chr1(.):156079460-156112657	1.4215
NM_018489	chr1(.):155300051-155537324	0.2979
NM_170708	chr1(.):156079460-156114878	1.3568
NM_018116	chr1(.):155575006-155589758	0.6923
NM_178229	chr1(.):156490196-156547396	0.181
NM_005973	chr1(.):156732273-156775609	0.929
NM_005531	chr1(.):158974681-159029945	1.0757
NM_001135050	chr1(.):159891828-159920386	0.8975
NM_004371	chr1(.):160253376-160318354	0.5167
NM_012394	chr1(.):161065345-161092866	0.6782
NM_006182	chr1(.):162597227-162755247	0.185
NM_012474	chr1(.):165791889-165882339	0.6566
NM_052862	chr1(.):167594473-167680486	1.0065
NM_002697	chr1(.):167185065-167401582	0.247
NR_037163	chr1(.):167185122-167401582	0.2471
NM_018442	chr1(.):167900796-168050083	0.2906
NR_026550	chr1(.):167882309-167910380	1.0979
NM_001143674	chr1(.):167882309-167911278	1.0678
NM_015415	chr1(.):167882309-167910233	1.1027
NM_018122	chr1(.):173788796-173832682	0.5096
NM_172071	chr1(.):173895351-173967210	0.1207
NM_014412	chr1(.):174963891-174986163	0.7996
NM_014857	chr1(.):174123633-174932327	0.1672
NM_001007214	chr1(.):174963570-174986163	0.79
NM_145034	chr1(.):179804101-179851941	0.3574
NM_022347	chr1(.):179823164-179851941	0.5479
NM_015149	chr1(.):183600207-183902666	0.2413
NM_025191	chr1(.):184654624-184729041	1.982
NM_144977	chr1(.):197516384-197749623	0.1702
NM_001195215	chr1(.):197468878-197749623	0.15
NM_138795	chr1(.):202096976-202118866	0.3361
NM_001017403	chr1(.):202158117-202293889	0.0621
NM_021636	chr1(.):202167904-202293889	0.0623
NM_014827	chr1(.):203759750-203828256	0.1618
NM_182663	chr1(.):206675878-206767616	0.5472
NM_006147	chr1(.):209956261-209984479	0.1301
NM_016121	chr1(.):215735734-215800149	0.6798
NM_001143962	chr1(.):223709971-223858436	0.0249
NM_002221	chr1(.):226814390-226931876	0.7293
NM_004481	chr1(.):230197955-230422875	0.368
NM_032328	chr1(.):245128170-245256148	0.1919
NR_026588	chr1(.):245128630-245256148	0.192
NR_026587	chr1(.):245128630-245293530	0.1577
NR_026586	chr1(.):245128283-245293530	0.1577
NM_182838	chr1(.):1658680-1682431	0.4056
NM_001198995	chr1(.):1677670-1695081	0.1905
NM_002074	chr1(.):1711728-1827495	0.1892
NM_138705	chr1(.):1841265-1853733	0.3396
NM_178545	chr1(.):1844028-1855740	0.1427
NM_014638	chr1(.):2402753-2441964	0.0865
NM_001010926	chr1(.):2455183-2466684	1.2949
NR_026927	chr1(.):2476358-2489284	2.0803
NM_018216	chr1(.):2434974-2463035	0.7361
NM_001195741	chr1(.):2513188-2527908	0.522
NR_036638	chr1(.):2512898-2527908	0.5127
NM_014675	chr1(.):17243444-17304474	0.068
NM_001397	chr1(.):21538739-21621982	0.2721
NM_001113347	chr1(.):21538739-21611183	0.0469
NM_001113349	chr1(.):21538739-21621766	0.2643
NM_017707	chr1(.):23750055-23815750	0.0681
NM_002167	chr1(.):23879408-23891322	1.1677
NM_021258	chr1(.):24441260-24474611	0.0639
NR_027087	chr1(.):24521729-24543180	0.4637
NM_015627	chr1(.):25865075-25900377	1.1597
NM_017837	chr1(.):27109485-27129887	1.0739
NM_006015	chr1(.):27017521-27113601	0.9857
NM_032283	chr1(.):27148200-27187211	0.2424
NM_014280	chr1(.):28521789-28564542	0.2525
NM_016311	chr1(.):28557610-28569611	0.6926
NM_001164721	chr1(.):28468676-28525447	0.109
NM_001164722	chr1(.):28468676-28525437	0.109
NM_031459	chr1(.):28581005-28614002	0.4513
NR_003109	chr1(.):28874528-28910057	0.4868
NM_001269	chr1(.):28839744-28870708	0.1872
NM_003680	chr1(.):33235839-33288633	0.4967
NM_001198972	chr1(.):33226234-33245571	0.0535
NM_005202	chr1(.):36555843-36570850	0.0612
NM_018067	chr1(.):36616802-36651441	0.5106
NM_014408	chr1(.):36597172-36620067	0.3709
NM_206837	chr1(.):36888900-36921086	0.0848
NM_032881	chr1(.):36854030-36868493	0.6275
NM_001038633	chr1(.):38071950-38105491	0.0926
NM_017850	chr1(.):38142241-38161192	0.8731
NM_018101	chr1(.):38153158-38180391	0.4577
NR_002983	chr1(.):40028045-40038182	1.8641
NR_003929	chr1(.):39982951-40030370	0.5007
NM_014571	chr1(.):40084102-40110348	0.1375
NM_001135653	chr1(.):40021484-40047521	1.4893
NM_001195007	chr1(.):40199516-40234586	0.1706
NM_022120	chr1(.):40230196-40242020	1.1564
NM_004073	chr1(.):45261035-45276667	0.879
NM_001013632	chr1(.):45266585-45277957	0.7155
NM_001136537	chr1(.):45269153-45284801	0.507
NR_001456	chr1(.):45238513-45248584	1.2031
NR_001457	chr1(.):45239061-45249130	1.2036
NM_153274	chr1(.):45244256-45258426	0.0753
NM_003738	chr1(.):45282937-45313616	0.1914
NM_001012	chr1(.):45236245-45249412	0.9316
NR_000024	chr1(.):45237163-45247261	1.1987
NR_000015	chr1(.):45236536-45246610	1.1974
NM_001166292	chr1(.):45280515-45313616	0.1822
NM_001262	chr1(.):51429366-51445306	4.6972
NM_078626	chr1(.):51430641-51445309	5.1008
NM_006769	chr1(.):87789150-87819607	0.8254
NM_001127215	chr1(.):92935317-92954356	1.2191
NM_005263	chr1(.):92935317-92957433	1.1034
NM_001127216	chr1(.):92935317-92956628	1.1414
NM_133181	chr1(.):110287701-110311564	0.0418
NM_000849	chr1(.):110271553-110288660	0.0583
NM_004974	chr1(.):111140775-111153345	0.0639
NM_002232	chr1(.):111209309-111222655	1.1361
NM_001040033	chr1(.):111408820-111447558	0.5427
NM_000560	chr1(.):111410721-111447558	0.5693
NR_034126	chr1(.):112136628-112155940	0.8718
NM_006135	chr1(.):113157074-113219241	0.4572
NM_007158	chr1(.):115254536-115305624	1.2417
NM_002524	chr1(.):115242077-115264515	3.0667
NM_001172626	chr1(.):115210719-115243239	1.8816
NM_001007553	chr1(.):115254537-115305624	1.2416
NM_001130523	chr1(.):115254537-115305671	1.2405
NM_001102396	chr1(.):115307104-115328308	0.2937
NM_017709	chr1(.):118143603-118176011	2.3856
NM_001123068	chr1(.):143762143-143772881	0.0956
NR_027469	chr1(.):143713512-143749587	0.909
NR_027468	chr1(.):143713512-143749457	0.9115
NM_207418	chr1(.):143891451-143918143	1.1468
NM_032305	chr1(.):145451235-145475387	1.6696
NM_202004	chr1(.):145408190-145422545	0.152
NM_006472	chr1(.):145433461-145447628	2.8958
NM_001039888	chr1(.):145465507-145480647	1.4408
NM_003846	chr1(.):145511164-145528732	0.8467
NM_005105	chr1(.):145502637-145516444	1.7338
NM_001184795	chr1(.):145511559-145528732	0.8621
NM_003637	chr1(.):145519989-145548868	0.142
NM_144698	chr1(.):145544208-145573526	0.1302
NR_002328	chr1(.):145504819-145521076	1.7497
NM_005399	chr1(.):146621684-146649129	0.8509
NR_002305	chr1(.):146644429-146656528	0.6703
NR_027468	chr1(.):147901021-147936980	0.6615
NM_001161334	chr1(.):149749244-149788928	0.6427
NM_001034077	chr1(.):149799220-149809616	3.2924
NM_001005464	chr1(.):149807258-149817765	5.3279
NM_001040874	chr1(.):149808784-149819318	5.441
NM_001123375	chr1(.):149779779-149790236	1.5748
NM_000566	chr1(.):149749249-149769074	0.418
NM_005850	chr1(.):149890210-149904702	1.1842
NM_016074	chr1(.):149866154-149877348	0.2825
NM_003528	chr1(.):149851009-149863232	4.5746
NM_003517	chr1(.):149853524-149863961	5.3127
NM_175065	chr1(.):149854018-149864466	5.3012
NM_014849	chr1(.):149869871-149894434	0.1883
NM_181873	chr1(.):149895542-149913266	1.5186
NM_001145862	chr1(.):149895542-149913791	1.4803
NR_036461	chr1(.):149816758-149827340	5.677
NM_001040874	chr1(.):149817627-149828161	5.5673
NM_001005464	chr1(.):149819180-149829687	5.4607
NM_001034077	chr1(.):149827329-149837725	3.2989
NM_030920	chr1(.):150185716-150213504	0.9572
NM_001136479	chr1(.):150185716-150212026	1.0001
NM_012113	chr1(.):150225217-150242480	0.8318
NM_024579	chr1(.):150240182-150258335	0.721
NM_144697	chr1(.):150250228-150264501	0.1218
NM_004698	chr1(.):150288927-150330704	0.2417
NM_016022	chr1(.):150232798-150246532	0.9547
NM_019032	chr1(.):150516897-150538412	4.6332
NM_207046	chr1(.):150589598-150606609	1.4562
NM_207047	chr1(.):150590753-150606609	1.5495
NR_036211	chr1(.):150519404-150529490	0.4262
NM_001197320	chr1(.):150542026-150557214	3.7485
NM_178427	chr1(.):150777180-150854244	0.3873
NM_012432	chr1(.):150893814-150942220	0.2626
NM_001163258	chr1(.):150964300-150985854	1.3807
NM_181746	chr1(.):150932648-150952440	1.7029
NR_026977	chr1(.):150893824-150922797	0.3524
NM_003568	chr1(.):150949498-150973114	0.629
NM_001163260	chr1(.):150964300-150984273	1.4798
NM_001040217	chr1(.):150964300-150984385	1.4719
NM_020239	chr1(.):151018446-151037125	1.1969
NM_138278	chr1(.):151004028-151025076	0.2046
NM_006818	chr1(.):151027150-151045973	2.0071
NM_001178062	chr1(.):151099162-151124140	0.1173
NM_017860	chr1(.):151015258-151028871	0.3323
NM_144618	chr1(.):151038079-151096007	0.4042
NM_024575	chr1(.):151124104-151137225	0.2873
NM_001136543	chr1(.):151127223-151143424	0.6594
NM_001135636	chr1(.):151166020-151227007	0.3166
NM_013353	chr1(.):151137462-151153547	0.5042
NM_212551	chr1(.):151127223-151143370	0.661
NM_024041	chr1(.):151133516-151146614	0.6052
NM_005997	chr1(.):151143933-151167640	0.3495
NM_005620	chr1(.):151999981-152014511	2.6979
NM_002966	chr1(.):151950385-151971714	0.2014
NM_023015	chr1(.):153695566-153751555	0.4506
NM_024330	chr1(.):153742767-153757633	1.1827
NM_014437	chr1(.):153926587-153945188	2.9633
NM_130898	chr1(.):153935396-153951832	3.3063
NM_181715	chr1(.):153915151-153936043	2.3919
NM_006694	chr1(.):153941744-153955451	1.4301
NM_002870	chr1(.):153949127-153963806	1.9648
NM_014856	chr1(.):153896976-153924154	0.9237
NM_001030	chr1(.):153958238-153969631	1.4388
NM_001018837	chr1(.):154240038-154253355	1.1237
NM_001098616	chr1(.):154174182-154198273	2.3579
NM_001127320	chr1(.):154187654-154240980	0.8588
NM_001010979	chr1(.):154166847-154183809	1.2396
NR_030600	chr1(.):154161140-154171219	0.2512
NM_014847	chr1(.):154188324-154248329	1.0002
NM_020452	chr1(.):154295275-154328780	2.4313
NM_001005855	chr1(.):154293035-154315322	3.4864
NM_080429	chr1(.):154288591-154302801	5.2246
NM_001010846	chr1(.):154446953-154479526	0.148
NM_001098475	chr1(.):154469694-154525623	0.1445
NM_017582	chr1(.):154516050-154536120	1.2889
NM_001193495	chr1(.):154549533-154583776	0.7287
NM_001111	chr1(.):154549533-154585724	0.6954
NM_001025107	chr1(.):154549533-154605456	0.7538
NM_000748	chr1(.):154535256-154557353	0.1254
NM_006556	chr1(.):154892207-154914484	2.7181
NM_001130041	chr1(.):154929773-154951959	3.9002
NM_001130040	chr1(.):154929773-154948223	4.2531
NM_201398	chr1(.):154950769-154970587	0.5888
NM_015872	chr1(.):154970111-154995999	4.1013
NM_207196	chr1(.):155018761-155040252	1.302
NM_001184892	chr1(.):154950769-154966488	0.6705
NM_018655	chr1(.):154961061-154971791	0.7672
NM_001143687	chr1(.):155001281-155028406	0.6344
NR_024163	chr1(.):154942117-154956725	4.2097
NM_144622	chr1(.):154986002-155011257	0.1968
NM_138300	chr1(.):154924501-154939258	2.5895
NR_036212	chr1(.):154943168-154953259	4.2598
NM_001018017	chr1(.):155153299-155167700	0.7995
NM_198883	chr1(.):155173489-155188624	0.7098
NM_018973	chr1(.):155107366-155117883	2.9826
NM_153741	chr1(.):155107366-155117996	2.9519
NM_173852	chr1(.):155136883-155150804	1.2026
NM_004428	chr1(.):155095348-155112386	1.6092
NM_007112	chr1(.):155160378-155182690	0.9419
NM_001122837	chr1(.):155103287-155116334	2.5112
NM_025058	chr1(.):155141359-155162445	0.8318
NR_030281	chr1(.):155159967-155170063	1.0617
NM_014328	chr1(.):155289217-155305909	1.2907
NM_001039517	chr1(.):155285250-155298938	1.5512
NM_001005742	chr1(.):155199238-155219653	0.7755
NM_003993	chr1(.):155227658-155248281	1.3372
NM_181871	chr1(.):155254083-155275792	0.1761
NM_198264	chr1(.):155211995-155230274	1.1156
NM_052837	chr1(.):155220771-155237195	0.9865
NM_020897	chr1(.):155242373-155264638	0.8106
NM_001171812	chr1(.):155199238-155216066	0.9137
NM_000157	chr1(.):155199238-155216069	0.9136
NM_001105205	chr1(.):155288727-155305909	1.258
NM_001105204	chr1(.):155285639-155305909	1.086
NM_001135821	chr1(.):155273704-155295457	1.7651
NM_002004	chr1(.):155273538-155295457	1.7536
NM_005698	chr1(.):155220769-155237195	0.9864
NM_000298	chr1(.):155254083-155276225	0.1762
NR_030282	chr1(.):155311140-155321236	0.1029
NR_027023	chr1(.):155526771-155538735	2.6636
NM_001198905	chr1(.):155624232-155663568	0.7692
NM_001198899	chr1(.):155624232-155654620	0.126
NM_139118	chr1(.):155624232-155663823	0.765
NM_139121	chr1(.):155624232-155663764	0.766
NM_001198901	chr1(.):155624232-155663819	0.7651
NM_139119	chr1(.):155624232-155663565	0.7692
NM_001198904	chr1(.):155624232-155663447	0.7713
NM_004632	chr1(.):155653873-155713319	0.5746
NM_001198902	chr1(.):155624232-155663515	0.7701
NM_033657	chr1(.):155653873-155713317	0.5746
NM_032292	chr1(.):155729575-155831972	0.3303
NM_001037533	chr1(.):155714509-155831972	0.3892
NM_006912	chr1(.):155862600-155886177	0.441
NM_001162384	chr1(.):155911629-155953336	4.8132
NM_181885	chr1(.):155906479-155917625	4.0816
NM_004723	chr1(.):155911629-155952966	4.7768
NM_014949	chr1(.):155877835-155909188	0.9264
NR_002974	chr1(.):155884699-155894833	0.1582
NR_003005	chr1(.):155890748-155900877	0.2844
NM_020131	chr1(.):156000091-156028516	1.0613
NM_001093725	chr1(.):156036803-156056789	0.3852
NM_020387	chr1(.):156025965-156045295	0.1614
NM_001145264	chr1(.):156019516-156033301	1.9131
NM_003145	chr1(.):155973838-155995758	1.0932
NM_198406	chr1(.):156208208-156222792	2.3776
NM_014655	chr1(.):156158729-156187587	0.9693
NM_007221	chr1(.):156177783-156214833	2.4162
NM_022367	chr1(.):156118321-156152542	2.3555
NM_001193302	chr1(.):156118368-156152542	2.3508
NM_199173	chr1(.):156206950-156218112	2.9902
NM_024897	chr1(.):156208206-156222843	2.3704
NM_001193301	chr1(.):156114734-156152542	2.6506
NR_026678	chr1(.):156247703-156267234	1.3501
NM_032323	chr1(.):156249069-156267234	1.4353
NM_144580	chr1(.):156257483-156270449	0.3077
NM_001004319	chr1(.):156263414-156274428	0.321
NM_005920	chr1(.):156428518-156475529	5.6848
NM_006365	chr1(.):156369054-156404184	0.1461
NM_198427	chr1(.):156606739-156628264	0.4595
NM_001105669	chr1(.):156544518-156561562	0.4278
NM_144772	chr1(.):156556557-156569091	0.9814
NM_015590	chr1(.):156559279-156576270	1.1885
NM_021817	chr1(.):156584085-156600517	0.2108
NM_021948	chr1(.):156606739-156634320	4.3311
NM_004494	chr1(.):156706898-156726543	4.9812
NM_001126051	chr1(.):156706898-156727024	4.8647
NM_001126050	chr1(.):156706898-156727240	4.8145
NM_030980	chr1(.):156687412-156702705	1.7543
NM_001878	chr1(.):156664407-156680375	0.1294
NM_001142560	chr1(.):156693262-156711752	2.2713
NM_145729	chr1(.):156702093-156715923	1.5174
NM_006617	chr1(.):156633555-156652189	5.3923
NM_003975	chr1(.):156771034-156791640	0.4232
NM_001161443	chr1(.):156771034-156790939	0.4366
NM_001007792	chr1(.):156780541-156856642	0.2122
NR_001560	chr1(.):157093153-157103463	0.8468
NM_005240	chr1(.):157097975-157113177	2.3722
NM_001145312	chr1(.):157089458-157113383	1.5728
NM_001004341	chr1(.):157056834-157074600	0.186
NM_031281	chr1(.):157478166-157527310	0.8561
NM_004833	chr1(.):159027274-159051647	1.3575
NM_003564	chr1(.):159882902-159900284	1.4668
NM_001013661	chr1(.):159819105-159837447	0.6313
NM_012337	chr1(.):159837153-159874906	0.2909
NM_001146172	chr1(.):159916281-159929044	0.0756
NM_015726	chr1(.):160180504-160237350	0.5641
NM_001193644	chr1(.):160241598-160259941	0.4342
NR_028106	chr1(.):160204011-160237277	0.8615
NR_028105	chr1(.):160204011-160237318	0.8605
NR_002190	chr1(.):160282054-160293260	0.1298
NR_028104	chr1(.):160180504-160237318	0.5644
NM_005598	chr1(.):160331860-160347638	0.2235
NM_015331	chr1(.):160308062-160333742	0.9502
NM_001184879	chr1(.):160505883-160554306	0.2252
NM_001778	chr1(.):160643535-160686585	2.559
NM_003037	chr1(.):160574890-160622081	0.6437
NM_021181	chr1(.):160704076-160729601	2.2353
NM_001033667	chr1(.):160760927-160777483	1.93
NM_002348	chr1(.):160760927-160803045	0.8638
NM_152366	chr1(.):161063180-161075138	0.3835
NM_030916	chr1(.):161035780-161064385	0.8641
NM_007122	chr1(.):161004040-161020757	1.853
NM_001113205	chr1(.):161002421-161013774	0.8084
NR_033385	chr1(.):161063150-161075138	0.3829
NM_181720	chr1(.):161011731-161044760	1.5795
NM_016946	chr1(.):160960000-160996133	0.6086
NM_001077470	chr1(.):161194455-161213000	1.0392
NM_001039711	chr1(.):161085768-161107478	1.3705
NM_016406	chr1(.):161118533-161133646	1.8957
NM_004550	chr1(.):161164104-161189184	0.8757
NM_000309	chr1(.):161131180-161146010	1.9978
NM_001643	chr1(.):161187082-161198418	1.8045
NM_001185094	chr1(.):161082907-161095984	1.0076
NM_003779	chr1(.):161136100-161152314	3.9018
NM_012475	chr1(.):161124253-161140516	1.8114
NM_001039712	chr1(.):161085768-161107256	1.3834
NM_005600	chr1(.):161082861-161095984	1.0051
NM_001185093	chr1(.):161082906-161095984	1.0075
NM_032174	chr1(.):161190832-161205407	1.3146
NM_001166159	chr1(.):161166936-161189184	0.9629
NM_005099	chr1(.):161154537-161173845	3.1771
NM_004106	chr1(.):161180086-161194038	0.4457
NM_001127593	chr1(.):161506550-161525413	0.3192
NM_001127592	chr1(.):161506550-161524818	0.3262
NM_201563	chr1(.):161546128-161575032	0.1513
NM_002155	chr1(.):161489035-161501687	1.1288
NM_003115	chr1(.):162526295-162574633	5.2665
NM_000696	chr1(.):165626448-165672900	0.3701
NM_019026	chr1(.):165688527-165743135	1.5027
NM_001146191	chr1(.):167686186-167766156	0.2051
NM_018417	chr1(.):167773624-167888453	0.1005
NM_181093	chr1(.):169816803-169868076	0.493
NM_014283	chr1(.):172497259-172585973	0.3845
NM_016227	chr1(.):172497316-172585973	0.3846
NM_001127181	chr1(.):173763687-173798777	0.584
NM_001171182	chr1(.):173763687-173798270	0.5916
NM_014458	chr1(.):173679079-173760840	0.566
NM_001122770	chr1(.):173832492-173860774	1.153
NR_003943	chr1(.):173830448-173840509	3.0971
NR_003942	chr1(.):173830772-173840853	3.0957
NR_003941	chr1(.):173831016-173841076	3.1018
NR_003940	chr1(.):173828970-173839041	3.0767
NR_003939	chr1(.):173829487-173839568	3.0899
NR_002579	chr1(.):173831811-173841883	3.0774
NR_003938	chr1(.):173828312-173838355	2.9998
NR_002750	chr1(.):173830105-173840166	3.0969
NR_002746	chr1(.):173828506-173838583	3.0321
NM_000488	chr1(.):173867941-173891516	0.1004
NR_003944	chr1(.):173829770-173839824	3.0988
NM_032522	chr1(.):173832492-173847778	2.0455
NR_037605	chr1(.):173827385-173838079	2.691
NR_002578	chr1(.):173828038-173842125	2.2598
NM_022100	chr1(.):174977093-174997591	0.3171
NM_001162893	chr1(.):175121122-175167229	0.4933
NM_014656	chr1(.):175121122-175166949	0.496
NM_022371	chr1(.):179046111-179070129	1.5332
NM_015602	chr1(.):179846419-179894211	0.4934
NM_021133	chr1(.):182537771-182561108	0.2762
NM_002928	chr1(.):182562757-182578548	1.4082
NM_001102450	chr1(.):182610791-182647067	0.133
NR_036490	chr1(.):182579274-182590764	1.6569
NM_001195216	chr1(.):197698138-197749623	0.5825
NM_005298	chr1(.):200837165-200848251	1.2628
NM_018265	chr1(.):200855638-200889864	0.863
NM_001142569	chr1(.):200858998-200889864	0.4699
NM_017596	chr1(.):200933519-200997828	1.2366
NM_004767	chr1(.):202087028-202103634	0.0543
NM_080588	chr1(.):202111142-202134119	1.133
NR_002930	chr1(.):202132178-202163577	0.0684
NM_002832	chr1(.):202111142-202134751	1.1041
NR_034150	chr1(.):203262885-203279453	4.0499
NM_003465	chr1(.):203180206-203203860	0.059
NM_006763	chr1(.):203269663-203283729	3.7772
NM_002023	chr1(.):203304751-203325289	0.1218
NR_003019	chr1(.):203693708-203703833	0.0666
NM_001136190	chr1(.):203729283-203750480	1.0779
NM_001174108	chr1(.):203761650-203774590	0.584
NM_014858	chr1(.):205192037-205247471	0.1076
NM_030952	chr1(.):205266190-205295883	0.2293
NM_001123168	chr1(.):206133910-206160074	1.0935
NM_001004023	chr1(.):206803880-206827542	0.1574
NM_006893	chr1(.):206759973-206790904	0.1431
NM_182665	chr1(.):206725491-206767616	1.1076
NM_032960	chr1(.):206853288-206912626	1.2309
NM_000572	chr1(.):206935947-206950839	0.3204
NR_026817	chr1(.):207986723-208000941	1.7004
NR_029832	chr1(.):207970196-207980284	0.1278
NR_029518	chr1(.):207970787-207980868	0.1141
NM_152485	chr1(.):209950661-209962890	0.2388
NM_005525	chr1(.):209873190-209913295	0.064
NM_025228	chr1(.):209924393-209960668	0.9666
NM_001136224	chr1(.):211427707-211494725	0.3409
NM_018254	chr1(.):211428288-211494725	0.3435
NM_001136225	chr1(.):211427707-211491655	0.3545
NM_001748	chr1(.):223895118-223968720	0.5215
NM_001146068	chr1(.):223884294-223968720	0.4635
NM_020997	chr1(.):226068981-226081836	1.3602
NM_014698	chr1(.):226028232-226075420	0.5766
NM_001172425	chr1(.):226119297-226134083	2.1795
NM_013328	chr1(.):226102579-226116965	0.7316
NR_002315	chr1(.):226245427-226264703	1.0777
NM_002107	chr1(.):226245420-226264703	1.0773
NM_181441	chr1(.):228289379-228302013	0.8541
NR_037415	chr1(.):228279963-228290042	0.1327
NM_001024227	chr1(.):228265850-228291913	1.1371
NM_001024226	chr1(.):228265360-228291913	1.1172
NM_024319	chr1(.):228283427-228296022	0.4172
NM_001159390	chr1(.):228322928-228341655	0.7061
NM_003493	chr1(.):228607545-228618026	0.0434
NM_033445	chr1(.):228640064-228650560	0.7951
NM_001010858	chr1(.):228670067-228688889	2.202
NM_175055	chr1(.):228640807-228651259	0.8879
NM_182972	chr1(.):234735014-234750271	3.6389
NR_033927	chr1(.):234760056-234775526	0.0442
NM_031844	chr1(.):245008601-245032827	0.8776
NM_198076	chr1(.):244993638-245013359	1.131
NR_026778	chr1(.):244998939-245015243	0.3908
NM_001083590	chr2(.):27250773-27269565	0.4473
NM_138394	chr2(.):38785327-38835178	1.3893
NM_020458	chr2(.):47163312-47308275	0.4089
NR_033872	chr2(.):70184394-70319147	0.3307
NM_016466	chr2(.):97508723-97528756	0.3261
NR_015395	chr2(.):112119590-112257692	0.6511
NR_024373	chr2(.):112181885-112257692	1.1182
NM_001099289	chr2(.):109740996-110267207	0.1773
NM_021141	chr2(.):216969019-217076016	0.2914
NM_015488	chr2(.):219130114-219216516	0.2409
NM_001012514	chr2(.):231724620-231748963	0.8961
NM_005336	chr2(.):242161678-242260254	0.4047
NM_001037131	chr2(.):236397735-237039120	0.0716
NM_145693	chr2(.):11881739-11972533	0.4857
NM_006449	chr2(.):37865742-37904326	1.0436
NM_138801	chr2(.):38888051-38966909	0.7408
NM_012249	chr2(.):46764866-46816827	1.0115
NM_001190274	chr2(.):48029058-48137932	0.2235
NM_025133	chr2(.):48029058-48120858	0.0588
NM_178313	chr2(.):54780530-54894445	0.3649
NM_003128	chr2(.):54678453-54903583	0.2307
NM_001198954	chr2(.):86725552-86953245	0.2278
NR_024204	chr2(.):87749973-87826030	1.3932
NM_004836	chr2(.):88851258-88932094	1.9552
NM_004027	chr2(.):99056320-99212496	1.5627
NM_001566	chr2(.):99056320-99203284	1.6554
NM_145687	chr2(.):102309487-102516152	0.1728
NM_003581	chr2(.):106356519-106515730	0.3256
NR_029399	chr2(.):113912420-114210429	0.2089
NM_005721	chr2(.):114642536-114721167	0.3228
NM_001040142	chr2(.):166090911-166253820	0.0839
NM_001077269	chr2(.):175419301-175552627	0.427
NM_006164	chr2(.):178090032-178134859	0.5009
NM_001145413	chr2(.):178090032-178133617	0.513
NM_017694	chr2(.):191268080-191372041	0.4318
NM_014905	chr2(.):191740546-191834776	0.3622
NR_024415	chr2(.):192537797-192558248	0.9839
NM_001031716	chr2(.):192537860-192558248	0.9868
NM_004226	chr2(.):196993306-197041336	1.3919
NM_001228	chr2(.):202093165-202157434	0.8835
NM_003879	chr2(.):201975889-202034003	1.4405
NM_001127184	chr2(.):201975815-202011323	2.2771
NM_173822	chr2(.):201833440-201941392	0.1663
NM_033358	chr2(.):202093165-202151638	0.9666
NM_018441	chr2(.):216898110-216951539	0.1688
NM_001167608	chr2(.):227695670-227868923	0.1056
NM_152383	chr2(.):232821292-233206908	0.1394
