GENE_ID	locusLine	bin_1_05_0EWR_0229Kronos_MM1S-KB-3hr-1_H3K18Ac_hs-dm_i07.bam
NM_001198995	chr1(.):1677670-1695081	0.2346
NM_001010926	chr1(.):2455183-2466684	0.2993
NR_026927	chr1(.):2476358-2489284	1.3693
NM_018216	chr1(.):2434974-2463035	0.1455
NM_001195741	chr1(.):2513188-2527908	0.2742
NR_036638	chr1(.):2512898-2527908	0.2696
NM_001229	chr1(.):15813768-15855940	0.1437
NM_032996	chr1(.):15813768-15856285	0.1426
NM_024758	chr1(.):15894151-15916605	0.5736
NM_032341	chr1(.):15938952-15992552	0.1385
NM_014675	chr1(.):17243444-17304474	0.113
NM_001397	chr1(.):21538739-21621982	0.3558
NM_001113347	chr1(.):21538739-21611183	0.0795
NM_001113349	chr1(.):21538739-21621766	0.353
NM_017707	chr1(.):23750055-23815750	0.0742
NM_002167	chr1(.):23879408-23891322	0.5455
NR_027042	chr1(.):23948823-23972056	0.2416
NM_021258	chr1(.):24441260-24474611	0.112
NR_027087	chr1(.):24521729-24543180	0.5704
NM_001199013	chr1(.):24678488-24745262	0.3034
NM_001199012	chr1(.):24678488-24746587	0.2992
NM_015484	chr1(.):25543766-25564013	0.2385
NM_001127691	chr1(.):25593980-25661936	0.1172
NM_020317	chr1(.):25563739-25578985	0.5818
NM_015627	chr1(.):25865075-25900377	0.6872
NR_026685	chr1(.):26432655-26457026	0.4933
NM_152835	chr1(.):26433267-26457026	0.5037
NM_032588	chr1(.):26372797-26399121	0.073
NM_024869	chr1(.):26480510-26494119	0.1245
NM_015871	chr1(.):26491387-26502364	0.2089
NM_017837	chr1(.):27109485-27129887	0.9616
NM_006015	chr1(.):27017521-27113601	0.556
NM_018066	chr1(.):27200872-27221869	0.199
NM_032283	chr1(.):27148200-27187211	0.3872
NM_006142	chr1(.):27184632-27195947	1.3387
NM_014280	chr1(.):28521789-28564542	0.1974
NM_016311	chr1(.):28557610-28569611	0.5251
NM_001164721	chr1(.):28468676-28525447	0.1294
NM_001164722	chr1(.):28468676-28525437	0.1294
NM_031459	chr1(.):28581005-28614002	0.1332
NM_006762	chr1(.):31200314-31235683	1.7971
NM_001625	chr1(.):33471825-33507512	0.1123
NM_005202	chr1(.):36555843-36570850	0.0763
NM_018067	chr1(.):36616802-36651441	0.4038
NM_014408	chr1(.):36597172-36620067	0.4053
NM_022756	chr1(.):37953175-37985364	0.1569
NM_025079	chr1(.):37935118-37954978	0.8343
NR_002983	chr1(.):40028045-40038182	0.7258
NR_003929	chr1(.):39982951-40030370	0.2447
NM_001135653	chr1(.):40021484-40047521	0.5388
NM_001198979	chr1(.):40854016-40893998	0.148
NM_001198978	chr1(.):40835304-40893998	0.3705
NM_001198980	chr1(.):40857471-40893998	0.1
NM_022733	chr1(.):40834377-40893998	0.3664
NM_006004	chr1(.):46764379-46787447	0.5101
NM_006369	chr1(.):46739071-46774038	0.3574
NM_199044	chr1(.):46801389-46835690	0.2271
NM_001037339	chr1(.):66792792-66845262	0.7277
NM_001001933	chr1(.):75589118-75632218	0.7797
NM_006769	chr1(.):87789150-87819607	0.4839
NM_004974	chr1(.):111140775-111153345	0.0615
NM_002232	chr1(.):111209309-111222655	0.8458
NM_001025199	chr1(.):111767332-111791062	0.053
NM_001025197	chr1(.):111765280-111791062	0.0632
NM_024901	chr1(.):111724800-111748281	0.1844
NR_034126	chr1(.):112136628-112155940	0.8927
NM_007158	chr1(.):115254536-115305624	0.1608
NM_002524	chr1(.):115242077-115264515	0.4228
NM_001172626	chr1(.):115210719-115243239	0.2908
NM_001130523	chr1(.):115254537-115305671	0.1607
NM_001779	chr1(.):117052155-117118715	0.2709
NM_001144822	chr1(.):117056321-117118715	0.2739
NM_017709	chr1(.):118143603-118176011	2.3903
NM_207418	chr1(.):143891451-143918143	0.5573
NM_032305	chr1(.):145451235-145475387	1.3033
NM_202004	chr1(.):145408190-145422545	0.1249
NM_006472	chr1(.):145433461-145447628	1.8443
NM_001039888	chr1(.):145465507-145480647	0.3722
NM_003846	chr1(.):145511164-145528732	0.608
NM_005105	chr1(.):145502637-145516444	1.1533
NM_001184795	chr1(.):145511559-145528732	0.6215
NM_003637	chr1(.):145519989-145548868	0.1084
NM_144698	chr1(.):145544208-145573526	0.1619
NR_002328	chr1(.):145504819-145521076	1.0743
NR_024442	chr1(.):146485894-146519599	0.489
NM_001161334	chr1(.):149749244-149788928	0.3344
NM_001034077	chr1(.):149799220-149809616	1.1398
NM_001005464	chr1(.):149807258-149817765	2.222
NM_001040874	chr1(.):149808784-149819318	2.214
NM_001123375	chr1(.):149779779-149790236	0.7775
NM_000566	chr1(.):149749249-149769074	0.2221
NM_005850	chr1(.):149890210-149904702	0.9177
NM_016074	chr1(.):149866154-149877348	0.4287
NM_003528	chr1(.):149851009-149863232	2.0261
NM_003517	chr1(.):149853524-149863961	2.3493
NM_175065	chr1(.):149854018-149864466	2.342
NM_014849	chr1(.):149869871-149894434	0.2368
NM_181873	chr1(.):149895542-149913266	0.9856
NM_001145862	chr1(.):149895542-149913791	0.9578
NR_036461	chr1(.):149816758-149827340	2.0482
NM_001040874	chr1(.):149817627-149828161	2.0602
NM_001005464	chr1(.):149819180-149829687	2.0583
NM_001034077	chr1(.):149827329-149837725	1.0655
NM_016274	chr1(.):150117169-150136825	0.993
NM_019032	chr1(.):150516897-150538412	1.8426
NM_207046	chr1(.):150589598-150606609	0.6315
NR_036211	chr1(.):150519404-150529490	0.1706
NM_001197320	chr1(.):150542026-150557214	0.9943
NM_001163258	chr1(.):150964300-150985854	0.4591
NM_001163260	chr1(.):150964300-150984273	0.4887
NM_001040217	chr1(.):150964300-150984385	0.4864
NM_020239	chr1(.):151018446-151037125	0.7774
NM_138278	chr1(.):151004028-151025076	0.1723
NM_006818	chr1(.):151027150-151045973	1.6899
NM_017860	chr1(.):151015258-151028871	0.3021
NM_144618	chr1(.):151038079-151096007	0.41
NM_001083964	chr1(.):151740954-151768010	0.2636
NM_001004432	chr1(.):151767764-151782882	0.1342
NM_001136003	chr1(.):151805338-151818033	0.8438
NM_182578	chr1(.):151814576-151831173	0.1774
NM_053055	chr1(.):151841059-151887113	0.2311
NR_024237	chr1(.):151805944-151821641	0.7642
NM_005620	chr1(.):151999981-152014511	1.371
NM_002966	chr1(.):151950385-151971714	0.2633
NM_001008536	chr1(.):152051619-152066540	0.0679
NM_023015	chr1(.):153695566-153751555	0.298
NM_024330	chr1(.):153742767-153757633	0.8147
NM_014437	chr1(.):153926587-153945188	1.1817
NM_130898	chr1(.):153935396-153951832	1.2667
NM_181715	chr1(.):153915151-153936043	1.0149
NM_006694	chr1(.):153941744-153955451	0.4887
NM_002870	chr1(.):153949127-153963806	0.7206
NM_014856	chr1(.):153896976-153924154	0.4805
NM_001030	chr1(.):153958238-153969631	0.4881
NM_020452	chr1(.):154295275-154328780	1.2002
NM_001005855	chr1(.):154293035-154315322	1.6448
NM_080429	chr1(.):154288591-154302801	2.4536
NM_006556	chr1(.):154892207-154914484	1.8563
NM_001130041	chr1(.):154929773-154951959	1.69
NM_001130040	chr1(.):154929773-154948223	1.8986
NM_201398	chr1(.):154950769-154970587	0.3221
NM_015872	chr1(.):154970111-154995999	1.0281
NM_207196	chr1(.):155018761-155040252	0.4414
NM_001184892	chr1(.):154950769-154966488	0.3501
NM_018655	chr1(.):154961061-154971791	0.2311
NM_001143687	chr1(.):155001281-155028406	0.3369
NR_024163	chr1(.):154942117-154956725	1.7638
NM_144622	chr1(.):154986002-155011257	0.3395
NM_138300	chr1(.):154924501-154939258	2.1787
NR_036212	chr1(.):154943168-154953259	2.0926
NM_001018017	chr1(.):155153299-155167700	0.2575
NM_198883	chr1(.):155173489-155188624	0.516
NM_007112	chr1(.):155160378-155182690	0.4244
NR_030281	chr1(.):155159967-155170063	0.2098
NM_001005742	chr1(.):155199238-155219653	0.4904
NM_003993	chr1(.):155227658-155248281	0.5254
NM_181871	chr1(.):155254083-155275792	0.1437
NM_198264	chr1(.):155211995-155230274	0.631
NM_052837	chr1(.):155220771-155237195	0.3675
NM_020897	chr1(.):155242373-155264638	0.3575
NM_001171812	chr1(.):155199238-155216066	0.5739
NM_000157	chr1(.):155199238-155216069	0.5738
NM_001135821	chr1(.):155273704-155295457	0.7758
NM_002004	chr1(.):155273538-155295457	0.7706
NM_005698	chr1(.):155220769-155237195	0.3674
NM_000298	chr1(.):155254083-155276225	0.1427
NM_006912	chr1(.):155862600-155886177	0.1808
NM_001162384	chr1(.):155911629-155953336	1.2341
NM_181885	chr1(.):155906479-155917625	1.0509
NM_004723	chr1(.):155911629-155952966	1.2391
NM_014949	chr1(.):155877835-155909188	0.3986
NR_002974	chr1(.):155884699-155894833	0.1289
NR_003005	chr1(.):155890748-155900877	0.0981
NM_020131	chr1(.):156000091-156028516	0.3035
NM_001093725	chr1(.):156036803-156056789	0.145
NM_020387	chr1(.):156025965-156045295	0.1047
NM_001145264	chr1(.):156019516-156033301	0.4879
NM_003145	chr1(.):155973838-155995758	0.4121
NM_014655	chr1(.):156158729-156187587	0.5753
NM_007221	chr1(.):156177783-156214833	0.7377
NM_022367	chr1(.):156118321-156152542	2.2222
NM_001193302	chr1(.):156118368-156152542	2.2235
NM_001193301	chr1(.):156114734-156152542	2.1556
NM_005920	chr1(.):156428518-156475529	1.0006
NM_198427	chr1(.):156606739-156628264	0.1519
NM_021817	chr1(.):156584085-156600517	0.1245
NM_021948	chr1(.):156606739-156634320	0.7828
NM_004494	chr1(.):156706898-156726543	1.367
NM_001126051	chr1(.):156706898-156727024	1.3373
NM_001126050	chr1(.):156706898-156727240	1.3235
NM_030980	chr1(.):156687412-156702705	0.3943
NM_001878	chr1(.):156664407-156680375	0.1177
NM_001142560	chr1(.):156693262-156711752	0.7558
NM_145729	chr1(.):156702093-156715923	0.6958
NM_006617	chr1(.):156633555-156652189	0.2313
NR_001560	chr1(.):157093153-157103463	0.1239
NM_005240	chr1(.):157097975-157113177	0.7428
NM_001145312	chr1(.):157089458-157113383	0.5157
NM_004833	chr1(.):159027274-159051647	0.8764
NM_001778	chr1(.):160643535-160686585	1.2614
NM_003037	chr1(.):160574890-160622081	0.2202
NM_021181	chr1(.):160704076-160729601	1.1919
NM_001077470	chr1(.):161194455-161213000	0.4468
NM_001039711	chr1(.):161085768-161107478	0.7599
NM_016406	chr1(.):161118533-161133646	1.3045
NM_004550	chr1(.):161164104-161189184	0.6649
NM_000309	chr1(.):161131180-161146010	0.5457
NM_001643	chr1(.):161187082-161198418	0.8965
NM_001185094	chr1(.):161082907-161095984	0.3327
NM_003779	chr1(.):161136100-161152314	1.3077
NM_012475	chr1(.):161124253-161140516	0.7791
NM_001039712	chr1(.):161085768-161107256	0.7666
NM_005600	chr1(.):161082861-161095984	0.3316
NM_001185093	chr1(.):161082906-161095984	0.3327
NM_032174	chr1(.):161190832-161205407	0.5583
NM_001166159	chr1(.):161166936-161189184	0.7147
NM_005099	chr1(.):161154537-161173845	1.2249
NM_004106	chr1(.):161180086-161194038	0.508
NM_001102566	chr1(.):161223516-161260240	0.1111
NM_001146191	chr1(.):167686186-167766156	0.1754
NR_030284	chr1(.):168339761-168349859	0.1062
NM_181093	chr1(.):169816803-169868076	0.4915
NM_002021	chr1(.):171212662-171260113	0.5006
NR_033186	chr1(.):178506930-178523024	0.3751
NM_016545	chr1(.):181052637-181064979	0.7614
NM_001127651	chr1(.):183519696-183565056	0.3608
NM_001190794	chr1(.):183519696-183564739	0.362
NM_005717	chr1(.):183590331-183609985	0.5224
NM_030934	chr1(.):185082217-185131116	0.3753
NM_002927	chr1(.):192600281-192634389	0.1011
NM_002922	chr1(.):192539856-192554159	1.5933
NM_001195216	chr1(.):197698138-197749623	0.6638
NM_001031725	chr1(.):200608164-200644126	0.4176
NM_005298	chr1(.):200837165-200848251	0.2078
NM_018265	chr1(.):200855638-200889864	0.9661
NM_001142569	chr1(.):200858998-200889864	0.9437
NM_017596	chr1(.):200933519-200997828	0.3817
NR_034150	chr1(.):203262885-203279453	3.0763
NM_003465	chr1(.):203180206-203203860	0.149
NM_006763	chr1(.):203269663-203283729	2.036
NM_002023	chr1(.):203304751-203325289	0.1728
NR_003019	chr1(.):203693708-203703833	0.1556
NM_001136190	chr1(.):203729283-203750480	1.4134
NM_001174108	chr1(.):203761650-203774590	0.4832
NM_002646	chr1(.):204386757-204464474	0.1777
NM_002393	chr1(.):204480510-204532248	0.7765
NM_014858	chr1(.):205192037-205247471	0.5469
NM_018203	chr1(.):205300647-205331039	0.2076
NM_030952	chr1(.):205266190-205295883	0.5146
NM_001123168	chr1(.):206133910-206160074	0.5417
NM_000707	chr1(.):206219282-206236482	0.2338
NM_001007544	chr1(.):206233871-206293647	1.2723
NM_148964	chr1(.):206312458-206337104	0.1563
NM_006893	chr1(.):206759973-206790904	0.1759
NM_182665	chr1(.):206725491-206767616	1.1094
NM_000572	chr1(.):206935947-206950839	0.5157
NM_013371	chr1(.):206997221-207021325	0.3337
NM_001185157	chr1(.):207065787-207082484	0.1068
NM_153758	chr1(.):206967214-207021324	0.4649
NM_018724	chr1(.):207034153-207047568	0.1321
NM_002644	chr1(.):207096866-207124811	0.3319
NM_001170631	chr1(.):207126311-207148970	0.124
NR_026817	chr1(.):207986723-208000941	0.9063
NR_029832	chr1(.):207970196-207980284	0.3708
NR_029518	chr1(.):207970787-207980868	0.5009
NM_152485	chr1(.):209950661-209962890	0.4536
NM_005525	chr1(.):209873190-209913295	0.1231
NM_025228	chr1(.):209924393-209960668	1.013
NM_004619	chr1(.):211494956-211553286	0.552
NM_145759	chr1(.):211514705-211553286	0.3637
NM_001033910	chr1(.):211495147-211553286	0.5533
NM_183059	chr1(.):211644863-211671259	0.1242
NR_026761	chr1(.):211551096-211610877	0.4146
NM_021194	chr1(.):211743380-211757099	1.139
NM_001748	chr1(.):223895118-223968720	0.3758
NM_001146068	chr1(.):223884294-223968720	0.3497
NM_001136018	chr1(.):225992796-226038262	0.2082
NM_000120	chr1(.):226008001-226038262	0.2086
NM_020997	chr1(.):226068981-226081836	0.9971
NM_014698	chr1(.):226028232-226075420	0.7365
NM_013328	chr1(.):226102579-226116965	0.5732
NM_001618	chr1(.):226543391-226600801	0.4184
NM_182972	chr1(.):234735014-234750271	3.1969
NR_033927	chr1(.):234760056-234775526	0.1008
NM_173858	chr1(.):247414373-247425447	0.0789
NR_037480	chr1(.):247360268-247370362	0.0864
NM_030645	chr1(.):249099650-249125154	0.63
NM_024836	chr1(.):249127529-249148714	0.7022
NM_001136036	chr1(.):249139202-249158125	0.6765
NM_001193328	chr1(.):249139202-249158315	0.6728
NR_036070	chr1(.):249115575-249125642	1.1992
NM_015535	chr2(.):201165603-201351986	0.2586
NM_001100422	chr2(.):201165984-201351986	0.259
NM_001100423	chr2(.):201166355-201351986	0.2595
NM_134421	chr2(.):10438825-10572743	0.2426
NM_002149	chr2(.):10438039-10572743	0.2427
NM_014600	chr2(.):31451879-31496260	0.1424
NM_001083590	chr2(.):27250773-27269565	0.2273
NM_020458	chr2(.):47163312-47308275	0.467
NR_033872	chr2(.):70184394-70319147	0.5458
NM_017567	chr2(.):71290407-71310998	0.5483
NM_032827	chr2(.):85975908-86023506	0.0923
NR_015395	chr2(.):112119590-112257692	0.4808
NR_024373	chr2(.):112181885-112257692	0.8021
NM_001099289	chr2(.):109740996-110267207	0.2005
NM_020760	chr2(.):197058976-197462335	0.1383
NM_015488	chr2(.):219130114-219216516	0.2888
NM_022152	chr2(.):219133916-219162280	0.7021
NM_001012514	chr2(.):231724620-231748963	1.2217
NM_001037131	chr2(.):236397735-237039120	0.0585
NM_145693	chr2(.):11881739-11972533	0.4754
NM_183360	chr2(.):25595111-25901503	0.2006
NM_170672	chr2(.):33656415-33794798	0.4185
NM_005813	chr2(.):37472645-37549222	0.7381
NM_006449	chr2(.):37865742-37904326	0.445
NM_005633	chr2(.):39203689-39352604	0.1978
NM_019063	chr2(.):42391489-42564688	0.1027
NM_001083953	chr2(.):43452974-43828113	0.1984
NM_022065	chr2(.):43452974-43828185	0.1984
NM_012249	chr2(.):46764866-46816827	0.425
NM_178313	chr2(.):54780530-54894445	0.306
NM_003128	chr2(.):54678453-54903583	0.2439
NM_022893	chr2(.):60679328-60785633	0.1847
NM_018014	chr2(.):60673301-60785633	0.196
NM_014755	chr2(.):64853754-64886046	0.8018
NR_036586	chr2(.):65123973-65164581	1.338
NM_002398	chr2(.):66657531-66804891	0.184
NR_027749	chr2(.):74705199-74726691	0.4277
NM_001080824	chr2(.):85043795-85113252	0.2048
NM_003896	chr2(.):86061270-86121157	0.3675
NM_144563	chr2(.):88986175-89055452	0.5642
NM_020151	chr2(.):96845602-96879573	0.2499
NM_004027	chr2(.):99056320-99212496	0.9091
NM_001566	chr2(.):99056320-99203284	0.9627
NM_003581	chr2(.):106356519-106515730	0.2115
NM_001193483	chr2(.):109145856-109308702	0.237
NM_001017927	chr2(.):120055019-120129258	0.2575
NM_002410	chr2(.):135006829-135211468	0.1881
NM_001077269	chr2(.):175419301-175552627	0.4062
NM_006357	chr2(.):181840341-181933150	0.1458
NM_182678	chr2(.):181840111-181933150	0.1455
NM_006287	chr2(.):188323957-188424219	0.1405
NR_024415	chr2(.):192537797-192558248	1.2019
NM_001031716	chr2(.):192537860-192558248	1.2051
NM_004226	chr2(.):196993306-197041336	0.4463
NM_153697	chr2(.):197959194-198180521	0.2488
NM_001195144	chr2(.):197846385-198180521	0.1901
NM_001228	chr2(.):202093165-202157434	0.9067
NM_003879	chr2(.):201975889-202034003	1.6512
NM_001127184	chr2(.):201975815-202011323	2.5668
NM_173822	chr2(.):201833440-201941392	0.1165
NM_033358	chr2(.):202093165-202151638	0.9898
NM_001037631	chr2(.):204727508-204743683	0.479
NM_003709	chr2(.):207940528-208035614	0.4679
NM_001167608	chr2(.):227695670-227868923	0.2072
NM_022730	chr2(.):232646161-232678434	0.1138
NM_005737	chr2(.):235396685-235410693	0.3814
NM_001137551	chr2(.):238595806-238695290	0.1681
NM_001137550	chr2(.):238531223-238695290	0.1258
NM_017844	chr2(.):241413838-241502405	0.101
NM_001195381	chr2(.):241539824-241575676	0.0287
NM_002166	chr2(.):8817112-8829583	0.4814
NM_002997	chr2(.):20395557-20429927	1.8151
NM_001006946	chr2(.):20395557-20430194	1.8025
NM_004040	chr2(.):20641834-20654201	0.5581
NM_178553	chr2(.):27354714-27367332	0.5213
NM_007046	chr2(.):27296434-27314265	0.7914
NM_001166239	chr2(.):27318461-27346773	0.1132
NM_001166240	chr2(.):27317220-27346995	0.124
NM_013388	chr2(.):27348624-27362542	0.4985
NM_006488	chr2(.):27304610-27328619	0.327
NM_001035507	chr2(.):27269490-27287403	0.3379
NM_021831	chr2(.):27269490-27298490	0.3684
NM_001166241	chr2(.):27317220-27338970	0.0889
NM_032604	chr2(.):27341656-27358680	0.5013
NM_175769	chr2(.):27366944-27380819	0.5833
NM_001134693	chr2(.):27288341-27299567	0.4601
NM_080592	chr2(.):27429898-27445046	0.9354
NM_001170795	chr2(.):27430218-27445046	0.9536
NM_021095	chr2(.):27417454-27440175	0.4851
NM_001145122	chr2(.):31390921-31445411	0.2487
NM_015376	chr2(.):33733941-33794798	0.1835
NM_001139488	chr2(.):33696320-33794798	0.5566
NM_012413	chr2(.):37566752-37605465	2.4691
NM_138370	chr2(.):42270160-42290668	0.0968
NM_006887	chr2(.):43444540-43458745	2.5553
NR_027251	chr2(.):43449349-43460994	1.7261
NM_080653	chr2(.):46733985-46752096	0.059
NM_173074	chr2(.):46803412-46849251	0.122
NM_014171	chr2(.):46839324-46857881	0.1901
NM_001171507	chr2(.):47124008-47148251	0.1926
NM_001171506	chr2(.):47124008-47148007	0.1943
NM_001171508	chr2(.):47124008-47173994	0.4003
NM_002354	chr2(.):47591286-47619167	0.0631
NR_002229	chr2(.):54751358-54761978	0.5256
NR_033837	chr2(.):64407212-64437619	0.472
NR_034023	chr2(.):64829445-64848616	0.2348
NM_001193493	chr2(.):65210578-65256000	0.5187
NM_003038	chr2(.):65211494-65256000	0.527
NM_181784	chr2(.):65532984-65664656	0.2743
NM_001128210	chr2(.):65532984-65598931	0.1199
NM_014882	chr2(.):68996932-69058957	0.2258
NM_001166277	chr2(.):68956912-69058957	0.3848
NM_006196	chr2(.):70309584-70321334	5.1049
NR_024444	chr2(.):70346167-70357448	1.3446
NR_002185	chr2(.):71246204-71262060	0.1083
NM_053050	chr2(.):74694108-74704927	0.438
NM_032779	chr2(.):74694958-74715357	0.5983
NM_001146158	chr2(.):74683183-74697537	0.6193
NM_001015056	chr2(.):74647987-74672710	0.2077
NM_012477	chr2(.):74680576-74693010	0.7531
NM_001145054	chr2(.):74636302-74649844	0.287
NM_001015055	chr2(.):74647987-74674060	0.198
NM_031288	chr2(.):74677198-74690087	0.5129
NM_032118	chr2(.):74643884-74657882	0.2467
NM_016170	chr2(.):74736595-74749275	0.0853
NM_001009812	chr2(.):74719643-74735443	0.6872
NM_032673	chr2(.):74727169-74739821	0.8076
NR_024606	chr2(.):74724743-74737192	0.8902
NM_021103	chr2(.):85127762-85138799	0.5746
NM_020122	chr2(.):85193230-85291595	0.1448
NM_006433	chr2(.):85916413-85930875	0.2024
NM_198843	chr2(.):85879439-85900864	0.0917
NM_001042437	chr2(.):86061271-86099793	0.3162
NM_015425	chr2(.):86248450-86338278	0.5654
NM_017952	chr2(.):86328304-86374280	0.19
NR_026984	chr2(.):86242338-86255991	0.1292
NR_015424	chr2(.):89060418-89111109	0.1587
NM_001193304	chr2(.):96910945-96936751	0.4865
NM_001037228	chr2(.):96900976-96912701	0.71
NM_004804	chr2(.):96926883-96944900	0.2088
NR_026875	chr2(.):97158382-97178846	0.2639
NM_212481	chr2(.):97197463-97223371	1.3883
NM_001193484	chr2(.):109232701-109308702	0.176
NM_001193485	chr2(.):109266266-109308702	0.1753
NM_001193482	chr2(.):109218616-109308702	0.2452
NM_001193488	chr2(.):109199921-109308702	0.284
NM_004987	chr2(.):109199766-109308702	0.2836
NM_002101	chr2(.):127408683-127459246	0.3642
NR_024275	chr2(.):135201959-135217192	0.0624
NM_006186	chr2(.):157175943-157194287	0.3826
NM_004288	chr2(.):158266130-158305604	1.0685
NM_001172712	chr2(.):174766186-174835430	0.3423
NM_001017371	chr2(.):174766186-174833947	0.3488
NM_003387	chr2(.):175419301-175504307	0.5859
NM_002491	chr2(.):201931461-201955473	0.2287
NM_001127183	chr2(.):201978386-202033841	1.7254
NM_032974	chr2(.):202042620-202099110	0.6217
NM_001230	chr2(.):202042620-202091383	0.5147
NM_033356	chr2(.):202120222-202157434	1.0161
NM_001080125	chr2(.):202117753-202157434	1.0166
NM_006139	chr2(.):204566197-204607557	1.1365
NM_012092	chr2(.):204796470-204831298	0.0928
NR_036227	chr2(.):207969710-207979797	0.0554
NM_001077194	chr2(.):219120737-219133582	0.1433
NM_001087	chr2(.):219123851-219139893	0.2347
NM_182642	chr2(.):219259813-219274148	0.8728
NM_198559	chr2(.):219216578-219237817	0.1504
NM_022572	chr2(.):219182901-219216516	0.0911
NM_021198	chr2(.):219259477-219275664	0.7823
NM_000578	chr2(.):219241751-219266617	0.4598
NR_029500	chr2(.):219262368-219272445	0.5299
NM_007127	chr2(.):219278837-219319248	0.0589
NM_017431	chr2(.):219682105-219701512	0.0646
NM_025216	chr2(.):219740254-219763651	1.187
NM_006522	chr2(.):219719545-219743954	0.1095
NM_006000	chr2(.):220110000-220123638	0.8747
NM_001042410	chr2(.):220089609-220106391	0.2656
NR_026909	chr2(.):220105200-220120059	0.8095
NM_018089	chr2(.):220089478-220106391	0.2635
NR_003063	chr2(.):220112964-220141910	0.3679
NM_005689	chr2(.):220069493-220088672	0.4145
NM_024085	chr2(.):220079101-220099361	0.4133
NM_006736	chr2(.):220139039-220156622	0.3898
NM_138802	chr2(.):220066537-220079370	0.2921
NM_024506	chr2(.):220096502-220115131	0.2798
NM_001008910	chr2(.):220105191-220120059	0.8091
NR_029688	chr2(.):220153832-220163922	0.1852
NM_005544	chr2(.):227591032-227668506	0.2726
