GENE_ID	locusLine	bin_1_02_0EWO_0229Kronos_MM1S-No-Treatment-2_H3K18Ac_hs-dm_i04.bam
NM_001127651	chr1(.):183519696-183565056	0.434
NM_203454	chr1(.):183610410-183627448	0.34
NM_001190794	chr1(.):183519696-183564739	0.4363
NM_005717	chr1(.):183590331-183609985	0.4783
NM_002927	chr1(.):192600281-192634389	0.1021
NM_002922	chr1(.):192539856-192554159	1.4412
NM_001195216	chr1(.):197698138-197749623	0.5516
NM_005298	chr1(.):200837165-200848251	0.3085
NM_018265	chr1(.):200855638-200889864	0.8396
NM_001142569	chr1(.):200858998-200889864	0.7059
NM_017596	chr1(.):200933519-200997828	0.5314
NM_001136504	chr1(.):202554724-202617581	0.4394
NR_034150	chr1(.):203262885-203279453	3.1023
NM_003465	chr1(.):203180206-203203860	0.2139
NM_006763	chr1(.):203269663-203283729	2.1024
NM_002023	chr1(.):203304751-203325289	0.2055
NR_003019	chr1(.):203693708-203703833	0.1975
NM_001136190	chr1(.):203729283-203750480	1.0856
NM_001174108	chr1(.):203761650-203774590	0.3481
NM_002646	chr1(.):204386757-204464474	0.2392
NM_002393	chr1(.):204480510-204532248	1.1856
NM_014858	chr1(.):205192037-205247471	0.6189
NM_018203	chr1(.):205300647-205331039	0.3274
NM_030952	chr1(.):205266190-205295883	0.6582
NM_000707	chr1(.):206219282-206236482	0.1666
NM_001007544	chr1(.):206233871-206293647	0.759
NM_148964	chr1(.):206312458-206337104	0.1706
NM_006893	chr1(.):206759973-206790904	0.177
NM_182665	chr1(.):206725491-206767616	1.2485
NM_000572	chr1(.):206935947-206950839	0.8313
NM_013371	chr1(.):206997221-207021325	0.5435
NM_001185157	chr1(.):207065787-207082484	0.1333
NM_153758	chr1(.):206967214-207021324	0.8043
NM_018724	chr1(.):207034153-207047568	0.1651
NM_002644	chr1(.):207096866-207124811	0.4948
NM_001170631	chr1(.):207126311-207148970	0.1675
NR_026817	chr1(.):207986723-208000941	1.5331
NR_029832	chr1(.):207970196-207980284	0.5453
NR_029518	chr1(.):207970787-207980868	0.7587
NM_183059	chr1(.):211644863-211671259	0.1225
NM_021194	chr1(.):211743380-211757099	1.0984
NM_153606	chr1(.):212792788-212805120	0.2708
NM_001674	chr1(.):212776993-212799116	1.3523
NM_001748	chr1(.):223895118-223968720	0.2769
NM_001146068	chr1(.):223884294-223968720	0.2663
NM_001136018	chr1(.):225992796-226038262	0.2746
NM_000120	chr1(.):226008001-226038262	0.3249
NM_020997	chr1(.):226068981-226081836	0.8415
NM_014698	chr1(.):226028232-226075420	0.7988
NM_181441	chr1(.):228289379-228302013	1.1727
NR_037415	chr1(.):228279963-228290042	0.2043
NM_001024227	chr1(.):228265850-228291913	1.2517
NM_001024226	chr1(.):228265360-228291913	1.2289
NM_024319	chr1(.):228283427-228296022	0.5786
NM_001159390	chr1(.):228322928-228341655	0.4858
NM_005646	chr1(.):234522058-234619849	0.1704
NM_182972	chr1(.):234735014-234750271	3.432
NR_033927	chr1(.):234760056-234775526	0.1473
NM_030645	chr1(.):249099650-249125154	1.4017
NM_024836	chr1(.):249127529-249148714	0.8095
NM_001136036	chr1(.):249139202-249158125	0.6949
NM_001193328	chr1(.):249139202-249158315	0.6898
NR_036070	chr1(.):249115575-249125642	2.3382
NM_015535	chr2(.):201165603-201351986	0.4374
NM_001100422	chr2(.):201165984-201351986	0.438
NM_001100423	chr2(.):201166355-201351986	0.4388
NM_134421	chr2(.):10438825-10572743	0.4102
NM_002149	chr2(.):10438039-10572743	0.4092
NM_014600	chr2(.):31451879-31496260	0.1403
NM_001083590	chr2(.):27250773-27269565	0.1604
NM_020458	chr2(.):47163312-47308275	0.4832
NR_033872	chr2(.):70184394-70319147	0.3324
NM_032827	chr2(.):85975908-86023506	0.1369
NR_015395	chr2(.):112119590-112257692	0.5104
NR_024373	chr2(.):112181885-112257692	0.8516
NM_001099289	chr2(.):109740996-110267207	0.2366
NM_020760	chr2(.):197058976-197462335	0.2153
NM_015488	chr2(.):219130114-219216516	0.266
NM_022152	chr2(.):219133916-219162280	0.6121
NM_001012514	chr2(.):231724620-231748963	0.7664
NM_145693	chr2(.):11881739-11972533	0.681
NM_183360	chr2(.):25595111-25901503	0.3112
NM_170672	chr2(.):33656415-33794798	0.4565
NM_005813	chr2(.):37472645-37549222	0.8156
NM_019063	chr2(.):42391489-42564688	0.1056
NM_012249	chr2(.):46764866-46816827	0.6208
NM_014755	chr2(.):64853754-64886046	0.9544
NR_036586	chr2(.):65123973-65164581	0.7896
NM_002398	chr2(.):66657531-66804891	0.151
NR_024204	chr2(.):87749973-87826030	0.6199
NM_018271	chr2(.):88464834-88491146	0.4977
NM_004836	chr2(.):88851258-88932094	0.4255
NM_144563	chr2(.):88986175-89055452	0.5345
NM_020151	chr2(.):96845602-96879573	0.2769
NM_004027	chr2(.):99056320-99212496	1.3993
NM_001566	chr2(.):99056320-99203284	1.4815
NM_003581	chr2(.):106356519-106515730	0.2696
NM_001193483	chr2(.):109145856-109308702	0.3071
NM_001142807	chr2(.):111485149-111880799	0.3097
NM_001077269	chr2(.):175419301-175552627	0.398
NM_001077196	chr2(.):178482976-178758466	0.1042
NM_016953	chr2(.):178482976-178942482	0.0827
NM_001077358	chr2(.):178489126-178792564	0.082
NM_001077197	chr2(.):178482976-178978066	0.0862
NR_024415	chr2(.):192537797-192558248	1.1584
NM_001031716	chr2(.):192537860-192558248	1.1599
NM_004226	chr2(.):196993306-197041336	0.5848
NM_153697	chr2(.):197959194-198180521	0.2721
NM_001195144	chr2(.):197846385-198180521	0.2083
NM_001228	chr2(.):202093165-202157434	0.8176
NM_003879	chr2(.):201975889-202034003	1.1096
NM_001127184	chr2(.):201975815-202011323	1.67
NM_173822	chr2(.):201833440-201941392	0.1381
NM_033358	chr2(.):202093165-202151638	0.891
NM_001037631	chr2(.):204727508-204743683	0.5583
NM_003709	chr2(.):207940528-208035614	0.3588
NM_001167608	chr2(.):227695670-227868923	0.2507
NM_022730	chr2(.):232646161-232678434	0.1081
NM_005737	chr2(.):235396685-235410693	0.398
NM_001137551	chr2(.):238595806-238695290	0.2766
NM_001137550	chr2(.):238531223-238695290	0.2166
NM_002997	chr2(.):20395557-20429927	1.8202
NM_001006946	chr2(.):20395557-20430194	1.8072
NM_004040	chr2(.):20641834-20654201	0.8142
NM_178553	chr2(.):27354714-27367332	0.4603
NM_007046	chr2(.):27296434-27314265	0.7692
NM_001166239	chr2(.):27318461-27346773	0.1489
NM_001166240	chr2(.):27317220-27346995	0.1505
NM_013388	chr2(.):27348624-27362542	0.4279
NM_006488	chr2(.):27304610-27328619	0.3045
NM_001035507	chr2(.):27269490-27287403	0.2559
NM_001166241	chr2(.):27317220-27338970	0.1239
NM_032604	chr2(.):27341656-27358680	0.4207
NM_175769	chr2(.):27366944-27380819	0.5455
NM_001134693	chr2(.):27288341-27299567	0.4674
NM_080592	chr2(.):27429898-27445046	0.7192
NM_001170795	chr2(.):27430218-27445046	0.7333
NM_021095	chr2(.):27417454-27440175	0.423
NM_001145122	chr2(.):31390921-31445411	0.3229
NM_015376	chr2(.):33733941-33794798	0.2051
NM_001139488	chr2(.):33696320-33794798	0.6066
NM_012413	chr2(.):37566752-37605465	1.9122
NM_138370	chr2(.):42270160-42290668	0.1298
NM_006887	chr2(.):43444540-43458745	2.4957
NR_027251	chr2(.):43449349-43460994	1.7284
NM_080653	chr2(.):46733985-46752096	0.0683
NM_173074	chr2(.):46803412-46849251	0.1534
NM_014171	chr2(.):46839324-46857881	0.2361
NM_001171508	chr2(.):47124008-47173994	0.3268
NM_002354	chr2(.):47591286-47619167	0.0584
NR_033837	chr2(.):64407212-64437619	0.4777
NR_034023	chr2(.):64829445-64848616	0.2786
NM_001193493	chr2(.):65210578-65256000	0.3748
NM_003038	chr2(.):65211494-65256000	0.3801
NM_181784	chr2(.):65532984-65664656	0.4358
NM_001128210	chr2(.):65532984-65598931	0.1611
NM_002664	chr2(.):68587321-68629585	0.4452
NM_173545	chr2(.):68689690-68812294	0.1096
NM_001024680	chr2(.):68684504-68699390	0.3958
NM_014882	chr2(.):68996932-69058957	0.2088
NM_001166277	chr2(.):68956912-69058957	0.3267
NM_014482	chr2(.):69087612-69103649	0.0702
NM_006196	chr2(.):70309584-70321334	2.6896
NR_024444	chr2(.):70346167-70357448	1.042
NM_006433	chr2(.):85916413-85930875	0.359
NM_198843	chr2(.):85879439-85900864	0.1271
NM_015425	chr2(.):86248450-86338278	0.5761
NM_017952	chr2(.):86328304-86374280	0.181
NR_026984	chr2(.):86242338-86255991	0.2077
NM_001443	chr2(.):88417509-88432578	0.096
NR_015424	chr2(.):89060418-89111109	0.1573
NM_001193304	chr2(.):96910945-96936751	0.5737
NM_001037228	chr2(.):96900976-96912701	1.2564
NM_004804	chr2(.):96926883-96944900	0.255
NR_026875	chr2(.):97158382-97178846	0.2635
NM_212481	chr2(.):97197463-97223371	1.446
NM_001193484	chr2(.):109232701-109308702	0.2055
NM_001193485	chr2(.):109266266-109308702	0.1797
NM_001193482	chr2(.):109218616-109308702	0.3442
NM_001193488	chr2(.):109199921-109308702	0.3852
NM_004987	chr2(.):109199766-109308702	0.3849
NM_002101	chr2(.):127408683-127459246	0.3282
NM_006186	chr2(.):157175943-157194287	0.6255
NM_004288	chr2(.):158266130-158305604	0.7317
NM_003387	chr2(.):175419301-175504307	0.5716
NM_152275	chr2(.):178474025-178488694	0.7311
NM_002491	chr2(.):201931461-201955473	0.2572
NM_001127183	chr2(.):201978386-202033841	1.1574
NM_032974	chr2(.):202042620-202099110	0.5728
NM_001230	chr2(.):202042620-202091383	0.5149
NM_033356	chr2(.):202120222-202157434	0.8873
NM_001080125	chr2(.):202117753-202157434	0.9131
NM_006139	chr2(.):204566197-204607557	0.9094
NM_012092	chr2(.):204796470-204831298	0.1028
NR_036227	chr2(.):207969710-207979797	0.0616
NM_152862	chr2(.):219076873-219124071	0.3022
NM_000634	chr2(.):219022567-219036716	0.1277
NM_001077194	chr2(.):219120737-219133582	0.2041
NM_005731	chr2(.):219077119-219124071	0.3037
NM_001087	chr2(.):219123851-219139893	0.2401
NM_022572	chr2(.):219182901-219216516	0.0876
NM_017431	chr2(.):219682105-219701512	0.0716
NM_025216	chr2(.):219740254-219763651	2.3888
NM_006522	chr2(.):219719545-219743954	0.2101
NM_005544	chr2(.):227591032-227668506	0.3428
NM_024795	chr2(.):228221873-228249022	0.0489
NM_002601	chr2(.):232592146-232650974	0.105
NR_031717	chr2(.):232751951-232762008	0.0398
NM_004735	chr2(.):238595806-238679558	0.3215
NM_022817	chr2(.):239147678-239202207	0.2563
NR_026923	chr2(.):239135326-239147985	0.0914
NM_001142853	chr2(.):239141907-239153681	0.253
NR_026926	chr2(.):239128753-239145318	0.0603
NM_014674	chr3(.):5224358-5266650	1.4223
NM_001683	chr3(.):10360706-10552268	0.217
NM_001195099	chr3(.):15703743-15803058	0.0741
NM_001195098	chr3(.):15703743-15844691	0.1828
NM_015199	chr3(.):15703743-15906053	0.2005
NM_016128	chr3(.):128963452-129001616	0.6815
NM_003571	chr3(.):133113789-133199056	0.7292
NM_207294	chr3(.):152012193-152188569	0.1461
NM_021038	chr3(.):151980828-152188568	0.212
NM_207015	chr3(.):174572110-175528428	0.1865
NM_001135095	chr3(.):171753343-172123492	0.3761
NM_022763	chr3(.):171752417-172123492	0.3769
NM_181361	chr3(.):178249223-178567217	0.1848
NM_001134382	chr3(.):12933718-13119617	0.4634
NM_024923	chr3(.):13352736-13466809	0.3262
NM_014869	chr3(.):12933718-13013960	0.0678
NM_001184958	chr3(.):14711605-14819543	0.2834
NM_003884	chr3(.):20076523-20200896	0.2043
NM_001024847	chr3(.):30642993-30740633	0.4586
NM_001171172	chr3(.):39299984-39326930	0.4747
NM_001171171	chr3(.):39299984-39327764	0.4739
NM_001171174	chr3(.):39299984-39328226	0.4701
NM_001123396	chr3(.):46390234-46405868	1.0843
NM_001123041	chr3(.):46390234-46407413	1.0155
NM_025222	chr3(.):52283437-52317659	0.5077
NM_006254	chr3(.):53190222-53231733	0.4743
NM_181042	chr3(.):52574367-52718739	0.0617
NM_018313	chr3(.):52574367-52724866	0.0913
NM_015541	chr3(.):66424220-66555845	0.1828
NM_007114	chr3(.):69063977-69106484	0.141
NM_001185106	chr3(.):111388522-111570294	0.145
NM_001134437	chr3(.):111446326-111700364	0.0833
NM_002213	chr3(.):124476794-124611144	0.5306
NM_032343	chr3(.):126418117-126684244	0.1461
NM_001001487	chr3(.):130608433-130740555	0.1058
NM_001199181	chr3(.):130564368-130727046	0.1946
NM_001199180	chr3(.):130564368-130740555	0.1853
NM_001199179	chr3(.):130607834-130727046	0.1093
NM_001001485	chr3(.):130607858-130740555	0.1057
NM_001199184	chr3(.):130607904-130727046	0.1093
NM_014382	chr3(.):130608291-130727046	0.1094
NM_006506	chr3(.):141200925-141336197	0.1959
NM_001080412	chr3(.):141038054-141173632	1.4738
NM_024665	chr3(.):176733541-176920048	0.4543
NM_005832	chr3(.):178271617-178567217	0.1643
NM_130446	chr3(.):183200318-183278499	1.3619
NM_173216	chr3(.):186643314-186801341	0.6937
NM_003032	chr3(.):186734664-186801341	0.7887
NM_174908	chr3(.):191041873-191121459	0.2457
NM_005524	chr3(.):193848933-193861396	1.6566
NM_152531	chr3(.):194784012-194996895	0.2228
NM_001647	chr3(.):195290572-195316076	0.2194
NM_018184	chr3(.):5158929-5227601	0.2566
NM_015931	chr3(.):8656319-8698737	0.1784
NR_030614	chr3(.):10431172-10441246	1.6488
NM_016474	chr3(.):14688252-14719166	0.225
NR_027694	chr3(.):20016452-20058765	0.0534
NM_194293	chr3(.):39219706-39239077	0.4115
NM_001337	chr3(.):39299984-39326527	0.4763
NM_001198621	chr3(.):39219705-39239085	0.4114
NM_005201	chr3(.):39366196-39380171	0.0667
NM_014240	chr3(.):45631322-45727755	0.3771
NM_001295	chr3(.):46238199-46254832	1.7645
NM_001837	chr3(.):46278871-46313197	0.1979
NM_003965	chr3(.):46443720-46456014	0.4575
NM_001199149	chr3(.):46472495-46510161	0.2687
NM_002343	chr3(.):46472495-46511598	0.2642
NM_001100168	chr3(.):46406632-46422697	0.5351
NM_001130910	chr3(.):46444048-46456014	0.4625
NM_003212	chr3(.):46614075-46628952	0.0632
NM_001174136	chr3(.):46611044-46628952	0.0636
NM_024512	chr3(.):46551877-46613011	0.6532
NM_031440	chr3(.):46534484-46547439	0.4814
NM_017442	chr3(.):52250097-52265179	0.2677
NM_199166	chr3(.):52227115-52253343	0.1281
NM_007284	chr3(.):52257625-52278183	0.6252
NM_144641	chr3(.):52275224-52289615	0.542
NM_000688	chr3(.):52227143-52253343	0.1281
NR_026699	chr3(.):52316835-52334272	0.5672
NR_029677	chr3(.):52323234-52333324	0.0852
NR_029660	chr3(.):52297293-52307377	0.2569
NM_001010983	chr3(.):52723503-52745048	0.7795
NM_206825	chr3(.):52714935-52733510	0.4246
NR_003687	chr3(.):52719753-52729846	0.4436
NM_014041	chr3(.):52734856-52747197	1.2544
NR_003057	chr3(.):52721751-52731828	0.2222
NM_152932	chr3(.):52723503-52742622	0.7404
NR_003047	chr3(.):52718255-52728331	0.5459
NM_001193533	chr3(.):52739795-52809965	0.3189
NM_052859	chr3(.):53117500-53169470	0.25
NM_198195	chr3(.):69098880-69134524	0.3454
NM_006407	chr3(.):69129089-69160239	0.6642
NM_198271	chr3(.):69151038-69176746	0.1862
NR_036087	chr3(.):69093108-69103186	0.4536
NM_006100	chr3(.):98446571-98518236	0.7527
NM_145037	chr3(.):101493028-101552075	0.5325
NM_001134456	chr3(.):101493285-101552075	0.534
NM_001005474	chr3(.):101541833-101584869	0.3165
NM_001190259	chr3(.):111834687-111857152	0.7387
NM_024616	chr3(.):111800181-111842044	0.4788
NR_030292	chr3(.):111826647-111836745	0.2799
NR_033434	chr3(.):124444212-124473119	0.1587
NR_031687	chr3(.):125504246-125514395	0.0935
NM_014079	chr3(.):126056477-126081236	0.2785
NM_182628	chr3(.):126108781-126160398	0.2962
NM_001127196	chr3(.):128881657-128907810	0.6237
NM_020701	chr3(.):128841258-128885073	0.2051
NM_020187	chr3(.):128992683-129029135	0.8797
NM_001006109	chr3(.):128992816-129029135	0.8825
NM_006026	chr3(.):129028613-129040120	2.777
NR_026991	chr3(.):129030113-129048412	1.4326
NR_027898	chr3(.):129926662-129997649	0.0599
NM_001184721	chr3(.):148704194-148750456	0.3602
NR_027037	chr3(.):151975404-151992415	0.6486
NR_027954	chr3(.):156385959-156398502	0.8698
NM_001184718	chr3(.):156389452-156429557	0.5668
NM_001184717	chr3(.):156387714-156429557	0.5517
NM_015508	chr3(.):156387204-156429557	0.5475
NR_034008	chr3(.):156802669-156823924	2.4603
NR_034007	chr3(.):156794455-156845791	1.254
NM_020307	chr3(.):156860585-156883482	0.8628
NR_027622	chr3(.):169656771-169689522	1.2546
NM_182610	chr3(.):169624481-169661948	0.6082
NM_003262	chr3(.):169679579-169721161	0.3106
NM_198152	chr3(.):190979943-191053325	0.3978
NR_024480	chr3(.):194013988-194035593	1.2991
NM_001080513	chr3(.):194055493-194077057	0.0921
NM_006241	chr3(.):195236220-195275224	0.5031
NM_198565	chr3(.):196361655-196393874	0.7172
NM_014687	chr3(.):197393258-197468773	0.621
NM_001145642	chr3(.):197393313-197481568	0.6362
NR_027840	chr3(.):197472260-197516317	0.2668
NM_032288	chr3(.):197471623-197516317	0.2639
NR_030627	chr3(.):197396366-197406447	0.1188
NM_001011537	chr3(.):197471423-197516317	0.2631
NM_003215	chr4(.):48132799-48276814	0.3839
