GENE_ID	locusLine	bin_1_38_0EXQ_0229Kronos_MM1S-KB-1hr-2_Input_hs_i81.bam
1_MACS_peak_173_lociStitched	chr1(.):1910668-1910992	0.0579
5_MACS_peak_174_lociStitched	chr1(.):1913860-1921478	0.082
5_MACS_peak_179_lociStitched	chr1(.):1922370-1925086	0.1004
8_MACS_peak_184_lociStitched	chr1(.):1926039-1933559	0.0899
12_MACS_peak_192_lociStitched	chr1(.):1934571-1985687	0.0994
5_MACS_peak_204_lociStitched	chr1(.):1986950-1993796	0.0838
1_MACS_peak_209_lociStitched	chr1(.):1994341-1995331	0.0527
1_MACS_peak_210_lociStitched	chr1(.):1996776-1997307	0.0437
4_MACS_peak_211_lociStitched	chr1(.):1998745-2010860	0.0728
3_MACS_peak_215_lociStitched	chr1(.):2012151-2013987	0.0677
3_MACS_peak_218_lociStitched	chr1(.):2014787-2027125	0.0959
6_MACS_peak_221_lociStitched	chr1(.):2027979-2033457	0.0945
2_MACS_peak_227_lociStitched	chr1(.):2034016-2040550	0.1055
1_MACS_peak_229_lociStitched	chr1(.):2041147-2043981	0.0723
1_MACS_peak_230_lociStitched	chr1(.):2044842-2045135	0.0365
1_MACS_peak_231_lociStitched	chr1(.):2046116-2047637	0.1037
1_MACS_peak_232_lociStitched	chr1(.):2055811-2056208	0.1304
6_MACS_peak_233_lociStitched	chr1(.):2057412-2062636	0.0825
5_MACS_peak_239_lociStitched	chr1(.):2065925-2077384	0.098
5_MACS_peak_244_lociStitched	chr1(.):2080640-2086468	0.0863
4_MACS_peak_249_lociStitched	chr1(.):2087463-2092190	0.0726
8_MACS_peak_253_lociStitched	chr1(.):2094486-2116153	0.0836
1_MACS_peak_261_lociStitched	chr1(.):2118317-2118695	0.125
4_MACS_peak_262_lociStitched	chr1(.):2129251-2136184	0.1271
9_MACS_peak_266_lociStitched	chr1(.):2136724-2158725	0.1
2_MACS_peak_275_lociStitched	chr1(.):2243678-2246206	0.0953
5_MACS_peak_277_lociStitched	chr1(.):2246734-2293965	0.0899
1_MACS_peak_282_lociStitched	chr1(.):2297858-2298165	0.044
2_MACS_peak_283_lociStitched	chr1(.):2299485-2300678	0.1299
2_MACS_peak_285_lociStitched	chr1(.):2301514-2316855	0.1129
12_MACS_peak_287_lociStitched	chr1(.):2346631-2411265	0.0951
1_MACS_peak_299_lociStitched	chr1(.):2412387-2412898	0.0844
7_MACS_peak_300_lociStitched	chr1(.):2413571-2430122	0.0773
3_MACS_peak_307_lociStitched	chr1(.):2430698-2436702	0.056
1_MACS_peak_310_lociStitched	chr1(.):2437434-2437678	0.0226
4_MACS_peak_311_lociStitched	chr1(.):2458174-2472090	0.1126
1_MACS_peak_315_lociStitched	chr1(.):2472901-2473768	0.1746
2_MACS_peak_316_lociStitched	chr1(.):2483955-2485276	0.0547
2_MACS_peak_318_lociStitched	chr1(.):2497206-2502766	0.0921
3_MACS_peak_320_lociStitched	chr1(.):2503913-2508730	0.0974
1_MACS_peak_323_lociStitched	chr1(.):2509516-2509916	0.1583
1_MACS_peak_324_lociStitched	chr1(.):2510732-2511450	0.1012
2_MACS_peak_325_lociStitched	chr1(.):2511980-2514954	0.0951
1_MACS_peak_327_lociStitched	chr1(.):2518570-2519033	0.1091
6_MACS_peak_328_lociStitched	chr1(.):2519917-2530181	0.0678
6_MACS_peak_334_lociStitched	chr1(.):2531423-2544472	0.0895
1_MACS_peak_340_lociStitched	chr1(.):2551749-2552110	0.0473
5_MACS_peak_341_lociStitched	chr1(.):2552944-2557775	0.1134
3_MACS_peak_346_lociStitched	chr1(.):2559075-2566066	0.0819
3_MACS_peak_349_lociStitched	chr1(.):2566679-2568360	0.0666
3_MACS_peak_352_lociStitched	chr1(.):2569975-2571342	0.0976
3_MACS_peak_355_lociStitched	chr1(.):2574878-2577600	0.0759
1_MACS_peak_358_lociStitched	chr1(.):2579880-2580356	0.0368
2_MACS_peak_374_lociStitched	chr1(.):2685547-2691904	0.239
1_MACS_peak_376_lociStitched	chr1(.):2693280-2693850	0.1021
3_MACS_peak_377_lociStitched	chr1(.):2700662-2704308	0.126
2_MACS_peak_380_lociStitched	chr1(.):2705158-2706221	0.0221
1_MACS_peak_382_lociStitched	chr1(.):2707070-2707529	0.0597
1_MACS_peak_383_lociStitched	chr1(.):2713077-2713368	0.0073
7_MACS_peak_384_lociStitched	chr1(.):2715478-2735231	0.0833
4_MACS_peak_391_lociStitched	chr1(.):2736069-2741323	0.0708
1_MACS_peak_395_lociStitched	chr1(.):2741891-2742634	0.0776
2_MACS_peak_396_lociStitched	chr1(.):2743697-2745009	0.0878
4_MACS_peak_398_lociStitched	chr1(.):2747441-2754636	0.0826
5_MACS_peak_402_lociStitched	chr1(.):2755581-2758017	0.0764
1_MACS_peak_407_lociStitched	chr1(.):2760033-2760316	0.0817
3_MACS_peak_408_lociStitched	chr1(.):2761799-2767839	0.0761
2_MACS_peak_411_lociStitched	chr1(.):2770235-2775433	0.0636
7_MACS_peak_413_lociStitched	chr1(.):2776179-2788897	0.0707
2_MACS_peak_420_lociStitched	chr1(.):2789730-2802967	0.0702
4_MACS_peak_422_lociStitched	chr1(.):2805385-2810753	0.0652
2_MACS_peak_426_lociStitched	chr1(.):2811642-2812777	0.0602
4_MACS_peak_428_lociStitched	chr1(.):2815341-2826057	0.0647
13_MACS_peak_432_lociStitched	chr1(.):2826666-2853755	0.0803
1_MACS_peak_445_lociStitched	chr1(.):2858951-2859858	0.0967
1_MACS_peak_446_lociStitched	chr1(.):2860736-2861090	0.0886
5_MACS_peak_447_lociStitched	chr1(.):2862584-2869768	0.0646
1_MACS_peak_452_lociStitched	chr1(.):2877813-2878720	0.1054
4_MACS_peak_453_lociStitched	chr1(.):2883929-2890066	0.0814
1_MACS_peak_457_lociStitched	chr1(.):2890992-2891432	0.1357
2_MACS_peak_458_lociStitched	chr1(.):2896395-2901941	0.0636
4_MACS_peak_460_lociStitched	chr1(.):2903637-2905817	0.0717
1_MACS_peak_464_lociStitched	chr1(.):2907083-2907592	0.0549
2_MACS_peak_465_lociStitched	chr1(.):2916229-2918008	0.0852
2_MACS_peak_467_lociStitched	chr1(.):2918581-2922129	0.0648
1_MACS_peak_469_lociStitched	chr1(.):2927128-2932786	0.0958
3_MACS_peak_470_lociStitched	chr1(.):2933297-2941155	0.0947
2_MACS_peak_473_lociStitched	chr1(.):2944309-2950462	0.0542
1_MACS_peak_475_lociStitched	chr1(.):2951688-2951944	0.0402
2_MACS_peak_476_lociStitched	chr1(.):2952695-2955721	0.078
1_MACS_peak_478_lociStitched	chr1(.):2957177-2957521	0.0385
1_MACS_peak_479_lociStitched	chr1(.):2959002-2959302	0.0659
1_MACS_peak_480_lociStitched	chr1(.):2960661-2961254	0.1019
3_MACS_peak_481_lociStitched	chr1(.):2969982-2971615	0.1197
1_MACS_peak_484_lociStitched	chr1(.):2972906-2973179	0.0033
2_MACS_peak_485_lociStitched	chr1(.):2974596-2975811	0.069
6_MACS_peak_487_lociStitched	chr1(.):2977405-2985587	0.0743
6_MACS_peak_493_lociStitched	chr1(.):2986224-3004735	0.0717
7_MACS_peak_499_lociStitched	chr1(.):3005368-3025386	0.0735
3_MACS_peak_506_lociStitched	chr1(.):3026068-3029929	0.0726
1_MACS_peak_509_lociStitched	chr1(.):3030864-3031361	0.0295
3_MACS_peak_510_lociStitched	chr1(.):3031959-3047288	0.0696
2_MACS_peak_513_lociStitched	chr1(.):3048164-3062979	0.0695
3_MACS_peak_515_lociStitched	chr1(.):3063788-3066787	0.0604
4_MACS_peak_518_lociStitched	chr1(.):3067435-3074840	0.0894
2_MACS_peak_522_lociStitched	chr1(.):3075357-3084182	0.0782
3_MACS_peak_524_lociStitched	chr1(.):3085065-3092870	0.08
4_MACS_peak_527_lociStitched	chr1(.):3093994-3096428	0.0799
15_MACS_peak_531_lociStitched	chr1(.):3099376-3167709	0.0779
1_MACS_peak_546_lociStitched	chr1(.):3168441-3169752	0.0857
1_MACS_peak_547_lociStitched	chr1(.):3171829-3172578	0.0985
1_MACS_peak_548_lociStitched	chr1(.):3173495-3173969	0.0491
3_MACS_peak_549_lociStitched	chr1(.):3174546-3176424	0.0454
6_MACS_peak_552_lociStitched	chr1(.):3178315-3190065	0.0773
4_MACS_peak_558_lociStitched	chr1(.):3190732-3217374	0.0882
1_MACS_peak_562_lociStitched	chr1(.):3218114-3219184	0.0742
7_MACS_peak_563_lociStitched	chr1(.):3220038-3231519	0.1027
2_MACS_peak_570_lociStitched	chr1(.):3232276-3234613	0.0807
5_MACS_peak_572_lociStitched	chr1(.):3238692-3252015	0.0746
6_MACS_peak_577_lociStitched	chr1(.):3254758-3259423	0.0782
3_MACS_peak_583_lociStitched	chr1(.):3262380-3267810	0.0692
3_MACS_peak_586_lociStitched	chr1(.):3268519-3286664	0.0812
1_MACS_peak_589_lociStitched	chr1(.):3288388-3293317	0.0772
1_MACS_peak_590_lociStitched	chr1(.):3294453-3295550	0.0105
8_MACS_peak_591_lociStitched	chr1(.):3296865-3326001	0.0771
8_MACS_peak_599_lociStitched	chr1(.):3326898-3354240	0.0754
4_MACS_peak_607_lociStitched	chr1(.):3354977-3361633	0.086
6_MACS_peak_611_lociStitched	chr1(.):3366164-3391215	0.0837
1_MACS_peak_617_lociStitched	chr1(.):3391810-3392477	0.0487
7_MACS_peak_618_lociStitched	chr1(.):3393877-3403413	0.0977
2_MACS_peak_625_lociStitched	chr1(.):3403997-3407768	0.0951
4_MACS_peak_627_lociStitched	chr1(.):3408394-3488285	0.0829
4_MACS_peak_631_lociStitched	chr1(.):3489519-3499765	0.0758
3_MACS_peak_635_lociStitched	chr1(.):3500315-3501695	0.0473
2_MACS_peak_638_lociStitched	chr1(.):3502430-3504392	0.101
4_MACS_peak_640_lociStitched	chr1(.):3505044-3536035	0.0917
1_MACS_peak_644_lociStitched	chr1(.):3536790-3537218	0.1296
1_MACS_peak_645_lociStitched	chr1(.):3567785-3568460	0.1104
1_MACS_peak_646_lociStitched	chr1(.):3663539-3664040	0.0649
4_MACS_peak_647_lociStitched	chr1(.):3665841-3673881	0.1258
5_MACS_peak_651_lociStitched	chr1(.):3674971-3688751	0.1013
1_MACS_peak_656_lociStitched	chr1(.):3689550-3690225	0.0873
1_MACS_peak_657_lociStitched	chr1(.):3716329-3717475	0.1968
1_MACS_peak_658_lociStitched	chr1(.):3720733-3721066	0.133
1_MACS_peak_659_lociStitched	chr1(.):3834332-3834841	0.0969
1_MACS_peak_660_lociStitched	chr1(.):3836051-3836381	0.0645
1_MACS_peak_661_lociStitched	chr1(.):3839973-3843071	0.0711
1_MACS_peak_662_lociStitched	chr1(.):3995687-3996042	0.1751
1_MACS_peak_663_lociStitched	chr1(.):3997872-3998246	0.099
5_MACS_peak_664_lociStitched	chr1(.):3999225-4009211	0.0802
1_MACS_peak_669_lociStitched	chr1(.):4011416-4011804	0.0674
2_MACS_peak_670_lociStitched	chr1(.):4012824-4016056	0.0915
2_MACS_peak_672_lociStitched	chr1(.):4016569-4017455	0.1153
1_MACS_peak_674_lociStitched	chr1(.):4018018-4018530	0.0699
2_MACS_peak_675_lociStitched	chr1(.):4019240-4020714	0.1034
1_MACS_peak_677_lociStitched	chr1(.):4022714-4023098	0.0377
5_MACS_peak_678_lociStitched	chr1(.):4035152-4040735	0.1021
2_MACS_peak_683_lociStitched	chr1(.):4041494-4043963	0.0735
2_MACS_peak_685_lociStitched	chr1(.):4044562-4045526	0.1201
1_MACS_peak_687_lociStitched	chr1(.):4046550-4047294	0.0324
1_MACS_peak_688_lociStitched	chr1(.):4047981-4048279	0.0247
1_MACS_peak_689_lociStitched	chr1(.):4054210-4056055	0.0644
1_MACS_peak_690_lociStitched	chr1(.):4056728-4056991	0.062
3_MACS_peak_691_lociStitched	chr1(.):4059267-4062794	0.086
1_MACS_peak_694_lociStitched	chr1(.):4070866-4071424	0.0407
4_MACS_peak_695_lociStitched	chr1(.):4078916-4081994	0.0903
2_MACS_peak_699_lociStitched	chr1(.):4082499-4083311	0.0353
1_MACS_peak_701_lociStitched	chr1(.):4092546-4092816	0.0528
1_MACS_peak_702_lociStitched	chr1(.):4093380-4093776	0.0377
1_MACS_peak_703_lociStitched	chr1(.):4109090-4109450	0.0184
2_MACS_peak_704_lociStitched	chr1(.):4110762-4111875	0.0886
1_MACS_peak_706_lociStitched	chr1(.):4112987-4113235	0.068
7_MACS_peak_707_lociStitched	chr1(.):4114107-4123230	0.0905
2_MACS_peak_714_lociStitched	chr1(.):4132805-4134247	0.1075
1_MACS_peak_716_lociStitched	chr1(.):4135429-4135890	0.1628
1_MACS_peak_717_lociStitched	chr1(.):4137178-4137661	0.0972
1_MACS_peak_718_lociStitched	chr1(.):4141833-4142099	0.014
1_MACS_peak_719_lociStitched	chr1(.):4144887-4145368	0.012
1_MACS_peak_720_lociStitched	chr1(.):4146872-4147363	0.1811
2_MACS_peak_721_lociStitched	chr1(.):4148030-4149249	0.1036
1_MACS_peak_723_lociStitched	chr1(.):4149754-4150165	0.0094
1_MACS_peak_724_lociStitched	chr1(.):4151073-4151610	0.0702
1_MACS_peak_725_lociStitched	chr1(.):4154404-4154739	0.0598
1_MACS_peak_726_lociStitched	chr1(.):4155443-4155839	0.0185
2_MACS_peak_727_lociStitched	chr1(.):4166767-4170729	0.0833
1_MACS_peak_729_lociStitched	chr1(.):4171784-4172070	0.079
1_MACS_peak_730_lociStitched	chr1(.):4176365-4176896	0.212
3_MACS_peak_731_lociStitched	chr1(.):4177662-4182019	0.0825
2_MACS_peak_734_lociStitched	chr1(.):4182701-4183465	0.0873
2_MACS_peak_736_lociStitched	chr1(.):4184008-4184990	0.0567
2_MACS_peak_738_lociStitched	chr1(.):4187043-4189595	0.0676
1_MACS_peak_740_lociStitched	chr1(.):4190247-4190605	0.0911
1_MACS_peak_741_lociStitched	chr1(.):4191264-4194366	0.0952
4_MACS_peak_742_lociStitched	chr1(.):4197620-4199619	0.0924
2_MACS_peak_746_lociStitched	chr1(.):4200124-4201543	0.1
4_MACS_peak_748_lociStitched	chr1(.):4207943-4210358	0.0838
1_MACS_peak_752_lociStitched	chr1(.):4212033-4213364	0.1112
5_MACS_peak_753_lociStitched	chr1(.):4217443-4221691	0.066
5_MACS_peak_758_lociStitched	chr1(.):4222948-4225607	0.0732
2_MACS_peak_763_lociStitched	chr1(.):4226527-4228042	0.065
1_MACS_peak_765_lociStitched	chr1(.):4230209-4231835	0.1046
3_MACS_peak_766_lociStitched	chr1(.):4232530-4234320	0.083
1_MACS_peak_769_lociStitched	chr1(.):4238748-4239033	0.0228
1_MACS_peak_770_lociStitched	chr1(.):4243497-4243824	0.0
1_MACS_peak_771_lociStitched	chr1(.):4246646-4246957	0.0306
1_MACS_peak_772_lociStitched	chr1(.):4268318-4268577	0.0842
1_MACS_peak_773_lociStitched	chr1(.):4271593-4271978	0.0544
2_MACS_peak_774_lociStitched	chr1(.):4272541-4273609	0.0878
2_MACS_peak_776_lociStitched	chr1(.):4274698-4276563	0.0719
1_MACS_peak_778_lociStitched	chr1(.):4277335-4278204	0.099
1_MACS_peak_779_lociStitched	chr1(.):4279182-4279474	0.0248
1_MACS_peak_780_lociStitched	chr1(.):4280109-4280618	0.1083
1_MACS_peak_781_lociStitched	chr1(.):4281646-4281961	0.0
1_MACS_peak_782_lociStitched	chr1(.):4282535-4282814	0.1038
1_MACS_peak_783_lociStitched	chr1(.):4285110-4285715	0.0841
1_MACS_peak_784_lociStitched	chr1(.):4288478-4289088	0.114
1_MACS_peak_785_lociStitched	chr1(.):4290179-4290576	0.0689
1_MACS_peak_786_lociStitched	chr1(.):4328778-4329073	0.0472
1_MACS_peak_787_lociStitched	chr1(.):4330347-4330573	0.0265
1_MACS_peak_788_lociStitched	chr1(.):4331109-4331366	0.0647
1_MACS_peak_789_lociStitched	chr1(.):4369954-4370737	0.0696
1_MACS_peak_790_lociStitched	chr1(.):4371570-4372084	0.0401
1_MACS_peak_791_lociStitched	chr1(.):4384159-4384532	0.0573
2_MACS_peak_792_lociStitched	chr1(.):4389947-4391352	0.1317
1_MACS_peak_794_lociStitched	chr1(.):4411602-4411819	0.0254
2_MACS_peak_795_lociStitched	chr1(.):4412877-4414521	0.0763
1_MACS_peak_797_lociStitched	chr1(.):4417255-4417863	0.0645
1_MACS_peak_798_lociStitched	chr1(.):4418371-4418648	0.1237
1_MACS_peak_799_lociStitched	chr1(.):4419230-4419615	0.0944
1_MACS_peak_800_lociStitched	chr1(.):4427161-4427562	0.0526
1_MACS_peak_801_lociStitched	chr1(.):4460530-4460935	0.0892
1_MACS_peak_802_lociStitched	chr1(.):4467529-4468412	0.1197
2_MACS_peak_803_lociStitched	chr1(.):4484308-4485330	0.0963
1_MACS_peak_805_lociStitched	chr1(.):4494613-4495030	0.1178
2_MACS_peak_806_lociStitched	chr1(.):4519917-4521465	0.0625
1_MACS_peak_808_lociStitched	chr1(.):4543802-4544195	0.0851
2_MACS_peak_809_lociStitched	chr1(.):4546154-4547507	0.0719
1_MACS_peak_811_lociStitched	chr1(.):4563133-4563398	0.0063
1_MACS_peak_812_lociStitched	chr1(.):4569602-4570002	0.0335
1_MACS_peak_813_lociStitched	chr1(.):4571215-4571487	0.0251
1_MACS_peak_814_lociStitched	chr1(.):4572107-4572384	0.0
3_MACS_peak_815_lociStitched	chr1(.):4575778-4578221	0.0813
1_MACS_peak_818_lociStitched	chr1(.):4587772-4588078	0.0149
2_MACS_peak_819_lociStitched	chr1(.):4588677-4589670	0.0237
1_MACS_peak_821_lociStitched	chr1(.):4621989-4622345	0.0413
1_MACS_peak_822_lociStitched	chr1(.):4645782-4646068	0.0073
2_MACS_peak_823_lociStitched	chr1(.):4651949-4653090	0.0928
2_MACS_peak_825_lociStitched	chr1(.):4654042-4654656	0.0669
1_MACS_peak_827_lociStitched	chr1(.):4656287-4656551	0.025
1_MACS_peak_828_lociStitched	chr1(.):4658627-4659031	0.0757
2_MACS_peak_829_lociStitched	chr1(.):4659648-4661541	0.0505
7_MACS_peak_831_lociStitched	chr1(.):4671580-4675801	0.0743
1_MACS_peak_838_lociStitched	chr1(.):4677397-4677722	0.0833
1_MACS_peak_839_lociStitched	chr1(.):4682855-4683195	0.0833
4_MACS_peak_840_lociStitched	chr1(.):4685664-4688677	0.0637
1_MACS_peak_844_lociStitched	chr1(.):4692058-4692358	0.0788
4_MACS_peak_845_lociStitched	chr1(.):4693984-4699227	0.0734
3_MACS_peak_849_lociStitched	chr1(.):4712924-4714428	0.1001
1_MACS_peak_852_lociStitched	chr1(.):4716002-4717203	0.0783
1_MACS_peak_853_lociStitched	chr1(.):4718191-4718647	0.0594
1_MACS_peak_854_lociStitched	chr1(.):4719875-4720153	0.0093
1_MACS_peak_855_lociStitched	chr1(.):4722616-4723120	0.0
1_MACS_peak_856_lociStitched	chr1(.):4725212-4725675	0.0682
2_MACS_peak_857_lociStitched	chr1(.):4726371-4727991	0.0587
2_MACS_peak_859_lociStitched	chr1(.):4734969-4736097	0.0412
1_MACS_peak_861_lociStitched	chr1(.):4736767-4737247	0.0471
1_MACS_peak_862_lociStitched	chr1(.):4747344-4747839	0.0475
4_MACS_peak_863_lociStitched	chr1(.):4749670-4752278	0.0675
1_MACS_peak_867_lociStitched	chr1(.):4766377-4766648	0.0492
1_MACS_peak_868_lociStitched	chr1(.):4768088-4768436	0.062
4_MACS_peak_869_lociStitched	chr1(.):4770970-4774193	0.0614
1_MACS_peak_873_lociStitched	chr1(.):4774920-4775180	0.0186
1_MACS_peak_874_lociStitched	chr1(.):4780960-4781300	0.0474
2_MACS_peak_875_lociStitched	chr1(.):4782879-4783826	0.0694
1_MACS_peak_877_lociStitched	chr1(.):4785254-4785532	0.0772
3_MACS_peak_878_lociStitched	chr1(.):4786385-4788614	0.0589
1_MACS_peak_881_lociStitched	chr1(.):4789145-4790321	0.0587
3_MACS_peak_882_lociStitched	chr1(.):4791164-4792806	0.0665
2_MACS_peak_885_lociStitched	chr1(.):4793538-4796421	0.0552
1_MACS_peak_887_lociStitched	chr1(.):4797008-4797394	0.0492
1_MACS_peak_888_lociStitched	chr1(.):4798587-4798871	0.0375
2_MACS_peak_889_lociStitched	chr1(.):4806465-4807515	0.0712
2_MACS_peak_891_lociStitched	chr1(.):4819049-4819676	0.0478
1_MACS_peak_893_lociStitched	chr1(.):4820362-4820634	0.0513
1_MACS_peak_894_lociStitched	chr1(.):4829435-4829888	0.0513
1_MACS_peak_895_lociStitched	chr1(.):4830906-4831286	0.0617
1_MACS_peak_896_lociStitched	chr1(.):4832438-4832755	0.0253
3_MACS_peak_897_lociStitched	chr1(.):4834147-4837605	0.0658
2_MACS_peak_900_lociStitched	chr1(.):4838303-4839224	0.0475
1_MACS_peak_902_lociStitched	chr1(.):4841374-4841645	0.0178
1_MACS_peak_903_lociStitched	chr1(.):4844092-4844535	0.0621
1_MACS_peak_904_lociStitched	chr1(.):4926075-4926306	0.0744
1_MACS_peak_905_lociStitched	chr1(.):4993407-4993672	0.1386
2_MACS_peak_906_lociStitched	chr1(.):5023015-5023870	0.1153
2_MACS_peak_908_lociStitched	chr1(.):5036789-5037652	0.0636
2_MACS_peak_910_lociStitched	chr1(.):5045695-5046594	0.0839
1_MACS_peak_912_lociStitched	chr1(.):5104905-5105179	0.0744
1_MACS_peak_913_lociStitched	chr1(.):5107215-5107494	0.0592
1_MACS_peak_914_lociStitched	chr1(.):5175232-5175523	0.0673
1_MACS_peak_915_lociStitched	chr1(.):5222181-5222545	0.0471
1_MACS_peak_916_lociStitched	chr1(.):5284918-5285272	0.151
2_MACS_peak_917_lociStitched	chr1(.):5286242-5287096	0.0464
1_MACS_peak_919_lociStitched	chr1(.):5327200-5327740	0.0784
1_MACS_peak_920_lociStitched	chr1(.):5329139-5329514	0.0661
3_MACS_peak_921_lociStitched	chr1(.):5334630-5335980	0.0465
1_MACS_peak_924_lociStitched	chr1(.):5337122-5337685	0.133
1_MACS_peak_925_lociStitched	chr1(.):5354858-5355180	0.0883
1_MACS_peak_926_lociStitched	chr1(.):5356024-5356517	0.0423
2_MACS_peak_927_lociStitched	chr1(.):5368274-5369526	0.0598
2_MACS_peak_929_lociStitched	chr1(.):5370683-5371746	0.0548
2_MACS_peak_931_lociStitched	chr1(.):5372252-5373384	0.0952
1_MACS_peak_933_lociStitched	chr1(.):5439835-5440075	0.0271
1_MACS_peak_934_lociStitched	chr1(.):5442737-5443254	0.0389
1_MACS_peak_935_lociStitched	chr1(.):5445003-5445528	0.0334
