GENE_ID	locusLine	bin_1_04_0EWQ_0229Kronos_MM1S-KB-1hr-2_H3K18Ac_hs-dm_i06.bam
NR_036586	chr2(.):65123973-65164581	0.7719
NM_017880	chr2(.):70372016-70423151	0.1857
NR_024204	chr2(.):87749973-87826030	0.6145
NM_144563	chr2(.):88986175-89055452	0.4268
NM_004027	chr2(.):99056320-99212496	0.7914
NM_001566	chr2(.):99056320-99203284	0.8369
NM_006164	chr2(.):178090032-178134859	0.4296
NM_001145413	chr2(.):178090032-178133617	0.4397
NM_004226	chr2(.):196993306-197041336	0.3207
NM_001228	chr2(.):202093165-202157434	0.547
NM_003879	chr2(.):201975889-202034003	0.7621
NM_001127184	chr2(.):201975815-202011323	1.1626
NM_173822	chr2(.):201833440-201941392	0.1101
NM_033358	chr2(.):202093165-202151638	0.5934
NM_020935	chr2(.):219309973-219438084	0.1779
NM_005687	chr2(.):223431161-223525827	0.2663
NM_022730	chr2(.):232646161-232678434	0.093
NM_001037160	chr2(.):10191925-10225538	0.0791
NM_182626	chr2(.):10276508-10356856	0.0787
NM_001165931	chr2(.):10257694-10276546	1.0963
NM_001034	chr2(.):10257862-10276546	1.1045
NM_002997	chr2(.):20395557-20429927	1.4467
NM_001006946	chr2(.):20395557-20430194	1.4359
NM_005253	chr2(.):28610778-28642516	0.8021
NM_015376	chr2(.):33733941-33794798	0.1482
NM_001139488	chr2(.):33696320-33794798	0.4368
NM_012413	chr2(.):37566752-37605465	1.4769
NM_138370	chr2(.):42270160-42290668	0.1031
NM_006887	chr2(.):43444540-43458745	1.7968
NR_027251	chr2(.):43449349-43460994	1.4325
NM_001171508	chr2(.):47124008-47173994	0.3049
NM_002354	chr2(.):47591286-47619167	0.0743
NR_033837	chr2(.):64407212-64437619	0.2443
NM_001193493	chr2(.):65210578-65256000	0.5011
NM_003038	chr2(.):65211494-65256000	0.5094
NM_015147	chr2(.):65278494-65319142	0.2475
NM_006196	chr2(.):70309584-70321334	4.526
NR_024444	chr2(.):70346167-70357448	0.9067
NM_015425	chr2(.):86248450-86338278	0.5899
NR_026984	chr2(.):86242338-86255991	0.1643
NR_015424	chr2(.):89060418-89111109	0.1199
NR_026875	chr2(.):97158382-97178846	0.2153
NM_212481	chr2(.):97197463-97223371	1.4633
NR_037627	chr2(.):110700266-110731149	0.0808
NR_027244	chr2(.):111127685-111147113	0.9802
NR_037627	chr2(.):111155495-111186393	0.0772
NM_006538	chr2(.):111873490-111931022	0.4003
NM_207002	chr2(.):111873490-111891423	0.927
NM_006186	chr2(.):157175943-157194287	0.804
NM_004288	chr2(.):158266130-158305604	0.4992
NR_036075	chr2(.):178115672-178125738	0.1016
NM_194247	chr2(.):178072421-178093685	0.7878
NM_002491	chr2(.):201931461-201955473	0.2327
NM_001127183	chr2(.):201978386-202033841	0.7942
NM_033356	chr2(.):202120222-202157434	0.6236
NM_001080125	chr2(.):202117753-202157434	0.6224
NM_006139	chr2(.):204566197-204607557	0.6022
NM_005444	chr2(.):219428677-219463999	0.4936
NM_032726	chr2(.):219467631-219506904	0.0832
NM_017431	chr2(.):219682105-219701512	0.0849
NM_025216	chr2(.):219740254-219763651	1.1615
NM_006522	chr2(.):219719545-219743954	0.1346
NM_058165	chr2(.):223531456-223579649	0.0666
NM_001099285	chr2(.):232568234-232583250	1.156
NM_002601	chr2(.):232592146-232650974	0.0754
NR_036052	chr2(.):232573023-232583105	0.449
NR_031717	chr2(.):232751951-232762008	0.0408
NM_003549	chr3(.):50325261-50341899	0.4703
NM_014674	chr3(.):5224358-5266650	0.6858
NM_003571	chr3(.):133113789-133199056	0.6316
NM_207015	chr3(.):174572110-175528428	0.1756
NM_024947	chr3(.):169800367-169904537	0.3068
NM_001135095	chr3(.):171753343-172123492	0.2371
NM_022763	chr3(.):171752417-172123492	0.2374
NM_181361	chr3(.):178249223-178567217	0.1606
NM_001134382	chr3(.):12933718-13119617	0.371
NM_024923	chr3(.):13352736-13466809	0.3745
NM_014869	chr3(.):12933718-13013960	0.085
NM_144636	chr3(.):14148576-14171371	0.9569
NM_001123396	chr3(.):46390234-46405868	0.6316
NM_001174051	chr3(.):50395230-50545892	0.1187
NM_002093	chr3(.):119535801-119818264	0.1214
NM_002213	chr3(.):124476794-124611144	0.4998
NM_001080412	chr3(.):141038054-141173632	1.6935
NM_001190242	chr3(.):159969773-160106554	0.0937
NM_001190241	chr3(.):159969773-160122320	0.2159
NM_002740	chr3(.):169935219-170028770	0.3912
NM_005832	chr3(.):178271617-178567217	0.1497
NM_130446	chr3(.):183200318-183278499	0.9273
NM_173216	chr3(.):186643314-186801341	0.5151
NM_003032	chr3(.):186734664-186801341	0.5978
NM_005524	chr3(.):193848933-193861396	2.1367
NM_024334	chr3(.):14161439-14190180	0.782
NM_001295	chr3(.):46238199-46254832	1.2546
NM_001837	chr3(.):46278871-46313197	0.1396
NM_003212	chr3(.):46614075-46628952	0.063
NM_001174136	chr3(.):46611044-46628952	0.065
NM_024512	chr3(.):46551877-46613011	1.0472
NM_031440	chr3(.):46534484-46547439	0.4772
NM_153215	chr3(.):50311517-50330545	0.2726
NM_006764	chr3(.):50320162-50335026	0.3321
NM_153282	chr3(.):50332319-50346004	0.2895
NM_153281	chr3(.):50332319-50354812	0.2143
NM_007275	chr3(.):50357340-50370668	1.1044
NM_012191	chr3(.):50328832-50341712	0.5827
NM_003773	chr3(.):50350220-50365281	0.9223
NM_006545	chr3(.):50379918-50393486	0.3554
NM_007182	chr3(.):50362216-50383367	0.5446
NM_007022	chr3(.):50383296-50396496	0.3695
NM_007024	chr3(.):50387179-50401939	0.4518
NM_015896	chr3(.):50373536-50388156	0.7287
NM_170712	chr3(.):50362216-50380664	0.593
NM_170713	chr3(.):50362216-50379895	0.6157
NM_006100	chr3(.):98446571-98518236	0.5714
NM_022135	chr3(.):119355907-119384404	0.733
NM_005694	chr3(.):119383371-119401243	0.375
NM_015900	chr3(.):119311721-119353658	0.1394
NR_033434	chr3(.):124444212-124473119	0.1573
NR_031687	chr3(.):125504246-125514395	0.1099
NM_020187	chr3(.):128992683-129029135	0.5819
NM_001006109	chr3(.):128992816-129029135	0.584
NM_006026	chr3(.):129028613-129040120	2.2061
NR_026991	chr3(.):129030113-129048412	1.009
NR_027898	chr3(.):129926662-129997649	0.0747
NR_034008	chr3(.):156802669-156823924	1.2797
NR_034007	chr3(.):156794455-156845791	0.6667
NM_020307	chr3(.):156860585-156883482	0.8346
NM_173084	chr3(.):160148290-160172626	0.2256
NR_029663	chr3(.):160117375-160127473	1.6928
NM_005496	chr3(.):160113346-160157741	0.5416
NM_001002800	chr3(.):160112429-160157741	0.5315
NR_029525	chr3(.):160117532-160127613	1.5603
NM_018657	chr3(.):169485852-169512504	0.48
NM_032487	chr3(.):169479710-169492683	1.3034
NM_001172780	chr3(.):169508428-169535574	0.2004
NM_001080460	chr3(.):169534709-169560560	0.1162
NR_001566	chr3(.):169477397-169487848	0.645
NM_001185119	chr3(.):169487052-169512504	0.4988
NR_027622	chr3(.):169656771-169689522	0.7728
NM_182610	chr3(.):169624481-169661948	0.4001
NM_003262	chr3(.):169679579-169721161	0.2512
NM_014373	chr3(.):169750734-169808183	0.4522
NM_001145098	chr3(.):170070472-170115950	0.662
NM_001145097	chr3(.):170072410-170115950	0.6853
NR_024480	chr3(.):194013988-194035593	1.4216
NM_001080513	chr3(.):194055493-194077057	0.1166
NM_005781	chr3(.):195585235-195640880	0.5619
NM_001010938	chr3(.):195585235-195627432	0.1757
NM_198565	chr3(.):196361655-196393874	0.5383
NM_014687	chr3(.):197393258-197468773	0.5381
NM_001145642	chr3(.):197393313-197481568	0.5696
NR_027840	chr3(.):197472260-197516317	0.2825
NM_032288	chr3(.):197471623-197516317	0.2797
NM_001011537	chr3(.):197471423-197516317	0.2789
NM_198281	chr4(.):90160428-90234161	0.77
NM_001008388	chr4(.):103785134-103818963	0.2708
NM_021069	chr4(.):186501597-186882870	0.154
NM_001145670	chr4(.):186501597-186738410	0.1826
NM_001145671	chr4(.):186501597-186737225	0.1823
NM_001145672	chr4(.):186501597-186737048	0.1823
NM_003603	chr4(.):186501597-186738392	0.1826
NM_001145673	chr4(.):186501597-186702066	0.1994
NM_006527	chr4(.):1689526-1719030	0.6888
NM_015173	chr4(.):37887719-38145794	0.2513
NM_004310	chr4(.):40193526-40251281	0.6933
NM_002039	chr4(.):144252982-144400718	0.2632
NM_002199	chr4(.):185303875-185400726	0.8909
NM_001145674	chr4(.):186501597-186583123	0.331
NM_152775	chr4(.):186361337-186397913	0.259
NM_001013622	chr4(.):1636607-1690718	0.0753
NM_001174070	chr4(.):1636607-1690988	0.0756
NM_001127266	chr4(.):1712678-1728084	1.5849
NM_006342	chr4(.):1718265-1751897	0.2309
NM_031889	chr4(.):71489460-71517536	0.0788
NM_144646	chr4(.):71516257-71537348	0.6088
NM_020368	chr4(.):71549195-71561268	0.3413
NM_014961	chr4(.):71582695-71664274	0.0832
NM_001130709	chr4(.):71565653-71660614	0.1125
NM_181891	chr4(.):103712132-103753708	0.416
NM_181890	chr4(.):103712132-103795032	0.3225
NM_181892	chr4(.):103712132-103753340	0.4192
NM_003340	chr4(.):103712132-103754105	0.4124
NM_181893	chr4(.):103712132-103795003	0.3225
NM_181889	chr4(.):103712132-103754307	0.4106
NR_028085	chr4(.):186315693-186352139	1.021
NM_018409	chr4(.):186280031-186305152	0.1866
NM_181726	chr4(.):186312839-186326390	0.7316
NM_001114357	chr4(.):186345544-186375821	0.789
NM_001131005	chr5(.):88009057-88204922	0.2584
NM_002397	chr5(.):88009057-88184283	0.2568
NM_024669	chr5(.):55390506-55534186	0.2903
NR_015436	chr5(.):87831596-87985620	0.2089
NR_027435	chr5(.):90671163-90721532	0.4819
NM_003060	chr5(.):131700400-131736306	0.1737
NM_017415	chr5(.):136948188-137076779	0.1096
NM_022809	chr5(.):137615958-137672516	0.0739
NM_016604	chr5(.):137683284-137777716	0.0948
NM_001020825	chr5(.):142652495-142788254	0.2283
NM_001018076	chr5(.):142652495-142789045	0.2271
NM_001018075	chr5(.):142652495-142820077	0.2027
NM_153607	chr5(.):172478354-172571291	0.0894
NM_022455	chr5(.):176555832-176732214	0.2012
NM_172349	chr5(.):176555079-176732214	0.2009
NM_002406	chr5(.):180212540-180235048	0.501
NM_001114619	chr5(.):180212540-180235902	0.4945
NM_001114618	chr5(.):180212540-180241817	0.6824
NM_001114617	chr5(.):180212540-180242137	0.6769
NM_001193376	chr5(.):1248286-1300162	0.1278
NM_030782	chr5(.):1312999-1350002	3.9558
NM_001145161	chr5(.):6443735-6501834	1.3227
NM_006713	chr5(.):32580604-32609185	0.9477
NR_024384	chr5(.):87955262-87974146	1.1749
NR_024383	chr5(.):87955262-87979262	0.9623
NR_030741	chr5(.):87957670-87967757	0.2386
NM_020801	chr5(.):90659540-90684149	0.8942
NR_036052	chr5(.):118305280-118315362	0.0714
NM_000588	chr5(.):131391346-131403896	0.201
NM_000758	chr5(.):131404484-131416859	0.2671
NR_037500	chr5(.):131696181-131706291	0.2753
NM_002198	chr5(.):131812300-131831465	0.4112
NM_001013717	chr5(.):131741672-131803059	1.0619
NM_006805	chr5(.):137082072-137095039	1.2916
NR_002713	chr5(.):137131881-137151439	0.0493
NM_001135647	chr5(.):137668223-137690418	1.0411
NM_016605	chr5(.):137668703-137690418	1.0638
NM_004730	chr5(.):137836783-137883932	0.3083
NM_004134	chr5(.):137885570-137916318	0.7511
NR_002913	chr5(.):137891731-137901799	0.0832
NM_016480	chr5(.):138672518-138710409	0.1155
NM_194296	chr5(.):138727455-138744776	0.6403
NM_152686	chr5(.):138740891-138780214	0.3605
NM_152685	chr5(.):138697884-138724039	0.2202
NM_001033112	chr5(.):138673133-138710409	0.1166
NM_001161546	chr5(.):138722634-138735885	1.9397
NM_016459	chr5(.):138718256-138730605	2.2267
NM_006058	chr5(.):150404505-150465997	0.2512
NM_001193544	chr5(.):150475266-150526216	0.2626
NM_003945	chr5(.):172405762-172466900	0.4418
NR_002988	chr5(.):172442728-172452932	0.0828
NM_030627	chr5(.):173310330-173392313	0.3291
NM_001031677	chr5(.):176723198-176735744	1.2904
NM_006480	chr5(.):176779843-176804599	0.2693
NM_006816	chr5(.):176753562-176783885	0.2737
NM_031300	chr5(.):176729205-176744292	1.0197
NM_001142935	chr5(.):176727500-176744292	1.1918
NM_013237	chr5(.):176725834-176738950	1.2777
NR_031598	chr5(.):179220277-179230346	0.5162
NM_145867	chr5(.):179215985-179228513	0.432
NM_003900	chr5(.):179242841-179270077	0.6304
NM_016175	chr5(.):179259265-179290840	0.1304
NM_054013	chr5(.):179219597-179234875	0.6323
NM_014275	chr5(.):179219597-179238952	0.5225
NM_001142298	chr5(.):179228387-179270077	0.5373
NM_001142299	chr5(.):179229002-179270077	0.5444
NR_027183	chr5(.):180251958-180267726	0.8239
NM_152283	chr5(.):180269610-180293286	0.2684
NR_027908	chr6(.):33548882-33566115	0.3494
NR_028361	chr6(.):33546475-33561803	0.6892
NM_181356	chr6(.):44791469-45350670	0.0914
NM_003599	chr6(.):44792449-45350575	0.0914
NM_012288	chr6(.):52357199-52446862	0.7291
NM_033515	chr6(.):129893239-130036370	0.2806
NR_037616	chr6(.):7876482-8069647	1.0208
NM_001173977	chr6(.):25274655-25625758	0.3445
NM_014641	chr6(.):30662583-30690458	0.6281
NM_001090	chr6(.):30534169-30564309	0.1448
NM_172166	chr6(.):31702724-31735455	0.6889
NM_004348	chr6(.):45384913-45523819	0.2985
NM_001024630	chr6(.):45291053-45523819	0.2281
NM_016021	chr6(.):90031343-90067619	0.6766
NM_032131	chr6(.):109164618-109300352	0.3068
NM_006734	chr6(.):143067603-143271338	0.1985
NM_024630	chr6(.):157797556-158099977	0.1754
NM_020185	chr6(.):287100-356355	1.6575
NR_027712	chr6(.):7981334-7995577	0.2219
NM_001145549	chr6(.):7876482-7915310	3.4315
NM_030810	chr6(.):7876482-7916047	3.3982
NM_032744	chr6(.):11708887-11784280	0.3915
NM_030939	chr6(.):24700089-24724403	0.7927
NM_001145008	chr6(.):26397464-26420444	0.161
NM_001197240	chr6(.):26378328-26400100	0.2943
NM_001197247	chr6(.):26360397-26383540	0.8261
NM_001197238	chr6(.):26378323-26400100	0.2944
NM_007047	chr6(.):26360397-26383548	0.8262
NM_001197237	chr6(.):26378438-26400100	0.2935
NM_001197248	chr6(.):26360469-26383540	0.8128
NM_001197246	chr6(.):26363405-26383540	0.369
NM_021066	chr6(.):27777079-27787518	0.4144
NM_003536	chr6(.):27772841-27783314	0.5992
NM_003509	chr6(.):27770976-27781445	0.4449
NM_003519	chr6(.):27770256-27780709	0.4389
NM_003521	chr6(.):27777821-27788267	0.3999
NM_003520	chr6(.):27801439-27811888	0.995
NM_003511	chr6(.):27828106-27838576	0.2906
NM_003533	chr6(.):27834622-27845099	0.1587
NM_003510	chr6(.):27800657-27811117	0.9894
NM_003541	chr6(.):27793951-27804305	0.3505
NM_005322	chr6(.):27829569-27840359	0.3239
